# _root_ Úřad slovenského prezidenta nejdříve vyvrátil slova Hornovy mluvčí , za několik dní však vydal prohlášení , v němž svoji původní verzi odvolal .
#goldHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
#predictedHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
(1,12),-1.00995 # DEPENDENCYPART_ARC
(1,13),-0.783772 # DEPENDENCYPART_ARC
(1,14),-1.72304 # DEPENDENCYPART_ARC
(1,15),-6.30266 # DEPENDENCYPART_ARC
(1,16),-0.425033 # DEPENDENCYPART_ARC
(1,17),-1.98364 # DEPENDENCYPART_ARC
(1,18),-1.68294 # DEPENDENCYPART_ARC
(1,19),-2.99917 # DEPENDENCYPART_ARC
(1,20),-4.75606 # DEPENDENCYPART_ARC
(1,21),-5.94457 # DEPENDENCYPART_ARC
(1,22),-2.64644 # DEPENDENCYPART_ARC
(1,23),-7.75354 # DEPENDENCYPART_ARC
(2,1),-1.99096 # DEPENDENCYPART_ARC
(2,3),0.880856 # DEPENDENCYPART_ARC
(2,4),-0.258791 # DEPENDENCYPART_ARC
(2,5),-1.90029 # DEPENDENCYPART_ARC
(2,6),-2.40335 # DEPENDENCYPART_ARC
(2,7),-2.07239 # DEPENDENCYPART_ARC
(2,8),-2.29425 # DEPENDENCYPART_ARC
(2,9),-0.680135 # DEPENDENCYPART_ARC
(2,10),-1.58457 # DEPENDENCYPART_ARC
(2,11),-1.16855 # DEPENDENCYPART_ARC
(2,12),-2.62437 # DEPENDENCYPART_ARC
(2,13),-0.6219 # DEPENDENCYPART_ARC
(2,14),-3.67955 # DEPENDENCYPART_ARC
(2,15),-5.67923 # DEPENDENCYPART_ARC
(2,16),-1.29217 # DEPENDENCYPART_ARC
(2,17),-2.88071 # DEPENDENCYPART_ARC
(2,18),-3.90823 # DEPENDENCYPART_ARC
(2,19),-5.87887 # DEPENDENCYPART_ARC
(2,20),-5.60369 # DEPENDENCYPART_ARC
(2,21),-5.97408 # DEPENDENCYPART_ARC
(2,22),-4.12785 # DEPENDENCYPART_ARC
(2,23),-4.23447 # DEPENDENCYPART_ARC
(3,1),-3.26233 # DEPENDENCYPART_ARC
(3,2),5.12956 # DEPENDENCYPART_ARC
(3,4),-0.773542 # DEPENDENCYPART_ARC
(3,5),-1.45982 # DEPENDENCYPART_ARC
(3,6),-4.79518 # DEPENDENCYPART_ARC
(3,7),-0.843966 # DEPENDENCYPART_ARC
(3,8),0.142782 # DEPENDENCYPART_ARC
(3,9),-1.22371 # DEPENDENCYPART_ARC
(3,10),-2.13863 # DEPENDENCYPART_ARC
(3,11),-3.37731 # DEPENDENCYPART_ARC
(3,12),-1.52404 # DEPENDENCYPART_ARC
(3,13),-1.92317 # DEPENDENCYPART_ARC
(3,14),-3.83943 # DEPENDENCYPART_ARC
(3,15),-7.50387 # DEPENDENCYPART_ARC
(3,16),-1.96389 # DEPENDENCYPART_ARC
(3,17),-3.584 # DEPENDENCYPART_ARC
(3,18),-4.13912 # DEPENDENCYPART_ARC
(3,19),-4.72257 # DEPENDENCYPART_ARC
(3,20),-5.74463 # DEPENDENCYPART_ARC
(3,21),-7.17984 # DEPENDENCYPART_ARC
(3,22),-4.69157 # DEPENDENCYPART_ARC
(3,23),-8.382 # DEPENDENCYPART_ARC
(4,1),-1.29857 # DEPENDENCYPART_ARC
(4,2),0.343646 # DEPENDENCYPART_ARC
(4,3),-1.01063 # DEPENDENCYPART_ARC
(4,5),-1.04928 # DEPENDENCYPART_ARC
(4,6),-0.0942183 # DEPENDENCYPART_ARC
(4,7),-1.06202 # DEPENDENCYPART_ARC
(4,8),-0.238483 # DEPENDENCYPART_ARC
(4,9),-0.822232 # DEPENDENCYPART_ARC
(4,10),-1.1295 # DEPENDENCYPART_ARC
(4,11),-1.53154 # DEPENDENCYPART_ARC
(4,12),-0.665834 # DEPENDENCYPART_ARC
(4,13),-0.646771 # DEPENDENCYPART_ARC
(4,14),-2.60065 # DEPENDENCYPART_ARC
(4,15),-2.75081 # DEPENDENCYPART_ARC
(4,16),-1.16786 # DEPENDENCYPART_ARC
(4,17),-2.04606 # DEPENDENCYPART_ARC
(4,18),-2.36551 # DEPENDENCYPART_ARC
(4,19),-2.77342 # DEPENDENCYPART_ARC
(4,20),-3.24993 # DEPENDENCYPART_ARC
(4,21),-4.20541 # DEPENDENCYPART_ARC
(4,22),-3.00103 # DEPENDENCYPART_ARC
(4,23),-3.25609 # DEPENDENCYPART_ARC
(5,1),3.1651 # DEPENDENCYPART_ARC
(5,2),-2.33837 # DEPENDENCYPART_ARC
(5,3),-0.536472 # DEPENDENCYPART_ARC
(5,4),2.28335 # DEPENDENCYPART_ARC
(5,6),3.15767 # DEPENDENCYPART_ARC
(5,7),-3.33868 # DEPENDENCYPART_ARC
(5,8),-0.844812 # DEPENDENCYPART_ARC
(5,9),0.100667 # DEPENDENCYPART_ARC
(5,10),0.604959 # DEPENDENCYPART_ARC
(5,11),-0.498896 # DEPENDENCYPART_ARC
(5,12),-1.93985 # DEPENDENCYPART_ARC
(5,13),0.404681 # DEPENDENCYPART_ARC
(5,14),-3.32688 # DEPENDENCYPART_ARC
(5,15),-0.259951 # DEPENDENCYPART_ARC
(5,16),-0.450323 # DEPENDENCYPART_ARC
(5,17),-1.05219 # DEPENDENCYPART_ARC
(5,18),-4.65134 # DEPENDENCYPART_ARC
(5,19),-3.89528 # DEPENDENCYPART_ARC
(5,20),-6.03518 # DEPENDENCYPART_ARC
(5,21),-2.41196 # DEPENDENCYPART_ARC
(5,22),-3.86132 # DEPENDENCYPART_ARC
(5,23),-1.49911 # DEPENDENCYPART_ARC
(6,1),-4.38028 # DEPENDENCYPART_ARC
(6,2),-3.4737 # DEPENDENCYPART_ARC
(6,3),-3.01324 # DEPENDENCYPART_ARC
(6,4),-0.0117469 # DEPENDENCYPART_ARC
(6,5),-3.257 # DEPENDENCYPART_ARC
(6,7),-0.774717 # DEPENDENCYPART_ARC
(6,8),3.39141 # DEPENDENCYPART_ARC
(6,9),0.0230535 # DEPENDENCYPART_ARC
(6,10),0.704427 # DEPENDENCYPART_ARC
(6,11),-0.840898 # DEPENDENCYPART_ARC
(6,12),0.606839 # DEPENDENCYPART_ARC
(6,13),0.119395 # DEPENDENCYPART_ARC
(6,14),-1.00723 # DEPENDENCYPART_ARC
(6,15),-2.77146 # DEPENDENCYPART_ARC
(6,16),-0.730428 # DEPENDENCYPART_ARC
(6,17),-0.976269 # DEPENDENCYPART_ARC
(6,18),-2.50448 # DEPENDENCYPART_ARC
(6,19),-1.90328 # DEPENDENCYPART_ARC
(6,20),-2.99268 # DEPENDENCYPART_ARC
(6,21),-2.1856 # DEPENDENCYPART_ARC
(6,22),-2.03225 # DEPENDENCYPART_ARC
(6,23),-6.12511 # DEPENDENCYPART_ARC
(7,1),-3.86153 # DEPENDENCYPART_ARC
(7,2),-3.39136 # DEPENDENCYPART_ARC
(7,3),-2.15291 # DEPENDENCYPART_ARC
(7,4),-1.20224 # DEPENDENCYPART_ARC
(7,5),-3.22248 # DEPENDENCYPART_ARC
(7,6),-0.473635 # DEPENDENCYPART_ARC
(7,8),-0.434323 # DEPENDENCYPART_ARC
(7,9),-0.938646 # DEPENDENCYPART_ARC
(7,10),-1.98459 # DEPENDENCYPART_ARC
(7,11),-1.15343 # DEPENDENCYPART_ARC
(7,12),-3.06587 # DEPENDENCYPART_ARC
(7,13),-0.463387 # DEPENDENCYPART_ARC
(7,14),-3.95684 # DEPENDENCYPART_ARC
(7,15),-4.39834 # DEPENDENCYPART_ARC
(7,16),-1.48433 # DEPENDENCYPART_ARC
(7,17),-2.97346 # DEPENDENCYPART_ARC
(7,18),-3.5934 # DEPENDENCYPART_ARC
(7,19),-4.1884 # DEPENDENCYPART_ARC
(7,20),-3.20384 # DEPENDENCYPART_ARC
(7,21),-5.01688 # DEPENDENCYPART_ARC
(7,22),-4.46298 # DEPENDENCYPART_ARC
(7,23),-3.67782 # DEPENDENCYPART_ARC
(8,1),-3.89718 # DEPENDENCYPART_ARC
(8,2),-0.230749 # DEPENDENCYPART_ARC
(8,3),-0.998198 # DEPENDENCYPART_ARC
(8,4),-1.17825 # DEPENDENCYPART_ARC
(8,5),-2.55237 # DEPENDENCYPART_ARC
(8,6),-2.71708 # DEPENDENCYPART_ARC
(8,7),6.05235 # DEPENDENCYPART_ARC
(8,9),-0.316346 # DEPENDENCYPART_ARC
(8,10),-0.166675 # DEPENDENCYPART_ARC
(8,11),-1.18761 # DEPENDENCYPART_ARC
(8,12),1.08491 # DEPENDENCYPART_ARC
(8,13),0.629344 # DEPENDENCYPART_ARC
(8,14),-0.432132 # DEPENDENCYPART_ARC
(8,15),-5.70732 # DEPENDENCYPART_ARC
(8,16),-0.828735 # DEPENDENCYPART_ARC
(8,17),-1.72893 # DEPENDENCYPART_ARC
(8,18),-3.14663 # DEPENDENCYPART_ARC
(8,19),-2.95215 # DEPENDENCYPART_ARC
(8,20),-2.7696 # DEPENDENCYPART_ARC
(8,21),-5.91667 # DEPENDENCYPART_ARC
(8,22),-0.456075 # DEPENDENCYPART_ARC
(8,23),-5.13434 # DEPENDENCYPART_ARC
(9,1),-0.0117837 # DEPENDENCYPART_ARC
(9,2),-0.369023 # DEPENDENCYPART_ARC
(9,3),-0.247136 # DEPENDENCYPART_ARC
(9,4),0.206188 # DEPENDENCYPART_ARC
(9,5),0.860391 # DEPENDENCYPART_ARC
(9,6),0.62035 # DEPENDENCYPART_ARC
(9,7),0.584513 # DEPENDENCYPART_ARC
(9,8),0.158981 # DEPENDENCYPART_ARC
(9,10),0.873748 # DEPENDENCYPART_ARC
(9,11),0.6434 # DEPENDENCYPART_ARC
(9,12),1.14725 # DEPENDENCYPART_ARC
(9,13),0.694942 # DEPENDENCYPART_ARC
(9,14),0.74994 # DEPENDENCYPART_ARC
(9,15),-0.423347 # DEPENDENCYPART_ARC
(9,16),0.137907 # DEPENDENCYPART_ARC
(9,17),-0.534692 # DEPENDENCYPART_ARC
(9,18),-0.45697 # DEPENDENCYPART_ARC
(9,19),-0.399317 # DEPENDENCYPART_ARC
(9,20),-1.00633 # DEPENDENCYPART_ARC
(9,21),-1.43762 # DEPENDENCYPART_ARC
(9,22),-0.384713 # DEPENDENCYPART_ARC
(9,23),-0.373962 # DEPENDENCYPART_ARC
(10,1),-3.32465 # DEPENDENCYPART_ARC
(10,2),-3.11152 # DEPENDENCYPART_ARC
(10,3),-3.26427 # DEPENDENCYPART_ARC
(10,4),-2.2905 # DEPENDENCYPART_ARC
(10,5),-2.65961 # DEPENDENCYPART_ARC
(10,6),-3.10938 # DEPENDENCYPART_ARC
(10,7),-2.08793 # DEPENDENCYPART_ARC
(10,8),-1.93974 # DEPENDENCYPART_ARC
(10,9),0.381829 # DEPENDENCYPART_ARC
(10,11),2.83507 # DEPENDENCYPART_ARC
(10,12),0.756891 # DEPENDENCYPART_ARC
(10,13),-0.0186334 # DEPENDENCYPART_ARC
(10,14),-0.652831 # DEPENDENCYPART_ARC
(10,15),0.190667 # DEPENDENCYPART_ARC
(10,16),-0.155786 # DEPENDENCYPART_ARC
(10,17),-1.09905 # DEPENDENCYPART_ARC
(10,18),-0.498594 # DEPENDENCYPART_ARC
(10,19),-1.87964 # DEPENDENCYPART_ARC
(10,20),-0.284859 # DEPENDENCYPART_ARC
(10,21),-1.94699 # DEPENDENCYPART_ARC
(10,22),-1.89706 # DEPENDENCYPART_ARC
(10,23),-1.82364 # DEPENDENCYPART_ARC
(11,1),-1.20819 # DEPENDENCYPART_ARC
(11,2),-1.76068 # DEPENDENCYPART_ARC
(11,3),-0.757081 # DEPENDENCYPART_ARC
(11,4),-0.244154 # DEPENDENCYPART_ARC
(11,5),-2.4588 # DEPENDENCYPART_ARC
(11,6),-1.09312 # DEPENDENCYPART_ARC
(11,7),-0.962811 # DEPENDENCYPART_ARC
(11,8),-0.475149 # DEPENDENCYPART_ARC
(11,9),0.292466 # DEPENDENCYPART_ARC
(11,10),0.282239 # DEPENDENCYPART_ARC
(11,12),5.16675 # DEPENDENCYPART_ARC
(11,13),0.101186 # DEPENDENCYPART_ARC
(11,14),-1.0042 # DEPENDENCYPART_ARC
(11,15),1.18341 # DEPENDENCYPART_ARC
(11,16),-1.53955 # DEPENDENCYPART_ARC
(11,17),-1.34109 # DEPENDENCYPART_ARC
(11,18),-1.58175 # DEPENDENCYPART_ARC
(11,19),-1.11524 # DEPENDENCYPART_ARC
(11,20),-1.77428 # DEPENDENCYPART_ARC
(11,21),-0.361353 # DEPENDENCYPART_ARC
(11,22),-1.86071 # DEPENDENCYPART_ARC
(11,23),-1.96669 # DEPENDENCYPART_ARC
(12,1),-4.60848 # DEPENDENCYPART_ARC
(12,2),-2.54182 # DEPENDENCYPART_ARC
(12,3),-2.41522 # DEPENDENCYPART_ARC
(12,4),-1.85105 # DEPENDENCYPART_ARC
(12,5),-5.1036 # DEPENDENCYPART_ARC
(12,6),-3.40814 # DEPENDENCYPART_ARC
(12,7),-0.803296 # DEPENDENCYPART_ARC
(12,8),-2.55153 # DEPENDENCYPART_ARC
(12,9),-0.460969 # DEPENDENCYPART_ARC
(12,10),-0.514469 # DEPENDENCYPART_ARC
(12,11),0.769759 # DEPENDENCYPART_ARC
(12,13),-0.166108 # DEPENDENCYPART_ARC
(12,14),-2.3453 # DEPENDENCYPART_ARC
(12,15),-5.04808 # DEPENDENCYPART_ARC
(12,16),-0.993016 # DEPENDENCYPART_ARC
(12,17),-1.91916 # DEPENDENCYPART_ARC
(12,18),-2.2362 # DEPENDENCYPART_ARC
(12,19),-3.55911 # DEPENDENCYPART_ARC
(12,20),-6.33672 # DEPENDENCYPART_ARC
(12,21),-5.72786 # DEPENDENCYPART_ARC
(12,22),-2.90039 # DEPENDENCYPART_ARC
(12,23),-3.59413 # DEPENDENCYPART_ARC
(13,1),0.401555 # DEPENDENCYPART_ARC
(13,2),-2.75865 # DEPENDENCYPART_ARC
(13,3),-0.0564596 # DEPENDENCYPART_ARC
(13,4),-0.182802 # DEPENDENCYPART_ARC
(13,5),1.98193 # DEPENDENCYPART_ARC
(13,6),-0.302437 # DEPENDENCYPART_ARC
(13,7),-1.74251 # DEPENDENCYPART_ARC
(13,8),-0.296109 # DEPENDENCYPART_ARC
(13,9),2.08854 # DEPENDENCYPART_ARC
(13,10),0.153615 # DEPENDENCYPART_ARC
(13,11),-0.159476 # DEPENDENCYPART_ARC
(13,12),-1.46102 # DEPENDENCYPART_ARC
(13,14),1.95981 # DEPENDENCYPART_ARC
(13,15),-0.488504 # DEPENDENCYPART_ARC
(13,16),0.328997 # DEPENDENCYPART_ARC
(13,17),-1.36901 # DEPENDENCYPART_ARC
(13,18),-1.52472 # DEPENDENCYPART_ARC
(13,19),-1.57116 # DEPENDENCYPART_ARC
(13,20),-2.65546 # DEPENDENCYPART_ARC
(13,21),-1.82226 # DEPENDENCYPART_ARC
(13,22),-0.331246 # DEPENDENCYPART_ARC
(13,23),-0.252376 # DEPENDENCYPART_ARC
(14,1),2.01338 # DEPENDENCYPART_ARC
(14,2),-4.20713 # DEPENDENCYPART_ARC
(14,3),-1.91477 # DEPENDENCYPART_ARC
(14,4),0.494277 # DEPENDENCYPART_ARC
(14,5),-1.48957 # DEPENDENCYPART_ARC
(14,6),-0.194149 # DEPENDENCYPART_ARC
(14,7),-4.78445 # DEPENDENCYPART_ARC
(14,8),-2.81705 # DEPENDENCYPART_ARC
(14,9),1.14797 # DEPENDENCYPART_ARC
(14,10),2.49729 # DEPENDENCYPART_ARC
(14,11),0.635435 # DEPENDENCYPART_ARC
(14,12),-0.688654 # DEPENDENCYPART_ARC
(14,13),1.71622 # DEPENDENCYPART_ARC
(14,15),3.90642 # DEPENDENCYPART_ARC
(14,16),0.70537 # DEPENDENCYPART_ARC
(14,17),0.989539 # DEPENDENCYPART_ARC
(14,18),-1.64236 # DEPENDENCYPART_ARC
(14,19),-0.97024 # DEPENDENCYPART_ARC
(14,20),-3.41283 # DEPENDENCYPART_ARC
(14,21),-0.132703 # DEPENDENCYPART_ARC
(14,22),-1.74866 # DEPENDENCYPART_ARC
(14,23),-1.01779 # DEPENDENCYPART_ARC
(15,1),-6.27564 # DEPENDENCYPART_ARC
(15,2),-4.94215 # DEPENDENCYPART_ARC
(15,3),-4.46393 # DEPENDENCYPART_ARC
(15,4),-2.80103 # DEPENDENCYPART_ARC
(15,5),-4.20372 # DEPENDENCYPART_ARC
(15,6),-2.33571 # DEPENDENCYPART_ARC
(15,7),-3.86052 # DEPENDENCYPART_ARC
(15,8),-5.62371 # DEPENDENCYPART_ARC
(15,9),-1.55047 # DEPENDENCYPART_ARC
(15,10),-0.435436 # DEPENDENCYPART_ARC
(15,11),-1.98282 # DEPENDENCYPART_ARC
(15,12),-4.34959 # DEPENDENCYPART_ARC
(15,13),-0.57595 # DEPENDENCYPART_ARC
(15,14),-2.24464 # DEPENDENCYPART_ARC
(15,16),0.0397078 # DEPENDENCYPART_ARC
(15,17),0.526408 # DEPENDENCYPART_ARC
(15,18),-0.624979 # DEPENDENCYPART_ARC
(15,19),0.262577 # DEPENDENCYPART_ARC
(15,20),0.155249 # DEPENDENCYPART_ARC
(15,21),-0.862622 # DEPENDENCYPART_ARC
(15,22),2.32073 # DEPENDENCYPART_ARC
(15,23),-1.23179 # DEPENDENCYPART_ARC
(16,1),-1.30707 # DEPENDENCYPART_ARC
(16,2),-1.63596 # DEPENDENCYPART_ARC
(16,3),-1.74787 # DEPENDENCYPART_ARC
(16,4),-0.919102 # DEPENDENCYPART_ARC
(16,5),0.000920497 # DEPENDENCYPART_ARC
(16,6),-1.03806 # DEPENDENCYPART_ARC
(16,7),-0.983679 # DEPENDENCYPART_ARC
(16,8),-0.881648 # DEPENDENCYPART_ARC
(16,9),0.530265 # DEPENDENCYPART_ARC
(16,10),-0.0575046 # DEPENDENCYPART_ARC
(16,11),-0.590905 # DEPENDENCYPART_ARC
(16,12),-0.143698 # DEPENDENCYPART_ARC
(16,13),0.17825 # DEPENDENCYPART_ARC
(16,14),0.119009 # DEPENDENCYPART_ARC
(16,15),-0.15163 # DEPENDENCYPART_ARC
(16,17),0.472903 # DEPENDENCYPART_ARC
(16,18),-0.0682038 # DEPENDENCYPART_ARC
(16,19),-0.256701 # DEPENDENCYPART_ARC
(16,20),-0.154096 # DEPENDENCYPART_ARC
(16,21),-0.436079 # DEPENDENCYPART_ARC
(16,22),0.302793 # DEPENDENCYPART_ARC
(16,23),-0.161584 # DEPENDENCYPART_ARC
(17,1),-5.27156 # DEPENDENCYPART_ARC
(17,2),-4.10607 # DEPENDENCYPART_ARC
(17,3),-5.03145 # DEPENDENCYPART_ARC
(17,4),-3.54652 # DEPENDENCYPART_ARC
(17,5),-3.6989 # DEPENDENCYPART_ARC
(17,6),-4.67316 # DEPENDENCYPART_ARC
(17,7),-3.61342 # DEPENDENCYPART_ARC
(17,8),-4.15128 # DEPENDENCYPART_ARC
(17,9),-2.64448 # DEPENDENCYPART_ARC
(17,10),-3.49462 # DEPENDENCYPART_ARC
(17,11),-3.11319 # DEPENDENCYPART_ARC
(17,12),-4.07475 # DEPENDENCYPART_ARC
(17,13),-2.19522 # DEPENDENCYPART_ARC
(17,14),-2.63412 # DEPENDENCYPART_ARC
(17,15),-2.25242 # DEPENDENCYPART_ARC
(17,16),-0.587062 # DEPENDENCYPART_ARC
(17,18),3.72264 # DEPENDENCYPART_ARC
(17,19),-1.49698 # DEPENDENCYPART_ARC
(17,20),-2.0172 # DEPENDENCYPART_ARC
(17,21),0.23666 # DEPENDENCYPART_ARC
(17,22),-2.08685 # DEPENDENCYPART_ARC
(17,23),-1.16318 # DEPENDENCYPART_ARC
(18,1),-2.89081 # DEPENDENCYPART_ARC
(18,2),-2.69402 # DEPENDENCYPART_ARC
(18,3),-2.56996 # DEPENDENCYPART_ARC
(18,4),-0.978974 # DEPENDENCYPART_ARC
(18,5),-2.65752 # DEPENDENCYPART_ARC
(18,6),-2.68517 # DEPENDENCYPART_ARC
(18,7),-1.86431 # DEPENDENCYPART_ARC
(18,8),-1.82218 # DEPENDENCYPART_ARC
(18,9),-1.3161 # DEPENDENCYPART_ARC
(18,10),-1.54503 # DEPENDENCYPART_ARC
(18,11),-1.85913 # DEPENDENCYPART_ARC
(18,12),-1.60716 # DEPENDENCYPART_ARC
(18,13),-1.6671 # DEPENDENCYPART_ARC
(18,14),-1.89027 # DEPENDENCYPART_ARC
(18,15),-1.32192 # DEPENDENCYPART_ARC
(18,16),-0.311226 # DEPENDENCYPART_ARC
(18,17),-0.339914 # DEPENDENCYPART_ARC
(18,19),-0.537388 # DEPENDENCYPART_ARC
(18,20),-0.83999 # DEPENDENCYPART_ARC
(18,21),-1.72892 # DEPENDENCYPART_ARC
(18,22),-0.777338 # DEPENDENCYPART_ARC
(18,23),-0.969641 # DEPENDENCYPART_ARC
(19,1),-4.0169 # DEPENDENCYPART_ARC
(19,2),-5.22712 # DEPENDENCYPART_ARC
(19,3),-3.85578 # DEPENDENCYPART_ARC
(19,4),-0.973991 # DEPENDENCYPART_ARC
(19,5),-3.52749 # DEPENDENCYPART_ARC
(19,6),-2.9921 # DEPENDENCYPART_ARC
(19,7),-3.35253 # DEPENDENCYPART_ARC
(19,8),-2.70381 # DEPENDENCYPART_ARC
(19,9),-1.41065 # DEPENDENCYPART_ARC
(19,10),-1.41879 # DEPENDENCYPART_ARC
(19,11),-1.92562 # DEPENDENCYPART_ARC
(19,12),-2.61096 # DEPENDENCYPART_ARC
(19,13),-1.9905 # DEPENDENCYPART_ARC
(19,14),-2.85341 # DEPENDENCYPART_ARC
(19,15),-1.78433 # DEPENDENCYPART_ARC
(19,16),-0.679168 # DEPENDENCYPART_ARC
(19,17),-0.507724 # DEPENDENCYPART_ARC
(19,18),-0.445513 # DEPENDENCYPART_ARC
(19,20),0.621111 # DEPENDENCYPART_ARC
(19,21),-0.172552 # DEPENDENCYPART_ARC
(19,22),-0.381003 # DEPENDENCYPART_ARC
(19,23),-0.721502 # DEPENDENCYPART_ARC
(20,1),-5.44988 # DEPENDENCYPART_ARC
(20,2),-5.62161 # DEPENDENCYPART_ARC
(20,3),-5.31273 # DEPENDENCYPART_ARC
(20,4),-3.43973 # DEPENDENCYPART_ARC
(20,5),-4.45515 # DEPENDENCYPART_ARC
(20,6),-3.71073 # DEPENDENCYPART_ARC
(20,7),-4.4854 # DEPENDENCYPART_ARC
(20,8),-5.05736 # DEPENDENCYPART_ARC
(20,9),-1.91279 # DEPENDENCYPART_ARC
(20,10),-1.44614 # DEPENDENCYPART_ARC
(20,11),-2.13368 # DEPENDENCYPART_ARC
(20,12),-4.49093 # DEPENDENCYPART_ARC
(20,13),-1.89399 # DEPENDENCYPART_ARC
(20,14),-3.70375 # DEPENDENCYPART_ARC
(20,15),-2.28294 # DEPENDENCYPART_ARC
(20,16),-0.594522 # DEPENDENCYPART_ARC
(20,17),0.0644721 # DEPENDENCYPART_ARC
(20,18),-1.72725 # DEPENDENCYPART_ARC
(20,19),0.365961 # DEPENDENCYPART_ARC
(20,21),-1.14344 # DEPENDENCYPART_ARC
(20,22),-2.15252 # DEPENDENCYPART_ARC
(20,23),-0.948231 # DEPENDENCYPART_ARC
(21,1),-6.59428 # DEPENDENCYPART_ARC
(21,2),-4.69505 # DEPENDENCYPART_ARC
(21,3),-5.55757 # DEPENDENCYPART_ARC
(21,4),-3.47648 # DEPENDENCYPART_ARC
(21,5),-3.50483 # DEPENDENCYPART_ARC
(21,6),-4.90729 # DEPENDENCYPART_ARC
(21,7),-1.06821 # DEPENDENCYPART_ARC
(21,8),-5.15254 # DEPENDENCYPART_ARC
(21,9),-1.82702 # DEPENDENCYPART_ARC
(21,10),-1.34466 # DEPENDENCYPART_ARC
(21,11),-2.24863 # DEPENDENCYPART_ARC
(21,12),-6.70171 # DEPENDENCYPART_ARC
(21,13),-3.1507 # DEPENDENCYPART_ARC
(21,14),-2.92779 # DEPENDENCYPART_ARC
(21,15),-2.39866 # DEPENDENCYPART_ARC
(21,16),-0.650071 # DEPENDENCYPART_ARC
(21,17),-0.360669 # DEPENDENCYPART_ARC
(21,18),-5.70043e-05 # DEPENDENCYPART_ARC
(21,19),4.28407 # DEPENDENCYPART_ARC
(21,20),5.27007 # DEPENDENCYPART_ARC
(21,22),-0.579645 # DEPENDENCYPART_ARC
(21,23),-0.107919 # DEPENDENCYPART_ARC
(22,1),1.50702 # DEPENDENCYPART_ARC
(22,2),-4.84806 # DEPENDENCYPART_ARC
(22,3),-1.95385 # DEPENDENCYPART_ARC
(22,4),-0.451197 # DEPENDENCYPART_ARC
(22,5),-1.89161 # DEPENDENCYPART_ARC
(22,6),0.630817 # DEPENDENCYPART_ARC
(22,7),-5.38627 # DEPENDENCYPART_ARC
(22,8),-3.63452 # DEPENDENCYPART_ARC
(22,9),1.01103 # DEPENDENCYPART_ARC
(22,10),1.8358 # DEPENDENCYPART_ARC
(22,11),-0.536245 # DEPENDENCYPART_ARC
(22,12),-1.68108 # DEPENDENCYPART_ARC
(22,13),1.33291 # DEPENDENCYPART_ARC
(22,14),-0.141122 # DEPENDENCYPART_ARC
(22,15),-0.00639132 # DEPENDENCYPART_ARC
(22,16),1.92877 # DEPENDENCYPART_ARC
(22,17),2.94232 # DEPENDENCYPART_ARC
(22,18),-1.21129 # DEPENDENCYPART_ARC
(22,19),1.8551 # DEPENDENCYPART_ARC
(22,20),-0.666163 # DEPENDENCYPART_ARC
(22,21),2.76204 # DEPENDENCYPART_ARC
(22,23),-0.0850824 # DEPENDENCYPART_ARC
