# _root_ Namísto prezidenta Borise Jelcina , jehož účast na slavnostním uvítání vojáků se původně očekávala , z tribuny k vojákům promluvil ruský premiér Viktor Černomyrdin .
#goldHeads=20,4,4,1,14,7,14,7,10,8,10,14,14,4,14,20,16,20,18,0,22,24,24,20,0,
#predictedHeads=14,4,4,1,14,7,14,7,10,8,10,14,14,15,20,20,16,17,18,0,22,24,24,20,0,
(1,10),-4.4897 # DEPENDENCYPART_ARC
(1,11),-4.23397 # DEPENDENCYPART_ARC
(1,12),-4.01745 # DEPENDENCYPART_ARC
(1,13),-1.98364 # DEPENDENCYPART_ARC
(1,14),-2.53878 # DEPENDENCYPART_ARC
(1,15),-0.481867 # DEPENDENCYPART_ARC
(1,16),-2.17058 # DEPENDENCYPART_ARC
(1,17),-6.37583 # DEPENDENCYPART_ARC
(1,18),-2.77544 # DEPENDENCYPART_ARC
(1,19),-8.36452 # DEPENDENCYPART_ARC
(1,20),-3.29084 # DEPENDENCYPART_ARC
(1,21),-3.98469 # DEPENDENCYPART_ARC
(1,22),-12.9937 # DEPENDENCYPART_ARC
(1,23),-13.6416 # DEPENDENCYPART_ARC
(1,24),-13.9378 # DEPENDENCYPART_ARC
(1,25),-2.84099 # DEPENDENCYPART_ARC
(2,1),0.505257 # DEPENDENCYPART_ARC
(2,3),2.33399 # DEPENDENCYPART_ARC
(2,4),1.3817 # DEPENDENCYPART_ARC
(2,5),-0.45657 # DEPENDENCYPART_ARC
(2,6),-1.50829 # DEPENDENCYPART_ARC
(2,7),-1.99029 # DEPENDENCYPART_ARC
(2,8),-0.205378 # DEPENDENCYPART_ARC
(2,9),-2.64707 # DEPENDENCYPART_ARC
(2,10),-3.00194 # DEPENDENCYPART_ARC
(2,11),-1.09906 # DEPENDENCYPART_ARC
(2,12),-2.68158 # DEPENDENCYPART_ARC
(2,13),-1.45124 # DEPENDENCYPART_ARC
(2,14),-0.86452 # DEPENDENCYPART_ARC
(2,15),-1.26269 # DEPENDENCYPART_ARC
(2,16),-2.88113 # DEPENDENCYPART_ARC
(2,17),-3.02442 # DEPENDENCYPART_ARC
(2,18),-3.64565 # DEPENDENCYPART_ARC
(2,19),-7.1082 # DEPENDENCYPART_ARC
(2,20),-1.75009 # DEPENDENCYPART_ARC
(2,21),-4.14007 # DEPENDENCYPART_ARC
(2,22),-7.49874 # DEPENDENCYPART_ARC
(2,23),-7.48578 # DEPENDENCYPART_ARC
(2,24),-7.74228 # DEPENDENCYPART_ARC
(2,25),-11.0864 # DEPENDENCYPART_ARC
(3,1),-0.905628 # DEPENDENCYPART_ARC
(3,2),4.22569 # DEPENDENCYPART_ARC
(3,4),1.33546 # DEPENDENCYPART_ARC
(3,5),-0.561306 # DEPENDENCYPART_ARC
(3,6),-1.47877 # DEPENDENCYPART_ARC
(3,7),-2.01846 # DEPENDENCYPART_ARC
(3,8),-0.401789 # DEPENDENCYPART_ARC
(3,9),-3.55761 # DEPENDENCYPART_ARC
(3,10),-3.17152 # DEPENDENCYPART_ARC
(3,11),-2.08944 # DEPENDENCYPART_ARC
(3,12),-2.65477 # DEPENDENCYPART_ARC
(3,13),-1.4344 # DEPENDENCYPART_ARC
(3,14),-1.45849 # DEPENDENCYPART_ARC
(3,15),-0.992341 # DEPENDENCYPART_ARC
(3,16),-2.41082 # DEPENDENCYPART_ARC
(3,17),-3.84015 # DEPENDENCYPART_ARC
(3,18),-3.58199 # DEPENDENCYPART_ARC
(3,19),-7.60047 # DEPENDENCYPART_ARC
(3,20),-1.85241 # DEPENDENCYPART_ARC
(3,21),-5.41403 # DEPENDENCYPART_ARC
(3,22),-7.40788 # DEPENDENCYPART_ARC
(3,23),-7.67819 # DEPENDENCYPART_ARC
(3,24),-7.94436 # DEPENDENCYPART_ARC
(3,25),-10.1567 # DEPENDENCYPART_ARC
(4,1),-0.148831 # DEPENDENCYPART_ARC
(4,2),6.42007 # DEPENDENCYPART_ARC
(4,3),8.13834 # DEPENDENCYPART_ARC
(4,5),-0.0415622 # DEPENDENCYPART_ARC
(4,6),-1.60059 # DEPENDENCYPART_ARC
(4,7),-1.11761 # DEPENDENCYPART_ARC
(4,8),-0.712448 # DEPENDENCYPART_ARC
(4,9),-1.44581 # DEPENDENCYPART_ARC
(4,10),-2.32401 # DEPENDENCYPART_ARC
(4,11),-2.00868 # DEPENDENCYPART_ARC
(4,12),-2.4978 # DEPENDENCYPART_ARC
(4,13),-0.992017 # DEPENDENCYPART_ARC
(4,14),0.865699 # DEPENDENCYPART_ARC
(4,15),-0.127868 # DEPENDENCYPART_ARC
(4,16),-1.96679 # DEPENDENCYPART_ARC
(4,17),-3.62003 # DEPENDENCYPART_ARC
(4,18),-4.15796 # DEPENDENCYPART_ARC
(4,19),-7.32913 # DEPENDENCYPART_ARC
(4,20),0.531146 # DEPENDENCYPART_ARC
(4,21),-3.29023 # DEPENDENCYPART_ARC
(4,22),-5.98235 # DEPENDENCYPART_ARC
(4,23),-6.61268 # DEPENDENCYPART_ARC
(4,24),-7.13864 # DEPENDENCYPART_ARC
(4,25),-8.85474 # DEPENDENCYPART_ARC
(5,1),-1.32288 # DEPENDENCYPART_ARC
(5,2),0.210934 # DEPENDENCYPART_ARC
(5,3),-0.813989 # DEPENDENCYPART_ARC
(5,4),-0.696651 # DEPENDENCYPART_ARC
(5,6),-0.348481 # DEPENDENCYPART_ARC
(5,7),-0.175615 # DEPENDENCYPART_ARC
(5,8),-0.56382 # DEPENDENCYPART_ARC
(5,9),-0.929286 # DEPENDENCYPART_ARC
(5,10),-0.910949 # DEPENDENCYPART_ARC
(5,11),-1.31231 # DEPENDENCYPART_ARC
(5,12),-2.00397 # DEPENDENCYPART_ARC
(5,13),-1.20021 # DEPENDENCYPART_ARC
(5,14),-0.00241198 # DEPENDENCYPART_ARC
(5,15),-0.615004 # DEPENDENCYPART_ARC
(5,16),-2.44414 # DEPENDENCYPART_ARC
(5,17),-2.89251 # DEPENDENCYPART_ARC
(5,18),-1.93352 # DEPENDENCYPART_ARC
(5,19),-3.5898 # DEPENDENCYPART_ARC
(5,20),-0.75804 # DEPENDENCYPART_ARC
(5,21),-2.73415 # DEPENDENCYPART_ARC
(5,22),-4.14225 # DEPENDENCYPART_ARC
(5,23),-4.1881 # DEPENDENCYPART_ARC
(5,24),-3.97203 # DEPENDENCYPART_ARC
(5,25),-1.95473 # DEPENDENCYPART_ARC
(6,1),-1.20274 # DEPENDENCYPART_ARC
(6,2),-0.749741 # DEPENDENCYPART_ARC
(6,3),0.234605 # DEPENDENCYPART_ARC
(6,4),-0.995222 # DEPENDENCYPART_ARC
(6,5),-0.11831 # DEPENDENCYPART_ARC
(6,7),-1.13171 # DEPENDENCYPART_ARC
(6,8),-1.2406 # DEPENDENCYPART_ARC
(6,9),-1.40607 # DEPENDENCYPART_ARC
(6,10),-2.05433 # DEPENDENCYPART_ARC
(6,11),-2.85096 # DEPENDENCYPART_ARC
(6,12),-2.49251 # DEPENDENCYPART_ARC
(6,13),-1.69249 # DEPENDENCYPART_ARC
(6,14),-1.98248 # DEPENDENCYPART_ARC
(6,15),-1.51131 # DEPENDENCYPART_ARC
(6,16),-1.4491 # DEPENDENCYPART_ARC
(6,17),-3.36669 # DEPENDENCYPART_ARC
(6,18),-2.85467 # DEPENDENCYPART_ARC
(6,19),-3.59649 # DEPENDENCYPART_ARC
(6,20),-3.75951 # DEPENDENCYPART_ARC
(6,21),-4.33706 # DEPENDENCYPART_ARC
(6,22),-3.68672 # DEPENDENCYPART_ARC
(6,23),-4.46882 # DEPENDENCYPART_ARC
(6,24),-4.82623 # DEPENDENCYPART_ARC
(6,25),-2.53199 # DEPENDENCYPART_ARC
(7,1),-1.50593 # DEPENDENCYPART_ARC
(7,2),-2.19579 # DEPENDENCYPART_ARC
(7,3),-1.08677 # DEPENDENCYPART_ARC
(7,4),-2.89051 # DEPENDENCYPART_ARC
(7,5),-0.0815194 # DEPENDENCYPART_ARC
(7,6),1.21146 # DEPENDENCYPART_ARC
(7,8),2.67767 # DEPENDENCYPART_ARC
(7,9),-0.185838 # DEPENDENCYPART_ARC
(7,10),0.428507 # DEPENDENCYPART_ARC
(7,11),0.625229 # DEPENDENCYPART_ARC
(7,12),-0.619915 # DEPENDENCYPART_ARC
(7,13),-0.176079 # DEPENDENCYPART_ARC
(7,14),0.0850662 # DEPENDENCYPART_ARC
(7,15),0.211182 # DEPENDENCYPART_ARC
(7,16),-0.0726698 # DEPENDENCYPART_ARC
(7,17),-2.36995 # DEPENDENCYPART_ARC
(7,18),-0.13302 # DEPENDENCYPART_ARC
(7,19),-4.5979 # DEPENDENCYPART_ARC
(7,20),-1.72926 # DEPENDENCYPART_ARC
(7,21),-1.18581 # DEPENDENCYPART_ARC
(7,22),-3.94567 # DEPENDENCYPART_ARC
(7,23),-4.71455 # DEPENDENCYPART_ARC
(7,24),-4.79073 # DEPENDENCYPART_ARC
(7,25),-7.0981 # DEPENDENCYPART_ARC
(8,1),-2.34212 # DEPENDENCYPART_ARC
(8,2),-2.17567 # DEPENDENCYPART_ARC
(8,3),-2.81236 # DEPENDENCYPART_ARC
(8,4),-2.64066 # DEPENDENCYPART_ARC
(8,5),-0.724938 # DEPENDENCYPART_ARC
(8,6),-0.730878 # DEPENDENCYPART_ARC
(8,7),-1.1329 # DEPENDENCYPART_ARC
(8,9),0.871712 # DEPENDENCYPART_ARC
(8,10),3.89427 # DEPENDENCYPART_ARC
(8,11),-1.37584 # DEPENDENCYPART_ARC
(8,12),-1.90036 # DEPENDENCYPART_ARC
(8,13),-1.47923 # DEPENDENCYPART_ARC
(8,14),-2.31895 # DEPENDENCYPART_ARC
(8,15),-1.59002 # DEPENDENCYPART_ARC
(8,16),-1.94704 # DEPENDENCYPART_ARC
(8,17),-4.82486 # DEPENDENCYPART_ARC
(8,18),-2.3087 # DEPENDENCYPART_ARC
(8,19),-4.24105 # DEPENDENCYPART_ARC
(8,20),-3.24062 # DEPENDENCYPART_ARC
(8,21),-4.0006 # DEPENDENCYPART_ARC
(8,22),-8.84725 # DEPENDENCYPART_ARC
(8,23),-9.99917 # DEPENDENCYPART_ARC
(8,24),-10.2092 # DEPENDENCYPART_ARC
(8,25),-3.11198 # DEPENDENCYPART_ARC
(9,1),-2.49213 # DEPENDENCYPART_ARC
(9,2),-3.55644 # DEPENDENCYPART_ARC
(9,3),-2.54738 # DEPENDENCYPART_ARC
(9,4),-4.12 # DEPENDENCYPART_ARC
(9,5),-1.17035 # DEPENDENCYPART_ARC
(9,6),-2.28314 # DEPENDENCYPART_ARC
(9,7),-3.07745 # DEPENDENCYPART_ARC
(9,8),-0.902643 # DEPENDENCYPART_ARC
(9,10),-0.599732 # DEPENDENCYPART_ARC
(9,11),-1.24069 # DEPENDENCYPART_ARC
(9,12),-1.67054 # DEPENDENCYPART_ARC
(9,13),-1.22796 # DEPENDENCYPART_ARC
(9,14),-2.57873 # DEPENDENCYPART_ARC
(9,15),-0.93636 # DEPENDENCYPART_ARC
(9,16),-1.52753 # DEPENDENCYPART_ARC
(9,17),-3.89586 # DEPENDENCYPART_ARC
(9,18),-1.57238 # DEPENDENCYPART_ARC
(9,19),-3.56747 # DEPENDENCYPART_ARC
(9,20),-3.90309 # DEPENDENCYPART_ARC
(9,21),-4.12472 # DEPENDENCYPART_ARC
(9,22),-6.46894 # DEPENDENCYPART_ARC
(9,23),-7.3394 # DEPENDENCYPART_ARC
(9,24),-6.36699 # DEPENDENCYPART_ARC
(9,25),-3.6349 # DEPENDENCYPART_ARC
(10,1),-1.06544 # DEPENDENCYPART_ARC
(10,2),-1.91053 # DEPENDENCYPART_ARC
(10,3),-1.70407 # DEPENDENCYPART_ARC
(10,4),-2.67985 # DEPENDENCYPART_ARC
(10,5),-0.562043 # DEPENDENCYPART_ARC
(10,6),0.446971 # DEPENDENCYPART_ARC
(10,7),-3.15578 # DEPENDENCYPART_ARC
(10,8),-0.139756 # DEPENDENCYPART_ARC
(10,9),5.13407 # DEPENDENCYPART_ARC
(10,11),2.45303 # DEPENDENCYPART_ARC
(10,12),-0.00752723 # DEPENDENCYPART_ARC
(10,13),-0.748688 # DEPENDENCYPART_ARC
(10,14),-0.557749 # DEPENDENCYPART_ARC
(10,15),-0.958711 # DEPENDENCYPART_ARC
(10,16),-0.673417 # DEPENDENCYPART_ARC
(10,17),-1.65493 # DEPENDENCYPART_ARC
(10,18),-0.547671 # DEPENDENCYPART_ARC
(10,19),-4.20515 # DEPENDENCYPART_ARC
(10,20),-1.7862 # DEPENDENCYPART_ARC
(10,21),-3.63223 # DEPENDENCYPART_ARC
(10,22),-5.5099 # DEPENDENCYPART_ARC
(10,23),-5.56684 # DEPENDENCYPART_ARC
(10,24),-4.75334 # DEPENDENCYPART_ARC
(10,25),-6.54346 # DEPENDENCYPART_ARC
(11,1),-2.07445 # DEPENDENCYPART_ARC
(11,2),0.427076 # DEPENDENCYPART_ARC
(11,3),0.532022 # DEPENDENCYPART_ARC
(11,4),-1.96733 # DEPENDENCYPART_ARC
(11,5),-1.48769 # DEPENDENCYPART_ARC
(11,6),-0.0115195 # DEPENDENCYPART_ARC
(11,7),-6.02796 # DEPENDENCYPART_ARC
(11,8),-0.964722 # DEPENDENCYPART_ARC
(11,9),-1.35979 # DEPENDENCYPART_ARC
(11,10),-2.26471 # DEPENDENCYPART_ARC
(11,12),0.0445296 # DEPENDENCYPART_ARC
(11,13),-0.455475 # DEPENDENCYPART_ARC
(11,14),-1.58567 # DEPENDENCYPART_ARC
(11,15),-0.421394 # DEPENDENCYPART_ARC
(11,16),-0.441853 # DEPENDENCYPART_ARC
(11,17),-0.458435 # DEPENDENCYPART_ARC
(11,18),-1.86474 # DEPENDENCYPART_ARC
(11,19),-4.9732 # DEPENDENCYPART_ARC
(11,20),-2.51156 # DEPENDENCYPART_ARC
(11,21),-5.01353 # DEPENDENCYPART_ARC
(11,22),-4.32418 # DEPENDENCYPART_ARC
(11,23),-5.63204 # DEPENDENCYPART_ARC
(11,24),-5.20097 # DEPENDENCYPART_ARC
(11,25),-5.62151 # DEPENDENCYPART_ARC
(12,1),-1.89697 # DEPENDENCYPART_ARC
(12,2),-3.55111 # DEPENDENCYPART_ARC
(12,3),-3.36462 # DEPENDENCYPART_ARC
(12,4),-3.81709 # DEPENDENCYPART_ARC
(12,5),-2.18508 # DEPENDENCYPART_ARC
(12,6),-2.1509 # DEPENDENCYPART_ARC
(12,7),-2.89778 # DEPENDENCYPART_ARC
(12,8),-1.62101 # DEPENDENCYPART_ARC
(12,9),-2.84745 # DEPENDENCYPART_ARC
(12,10),-1.81491 # DEPENDENCYPART_ARC
(12,11),-1.74711 # DEPENDENCYPART_ARC
(12,13),-0.230978 # DEPENDENCYPART_ARC
(12,14),-3.13771 # DEPENDENCYPART_ARC
(12,15),-1.66062 # DEPENDENCYPART_ARC
(12,16),-1.91317 # DEPENDENCYPART_ARC
(12,17),-2.1267 # DEPENDENCYPART_ARC
(12,18),-2.76841 # DEPENDENCYPART_ARC
(12,19),-2.11431 # DEPENDENCYPART_ARC
(12,20),-4.34949 # DEPENDENCYPART_ARC
(12,21),-3.22649 # DEPENDENCYPART_ARC
(12,22),-2.4145 # DEPENDENCYPART_ARC
(12,23),-2.44636 # DEPENDENCYPART_ARC
(12,24),-2.6643 # DEPENDENCYPART_ARC
(12,25),-2.45594 # DEPENDENCYPART_ARC
(13,1),-2.66809 # DEPENDENCYPART_ARC
(13,2),-2.55072 # DEPENDENCYPART_ARC
(13,3),-2.52259 # DEPENDENCYPART_ARC
(13,4),-2.28976 # DEPENDENCYPART_ARC
(13,5),-1.29943 # DEPENDENCYPART_ARC
(13,6),-0.518151 # DEPENDENCYPART_ARC
(13,7),-2.47414 # DEPENDENCYPART_ARC
(13,8),-1.95793 # DEPENDENCYPART_ARC
(13,9),-2.19146 # DEPENDENCYPART_ARC
(13,10),-1.94229 # DEPENDENCYPART_ARC
(13,11),-1.02501 # DEPENDENCYPART_ARC
(13,12),-1.05262 # DEPENDENCYPART_ARC
(13,14),-1.15848 # DEPENDENCYPART_ARC
(13,15),-1.19956 # DEPENDENCYPART_ARC
(13,16),-1.2934 # DEPENDENCYPART_ARC
(13,17),-1.5434 # DEPENDENCYPART_ARC
(13,18),-1.11809 # DEPENDENCYPART_ARC
(13,19),-3.1988 # DEPENDENCYPART_ARC
(13,20),-2.68331 # DEPENDENCYPART_ARC
(13,21),-3.32354 # DEPENDENCYPART_ARC
(13,22),-4.76641 # DEPENDENCYPART_ARC
(13,23),-5.08499 # DEPENDENCYPART_ARC
(13,24),-5.7547 # DEPENDENCYPART_ARC
(13,25),-3.00608 # DEPENDENCYPART_ARC
(14,1),2.25705 # DEPENDENCYPART_ARC
(14,2),-2.6492 # DEPENDENCYPART_ARC
(14,3),-2.468 # DEPENDENCYPART_ARC
(14,4),-3.51998 # DEPENDENCYPART_ARC
(14,5),1.89383 # DEPENDENCYPART_ARC
(14,6),-0.524727 # DEPENDENCYPART_ARC
(14,7),3.04624 # DEPENDENCYPART_ARC
(14,8),1.45455 # DEPENDENCYPART_ARC
(14,9),-2.84535 # DEPENDENCYPART_ARC
(14,10),0.455319 # DEPENDENCYPART_ARC
(14,11),-1.05536 # DEPENDENCYPART_ARC
(14,12),4.73061 # DEPENDENCYPART_ARC
(14,13),3.36934 # DEPENDENCYPART_ARC
(14,15),0.607927 # DEPENDENCYPART_ARC
(14,16),0.828243 # DEPENDENCYPART_ARC
(14,17),-1.4891 # DEPENDENCYPART_ARC
(14,18),1.21827 # DEPENDENCYPART_ARC
(14,19),-2.25459 # DEPENDENCYPART_ARC
(14,20),-1.9923 # DEPENDENCYPART_ARC
(14,21),-1.51495 # DEPENDENCYPART_ARC
(14,22),-1.40371 # DEPENDENCYPART_ARC
(14,23),-2.30885 # DEPENDENCYPART_ARC
(14,24),-1.26425 # DEPENDENCYPART_ARC
(14,25),-1.16903 # DEPENDENCYPART_ARC
(15,1),0.481496 # DEPENDENCYPART_ARC
(15,2),0.00542222 # DEPENDENCYPART_ARC
(15,3),-0.286431 # DEPENDENCYPART_ARC
(15,4),-0.555849 # DEPENDENCYPART_ARC
(15,5),0.458768 # DEPENDENCYPART_ARC
(15,6),-0.127049 # DEPENDENCYPART_ARC
(15,7),-0.0819284 # DEPENDENCYPART_ARC
(15,8),0.971428 # DEPENDENCYPART_ARC
(15,9),-0.137671 # DEPENDENCYPART_ARC
(15,10),0.175763 # DEPENDENCYPART_ARC
(15,11),0.101511 # DEPENDENCYPART_ARC
(15,12),1.04326 # DEPENDENCYPART_ARC
(15,13),0.478731 # DEPENDENCYPART_ARC
(15,14),0.831637 # DEPENDENCYPART_ARC
(15,16),0.92501 # DEPENDENCYPART_ARC
(15,17),0.534157 # DEPENDENCYPART_ARC
(15,18),0.913797 # DEPENDENCYPART_ARC
(15,19),-0.398182 # DEPENDENCYPART_ARC
(15,20),1.20823 # DEPENDENCYPART_ARC
(15,21),-0.270986 # DEPENDENCYPART_ARC
(15,22),-1.2403 # DEPENDENCYPART_ARC
(15,23),-1.30116 # DEPENDENCYPART_ARC
(15,24),-1.43945 # DEPENDENCYPART_ARC
(15,25),-0.544734 # DEPENDENCYPART_ARC
(16,1),-4.42741 # DEPENDENCYPART_ARC
(16,2),-3.62137 # DEPENDENCYPART_ARC
(16,3),-4.18791 # DEPENDENCYPART_ARC
(16,4),-4.13884 # DEPENDENCYPART_ARC
(16,5),-1.8799 # DEPENDENCYPART_ARC
(16,6),-2.69907 # DEPENDENCYPART_ARC
(16,7),-3.92347 # DEPENDENCYPART_ARC
(16,8),-3.14351 # DEPENDENCYPART_ARC
(16,9),-2.78253 # DEPENDENCYPART_ARC
(16,10),-2.74806 # DEPENDENCYPART_ARC
(16,11),-3.33762 # DEPENDENCYPART_ARC
(16,12),-1.86835 # DEPENDENCYPART_ARC
(16,13),-1.69296 # DEPENDENCYPART_ARC
(16,14),-1.88185 # DEPENDENCYPART_ARC
(16,15),0.692903 # DEPENDENCYPART_ARC
(16,17),3.79311 # DEPENDENCYPART_ARC
(16,18),-0.497105 # DEPENDENCYPART_ARC
(16,19),-0.0593117 # DEPENDENCYPART_ARC
(16,20),-1.37661 # DEPENDENCYPART_ARC
(16,21),-1.70354 # DEPENDENCYPART_ARC
(16,22),-6.04174 # DEPENDENCYPART_ARC
(16,23),-6.9122 # DEPENDENCYPART_ARC
(16,24),-7.43127 # DEPENDENCYPART_ARC
(16,25),-0.771915 # DEPENDENCYPART_ARC
(17,1),-3.01025 # DEPENDENCYPART_ARC
(17,2),-3.00318 # DEPENDENCYPART_ARC
(17,3),-1.89712 # DEPENDENCYPART_ARC
(17,4),-4.42835 # DEPENDENCYPART_ARC
(17,5),-2.59737 # DEPENDENCYPART_ARC
(17,6),-1.74 # DEPENDENCYPART_ARC
(17,7),-5.8597 # DEPENDENCYPART_ARC
(17,8),-1.84668 # DEPENDENCYPART_ARC
(17,9),-4.83742 # DEPENDENCYPART_ARC
(17,10),-5.73447 # DEPENDENCYPART_ARC
(17,11),-3.81954 # DEPENDENCYPART_ARC
(17,12),-2.92661 # DEPENDENCYPART_ARC
(17,13),-1.2686 # DEPENDENCYPART_ARC
(17,14),-2.81384 # DEPENDENCYPART_ARC
(17,15),-0.701675 # DEPENDENCYPART_ARC
(17,16),0.00463681 # DEPENDENCYPART_ARC
(17,18),1.88945 # DEPENDENCYPART_ARC
(17,19),-1.57087 # DEPENDENCYPART_ARC
(17,20),-0.467334 # DEPENDENCYPART_ARC
(17,21),-1.62015 # DEPENDENCYPART_ARC
(17,22),-2.09173 # DEPENDENCYPART_ARC
(17,23),-3.15687 # DEPENDENCYPART_ARC
(17,24),-3.14563 # DEPENDENCYPART_ARC
(17,25),-3.2384 # DEPENDENCYPART_ARC
(18,1),-3.21944 # DEPENDENCYPART_ARC
(18,2),-2.22111 # DEPENDENCYPART_ARC
(18,3),-3.05363 # DEPENDENCYPART_ARC
(18,4),-2.92746 # DEPENDENCYPART_ARC
(18,5),-1.62972 # DEPENDENCYPART_ARC
(18,6),-2.11784 # DEPENDENCYPART_ARC
(18,7),-3.05007 # DEPENDENCYPART_ARC
(18,8),-1.76422 # DEPENDENCYPART_ARC
(18,9),-1.63818 # DEPENDENCYPART_ARC
(18,10),-1.55731 # DEPENDENCYPART_ARC
(18,11),-2.6963 # DEPENDENCYPART_ARC
(18,12),-1.57399 # DEPENDENCYPART_ARC
(18,13),-1.54334 # DEPENDENCYPART_ARC
(18,14),-1.46921 # DEPENDENCYPART_ARC
(18,15),0.238562 # DEPENDENCYPART_ARC
(18,16),0.311089 # DEPENDENCYPART_ARC
(18,17),1.66018 # DEPENDENCYPART_ARC
(18,19),5.46668 # DEPENDENCYPART_ARC
(18,20),-1.67632 # DEPENDENCYPART_ARC
(18,21),-1.67948 # DEPENDENCYPART_ARC
(18,22),-3.36143 # DEPENDENCYPART_ARC
(18,23),-4.12703 # DEPENDENCYPART_ARC
(18,24),-4.85599 # DEPENDENCYPART_ARC
(18,25),-1.32598 # DEPENDENCYPART_ARC
(19,1),-3.24588 # DEPENDENCYPART_ARC
(19,2),-3.8353 # DEPENDENCYPART_ARC
(19,3),-4.2999 # DEPENDENCYPART_ARC
(19,4),-5.75567 # DEPENDENCYPART_ARC
(19,5),-2.83366 # DEPENDENCYPART_ARC
(19,6),-3.44814 # DEPENDENCYPART_ARC
(19,7),-8.83217 # DEPENDENCYPART_ARC
(19,8),-1.98122 # DEPENDENCYPART_ARC
(19,9),-5.69274 # DEPENDENCYPART_ARC
(19,10),-5.81298 # DEPENDENCYPART_ARC
(19,11),-3.83447 # DEPENDENCYPART_ARC
(19,12),-3.65939 # DEPENDENCYPART_ARC
(19,13),-1.86654 # DEPENDENCYPART_ARC
(19,14),-4.20863 # DEPENDENCYPART_ARC
(19,15),-1.40176 # DEPENDENCYPART_ARC
(19,16),-0.640041 # DEPENDENCYPART_ARC
(19,17),-3.98151 # DEPENDENCYPART_ARC
(19,18),0.310197 # DEPENDENCYPART_ARC
(19,20),-0.149278 # DEPENDENCYPART_ARC
(19,21),-2.64125 # DEPENDENCYPART_ARC
(19,22),-2.54509 # DEPENDENCYPART_ARC
(19,23),-3.40242 # DEPENDENCYPART_ARC
(19,24),-3.24458 # DEPENDENCYPART_ARC
(19,25),-2.57566 # DEPENDENCYPART_ARC
(20,1),1.50309 # DEPENDENCYPART_ARC
(20,2),-2.40752 # DEPENDENCYPART_ARC
(20,3),-2.58529 # DEPENDENCYPART_ARC
(20,4),-3.17817 # DEPENDENCYPART_ARC
(20,5),1.22205 # DEPENDENCYPART_ARC
(20,6),-1.1248 # DEPENDENCYPART_ARC
(20,7),1.11392 # DEPENDENCYPART_ARC
(20,8),0.0932545 # DEPENDENCYPART_ARC
(20,9),-4.29089 # DEPENDENCYPART_ARC
(20,10),-1.04884 # DEPENDENCYPART_ARC
(20,11),-1.95733 # DEPENDENCYPART_ARC
(20,12),3.01151 # DEPENDENCYPART_ARC
(20,13),1.24718 # DEPENDENCYPART_ARC
(20,14),-1.78577 # DEPENDENCYPART_ARC
(20,15),1.36197 # DEPENDENCYPART_ARC
(20,16),2.0889 # DEPENDENCYPART_ARC
(20,17),-0.589233 # DEPENDENCYPART_ARC
(20,18),1.6114 # DEPENDENCYPART_ARC
(20,19),1.68758 # DEPENDENCYPART_ARC
(20,21),1.62305 # DEPENDENCYPART_ARC
(20,22),2.59207 # DEPENDENCYPART_ARC
(20,23),1.5632 # DEPENDENCYPART_ARC
(20,24),2.58197 # DEPENDENCYPART_ARC
(20,25),-0.382782 # DEPENDENCYPART_ARC
(21,1),-2.62137 # DEPENDENCYPART_ARC
