# _root_ Šest členů prezídia proto tlačí na odvolání Tomáše Ježka a prosazuje , aby se na jeho místo dostal úředník , který na FNM udělá pořádek .
#goldHeads=10,1,2,10,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
#predictedHeads=5,1,2,0,10,5,6,9,7,4,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
(8,25),-9.4991 # DEPENDENCYPART_ARC
(8,26),-7.0655 # DEPENDENCYPART_ARC
(9,1),-3.4149 # DEPENDENCYPART_ARC
(9,2),0.0345383 # DEPENDENCYPART_ARC
(9,3),-3.36355 # DEPENDENCYPART_ARC
(9,4),-0.904315 # DEPENDENCYPART_ARC
(9,5),-1.17154 # DEPENDENCYPART_ARC
(9,6),0.637033 # DEPENDENCYPART_ARC
(9,7),-0.403507 # DEPENDENCYPART_ARC
(9,8),6.48356 # DEPENDENCYPART_ARC
(9,10),-0.519061 # DEPENDENCYPART_ARC
(9,11),-2.77865 # DEPENDENCYPART_ARC
(9,12),-1.40318 # DEPENDENCYPART_ARC
(9,13),-2.1577 # DEPENDENCYPART_ARC
(9,14),-2.36506 # DEPENDENCYPART_ARC
(9,15),-3.07057 # DEPENDENCYPART_ARC
(9,16),-3.55188 # DEPENDENCYPART_ARC
(9,17),-5.44453 # DEPENDENCYPART_ARC
(9,18),-3.92731 # DEPENDENCYPART_ARC
(9,19),-6.02699 # DEPENDENCYPART_ARC
(9,20),-2.1298 # DEPENDENCYPART_ARC
(9,21),-4.53069 # DEPENDENCYPART_ARC
(9,22),-4.15384 # DEPENDENCYPART_ARC
(9,23),-4.053 # DEPENDENCYPART_ARC
(9,24),-5.20402 # DEPENDENCYPART_ARC
(9,25),-9.03738 # DEPENDENCYPART_ARC
(9,26),-6.75913 # DEPENDENCYPART_ARC
(10,1),-0.651703 # DEPENDENCYPART_ARC
(10,2),0.553834 # DEPENDENCYPART_ARC
(10,3),0.400594 # DEPENDENCYPART_ARC
(10,4),0.786084 # DEPENDENCYPART_ARC
(10,5),3.17721 # DEPENDENCYPART_ARC
(10,6),0.610147 # DEPENDENCYPART_ARC
(10,7),2.29858 # DEPENDENCYPART_ARC
(10,8),1.82501 # DEPENDENCYPART_ARC
(10,9),1.28716 # DEPENDENCYPART_ARC
(10,11),2.48277 # DEPENDENCYPART_ARC
(10,12),0.0196087 # DEPENDENCYPART_ARC
(10,13),0.460885 # DEPENDENCYPART_ARC
(10,14),-0.879776 # DEPENDENCYPART_ARC
(10,15),-1.11203 # DEPENDENCYPART_ARC
(10,16),-0.971286 # DEPENDENCYPART_ARC
(10,17),-1.09037 # DEPENDENCYPART_ARC
(10,18),-0.015416 # DEPENDENCYPART_ARC
(10,19),-2.67779 # DEPENDENCYPART_ARC
(10,20),-0.033338 # DEPENDENCYPART_ARC
(10,21),-1.58216 # DEPENDENCYPART_ARC
(10,22),-1.76766 # DEPENDENCYPART_ARC
(10,23),-3.50186 # DEPENDENCYPART_ARC
(10,24),-0.895883 # DEPENDENCYPART_ARC
(10,25),-4.60615 # DEPENDENCYPART_ARC
(10,26),-1.9896 # DEPENDENCYPART_ARC
(11,1),-1.21415 # DEPENDENCYPART_ARC
(11,2),-3.51469 # DEPENDENCYPART_ARC
(11,3),-2.70909 # DEPENDENCYPART_ARC
(11,4),-0.397969 # DEPENDENCYPART_ARC
(11,5),-1.21569 # DEPENDENCYPART_ARC
(11,6),-0.267196 # DEPENDENCYPART_ARC
(11,7),-0.261322 # DEPENDENCYPART_ARC
(11,8),-2.15612 # DEPENDENCYPART_ARC
(11,9),-1.99667 # DEPENDENCYPART_ARC
(11,10),0.484381 # DEPENDENCYPART_ARC
(11,12),0.590017 # DEPENDENCYPART_ARC
(11,13),2.06765 # DEPENDENCYPART_ARC
(11,14),0.0110405 # DEPENDENCYPART_ARC
(11,15),-0.0613191 # DEPENDENCYPART_ARC
(11,16),-5.1152 # DEPENDENCYPART_ARC
(11,17),-2.06218 # DEPENDENCYPART_ARC
(11,18),-1.36486 # DEPENDENCYPART_ARC
(11,19),-2.10069 # DEPENDENCYPART_ARC
(11,20),-0.281923 # DEPENDENCYPART_ARC
(11,21),-3.37011 # DEPENDENCYPART_ARC
(11,22),-1.25511 # DEPENDENCYPART_ARC
(11,23),-5.97659 # DEPENDENCYPART_ARC
(11,24),-2.28802 # DEPENDENCYPART_ARC
(11,25),-3.4849 # DEPENDENCYPART_ARC
(11,26),-1.56559 # DEPENDENCYPART_ARC
(12,1),-1.49397 # DEPENDENCYPART_ARC
(12,2),-0.822199 # DEPENDENCYPART_ARC
(12,3),-1.03002 # DEPENDENCYPART_ARC
(12,4),-0.482107 # DEPENDENCYPART_ARC
(12,5),-0.0784058 # DEPENDENCYPART_ARC
(12,6),-0.859246 # DEPENDENCYPART_ARC
(12,7),-0.167787 # DEPENDENCYPART_ARC
(12,8),-0.321813 # DEPENDENCYPART_ARC
(12,9),-0.322406 # DEPENDENCYPART_ARC
(12,10),-0.264171 # DEPENDENCYPART_ARC
(12,11),-0.488149 # DEPENDENCYPART_ARC
(12,13),0.0990944 # DEPENDENCYPART_ARC
(12,14),-0.655623 # DEPENDENCYPART_ARC
(12,15),-1.07645 # DEPENDENCYPART_ARC
(12,16),-1.0761 # DEPENDENCYPART_ARC
(12,17),-1.67188 # DEPENDENCYPART_ARC
(12,18),-0.230302 # DEPENDENCYPART_ARC
(12,19),-2.51758 # DEPENDENCYPART_ARC
(12,20),-0.795351 # DEPENDENCYPART_ARC
(12,21),-1.71305 # DEPENDENCYPART_ARC
(12,22),-2.47741 # DEPENDENCYPART_ARC
(12,23),-3.45892 # DEPENDENCYPART_ARC
(12,24),-1.18092 # DEPENDENCYPART_ARC
(12,25),-3.98515 # DEPENDENCYPART_ARC
(12,26),-1.11722 # DEPENDENCYPART_ARC
(13,1),-2.85416 # DEPENDENCYPART_ARC
(13,2),-2.28034 # DEPENDENCYPART_ARC
(13,3),-1.76625 # DEPENDENCYPART_ARC
(13,4),-1.16164 # DEPENDENCYPART_ARC
(13,5),-1.35001 # DEPENDENCYPART_ARC
(13,6),-1.91179 # DEPENDENCYPART_ARC
(13,7),-0.660089 # DEPENDENCYPART_ARC
(13,8),-1.01907 # DEPENDENCYPART_ARC
(13,9),-0.878985 # DEPENDENCYPART_ARC
(13,10),-0.505985 # DEPENDENCYPART_ARC
(13,11),-0.618249 # DEPENDENCYPART_ARC
(13,12),2.56257 # DEPENDENCYPART_ARC
(13,14),-0.428967 # DEPENDENCYPART_ARC
(13,15),-0.808393 # DEPENDENCYPART_ARC
(13,16),-0.349575 # DEPENDENCYPART_ARC
(13,17),-1.90724 # DEPENDENCYPART_ARC
(13,18),2.60667 # DEPENDENCYPART_ARC
(13,19),-2.02079 # DEPENDENCYPART_ARC
(13,20),0.333415 # DEPENDENCYPART_ARC
(13,21),-1.71522 # DEPENDENCYPART_ARC
(13,22),-2.43679 # DEPENDENCYPART_ARC
(13,23),-3.77942 # DEPENDENCYPART_ARC
(13,24),1.05213 # DEPENDENCYPART_ARC
(13,25),-3.51518 # DEPENDENCYPART_ARC
(13,26),-1.25696 # DEPENDENCYPART_ARC
(14,1),-3.31079 # DEPENDENCYPART_ARC
(14,2),-4.0891 # DEPENDENCYPART_ARC
(14,3),-3.76286 # DEPENDENCYPART_ARC
(14,4),-3.6097 # DEPENDENCYPART_ARC
(14,5),-3.01052 # DEPENDENCYPART_ARC
(14,6),-2.40581 # DEPENDENCYPART_ARC
(14,7),-3.30662 # DEPENDENCYPART_ARC
(14,8),-3.37101 # DEPENDENCYPART_ARC
(14,9),-3.20249 # DEPENDENCYPART_ARC
(14,10),-2.77458 # DEPENDENCYPART_ARC
(14,11),-2.25411 # DEPENDENCYPART_ARC
(14,12),-1.53501 # DEPENDENCYPART_ARC
(14,13),-0.214401 # DEPENDENCYPART_ARC
(14,15),-1.16118 # DEPENDENCYPART_ARC
(14,16),-1.43806 # DEPENDENCYPART_ARC
(14,17),-1.26904 # DEPENDENCYPART_ARC
(14,18),-2.36934 # DEPENDENCYPART_ARC
(14,19),-1.95756 # DEPENDENCYPART_ARC
(14,20),-1.62171 # DEPENDENCYPART_ARC
(14,21),-2.51384 # DEPENDENCYPART_ARC
(14,22),-2.52271 # DEPENDENCYPART_ARC
(14,23),-2.60168 # DEPENDENCYPART_ARC
(14,24),-4.33735 # DEPENDENCYPART_ARC
(14,25),-1.96381 # DEPENDENCYPART_ARC
(14,26),-2.40129 # DEPENDENCYPART_ARC
(15,1),-2.7929 # DEPENDENCYPART_ARC
(15,2),-3.78879 # DEPENDENCYPART_ARC
(15,3),-2.7798 # DEPENDENCYPART_ARC
(15,4),-2.02336 # DEPENDENCYPART_ARC
(15,5),-3.34478 # DEPENDENCYPART_ARC
(15,6),-2.10011 # DEPENDENCYPART_ARC
(15,7),-2.18842 # DEPENDENCYPART_ARC
(15,8),-2.66492 # DEPENDENCYPART_ARC
(15,9),-2.30103 # DEPENDENCYPART_ARC
(15,10),-1.52992 # DEPENDENCYPART_ARC
(15,11),-2.59359 # DEPENDENCYPART_ARC
(15,12),0.712129 # DEPENDENCYPART_ARC
(15,13),-0.17905 # DEPENDENCYPART_ARC
(15,14),-0.200957 # DEPENDENCYPART_ARC
(15,16),1.49892 # DEPENDENCYPART_ARC
(15,17),5.59967 # DEPENDENCYPART_ARC
(15,18),-0.973345 # DEPENDENCYPART_ARC
(15,19),-2.8148 # DEPENDENCYPART_ARC
(15,20),-0.356388 # DEPENDENCYPART_ARC
(15,21),-2.65096 # DEPENDENCYPART_ARC
(15,22),-1.21653 # DEPENDENCYPART_ARC
(15,23),-2.05278 # DEPENDENCYPART_ARC
(15,24),-1.41369 # DEPENDENCYPART_ARC
(15,25),-3.61042 # DEPENDENCYPART_ARC
(15,26),-1.40079 # DEPENDENCYPART_ARC
(16,1),-3.27574 # DEPENDENCYPART_ARC
(16,2),-4.6494 # DEPENDENCYPART_ARC
(16,3),-3.83392 # DEPENDENCYPART_ARC
(16,4),-3.60966 # DEPENDENCYPART_ARC
(16,5),-3.94243 # DEPENDENCYPART_ARC
(16,6),-2.90386 # DEPENDENCYPART_ARC
(16,7),-3.46692 # DEPENDENCYPART_ARC
(16,8),-3.70107 # DEPENDENCYPART_ARC
(16,9),-4.19884 # DEPENDENCYPART_ARC
(16,10),-3.12813 # DEPENDENCYPART_ARC
(16,11),-3.28124 # DEPENDENCYPART_ARC
(16,12),-2.20209 # DEPENDENCYPART_ARC
(16,13),-2.04389 # DEPENDENCYPART_ARC
(16,14),-2.12336 # DEPENDENCYPART_ARC
(16,15),-1.11854 # DEPENDENCYPART_ARC
(16,17),-1.55454 # DEPENDENCYPART_ARC
(16,18),-2.91275 # DEPENDENCYPART_ARC
(16,19),-2.74281 # DEPENDENCYPART_ARC
(16,20),-1.44217 # DEPENDENCYPART_ARC
(16,21),-1.37887 # DEPENDENCYPART_ARC
(16,22),-2.12289 # DEPENDENCYPART_ARC
(16,23),-4.916 # DEPENDENCYPART_ARC
(16,24),-5.28841 # DEPENDENCYPART_ARC
(16,25),-3.83638 # DEPENDENCYPART_ARC
(16,26),-1.93927 # DEPENDENCYPART_ARC
(17,1),-5.52947 # DEPENDENCYPART_ARC
(17,2),-7.06966 # DEPENDENCYPART_ARC
(17,3),-7.3762 # DEPENDENCYPART_ARC
(17,4),-4.57542 # DEPENDENCYPART_ARC
(17,5),-3.07163 # DEPENDENCYPART_ARC
(17,6),-1.64831 # DEPENDENCYPART_ARC
(17,7),-3.16491 # DEPENDENCYPART_ARC
(17,8),-4.1787 # DEPENDENCYPART_ARC
(17,9),-5.55163 # DEPENDENCYPART_ARC
(17,10),-3.60922 # DEPENDENCYPART_ARC
(17,11),-2.57643 # DEPENDENCYPART_ARC
(17,12),-0.603536 # DEPENDENCYPART_ARC
(17,13),-0.89602 # DEPENDENCYPART_ARC
(17,14),-1.76615 # DEPENDENCYPART_ARC
(17,15),0.163191 # DEPENDENCYPART_ARC
(17,16),6.34313 # DEPENDENCYPART_ARC
(17,18),-0.635976 # DEPENDENCYPART_ARC
(17,19),-2.43152 # DEPENDENCYPART_ARC
(17,20),-1.02763 # DEPENDENCYPART_ARC
(17,21),-2.99606 # DEPENDENCYPART_ARC
(17,22),-0.730993 # DEPENDENCYPART_ARC
(17,23),-3.26742 # DEPENDENCYPART_ARC
(17,24),-2.21397 # DEPENDENCYPART_ARC
(17,25),-5.06135 # DEPENDENCYPART_ARC
(17,26),-3.62272 # DEPENDENCYPART_ARC
(18,1),-0.647485 # DEPENDENCYPART_ARC
(18,2),-3.47361 # DEPENDENCYPART_ARC
(18,3),-3.98306 # DEPENDENCYPART_ARC
(18,4),-0.66847 # DEPENDENCYPART_ARC
(18,5),-0.98899 # DEPENDENCYPART_ARC
(18,6),0.414569 # DEPENDENCYPART_ARC
(18,7),-0.814362 # DEPENDENCYPART_ARC
(18,8),-3.22474 # DEPENDENCYPART_ARC
(18,9),-3.26131 # DEPENDENCYPART_ARC
(18,10),-0.701398 # DEPENDENCYPART_ARC
(18,11),-1.05351 # DEPENDENCYPART_ARC
(18,12),0.41471 # DEPENDENCYPART_ARC
(18,13),-0.354489 # DEPENDENCYPART_ARC
(18,14),3.81325 # DEPENDENCYPART_ARC
(18,15),3.04676 # DEPENDENCYPART_ARC
(18,16),-1.4917 # DEPENDENCYPART_ARC
(18,17),2.79234 # DEPENDENCYPART_ARC
(18,19),3.27563 # DEPENDENCYPART_ARC
(18,20),0.368278 # DEPENDENCYPART_ARC
(18,21),-0.823241 # DEPENDENCYPART_ARC
(18,22),0.857882 # DEPENDENCYPART_ARC
(18,23),-2.26699 # DEPENDENCYPART_ARC
(18,24),-0.768785 # DEPENDENCYPART_ARC
(18,25),0.508992 # DEPENDENCYPART_ARC
(18,26),-0.741891 # DEPENDENCYPART_ARC
(19,1),-7.28281 # DEPENDENCYPART_ARC
(19,2),-7.41419 # DEPENDENCYPART_ARC
(19,3),-9.62364 # DEPENDENCYPART_ARC
(19,4),-5.18003 # DEPENDENCYPART_ARC
(19,5),-3.15053 # DEPENDENCYPART_ARC
(19,6),-1.02174 # DEPENDENCYPART_ARC
(19,7),-7.49779 # DEPENDENCYPART_ARC
(19,8),-3.07251 # DEPENDENCYPART_ARC
(19,9),-4.78183 # DEPENDENCYPART_ARC
(19,10),-4.08014 # DEPENDENCYPART_ARC
(19,11),-2.73758 # DEPENDENCYPART_ARC
(19,12),-1.30058 # DEPENDENCYPART_ARC
(19,13),-1.783 # DEPENDENCYPART_ARC
(19,14),-3.04308 # DEPENDENCYPART_ARC
(19,15),0.9304 # DEPENDENCYPART_ARC
(19,16),2.77178 # DEPENDENCYPART_ARC
(19,17),-3.28598 # DEPENDENCYPART_ARC
(19,18),-2.15104 # DEPENDENCYPART_ARC
(19,20),-0.0792082 # DEPENDENCYPART_ARC
(19,21),0.399785 # DEPENDENCYPART_ARC
(19,22),-0.0687806 # DEPENDENCYPART_ARC
(19,23),0.362891 # DEPENDENCYPART_ARC
(19,24),1.75044 # DEPENDENCYPART_ARC
(19,25),-4.53131 # DEPENDENCYPART_ARC
(19,26),-1.57619 # DEPENDENCYPART_ARC
(20,1),-3.15546 # DEPENDENCYPART_ARC
(20,2),-2.98838 # DEPENDENCYPART_ARC
(20,3),-3.25031 # DEPENDENCYPART_ARC
(20,4),-1.89831 # DEPENDENCYPART_ARC
(20,5),-0.475401 # DEPENDENCYPART_ARC
