# _root_ Ženy , které byly donuceny poskytovat sexuální služby japonským vojákům za války , budou odškodněny formou zřízení center pro vzdělávání žen v jednotlivých zemích .
#goldHeads=15,5,5,5,1,5,8,6,10,6,6,11,5,15,0,15,16,17,18,19,20,18,24,22,0,
#predictedHeads=0,5,5,5,1,5,8,6,10,6,10,11,5,15,8,15,16,17,18,19,20,20,24,22,0,
(2,24),-7.15539 # DEPENDENCYPART_ARC
(2,25),-3.38387 # DEPENDENCYPART_ARC
(3,1),-1.89735 # DEPENDENCYPART_ARC
(3,2),-0.436661 # DEPENDENCYPART_ARC
(3,4),-0.946676 # DEPENDENCYPART_ARC
(3,5),-1.36729 # DEPENDENCYPART_ARC
(3,7),-1.65148 # DEPENDENCYPART_ARC
(3,8),-2.06616 # DEPENDENCYPART_ARC
(3,9),-2.03315 # DEPENDENCYPART_ARC
(3,10),-1.26302 # DEPENDENCYPART_ARC
(3,11),-0.39532 # DEPENDENCYPART_ARC
(3,12),-1.9479 # DEPENDENCYPART_ARC
(3,13),-0.526463 # DEPENDENCYPART_ARC
(3,14),-6.60435 # DEPENDENCYPART_ARC
(3,15),-5.47217 # DEPENDENCYPART_ARC
(3,16),-3.00462 # DEPENDENCYPART_ARC
(3,17),-2.76537 # DEPENDENCYPART_ARC
(3,18),-2.84548 # DEPENDENCYPART_ARC
(3,19),-2.26785 # DEPENDENCYPART_ARC
(3,20),-3.30781 # DEPENDENCYPART_ARC
(3,21),-2.89462 # DEPENDENCYPART_ARC
(3,22),-1.99319 # DEPENDENCYPART_ARC
(3,23),-3.8848 # DEPENDENCYPART_ARC
(3,24),-2.52608 # DEPENDENCYPART_ARC
(3,25),-2.52002 # DEPENDENCYPART_ARC
(4,1),-0.44947 # DEPENDENCYPART_ARC
(4,2),0.903842 # DEPENDENCYPART_ARC
(4,3),1.18631 # DEPENDENCYPART_ARC
(4,5),1.85527 # DEPENDENCYPART_ARC
(4,6),1.01409 # DEPENDENCYPART_ARC
(4,7),-4.02339 # DEPENDENCYPART_ARC
(4,8),0.0626161 # DEPENDENCYPART_ARC
(4,9),-2.76973 # DEPENDENCYPART_ARC
(4,10),-1.51428 # DEPENDENCYPART_ARC
(4,11),0.2326 # DEPENDENCYPART_ARC
(4,12),-4.59235 # DEPENDENCYPART_ARC
(4,13),0.838139 # DEPENDENCYPART_ARC
(4,14),-4.39319 # DEPENDENCYPART_ARC
(4,15),-2.76693 # DEPENDENCYPART_ARC
(4,16),-3.63776 # DEPENDENCYPART_ARC
(4,17),-5.46754 # DEPENDENCYPART_ARC
(4,18),-5.13808 # DEPENDENCYPART_ARC
(4,19),-1.65089 # DEPENDENCYPART_ARC
(4,20),-4.9689 # DEPENDENCYPART_ARC
(4,21),-5.63742 # DEPENDENCYPART_ARC
(4,22),-0.888754 # DEPENDENCYPART_ARC
(4,23),-7.00515 # DEPENDENCYPART_ARC
(4,24),-5.80175 # DEPENDENCYPART_ARC
(4,25),-1.22851 # DEPENDENCYPART_ARC
(5,1),1.17142 # DEPENDENCYPART_ARC
(5,2),2.02547 # DEPENDENCYPART_ARC
(5,3),2.6326 # DEPENDENCYPART_ARC
(5,4),4.5533 # DEPENDENCYPART_ARC
(5,6),3.41904 # DEPENDENCYPART_ARC
(5,7),-3.50614 # DEPENDENCYPART_ARC
(5,8),0.144481 # DEPENDENCYPART_ARC
(5,9),-1.60501 # DEPENDENCYPART_ARC
(5,10),0.294195 # DEPENDENCYPART_ARC
(5,11),0.854658 # DEPENDENCYPART_ARC
(5,12),-2.99345 # DEPENDENCYPART_ARC
(5,13),0.862725 # DEPENDENCYPART_ARC
(5,14),-2.2259 # DEPENDENCYPART_ARC
(5,16),-1.71501 # DEPENDENCYPART_ARC
(5,17),-3.72879 # DEPENDENCYPART_ARC
(5,18),-3.47951 # DEPENDENCYPART_ARC
(5,19),-1.18093 # DEPENDENCYPART_ARC
(5,20),-4.72312 # DEPENDENCYPART_ARC
(5,21),-4.02632 # DEPENDENCYPART_ARC
(5,22),-1.14824 # DEPENDENCYPART_ARC
(5,23),-7.3078 # DEPENDENCYPART_ARC
(5,24),-3.79459 # DEPENDENCYPART_ARC
(5,25),-1.0397 # DEPENDENCYPART_ARC
(6,1),-0.883339 # DEPENDENCYPART_ARC
(6,2),0.619356 # DEPENDENCYPART_ARC
(6,3),0.892902 # DEPENDENCYPART_ARC
(6,4),-0.773503 # DEPENDENCYPART_ARC
(6,5),0.735022 # DEPENDENCYPART_ARC
(6,7),0.128904 # DEPENDENCYPART_ARC
(6,8),3.35223 # DEPENDENCYPART_ARC
(6,9),-0.241823 # DEPENDENCYPART_ARC
(6,10),2.13711 # DEPENDENCYPART_ARC
(6,11),1.68669 # DEPENDENCYPART_ARC
(6,12),-1.36477 # DEPENDENCYPART_ARC
(6,13),0.592543 # DEPENDENCYPART_ARC
(6,14),-0.121362 # DEPENDENCYPART_ARC
(6,15),-1.11062 # DEPENDENCYPART_ARC
(6,16),-1.08431 # DEPENDENCYPART_ARC
(6,17),-2.57011 # DEPENDENCYPART_ARC
(6,18),-2.56483 # DEPENDENCYPART_ARC
(6,19),-0.995475 # DEPENDENCYPART_ARC
(6,20),-2.11298 # DEPENDENCYPART_ARC
(6,21),-3.0753 # DEPENDENCYPART_ARC
(6,22),-0.769689 # DEPENDENCYPART_ARC
(6,23),-4.37358 # DEPENDENCYPART_ARC
(6,24),-2.58531 # DEPENDENCYPART_ARC
(6,25),-1.3056 # DEPENDENCYPART_ARC
(7,1),-5.32043 # DEPENDENCYPART_ARC
(7,2),-1.9947 # DEPENDENCYPART_ARC
(7,4),-2.21191 # DEPENDENCYPART_ARC
(7,5),-1.73209 # DEPENDENCYPART_ARC
(7,6),0.218732 # DEPENDENCYPART_ARC
(7,8),-0.413375 # DEPENDENCYPART_ARC
(7,9),0.284816 # DEPENDENCYPART_ARC
(7,10),-0.600918 # DEPENDENCYPART_ARC
(7,11),-0.213597 # DEPENDENCYPART_ARC
(7,12),-2.7945 # DEPENDENCYPART_ARC
(7,13),-0.507708 # DEPENDENCYPART_ARC
(7,14),-3.67772 # DEPENDENCYPART_ARC
(7,15),-2.94207 # DEPENDENCYPART_ARC
(7,16),-3.53136 # DEPENDENCYPART_ARC
(7,17),-5.03916 # DEPENDENCYPART_ARC
(7,18),-5.58168 # DEPENDENCYPART_ARC
(7,19),-1.76095 # DEPENDENCYPART_ARC
(7,20),-6.61544 # DEPENDENCYPART_ARC
(7,21),-7.13443 # DEPENDENCYPART_ARC
(7,22),-2.48299 # DEPENDENCYPART_ARC
(7,23),-4.18977 # DEPENDENCYPART_ARC
(7,24),-7.02688 # DEPENDENCYPART_ARC
(7,25),-4.28039 # DEPENDENCYPART_ARC
(8,1),-5.31723 # DEPENDENCYPART_ARC
(8,2),-1.78719 # DEPENDENCYPART_ARC
(8,3),-2.49422 # DEPENDENCYPART_ARC
(8,4),-1.54413 # DEPENDENCYPART_ARC
(8,5),0.716526 # DEPENDENCYPART_ARC
(8,6),0.119748 # DEPENDENCYPART_ARC
(8,7),4.98658 # DEPENDENCYPART_ARC
(8,9),0.651366 # DEPENDENCYPART_ARC
(8,10),0.523407 # DEPENDENCYPART_ARC
(8,11),0.875462 # DEPENDENCYPART_ARC
(8,12),0.183181 # DEPENDENCYPART_ARC
(8,13),-0.641919 # DEPENDENCYPART_ARC
(8,14),-1.36686 # DEPENDENCYPART_ARC
(8,15),0.288323 # DEPENDENCYPART_ARC
(8,16),-4.89451 # DEPENDENCYPART_ARC
(8,17),-1.88575 # DEPENDENCYPART_ARC
(8,18),-1.88919 # DEPENDENCYPART_ARC
(8,19),-1.1966 # DEPENDENCYPART_ARC
(8,20),-4.94078 # DEPENDENCYPART_ARC
(8,21),-2.6104 # DEPENDENCYPART_ARC
(8,22),-0.881497 # DEPENDENCYPART_ARC
(8,23),-1.91533 # DEPENDENCYPART_ARC
(8,24),-3.38368 # DEPENDENCYPART_ARC
(8,25),-7.98282 # DEPENDENCYPART_ARC
(9,1),-5.63823 # DEPENDENCYPART_ARC
(9,2),-2.47295 # DEPENDENCYPART_ARC
(9,4),-2.8549 # DEPENDENCYPART_ARC
(9,5),-2.82738 # DEPENDENCYPART_ARC
(9,6),-0.761543 # DEPENDENCYPART_ARC
(9,7),-2.77556 # DEPENDENCYPART_ARC
(9,8),-2.47978 # DEPENDENCYPART_ARC
(9,10),1.47424 # DEPENDENCYPART_ARC
(9,11),0.785033 # DEPENDENCYPART_ARC
(9,12),-1.95175 # DEPENDENCYPART_ARC
(9,13),-0.659769 # DEPENDENCYPART_ARC
(9,14),-2.74226 # DEPENDENCYPART_ARC
(9,15),-2.62331 # DEPENDENCYPART_ARC
(9,16),-3.07927 # DEPENDENCYPART_ARC
(9,17),-4.84267 # DEPENDENCYPART_ARC
(9,18),-5.16906 # DEPENDENCYPART_ARC
(9,19),-1.5218 # DEPENDENCYPART_ARC
(9,20),-6.83328 # DEPENDENCYPART_ARC
(9,21),-6.06068 # DEPENDENCYPART_ARC
(9,22),-2.13696 # DEPENDENCYPART_ARC
(9,23),-5.13827 # DEPENDENCYPART_ARC
(9,24),-6.03412 # DEPENDENCYPART_ARC
(9,25),-3.81544 # DEPENDENCYPART_ARC
(10,1),-8.1414 # DEPENDENCYPART_ARC
(10,2),-2.3697 # DEPENDENCYPART_ARC
(10,3),-3.81408 # DEPENDENCYPART_ARC
(10,4),-3.51718 # DEPENDENCYPART_ARC
(10,5),-1.97434 # DEPENDENCYPART_ARC
(10,6),-1.26832 # DEPENDENCYPART_ARC
(10,7),-1.97998 # DEPENDENCYPART_ARC
(10,8),-4.31948 # DEPENDENCYPART_ARC
(10,9),4.99621 # DEPENDENCYPART_ARC
(10,11),1.92594 # DEPENDENCYPART_ARC
(10,12),0.992512 # DEPENDENCYPART_ARC
(10,13),-0.37962 # DEPENDENCYPART_ARC
(10,14),-1.15015 # DEPENDENCYPART_ARC
(10,15),-0.3347 # DEPENDENCYPART_ARC
(10,16),-4.8748 # DEPENDENCYPART_ARC
(10,17),-1.42818 # DEPENDENCYPART_ARC
(10,18),-1.93686 # DEPENDENCYPART_ARC
(10,19),-1.33542 # DEPENDENCYPART_ARC
(10,20),-6.7047 # DEPENDENCYPART_ARC
(10,21),-2.52532 # DEPENDENCYPART_ARC
(10,22),-1.15023 # DEPENDENCYPART_ARC
(10,23),-3.2968 # DEPENDENCYPART_ARC
(10,24),-5.03356 # DEPENDENCYPART_ARC
(10,25),-6.93128 # DEPENDENCYPART_ARC
(11,1),-4.99542 # DEPENDENCYPART_ARC
(11,2),-2.83588 # DEPENDENCYPART_ARC
(11,3),-3.32787 # DEPENDENCYPART_ARC
(11,4),-3.02416 # DEPENDENCYPART_ARC
(11,7),-2.73411 # DEPENDENCYPART_ARC
(11,8),-3.00462 # DEPENDENCYPART_ARC
(11,9),-2.16313 # DEPENDENCYPART_ARC
(11,10),-2.53395 # DEPENDENCYPART_ARC
(11,12),3.84301 # DEPENDENCYPART_ARC
(11,13),-0.311466 # DEPENDENCYPART_ARC
(11,14),-0.837264 # DEPENDENCYPART_ARC
(11,16),-3.25187 # DEPENDENCYPART_ARC
(11,17),-2.67858 # DEPENDENCYPART_ARC
(11,18),-3.87063 # DEPENDENCYPART_ARC
(11,19),-1.92793 # DEPENDENCYPART_ARC
(11,20),-7.43229 # DEPENDENCYPART_ARC
(11,21),-6.64381 # DEPENDENCYPART_ARC
(11,22),-2.43988 # DEPENDENCYPART_ARC
(11,23),-2.84088 # DEPENDENCYPART_ARC
(11,24),-9.09252 # DEPENDENCYPART_ARC
(11,25),-3.2281 # DEPENDENCYPART_ARC
(12,1),-7.79635 # DEPENDENCYPART_ARC
(12,2),-2.77745 # DEPENDENCYPART_ARC
(12,3),-5.04108 # DEPENDENCYPART_ARC
(12,4),-3.67916 # DEPENDENCYPART_ARC
(12,5),-2.83847 # DEPENDENCYPART_ARC
(12,6),-1.32677 # DEPENDENCYPART_ARC
(12,7),-3.44872 # DEPENDENCYPART_ARC
(12,8),-4.28628 # DEPENDENCYPART_ARC
(12,9),-4.15154 # DEPENDENCYPART_ARC
(12,10),-3.17935 # DEPENDENCYPART_ARC
(12,11),0.250337 # DEPENDENCYPART_ARC
(12,13),-0.850883 # DEPENDENCYPART_ARC
(12,14),-1.7501 # DEPENDENCYPART_ARC
(12,15),-0.338115 # DEPENDENCYPART_ARC
(12,16),-4.63712 # DEPENDENCYPART_ARC
(12,17),-0.715183 # DEPENDENCYPART_ARC
(12,18),-1.60838 # DEPENDENCYPART_ARC
(12,19),-1.77296 # DEPENDENCYPART_ARC
(12,20),-7.13872 # DEPENDENCYPART_ARC
(12,21),-2.72732 # DEPENDENCYPART_ARC
(12,22),-1.6791 # DEPENDENCYPART_ARC
(12,23),-4.27579 # DEPENDENCYPART_ARC
(12,24),-4.70353 # DEPENDENCYPART_ARC
(12,25),-6.79702 # DEPENDENCYPART_ARC
(13,1),-1.61328 # DEPENDENCYPART_ARC
(13,2),-0.556995 # DEPENDENCYPART_ARC
(13,3),-0.0170869 # DEPENDENCYPART_ARC
(13,4),0.0702136 # DEPENDENCYPART_ARC
(13,5),0.387238 # DEPENDENCYPART_ARC
(13,6),0.391549 # DEPENDENCYPART_ARC
(13,7),-0.527746 # DEPENDENCYPART_ARC
(13,8),-0.207328 # DEPENDENCYPART_ARC
(13,9),-0.524133 # DEPENDENCYPART_ARC
(13,10),0.413658 # DEPENDENCYPART_ARC
(13,11),-0.335015 # DEPENDENCYPART_ARC
(13,12),0.55182 # DEPENDENCYPART_ARC
(13,14),0.183118 # DEPENDENCYPART_ARC
(13,15),-0.237379 # DEPENDENCYPART_ARC
(13,16),-1.55396 # DEPENDENCYPART_ARC
(13,17),-1.67133 # DEPENDENCYPART_ARC
(13,18),-1.97347 # DEPENDENCYPART_ARC
(13,19),-0.791455 # DEPENDENCYPART_ARC
(13,20),-3.10689 # DEPENDENCYPART_ARC
(13,21),-2.84134 # DEPENDENCYPART_ARC
(13,22),-1.25978 # DEPENDENCYPART_ARC
(13,23),-2.6153 # DEPENDENCYPART_ARC
(13,24),-3.21273 # DEPENDENCYPART_ARC
(13,25),-1.04575 # DEPENDENCYPART_ARC
(14,1),-1.03382 # DEPENDENCYPART_ARC
(14,2),-2.23438 # DEPENDENCYPART_ARC
(14,3),-2.38504 # DEPENDENCYPART_ARC
(14,4),-3.78694 # DEPENDENCYPART_ARC
(14,5),-4.21802 # DEPENDENCYPART_ARC
(14,6),-2.67765 # DEPENDENCYPART_ARC
(14,7),-4.16561 # DEPENDENCYPART_ARC
(14,8),-1.67618 # DEPENDENCYPART_ARC
(14,9),-2.26534 # DEPENDENCYPART_ARC
(14,10),-1.43245 # DEPENDENCYPART_ARC
(14,11),-1.1294 # DEPENDENCYPART_ARC
(14,12),-4.31731 # DEPENDENCYPART_ARC
(14,13),-1.17798 # DEPENDENCYPART_ARC
(14,15),0.905097 # DEPENDENCYPART_ARC
(14,16),0.311966 # DEPENDENCYPART_ARC
(14,17),-2.34577 # DEPENDENCYPART_ARC
(14,18),-1.98224 # DEPENDENCYPART_ARC
(14,19),-0.733985 # DEPENDENCYPART_ARC
(14,20),-2.52469 # DEPENDENCYPART_ARC
(14,21),-2.5819 # DEPENDENCYPART_ARC
(14,22),-0.420995 # DEPENDENCYPART_ARC
(14,23),-4.297 # DEPENDENCYPART_ARC
(14,24),-1.83634 # DEPENDENCYPART_ARC
(14,25),-1.27979 # DEPENDENCYPART_ARC
(15,1),0.819756 # DEPENDENCYPART_ARC
(15,2),0.393641 # DEPENDENCYPART_ARC
(15,3),1.00537 # DEPENDENCYPART_ARC
(15,4),2.40413 # DEPENDENCYPART_ARC
(15,6),1.15629 # DEPENDENCYPART_ARC
(15,7),-3.36362 # DEPENDENCYPART_ARC
(15,8),0.360765 # DEPENDENCYPART_ARC
(15,9),-0.615004 # DEPENDENCYPART_ARC
(15,10),1.69723 # DEPENDENCYPART_ARC
(15,11),1.35904 # DEPENDENCYPART_ARC
(15,12),-2.13685 # DEPENDENCYPART_ARC
(15,13),0.783416 # DEPENDENCYPART_ARC
(15,14),5.70944 # DEPENDENCYPART_ARC
(15,16),2.93924 # DEPENDENCYPART_ARC
(15,17),-0.230524 # DEPENDENCYPART_ARC
(15,18),-0.32464 # DEPENDENCYPART_ARC
(15,19),0.792728 # DEPENDENCYPART_ARC
(15,20),-1.80001 # DEPENDENCYPART_ARC
(15,21),-1.39465 # DEPENDENCYPART_ARC
(15,22),0.268606 # DEPENDENCYPART_ARC
(15,23),-4.72623 # DEPENDENCYPART_ARC
(15,24),-1.46045 # DEPENDENCYPART_ARC
(15,25),-0.859112 # DEPENDENCYPART_ARC
(16,1),-7.85907 # DEPENDENCYPART_ARC
(16,2),-3.47199 # DEPENDENCYPART_ARC
(16,3),-6.11407 # DEPENDENCYPART_ARC
(16,4),-4.29624 # DEPENDENCYPART_ARC
(16,5),-2.89714 # DEPENDENCYPART_ARC
(16,6),-1.39797 # DEPENDENCYPART_ARC
(16,7),-5.95749 # DEPENDENCYPART_ARC
(16,8),-5.19906 # DEPENDENCYPART_ARC
(16,9),-7.17857 # DEPENDENCYPART_ARC
(16,10),-5.04186 # DEPENDENCYPART_ARC
(16,11),0.0208312 # DEPENDENCYPART_ARC
(16,12),-3.1344 # DEPENDENCYPART_ARC
(16,13),-1.19625 # DEPENDENCYPART_ARC
(16,14),-1.33843 # DEPENDENCYPART_ARC
(16,15),-1.10722 # DEPENDENCYPART_ARC
(16,17),3.64702 # DEPENDENCYPART_ARC
(16,18),2.4424 # DEPENDENCYPART_ARC
(16,19),1.11809 # DEPENDENCYPART_ARC
(16,20),-3.14307 # DEPENDENCYPART_ARC
(16,21),0.478847 # DEPENDENCYPART_ARC
(16,22),0.913806 # DEPENDENCYPART_ARC
(16,23),-1.63918 # DEPENDENCYPART_ARC
(16,24),-2.251 # DEPENDENCYPART_ARC
(16,25),-3.70142 # DEPENDENCYPART_ARC
(17,1),-9.14974 # DEPENDENCYPART_ARC
(17,2),-4.08204 # DEPENDENCYPART_ARC
(17,3),-8.0889 # DEPENDENCYPART_ARC
(17,4),-5.07937 # DEPENDENCYPART_ARC
(17,5),-3.91787 # DEPENDENCYPART_ARC
(17,6),-2.25241 # DEPENDENCYPART_ARC
(17,7),-7.86674 # DEPENDENCYPART_ARC
(17,8),-6.84066 # DEPENDENCYPART_ARC
(17,9),-6.5193 # DEPENDENCYPART_ARC
(17,10),-4.97117 # DEPENDENCYPART_ARC
(17,11),-0.975377 # DEPENDENCYPART_ARC
(17,12),-3.49803 # DEPENDENCYPART_ARC
(17,13),-1.88312 # DEPENDENCYPART_ARC
(17,14),-2.77046 # DEPENDENCYPART_ARC
(17,15),-2.48315 # DEPENDENCYPART_ARC
(17,16),-2.87378 # DEPENDENCYPART_ARC
(17,18),4.55036 # DEPENDENCYPART_ARC
(17,19),1.44743 # DEPENDENCYPART_ARC
(17,20),-3.55115 # DEPENDENCYPART_ARC
(17,21),1.4076 # DEPENDENCYPART_ARC
(17,22),0.750786 # DEPENDENCYPART_ARC
(17,23),-3.88829 # DEPENDENCYPART_ARC
(17,24),-2.42511 # DEPENDENCYPART_ARC
(17,25),-3.26722 # DEPENDENCYPART_ARC
(18,1),-7.01914 # DEPENDENCYPART_ARC
(18,2),-3.63314 # DEPENDENCYPART_ARC
(18,3),-6.12736 # DEPENDENCYPART_ARC
(18,4),-3.44731 # DEPENDENCYPART_ARC
(18,5),-2.1836 # DEPENDENCYPART_ARC
(18,6),-1.73651 # DEPENDENCYPART_ARC
(18,7),-5.55483 # DEPENDENCYPART_ARC
(18,8),-4.50193 # DEPENDENCYPART_ARC
(18,9),-3.66917 # DEPENDENCYPART_ARC
(18,10),-3.45954 # DEPENDENCYPART_ARC
(18,11),-1.07185 # DEPENDENCYPART_ARC
(18,12),-3.14059 # DEPENDENCYPART_ARC
(18,13),-1.4483 # DEPENDENCYPART_ARC
(18,14),-2.27277 # DEPENDENCYPART_ARC
(18,15),-1.16805 # DEPENDENCYPART_ARC
(18,16),-1.54892 # DEPENDENCYPART_ARC
(18,17),1.89153 # DEPENDENCYPART_ARC
(18,19),2.58404 # DEPENDENCYPART_ARC
(18,20),-2.89993 # DEPENDENCYPART_ARC
(18,21),1.09725 # DEPENDENCYPART_ARC
(18,22),1.11094 # DEPENDENCYPART_ARC
(18,23),-2.00304 # DEPENDENCYPART_ARC
(18,24),-2.14674 # DEPENDENCYPART_ARC
(18,25),-2.27953 # DEPENDENCYPART_ARC
(19,1),-6.66847 # DEPENDENCYPART_ARC
(19,2),-5.08566 # DEPENDENCYPART_ARC
(19,3),-3.8502 # DEPENDENCYPART_ARC
(19,4),-4.16309 # DEPENDENCYPART_ARC
(19,7),-4.21605 # DEPENDENCYPART_ARC
(19,8),-5.6637 # DEPENDENCYPART_ARC
(19,9),-4.12768 # DEPENDENCYPART_ARC
(19,10),-5.21187 # DEPENDENCYPART_ARC
(19,11),-2.60529 # DEPENDENCYPART_ARC
(19,12),-2.85016 # DEPENDENCYPART_ARC
(19,13),-2.58847 # DEPENDENCYPART_ARC
(19,14),-3.14422 # DEPENDENCYPART_ARC
(19,16),-2.50926 # DEPENDENCYPART_ARC
(19,17),-2.03661 # DEPENDENCYPART_ARC
(19,18),-1.8066 # DEPENDENCYPART_ARC
(19,20),3.88422 # DEPENDENCYPART_ARC
(19,21),-1.77756 # DEPENDENCYPART_ARC
(19,22),-1.3875 # DEPENDENCYPART_ARC
(19,23),-1.59249 # DEPENDENCYPART_ARC
(19,24),-2.71157 # DEPENDENCYPART_ARC
(19,25),-1.10394 # DEPENDENCYPART_ARC
(20,1),-9.93836 # DEPENDENCYPART_ARC
(20,2),-4.25015 # DEPENDENCYPART_ARC
(20,3),-8.95663 # DEPENDENCYPART_ARC
(20,4),-4.47881 # DEPENDENCYPART_ARC
(20,5),-2.3535 # DEPENDENCYPART_ARC
(20,6),-1.89127 # DEPENDENCYPART_ARC
(20,7),-6.46782 # DEPENDENCYPART_ARC
(20,8),-5.67644 # DEPENDENCYPART_ARC
(20,9),-7.49834 # DEPENDENCYPART_ARC
(20,10),-6.20424 # DEPENDENCYPART_ARC
(20,11),-0.141392 # DEPENDENCYPART_ARC
(20,12),-5.2769 # DEPENDENCYPART_ARC
(20,13),-2.19026 # DEPENDENCYPART_ARC
(20,14),-2.91744 # DEPENDENCYPART_ARC
(20,15),-1.60237 # DEPENDENCYPART_ARC
(20,16),-3.97337 # DEPENDENCYPART_ARC
(20,17),-2.31973 # DEPENDENCYPART_ARC
(20,18),-2.91383 # DEPENDENCYPART_ARC
(20,19),1.32234 # DEPENDENCYPART_ARC
(20,21),4.35634 # DEPENDENCYPART_ARC
(20,22),1.95476 # DEPENDENCYPART_ARC
(20,23),-2.03215 # DEPENDENCYPART_ARC
(20,24),0.462859 # DEPENDENCYPART_ARC
(20,25),-1.01137 # DEPENDENCYPART_ARC
(21,1),-7.4401 # DEPENDENCYPART_ARC
(21,2),-4.62638 # DEPENDENCYPART_ARC
(21,3),-6.86972 # DEPENDENCYPART_ARC
(21,4),-3.74522 # DEPENDENCYPART_ARC
(21,5),-2.61541 # DEPENDENCYPART_ARC
(21,6),-2.39587 # DEPENDENCYPART_ARC
(21,7),-4.99838 # DEPENDENCYPART_ARC
(21,8),-4.89682 # DEPENDENCYPART_ARC
(21,9),-5.48498 # DEPENDENCYPART_ARC
(21,10),-5.20305 # DEPENDENCYPART_ARC
(21,11),-1.9633 # DEPENDENCYPART_ARC
(21,12),-3.15943 # DEPENDENCYPART_ARC
(21,13),-2.61088 # DEPENDENCYPART_ARC
