# _root_ Během SNP působily na území Slovenska vojenské mise Spojenců , a to sovětská , britská a americká .
#goldHeads=3,1,0,3,4,5,8,3,8,16,12,16,16,16,16,8,16,0,
#predictedHeads=3,1,0,3,4,5,8,3,8,11,12,16,16,16,16,5,16,0,
(3,9),-0.504496 # DEPENDENCYPART_ARC
(3,10),0.39795 # DEPENDENCYPART_ARC
(3,11),0.710845 # DEPENDENCYPART_ARC
(3,12),-1.23858 # DEPENDENCYPART_ARC
(3,13),-1.05474 # DEPENDENCYPART_ARC
(3,14),0.0314672 # DEPENDENCYPART_ARC
(3,15),-2.59062 # DEPENDENCYPART_ARC
(3,16),-0.321237 # DEPENDENCYPART_ARC
(3,17),-2.59187 # DEPENDENCYPART_ARC
(3,18),-1.0125 # DEPENDENCYPART_ARC
(4,1),-1.76396 # DEPENDENCYPART_ARC
(4,2),-2.14749 # DEPENDENCYPART_ARC
(4,3),-1.66546 # DEPENDENCYPART_ARC
(4,5),4.1085 # DEPENDENCYPART_ARC
(4,6),-1.20916 # DEPENDENCYPART_ARC
(4,7),-3.48567 # DEPENDENCYPART_ARC
(4,8),-3.77657 # DEPENDENCYPART_ARC
(4,9),-5.4367 # DEPENDENCYPART_ARC
(4,10),-1.07507 # DEPENDENCYPART_ARC
(4,11),-1.50176 # DEPENDENCYPART_ARC
(4,12),-4.27864 # DEPENDENCYPART_ARC
(4,13),-4.20403 # DEPENDENCYPART_ARC
(4,14),-0.907947 # DEPENDENCYPART_ARC
(4,15),-4.2714 # DEPENDENCYPART_ARC
(4,16),-1.77704 # DEPENDENCYPART_ARC
(4,17),-4.56944 # DEPENDENCYPART_ARC
(4,18),-2.31343 # DEPENDENCYPART_ARC
(5,1),-0.642842 # DEPENDENCYPART_ARC
(5,2),-1.58726 # DEPENDENCYPART_ARC
(5,3),-4.67155 # DEPENDENCYPART_ARC
(5,4),1.10099 # DEPENDENCYPART_ARC
(5,6),3.72265 # DEPENDENCYPART_ARC
(5,7),-2.73072 # DEPENDENCYPART_ARC
(5,8),-1.50172 # DEPENDENCYPART_ARC
(5,9),-0.0720322 # DEPENDENCYPART_ARC
(5,10),-0.548938 # DEPENDENCYPART_ARC
(5,11),0.510377 # DEPENDENCYPART_ARC
(5,12),-2.07382 # DEPENDENCYPART_ARC
(5,13),-3.36635 # DEPENDENCYPART_ARC
(5,14),-0.465235 # DEPENDENCYPART_ARC
(5,15),-3.16099 # DEPENDENCYPART_ARC
(5,16),0.184856 # DEPENDENCYPART_ARC
(5,17),-4.36626 # DEPENDENCYPART_ARC
(5,18),-5.00168 # DEPENDENCYPART_ARC
(6,1),-1.4005 # DEPENDENCYPART_ARC
(6,2),-2.08913 # DEPENDENCYPART_ARC
(6,3),-5.17103 # DEPENDENCYPART_ARC
(6,4),-0.983998 # DEPENDENCYPART_ARC
(6,5),-1.19303 # DEPENDENCYPART_ARC
(6,7),-3.38445 # DEPENDENCYPART_ARC
(6,8),0.317095 # DEPENDENCYPART_ARC
(6,9),-1.48393 # DEPENDENCYPART_ARC
(6,10),-0.872354 # DEPENDENCYPART_ARC
(6,11),-0.803511 # DEPENDENCYPART_ARC
(6,12),-2.08971 # DEPENDENCYPART_ARC
(6,13),-4.36262 # DEPENDENCYPART_ARC
(6,14),-0.780817 # DEPENDENCYPART_ARC
(6,15),-4.12158 # DEPENDENCYPART_ARC
(6,16),-0.810185 # DEPENDENCYPART_ARC
(6,17),-5.41297 # DEPENDENCYPART_ARC
(6,18),-4.59745 # DEPENDENCYPART_ARC
(7,1),-0.426149 # DEPENDENCYPART_ARC
(7,2),-3.1267 # DEPENDENCYPART_ARC
(7,3),-2.4432 # DEPENDENCYPART_ARC
(7,4),0.411041 # DEPENDENCYPART_ARC
(7,5),-1.333 # DEPENDENCYPART_ARC
(7,6),0.069665 # DEPENDENCYPART_ARC
(7,8),0.623415 # DEPENDENCYPART_ARC
(7,9),-0.582684 # DEPENDENCYPART_ARC
(7,10),-0.462576 # DEPENDENCYPART_ARC
(7,11),-0.404309 # DEPENDENCYPART_ARC
(7,12),-2.23895 # DEPENDENCYPART_ARC
(7,13),-2.68489 # DEPENDENCYPART_ARC
(7,14),-0.881122 # DEPENDENCYPART_ARC
(7,15),-2.81106 # DEPENDENCYPART_ARC
(7,16),-0.778795 # DEPENDENCYPART_ARC
(7,17),-3.01844 # DEPENDENCYPART_ARC
(7,18),-2.1772 # DEPENDENCYPART_ARC
(8,1),-0.377511 # DEPENDENCYPART_ARC
(8,2),-3.95894 # DEPENDENCYPART_ARC
(8,3),-3.44732 # DEPENDENCYPART_ARC
(8,4),-0.0839268 # DEPENDENCYPART_ARC
(8,5),-3.3044 # DEPENDENCYPART_ARC
(8,6),-2.14173 # DEPENDENCYPART_ARC
(8,7),4.91332 # DEPENDENCYPART_ARC
(8,9),3.27575 # DEPENDENCYPART_ARC
(8,10),-0.0682157 # DEPENDENCYPART_ARC
(8,11),0.54679 # DEPENDENCYPART_ARC
(8,12),-1.21462 # DEPENDENCYPART_ARC
(8,13),-1.521 # DEPENDENCYPART_ARC
(8,14),0.0284 # DEPENDENCYPART_ARC
(8,15),-1.44575 # DEPENDENCYPART_ARC
(8,16),-0.1722 # DEPENDENCYPART_ARC
(8,17),-2.79419 # DEPENDENCYPART_ARC
(8,18),-2.55839 # DEPENDENCYPART_ARC
(9,1),-1.74286 # DEPENDENCYPART_ARC
(9,2),-4.10223 # DEPENDENCYPART_ARC
(9,3),-3.02809 # DEPENDENCYPART_ARC
(9,4),-0.388481 # DEPENDENCYPART_ARC
(9,5),-3.33256 # DEPENDENCYPART_ARC
(9,6),-1.22059 # DEPENDENCYPART_ARC
(9,7),-1.80649 # DEPENDENCYPART_ARC
(9,8),-3.86645 # DEPENDENCYPART_ARC
(9,10),-0.595097 # DEPENDENCYPART_ARC
(9,11),0.0535133 # DEPENDENCYPART_ARC
(9,12),-3.2892 # DEPENDENCYPART_ARC
(9,13),-5.46507 # DEPENDENCYPART_ARC
(9,14),-0.984733 # DEPENDENCYPART_ARC
(9,15),-5.75966 # DEPENDENCYPART_ARC
(9,16),-0.762498 # DEPENDENCYPART_ARC
(9,17),-6.8255 # DEPENDENCYPART_ARC
(9,18),-2.70318 # DEPENDENCYPART_ARC
(10,1),-0.912685 # DEPENDENCYPART_ARC
(10,2),-0.742608 # DEPENDENCYPART_ARC
(10,3),-0.430159 # DEPENDENCYPART_ARC
(10,4),-0.603669 # DEPENDENCYPART_ARC
(10,5),0.0521242 # DEPENDENCYPART_ARC
(10,6),-0.54489 # DEPENDENCYPART_ARC
(10,7),-0.6437 # DEPENDENCYPART_ARC
(10,8),-0.535881 # DEPENDENCYPART_ARC
(10,9),-0.382937 # DEPENDENCYPART_ARC
(10,11),-1.05454 # DEPENDENCYPART_ARC
(10,12),-0.959419 # DEPENDENCYPART_ARC
(10,13),-1.45056 # DEPENDENCYPART_ARC
(10,14),-1.4595 # DEPENDENCYPART_ARC
(10,15),-1.93352 # DEPENDENCYPART_ARC
(10,16),-1.53663 # DEPENDENCYPART_ARC
(10,17),-2.26005 # DEPENDENCYPART_ARC
(10,18),-1.54085 # DEPENDENCYPART_ARC
(11,1),-0.501674 # DEPENDENCYPART_ARC
(11,2),0.49483 # DEPENDENCYPART_ARC
(11,3),1.2803 # DEPENDENCYPART_ARC
(11,4),-0.43738 # DEPENDENCYPART_ARC
(11,5),1.05181 # DEPENDENCYPART_ARC
(11,6),0.921987 # DEPENDENCYPART_ARC
(11,7),-0.308189 # DEPENDENCYPART_ARC
(11,8),0.825299 # DEPENDENCYPART_ARC
(11,9),0.847777 # DEPENDENCYPART_ARC
(11,10),1.2847 # DEPENDENCYPART_ARC
(11,12),0.366862 # DEPENDENCYPART_ARC
(11,13),1.03355 # DEPENDENCYPART_ARC
(11,14),0.420549 # DEPENDENCYPART_ARC
(11,15),0.0510491 # DEPENDENCYPART_ARC
(11,16),-0.382077 # DEPENDENCYPART_ARC
(11,17),-0.939055 # DEPENDENCYPART_ARC
(11,18),0.265237 # DEPENDENCYPART_ARC
(12,1),-1.73558 # DEPENDENCYPART_ARC
(12,2),-2.39299 # DEPENDENCYPART_ARC
(12,3),-2.89741 # DEPENDENCYPART_ARC
(12,4),-1.93573 # DEPENDENCYPART_ARC
(12,5),-2.11675 # DEPENDENCYPART_ARC
(12,6),-1.99891 # DEPENDENCYPART_ARC
(12,7),-2.18813 # DEPENDENCYPART_ARC
(12,8),-0.912177 # DEPENDENCYPART_ARC
(12,9),-1.73029 # DEPENDENCYPART_ARC
(12,10),-0.0497877 # DEPENDENCYPART_ARC
(12,11),1.37747 # DEPENDENCYPART_ARC
(12,13),1.20523 # DEPENDENCYPART_ARC
(12,14),-0.164849 # DEPENDENCYPART_ARC
(12,15),-0.595675 # DEPENDENCYPART_ARC
(12,16),0.289146 # DEPENDENCYPART_ARC
(12,17),-0.706998 # DEPENDENCYPART_ARC
(12,18),-0.00563426 # DEPENDENCYPART_ARC
(13,1),-1.67371 # DEPENDENCYPART_ARC
(13,2),-4.65881 # DEPENDENCYPART_ARC
(13,3),-5.31192 # DEPENDENCYPART_ARC
(13,4),-1.22917 # DEPENDENCYPART_ARC
(13,5),-3.59204 # DEPENDENCYPART_ARC
(13,6),-2.63965 # DEPENDENCYPART_ARC
(13,7),-3.816 # DEPENDENCYPART_ARC
(13,8),-2.43953 # DEPENDENCYPART_ARC
(13,9),-2.77167 # DEPENDENCYPART_ARC
(13,10),0.000776886 # DEPENDENCYPART_ARC
(13,11),-0.465436 # DEPENDENCYPART_ARC
(13,12),-0.3899 # DEPENDENCYPART_ARC
(13,14),-0.111784 # DEPENDENCYPART_ARC
(13,15),-0.891253 # DEPENDENCYPART_ARC
(13,16),-0.255762 # DEPENDENCYPART_ARC
(13,17),-1.841 # DEPENDENCYPART_ARC
(13,18),-1.04047 # DEPENDENCYPART_ARC
(14,1),-0.469297 # DEPENDENCYPART_ARC
(14,2),-0.277999 # DEPENDENCYPART_ARC
(14,3),-0.0760341 # DEPENDENCYPART_ARC
(14,4),-0.276206 # DEPENDENCYPART_ARC
(14,5),0.838598 # DEPENDENCYPART_ARC
(14,6),0.311439 # DEPENDENCYPART_ARC
(14,7),0.12361 # DEPENDENCYPART_ARC
(14,8),0.377616 # DEPENDENCYPART_ARC
(14,9),0.61743 # DEPENDENCYPART_ARC
(14,10),0.352211 # DEPENDENCYPART_ARC
(14,11),0.201335 # DEPENDENCYPART_ARC
(14,12),0.117411 # DEPENDENCYPART_ARC
(14,13),1.4411 # DEPENDENCYPART_ARC
(14,15),1.99831 # DEPENDENCYPART_ARC
(14,16),0.328409 # DEPENDENCYPART_ARC
(14,17),0.696576 # DEPENDENCYPART_ARC
(14,18),0.308581 # DEPENDENCYPART_ARC
(15,1),-2.39205 # DEPENDENCYPART_ARC
(15,2),-5.45317 # DEPENDENCYPART_ARC
(15,3),-5.9546 # DEPENDENCYPART_ARC
(15,4),-2.09776 # DEPENDENCYPART_ARC
(15,5),-4.51045 # DEPENDENCYPART_ARC
(15,6),-3.57554 # DEPENDENCYPART_ARC
(15,7),-4.50519 # DEPENDENCYPART_ARC
(15,8),-3.75415 # DEPENDENCYPART_ARC
(15,9),-4.103 # DEPENDENCYPART_ARC
(15,10),-1.15234 # DEPENDENCYPART_ARC
(15,11),-1.70741 # DEPENDENCYPART_ARC
(15,12),-2.18167 # DEPENDENCYPART_ARC
(15,13),-1.19778 # DEPENDENCYPART_ARC
(15,14),-0.0658918 # DEPENDENCYPART_ARC
(15,16),-0.317148 # DEPENDENCYPART_ARC
(15,17),-1.70226 # DEPENDENCYPART_ARC
(15,18),-0.655675 # DEPENDENCYPART_ARC
(16,1),-0.290869 # DEPENDENCYPART_ARC
(16,2),0.129373 # DEPENDENCYPART_ARC
(16,3),0.0039109 # DEPENDENCYPART_ARC
(16,4),-0.493028 # DEPENDENCYPART_ARC
(16,5),0.835128 # DEPENDENCYPART_ARC
(16,6),0.398843 # DEPENDENCYPART_ARC
(16,7),0.39149 # DEPENDENCYPART_ARC
(16,8),0.246363 # DEPENDENCYPART_ARC
(16,9),0.715526 # DEPENDENCYPART_ARC
(16,10),0.705822 # DEPENDENCYPART_ARC
(16,11),0.0821958 # DEPENDENCYPART_ARC
(16,12),0.211857 # DEPENDENCYPART_ARC
(16,13),2.90203 # DEPENDENCYPART_ARC
(16,14),2.46422 # DEPENDENCYPART_ARC
(16,15),4.59345 # DEPENDENCYPART_ARC
(16,17),4.57794 # DEPENDENCYPART_ARC
(16,18),0.704505 # DEPENDENCYPART_ARC
(17,1),-3.14404 # DEPENDENCYPART_ARC
(17,2),-5.80146 # DEPENDENCYPART_ARC
(17,3),-6.39423 # DEPENDENCYPART_ARC
(17,4),-2.88858 # DEPENDENCYPART_ARC
(17,5),-4.91361 # DEPENDENCYPART_ARC
(17,6),-3.9467 # DEPENDENCYPART_ARC
(17,7),-4.90435 # DEPENDENCYPART_ARC
(17,8),-4.02676 # DEPENDENCYPART_ARC
(17,9),-4.41917 # DEPENDENCYPART_ARC
(17,10),-1.62583 # DEPENDENCYPART_ARC
(17,11),-2.63336 # DEPENDENCYPART_ARC
(17,12),-2.72547 # DEPENDENCYPART_ARC
(17,13),-2.41848 # DEPENDENCYPART_ARC
(17,14),-0.959267 # DEPENDENCYPART_ARC
(17,15),-1.57436 # DEPENDENCYPART_ARC
(17,16),-0.27249 # DEPENDENCYPART_ARC
(17,18),0.257436 # DEPENDENCYPART_ARC
(18,1),-4.89264 # DEPENDENCYPART_ARC
(18,2),-4.4136 # DEPENDENCYPART_ARC
(18,3),-4.32803 # DEPENDENCYPART_ARC
(18,4),-4.32014 # DEPENDENCYPART_ARC
(18,5),-3.47689 # DEPENDENCYPART_ARC
(18,6),-3.6687 # DEPENDENCYPART_ARC
(18,7),-3.59188 # DEPENDENCYPART_ARC
(18,8),-3.44032 # DEPENDENCYPART_ARC
(18,9),-2.92586 # DEPENDENCYPART_ARC
(18,10),-2.27715 # DEPENDENCYPART_ARC
(18,11),-3.78414 # DEPENDENCYPART_ARC
(18,12),-3.13876 # DEPENDENCYPART_ARC
(18,13),-3.01241 # DEPENDENCYPART_ARC
(18,14),-2.0874 # DEPENDENCYPART_ARC
(18,15),-2.66682 # DEPENDENCYPART_ARC
(18,16),-3.69539 # DEPENDENCYPART_ARC
(18,17),-2.70937 # DEPENDENCYPART_ARC
