# _root_ " Turnaj je zařazen do nejnižší kategorie , a proto jsme museli sehnat bydlení do 80 dolarů za noc , což znamenalo v Praze velký problém .
#goldHeads=9,4,4,9,4,7,5,9,0,9,12,20,12,13,14,17,15,17,18,9,22,20,22,23,26,22,0,
#predictedHeads=20,4,4,9,4,7,5,9,0,9,12,9,12,13,14,17,15,17,18,10,22,20,22,23,26,22,0,
(5,21),-3.68256 # DEPENDENCYPART_ARC
(5,22),-3.08184 # DEPENDENCYPART_ARC
(5,23),-3.14478 # DEPENDENCYPART_ARC
(5,24),-8.66295 # DEPENDENCYPART_ARC
(5,25),-4.51845 # DEPENDENCYPART_ARC
(5,26),-11.7663 # DEPENDENCYPART_ARC
(5,27),-4.68809 # DEPENDENCYPART_ARC
(6,1),-2.05091 # DEPENDENCYPART_ARC
(6,2),-4.49002 # DEPENDENCYPART_ARC
(6,3),-3.8399 # DEPENDENCYPART_ARC
(6,4),-3.95515 # DEPENDENCYPART_ARC
(6,5),-0.179564 # DEPENDENCYPART_ARC
(6,7),-0.241427 # DEPENDENCYPART_ARC
(6,8),-1.16423 # DEPENDENCYPART_ARC
(6,9),-0.896758 # DEPENDENCYPART_ARC
(6,10),-0.847062 # DEPENDENCYPART_ARC
(6,11),-3.28467 # DEPENDENCYPART_ARC
(6,12),-4.51719 # DEPENDENCYPART_ARC
(6,13),-2.6515 # DEPENDENCYPART_ARC
(6,14),-5.0595 # DEPENDENCYPART_ARC
(6,15),-2.6188 # DEPENDENCYPART_ARC
(6,16),-2.35236 # DEPENDENCYPART_ARC
(6,17),-4.30267 # DEPENDENCYPART_ARC
(6,18),-3.15238 # DEPENDENCYPART_ARC
(6,19),-6.78228 # DEPENDENCYPART_ARC
(6,20),-2.23091 # DEPENDENCYPART_ARC
(6,22),-5.43654 # DEPENDENCYPART_ARC
(6,23),-3.63932 # DEPENDENCYPART_ARC
(6,24),-7.5438 # DEPENDENCYPART_ARC
(6,25),-7.06384 # DEPENDENCYPART_ARC
(6,26),-7.9263 # DEPENDENCYPART_ARC
(6,27),-4.78092 # DEPENDENCYPART_ARC
(7,1),-1.70874 # DEPENDENCYPART_ARC
(7,2),-4.66092 # DEPENDENCYPART_ARC
(7,3),-1.58317 # DEPENDENCYPART_ARC
(7,4),-1.72728 # DEPENDENCYPART_ARC
(7,5),0.177121 # DEPENDENCYPART_ARC
(7,6),5.13456 # DEPENDENCYPART_ARC
(7,8),-0.268901 # DEPENDENCYPART_ARC
(7,9),0.339542 # DEPENDENCYPART_ARC
(7,10),-0.470968 # DEPENDENCYPART_ARC
(7,11),-1.7625 # DEPENDENCYPART_ARC
(7,12),-1.86954 # DEPENDENCYPART_ARC
(7,13),-2.25536 # DEPENDENCYPART_ARC
(7,14),-7.90954 # DEPENDENCYPART_ARC
(7,15),-2.52206 # DEPENDENCYPART_ARC
(7,16),-2.17931 # DEPENDENCYPART_ARC
(7,17),-3.85097 # DEPENDENCYPART_ARC
(7,18),-2.91699 # DEPENDENCYPART_ARC
(7,19),-8.1885 # DEPENDENCYPART_ARC
(7,20),-2.26018 # DEPENDENCYPART_ARC
(7,21),-5.74302 # DEPENDENCYPART_ARC
(7,22),-4.93748 # DEPENDENCYPART_ARC
(7,23),-4.85467 # DEPENDENCYPART_ARC
(7,24),-7.17515 # DEPENDENCYPART_ARC
(7,25),-6.28346 # DEPENDENCYPART_ARC
(7,26),-9.38652 # DEPENDENCYPART_ARC
(7,27),-8.30524 # DEPENDENCYPART_ARC
(8,1),0.437499 # DEPENDENCYPART_ARC
(8,2),-1.39604 # DEPENDENCYPART_ARC
(8,3),-0.658273 # DEPENDENCYPART_ARC
(8,4),-0.466546 # DEPENDENCYPART_ARC
(8,5),-0.21729 # DEPENDENCYPART_ARC
(8,6),-0.278438 # DEPENDENCYPART_ARC
(8,7),-0.547828 # DEPENDENCYPART_ARC
(8,9),-1.06553 # DEPENDENCYPART_ARC
(8,10),-1.40851 # DEPENDENCYPART_ARC
(8,11),-1.46132 # DEPENDENCYPART_ARC
(8,12),-1.58064 # DEPENDENCYPART_ARC
(8,13),-2.28249 # DEPENDENCYPART_ARC
(8,14),-3.87158 # DEPENDENCYPART_ARC
(8,15),-2.78758 # DEPENDENCYPART_ARC
(8,16),-2.82992 # DEPENDENCYPART_ARC
(8,17),-4.23766 # DEPENDENCYPART_ARC
(8,18),-3.05868 # DEPENDENCYPART_ARC
(8,19),-4.44479 # DEPENDENCYPART_ARC
(8,20),-2.05103 # DEPENDENCYPART_ARC
(8,22),-3.27138 # DEPENDENCYPART_ARC
(8,23),-4.673 # DEPENDENCYPART_ARC
(8,24),-6.0043 # DEPENDENCYPART_ARC
(8,25),-4.50719 # DEPENDENCYPART_ARC
(8,26),-6.02596 # DEPENDENCYPART_ARC
(8,27),-2.47146 # DEPENDENCYPART_ARC
(9,1),1.12892 # DEPENDENCYPART_ARC
(9,2),0.190184 # DEPENDENCYPART_ARC
(9,3),1.03089 # DEPENDENCYPART_ARC
(9,4),1.00654 # DEPENDENCYPART_ARC
(9,5),0.786504 # DEPENDENCYPART_ARC
(9,6),1.29196 # DEPENDENCYPART_ARC
(9,7),1.29772 # DEPENDENCYPART_ARC
(9,8),2.21197 # DEPENDENCYPART_ARC
(9,10),2.60453 # DEPENDENCYPART_ARC
(9,11),1.90841 # DEPENDENCYPART_ARC
(9,12),1.99664 # DEPENDENCYPART_ARC
(9,13),1.23078 # DEPENDENCYPART_ARC
(9,14),-1.36399 # DEPENDENCYPART_ARC
(9,15),-0.2994 # DEPENDENCYPART_ARC
(9,16),-1.05624 # DEPENDENCYPART_ARC
(9,17),-2.05989 # DEPENDENCYPART_ARC
(9,18),0.172745 # DEPENDENCYPART_ARC
(9,19),-2.29376 # DEPENDENCYPART_ARC
(9,20),0.836297 # DEPENDENCYPART_ARC
(9,22),0.575805 # DEPENDENCYPART_ARC
(9,23),-0.997179 # DEPENDENCYPART_ARC
(9,24),-4.0362 # DEPENDENCYPART_ARC
(9,25),-2.60688 # DEPENDENCYPART_ARC
(9,26),-3.94294 # DEPENDENCYPART_ARC
(9,27),-1.637 # DEPENDENCYPART_ARC
(10,1),0.60954 # DEPENDENCYPART_ARC
(10,2),-1.08759 # DEPENDENCYPART_ARC
(10,3),-0.037331 # DEPENDENCYPART_ARC
(10,4),0.412998 # DEPENDENCYPART_ARC
(10,5),-1.6389 # DEPENDENCYPART_ARC
(10,6),-1.53368 # DEPENDENCYPART_ARC
(10,7),-1.3383 # DEPENDENCYPART_ARC
(10,8),0.988209 # DEPENDENCYPART_ARC
(10,9),0.559226 # DEPENDENCYPART_ARC
(10,11),1.50028 # DEPENDENCYPART_ARC
(10,12),1.57594 # DEPENDENCYPART_ARC
(10,13),0.62619 # DEPENDENCYPART_ARC
(10,14),-1.54333 # DEPENDENCYPART_ARC
(10,15),-0.878659 # DEPENDENCYPART_ARC
(10,16),-1.16227 # DEPENDENCYPART_ARC
(10,17),-2.35697 # DEPENDENCYPART_ARC
(10,18),-1.02551 # DEPENDENCYPART_ARC
(10,19),-3.22437 # DEPENDENCYPART_ARC
(10,20),1.32319 # DEPENDENCYPART_ARC
(10,22),-0.274661 # DEPENDENCYPART_ARC
(10,23),-2.42078 # DEPENDENCYPART_ARC
(10,24),-4.13843 # DEPENDENCYPART_ARC
(10,25),-3.07159 # DEPENDENCYPART_ARC
(10,26),-4.5863 # DEPENDENCYPART_ARC
(10,27),-0.87676 # DEPENDENCYPART_ARC
(11,1),-0.871025 # DEPENDENCYPART_ARC
(11,2),-3.42979 # DEPENDENCYPART_ARC
(11,3),-3.40383 # DEPENDENCYPART_ARC
(11,4),-4.09062 # DEPENDENCYPART_ARC
(11,5),-2.3892 # DEPENDENCYPART_ARC
(11,6),-6.52163 # DEPENDENCYPART_ARC
(11,7),-5.13861 # DEPENDENCYPART_ARC
(11,8),-0.883719 # DEPENDENCYPART_ARC
(11,9),-1.42354 # DEPENDENCYPART_ARC
(11,10),-0.49087 # DEPENDENCYPART_ARC
(11,12),-0.954868 # DEPENDENCYPART_ARC
(11,13),0.92706 # DEPENDENCYPART_ARC
(11,14),-1.14445 # DEPENDENCYPART_ARC
(11,15),-0.574163 # DEPENDENCYPART_ARC
(11,16),-1.61542 # DEPENDENCYPART_ARC
(11,17),-3.82456 # DEPENDENCYPART_ARC
(11,18),-1.90702 # DEPENDENCYPART_ARC
(11,19),-2.89653 # DEPENDENCYPART_ARC
(11,20),-1.4448 # DEPENDENCYPART_ARC
(11,21),-3.45466 # DEPENDENCYPART_ARC
(11,22),-4.13906 # DEPENDENCYPART_ARC
(11,23),-1.89086 # DEPENDENCYPART_ARC
(11,24),-6.47169 # DEPENDENCYPART_ARC
(11,25),-6.63412 # DEPENDENCYPART_ARC
(11,26),-3.6002 # DEPENDENCYPART_ARC
(11,27),-2.10045 # DEPENDENCYPART_ARC
(12,1),0.821365 # DEPENDENCYPART_ARC
(12,2),-0.464514 # DEPENDENCYPART_ARC
(12,3),-2.63424 # DEPENDENCYPART_ARC
(12,4),-3.33165 # DEPENDENCYPART_ARC
(12,5),-0.253601 # DEPENDENCYPART_ARC
(12,6),-4.5952 # DEPENDENCYPART_ARC
(12,7),-3.88011 # DEPENDENCYPART_ARC
(12,8),0.247738 # DEPENDENCYPART_ARC
(12,9),0.475391 # DEPENDENCYPART_ARC
(12,10),1.16427 # DEPENDENCYPART_ARC
(12,11),4.86957 # DEPENDENCYPART_ARC
(12,13),3.47401 # DEPENDENCYPART_ARC
(12,14),1.87697 # DEPENDENCYPART_ARC
(12,15),1.35493 # DEPENDENCYPART_ARC
(12,16),-0.25601 # DEPENDENCYPART_ARC
(12,17),-1.23065 # DEPENDENCYPART_ARC
(12,18),0.723023 # DEPENDENCYPART_ARC
(12,19),-1.03654 # DEPENDENCYPART_ARC
(12,20),-0.766698 # DEPENDENCYPART_ARC
(12,21),-2.55044 # DEPENDENCYPART_ARC
(12,22),-2.77484 # DEPENDENCYPART_ARC
(12,23),-0.219961 # DEPENDENCYPART_ARC
(12,24),-4.70619 # DEPENDENCYPART_ARC
(12,25),-5.0017 # DEPENDENCYPART_ARC
(12,26),-1.43384 # DEPENDENCYPART_ARC
(12,27),-1.61055 # DEPENDENCYPART_ARC
(13,1),0.260695 # DEPENDENCYPART_ARC
(13,2),-0.715133 # DEPENDENCYPART_ARC
(13,3),-2.9393 # DEPENDENCYPART_ARC
(13,4),-2.75825 # DEPENDENCYPART_ARC
(13,5),-0.853599 # DEPENDENCYPART_ARC
(13,6),-2.91871 # DEPENDENCYPART_ARC
(13,7),-2.77387 # DEPENDENCYPART_ARC
(13,8),-0.826646 # DEPENDENCYPART_ARC
(13,9),-0.401412 # DEPENDENCYPART_ARC
(13,10),0.402825 # DEPENDENCYPART_ARC
(13,11),0.727491 # DEPENDENCYPART_ARC
(13,12),-0.102083 # DEPENDENCYPART_ARC
(13,14),3.59041 # DEPENDENCYPART_ARC
(13,15),1.54229 # DEPENDENCYPART_ARC
(13,16),-0.316204 # DEPENDENCYPART_ARC
(13,17),-0.423673 # DEPENDENCYPART_ARC
(13,18),0.771229 # DEPENDENCYPART_ARC
(13,19),0.0985972 # DEPENDENCYPART_ARC
(13,20),-0.165014 # DEPENDENCYPART_ARC
(13,21),-2.44971 # DEPENDENCYPART_ARC
(13,22),-1.33596 # DEPENDENCYPART_ARC
(13,23),-0.7996 # DEPENDENCYPART_ARC
(13,24),-2.49142 # DEPENDENCYPART_ARC
(13,25),-3.54918 # DEPENDENCYPART_ARC
(13,26),-1.07444 # DEPENDENCYPART_ARC
(13,27),-1.40923 # DEPENDENCYPART_ARC
(14,1),-3.77834 # DEPENDENCYPART_ARC
(14,2),-7.58756 # DEPENDENCYPART_ARC
(14,3),-2.50551 # DEPENDENCYPART_ARC
(14,4),-2.05305 # DEPENDENCYPART_ARC
(14,5),-0.562116 # DEPENDENCYPART_ARC
(14,6),-5.19378 # DEPENDENCYPART_ARC
(14,7),-6.26801 # DEPENDENCYPART_ARC
(14,8),-1.68014 # DEPENDENCYPART_ARC
(14,9),-1.83162 # DEPENDENCYPART_ARC
(14,10),-1.59134 # DEPENDENCYPART_ARC
(14,11),-2.16386 # DEPENDENCYPART_ARC
(14,12),-3.38623 # DEPENDENCYPART_ARC
(14,13),0.368837 # DEPENDENCYPART_ARC
(14,15),1.7232 # DEPENDENCYPART_ARC
(14,16),0.0533521 # DEPENDENCYPART_ARC
(14,17),0.286405 # DEPENDENCYPART_ARC
(14,18),0.582117 # DEPENDENCYPART_ARC
(14,19),-2.3353 # DEPENDENCYPART_ARC
(14,20),-0.786443 # DEPENDENCYPART_ARC
(14,21),-3.77474 # DEPENDENCYPART_ARC
(14,22),0.0532378 # DEPENDENCYPART_ARC
(14,23),-1.39173 # DEPENDENCYPART_ARC
(14,24),-3.43274 # DEPENDENCYPART_ARC
(14,25),-1.09245 # DEPENDENCYPART_ARC
(14,26),-3.45352 # DEPENDENCYPART_ARC
(14,27),-5.08 # DEPENDENCYPART_ARC
(15,1),-2.54557 # DEPENDENCYPART_ARC
(15,2),-3.60118 # DEPENDENCYPART_ARC
(15,3),-3.09681 # DEPENDENCYPART_ARC
(15,5),-3.21288 # DEPENDENCYPART_ARC
(15,6),-3.27094 # DEPENDENCYPART_ARC
(15,7),-3.53675 # DEPENDENCYPART_ARC
(15,8),-0.75263 # DEPENDENCYPART_ARC
(15,9),-1.61481 # DEPENDENCYPART_ARC
(15,10),-1.55289 # DEPENDENCYPART_ARC
(15,11),-2.12363 # DEPENDENCYPART_ARC
(15,12),-2.2081 # DEPENDENCYPART_ARC
(15,14),-0.370008 # DEPENDENCYPART_ARC
(15,16),1.08292 # DEPENDENCYPART_ARC
(15,17),4.62666 # DEPENDENCYPART_ARC
(15,18),-1.03598 # DEPENDENCYPART_ARC
(15,19),-1.47537 # DEPENDENCYPART_ARC
(15,20),-0.437555 # DEPENDENCYPART_ARC
(15,21),-1.87576 # DEPENDENCYPART_ARC
(15,22),-2.09949 # DEPENDENCYPART_ARC
(15,23),-1.90699 # DEPENDENCYPART_ARC
(15,24),-3.02925 # DEPENDENCYPART_ARC
(15,25),-3.03741 # DEPENDENCYPART_ARC
(15,26),-6.36367 # DEPENDENCYPART_ARC
(15,27),-2.12844 # DEPENDENCYPART_ARC
(16,1),-3.2682 # DEPENDENCYPART_ARC
(16,2),-1.72239 # DEPENDENCYPART_ARC
(16,3),-2.56638 # DEPENDENCYPART_ARC
(16,5),-1.44285 # DEPENDENCYPART_ARC
(16,6),-1.30976 # DEPENDENCYPART_ARC
(16,7),-1.63402 # DEPENDENCYPART_ARC
(16,8),-1.33919 # DEPENDENCYPART_ARC
(16,9),-0.910351 # DEPENDENCYPART_ARC
(16,10),-0.695926 # DEPENDENCYPART_ARC
(16,11),-1.68978 # DEPENDENCYPART_ARC
(16,12),-1.55705 # DEPENDENCYPART_ARC
(16,14),-0.560415 # DEPENDENCYPART_ARC
(16,15),-0.121431 # DEPENDENCYPART_ARC
(16,17),3.86224 # DEPENDENCYPART_ARC
(16,18),0.630076 # DEPENDENCYPART_ARC
(16,19),0.63974 # DEPENDENCYPART_ARC
(16,20),-0.581406 # DEPENDENCYPART_ARC
(16,22),-1.03816 # DEPENDENCYPART_ARC
(16,23),-0.991814 # DEPENDENCYPART_ARC
(16,24),-1.11504 # DEPENDENCYPART_ARC
(16,25),-1.76209 # DEPENDENCYPART_ARC
(16,26),-1.43532 # DEPENDENCYPART_ARC
(16,27),-1.57264 # DEPENDENCYPART_ARC
(17,1),-4.91387 # DEPENDENCYPART_ARC
(17,2),-8.22333 # DEPENDENCYPART_ARC
(17,3),-3.60368 # DEPENDENCYPART_ARC
(17,4),-4.41425 # DEPENDENCYPART_ARC
(17,5),-2.38688 # DEPENDENCYPART_ARC
(17,6),-5.89723 # DEPENDENCYPART_ARC
(17,7),-6.03115 # DEPENDENCYPART_ARC
(17,8),-2.50255 # DEPENDENCYPART_ARC
(17,9),-3.30375 # DEPENDENCYPART_ARC
(17,10),-3.14923 # DEPENDENCYPART_ARC
(17,11),-3.21061 # DEPENDENCYPART_ARC
(17,12),-4.88156 # DEPENDENCYPART_ARC
(17,13),-1.81427 # DEPENDENCYPART_ARC
(17,14),-3.90837 # DEPENDENCYPART_ARC
(17,15),-1.54444 # DEPENDENCYPART_ARC
(17,16),1.86037 # DEPENDENCYPART_ARC
(17,18),0.906131 # DEPENDENCYPART_ARC
(17,19),-4.4739 # DEPENDENCYPART_ARC
(17,20),-1.10462 # DEPENDENCYPART_ARC
(17,21),-3.68579 # DEPENDENCYPART_ARC
(17,22),-1.9402 # DEPENDENCYPART_ARC
(17,23),-2.35883 # DEPENDENCYPART_ARC
(17,24),-4.04058 # DEPENDENCYPART_ARC
(17,25),-4.36222 # DEPENDENCYPART_ARC
(17,26),-7.04648 # DEPENDENCYPART_ARC
(17,27),-3.87687 # DEPENDENCYPART_ARC
(18,1),-3.63199 # DEPENDENCYPART_ARC
(18,2),-4.57924 # DEPENDENCYPART_ARC
(18,3),-4.11302 # DEPENDENCYPART_ARC
(18,5),-3.46079 # DEPENDENCYPART_ARC
(18,6),-3.74282 # DEPENDENCYPART_ARC
(18,7),-4.56588 # DEPENDENCYPART_ARC
(18,8),-1.63574 # DEPENDENCYPART_ARC
(18,9),-2.28325 # DEPENDENCYPART_ARC
(18,10),-2.27954 # DEPENDENCYPART_ARC
(18,11),-3.5031 # DEPENDENCYPART_ARC
(18,12),-3.69205 # DEPENDENCYPART_ARC
(18,14),-2.86221 # DEPENDENCYPART_ARC
(18,15),-1.61769 # DEPENDENCYPART_ARC
(18,16),-1.30717 # DEPENDENCYPART_ARC
(18,17),-1.6332 # DEPENDENCYPART_ARC
(18,19),3.97994 # DEPENDENCYPART_ARC
(18,20),0.068552 # DEPENDENCYPART_ARC
(18,21),-0.641964 # DEPENDENCYPART_ARC
(18,22),-1.32675 # DEPENDENCYPART_ARC
(18,23),-1.20217 # DEPENDENCYPART_ARC
(18,24),-2.94879 # DEPENDENCYPART_ARC
(18,25),-0.696023 # DEPENDENCYPART_ARC
(18,26),-2.95063 # DEPENDENCYPART_ARC
(18,27),-1.49201 # DEPENDENCYPART_ARC
(19,1),-5.02561 # DEPENDENCYPART_ARC
(19,2),-8.12719 # DEPENDENCYPART_ARC
(19,3),-2.22337 # DEPENDENCYPART_ARC
(19,4),-1.65164 # DEPENDENCYPART_ARC
(19,5),-0.301595 # DEPENDENCYPART_ARC
(19,6),-4.24311 # DEPENDENCYPART_ARC
(19,7),-6.16403 # DEPENDENCYPART_ARC
(19,8),-2.2647 # DEPENDENCYPART_ARC
(19,9),-3.24238 # DEPENDENCYPART_ARC
(19,10),-3.18268 # DEPENDENCYPART_ARC
(19,11),-2.2222 # DEPENDENCYPART_ARC
(19,12),-4.1052 # DEPENDENCYPART_ARC
(19,13),-0.895939 # DEPENDENCYPART_ARC
(19,14),-1.0467 # DEPENDENCYPART_ARC
(19,15),0.195083 # DEPENDENCYPART_ARC
(19,16),-0.332832 # DEPENDENCYPART_ARC
(19,17),-3.66988 # DEPENDENCYPART_ARC
(19,18),0.51246 # DEPENDENCYPART_ARC
(19,20),-0.276708 # DEPENDENCYPART_ARC
(19,21),-2.55898 # DEPENDENCYPART_ARC
(19,22),1.29281 # DEPENDENCYPART_ARC
(19,23),-1.05576 # DEPENDENCYPART_ARC
(19,24),-0.825633 # DEPENDENCYPART_ARC
(19,25),-1.02663 # DEPENDENCYPART_ARC
(19,26),-2.19235 # DEPENDENCYPART_ARC
(19,27),-2.18328 # DEPENDENCYPART_ARC
(20,1),2.19275 # DEPENDENCYPART_ARC
(20,2),-1.60791 # DEPENDENCYPART_ARC
