# _root_ avšak hlavním důvodem , proč se nekonají oba špičkové jazzové festivaly , je nedostatek peněz .
#goldHeads=0,3,13,7,7,7,3,11,11,11,7,7,1,13,14,0,
#predictedHeads=13,3,4,7,7,7,1,11,11,11,7,7,0,13,14,0,
(4,9),0.0597612 # DEPENDENCYPART_ARC
(4,10),0.104073 # DEPENDENCYPART_ARC
(4,11),-0.176187 # DEPENDENCYPART_ARC
(4,12),0.291577 # DEPENDENCYPART_ARC
(4,13),-0.221102 # DEPENDENCYPART_ARC
(4,14),-1.65077 # DEPENDENCYPART_ARC
(4,15),-1.10424 # DEPENDENCYPART_ARC
(4,16),-0.646582 # DEPENDENCYPART_ARC
(5,1),-0.515337 # DEPENDENCYPART_ARC
(5,2),-0.19922 # DEPENDENCYPART_ARC
(5,3),0.283842 # DEPENDENCYPART_ARC
(5,4),-0.045793 # DEPENDENCYPART_ARC
(5,6),-0.0256912 # DEPENDENCYPART_ARC
(5,7),0.156106 # DEPENDENCYPART_ARC
(5,8),-0.583066 # DEPENDENCYPART_ARC
(5,9),-0.552688 # DEPENDENCYPART_ARC
(5,10),-0.593454 # DEPENDENCYPART_ARC
(5,11),-1.07926 # DEPENDENCYPART_ARC
(5,12),-0.116219 # DEPENDENCYPART_ARC
(5,13),-0.996535 # DEPENDENCYPART_ARC
(5,14),-2.28256 # DEPENDENCYPART_ARC
(5,15),-2.16724 # DEPENDENCYPART_ARC
(5,16),-1.62748 # DEPENDENCYPART_ARC
(6,1),-2.97952 # DEPENDENCYPART_ARC
(6,2),-4.26757 # DEPENDENCYPART_ARC
(6,3),-2.89528 # DEPENDENCYPART_ARC
(6,4),-1.52175 # DEPENDENCYPART_ARC
(6,5),-0.405039 # DEPENDENCYPART_ARC
(6,7),-2.76774 # DEPENDENCYPART_ARC
(6,8),-1.49227 # DEPENDENCYPART_ARC
(6,9),-2.91538 # DEPENDENCYPART_ARC
(6,10),-3.14584 # DEPENDENCYPART_ARC
(6,11),-2.61147 # DEPENDENCYPART_ARC
(6,12),-1.84772 # DEPENDENCYPART_ARC
(6,13),-4.94126 # DEPENDENCYPART_ARC
(6,14),-3.10309 # DEPENDENCYPART_ARC
(6,15),-2.92724 # DEPENDENCYPART_ARC
(6,16),-2.21187 # DEPENDENCYPART_ARC
(7,1),0.581034 # DEPENDENCYPART_ARC
(7,2),-2.31944 # DEPENDENCYPART_ARC
(7,3),-0.794404 # DEPENDENCYPART_ARC
(7,4),1.83933 # DEPENDENCYPART_ARC
(7,5),2.82554 # DEPENDENCYPART_ARC
(7,6),4.12129 # DEPENDENCYPART_ARC
(7,8),1.62261 # DEPENDENCYPART_ARC
(7,9),1.10849 # DEPENDENCYPART_ARC
(7,10),-0.154001 # DEPENDENCYPART_ARC
(7,11),2.13914 # DEPENDENCYPART_ARC
(7,12),1.0946 # DEPENDENCYPART_ARC
(7,13),-1.45396 # DEPENDENCYPART_ARC
(7,14),0.320935 # DEPENDENCYPART_ARC
(7,15),-0.973619 # DEPENDENCYPART_ARC
(7,16),-0.411122 # DEPENDENCYPART_ARC
(8,1),-1.47318 # DEPENDENCYPART_ARC
(8,2),-4.18991 # DEPENDENCYPART_ARC
(8,3),-3.42544 # DEPENDENCYPART_ARC
(8,4),-1.18925 # DEPENDENCYPART_ARC
(8,5),-0.676094 # DEPENDENCYPART_ARC
(8,6),-0.404268 # DEPENDENCYPART_ARC
(8,7),-1.41216 # DEPENDENCYPART_ARC
(8,9),-0.183254 # DEPENDENCYPART_ARC
(8,10),-0.987365 # DEPENDENCYPART_ARC
(8,11),-0.312355 # DEPENDENCYPART_ARC
(8,12),-0.542675 # DEPENDENCYPART_ARC
(8,13),-1.39956 # DEPENDENCYPART_ARC
(8,14),-2.30125 # DEPENDENCYPART_ARC
(8,15),-1.61812 # DEPENDENCYPART_ARC
(8,16),-0.916806 # DEPENDENCYPART_ARC
(9,1),-1.57022 # DEPENDENCYPART_ARC
(9,2),-3.42425 # DEPENDENCYPART_ARC
(9,3),-1.33853 # DEPENDENCYPART_ARC
(9,4),-0.83341 # DEPENDENCYPART_ARC
(9,5),-0.441874 # DEPENDENCYPART_ARC
(9,6),-0.513002 # DEPENDENCYPART_ARC
(9,7),-2.42668 # DEPENDENCYPART_ARC
(9,8),1.06162 # DEPENDENCYPART_ARC
(9,10),-0.874472 # DEPENDENCYPART_ARC
(9,11),-0.282687 # DEPENDENCYPART_ARC
(9,12),-0.101774 # DEPENDENCYPART_ARC
(9,13),-2.63945 # DEPENDENCYPART_ARC
(9,14),-2.69266 # DEPENDENCYPART_ARC
(9,15),-2.99433 # DEPENDENCYPART_ARC
(9,16),-1.36068 # DEPENDENCYPART_ARC
(10,1),-1.61239 # DEPENDENCYPART_ARC
(10,2),-3.42566 # DEPENDENCYPART_ARC
(10,3),-1.61672 # DEPENDENCYPART_ARC
(10,4),-1.22412 # DEPENDENCYPART_ARC
(10,5),-0.86764 # DEPENDENCYPART_ARC
(10,6),-0.798416 # DEPENDENCYPART_ARC
(10,7),-2.83818 # DEPENDENCYPART_ARC
(10,8),0.206367 # DEPENDENCYPART_ARC
(10,9),-1.25373 # DEPENDENCYPART_ARC
(10,11),-0.353258 # DEPENDENCYPART_ARC
(10,12),-0.261667 # DEPENDENCYPART_ARC
(10,13),-2.77864 # DEPENDENCYPART_ARC
(10,14),-3.14873 # DEPENDENCYPART_ARC
(10,15),-3.36982 # DEPENDENCYPART_ARC
(10,16),-1.29506 # DEPENDENCYPART_ARC
(11,1),-1.08684 # DEPENDENCYPART_ARC
(11,2),-1.33923 # DEPENDENCYPART_ARC
(11,3),-4.89642 # DEPENDENCYPART_ARC
(11,4),-0.14555 # DEPENDENCYPART_ARC
(11,5),-0.280736 # DEPENDENCYPART_ARC
(11,6),-1.76638 # DEPENDENCYPART_ARC
(11,7),-1.72574 # DEPENDENCYPART_ARC
(11,8),4.66225 # DEPENDENCYPART_ARC
(11,9),4.56626 # DEPENDENCYPART_ARC
(11,10),5.17622 # DEPENDENCYPART_ARC
(11,12),-0.208706 # DEPENDENCYPART_ARC
(11,13),-1.28902 # DEPENDENCYPART_ARC
(11,14),-2.16351 # DEPENDENCYPART_ARC
(11,15),-0.118299 # DEPENDENCYPART_ARC
(11,16),-2.19629 # DEPENDENCYPART_ARC
(12,1),-0.408345 # DEPENDENCYPART_ARC
(12,2),-0.771041 # DEPENDENCYPART_ARC
(12,3),-0.909635 # DEPENDENCYPART_ARC
(12,4),-0.36097 # DEPENDENCYPART_ARC
(12,5),-0.479565 # DEPENDENCYPART_ARC
(12,6),-0.159356 # DEPENDENCYPART_ARC
(12,7),0.518192 # DEPENDENCYPART_ARC
(12,8),-0.314205 # DEPENDENCYPART_ARC
(12,9),0.0437987 # DEPENDENCYPART_ARC
(12,10),-0.0582264 # DEPENDENCYPART_ARC
(12,11),-0.185243 # DEPENDENCYPART_ARC
(12,13),0.218987 # DEPENDENCYPART_ARC
(12,14),-0.812631 # DEPENDENCYPART_ARC
(12,15),-0.569997 # DEPENDENCYPART_ARC
(12,16),-0.434621 # DEPENDENCYPART_ARC
(13,1),0.977462 # DEPENDENCYPART_ARC
(13,2),-2.02221 # DEPENDENCYPART_ARC
(13,3),-0.27374 # DEPENDENCYPART_ARC
(13,4),0.452703 # DEPENDENCYPART_ARC
(13,5),1.14567 # DEPENDENCYPART_ARC
(13,6),1.0763 # DEPENDENCYPART_ARC
(13,7),-1.32321 # DEPENDENCYPART_ARC
(13,8),0.497465 # DEPENDENCYPART_ARC
(13,9),-0.389869 # DEPENDENCYPART_ARC
(13,10),-0.334402 # DEPENDENCYPART_ARC
(13,11),1.10511 # DEPENDENCYPART_ARC
(13,12),0.100378 # DEPENDENCYPART_ARC
(13,14),3.39629 # DEPENDENCYPART_ARC
(13,15),0.667154 # DEPENDENCYPART_ARC
(13,16),0.0664601 # DEPENDENCYPART_ARC
(14,1),-3.09642 # DEPENDENCYPART_ARC
(14,2),-3.09073 # DEPENDENCYPART_ARC
(14,3),-6.91655 # DEPENDENCYPART_ARC
(14,4),-2.17769 # DEPENDENCYPART_ARC
(14,5),-2.40586 # DEPENDENCYPART_ARC
(14,6),-4.45418 # DEPENDENCYPART_ARC
(14,7),-3.90627 # DEPENDENCYPART_ARC
(14,8),-0.480225 # DEPENDENCYPART_ARC
(14,9),-1.88689 # DEPENDENCYPART_ARC
(14,10),-1.87404 # DEPENDENCYPART_ARC
(14,11),-2.76898 # DEPENDENCYPART_ARC
(14,12),-1.29747 # DEPENDENCYPART_ARC
(14,13),-1.43912 # DEPENDENCYPART_ARC
(14,15),3.9522 # DEPENDENCYPART_ARC
(14,16),0.541558 # DEPENDENCYPART_ARC
(15,1),-2.84288 # DEPENDENCYPART_ARC
(15,2),-3.54756 # DEPENDENCYPART_ARC
(15,3),-6.4567 # DEPENDENCYPART_ARC
(15,4),-1.98068 # DEPENDENCYPART_ARC
(15,5),-2.45053 # DEPENDENCYPART_ARC
(15,6),-4.11721 # DEPENDENCYPART_ARC
(15,7),-3.24302 # DEPENDENCYPART_ARC
(15,8),-0.405955 # DEPENDENCYPART_ARC
(15,9),-2.42497 # DEPENDENCYPART_ARC
(15,10),-2.05358 # DEPENDENCYPART_ARC
(15,11),-3.9534 # DEPENDENCYPART_ARC
(15,12),-1.27138 # DEPENDENCYPART_ARC
(15,13),-1.45161 # DEPENDENCYPART_ARC
(15,14),-0.075356 # DEPENDENCYPART_ARC
(15,16),-0.155912 # DEPENDENCYPART_ARC
(16,1),-4.65118 # DEPENDENCYPART_ARC
(16,2),-4.35303 # DEPENDENCYPART_ARC
(16,3),-5.27064 # DEPENDENCYPART_ARC
(16,4),-4.44979 # DEPENDENCYPART_ARC
(16,5),-4.02171 # DEPENDENCYPART_ARC
(16,6),-3.83351 # DEPENDENCYPART_ARC
(16,7),-4.33356 # DEPENDENCYPART_ARC
(16,8),-4.26149 # DEPENDENCYPART_ARC
(16,9),-3.97782 # DEPENDENCYPART_ARC
(16,10),-3.81473 # DEPENDENCYPART_ARC
(16,11),-3.69166 # DEPENDENCYPART_ARC
(16,12),-3.11622 # DEPENDENCYPART_ARC
(16,13),-3.25151 # DEPENDENCYPART_ARC
(16,14),-3.08074 # DEPENDENCYPART_ARC
(16,15),-3.11258 # DEPENDENCYPART_ARC
