# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,5,10,15,15,15,11,17,15,17,18,19,22,24,24,18,19,25,0,
(2,5),-3.6274 # DEPENDENCYPART_ARC
(2,6),-1.78198 # DEPENDENCYPART_ARC
(2,7),-3.86414 # DEPENDENCYPART_ARC
(2,8),-5.20084 # DEPENDENCYPART_ARC
(2,9),-3.44918 # DEPENDENCYPART_ARC
(2,10),-0.691138 # DEPENDENCYPART_ARC
(2,11),-3.7774 # DEPENDENCYPART_ARC
(2,12),-1.00251 # DEPENDENCYPART_ARC
(2,13),-1.09787 # DEPENDENCYPART_ARC
(2,14),-3.49832 # DEPENDENCYPART_ARC
(2,15),-3.11408 # DEPENDENCYPART_ARC
(2,16),-1.58404 # DEPENDENCYPART_ARC
(2,17),-2.04512 # DEPENDENCYPART_ARC
(2,18),-6.4477 # DEPENDENCYPART_ARC
(2,19),-8.63785 # DEPENDENCYPART_ARC
(2,20),-5.0293 # DEPENDENCYPART_ARC
(2,21),-5.15047 # DEPENDENCYPART_ARC
(2,22),-8.91913 # DEPENDENCYPART_ARC
(2,23),-9.28117 # DEPENDENCYPART_ARC
(2,24),-9.52725 # DEPENDENCYPART_ARC
(2,25),-5.2505 # DEPENDENCYPART_ARC
(2,26),-6.65596 # DEPENDENCYPART_ARC
(2,27),-11.5083 # DEPENDENCYPART_ARC
(3,1),2.75542 # DEPENDENCYPART_ARC
(3,2),2.23383 # DEPENDENCYPART_ARC
(3,4),-1.28352 # DEPENDENCYPART_ARC
(3,5),3.46017 # DEPENDENCYPART_ARC
(3,6),3.06833 # DEPENDENCYPART_ARC
(3,7),-2.26343 # DEPENDENCYPART_ARC
(3,8),2.07103 # DEPENDENCYPART_ARC
(3,9),0.749008 # DEPENDENCYPART_ARC
(3,10),1.24948 # DEPENDENCYPART_ARC
(3,11),-1.52148 # DEPENDENCYPART_ARC
(3,12),0.392225 # DEPENDENCYPART_ARC
(3,13),-0.194772 # DEPENDENCYPART_ARC
(3,14),-1.25043 # DEPENDENCYPART_ARC
(3,15),0.365113 # DEPENDENCYPART_ARC
(3,16),0.023985 # DEPENDENCYPART_ARC
(3,17),-0.0189373 # DEPENDENCYPART_ARC
(3,18),-3.76078 # DEPENDENCYPART_ARC
(3,19),-3.24099 # DEPENDENCYPART_ARC
(3,20),0.278835 # DEPENDENCYPART_ARC
(3,21),-6.51733 # DEPENDENCYPART_ARC
(3,22),-3.73616 # DEPENDENCYPART_ARC
(3,23),-4.33113 # DEPENDENCYPART_ARC
(3,24),-3.02695 # DEPENDENCYPART_ARC
(3,25),-0.738481 # DEPENDENCYPART_ARC
(3,26),-6.28566 # DEPENDENCYPART_ARC
(3,27),-1.14761 # DEPENDENCYPART_ARC
(4,1),-3.83357 # DEPENDENCYPART_ARC
(4,2),-4.56634 # DEPENDENCYPART_ARC
(4,3),-2.10304 # DEPENDENCYPART_ARC
(4,5),-0.664925 # DEPENDENCYPART_ARC
(4,6),-0.992581 # DEPENDENCYPART_ARC
(4,7),-0.902259 # DEPENDENCYPART_ARC
(4,8),-2.94084 # DEPENDENCYPART_ARC
(4,9),-3.71093 # DEPENDENCYPART_ARC
(4,10),-2.08365 # DEPENDENCYPART_ARC
(4,11),-5.19932 # DEPENDENCYPART_ARC
(4,12),-1.01595 # DEPENDENCYPART_ARC
(4,13),-1.81963 # DEPENDENCYPART_ARC
(4,14),-3.66753 # DEPENDENCYPART_ARC
(4,15),-3.84939 # DEPENDENCYPART_ARC
(4,16),-1.79959 # DEPENDENCYPART_ARC
(4,17),-1.52517 # DEPENDENCYPART_ARC
(4,18),-4.71467 # DEPENDENCYPART_ARC
(4,19),-7.5353 # DEPENDENCYPART_ARC
(4,20),-4.46267 # DEPENDENCYPART_ARC
(4,21),-2.58975 # DEPENDENCYPART_ARC
(4,22),-8.1477 # DEPENDENCYPART_ARC
(4,23),-9.28454 # DEPENDENCYPART_ARC
(4,24),-8.49534 # DEPENDENCYPART_ARC
(4,25),-4.68275 # DEPENDENCYPART_ARC
(4,26),-9.91486 # DEPENDENCYPART_ARC
(4,27),-5.77343 # DEPENDENCYPART_ARC
(5,1),-1.7907 # DEPENDENCYPART_ARC
(5,2),-2.1984 # DEPENDENCYPART_ARC
(5,3),-1.16286 # DEPENDENCYPART_ARC
(5,4),5.4921 # DEPENDENCYPART_ARC
(5,6),2.59234 # DEPENDENCYPART_ARC
(5,7),0.477335 # DEPENDENCYPART_ARC
(5,8),-0.371402 # DEPENDENCYPART_ARC
(5,9),0.0334877 # DEPENDENCYPART_ARC
(5,10),1.66747 # DEPENDENCYPART_ARC
(5,11),-1.05114 # DEPENDENCYPART_ARC
(5,12),-0.487313 # DEPENDENCYPART_ARC
(5,13),-0.111097 # DEPENDENCYPART_ARC
(5,14),-1.1364 # DEPENDENCYPART_ARC
(5,15),-0.859275 # DEPENDENCYPART_ARC
(5,16),-0.947275 # DEPENDENCYPART_ARC
(5,17),-0.66691 # DEPENDENCYPART_ARC
(5,18),-4.67237 # DEPENDENCYPART_ARC
(5,19),-4.6065 # DEPENDENCYPART_ARC
(5,20),-1.3841 # DEPENDENCYPART_ARC
(5,21),-2.06134 # DEPENDENCYPART_ARC
(5,22),-5.08369 # DEPENDENCYPART_ARC
(5,23),-5.54909 # DEPENDENCYPART_ARC
(5,24),-4.70161 # DEPENDENCYPART_ARC
(5,25),-1.66393 # DEPENDENCYPART_ARC
(5,26),-5.1795 # DEPENDENCYPART_ARC
(5,27),-9.73525 # DEPENDENCYPART_ARC
(6,1),-4.12736 # DEPENDENCYPART_ARC
(6,2),-3.81736 # DEPENDENCYPART_ARC
(6,3),-3.06492 # DEPENDENCYPART_ARC
(6,4),-1.9256 # DEPENDENCYPART_ARC
(6,5),-2.15142 # DEPENDENCYPART_ARC
(6,7),1.91499 # DEPENDENCYPART_ARC
(6,8),3.50007 # DEPENDENCYPART_ARC
(6,9),-0.347373 # DEPENDENCYPART_ARC
(6,10),-0.967694 # DEPENDENCYPART_ARC
(6,11),-3.57986 # DEPENDENCYPART_ARC
(6,12),-0.316708 # DEPENDENCYPART_ARC
(6,13),-0.611164 # DEPENDENCYPART_ARC
(6,14),-2.10692 # DEPENDENCYPART_ARC
(6,15),-1.85357 # DEPENDENCYPART_ARC
(6,16),-1.69146 # DEPENDENCYPART_ARC
(6,17),-2.80801 # DEPENDENCYPART_ARC
(6,18),-2.24322 # DEPENDENCYPART_ARC
(6,19),-5.27781 # DEPENDENCYPART_ARC
(6,20),-2.1314 # DEPENDENCYPART_ARC
(6,21),-0.738076 # DEPENDENCYPART_ARC
(6,22),-6.70473 # DEPENDENCYPART_ARC
(6,23),-8.24769 # DEPENDENCYPART_ARC
(6,24),-8.09401 # DEPENDENCYPART_ARC
(6,25),-2.56049 # DEPENDENCYPART_ARC
(6,26),-12.3293 # DEPENDENCYPART_ARC
(6,27),-4.38189 # DEPENDENCYPART_ARC
(7,1),-4.87281 # DEPENDENCYPART_ARC
(7,2),-5.39187 # DEPENDENCYPART_ARC
(7,3),-3.88941 # DEPENDENCYPART_ARC
(7,4),-2.83505 # DEPENDENCYPART_ARC
(7,5),-2.23202 # DEPENDENCYPART_ARC
(7,6),-0.672203 # DEPENDENCYPART_ARC
(7,8),-0.931289 # DEPENDENCYPART_ARC
(7,9),-0.390657 # DEPENDENCYPART_ARC
(7,10),-0.220329 # DEPENDENCYPART_ARC
(7,11),-2.77322 # DEPENDENCYPART_ARC
(7,12),-0.838367 # DEPENDENCYPART_ARC
(7,13),-1.30414 # DEPENDENCYPART_ARC
(7,14),-3.32356 # DEPENDENCYPART_ARC
(7,15),-3.27106 # DEPENDENCYPART_ARC
(7,16),-1.44908 # DEPENDENCYPART_ARC
(7,17),-1.21048 # DEPENDENCYPART_ARC
(7,18),-4.39739 # DEPENDENCYPART_ARC
(7,19),-6.1565 # DEPENDENCYPART_ARC
(7,20),-3.29279 # DEPENDENCYPART_ARC
(7,21),-3.33904 # DEPENDENCYPART_ARC
(7,22),-7.0442 # DEPENDENCYPART_ARC
(7,23),-8.00746 # DEPENDENCYPART_ARC
(7,24),-6.87327 # DEPENDENCYPART_ARC
(7,25),-3.6253 # DEPENDENCYPART_ARC
(7,26),-7.10177 # DEPENDENCYPART_ARC
(7,27),-4.6029 # DEPENDENCYPART_ARC
(8,1),-3.60863 # DEPENDENCYPART_ARC
(8,2),-3.92728 # DEPENDENCYPART_ARC
(8,3),-1.78855 # DEPENDENCYPART_ARC
(8,4),1.66985 # DEPENDENCYPART_ARC
(8,5),-1.62634 # DEPENDENCYPART_ARC
(8,6),-0.377016 # DEPENDENCYPART_ARC
(8,7),5.51779 # DEPENDENCYPART_ARC
(8,9),2.96256 # DEPENDENCYPART_ARC
(8,10),1.58014 # DEPENDENCYPART_ARC
(8,11),0.603545 # DEPENDENCYPART_ARC
(8,12),-0.179985 # DEPENDENCYPART_ARC
(8,13),-0.161167 # DEPENDENCYPART_ARC
(8,14),-0.612672 # DEPENDENCYPART_ARC
(8,15),-0.502271 # DEPENDENCYPART_ARC
(8,16),-0.852923 # DEPENDENCYPART_ARC
(8,17),-1.13519 # DEPENDENCYPART_ARC
(8,18),-4.16571 # DEPENDENCYPART_ARC
(8,19),-3.94245 # DEPENDENCYPART_ARC
(8,20),-1.63126 # DEPENDENCYPART_ARC
(8,21),-2.28608 # DEPENDENCYPART_ARC
(8,22),-4.5507 # DEPENDENCYPART_ARC
(8,23),-4.96712 # DEPENDENCYPART_ARC
(8,24),-4.07314 # DEPENDENCYPART_ARC
(8,25),-1.98055 # DEPENDENCYPART_ARC
(8,26),-3.89875 # DEPENDENCYPART_ARC
(8,27),-7.98955 # DEPENDENCYPART_ARC
(9,1),-1.85296 # DEPENDENCYPART_ARC
(9,2),-3.26523 # DEPENDENCYPART_ARC
(9,3),-3.48479 # DEPENDENCYPART_ARC
(9,4),-2.25152 # DEPENDENCYPART_ARC
(9,5),-3.75072 # DEPENDENCYPART_ARC
(9,6),-1.58647 # DEPENDENCYPART_ARC
(9,7),0.325809 # DEPENDENCYPART_ARC
(9,8),-0.354131 # DEPENDENCYPART_ARC
(9,10),1.49228 # DEPENDENCYPART_ARC
(9,11),0.49445 # DEPENDENCYPART_ARC
(9,12),-0.416708 # DEPENDENCYPART_ARC
(9,13),-0.262733 # DEPENDENCYPART_ARC
(9,14),-1.80898 # DEPENDENCYPART_ARC
(9,15),-1.6265 # DEPENDENCYPART_ARC
(9,16),-0.882745 # DEPENDENCYPART_ARC
(9,17),-1.46773 # DEPENDENCYPART_ARC
(9,18),-5.12845 # DEPENDENCYPART_ARC
(9,19),-6.21247 # DEPENDENCYPART_ARC
(9,20),-2.99732 # DEPENDENCYPART_ARC
(9,21),-3.52798 # DEPENDENCYPART_ARC
(9,22),-6.58639 # DEPENDENCYPART_ARC
(9,23),-7.19078 # DEPENDENCYPART_ARC
(9,24),-6.92619 # DEPENDENCYPART_ARC
(9,25),-2.72086 # DEPENDENCYPART_ARC
(9,26),-3.96819 # DEPENDENCYPART_ARC
(9,27),-7.64283 # DEPENDENCYPART_ARC
(10,1),-4.55937 # DEPENDENCYPART_ARC
(10,2),-4.21705 # DEPENDENCYPART_ARC
(10,3),-3.30336 # DEPENDENCYPART_ARC
(10,4),-2.593 # DEPENDENCYPART_ARC
(10,5),-2.57007 # DEPENDENCYPART_ARC
(10,6),-1.89082 # DEPENDENCYPART_ARC
(10,7),-1.96297 # DEPENDENCYPART_ARC
(10,8),-1.95284 # DEPENDENCYPART_ARC
(10,9),-1.18553 # DEPENDENCYPART_ARC
(10,11),3.93872 # DEPENDENCYPART_ARC
(10,12),0.0698993 # DEPENDENCYPART_ARC
(10,13),0.102504 # DEPENDENCYPART_ARC
(10,14),-1.53552 # DEPENDENCYPART_ARC
(10,15),-1.49426 # DEPENDENCYPART_ARC
(10,16),-1.36733 # DEPENDENCYPART_ARC
(10,17),-2.25409 # DEPENDENCYPART_ARC
(10,18),-1.87593 # DEPENDENCYPART_ARC
(10,19),-5.55538 # DEPENDENCYPART_ARC
(10,20),-1.98605 # DEPENDENCYPART_ARC
(10,21),-3.00429 # DEPENDENCYPART_ARC
(10,22),-7.41113 # DEPENDENCYPART_ARC
(10,23),-8.37967 # DEPENDENCYPART_ARC
(10,24),-8.57021 # DEPENDENCYPART_ARC
(10,25),-2.6154 # DEPENDENCYPART_ARC
(10,26),-8.76817 # DEPENDENCYPART_ARC
(10,27),-3.44481 # DEPENDENCYPART_ARC
(11,1),-3.4007 # DEPENDENCYPART_ARC
(11,2),-4.30408 # DEPENDENCYPART_ARC
(11,3),-2.49707 # DEPENDENCYPART_ARC
(11,4),-3.94116 # DEPENDENCYPART_ARC
(11,5),-5.2653 # DEPENDENCYPART_ARC
(11,6),-1.43231 # DEPENDENCYPART_ARC
(11,7),-0.844294 # DEPENDENCYPART_ARC
(11,8),-2.5732 # DEPENDENCYPART_ARC
(11,9),-1.72522 # DEPENDENCYPART_ARC
(11,10),0.473131 # DEPENDENCYPART_ARC
(11,12),-0.217482 # DEPENDENCYPART_ARC
(11,13),0.236997 # DEPENDENCYPART_ARC
(11,14),0.90264 # DEPENDENCYPART_ARC
(11,15),0.561811 # DEPENDENCYPART_ARC
(11,16),-0.158038 # DEPENDENCYPART_ARC
(11,17),0.209288 # DEPENDENCYPART_ARC
(11,18),-3.27733 # DEPENDENCYPART_ARC
(11,19),-5.82922 # DEPENDENCYPART_ARC
(11,20),-1.56414 # DEPENDENCYPART_ARC
(11,21),-3.91213 # DEPENDENCYPART_ARC
(11,22),-5.70591 # DEPENDENCYPART_ARC
(11,23),-6.5186 # DEPENDENCYPART_ARC
(11,24),-6.3132 # DEPENDENCYPART_ARC
(11,25),-2.18729 # DEPENDENCYPART_ARC
(11,26),-3.76644 # DEPENDENCYPART_ARC
(11,27),-6.36277 # DEPENDENCYPART_ARC
(12,1),-1.75867 # DEPENDENCYPART_ARC
(12,2),-1.0954 # DEPENDENCYPART_ARC
(12,3),-0.569001 # DEPENDENCYPART_ARC
(12,4),-0.673113 # DEPENDENCYPART_ARC
(12,5),-0.935884 # DEPENDENCYPART_ARC
(12,6),-0.685746 # DEPENDENCYPART_ARC
(12,7),-0.319423 # DEPENDENCYPART_ARC
(12,8),-0.279133 # DEPENDENCYPART_ARC
(12,9),0.124613 # DEPENDENCYPART_ARC
(12,10),-0.926807 # DEPENDENCYPART_ARC
(12,11),0.703279 # DEPENDENCYPART_ARC
(12,13),-0.641349 # DEPENDENCYPART_ARC
(12,14),-0.026011 # DEPENDENCYPART_ARC
(12,15),-0.22703 # DEPENDENCYPART_ARC
(12,16),-0.361562 # DEPENDENCYPART_ARC
(12,17),-0.681126 # DEPENDENCYPART_ARC
(12,18),-1.83851 # DEPENDENCYPART_ARC
(12,19),-3.22976 # DEPENDENCYPART_ARC
(12,20),-1.97567 # DEPENDENCYPART_ARC
(12,21),-2.1297 # DEPENDENCYPART_ARC
(12,22),-3.44533 # DEPENDENCYPART_ARC
(12,23),-3.49561 # DEPENDENCYPART_ARC
(12,24),-3.70215 # DEPENDENCYPART_ARC
(12,25),-2.86331 # DEPENDENCYPART_ARC
(12,26),-4.1823 # DEPENDENCYPART_ARC
(12,27),-1.51158 # DEPENDENCYPART_ARC
(13,1),-1.91335 # DEPENDENCYPART_ARC
(13,2),-1.74029 # DEPENDENCYPART_ARC
(13,3),-1.56582 # DEPENDENCYPART_ARC
(13,4),-1.74479 # DEPENDENCYPART_ARC
(13,5),-1.48836 # DEPENDENCYPART_ARC
(13,6),-1.69347 # DEPENDENCYPART_ARC
(13,7),-1.31162 # DEPENDENCYPART_ARC
(13,8),-1.23718 # DEPENDENCYPART_ARC
(13,9),-0.841763 # DEPENDENCYPART_ARC
(13,10),-0.181831 # DEPENDENCYPART_ARC
(13,11),-0.0102946 # DEPENDENCYPART_ARC
(13,12),-0.511917 # DEPENDENCYPART_ARC
(13,14),0.0032635 # DEPENDENCYPART_ARC
(13,15),-0.52615 # DEPENDENCYPART_ARC
(13,16),-0.782324 # DEPENDENCYPART_ARC
(13,17),-1.22455 # DEPENDENCYPART_ARC
(13,18),-1.77899 # DEPENDENCYPART_ARC
(13,19),-2.20016 # DEPENDENCYPART_ARC
(13,20),-1.9951 # DEPENDENCYPART_ARC
(13,21),-1.72919 # DEPENDENCYPART_ARC
(13,22),-2.76364 # DEPENDENCYPART_ARC
(13,23),-3.16424 # DEPENDENCYPART_ARC
(13,24),-3.16398 # DEPENDENCYPART_ARC
(13,25),-2.50357 # DEPENDENCYPART_ARC
(13,26),-3.71744 # DEPENDENCYPART_ARC
(13,27),-2.92405 # DEPENDENCYPART_ARC
(14,1),0.545354 # DEPENDENCYPART_ARC
(14,2),0.32706 # DEPENDENCYPART_ARC
(14,3),-2.12858 # DEPENDENCYPART_ARC
(14,4),-4.73559 # DEPENDENCYPART_ARC
(14,5),-0.66462 # DEPENDENCYPART_ARC
(14,6),-1.02225 # DEPENDENCYPART_ARC
(14,7),-3.61785 # DEPENDENCYPART_ARC
(14,8),-0.679664 # DEPENDENCYPART_ARC
(14,9),-1.21765 # DEPENDENCYPART_ARC
(14,10),-1.20485 # DEPENDENCYPART_ARC
(14,11),-3.28004 # DEPENDENCYPART_ARC
(14,12),0.750446 # DEPENDENCYPART_ARC
(14,13),1.78367 # DEPENDENCYPART_ARC
(14,15),1.79244 # DEPENDENCYPART_ARC
(14,16),0.0989868 # DEPENDENCYPART_ARC
(14,17),1.19476 # DEPENDENCYPART_ARC
(14,18),-3.59569 # DEPENDENCYPART_ARC
(14,19),-1.82216 # DEPENDENCYPART_ARC
(14,20),-1.29169 # DEPENDENCYPART_ARC
(14,21),-4.76463 # DEPENDENCYPART_ARC
(14,22),-2.89758 # DEPENDENCYPART_ARC
(14,23),-3.19705 # DEPENDENCYPART_ARC
(14,24),-2.08609 # DEPENDENCYPART_ARC
(14,25),-1.90801 # DEPENDENCYPART_ARC
(14,26),-5.6408 # DEPENDENCYPART_ARC
(14,27),-1.33489 # DEPENDENCYPART_ARC
(15,1),0.439022 # DEPENDENCYPART_ARC
(15,2),1.08444 # DEPENDENCYPART_ARC
(15,3),-1.13351 # DEPENDENCYPART_ARC
(15,4),-5.01144 # DEPENDENCYPART_ARC
(15,5),-0.501079 # DEPENDENCYPART_ARC
(15,6),0.806593 # DEPENDENCYPART_ARC
(15,7),-3.85152 # DEPENDENCYPART_ARC
(15,8),-0.8908 # DEPENDENCYPART_ARC
(15,9),0.264137 # DEPENDENCYPART_ARC
(15,10),0.394854 # DEPENDENCYPART_ARC
(15,11),-2.08396 # DEPENDENCYPART_ARC
(15,12),1.37048 # DEPENDENCYPART_ARC
(15,13),2.65497 # DEPENDENCYPART_ARC
(15,14),4.75922 # DEPENDENCYPART_ARC
(15,16),0.666303 # DEPENDENCYPART_ARC
(15,17),2.19473 # DEPENDENCYPART_ARC
(15,18),-1.79783 # DEPENDENCYPART_ARC
(15,19),-2.18544 # DEPENDENCYPART_ARC
(15,20),-0.265317 # DEPENDENCYPART_ARC
(15,21),-5.28825 # DEPENDENCYPART_ARC
(15,22),-3.7747 # DEPENDENCYPART_ARC
(15,23),-4.10726 # DEPENDENCYPART_ARC
(15,24),-2.71245 # DEPENDENCYPART_ARC
(15,25),-1.30102 # DEPENDENCYPART_ARC
(15,26),-5.18031 # DEPENDENCYPART_ARC
(15,27),-1.10138 # DEPENDENCYPART_ARC
(16,1),-2.37895 # DEPENDENCYPART_ARC
(16,2),-1.80088 # DEPENDENCYPART_ARC
(16,3),-0.931609 # DEPENDENCYPART_ARC
(16,4),-1.57358 # DEPENDENCYPART_ARC
(16,5),-1.94553 # DEPENDENCYPART_ARC
(16,6),-0.828408 # DEPENDENCYPART_ARC
(16,7),-1.29251 # DEPENDENCYPART_ARC
(16,8),-0.827314 # DEPENDENCYPART_ARC
(16,9),-0.975704 # DEPENDENCYPART_ARC
(16,10),-0.944273 # DEPENDENCYPART_ARC
(16,11),-0.371616 # DEPENDENCYPART_ARC
(16,12),-0.247349 # DEPENDENCYPART_ARC
(16,13),-0.326788 # DEPENDENCYPART_ARC
(16,14),-0.293576 # DEPENDENCYPART_ARC
(16,15),-0.38986 # DEPENDENCYPART_ARC
(16,17),0.185841 # DEPENDENCYPART_ARC
(16,18),-0.245401 # DEPENDENCYPART_ARC
(16,19),-1.62243 # DEPENDENCYPART_ARC
(16,20),-1.13468 # DEPENDENCYPART_ARC
(16,21),-1.09023 # DEPENDENCYPART_ARC
(16,22),-2.3182 # DEPENDENCYPART_ARC
(16,23),-2.55206 # DEPENDENCYPART_ARC
(16,24),-2.8345 # DEPENDENCYPART_ARC
(16,25),-1.63156 # DEPENDENCYPART_ARC
(16,26),-3.13396 # DEPENDENCYPART_ARC
(16,27),-1.6176 # DEPENDENCYPART_ARC
(17,1),-0.914055 # DEPENDENCYPART_ARC
(17,2),-1.23469 # DEPENDENCYPART_ARC
(17,3),-1.10683 # DEPENDENCYPART_ARC
(17,4),-2.87853 # DEPENDENCYPART_ARC
(17,5),-1.88615 # DEPENDENCYPART_ARC
(17,6),-2.04833 # DEPENDENCYPART_ARC
(17,7),-2.48245 # DEPENDENCYPART_ARC
(17,8),-1.56516 # DEPENDENCYPART_ARC
(17,9),-1.33402 # DEPENDENCYPART_ARC
(17,10),-1.77188 # DEPENDENCYPART_ARC
(17,11),-1.57322 # DEPENDENCYPART_ARC
(17,12),-0.220783 # DEPENDENCYPART_ARC
(17,13),0.480739 # DEPENDENCYPART_ARC
(17,14),0.0764878 # DEPENDENCYPART_ARC
(17,15),0.207064 # DEPENDENCYPART_ARC
(17,16),2.86326 # DEPENDENCYPART_ARC
(17,18),2.65495 # DEPENDENCYPART_ARC
(17,19),-0.325641 # DEPENDENCYPART_ARC
(17,20),-0.248229 # DEPENDENCYPART_ARC
(17,21),-0.616712 # DEPENDENCYPART_ARC
(17,22),-1.29525 # DEPENDENCYPART_ARC
(17,23),-1.85446 # DEPENDENCYPART_ARC
(17,24),-2.25643 # DEPENDENCYPART_ARC
(17,25),-1.46585 # DEPENDENCYPART_ARC
(17,26),-2.59109 # DEPENDENCYPART_ARC
(17,27),-0.808802 # DEPENDENCYPART_ARC
(18,1),-0.835309 # DEPENDENCYPART_ARC
(18,2),-0.668866 # DEPENDENCYPART_ARC
(18,3),-3.62767 # DEPENDENCYPART_ARC
(18,4),-4.73254 # DEPENDENCYPART_ARC
(18,5),-1.2036 # DEPENDENCYPART_ARC
(18,6),-1.48291 # DEPENDENCYPART_ARC
(18,7),-3.58168 # DEPENDENCYPART_ARC
(18,8),-1.48255 # DEPENDENCYPART_ARC
(18,9),-2.15941 # DEPENDENCYPART_ARC
(18,10),-2.24599 # DEPENDENCYPART_ARC
(18,11),-4.22294 # DEPENDENCYPART_ARC
(18,12),-1.01359 # DEPENDENCYPART_ARC
(18,13),0.0943207 # DEPENDENCYPART_ARC
(18,14),-1.45833 # DEPENDENCYPART_ARC
(18,15),-2.44247 # DEPENDENCYPART_ARC
(18,16),0.166136 # DEPENDENCYPART_ARC
(18,17),0.458114 # DEPENDENCYPART_ARC
(18,19),3.65297 # DEPENDENCYPART_ARC
(18,20),2.06655 # DEPENDENCYPART_ARC
(18,21),-1.462 # DEPENDENCYPART_ARC
(18,22),1.38333 # DEPENDENCYPART_ARC
(18,23),1.11483 # DEPENDENCYPART_ARC
(18,24),1.85335 # DEPENDENCYPART_ARC
(18,25),0.695482 # DEPENDENCYPART_ARC
(18,26),-2.11722 # DEPENDENCYPART_ARC
(18,27),-0.688394 # DEPENDENCYPART_ARC
(19,1),-6.4732 # DEPENDENCYPART_ARC
(19,2),-7.61913 # DEPENDENCYPART_ARC
(19,3),-3.80376 # DEPENDENCYPART_ARC
(19,4),-2.96296 # DEPENDENCYPART_ARC
(19,5),-5.28825 # DEPENDENCYPART_ARC
(19,6),-2.79716 # DEPENDENCYPART_ARC
(19,7),-4.25342 # DEPENDENCYPART_ARC
(19,8),-5.34296 # DEPENDENCYPART_ARC
(19,9),-8.07062 # DEPENDENCYPART_ARC
(19,10),-1.70771 # DEPENDENCYPART_ARC
