# _root_ Kdo tomu věří i dnes , vidí - stejně jako dřív - svět jako rejdiště ideologů , a útočných záměrů .
#goldHeads=3,3,7,5,3,3,0,9,7,9,10,9,7,15,13,18,18,15,20,18,0,
#predictedHeads=3,3,6,5,3,7,0,9,7,9,10,9,12,9,14,15,18,15,20,18,0,
(3,16),-4.369 # DEPENDENCYPART_ARC
(3,17),0.0286993 # DEPENDENCYPART_ARC
(3,18),-0.523824 # DEPENDENCYPART_ARC
(3,19),-9.04199 # DEPENDENCYPART_ARC
(3,20),-5.12572 # DEPENDENCYPART_ARC
(3,21),-0.527549 # DEPENDENCYPART_ARC
(4,1),0.540881 # DEPENDENCYPART_ARC
(4,2),0.770362 # DEPENDENCYPART_ARC
(4,3),0.37072 # DEPENDENCYPART_ARC
(4,5),0.648601 # DEPENDENCYPART_ARC
(4,6),0.917496 # DEPENDENCYPART_ARC
(4,7),0.237405 # DEPENDENCYPART_ARC
(4,8),-0.384652 # DEPENDENCYPART_ARC
(4,9),-1.11464 # DEPENDENCYPART_ARC
(4,10),-1.25414 # DEPENDENCYPART_ARC
(4,11),-0.901894 # DEPENDENCYPART_ARC
(4,12),-0.347873 # DEPENDENCYPART_ARC
(4,13),-1.25603 # DEPENDENCYPART_ARC
(4,14),-2.09874 # DEPENDENCYPART_ARC
(4,15),-1.76367 # DEPENDENCYPART_ARC
(4,16),-1.49532 # DEPENDENCYPART_ARC
(4,17),-2.14883 # DEPENDENCYPART_ARC
(4,18),-2.32503 # DEPENDENCYPART_ARC
(4,19),-1.96559 # DEPENDENCYPART_ARC
(4,20),-1.95701 # DEPENDENCYPART_ARC
(4,21),-2.36111 # DEPENDENCYPART_ARC
(5,1),0.0646729 # DEPENDENCYPART_ARC
(5,2),0.309632 # DEPENDENCYPART_ARC
(5,3),0.399201 # DEPENDENCYPART_ARC
(5,4),2.24811 # DEPENDENCYPART_ARC
(5,6),-0.0334586 # DEPENDENCYPART_ARC
(5,7),-0.306785 # DEPENDENCYPART_ARC
(5,8),-1.38994 # DEPENDENCYPART_ARC
(5,9),-0.85108 # DEPENDENCYPART_ARC
(5,10),-0.479375 # DEPENDENCYPART_ARC
(5,11),-1.40824 # DEPENDENCYPART_ARC
(5,12),-1.47294 # DEPENDENCYPART_ARC
(5,13),-2.03344 # DEPENDENCYPART_ARC
(5,14),-1.28278 # DEPENDENCYPART_ARC
(5,15),-2.5625 # DEPENDENCYPART_ARC
(5,16),-2.49079 # DEPENDENCYPART_ARC
(5,17),-2.32733 # DEPENDENCYPART_ARC
(5,18),-2.40527 # DEPENDENCYPART_ARC
(5,19),-2.09762 # DEPENDENCYPART_ARC
(5,20),-3.026 # DEPENDENCYPART_ARC
(5,21),-4.06205 # DEPENDENCYPART_ARC
(6,1),0.458342 # DEPENDENCYPART_ARC
(6,2),0.678049 # DEPENDENCYPART_ARC
(6,3),1.04436 # DEPENDENCYPART_ARC
(6,4),0.601579 # DEPENDENCYPART_ARC
(6,5),0.50136 # DEPENDENCYPART_ARC
(6,7),0.981886 # DEPENDENCYPART_ARC
(6,8),0.184011 # DEPENDENCYPART_ARC
(6,9),-0.0557915 # DEPENDENCYPART_ARC
(6,10),-0.793741 # DEPENDENCYPART_ARC
(6,11),-0.373574 # DEPENDENCYPART_ARC
(6,12),-0.204133 # DEPENDENCYPART_ARC
(6,13),-2.28727 # DEPENDENCYPART_ARC
(6,14),-1.3539 # DEPENDENCYPART_ARC
(6,15),-2.48544 # DEPENDENCYPART_ARC
(6,16),-2.38492 # DEPENDENCYPART_ARC
(6,17),-0.70609 # DEPENDENCYPART_ARC
(6,18),-1.33138 # DEPENDENCYPART_ARC
(6,19),-1.63495 # DEPENDENCYPART_ARC
(6,20),-2.92665 # DEPENDENCYPART_ARC
(6,21),-1.14495 # DEPENDENCYPART_ARC
(7,1),1.29976 # DEPENDENCYPART_ARC
(7,2),1.63597 # DEPENDENCYPART_ARC
(7,3),0.133311 # DEPENDENCYPART_ARC
(7,4),0.882563 # DEPENDENCYPART_ARC
(7,5),1.52954 # DEPENDENCYPART_ARC
(7,6),1.21291 # DEPENDENCYPART_ARC
(7,8),0.704494 # DEPENDENCYPART_ARC
(7,9),1.09672 # DEPENDENCYPART_ARC
(7,10),1.10066 # DEPENDENCYPART_ARC
(7,11),0.67054 # DEPENDENCYPART_ARC
(7,12),0.442338 # DEPENDENCYPART_ARC
(7,13),-1.15981 # DEPENDENCYPART_ARC
(7,14),0.354844 # DEPENDENCYPART_ARC
(7,15),-1.75047 # DEPENDENCYPART_ARC
(7,16),-3.14148 # DEPENDENCYPART_ARC
(7,17),0.92638 # DEPENDENCYPART_ARC
(7,18),0.231785 # DEPENDENCYPART_ARC
(7,19),-7.2881 # DEPENDENCYPART_ARC
(7,20),-3.66613 # DEPENDENCYPART_ARC
(7,21),0.0634969 # DEPENDENCYPART_ARC
(8,1),0.285543 # DEPENDENCYPART_ARC
(8,2),0.588184 # DEPENDENCYPART_ARC
(8,3),0.236385 # DEPENDENCYPART_ARC
(8,4),0.52759 # DEPENDENCYPART_ARC
(8,5),0.277816 # DEPENDENCYPART_ARC
(8,6),0.106795 # DEPENDENCYPART_ARC
(8,7),0.644304 # DEPENDENCYPART_ARC
(8,9),0.159094 # DEPENDENCYPART_ARC
(8,10),0.112589 # DEPENDENCYPART_ARC
(8,11),-0.0908332 # DEPENDENCYPART_ARC
(8,12),0.0369156 # DEPENDENCYPART_ARC
(8,13),-0.588991 # DEPENDENCYPART_ARC
(8,14),-0.427167 # DEPENDENCYPART_ARC
(8,15),-0.889848 # DEPENDENCYPART_ARC
(8,16),-0.806718 # DEPENDENCYPART_ARC
(8,17),-0.620957 # DEPENDENCYPART_ARC
(8,18),-0.317904 # DEPENDENCYPART_ARC
(8,19),-0.681847 # DEPENDENCYPART_ARC
(8,20),-1.2872 # DEPENDENCYPART_ARC
(8,21),-1.68114 # DEPENDENCYPART_ARC
(9,1),-0.480144 # DEPENDENCYPART_ARC
(9,2),0.303354 # DEPENDENCYPART_ARC
(9,3),0.0436679 # DEPENDENCYPART_ARC
(9,4),0.552941 # DEPENDENCYPART_ARC
(9,5),0.0734398 # DEPENDENCYPART_ARC
(9,6),0.846508 # DEPENDENCYPART_ARC
(9,7),0.438217 # DEPENDENCYPART_ARC
(9,8),1.97491 # DEPENDENCYPART_ARC
(9,10),3.14227 # DEPENDENCYPART_ARC
(9,11),0.436803 # DEPENDENCYPART_ARC
(9,12),1.33953 # DEPENDENCYPART_ARC
(9,13),0.0943249 # DEPENDENCYPART_ARC
(9,14),1.8874 # DEPENDENCYPART_ARC
(9,15),-0.427398 # DEPENDENCYPART_ARC
(9,16),0.400049 # DEPENDENCYPART_ARC
(9,17),1.13631 # DEPENDENCYPART_ARC
(9,18),-0.538098 # DEPENDENCYPART_ARC
(9,19),-0.00937848 # DEPENDENCYPART_ARC
(9,20),-0.0832171 # DEPENDENCYPART_ARC
(9,21),-0.7651 # DEPENDENCYPART_ARC
(10,1),-1.50537 # DEPENDENCYPART_ARC
(10,2),-1.81435 # DEPENDENCYPART_ARC
(10,3),-1.92563 # DEPENDENCYPART_ARC
(10,4),-1.27248 # DEPENDENCYPART_ARC
(10,5),-1.05455 # DEPENDENCYPART_ARC
(10,6),-0.266892 # DEPENDENCYPART_ARC
(10,7),-1.2073 # DEPENDENCYPART_ARC
(10,8),0.0878843 # DEPENDENCYPART_ARC
(10,9),0.501243 # DEPENDENCYPART_ARC
(10,11),3.01375 # DEPENDENCYPART_ARC
(10,12),0.599767 # DEPENDENCYPART_ARC
(10,13),0.854769 # DEPENDENCYPART_ARC
(10,14),0.0795351 # DEPENDENCYPART_ARC
(10,15),-0.487728 # DEPENDENCYPART_ARC
(10,16),-0.76267 # DEPENDENCYPART_ARC
(10,17),-0.0435314 # DEPENDENCYPART_ARC
(10,18),-0.00396305 # DEPENDENCYPART_ARC
(10,19),-1.25631 # DEPENDENCYPART_ARC
(10,20),-1.18653 # DEPENDENCYPART_ARC
(10,21),-0.546913 # DEPENDENCYPART_ARC
(11,1),-0.278412 # DEPENDENCYPART_ARC
(11,2),1.48048 # DEPENDENCYPART_ARC
(11,3),-0.363841 # DEPENDENCYPART_ARC
(11,4),0.510127 # DEPENDENCYPART_ARC
(11,5),-0.379983 # DEPENDENCYPART_ARC
(11,6),-0.00534345 # DEPENDENCYPART_ARC
(11,7),-0.0446028 # DEPENDENCYPART_ARC
(11,8),0.728035 # DEPENDENCYPART_ARC
(11,9),1.42064 # DEPENDENCYPART_ARC
(11,10),1.5526 # DEPENDENCYPART_ARC
(11,12),0.715271 # DEPENDENCYPART_ARC
(11,13),-1.00493 # DEPENDENCYPART_ARC
(11,14),0.736183 # DEPENDENCYPART_ARC
(11,15),-1.35048 # DEPENDENCYPART_ARC
(11,16),0.652573 # DEPENDENCYPART_ARC
(11,17),-0.665919 # DEPENDENCYPART_ARC
(11,18),-0.632197 # DEPENDENCYPART_ARC
(11,19),-0.800301 # DEPENDENCYPART_ARC
(11,20),-0.412974 # DEPENDENCYPART_ARC
(11,21),-1.81743 # DEPENDENCYPART_ARC
(12,1),0.334453 # DEPENDENCYPART_ARC
(12,2),0.44557 # DEPENDENCYPART_ARC
(12,3),0.0379913 # DEPENDENCYPART_ARC
(12,4),-0.114321 # DEPENDENCYPART_ARC
(12,5),-0.88531 # DEPENDENCYPART_ARC
(12,6),-0.275993 # DEPENDENCYPART_ARC
(12,7),0.155534 # DEPENDENCYPART_ARC
(12,8),0.233421 # DEPENDENCYPART_ARC
(12,9),0.0742659 # DEPENDENCYPART_ARC
(12,10),0.794972 # DEPENDENCYPART_ARC
(12,11),0.671263 # DEPENDENCYPART_ARC
(12,13),1.60247 # DEPENDENCYPART_ARC
(12,14),0.55407 # DEPENDENCYPART_ARC
(12,15),0.0456794 # DEPENDENCYPART_ARC
(12,16),0.076758 # DEPENDENCYPART_ARC
(12,17),0.294546 # DEPENDENCYPART_ARC
(12,18),0.228808 # DEPENDENCYPART_ARC
(12,19),-0.357099 # DEPENDENCYPART_ARC
(12,20),-1.0032 # DEPENDENCYPART_ARC
(12,21),-0.300749 # DEPENDENCYPART_ARC
(13,1),-6.06371 # DEPENDENCYPART_ARC
(13,2),-4.06984 # DEPENDENCYPART_ARC
(13,3),-3.58164 # DEPENDENCYPART_ARC
(13,4),-1.78514 # DEPENDENCYPART_ARC
(13,5),-2.33216 # DEPENDENCYPART_ARC
(13,6),-2.11222 # DEPENDENCYPART_ARC
(13,7),-3.2984 # DEPENDENCYPART_ARC
(13,8),-1.13403 # DEPENDENCYPART_ARC
(13,9),-1.75237 # DEPENDENCYPART_ARC
(13,10),0.640597 # DEPENDENCYPART_ARC
(13,11),-1.36697 # DEPENDENCYPART_ARC
(13,12),-0.250695 # DEPENDENCYPART_ARC
(13,14),0.228822 # DEPENDENCYPART_ARC
(13,15),0.976765 # DEPENDENCYPART_ARC
(13,16),1.25436 # DEPENDENCYPART_ARC
(13,17),0.166116 # DEPENDENCYPART_ARC
(13,18),-0.815729 # DEPENDENCYPART_ARC
(13,19),-2.8907 # DEPENDENCYPART_ARC
(13,20),0.407389 # DEPENDENCYPART_ARC
(13,21),-2.33518 # DEPENDENCYPART_ARC
(14,1),-2.00245 # DEPENDENCYPART_ARC
(14,2),-2.60847 # DEPENDENCYPART_ARC
(14,3),-3.52191 # DEPENDENCYPART_ARC
(14,4),-2.14752 # DEPENDENCYPART_ARC
(14,5),-1.9054 # DEPENDENCYPART_ARC
(14,6),-2.31801 # DEPENDENCYPART_ARC
(14,7),-2.77558 # DEPENDENCYPART_ARC
(14,8),-1.43239 # DEPENDENCYPART_ARC
(14,9),-1.84691 # DEPENDENCYPART_ARC
(14,10),-1.19967 # DEPENDENCYPART_ARC
(14,11),-0.931311 # DEPENDENCYPART_ARC
(14,12),-0.348654 # DEPENDENCYPART_ARC
(14,13),0.822788 # DEPENDENCYPART_ARC
(14,15),2.3624 # DEPENDENCYPART_ARC
(14,16),1.261 # DEPENDENCYPART_ARC
(14,17),-0.0717718 # DEPENDENCYPART_ARC
(14,18),0.325204 # DEPENDENCYPART_ARC
(14,19),-1.57834 # DEPENDENCYPART_ARC
(14,20),-0.267295 # DEPENDENCYPART_ARC
(14,21),-0.589905 # DEPENDENCYPART_ARC
(15,1),-5.46522 # DEPENDENCYPART_ARC
(15,2),-3.69268 # DEPENDENCYPART_ARC
(15,3),-2.89363 # DEPENDENCYPART_ARC
(15,4),-1.19734 # DEPENDENCYPART_ARC
(15,5),-1.66902 # DEPENDENCYPART_ARC
(15,6),-0.769805 # DEPENDENCYPART_ARC
(15,7),-2.60975 # DEPENDENCYPART_ARC
(15,8),-0.192856 # DEPENDENCYPART_ARC
(15,9),-1.38956 # DEPENDENCYPART_ARC
(15,10),0.285301 # DEPENDENCYPART_ARC
(15,11),-1.50548 # DEPENDENCYPART_ARC
(15,12),0.081714 # DEPENDENCYPART_ARC
(15,13),-1.92922 # DEPENDENCYPART_ARC
(15,14),1.83349 # DEPENDENCYPART_ARC
(15,16),2.86036 # DEPENDENCYPART_ARC
(15,17),-0.288118 # DEPENDENCYPART_ARC
(15,18),0.547079 # DEPENDENCYPART_ARC
(15,19),-2.83842 # DEPENDENCYPART_ARC
(15,20),0.475982 # DEPENDENCYPART_ARC
(15,21),-1.56287 # DEPENDENCYPART_ARC
(16,1),-4.40369 # DEPENDENCYPART_ARC
(16,2),-3.88122 # DEPENDENCYPART_ARC
(16,3),-3.10441 # DEPENDENCYPART_ARC
(16,4),-1.90052 # DEPENDENCYPART_ARC
(16,5),-2.35336 # DEPENDENCYPART_ARC
(16,6),-1.50249 # DEPENDENCYPART_ARC
(16,7),-2.8596 # DEPENDENCYPART_ARC
(16,8),-0.925748 # DEPENDENCYPART_ARC
(16,9),-1.75395 # DEPENDENCYPART_ARC
(16,10),-0.880036 # DEPENDENCYPART_ARC
(16,11),-1.54725 # DEPENDENCYPART_ARC
(16,12),-0.945699 # DEPENDENCYPART_ARC
(16,13),-5.76377 # DEPENDENCYPART_ARC
(16,14),1.03297 # DEPENDENCYPART_ARC
(16,15),-1.55692 # DEPENDENCYPART_ARC
(16,17),-0.355613 # DEPENDENCYPART_ARC
(16,18),0.278472 # DEPENDENCYPART_ARC
(16,19),-1.25289 # DEPENDENCYPART_ARC
(16,20),0.362059 # DEPENDENCYPART_ARC
(16,21),-1.98091 # DEPENDENCYPART_ARC
(17,1),-1.21729 # DEPENDENCYPART_ARC
(17,2),-1.23438 # DEPENDENCYPART_ARC
(17,3),-0.925962 # DEPENDENCYPART_ARC
(17,4),-1.0226 # DEPENDENCYPART_ARC
(17,5),-1.94969 # DEPENDENCYPART_ARC
(17,6),-0.944351 # DEPENDENCYPART_ARC
(17,7),-0.742312 # DEPENDENCYPART_ARC
(17,8),-1.15712 # DEPENDENCYPART_ARC
(17,9),-1.45704 # DEPENDENCYPART_ARC
(17,10),-0.953496 # DEPENDENCYPART_ARC
(17,11),-1.43438 # DEPENDENCYPART_ARC
(17,12),-1.38966 # DEPENDENCYPART_ARC
(17,13),-0.429343 # DEPENDENCYPART_ARC
(17,14),-0.473914 # DEPENDENCYPART_ARC
(17,15),-0.379374 # DEPENDENCYPART_ARC
(17,16),-0.403997 # DEPENDENCYPART_ARC
(17,18),-1.05243 # DEPENDENCYPART_ARC
(17,19),-1.10605 # DEPENDENCYPART_ARC
(17,20),-0.719699 # DEPENDENCYPART_ARC
(17,21),-1.64301 # DEPENDENCYPART_ARC
(18,1),0.375568 # DEPENDENCYPART_ARC
(18,2),-1.28282 # DEPENDENCYPART_ARC
(18,3),-0.970931 # DEPENDENCYPART_ARC
(18,4),-0.0885952 # DEPENDENCYPART_ARC
(18,5),-1.03549 # DEPENDENCYPART_ARC
(18,6),-0.144209 # DEPENDENCYPART_ARC
(18,7),0.0978644 # DEPENDENCYPART_ARC
(18,8),0.0722721 # DEPENDENCYPART_ARC
(18,9),-0.328407 # DEPENDENCYPART_ARC
(18,10),-0.246429 # DEPENDENCYPART_ARC
(18,11),-0.24711 # DEPENDENCYPART_ARC
(18,12),0.0548633 # DEPENDENCYPART_ARC
(18,13),1.04791 # DEPENDENCYPART_ARC
(18,14),0.355273 # DEPENDENCYPART_ARC
(18,15),2.00163 # DEPENDENCYPART_ARC
(18,16),2.04839 # DEPENDENCYPART_ARC
(18,17),1.95104 # DEPENDENCYPART_ARC
(18,19),2.92959 # DEPENDENCYPART_ARC
(18,20),2.34493 # DEPENDENCYPART_ARC
(18,21),0.497467 # DEPENDENCYPART_ARC
(19,1),-5.7784 # DEPENDENCYPART_ARC
(19,2),-4.66751 # DEPENDENCYPART_ARC
(19,3),-5.67635 # DEPENDENCYPART_ARC
(19,4),-2.96172 # DEPENDENCYPART_ARC
(19,5),-3.84872 # DEPENDENCYPART_ARC
(19,6),-3.57498 # DEPENDENCYPART_ARC
(19,7),-5.55188 # DEPENDENCYPART_ARC
(19,8),-3.12055 # DEPENDENCYPART_ARC
(19,9),-3.56204 # DEPENDENCYPART_ARC
(19,10),-2.55282 # DEPENDENCYPART_ARC
(19,11),-4.06332 # DEPENDENCYPART_ARC
(19,12),-2.92612 # DEPENDENCYPART_ARC
(19,13),-4.35533 # DEPENDENCYPART_ARC
(19,14),-2.36322 # DEPENDENCYPART_ARC
(19,15),-3.28789 # DEPENDENCYPART_ARC
(19,16),-3.54723 # DEPENDENCYPART_ARC
(19,17),-1.13517 # DEPENDENCYPART_ARC
(19,18),-1.14656 # DEPENDENCYPART_ARC
(19,20),-0.687697 # DEPENDENCYPART_ARC
(19,21),-0.267978 # DEPENDENCYPART_ARC
(20,1),-5.85632 # DEPENDENCYPART_ARC
(20,2),-4.2616 # DEPENDENCYPART_ARC
(20,3),-2.88391 # DEPENDENCYPART_ARC
(20,4),-1.97763 # DEPENDENCYPART_ARC
(20,5),-2.48027 # DEPENDENCYPART_ARC
(20,6),-1.12207 # DEPENDENCYPART_ARC
(20,7),-2.63686 # DEPENDENCYPART_ARC
(20,8),-0.709617 # DEPENDENCYPART_ARC
(20,9),-2.15441 # DEPENDENCYPART_ARC
(20,10),-1.02429 # DEPENDENCYPART_ARC
(20,11),-1.96309 # DEPENDENCYPART_ARC
(20,12),-0.836381 # DEPENDENCYPART_ARC
(20,13),-6.48193 # DEPENDENCYPART_ARC
(20,14),-0.732779 # DEPENDENCYPART_ARC
(20,15),-3.91095 # DEPENDENCYPART_ARC
(20,16),-1.75059 # DEPENDENCYPART_ARC
(20,17),0.247558 # DEPENDENCYPART_ARC
(20,18),1.22836 # DEPENDENCYPART_ARC
(20,19),3.86147 # DEPENDENCYPART_ARC
(20,21),0.418285 # DEPENDENCYPART_ARC
(21,1),-4.20809 # DEPENDENCYPART_ARC
(21,2),-4.23449 # DEPENDENCYPART_ARC
(21,3),-4.28176 # DEPENDENCYPART_ARC
(21,4),-4.50087 # DEPENDENCYPART_ARC
(21,5),-4.16035 # DEPENDENCYPART_ARC
(21,6),-4.05848 # DEPENDENCYPART_ARC
(21,7),-4.01813 # DEPENDENCYPART_ARC
(21,8),-3.86253 # DEPENDENCYPART_ARC
(21,9),-3.89931 # DEPENDENCYPART_ARC
(21,10),-4.00601 # DEPENDENCYPART_ARC
(21,11),-3.89747 # DEPENDENCYPART_ARC
(21,12),-3.54253 # DEPENDENCYPART_ARC
(21,13),-2.92797 # DEPENDENCYPART_ARC
(21,14),-3.62888 # DEPENDENCYPART_ARC
(21,15),-2.88431 # DEPENDENCYPART_ARC
(21,16),-2.63268 # DEPENDENCYPART_ARC
(21,17),-2.36758 # DEPENDENCYPART_ARC
(21,18),-3.46785 # DEPENDENCYPART_ARC
(21,19),-2.78319 # DEPENDENCYPART_ARC
(21,20),-3.25187 # DEPENDENCYPART_ARC
