# _root_ Na posezení a debatu s Leonhardem býval čas večer , když se vrátil z mnichovského rozhlasu , děti se odebraly k spánku a v domě byl klid .
#goldHeads=8,3,1,3,3,5,0,7,7,11,7,13,23,13,16,14,23,20,20,23,20,21,11,26,24,23,26,0,
#predictedHeads=7,3,1,3,4,5,0,7,7,11,7,13,11,13,16,14,11,20,20,23,20,21,11,23,24,23,26,0,
(3,14),-1.49394 # DEPENDENCYPART_ARC
(3,15),-2.52542 # DEPENDENCYPART_ARC
(3,16),-2.3292 # DEPENDENCYPART_ARC
(3,17),0.276486 # DEPENDENCYPART_ARC
(3,18),-3.22641 # DEPENDENCYPART_ARC
(3,19),-2.0265 # DEPENDENCYPART_ARC
(3,20),-1.55373 # DEPENDENCYPART_ARC
(3,21),-3.96759 # DEPENDENCYPART_ARC
(3,22),-4.62584 # DEPENDENCYPART_ARC
(3,23),-1.32576 # DEPENDENCYPART_ARC
(3,24),-2.77384 # DEPENDENCYPART_ARC
(3,25),-5.14625 # DEPENDENCYPART_ARC
(3,26),-1.96967 # DEPENDENCYPART_ARC
(3,27),-6.44533 # DEPENDENCYPART_ARC
(3,28),-3.42311 # DEPENDENCYPART_ARC
(4,1),-2.14921 # DEPENDENCYPART_ARC
(4,2),-2.24263 # DEPENDENCYPART_ARC
(4,3),-0.603357 # DEPENDENCYPART_ARC
(4,5),2.24146 # DEPENDENCYPART_ARC
(4,6),-1.60193 # DEPENDENCYPART_ARC
(4,7),-0.772363 # DEPENDENCYPART_ARC
(4,8),-2.41738 # DEPENDENCYPART_ARC
(4,9),-0.406144 # DEPENDENCYPART_ARC
(4,10),-0.670104 # DEPENDENCYPART_ARC
(4,11),-1.11371 # DEPENDENCYPART_ARC
(4,12),-1.86947 # DEPENDENCYPART_ARC
(4,13),-2.70153 # DEPENDENCYPART_ARC
(4,14),-2.26391 # DEPENDENCYPART_ARC
(4,15),-4.472 # DEPENDENCYPART_ARC
(4,16),-2.00544 # DEPENDENCYPART_ARC
(4,17),-1.05821 # DEPENDENCYPART_ARC
(4,18),-3.85327 # DEPENDENCYPART_ARC
(4,19),-2.95132 # DEPENDENCYPART_ARC
(4,20),-3.68963 # DEPENDENCYPART_ARC
(4,21),-3.50176 # DEPENDENCYPART_ARC
(4,22),-6.20596 # DEPENDENCYPART_ARC
(4,23),-0.824712 # DEPENDENCYPART_ARC
(4,24),-4.11365 # DEPENDENCYPART_ARC
(4,25),-5.65906 # DEPENDENCYPART_ARC
(4,26),-6.63551 # DEPENDENCYPART_ARC
(4,27),-8.22926 # DEPENDENCYPART_ARC
(4,28),-9.37208 # DEPENDENCYPART_ARC
(5,1),-1.50457 # DEPENDENCYPART_ARC
(5,2),-0.534728 # DEPENDENCYPART_ARC
(5,3),-0.825521 # DEPENDENCYPART_ARC
(5,4),-1.0688 # DEPENDENCYPART_ARC
(5,6),5.46044 # DEPENDENCYPART_ARC
(5,7),-1.29472 # DEPENDENCYPART_ARC
(5,8),-2.37918 # DEPENDENCYPART_ARC
(5,9),-0.758041 # DEPENDENCYPART_ARC
(5,10),-0.760465 # DEPENDENCYPART_ARC
(5,11),-1.3136 # DEPENDENCYPART_ARC
(5,12),-2.29358 # DEPENDENCYPART_ARC
(5,13),-2.44993 # DEPENDENCYPART_ARC
(5,14),-2.15431 # DEPENDENCYPART_ARC
(5,15),-3.52182 # DEPENDENCYPART_ARC
(5,16),-5.59759 # DEPENDENCYPART_ARC
(5,17),-1.56074 # DEPENDENCYPART_ARC
(5,18),-5.8272 # DEPENDENCYPART_ARC
(5,19),-4.11259 # DEPENDENCYPART_ARC
(5,20),-2.93701 # DEPENDENCYPART_ARC
(5,21),-2.9493 # DEPENDENCYPART_ARC
(5,22),-6.45342 # DEPENDENCYPART_ARC
(5,23),-4.71028 # DEPENDENCYPART_ARC
(5,24),-3.14503 # DEPENDENCYPART_ARC
(5,25),-6.10071 # DEPENDENCYPART_ARC
(5,26),-3.55834 # DEPENDENCYPART_ARC
(5,27),-10.839 # DEPENDENCYPART_ARC
(5,28),-5.10524 # DEPENDENCYPART_ARC
(6,1),-1.78822 # DEPENDENCYPART_ARC
(6,2),-3.83865 # DEPENDENCYPART_ARC
(6,3),-1.65319 # DEPENDENCYPART_ARC
(6,4),-3.64034 # DEPENDENCYPART_ARC
(6,5),-0.191149 # DEPENDENCYPART_ARC
(6,7),-0.895032 # DEPENDENCYPART_ARC
(6,8),-2.39112 # DEPENDENCYPART_ARC
(6,9),-0.688161 # DEPENDENCYPART_ARC
(6,10),-1.2187 # DEPENDENCYPART_ARC
(6,11),-1.44868 # DEPENDENCYPART_ARC
(6,12),-2.54678 # DEPENDENCYPART_ARC
(6,13),-4.04365 # DEPENDENCYPART_ARC
(6,14),-3.05519 # DEPENDENCYPART_ARC
(6,15),-5.93692 # DEPENDENCYPART_ARC
(6,16),-3.02072 # DEPENDENCYPART_ARC
(6,17),-1.56068 # DEPENDENCYPART_ARC
(6,18),-4.76582 # DEPENDENCYPART_ARC
(6,19),-3.70316 # DEPENDENCYPART_ARC
(6,20),-6.36343 # DEPENDENCYPART_ARC
(6,21),-6.19362 # DEPENDENCYPART_ARC
(6,22),-6.65617 # DEPENDENCYPART_ARC
(6,23),-2.03904 # DEPENDENCYPART_ARC
(6,24),-5.5346 # DEPENDENCYPART_ARC
(6,25),-6.75553 # DEPENDENCYPART_ARC
(6,26),-7.23637 # DEPENDENCYPART_ARC
(6,27),-8.8763 # DEPENDENCYPART_ARC
(6,28),-9.24611 # DEPENDENCYPART_ARC
(7,1),1.78707 # DEPENDENCYPART_ARC
(7,2),0.19708 # DEPENDENCYPART_ARC
(7,3),0.796965 # DEPENDENCYPART_ARC
(7,4),2.30423 # DEPENDENCYPART_ARC
(7,5),1.42305 # DEPENDENCYPART_ARC
(7,6),1.25873 # DEPENDENCYPART_ARC
(7,8),3.89397 # DEPENDENCYPART_ARC
(7,9),2.06527 # DEPENDENCYPART_ARC
(7,10),0.680058 # DEPENDENCYPART_ARC
(7,11),1.9235 # DEPENDENCYPART_ARC
(7,12),-1.26989 # DEPENDENCYPART_ARC
(7,13),-2.83634 # DEPENDENCYPART_ARC
(7,14),-0.832746 # DEPENDENCYPART_ARC
(7,15),-5.15393 # DEPENDENCYPART_ARC
(7,16),-3.66981 # DEPENDENCYPART_ARC
(7,17),0.373812 # DEPENDENCYPART_ARC
(7,18),-3.28907 # DEPENDENCYPART_ARC
(7,19),-2.55411 # DEPENDENCYPART_ARC
(7,20),-3.60831 # DEPENDENCYPART_ARC
(7,21),-1.75663 # DEPENDENCYPART_ARC
(7,22),-3.63165 # DEPENDENCYPART_ARC
(7,23),-0.910709 # DEPENDENCYPART_ARC
(7,24),-2.78598 # DEPENDENCYPART_ARC
(7,25),-6.24668 # DEPENDENCYPART_ARC
(7,26),-5.09037 # DEPENDENCYPART_ARC
(7,27),-4.42202 # DEPENDENCYPART_ARC
(7,28),-1.04195 # DEPENDENCYPART_ARC
(8,1),0.755173 # DEPENDENCYPART_ARC
(8,2),-5.07235 # DEPENDENCYPART_ARC
(8,3),-1.57522 # DEPENDENCYPART_ARC
(8,4),-3.75542 # DEPENDENCYPART_ARC
(8,5),0.725097 # DEPENDENCYPART_ARC
(8,6),-0.821085 # DEPENDENCYPART_ARC
(8,7),-2.29105 # DEPENDENCYPART_ARC
(8,9),1.03845 # DEPENDENCYPART_ARC
(8,10),0.0803326 # DEPENDENCYPART_ARC
(8,11),0.562611 # DEPENDENCYPART_ARC
(8,12),-0.769051 # DEPENDENCYPART_ARC
(8,13),-0.00547662 # DEPENDENCYPART_ARC
(8,14),-0.406992 # DEPENDENCYPART_ARC
(8,15),-1.80979 # DEPENDENCYPART_ARC
(8,16),0.427841 # DEPENDENCYPART_ARC
(8,17),0.0663204 # DEPENDENCYPART_ARC
(8,18),-1.51147 # DEPENDENCYPART_ARC
(8,19),-2.24871 # DEPENDENCYPART_ARC
(8,20),-1.66683 # DEPENDENCYPART_ARC
(8,21),-2.11838 # DEPENDENCYPART_ARC
(8,22),-3.5865 # DEPENDENCYPART_ARC
(8,23),-0.98844 # DEPENDENCYPART_ARC
(8,24),-2.71429 # DEPENDENCYPART_ARC
(8,25),-3.65545 # DEPENDENCYPART_ARC
(8,26),-3.04069 # DEPENDENCYPART_ARC
(8,27),-5.30507 # DEPENDENCYPART_ARC
(8,28),-6.66087 # DEPENDENCYPART_ARC
(9,1),-1.79511 # DEPENDENCYPART_ARC
(9,2),-1.24691 # DEPENDENCYPART_ARC
(9,3),-0.680003 # DEPENDENCYPART_ARC
(9,4),-1.10835 # DEPENDENCYPART_ARC
(9,5),-0.835494 # DEPENDENCYPART_ARC
(9,6),-0.499834 # DEPENDENCYPART_ARC
(9,7),-0.532671 # DEPENDENCYPART_ARC
(9,8),0.108642 # DEPENDENCYPART_ARC
(9,10),0.22073 # DEPENDENCYPART_ARC
(9,11),0.00990878 # DEPENDENCYPART_ARC
(9,12),-1.36686 # DEPENDENCYPART_ARC
(9,13),-1.04698 # DEPENDENCYPART_ARC
(9,14),-1.69973 # DEPENDENCYPART_ARC
(9,15),-1.55883 # DEPENDENCYPART_ARC
(9,16),-1.76437 # DEPENDENCYPART_ARC
(9,17),-1.21946 # DEPENDENCYPART_ARC
(9,18),-2.22172 # DEPENDENCYPART_ARC
(9,19),-2.19499 # DEPENDENCYPART_ARC
(9,20),-1.79877 # DEPENDENCYPART_ARC
(9,21),-2.00155 # DEPENDENCYPART_ARC
(9,22),-3.10409 # DEPENDENCYPART_ARC
(9,23),-2.46298 # DEPENDENCYPART_ARC
(9,24),-2.42864 # DEPENDENCYPART_ARC
(9,25),-3.58794 # DEPENDENCYPART_ARC
(9,26),-2.26725 # DEPENDENCYPART_ARC
(9,27),-4.13557 # DEPENDENCYPART_ARC
(9,28),-3.44579 # DEPENDENCYPART_ARC
(10,1),-1.93741 # DEPENDENCYPART_ARC
(10,2),-1.49621 # DEPENDENCYPART_ARC
(10,3),-1.50167 # DEPENDENCYPART_ARC
(10,4),-1.75223 # DEPENDENCYPART_ARC
(10,5),-1.81625 # DEPENDENCYPART_ARC
(10,6),-1.3956 # DEPENDENCYPART_ARC
(10,7),-0.518507 # DEPENDENCYPART_ARC
(10,8),-1.47202 # DEPENDENCYPART_ARC
(10,9),-1.12125 # DEPENDENCYPART_ARC
(10,11),0.165342 # DEPENDENCYPART_ARC
(10,12),-0.225412 # DEPENDENCYPART_ARC
(10,13),0.613754 # DEPENDENCYPART_ARC
(10,14),-1.13472 # DEPENDENCYPART_ARC
(10,15),-0.373328 # DEPENDENCYPART_ARC
(10,16),-1.70472 # DEPENDENCYPART_ARC
(10,17),-0.181816 # DEPENDENCYPART_ARC
(10,18),-2.54719 # DEPENDENCYPART_ARC
(10,19),-1.55928 # DEPENDENCYPART_ARC
(10,20),-0.543743 # DEPENDENCYPART_ARC
(10,21),-1.93945 # DEPENDENCYPART_ARC
(10,22),-3.16883 # DEPENDENCYPART_ARC
(10,23),-0.862478 # DEPENDENCYPART_ARC
(10,24),-2.94076 # DEPENDENCYPART_ARC
(10,25),-4.08946 # DEPENDENCYPART_ARC
(10,26),-1.69603 # DEPENDENCYPART_ARC
(10,27),-4.59296 # DEPENDENCYPART_ARC
(10,28),-0.660224 # DEPENDENCYPART_ARC
(11,1),-2.12312 # DEPENDENCYPART_ARC
(11,2),-0.625409 # DEPENDENCYPART_ARC
(11,3),-0.989239 # DEPENDENCYPART_ARC
(11,4),-1.04178 # DEPENDENCYPART_ARC
(11,5),-1.51721 # DEPENDENCYPART_ARC
(11,6),-0.315236 # DEPENDENCYPART_ARC
(11,7),-0.365523 # DEPENDENCYPART_ARC
(11,8),0.219844 # DEPENDENCYPART_ARC
(11,9),-0.357752 # DEPENDENCYPART_ARC
(11,10),2.94247 # DEPENDENCYPART_ARC
(11,12),0.0908764 # DEPENDENCYPART_ARC
(11,13),3.09514 # DEPENDENCYPART_ARC
(11,14),-0.141837 # DEPENDENCYPART_ARC
(11,15),-0.0075198 # DEPENDENCYPART_ARC
(11,16),-0.326383 # DEPENDENCYPART_ARC
(11,17),1.83981 # DEPENDENCYPART_ARC
(11,18),-1.70158 # DEPENDENCYPART_ARC
(11,19),-1.46238 # DEPENDENCYPART_ARC
(11,20),0.831827 # DEPENDENCYPART_ARC
(11,21),-1.69768 # DEPENDENCYPART_ARC
(11,22),-2.57359 # DEPENDENCYPART_ARC
(11,23),0.222819 # DEPENDENCYPART_ARC
(11,24),-2.02856 # DEPENDENCYPART_ARC
(11,25),-3.60194 # DEPENDENCYPART_ARC
(11,26),0.315025 # DEPENDENCYPART_ARC
(11,27),-3.62741 # DEPENDENCYPART_ARC
(11,28),-1.62539 # DEPENDENCYPART_ARC
(12,1),-2.78873 # DEPENDENCYPART_ARC
(12,2),-3.85731 # DEPENDENCYPART_ARC
(12,3),-3.87919 # DEPENDENCYPART_ARC
(12,4),-3.72364 # DEPENDENCYPART_ARC
(12,5),-2.55783 # DEPENDENCYPART_ARC
(12,6),-3.90319 # DEPENDENCYPART_ARC
(12,7),-3.40624 # DEPENDENCYPART_ARC
(12,8),-3.24878 # DEPENDENCYPART_ARC
(12,9),-1.8187 # DEPENDENCYPART_ARC
(12,10),-1.60027 # DEPENDENCYPART_ARC
(12,11),-1.16503 # DEPENDENCYPART_ARC
(12,13),-2.62715 # DEPENDENCYPART_ARC
(12,14),-1.83602 # DEPENDENCYPART_ARC
(12,15),-2.46678 # DEPENDENCYPART_ARC
(12,16),-2.03254 # DEPENDENCYPART_ARC
(12,17),-2.12774 # DEPENDENCYPART_ARC
(12,18),-3.07587 # DEPENDENCYPART_ARC
(12,19),-3.33533 # DEPENDENCYPART_ARC
(12,20),-4.9852 # DEPENDENCYPART_ARC
(12,21),-3.31429 # DEPENDENCYPART_ARC
(12,22),-2.60065 # DEPENDENCYPART_ARC
(12,23),-2.34125 # DEPENDENCYPART_ARC
(12,24),-3.21858 # DEPENDENCYPART_ARC
(12,25),-2.25132 # DEPENDENCYPART_ARC
(12,26),-6.4925 # DEPENDENCYPART_ARC
(12,27),-2.83661 # DEPENDENCYPART_ARC
(12,28),-2.91179 # DEPENDENCYPART_ARC
(13,1),-0.803334 # DEPENDENCYPART_ARC
(13,2),-1.72268 # DEPENDENCYPART_ARC
(13,3),-0.9757 # DEPENDENCYPART_ARC
(13,4),0.129848 # DEPENDENCYPART_ARC
(13,5),-1.93198 # DEPENDENCYPART_ARC
(13,6),-1.29729 # DEPENDENCYPART_ARC
(13,7),-2.93583 # DEPENDENCYPART_ARC
(13,8),0.525751 # DEPENDENCYPART_ARC
(13,9),-0.302595 # DEPENDENCYPART_ARC
(13,10),0.475499 # DEPENDENCYPART_ARC
(13,11),0.930552 # DEPENDENCYPART_ARC
(13,12),4.72264 # DEPENDENCYPART_ARC
(13,14),2.58375 # DEPENDENCYPART_ARC
(13,15),-2.06869 # DEPENDENCYPART_ARC
(13,16),0.138758 # DEPENDENCYPART_ARC
(13,17),0.748032 # DEPENDENCYPART_ARC
(13,18),0.461166 # DEPENDENCYPART_ARC
(13,19),0.163586 # DEPENDENCYPART_ARC
(13,20),-1.65175 # DEPENDENCYPART_ARC
(13,21),0.760648 # DEPENDENCYPART_ARC
(13,22),-1.17637 # DEPENDENCYPART_ARC
(13,23),0.142197 # DEPENDENCYPART_ARC
(13,24),-0.672792 # DEPENDENCYPART_ARC
(13,25),-3.26515 # DEPENDENCYPART_ARC
(13,26),-3.33146 # DEPENDENCYPART_ARC
(13,27),-1.07632 # DEPENDENCYPART_ARC
(13,28),-0.771213 # DEPENDENCYPART_ARC
(14,1),-3.80478 # DEPENDENCYPART_ARC
(14,2),-2.95089 # DEPENDENCYPART_ARC
(14,3),-2.78768 # DEPENDENCYPART_ARC
(14,4),-3.3611 # DEPENDENCYPART_ARC
(14,5),-3.36524 # DEPENDENCYPART_ARC
(14,6),-2.98836 # DEPENDENCYPART_ARC
(14,7),-3.67707 # DEPENDENCYPART_ARC
(14,8),-3.37629 # DEPENDENCYPART_ARC
(14,9),-2.16686 # DEPENDENCYPART_ARC
(14,10),-0.517308 # DEPENDENCYPART_ARC
(14,11),-1.47975 # DEPENDENCYPART_ARC
(14,12),-1.25754 # DEPENDENCYPART_ARC
(14,13),-1.66988 # DEPENDENCYPART_ARC
(14,15),1.46866 # DEPENDENCYPART_ARC
(14,16),3.92972 # DEPENDENCYPART_ARC
(14,17),0.738557 # DEPENDENCYPART_ARC
(14,18),-1.98338 # DEPENDENCYPART_ARC
(14,19),-1.29443 # DEPENDENCYPART_ARC
(14,20),-1.9179 # DEPENDENCYPART_ARC
(14,21),-1.69294 # DEPENDENCYPART_ARC
(14,22),-4.08677 # DEPENDENCYPART_ARC
(14,23),-1.42259 # DEPENDENCYPART_ARC
(14,24),-1.93212 # DEPENDENCYPART_ARC
(14,25),-3.9882 # DEPENDENCYPART_ARC
(14,26),-2.25349 # DEPENDENCYPART_ARC
(14,27),-9.5456 # DEPENDENCYPART_ARC
(14,28),-2.5299 # DEPENDENCYPART_ARC
(15,1),-3.31028 # DEPENDENCYPART_ARC
(15,2),-5.10217 # DEPENDENCYPART_ARC
(15,3),-3.11356 # DEPENDENCYPART_ARC
(15,4),-4.95922 # DEPENDENCYPART_ARC
(15,5),-2.82497 # DEPENDENCYPART_ARC
(15,6),-2.1075 # DEPENDENCYPART_ARC
(15,7),-5.86622 # DEPENDENCYPART_ARC
(15,8),-5.49493 # DEPENDENCYPART_ARC
(15,9),-2.34356 # DEPENDENCYPART_ARC
(15,10),-1.70272 # DEPENDENCYPART_ARC
(15,11),-1.55221 # DEPENDENCYPART_ARC
(15,12),-0.968913 # DEPENDENCYPART_ARC
(15,13),-4.08415 # DEPENDENCYPART_ARC
(15,14),-0.597419 # DEPENDENCYPART_ARC
(15,16),-0.561701 # DEPENDENCYPART_ARC
(15,17),-0.598955 # DEPENDENCYPART_ARC
(15,18),-2.48238 # DEPENDENCYPART_ARC
(15,19),-1.87476 # DEPENDENCYPART_ARC
(15,20),-2.71293 # DEPENDENCYPART_ARC
(15,21),-1.56489 # DEPENDENCYPART_ARC
(15,22),-3.63806 # DEPENDENCYPART_ARC
(15,23),-1.09389 # DEPENDENCYPART_ARC
(15,24),-2.05089 # DEPENDENCYPART_ARC
(15,25),-5.27539 # DEPENDENCYPART_ARC
(15,26),-4.47317 # DEPENDENCYPART_ARC
(15,27),-6.47777 # DEPENDENCYPART_ARC
(15,28),-2.94073 # DEPENDENCYPART_ARC
(16,1),-2.26522 # DEPENDENCYPART_ARC
(16,2),-8.22178 # DEPENDENCYPART_ARC
(16,3),-4.86197 # DEPENDENCYPART_ARC
(16,4),-7.55093 # DEPENDENCYPART_ARC
(16,5),-1.88501 # DEPENDENCYPART_ARC
(16,6),-4.30309 # DEPENDENCYPART_ARC
(16,7),-4.04202 # DEPENDENCYPART_ARC
(16,8),-5.74323 # DEPENDENCYPART_ARC
(16,9),-1.83219 # DEPENDENCYPART_ARC
(16,10),-1.51575 # DEPENDENCYPART_ARC
(16,11),-1.3352 # DEPENDENCYPART_ARC
(16,12),-2.23445 # DEPENDENCYPART_ARC
(16,13),-2.42144 # DEPENDENCYPART_ARC
(16,14),0.00544225 # DEPENDENCYPART_ARC
(16,15),5.40832 # DEPENDENCYPART_ARC
(16,17),-0.446309 # DEPENDENCYPART_ARC
(16,18),-0.560173 # DEPENDENCYPART_ARC
(16,19),-2.28506 # DEPENDENCYPART_ARC
(16,20),0.0712708 # DEPENDENCYPART_ARC
(16,21),-1.97177 # DEPENDENCYPART_ARC
(16,22),-4.07212 # DEPENDENCYPART_ARC
(16,23),-0.477777 # DEPENDENCYPART_ARC
(16,24),-2.49613 # DEPENDENCYPART_ARC
(16,25),-4.24856 # DEPENDENCYPART_ARC
(16,26),-1.9025 # DEPENDENCYPART_ARC
(16,27),-5.63217 # DEPENDENCYPART_ARC
(16,28),-5.27786 # DEPENDENCYPART_ARC
(17,1),-1.57389 # DEPENDENCYPART_ARC
(17,2),-0.657926 # DEPENDENCYPART_ARC
(17,3),-0.752712 # DEPENDENCYPART_ARC
(17,4),-1.089 # DEPENDENCYPART_ARC
(17,5),-1.81089 # DEPENDENCYPART_ARC
(17,6),-0.832649 # DEPENDENCYPART_ARC
(17,7),-0.276274 # DEPENDENCYPART_ARC
(17,8),-0.212294 # DEPENDENCYPART_ARC
(17,9),-1.27928 # DEPENDENCYPART_ARC
(17,10),-0.454253 # DEPENDENCYPART_ARC
(17,11),0.00890428 # DEPENDENCYPART_ARC
(17,12),-0.00911682 # DEPENDENCYPART_ARC
(17,13),0.072521 # DEPENDENCYPART_ARC
(17,14),-0.00106373 # DEPENDENCYPART_ARC
(17,15),0.564733 # DEPENDENCYPART_ARC
(17,16),1.75692 # DEPENDENCYPART_ARC
(17,18),0.730753 # DEPENDENCYPART_ARC
(17,19),-0.198593 # DEPENDENCYPART_ARC
(17,20),0.942007 # DEPENDENCYPART_ARC
(17,21),-0.208183 # DEPENDENCYPART_ARC
(17,22),-0.736357 # DEPENDENCYPART_ARC
(17,23),-0.0675856 # DEPENDENCYPART_ARC
(17,24),-0.945605 # DEPENDENCYPART_ARC
(17,25),-2.167 # DEPENDENCYPART_ARC
(17,26),-0.135974 # DEPENDENCYPART_ARC
(17,27),-2.41459 # DEPENDENCYPART_ARC
(17,28),-0.275928 # DEPENDENCYPART_ARC
(18,1),-2.29097 # DEPENDENCYPART_ARC
(18,2),-8.51176 # DEPENDENCYPART_ARC
(18,3),-4.46443 # DEPENDENCYPART_ARC
(18,4),-6.98474 # DEPENDENCYPART_ARC
(18,5),-1.51416 # DEPENDENCYPART_ARC
(18,6),-5.72906 # DEPENDENCYPART_ARC
(18,7),-5.52564 # DEPENDENCYPART_ARC
(18,8),-3.80013 # DEPENDENCYPART_ARC
(18,9),-2.07045 # DEPENDENCYPART_ARC
(18,10),-1.5561 # DEPENDENCYPART_ARC
(18,11),-1.79733 # DEPENDENCYPART_ARC
(18,12),-3.42302 # DEPENDENCYPART_ARC
(18,13),-4.28704 # DEPENDENCYPART_ARC
(18,14),-0.116653 # DEPENDENCYPART_ARC
(18,15),-2.13589 # DEPENDENCYPART_ARC
(18,16),-2.39986 # DEPENDENCYPART_ARC
(18,17),0.143814 # DEPENDENCYPART_ARC
(18,19),-0.0772229 # DEPENDENCYPART_ARC
(18,20),-1.15097 # DEPENDENCYPART_ARC
