# _root_ Za současného stavu , kdy se léčebna potýká s obrovskými finančními potížemi , by ráda znovu obnovila svoji farmu .
#goldHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,17,17,0,19,17,0,
#predictedHeads=8,3,1,8,8,8,8,0,8,12,12,9,8,17,13,17,13,19,17,0,
(2,15),-3.99243 # DEPENDENCYPART_ARC
(2,16),-2.45214 # DEPENDENCYPART_ARC
(2,17),-4.71583 # DEPENDENCYPART_ARC
(2,18),-5.85874 # DEPENDENCYPART_ARC
(2,19),-6.73284 # DEPENDENCYPART_ARC
(2,20),-3.98918 # DEPENDENCYPART_ARC
(3,1),-0.263726 # DEPENDENCYPART_ARC
(3,2),5.70655 # DEPENDENCYPART_ARC
(3,4),0.0681595 # DEPENDENCYPART_ARC
(3,5),0.223324 # DEPENDENCYPART_ARC
(3,6),-0.955734 # DEPENDENCYPART_ARC
(3,7),-0.601756 # DEPENDENCYPART_ARC
(3,8),1.43129 # DEPENDENCYPART_ARC
(3,9),-0.458388 # DEPENDENCYPART_ARC
(3,10),-4.40841 # DEPENDENCYPART_ARC
(3,11),-4.14748 # DEPENDENCYPART_ARC
(3,12),-3.74178 # DEPENDENCYPART_ARC
(3,13),-0.0143318 # DEPENDENCYPART_ARC
(3,14),-1.13117 # DEPENDENCYPART_ARC
(3,15),-2.73536 # DEPENDENCYPART_ARC
(3,16),-0.74085 # DEPENDENCYPART_ARC
(3,17),-1.73294 # DEPENDENCYPART_ARC
(3,18),-3.16945 # DEPENDENCYPART_ARC
(3,19),-6.82767 # DEPENDENCYPART_ARC
(3,20),-5.56633 # DEPENDENCYPART_ARC
(4,1),-0.688201 # DEPENDENCYPART_ARC
(4,2),-0.157979 # DEPENDENCYPART_ARC
(4,3),-0.483964 # DEPENDENCYPART_ARC
(4,5),-0.563051 # DEPENDENCYPART_ARC
(4,6),-0.404792 # DEPENDENCYPART_ARC
(4,7),-0.4313 # DEPENDENCYPART_ARC
(4,8),0.104012 # DEPENDENCYPART_ARC
(4,9),-1.06048 # DEPENDENCYPART_ARC
(4,10),-1.14669 # DEPENDENCYPART_ARC
(4,11),-0.792249 # DEPENDENCYPART_ARC
(4,12),-1.28016 # DEPENDENCYPART_ARC
(4,13),-0.33577 # DEPENDENCYPART_ARC
(4,14),-1.229 # DEPENDENCYPART_ARC
(4,15),-2.05784 # DEPENDENCYPART_ARC
(4,16),-1.81446 # DEPENDENCYPART_ARC
(4,17),-2.11137 # DEPENDENCYPART_ARC
(4,18),-1.8767 # DEPENDENCYPART_ARC
(4,19),-3.19012 # DEPENDENCYPART_ARC
(4,20),-0.918516 # DEPENDENCYPART_ARC
(5,1),-1.156 # DEPENDENCYPART_ARC
(5,2),-0.533142 # DEPENDENCYPART_ARC
(5,3),-0.166059 # DEPENDENCYPART_ARC
(5,4),-0.657924 # DEPENDENCYPART_ARC
(5,6),-0.3879 # DEPENDENCYPART_ARC
(5,7),-0.691791 # DEPENDENCYPART_ARC
(5,8),-0.30508 # DEPENDENCYPART_ARC
(5,9),-1.1969 # DEPENDENCYPART_ARC
(5,10),-0.970232 # DEPENDENCYPART_ARC
(5,11),-1.21852 # DEPENDENCYPART_ARC
(5,12),-1.98732 # DEPENDENCYPART_ARC
(5,13),-0.729613 # DEPENDENCYPART_ARC
(5,14),-1.22796 # DEPENDENCYPART_ARC
(5,15),-1.62546 # DEPENDENCYPART_ARC
(5,16),-1.63676 # DEPENDENCYPART_ARC
(5,17),-1.82225 # DEPENDENCYPART_ARC
(5,18),-2.19622 # DEPENDENCYPART_ARC
(5,19),-3.79208 # DEPENDENCYPART_ARC
(5,20),-2.61207 # DEPENDENCYPART_ARC
(6,1),-1.91355 # DEPENDENCYPART_ARC
(6,2),-3.8214 # DEPENDENCYPART_ARC
(6,3),-2.32325 # DEPENDENCYPART_ARC
(6,4),-1.2234 # DEPENDENCYPART_ARC
(6,5),-0.724046 # DEPENDENCYPART_ARC
(6,7),-0.992176 # DEPENDENCYPART_ARC
(6,8),-2.92158 # DEPENDENCYPART_ARC
(6,9),-2.46638 # DEPENDENCYPART_ARC
(6,10),-2.82211 # DEPENDENCYPART_ARC
(6,11),-3.0141 # DEPENDENCYPART_ARC
(6,12),-2.78314 # DEPENDENCYPART_ARC
(6,13),-2.05775 # DEPENDENCYPART_ARC
(6,14),-3.79943 # DEPENDENCYPART_ARC
(6,15),-2.82934 # DEPENDENCYPART_ARC
(6,16),-2.76164 # DEPENDENCYPART_ARC
(6,17),-6.11352 # DEPENDENCYPART_ARC
(6,18),-2.51977 # DEPENDENCYPART_ARC
(6,19),-2.60789 # DEPENDENCYPART_ARC
(6,20),-2.80138 # DEPENDENCYPART_ARC
(7,1),-1.12522 # DEPENDENCYPART_ARC
(7,2),-1.62653 # DEPENDENCYPART_ARC
(7,3),-4.03529 # DEPENDENCYPART_ARC
(7,4),-0.145828 # DEPENDENCYPART_ARC
(7,5),0.191539 # DEPENDENCYPART_ARC
(7,6),0.55107 # DEPENDENCYPART_ARC
(7,8),-0.191056 # DEPENDENCYPART_ARC
(7,9),0.29458 # DEPENDENCYPART_ARC
(7,10),-1.52912 # DEPENDENCYPART_ARC
(7,11),-1.54705 # DEPENDENCYPART_ARC
(7,12),-2.52297 # DEPENDENCYPART_ARC
(7,13),-0.626398 # DEPENDENCYPART_ARC
(7,14),-2.37727 # DEPENDENCYPART_ARC
(7,15),-2.20685 # DEPENDENCYPART_ARC
(7,16),-0.732339 # DEPENDENCYPART_ARC
(7,17),-3.12777 # DEPENDENCYPART_ARC
(7,18),-1.66756 # DEPENDENCYPART_ARC
(7,19),-6.67049 # DEPENDENCYPART_ARC
(7,20),-4.15828 # DEPENDENCYPART_ARC
(8,1),1.72792 # DEPENDENCYPART_ARC
(8,2),-3.83647 # DEPENDENCYPART_ARC
(8,3),-2.27762 # DEPENDENCYPART_ARC
(8,4),1.9389 # DEPENDENCYPART_ARC
(8,5),2.57111 # DEPENDENCYPART_ARC
(8,6),3.90726 # DEPENDENCYPART_ARC
(8,7),3.91032 # DEPENDENCYPART_ARC
(8,9),2.69925 # DEPENDENCYPART_ARC
(8,10),-1.90521 # DEPENDENCYPART_ARC
(8,11),-2.84375 # DEPENDENCYPART_ARC
(8,12),1.58558 # DEPENDENCYPART_ARC
(8,13),1.11496 # DEPENDENCYPART_ARC
(8,14),0.413421 # DEPENDENCYPART_ARC
(8,15),-0.0705306 # DEPENDENCYPART_ARC
(8,16),-0.323035 # DEPENDENCYPART_ARC
(8,17),-2.46998 # DEPENDENCYPART_ARC
(8,18),-2.75005 # DEPENDENCYPART_ARC
(8,19),-0.298117 # DEPENDENCYPART_ARC
(8,20),-0.350818 # DEPENDENCYPART_ARC
(9,1),-2.6295 # DEPENDENCYPART_ARC
(9,2),-3.0094 # DEPENDENCYPART_ARC
(9,3),-2.99918 # DEPENDENCYPART_ARC
(9,4),-0.704046 # DEPENDENCYPART_ARC
(9,5),-0.893405 # DEPENDENCYPART_ARC
(9,6),-1.18887 # DEPENDENCYPART_ARC
(9,7),-1.91768 # DEPENDENCYPART_ARC
(9,8),-1.00147 # DEPENDENCYPART_ARC
(9,10),1.34723 # DEPENDENCYPART_ARC
(9,11),0.807745 # DEPENDENCYPART_ARC
(9,12),3.67014 # DEPENDENCYPART_ARC
(9,13),0.583052 # DEPENDENCYPART_ARC
(9,14),-0.33748 # DEPENDENCYPART_ARC
(9,15),-0.930419 # DEPENDENCYPART_ARC
(9,16),-0.252401 # DEPENDENCYPART_ARC
(9,17),-1.33427 # DEPENDENCYPART_ARC
(9,18),-2.6721 # DEPENDENCYPART_ARC
(9,19),-2.98483 # DEPENDENCYPART_ARC
(9,20),-1.95408 # DEPENDENCYPART_ARC
(10,1),-1.98296 # DEPENDENCYPART_ARC
(10,2),-6.37581 # DEPENDENCYPART_ARC
(10,3),-5.41089 # DEPENDENCYPART_ARC
(10,4),-1.41183 # DEPENDENCYPART_ARC
(10,5),-1.50493 # DEPENDENCYPART_ARC
(10,6),-1.14026 # DEPENDENCYPART_ARC
(10,7),-4.13678 # DEPENDENCYPART_ARC
(10,8),-1.43791 # DEPENDENCYPART_ARC
(10,9),-0.120134 # DEPENDENCYPART_ARC
(10,11),-0.484226 # DEPENDENCYPART_ARC
(10,12),0.505042 # DEPENDENCYPART_ARC
(10,13),-0.0507586 # DEPENDENCYPART_ARC
(10,14),-0.368302 # DEPENDENCYPART_ARC
(10,15),-1.64134 # DEPENDENCYPART_ARC
(10,16),-0.958006 # DEPENDENCYPART_ARC
(10,17),-2.9421 # DEPENDENCYPART_ARC
(10,18),-3.50295 # DEPENDENCYPART_ARC
(10,19),-4.42109 # DEPENDENCYPART_ARC
(10,20),-1.53598 # DEPENDENCYPART_ARC
(11,1),-1.40591 # DEPENDENCYPART_ARC
(11,2),-6.10225 # DEPENDENCYPART_ARC
(11,3),-5.31126 # DEPENDENCYPART_ARC
(11,4),-1.44856 # DEPENDENCYPART_ARC
(11,5),-1.80421 # DEPENDENCYPART_ARC
(11,6),-1.02213 # DEPENDENCYPART_ARC
(11,7),-4.17486 # DEPENDENCYPART_ARC
(11,8),-1.58847 # DEPENDENCYPART_ARC
(11,9),-0.0614908 # DEPENDENCYPART_ARC
(11,10),-1.48653 # DEPENDENCYPART_ARC
(11,12),0.53896 # DEPENDENCYPART_ARC
(11,13),-0.212328 # DEPENDENCYPART_ARC
(11,14),-0.381743 # DEPENDENCYPART_ARC
(11,15),-1.61037 # DEPENDENCYPART_ARC
(11,16),-1.09315 # DEPENDENCYPART_ARC
(11,17),-2.98295 # DEPENDENCYPART_ARC
(11,18),-3.69588 # DEPENDENCYPART_ARC
(11,19),-4.93413 # DEPENDENCYPART_ARC
(11,20),-1.52981 # DEPENDENCYPART_ARC
(12,1),-0.806913 # DEPENDENCYPART_ARC
(12,2),-3.86092 # DEPENDENCYPART_ARC
(12,3),-4.66082 # DEPENDENCYPART_ARC
(12,4),-0.236135 # DEPENDENCYPART_ARC
(12,5),-0.473375 # DEPENDENCYPART_ARC
(12,6),-2.15671 # DEPENDENCYPART_ARC
(12,7),-2.78841 # DEPENDENCYPART_ARC
(12,8),-0.330008 # DEPENDENCYPART_ARC
(12,9),1.04424 # DEPENDENCYPART_ARC
(12,10),5.67842 # DEPENDENCYPART_ARC
(12,11),5.671 # DEPENDENCYPART_ARC
(12,13),-0.190006 # DEPENDENCYPART_ARC
(12,14),-0.623654 # DEPENDENCYPART_ARC
(12,15),-1.99961 # DEPENDENCYPART_ARC
(12,16),-0.721453 # DEPENDENCYPART_ARC
(12,17),-1.8917 # DEPENDENCYPART_ARC
(12,18),-2.37571 # DEPENDENCYPART_ARC
(12,19),-5.35749 # DEPENDENCYPART_ARC
(12,20),-2.4858 # DEPENDENCYPART_ARC
(13,1),-0.789419 # DEPENDENCYPART_ARC
(13,2),-0.743898 # DEPENDENCYPART_ARC
(13,3),-0.829466 # DEPENDENCYPART_ARC
(13,4),-0.314341 # DEPENDENCYPART_ARC
(13,5),-0.347143 # DEPENDENCYPART_ARC
(13,6),-0.367094 # DEPENDENCYPART_ARC
(13,7),0.0312518 # DEPENDENCYPART_ARC
(13,8),0.602107 # DEPENDENCYPART_ARC
(13,9),0.242318 # DEPENDENCYPART_ARC
(13,10),0.405481 # DEPENDENCYPART_ARC
(13,11),0.0977991 # DEPENDENCYPART_ARC
(13,12),-0.0343203 # DEPENDENCYPART_ARC
(13,14),1.03658 # DEPENDENCYPART_ARC
(13,15),-0.0497436 # DEPENDENCYPART_ARC
(13,16),0.153253 # DEPENDENCYPART_ARC
(13,17),-0.165094 # DEPENDENCYPART_ARC
(13,18),-0.478764 # DEPENDENCYPART_ARC
(13,19),-1.17906 # DEPENDENCYPART_ARC
(13,20),0.644469 # DEPENDENCYPART_ARC
(14,1),-1.48986 # DEPENDENCYPART_ARC
(14,2),-4.56114 # DEPENDENCYPART_ARC
(14,3),-3.53797 # DEPENDENCYPART_ARC
(14,4),-2.39598 # DEPENDENCYPART_ARC
(14,5),-1.22087 # DEPENDENCYPART_ARC
(14,6),-1.96766 # DEPENDENCYPART_ARC
(14,7),-2.48881 # DEPENDENCYPART_ARC
(14,8),-1.45517 # DEPENDENCYPART_ARC
(14,9),-2.43763 # DEPENDENCYPART_ARC
(14,10),-3.14482 # DEPENDENCYPART_ARC
(14,11),-2.98719 # DEPENDENCYPART_ARC
(14,12),-2.29778 # DEPENDENCYPART_ARC
(14,13),-2.20166 # DEPENDENCYPART_ARC
(14,15),-0.758541 # DEPENDENCYPART_ARC
(14,16),-1.71768 # DEPENDENCYPART_ARC
(14,17),-1.1934 # DEPENDENCYPART_ARC
(14,18),-2.21604 # DEPENDENCYPART_ARC
(14,19),-2.14054 # DEPENDENCYPART_ARC
(14,20),-2.25343 # DEPENDENCYPART_ARC
(15,1),-1.28702 # DEPENDENCYPART_ARC
(15,2),-3.04381 # DEPENDENCYPART_ARC
(15,3),-3.50724 # DEPENDENCYPART_ARC
(15,4),-1.96985 # DEPENDENCYPART_ARC
(15,5),-2.201 # DEPENDENCYPART_ARC
(15,6),0.555652 # DEPENDENCYPART_ARC
(15,7),-2.12367 # DEPENDENCYPART_ARC
(15,8),-1.20949 # DEPENDENCYPART_ARC
(15,9),0.0366838 # DEPENDENCYPART_ARC
(15,10),-1.9887 # DEPENDENCYPART_ARC
(15,11),-1.99218 # DEPENDENCYPART_ARC
(15,12),-1.07411 # DEPENDENCYPART_ARC
(15,13),-0.0923867 # DEPENDENCYPART_ARC
(15,14),0.68816 # DEPENDENCYPART_ARC
(15,16),0.546449 # DEPENDENCYPART_ARC
(15,17),-0.430159 # DEPENDENCYPART_ARC
(15,18),-0.555928 # DEPENDENCYPART_ARC
(15,19),0.702656 # DEPENDENCYPART_ARC
(15,20),-0.00409871 # DEPENDENCYPART_ARC
(16,1),-3.07119 # DEPENDENCYPART_ARC
(16,2),-2.0025 # DEPENDENCYPART_ARC
(16,3),-2.18234 # DEPENDENCYPART_ARC
(16,4),-2.11261 # DEPENDENCYPART_ARC
(16,5),-1.56048 # DEPENDENCYPART_ARC
(16,6),-1.46191 # DEPENDENCYPART_ARC
(16,7),-1.795 # DEPENDENCYPART_ARC
(16,8),-1.33962 # DEPENDENCYPART_ARC
(16,9),-1.27169 # DEPENDENCYPART_ARC
(16,10),-1.27311 # DEPENDENCYPART_ARC
(16,11),-1.03023 # DEPENDENCYPART_ARC
(16,12),-1.02778 # DEPENDENCYPART_ARC
(16,13),-0.708367 # DEPENDENCYPART_ARC
(16,14),-0.255124 # DEPENDENCYPART_ARC
(16,15),-0.0935816 # DEPENDENCYPART_ARC
(16,17),-0.630213 # DEPENDENCYPART_ARC
(16,18),-1.07433 # DEPENDENCYPART_ARC
(16,19),-1.90179 # DEPENDENCYPART_ARC
(16,20),-0.620149 # DEPENDENCYPART_ARC
(17,1),0.921643 # DEPENDENCYPART_ARC
(17,2),-5.25696 # DEPENDENCYPART_ARC
(17,3),-3.34167 # DEPENDENCYPART_ARC
(17,4),-0.012813 # DEPENDENCYPART_ARC
(17,5),1.4578 # DEPENDENCYPART_ARC
(17,6),1.60493 # DEPENDENCYPART_ARC
(17,7),1.70797 # DEPENDENCYPART_ARC
(17,8),-1.29193 # DEPENDENCYPART_ARC
(17,9),0.55325 # DEPENDENCYPART_ARC
(17,10),-2.09489 # DEPENDENCYPART_ARC
(17,11),-2.1155 # DEPENDENCYPART_ARC
(17,12),-0.101354 # DEPENDENCYPART_ARC
(17,13),0.132723 # DEPENDENCYPART_ARC
(17,14),2.7898 # DEPENDENCYPART_ARC
(17,15),-0.390036 # DEPENDENCYPART_ARC
(17,16),2.44693 # DEPENDENCYPART_ARC
(17,18),1.11586 # DEPENDENCYPART_ARC
(17,19),3.76039 # DEPENDENCYPART_ARC
(17,20),0.231193 # DEPENDENCYPART_ARC
(18,1),-2.13347 # DEPENDENCYPART_ARC
(18,2),-5.49856 # DEPENDENCYPART_ARC
(18,3),-3.41003 # DEPENDENCYPART_ARC
(18,4),-2.24262 # DEPENDENCYPART_ARC
(18,5),-2.04693 # DEPENDENCYPART_ARC
(18,6),-2.72286 # DEPENDENCYPART_ARC
(18,7),-3.98096 # DEPENDENCYPART_ARC
(18,8),-2.981 # DEPENDENCYPART_ARC
(18,9),-1.85972 # DEPENDENCYPART_ARC
(18,10),-4.72816 # DEPENDENCYPART_ARC
(18,11),-4.68932 # DEPENDENCYPART_ARC
(18,12),-2.93425 # DEPENDENCYPART_ARC
(18,13),-1.55142 # DEPENDENCYPART_ARC
(18,14),-1.64019 # DEPENDENCYPART_ARC
(18,15),-2.67246 # DEPENDENCYPART_ARC
(18,16),-0.506254 # DEPENDENCYPART_ARC
(18,17),-2.11457 # DEPENDENCYPART_ARC
(18,19),-0.284441 # DEPENDENCYPART_ARC
(18,20),-1.05345 # DEPENDENCYPART_ARC
(19,1),-1.40783 # DEPENDENCYPART_ARC
(19,2),-4.45831 # DEPENDENCYPART_ARC
(19,3),-6.37486 # DEPENDENCYPART_ARC
(19,4),-2.16649 # DEPENDENCYPART_ARC
(19,5),-2.71368 # DEPENDENCYPART_ARC
(19,6),-3.43769 # DEPENDENCYPART_ARC
(19,7),-5.49837 # DEPENDENCYPART_ARC
(19,8),-1.9476 # DEPENDENCYPART_ARC
(19,9),0.300743 # DEPENDENCYPART_ARC
(19,10),-2.36648 # DEPENDENCYPART_ARC
(19,11),-2.83391 # DEPENDENCYPART_ARC
(19,12),-5.82484 # DEPENDENCYPART_ARC
(19,13),-1.39107 # DEPENDENCYPART_ARC
(19,14),0.0414624 # DEPENDENCYPART_ARC
(19,15),-2.86519 # DEPENDENCYPART_ARC
(19,16),0.294007 # DEPENDENCYPART_ARC
(19,17),-1.28791 # DEPENDENCYPART_ARC
(19,18),4.35935 # DEPENDENCYPART_ARC
(19,20),0.352858 # DEPENDENCYPART_ARC
(20,1),-5.4505 # DEPENDENCYPART_ARC
(20,2),-4.60875 # DEPENDENCYPART_ARC
(20,3),-5.97297 # DEPENDENCYPART_ARC
(20,4),-4.84168 # DEPENDENCYPART_ARC
(20,5),-4.24399 # DEPENDENCYPART_ARC
(20,6),-3.90797 # DEPENDENCYPART_ARC
(20,7),-5.47553 # DEPENDENCYPART_ARC
(20,8),-4.50344 # DEPENDENCYPART_ARC
(20,9),-3.92622 # DEPENDENCYPART_ARC
(20,10),-3.9034 # DEPENDENCYPART_ARC
(20,11),-3.97917 # DEPENDENCYPART_ARC
(20,12),-4.34772 # DEPENDENCYPART_ARC
(20,13),-3.44357 # DEPENDENCYPART_ARC
(20,14),-3.51738 # DEPENDENCYPART_ARC
(20,15),-3.45794 # DEPENDENCYPART_ARC
(20,16),-3.32978 # DEPENDENCYPART_ARC
(20,17),-3.39972 # DEPENDENCYPART_ARC
(20,18),-2.67851 # DEPENDENCYPART_ARC
(20,19),-2.91553 # DEPENDENCYPART_ARC
