# _root_ Na to , jaké právní prostředky nápravy bude nutno v konkrétním případě předem vyčerpat , mohou vznikat nejrůznější názory .
#goldHeads=19,1,8,6,6,14,6,2,8,8,12,10,14,8,8,0,16,19,16,0,
#predictedHeads=16,1,8,6,6,14,6,14,8,14,12,10,14,2,14,0,16,19,16,0,
(14,17),-0.0364838 # DEPENDENCYPART_ARC
(14,18),-2.67416 # DEPENDENCYPART_ARC
(14,19),-2.20433 # DEPENDENCYPART_ARC
(14,20),-1.22794 # DEPENDENCYPART_ARC
(15,1),-0.444898 # DEPENDENCYPART_ARC
(15,2),-0.715248 # DEPENDENCYPART_ARC
(15,3),-0.411111 # DEPENDENCYPART_ARC
(15,4),-0.391505 # DEPENDENCYPART_ARC
(15,5),-1.29768 # DEPENDENCYPART_ARC
(15,6),-0.735719 # DEPENDENCYPART_ARC
(15,7),-0.416999 # DEPENDENCYPART_ARC
(15,8),0.716529 # DEPENDENCYPART_ARC
(15,9),-0.71725 # DEPENDENCYPART_ARC
(15,10),0.0366068 # DEPENDENCYPART_ARC
(15,11),-0.336495 # DEPENDENCYPART_ARC
(15,12),0.0203005 # DEPENDENCYPART_ARC
(15,13),0.0932392 # DEPENDENCYPART_ARC
(15,14),0.726773 # DEPENDENCYPART_ARC
(15,16),0.120265 # DEPENDENCYPART_ARC
(15,17),-0.726594 # DEPENDENCYPART_ARC
(15,18),-0.925857 # DEPENDENCYPART_ARC
(15,19),-1.90567 # DEPENDENCYPART_ARC
(15,20),-0.720343 # DEPENDENCYPART_ARC
(16,1),1.63458 # DEPENDENCYPART_ARC
(16,2),-2.15205 # DEPENDENCYPART_ARC
(16,3),0.340258 # DEPENDENCYPART_ARC
(16,4),-1.13932 # DEPENDENCYPART_ARC
(16,5),-3.62914 # DEPENDENCYPART_ARC
(16,6),1.22589 # DEPENDENCYPART_ARC
(16,7),-2.61741 # DEPENDENCYPART_ARC
(16,8),-0.738948 # DEPENDENCYPART_ARC
(16,9),-0.823944 # DEPENDENCYPART_ARC
(16,10),0.376413 # DEPENDENCYPART_ARC
(16,11),-4.33651 # DEPENDENCYPART_ARC
(16,12),-0.619346 # DEPENDENCYPART_ARC
(16,13),1.02104 # DEPENDENCYPART_ARC
(16,14),1.28248 # DEPENDENCYPART_ARC
(16,15),0.365122 # DEPENDENCYPART_ARC
(16,17),4.49969 # DEPENDENCYPART_ARC
(16,18),-2.35979 # DEPENDENCYPART_ARC
(16,19),2.56063 # DEPENDENCYPART_ARC
(16,20),0.239902 # DEPENDENCYPART_ARC
(17,1),0.596078 # DEPENDENCYPART_ARC
(17,2),-0.805943 # DEPENDENCYPART_ARC
(17,3),-0.551167 # DEPENDENCYPART_ARC
(17,4),0.421733 # DEPENDENCYPART_ARC
(17,5),-1.50397 # DEPENDENCYPART_ARC
(17,6),1.077 # DEPENDENCYPART_ARC
(17,7),-1.67989 # DEPENDENCYPART_ARC
(17,8),-0.517498 # DEPENDENCYPART_ARC
(17,9),-2.17609 # DEPENDENCYPART_ARC
(17,10),-0.76231 # DEPENDENCYPART_ARC
(17,11),-2.42753 # DEPENDENCYPART_ARC
(17,12),0.00157095 # DEPENDENCYPART_ARC
(17,13),-0.0587947 # DEPENDENCYPART_ARC
(17,14),-1.21328 # DEPENDENCYPART_ARC
(17,15),-0.777449 # DEPENDENCYPART_ARC
(17,16),0.41409 # DEPENDENCYPART_ARC
(17,18),0.626417 # DEPENDENCYPART_ARC
(17,19),0.898356 # DEPENDENCYPART_ARC
(17,20),-0.440226 # DEPENDENCYPART_ARC
(18,1),-1.56533 # DEPENDENCYPART_ARC
(18,2),-3.72768 # DEPENDENCYPART_ARC
(18,3),-3.74714 # DEPENDENCYPART_ARC
(18,4),-2.41154 # DEPENDENCYPART_ARC
(18,5),-5.17097 # DEPENDENCYPART_ARC
(18,6),-4.36503 # DEPENDENCYPART_ARC
(18,7),-4.86183 # DEPENDENCYPART_ARC
(18,8),-2.21254 # DEPENDENCYPART_ARC
(18,9),-3.68238 # DEPENDENCYPART_ARC
(18,10),-1.63168 # DEPENDENCYPART_ARC
(18,11),-4.56365 # DEPENDENCYPART_ARC
(18,12),-4.28166 # DEPENDENCYPART_ARC
(18,13),-1.25884 # DEPENDENCYPART_ARC
(18,14),-1.21026 # DEPENDENCYPART_ARC
(18,15),-1.55694 # DEPENDENCYPART_ARC
(18,16),-2.49505 # DEPENDENCYPART_ARC
(18,17),-0.0815006 # DEPENDENCYPART_ARC
(18,19),-0.271937 # DEPENDENCYPART_ARC
(18,20),-0.645555 # DEPENDENCYPART_ARC
(19,1),-0.289241 # DEPENDENCYPART_ARC
(19,2),-7.01384 # DEPENDENCYPART_ARC
(19,3),-3.04361 # DEPENDENCYPART_ARC
(19,4),-1.9049 # DEPENDENCYPART_ARC
(19,5),-4.33923 # DEPENDENCYPART_ARC
(19,6),-5.1694 # DEPENDENCYPART_ARC
(19,7),-6.13228 # DEPENDENCYPART_ARC
(19,8),-3.3021 # DEPENDENCYPART_ARC
(19,9),-5.82069 # DEPENDENCYPART_ARC
(19,10),-1.8832 # DEPENDENCYPART_ARC
(19,11),-2.69724 # DEPENDENCYPART_ARC
(19,12),-5.27186 # DEPENDENCYPART_ARC
(19,13),-1.44763 # DEPENDENCYPART_ARC
(19,14),-0.775952 # DEPENDENCYPART_ARC
(19,15),-1.70886 # DEPENDENCYPART_ARC
(19,16),-1.66058 # DEPENDENCYPART_ARC
(19,17),-0.397083 # DEPENDENCYPART_ARC
(19,18),4.14128 # DEPENDENCYPART_ARC
(19,20),0.313788 # DEPENDENCYPART_ARC
(20,1),-5.3631 # DEPENDENCYPART_ARC
(20,2),-3.85926 # DEPENDENCYPART_ARC
(20,3),-5.14972 # DEPENDENCYPART_ARC
(20,4),-3.73593 # DEPENDENCYPART_ARC
(20,5),-4.66114 # DEPENDENCYPART_ARC
(20,6),-6.09697 # DEPENDENCYPART_ARC
(20,7),-5.85809 # DEPENDENCYPART_ARC
(20,8),-4.51955 # DEPENDENCYPART_ARC
(20,9),-4.28037 # DEPENDENCYPART_ARC
(20,10),-3.79884 # DEPENDENCYPART_ARC
(20,11),-3.82332 # DEPENDENCYPART_ARC
(20,12),-4.91857 # DEPENDENCYPART_ARC
(20,13),-3.49387 # DEPENDENCYPART_ARC
(20,14),-4.09999 # DEPENDENCYPART_ARC
(20,15),-3.23369 # DEPENDENCYPART_ARC
(20,16),-3.37545 # DEPENDENCYPART_ARC
(20,17),-3.55927 # DEPENDENCYPART_ARC
(20,18),-2.66453 # DEPENDENCYPART_ARC
(20,19),-3.31686 # DEPENDENCYPART_ARC
