# _root_ Řešení by se však hledat mělo , protože oba festivaly měly jednak vysokou úroveň , jednak lákaly do Prahy řadu turistů .
#goldHeads=6,6,6,6,6,0,8,6,10,16,16,16,14,11,16,8,16,17,18,17,20,0,
#predictedHeads=6,6,6,0,6,4,8,6,10,11,8,16,14,11,16,11,16,17,18,17,20,0,
(6,7),0.860814 # DEPENDENCYPART_ARC
(6,8),2.73194 # DEPENDENCYPART_ARC
(6,9),-0.772152 # DEPENDENCYPART_ARC
(6,10),-1.50275 # DEPENDENCYPART_ARC
(6,11),-2.50267 # DEPENDENCYPART_ARC
(6,12),0.305599 # DEPENDENCYPART_ARC
(6,13),-5.29481 # DEPENDENCYPART_ARC
(6,14),-2.39904 # DEPENDENCYPART_ARC
(6,15),0.0467074 # DEPENDENCYPART_ARC
(6,16),0.536159 # DEPENDENCYPART_ARC
(6,17),-5.44302 # DEPENDENCYPART_ARC
(6,18),-2.27981 # DEPENDENCYPART_ARC
(6,19),-7.27281 # DEPENDENCYPART_ARC
(6,20),-4.31156 # DEPENDENCYPART_ARC
(6,21),-7.37469 # DEPENDENCYPART_ARC
(6,22),-1.42804 # DEPENDENCYPART_ARC
(7,1),-1.25314 # DEPENDENCYPART_ARC
(7,2),-0.237771 # DEPENDENCYPART_ARC
(7,3),0.290695 # DEPENDENCYPART_ARC
(7,4),0.4417 # DEPENDENCYPART_ARC
(7,5),-0.391931 # DEPENDENCYPART_ARC
(7,6),-0.660776 # DEPENDENCYPART_ARC
(7,8),-0.0215331 # DEPENDENCYPART_ARC
(7,9),-0.90749 # DEPENDENCYPART_ARC
(7,10),-1.11914 # DEPENDENCYPART_ARC
(7,11),-0.34172 # DEPENDENCYPART_ARC
(7,12),-0.839388 # DEPENDENCYPART_ARC
(7,13),-1.44111 # DEPENDENCYPART_ARC
(7,14),-2.10421 # DEPENDENCYPART_ARC
(7,15),-1.28308 # DEPENDENCYPART_ARC
(7,16),-0.775202 # DEPENDENCYPART_ARC
(7,17),-2.172 # DEPENDENCYPART_ARC
(7,18),-2.69956 # DEPENDENCYPART_ARC
(7,19),-3.48685 # DEPENDENCYPART_ARC
(7,20),-3.89913 # DEPENDENCYPART_ARC
(7,21),-3.80718 # DEPENDENCYPART_ARC
(7,22),-2.2375 # DEPENDENCYPART_ARC
(8,1),-1.25289 # DEPENDENCYPART_ARC
(8,2),-0.8883 # DEPENDENCYPART_ARC
(8,3),-0.168454 # DEPENDENCYPART_ARC
(8,4),0.150395 # DEPENDENCYPART_ARC
(8,5),-0.0279087 # DEPENDENCYPART_ARC
(8,6),-0.457683 # DEPENDENCYPART_ARC
(8,7),2.96736 # DEPENDENCYPART_ARC
(8,9),0.670782 # DEPENDENCYPART_ARC
(8,10),0.26081 # DEPENDENCYPART_ARC
(8,11),1.46708 # DEPENDENCYPART_ARC
(8,12),0.49466 # DEPENDENCYPART_ARC
(8,13),-0.770777 # DEPENDENCYPART_ARC
(8,14),-1.04314 # DEPENDENCYPART_ARC
(8,15),0.675514 # DEPENDENCYPART_ARC
(8,16),0.279314 # DEPENDENCYPART_ARC
(8,17),-0.641379 # DEPENDENCYPART_ARC
(8,18),-1.5235 # DEPENDENCYPART_ARC
(8,19),-2.46568 # DEPENDENCYPART_ARC
(8,20),-2.43971 # DEPENDENCYPART_ARC
(8,21),-2.60339 # DEPENDENCYPART_ARC
(8,22),-1.16029 # DEPENDENCYPART_ARC
(9,1),-4.1193 # DEPENDENCYPART_ARC
(9,2),-3.09971 # DEPENDENCYPART_ARC
(9,3),-2.53497 # DEPENDENCYPART_ARC
(9,4),-1.8536 # DEPENDENCYPART_ARC
(9,5),-2.7777 # DEPENDENCYPART_ARC
(9,6),-4.09914 # DEPENDENCYPART_ARC
(9,7),-1.17519 # DEPENDENCYPART_ARC
(9,8),0.0502943 # DEPENDENCYPART_ARC
(9,10),0.178283 # DEPENDENCYPART_ARC
(9,11),-2.61422 # DEPENDENCYPART_ARC
(9,12),-0.729285 # DEPENDENCYPART_ARC
(9,13),-2.84558 # DEPENDENCYPART_ARC
(9,14),-3.14779 # DEPENDENCYPART_ARC
(9,15),-1.62041 # DEPENDENCYPART_ARC
(9,16),-1.27184 # DEPENDENCYPART_ARC
(9,17),-3.51201 # DEPENDENCYPART_ARC
(9,18),-1.24613 # DEPENDENCYPART_ARC
(9,19),-3.43255 # DEPENDENCYPART_ARC
(9,20),-5.1122 # DEPENDENCYPART_ARC
(9,21),-3.50399 # DEPENDENCYPART_ARC
(9,22),-2.73405 # DEPENDENCYPART_ARC
(10,1),-4.16349 # DEPENDENCYPART_ARC
(10,2),-1.4722 # DEPENDENCYPART_ARC
(10,3),-4.61562 # DEPENDENCYPART_ARC
(10,4),-2.52873 # DEPENDENCYPART_ARC
(10,5),-1.71712 # DEPENDENCYPART_ARC
(10,6),-4.84003 # DEPENDENCYPART_ARC
(10,7),-0.377483 # DEPENDENCYPART_ARC
(10,8),0.19413 # DEPENDENCYPART_ARC
(10,9),4.4561 # DEPENDENCYPART_ARC
(10,11),-0.797308 # DEPENDENCYPART_ARC
(10,12),-0.527403 # DEPENDENCYPART_ARC
(10,13),-5.3721 # DEPENDENCYPART_ARC
(10,14),-3.9318 # DEPENDENCYPART_ARC
(10,15),-1.25674 # DEPENDENCYPART_ARC
(10,16),-1.26387 # DEPENDENCYPART_ARC
(10,17),-3.88269 # DEPENDENCYPART_ARC
(10,18),-1.72856 # DEPENDENCYPART_ARC
(10,19),-3.43235 # DEPENDENCYPART_ARC
(10,20),-6.52864 # DEPENDENCYPART_ARC
(10,21),-2.78003 # DEPENDENCYPART_ARC
(10,22),-5.09498 # DEPENDENCYPART_ARC
(11,1),-0.253881 # DEPENDENCYPART_ARC
(11,2),1.50867 # DEPENDENCYPART_ARC
(11,3),0.979937 # DEPENDENCYPART_ARC
(11,4),1.32555 # DEPENDENCYPART_ARC
(11,5),0.443909 # DEPENDENCYPART_ARC
(11,6),-1.65284 # DEPENDENCYPART_ARC
(11,7),0.438268 # DEPENDENCYPART_ARC
(11,8),1.21879 # DEPENDENCYPART_ARC
(11,9),2.24546 # DEPENDENCYPART_ARC
(11,10),3.24732 # DEPENDENCYPART_ARC
(11,12),1.20344 # DEPENDENCYPART_ARC
(11,13),-1.63817 # DEPENDENCYPART_ARC
(11,14),2.22266 # DEPENDENCYPART_ARC
(11,15),0.570304 # DEPENDENCYPART_ARC
(11,16),1.32991 # DEPENDENCYPART_ARC
(11,17),-1.59645 # DEPENDENCYPART_ARC
(11,18),0.727434 # DEPENDENCYPART_ARC
(11,19),-4.01908 # DEPENDENCYPART_ARC
(11,20),-0.22028 # DEPENDENCYPART_ARC
(11,21),-2.27993 # DEPENDENCYPART_ARC
(11,22),0.110161 # DEPENDENCYPART_ARC
(12,1),-1.20091 # DEPENDENCYPART_ARC
(12,2),-0.681295 # DEPENDENCYPART_ARC
(12,3),0.341712 # DEPENDENCYPART_ARC
(12,4),0.960632 # DEPENDENCYPART_ARC
(12,5),-0.167782 # DEPENDENCYPART_ARC
(12,6),-0.300036 # DEPENDENCYPART_ARC
(12,7),1.36653 # DEPENDENCYPART_ARC
(12,8),1.24835 # DEPENDENCYPART_ARC
(12,9),1.44336 # DEPENDENCYPART_ARC
(12,10),0.470093 # DEPENDENCYPART_ARC
(12,11),1.67429 # DEPENDENCYPART_ARC
(12,13),0.806404 # DEPENDENCYPART_ARC
(12,14),0.605821 # DEPENDENCYPART_ARC
(12,15),-0.14344 # DEPENDENCYPART_ARC
(12,16),0.0770658 # DEPENDENCYPART_ARC
(12,17),0.0221992 # DEPENDENCYPART_ARC
(12,18),-1.14642 # DEPENDENCYPART_ARC
(12,19),-1.94402 # DEPENDENCYPART_ARC
(12,20),-1.84745 # DEPENDENCYPART_ARC
(12,21),-2.06966 # DEPENDENCYPART_ARC
(12,22),-1.38047 # DEPENDENCYPART_ARC
(13,1),-6.67582 # DEPENDENCYPART_ARC
(13,2),-2.40645 # DEPENDENCYPART_ARC
(13,3),-2.03027 # DEPENDENCYPART_ARC
(13,4),-2.5786 # DEPENDENCYPART_ARC
(13,5),-2.31287 # DEPENDENCYPART_ARC
(13,6),-5.10507 # DEPENDENCYPART_ARC
(13,7),-1.89743 # DEPENDENCYPART_ARC
(13,8),-1.48308 # DEPENDENCYPART_ARC
(13,9),-4.26065 # DEPENDENCYPART_ARC
(13,10),-4.26922 # DEPENDENCYPART_ARC
(13,11),-3.20426 # DEPENDENCYPART_ARC
(13,12),-0.0749595 # DEPENDENCYPART_ARC
(13,14),-0.912096 # DEPENDENCYPART_ARC
(13,15),-0.538219 # DEPENDENCYPART_ARC
(13,16),-0.134488 # DEPENDENCYPART_ARC
(13,17),-1.87745 # DEPENDENCYPART_ARC
(13,18),-1.22417 # DEPENDENCYPART_ARC
(13,19),-3.11478 # DEPENDENCYPART_ARC
(13,20),-5.4211 # DEPENDENCYPART_ARC
(13,21),-4.27675 # DEPENDENCYPART_ARC
(13,22),-1.91488 # DEPENDENCYPART_ARC
(14,1),-7.57503 # DEPENDENCYPART_ARC
(14,2),-0.702961 # DEPENDENCYPART_ARC
(14,3),-4.35207 # DEPENDENCYPART_ARC
(14,4),-2.62255 # DEPENDENCYPART_ARC
(14,5),-0.502309 # DEPENDENCYPART_ARC
(14,6),-1.94266 # DEPENDENCYPART_ARC
(14,7),-0.219054 # DEPENDENCYPART_ARC
(14,8),-0.462976 # DEPENDENCYPART_ARC
(14,9),-2.56418 # DEPENDENCYPART_ARC
(14,10),-4.96166 # DEPENDENCYPART_ARC
(14,11),-1.5171 # DEPENDENCYPART_ARC
(14,12),1.69369 # DEPENDENCYPART_ARC
(14,13),4.75594 # DEPENDENCYPART_ARC
(14,15),0.105501 # DEPENDENCYPART_ARC
(14,16),0.68879 # DEPENDENCYPART_ARC
(14,17),-0.582241 # DEPENDENCYPART_ARC
(14,18),-1.42725 # DEPENDENCYPART_ARC
(14,19),-0.618553 # DEPENDENCYPART_ARC
(14,20),-3.02211 # DEPENDENCYPART_ARC
(14,21),-1.79954 # DEPENDENCYPART_ARC
(14,22),-3.15868 # DEPENDENCYPART_ARC
(15,1),-2.96219 # DEPENDENCYPART_ARC
(15,2),-0.681832 # DEPENDENCYPART_ARC
(15,3),-1.0421 # DEPENDENCYPART_ARC
(15,4),0.0446203 # DEPENDENCYPART_ARC
(15,5),-0.583123 # DEPENDENCYPART_ARC
(15,6),-1.34719 # DEPENDENCYPART_ARC
(15,7),0.0929094 # DEPENDENCYPART_ARC
(15,8),-0.0037375 # DEPENDENCYPART_ARC
(15,9),-1.07722 # DEPENDENCYPART_ARC
(15,10),-0.870255 # DEPENDENCYPART_ARC
(15,11),0.177675 # DEPENDENCYPART_ARC
(15,12),-0.218815 # DEPENDENCYPART_ARC
(15,13),-0.417781 # DEPENDENCYPART_ARC
(15,14),-0.461318 # DEPENDENCYPART_ARC
(15,16),0.338166 # DEPENDENCYPART_ARC
(15,17),0.314487 # DEPENDENCYPART_ARC
(15,18),-0.441399 # DEPENDENCYPART_ARC
(15,19),-0.948631 # DEPENDENCYPART_ARC
(15,20),-1.10127 # DEPENDENCYPART_ARC
(15,21),-1.16704 # DEPENDENCYPART_ARC
(15,22),-0.699601 # DEPENDENCYPART_ARC
(16,1),0.468819 # DEPENDENCYPART_ARC
(16,2),0.563406 # DEPENDENCYPART_ARC
(16,3),-0.528855 # DEPENDENCYPART_ARC
(16,4),1.14885 # DEPENDENCYPART_ARC
(16,5),0.401125 # DEPENDENCYPART_ARC
(16,6),0.624962 # DEPENDENCYPART_ARC
(16,7),0.16595 # DEPENDENCYPART_ARC
(16,8),1.268 # DEPENDENCYPART_ARC
(16,9),-0.352712 # DEPENDENCYPART_ARC
(16,10),0.946019 # DEPENDENCYPART_ARC
(16,11),2.08746 # DEPENDENCYPART_ARC
(16,12),1.97747 # DEPENDENCYPART_ARC
(16,13),0.552379 # DEPENDENCYPART_ARC
(16,14),0.39098 # DEPENDENCYPART_ARC
(16,15),2.58651 # DEPENDENCYPART_ARC
(16,17),1.65334 # DEPENDENCYPART_ARC
(16,18),-0.310452 # DEPENDENCYPART_ARC
(16,19),-0.743287 # DEPENDENCYPART_ARC
(16,20),-0.88617 # DEPENDENCYPART_ARC
(16,21),-1.242 # DEPENDENCYPART_ARC
(16,22),-0.608427 # DEPENDENCYPART_ARC
(17,1),-1.31207 # DEPENDENCYPART_ARC
(17,2),-0.251363 # DEPENDENCYPART_ARC
(17,3),-1.37315 # DEPENDENCYPART_ARC
(17,4),0.124059 # DEPENDENCYPART_ARC
(17,5),-1.36544 # DEPENDENCYPART_ARC
(17,6),-4.04732 # DEPENDENCYPART_ARC
(17,7),-1.17578 # DEPENDENCYPART_ARC
(17,8),0.0795702 # DEPENDENCYPART_ARC
(17,9),-0.00666163 # DEPENDENCYPART_ARC
(17,10),0.523138 # DEPENDENCYPART_ARC
(17,11),-1.70062 # DEPENDENCYPART_ARC
(17,12),-0.331021 # DEPENDENCYPART_ARC
(17,13),-2.85973 # DEPENDENCYPART_ARC
(17,14),-0.386859 # DEPENDENCYPART_ARC
(17,15),0.634524 # DEPENDENCYPART_ARC
(17,16),1.09221 # DEPENDENCYPART_ARC
(17,18),2.86204 # DEPENDENCYPART_ARC
(17,19),-1.90009 # DEPENDENCYPART_ARC
(17,20),2.21386 # DEPENDENCYPART_ARC
(17,21),-0.0149973 # DEPENDENCYPART_ARC
(17,22),-0.45054 # DEPENDENCYPART_ARC
(18,1),-4.7643 # DEPENDENCYPART_ARC
(18,2),-3.07506 # DEPENDENCYPART_ARC
(18,3),-3.09803 # DEPENDENCYPART_ARC
(18,4),-2.64936 # DEPENDENCYPART_ARC
(18,5),-3.02467 # DEPENDENCYPART_ARC
(18,6),-3.68232 # DEPENDENCYPART_ARC
(18,7),-1.66025 # DEPENDENCYPART_ARC
(18,8),-2.11146 # DEPENDENCYPART_ARC
(18,9),-3.31253 # DEPENDENCYPART_ARC
(18,10),-3.48133 # DEPENDENCYPART_ARC
(18,11),-3.23817 # DEPENDENCYPART_ARC
(18,12),-1.85186 # DEPENDENCYPART_ARC
(18,13),-2.22078 # DEPENDENCYPART_ARC
(18,14),-2.26817 # DEPENDENCYPART_ARC
(18,15),0.155812 # DEPENDENCYPART_ARC
(18,16),-0.78997 # DEPENDENCYPART_ARC
(18,17),-1.55967 # DEPENDENCYPART_ARC
(18,19),4.47384 # DEPENDENCYPART_ARC
(18,20),-1.1151 # DEPENDENCYPART_ARC
(18,21),-1.39125 # DEPENDENCYPART_ARC
(18,22),-0.94139 # DEPENDENCYPART_ARC
(19,1),-11.1008 # DEPENDENCYPART_ARC
(19,2),-2.58809 # DEPENDENCYPART_ARC
(19,3),-7.93018 # DEPENDENCYPART_ARC
(19,4),-5.27317 # DEPENDENCYPART_ARC
(19,5),-2.64534 # DEPENDENCYPART_ARC
(19,6),-4.73573 # DEPENDENCYPART_ARC
(19,7),-2.32996 # DEPENDENCYPART_ARC
(19,8),-3.59974 # DEPENDENCYPART_ARC
(19,9),-6.51319 # DEPENDENCYPART_ARC
(19,10),-9.25947 # DEPENDENCYPART_ARC
(19,11),-5.17648 # DEPENDENCYPART_ARC
(19,12),-2.15001 # DEPENDENCYPART_ARC
(19,13),-3.02612 # DEPENDENCYPART_ARC
(19,14),-6.22362 # DEPENDENCYPART_ARC
(19,15),-1.43194 # DEPENDENCYPART_ARC
(19,16),-1.66754 # DEPENDENCYPART_ARC
(19,17),-3.81924 # DEPENDENCYPART_ARC
(19,18),0.6999 # DEPENDENCYPART_ARC
(19,20),-2.43255 # DEPENDENCYPART_ARC
(19,21),-0.576491 # DEPENDENCYPART_ARC
(19,22),-1.51518 # DEPENDENCYPART_ARC
(20,1),-10.356 # DEPENDENCYPART_ARC
(20,2),-2.20248 # DEPENDENCYPART_ARC
(20,3),-7.1319 # DEPENDENCYPART_ARC
(20,4),-4.99599 # DEPENDENCYPART_ARC
(20,5),-2.04474 # DEPENDENCYPART_ARC
(20,6),-3.56283 # DEPENDENCYPART_ARC
(20,7),-2.05633 # DEPENDENCYPART_ARC
(20,8),-3.27102 # DEPENDENCYPART_ARC
(20,9),-5.73361 # DEPENDENCYPART_ARC
(20,10),-8.50524 # DEPENDENCYPART_ARC
(20,11),-3.57514 # DEPENDENCYPART_ARC
(20,12),-1.92258 # DEPENDENCYPART_ARC
(20,13),-0.609875 # DEPENDENCYPART_ARC
(20,14),-3.24304 # DEPENDENCYPART_ARC
(20,15),-1.13782 # DEPENDENCYPART_ARC
(20,16),-1.50796 # DEPENDENCYPART_ARC
(20,17),-2.56802 # DEPENDENCYPART_ARC
(20,18),0.460804 # DEPENDENCYPART_ARC
(20,19),0.188404 # DEPENDENCYPART_ARC
(20,21),3.89062 # DEPENDENCYPART_ARC
(20,22),0.111154 # DEPENDENCYPART_ARC
(21,1),-10.887 # DEPENDENCYPART_ARC
(21,2),-1.62158 # DEPENDENCYPART_ARC
(21,3),-7.18812 # DEPENDENCYPART_ARC
(21,4),-4.90472 # DEPENDENCYPART_ARC
(21,5),-1.87169 # DEPENDENCYPART_ARC
(21,6),-3.83306 # DEPENDENCYPART_ARC
(21,7),-1.78211 # DEPENDENCYPART_ARC
(21,8),-2.90269 # DEPENDENCYPART_ARC
(21,9),-2.96998 # DEPENDENCYPART_ARC
(21,10),-8.11058 # DEPENDENCYPART_ARC
(21,11),-3.08535 # DEPENDENCYPART_ARC
(21,12),-1.60603 # DEPENDENCYPART_ARC
(21,13),-5.80208 # DEPENDENCYPART_ARC
(21,14),-7.68738 # DEPENDENCYPART_ARC
(21,15),-1.01516 # DEPENDENCYPART_ARC
(21,16),-1.22257 # DEPENDENCYPART_ARC
(21,17),-2.16405 # DEPENDENCYPART_ARC
(21,18),0.156995 # DEPENDENCYPART_ARC
(21,19),-1.12072 # DEPENDENCYPART_ARC
(21,20),-2.28143 # DEPENDENCYPART_ARC
(21,22),0.319432 # DEPENDENCYPART_ARC
(22,1),-7.8149 # DEPENDENCYPART_ARC
(22,2),-4.96918 # DEPENDENCYPART_ARC
(22,3),-4.68768 # DEPENDENCYPART_ARC
(22,4),-3.88127 # DEPENDENCYPART_ARC
(22,5),-4.70855 # DEPENDENCYPART_ARC
(22,6),-5.50163 # DEPENDENCYPART_ARC
(22,7),-5.46238 # DEPENDENCYPART_ARC
(22,8),-4.2491 # DEPENDENCYPART_ARC
(22,9),-5.13933 # DEPENDENCYPART_ARC
(22,10),-4.78733 # DEPENDENCYPART_ARC
(22,11),-3.7999 # DEPENDENCYPART_ARC
(22,12),-4.06731 # DEPENDENCYPART_ARC
(22,13),-4.04313 # DEPENDENCYPART_ARC
(22,14),-3.87812 # DEPENDENCYPART_ARC
(22,15),-3.53843 # DEPENDENCYPART_ARC
(22,16),-3.55267 # DEPENDENCYPART_ARC
(22,17),-3.70173 # DEPENDENCYPART_ARC
(22,18),-3.569 # DEPENDENCYPART_ARC
(22,19),-2.48177 # DEPENDENCYPART_ARC
(22,20),-3.2025 # DEPENDENCYPART_ARC
(22,21),-2.99084 # DEPENDENCYPART_ARC
