# _root_ Ptáte se , zda to byl Burdys , nebo Pouzar .
#goldHeads=0,1,4,1,6,4,9,9,6,9,0,
#predictedHeads=0,1,4,1,6,4,6,9,7,9,0,
(3,5),0.126274 # DEPENDENCYPART_ARC
(3,6),0.139744 # DEPENDENCYPART_ARC
(3,7),-1.21641 # DEPENDENCYPART_ARC
(3,8),-0.445386 # DEPENDENCYPART_ARC
(3,9),-0.937513 # DEPENDENCYPART_ARC
(3,10),-2.02568 # DEPENDENCYPART_ARC
(3,11),-0.679305 # DEPENDENCYPART_ARC
(4,1),-0.199304 # DEPENDENCYPART_ARC
(4,2),-0.136639 # DEPENDENCYPART_ARC
(4,3),2.12819 # DEPENDENCYPART_ARC
(4,5),-0.11605 # DEPENDENCYPART_ARC
(4,6),2.10427 # DEPENDENCYPART_ARC
(4,7),-0.322977 # DEPENDENCYPART_ARC
(4,8),1.17437 # DEPENDENCYPART_ARC
(4,9),0.858174 # DEPENDENCYPART_ARC
(4,10),-0.931275 # DEPENDENCYPART_ARC
(4,11),0.544627 # DEPENDENCYPART_ARC
(5,1),-1.95584 # DEPENDENCYPART_ARC
(5,2),-1.01577 # DEPENDENCYPART_ARC
(5,3),-0.0859263 # DEPENDENCYPART_ARC
(5,4),0.593498 # DEPENDENCYPART_ARC
(5,6),0.0959351 # DEPENDENCYPART_ARC
(5,7),-0.664686 # DEPENDENCYPART_ARC
(5,8),-0.103578 # DEPENDENCYPART_ARC
(5,9),-0.52201 # DEPENDENCYPART_ARC
(5,10),-1.3466 # DEPENDENCYPART_ARC
(5,11),-0.474805 # DEPENDENCYPART_ARC
(6,1),0.221432 # DEPENDENCYPART_ARC
(6,2),-0.565909 # DEPENDENCYPART_ARC
(6,3),0.20851 # DEPENDENCYPART_ARC
(6,4),-0.071745 # DEPENDENCYPART_ARC
(6,5),2.89073 # DEPENDENCYPART_ARC
(6,7),3.41292 # DEPENDENCYPART_ARC
(6,8),0.616805 # DEPENDENCYPART_ARC
(6,9),0.512198 # DEPENDENCYPART_ARC
(6,10),0.0476426 # DEPENDENCYPART_ARC
(6,11),-0.682561 # DEPENDENCYPART_ARC
(7,1),-2.14809 # DEPENDENCYPART_ARC
(7,2),-4.10246 # DEPENDENCYPART_ARC
(7,3),-0.305172 # DEPENDENCYPART_ARC
(7,4),-0.0832648 # DEPENDENCYPART_ARC
(7,5),1.01764 # DEPENDENCYPART_ARC
(7,6),-2.66718 # DEPENDENCYPART_ARC
(7,8),-0.123907 # DEPENDENCYPART_ARC
(7,9),0.905566 # DEPENDENCYPART_ARC
(7,10),-2.15441 # DEPENDENCYPART_ARC
(7,11),-1.01682 # DEPENDENCYPART_ARC
(8,1),-0.879776 # DEPENDENCYPART_ARC
(8,2),-1.01476 # DEPENDENCYPART_ARC
(8,3),0.125514 # DEPENDENCYPART_ARC
(8,4),0.279783 # DEPENDENCYPART_ARC
(8,5),-0.444398 # DEPENDENCYPART_ARC
(8,6),-0.395422 # DEPENDENCYPART_ARC
(8,7),-0.376683 # DEPENDENCYPART_ARC
(8,9),-0.567264 # DEPENDENCYPART_ARC
(8,10),-0.318491 # DEPENDENCYPART_ARC
(8,11),-1.04029 # DEPENDENCYPART_ARC
(9,1),0.100825 # DEPENDENCYPART_ARC
(9,2),0.360445 # DEPENDENCYPART_ARC
(9,3),0.702108 # DEPENDENCYPART_ARC
(9,4),0.572033 # DEPENDENCYPART_ARC
(9,5),0.672357 # DEPENDENCYPART_ARC
(9,6),0.575351 # DEPENDENCYPART_ARC
(9,7),3.09726 # DEPENDENCYPART_ARC
(9,8),2.45364 # DEPENDENCYPART_ARC
(9,10),2.91065 # DEPENDENCYPART_ARC
(9,11),0.634407 # DEPENDENCYPART_ARC
(10,1),-3.80791 # DEPENDENCYPART_ARC
(10,2),-6.61332 # DEPENDENCYPART_ARC
(10,3),-1.70835 # DEPENDENCYPART_ARC
(10,4),-2.52383 # DEPENDENCYPART_ARC
(10,5),-2.06954 # DEPENDENCYPART_ARC
(10,6),-5.24494 # DEPENDENCYPART_ARC
(10,7),-0.867811 # DEPENDENCYPART_ARC
(10,8),-0.574606 # DEPENDENCYPART_ARC
(10,9),-0.656486 # DEPENDENCYPART_ARC
(10,11),0.974779 # DEPENDENCYPART_ARC
(11,1),-3.98498 # DEPENDENCYPART_ARC
(11,2),-3.6535 # DEPENDENCYPART_ARC
(11,3),-2.92376 # DEPENDENCYPART_ARC
(11,4),-3.36893 # DEPENDENCYPART_ARC
(11,5),-3.09327 # DEPENDENCYPART_ARC
(11,6),-3.22024 # DEPENDENCYPART_ARC
(11,7),-2.06414 # DEPENDENCYPART_ARC
(11,8),-2.01898 # DEPENDENCYPART_ARC
(11,9),-3.2506 # DEPENDENCYPART_ARC
(11,10),-2.71512 # DEPENDENCYPART_ARC
