# _root_ Dochovala se v podobě překrásného iluminovaného rukopisu , v němž jsou nejen popsány , ale i vyobrazeny scény ze středověkého městského dění .
#goldHeads=0,1,1,3,7,7,4,11,11,9,7,13,15,15,11,17,15,11,18,22,22,19,0,
#predictedHeads=0,1,1,3,7,7,4,11,13,9,13,13,15,15,1,17,15,17,18,22,22,19,0,
(6,13),-3.08905 # DEPENDENCYPART_ARC
(6,14),-1.68248 # DEPENDENCYPART_ARC
(6,15),-1.44285 # DEPENDENCYPART_ARC
(6,16),-1.83735 # DEPENDENCYPART_ARC
(6,17),-3.80213 # DEPENDENCYPART_ARC
(6,18),-5.14839 # DEPENDENCYPART_ARC
(6,19),-2.61201 # DEPENDENCYPART_ARC
(6,20),-5.77304 # DEPENDENCYPART_ARC
(6,21),-5.80002 # DEPENDENCYPART_ARC
(6,22),-5.75924 # DEPENDENCYPART_ARC
(6,23),-3.22573 # DEPENDENCYPART_ARC
(7,1),-3.22336 # DEPENDENCYPART_ARC
(7,2),-1.94705 # DEPENDENCYPART_ARC
(7,3),-0.562567 # DEPENDENCYPART_ARC
(7,4),-2.45137 # DEPENDENCYPART_ARC
(7,5),5.00161 # DEPENDENCYPART_ARC
(7,6),5.42319 # DEPENDENCYPART_ARC
(7,8),-0.504393 # DEPENDENCYPART_ARC
(7,9),-0.60964 # DEPENDENCYPART_ARC
(7,10),-1.88404 # DEPENDENCYPART_ARC
(7,11),0.445825 # DEPENDENCYPART_ARC
(7,12),-0.380456 # DEPENDENCYPART_ARC
(7,13),-0.14129 # DEPENDENCYPART_ARC
(7,14),-0.618909 # DEPENDENCYPART_ARC
(7,15),-0.0551567 # DEPENDENCYPART_ARC
(7,16),-1.41825 # DEPENDENCYPART_ARC
(7,17),-2.72758 # DEPENDENCYPART_ARC
(7,18),-5.65227 # DEPENDENCYPART_ARC
(7,19),-2.27314 # DEPENDENCYPART_ARC
(7,20),-3.87986 # DEPENDENCYPART_ARC
(7,21),-3.6439 # DEPENDENCYPART_ARC
(7,22),-3.2969 # DEPENDENCYPART_ARC
(7,23),-5.04267 # DEPENDENCYPART_ARC
(8,1),-0.124933 # DEPENDENCYPART_ARC
(8,2),-1.15048 # DEPENDENCYPART_ARC
(8,3),0.320858 # DEPENDENCYPART_ARC
(8,4),-0.0141694 # DEPENDENCYPART_ARC
(8,5),-0.104802 # DEPENDENCYPART_ARC
(8,6),-0.126122 # DEPENDENCYPART_ARC
(8,7),-0.473147 # DEPENDENCYPART_ARC
(8,9),0.436282 # DEPENDENCYPART_ARC
(8,11),0.705796 # DEPENDENCYPART_ARC
(8,12),-0.292025 # DEPENDENCYPART_ARC
(8,13),-0.371812 # DEPENDENCYPART_ARC
(8,14),-0.0776988 # DEPENDENCYPART_ARC
(8,15),-0.0979472 # DEPENDENCYPART_ARC
(8,16),-1.02964 # DEPENDENCYPART_ARC
(8,17),-1.56201 # DEPENDENCYPART_ARC
(8,18),-2.78761 # DEPENDENCYPART_ARC
(8,19),-2.17717 # DEPENDENCYPART_ARC
(8,20),-2.65611 # DEPENDENCYPART_ARC
(8,21),-2.5325 # DEPENDENCYPART_ARC
(8,22),-2.68695 # DEPENDENCYPART_ARC
(8,23),-0.689182 # DEPENDENCYPART_ARC
(9,1),-3.73969 # DEPENDENCYPART_ARC
(9,3),-3.358 # DEPENDENCYPART_ARC
(9,4),-2.26319 # DEPENDENCYPART_ARC
(9,5),-3.24262 # DEPENDENCYPART_ARC
(9,6),-3.00936 # DEPENDENCYPART_ARC
(9,7),-3.0191 # DEPENDENCYPART_ARC
(9,8),-0.732779 # DEPENDENCYPART_ARC
(9,10),4.19127 # DEPENDENCYPART_ARC
(9,11),-0.78901 # DEPENDENCYPART_ARC
(9,12),-0.52855 # DEPENDENCYPART_ARC
(9,14),-1.51669 # DEPENDENCYPART_ARC
(9,15),-1.20523 # DEPENDENCYPART_ARC
(9,16),-2.36572 # DEPENDENCYPART_ARC
(9,18),-4.62659 # DEPENDENCYPART_ARC
(9,19),-2.07494 # DEPENDENCYPART_ARC
(9,20),-3.22304 # DEPENDENCYPART_ARC
(9,21),-3.33112 # DEPENDENCYPART_ARC
(9,22),-5.02179 # DEPENDENCYPART_ARC
(9,23),-2.83106 # DEPENDENCYPART_ARC
(11,1),-1.78625 # DEPENDENCYPART_ARC
(11,2),0.0227822 # DEPENDENCYPART_ARC
(11,3),0.295172 # DEPENDENCYPART_ARC
(11,4),-1.15406 # DEPENDENCYPART_ARC
(11,5),-4.72796 # DEPENDENCYPART_ARC
(11,6),-4.20972 # DEPENDENCYPART_ARC
(11,7),-3.09732 # DEPENDENCYPART_ARC
(11,8),1.64317 # DEPENDENCYPART_ARC
(11,9),2.39698 # DEPENDENCYPART_ARC
(11,12),0.64411 # DEPENDENCYPART_ARC
(11,13),2.34349 # DEPENDENCYPART_ARC
(11,14),0.645771 # DEPENDENCYPART_ARC
(11,15),1.65701 # DEPENDENCYPART_ARC
(11,16),-0.741034 # DEPENDENCYPART_ARC
(11,17),-1.06424 # DEPENDENCYPART_ARC
(11,18),-0.273442 # DEPENDENCYPART_ARC
(11,19),-0.794639 # DEPENDENCYPART_ARC
(11,20),-5.89781 # DEPENDENCYPART_ARC
(11,21),-6.38345 # DEPENDENCYPART_ARC
(11,22),-2.91416 # DEPENDENCYPART_ARC
(11,23),-0.373257 # DEPENDENCYPART_ARC
(12,1),-2.23239 # DEPENDENCYPART_ARC
(12,3),-1.60771 # DEPENDENCYPART_ARC
(12,4),-1.65715 # DEPENDENCYPART_ARC
(12,5),-1.99274 # DEPENDENCYPART_ARC
(12,6),-1.89761 # DEPENDENCYPART_ARC
(12,7),-1.51658 # DEPENDENCYPART_ARC
(12,8),-0.93092 # DEPENDENCYPART_ARC
(12,9),-0.811959 # DEPENDENCYPART_ARC
(12,11),-0.132899 # DEPENDENCYPART_ARC
(12,13),0.377312 # DEPENDENCYPART_ARC
(12,14),-0.691026 # DEPENDENCYPART_ARC
(12,15),-1.02724 # DEPENDENCYPART_ARC
(12,16),-1.06963 # DEPENDENCYPART_ARC
(12,17),-1.26281 # DEPENDENCYPART_ARC
(12,18),-1.95176 # DEPENDENCYPART_ARC
(12,20),-2.31809 # DEPENDENCYPART_ARC
(12,21),-2.38731 # DEPENDENCYPART_ARC
(12,22),-2.26962 # DEPENDENCYPART_ARC
(12,23),-1.62572 # DEPENDENCYPART_ARC
(13,1),1.05997 # DEPENDENCYPART_ARC
(13,3),1.42947 # DEPENDENCYPART_ARC
(13,4),-0.781745 # DEPENDENCYPART_ARC
(13,5),-5.53144 # DEPENDENCYPART_ARC
(13,6),-5.41933 # DEPENDENCYPART_ARC
(13,7),-2.22043 # DEPENDENCYPART_ARC
(13,8),0.918597 # DEPENDENCYPART_ARC
(13,9),2.80872 # DEPENDENCYPART_ARC
(13,11),2.48538 # DEPENDENCYPART_ARC
(13,12),2.23974 # DEPENDENCYPART_ARC
(13,14),0.395253 # DEPENDENCYPART_ARC
(13,15),1.22296 # DEPENDENCYPART_ARC
(13,16),-0.396337 # DEPENDENCYPART_ARC
(13,18),-1.08511 # DEPENDENCYPART_ARC
(13,19),-0.894586 # DEPENDENCYPART_ARC
(13,20),-5.38287 # DEPENDENCYPART_ARC
(13,21),-5.71229 # DEPENDENCYPART_ARC
(13,22),-3.58818 # DEPENDENCYPART_ARC
(13,23),-1.34628 # DEPENDENCYPART_ARC
(14,1),-1.19787 # DEPENDENCYPART_ARC
(14,2),-1.78111 # DEPENDENCYPART_ARC
(14,3),-1.16171 # DEPENDENCYPART_ARC
(14,4),-1.62961 # DEPENDENCYPART_ARC
(14,5),-1.95834 # DEPENDENCYPART_ARC
(14,6),-1.92936 # DEPENDENCYPART_ARC
(14,7),-1.56974 # DEPENDENCYPART_ARC
(14,8),-0.425798 # DEPENDENCYPART_ARC
(14,9),-0.709897 # DEPENDENCYPART_ARC
(14,11),-0.228205 # DEPENDENCYPART_ARC
(14,12),-0.306453 # DEPENDENCYPART_ARC
(14,13),-0.603034 # DEPENDENCYPART_ARC
(14,15),0.0565647 # DEPENDENCYPART_ARC
(14,16),-0.668817 # DEPENDENCYPART_ARC
(14,17),-1.00757 # DEPENDENCYPART_ARC
(14,18),-1.83732 # DEPENDENCYPART_ARC
(14,19),-1.39005 # DEPENDENCYPART_ARC
(14,20),-1.80669 # DEPENDENCYPART_ARC
(14,21),-1.61988 # DEPENDENCYPART_ARC
(14,22),-2.21734 # DEPENDENCYPART_ARC
(14,23),-1.37315 # DEPENDENCYPART_ARC
(15,1),0.359353 # DEPENDENCYPART_ARC
(15,2),0.0260308 # DEPENDENCYPART_ARC
(15,3),0.151581 # DEPENDENCYPART_ARC
(15,4),0.473549 # DEPENDENCYPART_ARC
(15,5),-0.626814 # DEPENDENCYPART_ARC
(15,6),-0.193174 # DEPENDENCYPART_ARC
(15,7),0.260003 # DEPENDENCYPART_ARC
(15,8),0.895064 # DEPENDENCYPART_ARC
(15,9),0.206408 # DEPENDENCYPART_ARC
(15,11),0.472825 # DEPENDENCYPART_ARC
(15,12),1.05276 # DEPENDENCYPART_ARC
(15,13),1.59343 # DEPENDENCYPART_ARC
(15,14),3.74221 # DEPENDENCYPART_ARC
(15,16),1.04112 # DEPENDENCYPART_ARC
(15,17),1.32632 # DEPENDENCYPART_ARC
(15,18),-0.0932531 # DEPENDENCYPART_ARC
(15,19),0.145502 # DEPENDENCYPART_ARC
(15,20),-0.276201 # DEPENDENCYPART_ARC
(15,21),-0.481135 # DEPENDENCYPART_ARC
(15,22),-0.229854 # DEPENDENCYPART_ARC
(15,23),-0.026082 # DEPENDENCYPART_ARC
(16,1),-1.90824 # DEPENDENCYPART_ARC
(16,2),-1.27517 # DEPENDENCYPART_ARC
(16,3),-1.84291 # DEPENDENCYPART_ARC
(16,4),-2.3255 # DEPENDENCYPART_ARC
(16,5),-2.8933 # DEPENDENCYPART_ARC
(16,6),-2.55665 # DEPENDENCYPART_ARC
(16,7),-2.87298 # DEPENDENCYPART_ARC
(16,8),-1.45133 # DEPENDENCYPART_ARC
(16,9),-1.25555 # DEPENDENCYPART_ARC
(16,11),-1.09844 # DEPENDENCYPART_ARC
(16,12),-0.65575 # DEPENDENCYPART_ARC
(16,13),-1.14274 # DEPENDENCYPART_ARC
(16,14),1.02623 # DEPENDENCYPART_ARC
(16,15),0.308641 # DEPENDENCYPART_ARC
(16,17),0.68618 # DEPENDENCYPART_ARC
(16,18),0.300679 # DEPENDENCYPART_ARC
(16,19),-0.372443 # DEPENDENCYPART_ARC
(16,20),-1.11576 # DEPENDENCYPART_ARC
(16,21),-1.11617 # DEPENDENCYPART_ARC
(16,22),-1.5062 # DEPENDENCYPART_ARC
(16,23),-0.77621 # DEPENDENCYPART_ARC
(17,1),0.216983 # DEPENDENCYPART_ARC
(17,3),-0.222777 # DEPENDENCYPART_ARC
(17,4),-2.0101 # DEPENDENCYPART_ARC
(17,5),-6.11624 # DEPENDENCYPART_ARC
(17,6),-5.94569 # DEPENDENCYPART_ARC
(17,7),-3.60053 # DEPENDENCYPART_ARC
(17,8),-0.174258 # DEPENDENCYPART_ARC
(17,9),0.840934 # DEPENDENCYPART_ARC
(17,11),0.474657 # DEPENDENCYPART_ARC
(17,12),0.388568 # DEPENDENCYPART_ARC
(17,14),0.948532 # DEPENDENCYPART_ARC
(17,15),0.994314 # DEPENDENCYPART_ARC
(17,16),2.0579 # DEPENDENCYPART_ARC
(17,18),2.42115 # DEPENDENCYPART_ARC
(17,19),1.33545 # DEPENDENCYPART_ARC
(17,20),-2.55946 # DEPENDENCYPART_ARC
(17,21),-3.06021 # DEPENDENCYPART_ARC
(17,22),-1.15393 # DEPENDENCYPART_ARC
(17,23),-0.509069 # DEPENDENCYPART_ARC
(18,1),-4.54765 # DEPENDENCYPART_ARC
(18,2),-6.10009 # DEPENDENCYPART_ARC
(18,3),-3.17493 # DEPENDENCYPART_ARC
(18,4),-6.15158 # DEPENDENCYPART_ARC
(18,5),-7.10023 # DEPENDENCYPART_ARC
(18,6),-7.10894 # DEPENDENCYPART_ARC
(18,7),-7.09009 # DEPENDENCYPART_ARC
(18,8),-2.23506 # DEPENDENCYPART_ARC
(18,9),-0.536068 # DEPENDENCYPART_ARC
(18,10),-5.07399 # DEPENDENCYPART_ARC
(18,11),-2.10223 # DEPENDENCYPART_ARC
(18,12),-0.454209 # DEPENDENCYPART_ARC
(18,13),-1.19516 # DEPENDENCYPART_ARC
(18,14),-0.415052 # DEPENDENCYPART_ARC
(18,15),-0.128197 # DEPENDENCYPART_ARC
(18,16),1.10643 # DEPENDENCYPART_ARC
(18,17),-0.0103031 # DEPENDENCYPART_ARC
(18,19),2.19486 # DEPENDENCYPART_ARC
(18,20),-2.87156 # DEPENDENCYPART_ARC
(18,21),-2.97344 # DEPENDENCYPART_ARC
(18,22),0.366364 # DEPENDENCYPART_ARC
(18,23),-0.942004 # DEPENDENCYPART_ARC
(19,3),-3.42472 # DEPENDENCYPART_ARC
(19,4),-2.36539 # DEPENDENCYPART_ARC
(19,5),-3.24962 # DEPENDENCYPART_ARC
(19,6),-3.21654 # DEPENDENCYPART_ARC
(19,7),-3.22131 # DEPENDENCYPART_ARC
(19,8),-1.40576 # DEPENDENCYPART_ARC
(19,9),-2.8757 # DEPENDENCYPART_ARC
(19,14),-0.0360118 # DEPENDENCYPART_ARC
(19,15),-1.20547 # DEPENDENCYPART_ARC
(19,16),-1.1445 # DEPENDENCYPART_ARC
(19,18),-1.80823 # DEPENDENCYPART_ARC
(19,20),1.35367 # DEPENDENCYPART_ARC
(19,21),0.90623 # DEPENDENCYPART_ARC
(19,22),3.22986 # DEPENDENCYPART_ARC
(19,23),-0.0686927 # DEPENDENCYPART_ARC
(20,1),-6.2431 # DEPENDENCYPART_ARC
(20,2),-3.00102 # DEPENDENCYPART_ARC
(20,3),-4.07193 # DEPENDENCYPART_ARC
(20,4),-6.20602 # DEPENDENCYPART_ARC
(20,5),-4.60475 # DEPENDENCYPART_ARC
(20,6),-4.64556 # DEPENDENCYPART_ARC
(20,7),-5.08042 # DEPENDENCYPART_ARC
(20,8),-2.81994 # DEPENDENCYPART_ARC
(20,9),-3.23357 # DEPENDENCYPART_ARC
(20,11),-6.10059 # DEPENDENCYPART_ARC
(20,12),-1.51207 # DEPENDENCYPART_ARC
(20,13),-5.68947 # DEPENDENCYPART_ARC
(20,14),-1.61694 # DEPENDENCYPART_ARC
(20,15),-1.65524 # DEPENDENCYPART_ARC
(20,16),-1.02315 # DEPENDENCYPART_ARC
(20,17),-4.91543 # DEPENDENCYPART_ARC
(20,18),-3.54368 # DEPENDENCYPART_ARC
(20,19),-0.715262 # DEPENDENCYPART_ARC
(20,21),-1.80375 # DEPENDENCYPART_ARC
(20,22),-0.760675 # DEPENDENCYPART_ARC
(20,23),-0.449004 # DEPENDENCYPART_ARC
(21,1),-6.00301 # DEPENDENCYPART_ARC
(21,2),-2.71255 # DEPENDENCYPART_ARC
(21,3),-3.75227 # DEPENDENCYPART_ARC
(21,4),-5.94347 # DEPENDENCYPART_ARC
(21,5),-4.27823 # DEPENDENCYPART_ARC
(21,6),-4.40509 # DEPENDENCYPART_ARC
(21,7),-5.02138 # DEPENDENCYPART_ARC
(21,8),-2.86574 # DEPENDENCYPART_ARC
(21,9),-2.98504 # DEPENDENCYPART_ARC
(21,11),-5.90038 # DEPENDENCYPART_ARC
(21,12),-1.30176 # DEPENDENCYPART_ARC
(21,13),-5.46604 # DEPENDENCYPART_ARC
(21,14),-1.6462 # DEPENDENCYPART_ARC
(21,15),-1.73282 # DEPENDENCYPART_ARC
(21,16),-0.933288 # DEPENDENCYPART_ARC
(21,17),-4.84098 # DEPENDENCYPART_ARC
(21,18),-3.76594 # DEPENDENCYPART_ARC
(21,19),-0.801995 # DEPENDENCYPART_ARC
(21,20),-0.345337 # DEPENDENCYPART_ARC
(21,22),-0.819639 # DEPENDENCYPART_ARC
(21,23),-0.518064 # DEPENDENCYPART_ARC
(22,1),-4.08857 # DEPENDENCYPART_ARC
(22,2),-5.29599 # DEPENDENCYPART_ARC
(22,3),-4.12579 # DEPENDENCYPART_ARC
(22,4),-7.95509 # DEPENDENCYPART_ARC
(22,5),-2.77989 # DEPENDENCYPART_ARC
(22,6),-3.02049 # DEPENDENCYPART_ARC
(22,7),-6.48432 # DEPENDENCYPART_ARC
(22,8),-2.42442 # DEPENDENCYPART_ARC
(22,9),-2.02987 # DEPENDENCYPART_ARC
(22,10),-1.18562 # DEPENDENCYPART_ARC
(22,11),-2.30654 # DEPENDENCYPART_ARC
(22,12),-0.272064 # DEPENDENCYPART_ARC
(22,13),-2.32618 # DEPENDENCYPART_ARC
(22,14),-0.820107 # DEPENDENCYPART_ARC
(22,15),-0.716374 # DEPENDENCYPART_ARC
(22,16),0.164683 # DEPENDENCYPART_ARC
(22,17),-2.02824 # DEPENDENCYPART_ARC
(22,18),-4.84176 # DEPENDENCYPART_ARC
(22,19),0.0393507 # DEPENDENCYPART_ARC
(22,20),5.17794 # DEPENDENCYPART_ARC
(22,21),5.13829 # DEPENDENCYPART_ARC
(22,23),0.491159 # DEPENDENCYPART_ARC
(23,1),-5.21638 # DEPENDENCYPART_ARC
(23,2),-5.02959 # DEPENDENCYPART_ARC
(23,3),-4.88239 # DEPENDENCYPART_ARC
(23,4),-5.30426 # DEPENDENCYPART_ARC
(23,5),-4.93327 # DEPENDENCYPART_ARC
(23,6),-4.73713 # DEPENDENCYPART_ARC
(23,7),-5.32439 # DEPENDENCYPART_ARC
(23,8),-4.14078 # DEPENDENCYPART_ARC
(23,9),-4.19056 # DEPENDENCYPART_ARC
(23,11),-4.24639 # DEPENDENCYPART_ARC
(23,12),-3.34935 # DEPENDENCYPART_ARC
(23,13),-3.9977 # DEPENDENCYPART_ARC
(23,14),-3.65464 # DEPENDENCYPART_ARC
(23,15),-3.53487 # DEPENDENCYPART_ARC
(23,16),-3.37673 # DEPENDENCYPART_ARC
(23,17),-3.58666 # DEPENDENCYPART_ARC
(23,18),-3.30308 # DEPENDENCYPART_ARC
(23,19),-3.33611 # DEPENDENCYPART_ARC
(23,20),-2.49634 # DEPENDENCYPART_ARC
(23,21),-2.78511 # DEPENDENCYPART_ARC
(23,22),-3.28741 # DEPENDENCYPART_ARC
