# _root_ Pro pedagogický dozor může být potěšující , že jejich účast při soutěžích bude odměňována podle zákona o cestovních náhradách , a v tomto směru jsou postaveni na roveň ostatním pracovníkům vyslaným na služební cestu .
#goldHeads=4,3,1,21,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,8,0,25,24,22,21,25,26,27,30,28,30,31,34,32,0,
#predictedHeads=4,3,1,0,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,21,14,26,24,22,21,25,26,27,30,26,30,31,34,32,0,
(1,28),-12.1132 # DEPENDENCYPART_ARC
(1,29),-3.73056 # DEPENDENCYPART_ARC
(1,30),-14.5831 # DEPENDENCYPART_ARC
(1,31),-3.30089 # DEPENDENCYPART_ARC
(1,32),-3.9276 # DEPENDENCYPART_ARC
(1,33),-3.30992 # DEPENDENCYPART_ARC
(1,34),-14.2697 # DEPENDENCYPART_ARC
(1,35),-7.19474 # DEPENDENCYPART_ARC
(2,1),-0.268146 # DEPENDENCYPART_ARC
(2,3),-0.293428 # DEPENDENCYPART_ARC
(2,4),-2.47399 # DEPENDENCYPART_ARC
(2,5),-1.08863 # DEPENDENCYPART_ARC
(2,6),-3.32704 # DEPENDENCYPART_ARC
(2,7),-1.57658 # DEPENDENCYPART_ARC
(2,8),-1.03924 # DEPENDENCYPART_ARC
(2,9),-5.038 # DEPENDENCYPART_ARC
(2,10),-4.60041 # DEPENDENCYPART_ARC
(2,11),-2.54403 # DEPENDENCYPART_ARC
(2,12),-4.44619 # DEPENDENCYPART_ARC
(2,13),-4.48212 # DEPENDENCYPART_ARC
(2,14),-3.98388 # DEPENDENCYPART_ARC
(2,15),-3.08329 # DEPENDENCYPART_ARC
(2,16),-6.24112 # DEPENDENCYPART_ARC
(2,17),-4.07168 # DEPENDENCYPART_ARC
(2,18),-6.06421 # DEPENDENCYPART_ARC
(2,19),-6.2901 # DEPENDENCYPART_ARC
(2,20),-2.27788 # DEPENDENCYPART_ARC
(2,21),-3.10239 # DEPENDENCYPART_ARC
(2,22),-4.81711 # DEPENDENCYPART_ARC
(2,23),-4.55276 # DEPENDENCYPART_ARC
(2,24),-7.72194 # DEPENDENCYPART_ARC
(2,25),-6.30435 # DEPENDENCYPART_ARC
(2,26),-5.31604 # DEPENDENCYPART_ARC
(2,27),-5.14908 # DEPENDENCYPART_ARC
(2,28),-9.65933 # DEPENDENCYPART_ARC
(2,29),-4.49872 # DEPENDENCYPART_ARC
(2,30),-8.29976 # DEPENDENCYPART_ARC
(2,31),-4.61976 # DEPENDENCYPART_ARC
(2,32),-5.69441 # DEPENDENCYPART_ARC
(2,33),-6.6036 # DEPENDENCYPART_ARC
(2,34),-10.7647 # DEPENDENCYPART_ARC
(2,35),-6.95584 # DEPENDENCYPART_ARC
(3,1),0.236116 # DEPENDENCYPART_ARC
(3,2),5.93218 # DEPENDENCYPART_ARC
(3,4),-1.15624 # DEPENDENCYPART_ARC
(3,5),-0.308502 # DEPENDENCYPART_ARC
(3,6),-2.84912 # DEPENDENCYPART_ARC
(3,7),-1.03524 # DEPENDENCYPART_ARC
(3,8),-1.4679 # DEPENDENCYPART_ARC
(3,9),-2.92478 # DEPENDENCYPART_ARC
(3,10),-2.73872 # DEPENDENCYPART_ARC
(3,11),-1.61584 # DEPENDENCYPART_ARC
(3,12),-2.64259 # DEPENDENCYPART_ARC
(3,13),-4.44139 # DEPENDENCYPART_ARC
(3,14),-5.09688 # DEPENDENCYPART_ARC
(3,15),-3.73655 # DEPENDENCYPART_ARC
(3,16),-3.4107 # DEPENDENCYPART_ARC
(3,17),-2.75275 # DEPENDENCYPART_ARC
(3,18),-6.61682 # DEPENDENCYPART_ARC
(3,19),-4.77797 # DEPENDENCYPART_ARC
(3,20),-2.06299 # DEPENDENCYPART_ARC
(3,21),-2.53506 # DEPENDENCYPART_ARC
(3,22),-5.06559 # DEPENDENCYPART_ARC
(3,23),-3.3524 # DEPENDENCYPART_ARC
(3,24),-5.61533 # DEPENDENCYPART_ARC
(3,25),-8.49173 # DEPENDENCYPART_ARC
(3,26),-8.18357 # DEPENDENCYPART_ARC
(3,27),-6.02285 # DEPENDENCYPART_ARC
(3,28),-9.19587 # DEPENDENCYPART_ARC
(3,29),-6.80502 # DEPENDENCYPART_ARC
(3,30),-9.60026 # DEPENDENCYPART_ARC
(3,31),-6.68215 # DEPENDENCYPART_ARC
(3,32),-5.8221 # DEPENDENCYPART_ARC
(3,33),-6.98429 # DEPENDENCYPART_ARC
(3,34),-10.0771 # DEPENDENCYPART_ARC
(3,35),-13.8517 # DEPENDENCYPART_ARC
(4,1),2.84604 # DEPENDENCYPART_ARC
(4,2),-1.46695 # DEPENDENCYPART_ARC
(4,3),1.88968 # DEPENDENCYPART_ARC
(4,5),3.52954 # DEPENDENCYPART_ARC
(4,6),0.934814 # DEPENDENCYPART_ARC
(4,7),0.560964 # DEPENDENCYPART_ARC
(4,8),1.54808 # DEPENDENCYPART_ARC
(4,9),-5.06219 # DEPENDENCYPART_ARC
(4,10),-0.943942 # DEPENDENCYPART_ARC
(4,11),0.387695 # DEPENDENCYPART_ARC
(4,12),-4.18647 # DEPENDENCYPART_ARC
(4,13),-1.79728 # DEPENDENCYPART_ARC
(4,14),-0.331888 # DEPENDENCYPART_ARC
(4,15),-0.476196 # DEPENDENCYPART_ARC
(4,16),-5.56706 # DEPENDENCYPART_ARC
(4,17),-1.7966 # DEPENDENCYPART_ARC
(4,18),-9.06657 # DEPENDENCYPART_ARC
(4,19),-5.01289 # DEPENDENCYPART_ARC
(4,20),0.0700925 # DEPENDENCYPART_ARC
(4,21),-0.220289 # DEPENDENCYPART_ARC
(4,22),-2.31263 # DEPENDENCYPART_ARC
(4,23),-6.23396 # DEPENDENCYPART_ARC
(4,24),-6.74688 # DEPENDENCYPART_ARC
(4,25),-3.24219 # DEPENDENCYPART_ARC
(4,26),-2.24181 # DEPENDENCYPART_ARC
(4,27),-3.84833 # DEPENDENCYPART_ARC
(4,28),-7.2119 # DEPENDENCYPART_ARC
(4,29),-8.3913 # DEPENDENCYPART_ARC
(4,30),-6.14626 # DEPENDENCYPART_ARC
(4,31),-7.92683 # DEPENDENCYPART_ARC
(4,32),-4.11268 # DEPENDENCYPART_ARC
(4,33),-9.84082 # DEPENDENCYPART_ARC
(4,34),-7.54261 # DEPENDENCYPART_ARC
(4,35),-2.28804 # DEPENDENCYPART_ARC
(5,1),1.79521 # DEPENDENCYPART_ARC
(5,2),-0.250557 # DEPENDENCYPART_ARC
(5,3),2.29577 # DEPENDENCYPART_ARC
(5,4),-0.630781 # DEPENDENCYPART_ARC
(5,6),3.34222 # DEPENDENCYPART_ARC
(5,7),0.191658 # DEPENDENCYPART_ARC
(5,8),0.358525 # DEPENDENCYPART_ARC
(5,9),-2.14694 # DEPENDENCYPART_ARC
(5,10),-2.58245 # DEPENDENCYPART_ARC
(5,11),-0.00747363 # DEPENDENCYPART_ARC
(5,12),-2.97287 # DEPENDENCYPART_ARC
(5,13),-0.882645 # DEPENDENCYPART_ARC
(5,14),-2.53607 # DEPENDENCYPART_ARC
(5,15),-0.64974 # DEPENDENCYPART_ARC
(5,16),-4.79953 # DEPENDENCYPART_ARC
(5,17),-1.77854 # DEPENDENCYPART_ARC
(5,18),-3.40061 # DEPENDENCYPART_ARC
(5,19),-3.13867 # DEPENDENCYPART_ARC
(5,20),-0.917331 # DEPENDENCYPART_ARC
(5,21),-0.949238 # DEPENDENCYPART_ARC
(5,22),-2.93912 # DEPENDENCYPART_ARC
(5,23),-4.52452 # DEPENDENCYPART_ARC
(5,24),-5.63936 # DEPENDENCYPART_ARC
(5,25),-4.55826 # DEPENDENCYPART_ARC
(5,26),-4.63755 # DEPENDENCYPART_ARC
(5,27),-2.60272 # DEPENDENCYPART_ARC
(5,28),-6.10223 # DEPENDENCYPART_ARC
(5,29),-3.03248 # DEPENDENCYPART_ARC
(5,30),-4.20579 # DEPENDENCYPART_ARC
(5,31),-1.9537 # DEPENDENCYPART_ARC
(5,32),-3.18126 # DEPENDENCYPART_ARC
(5,33),-4.09299 # DEPENDENCYPART_ARC
(5,34),-5.50984 # DEPENDENCYPART_ARC
(5,35),-2.82205 # DEPENDENCYPART_ARC
(6,1),-0.00753095 # DEPENDENCYPART_ARC
(6,2),-1.36623 # DEPENDENCYPART_ARC
(6,3),-1.4098 # DEPENDENCYPART_ARC
(6,4),-1.38102 # DEPENDENCYPART_ARC
(6,5),0.441257 # DEPENDENCYPART_ARC
(6,7),-0.0817961 # DEPENDENCYPART_ARC
(6,8),0.636121 # DEPENDENCYPART_ARC
(6,9),-0.535505 # DEPENDENCYPART_ARC
(6,10),-1.98731 # DEPENDENCYPART_ARC
(6,11),-1.01187 # DEPENDENCYPART_ARC
(6,12),-2.00872 # DEPENDENCYPART_ARC
(6,13),-1.80434 # DEPENDENCYPART_ARC
(6,14),-1.48946 # DEPENDENCYPART_ARC
(6,15),-1.68441 # DEPENDENCYPART_ARC
(6,16),-3.13089 # DEPENDENCYPART_ARC
(6,17),-2.37696 # DEPENDENCYPART_ARC
(6,18),-4.24967 # DEPENDENCYPART_ARC
(6,19),-3.85822 # DEPENDENCYPART_ARC
(6,20),-1.40078 # DEPENDENCYPART_ARC
(6,21),-1.74578 # DEPENDENCYPART_ARC
(6,22),-3.02611 # DEPENDENCYPART_ARC
(6,23),-2.73441 # DEPENDENCYPART_ARC
(6,24),-5.08654 # DEPENDENCYPART_ARC
(6,25),-3.07872 # DEPENDENCYPART_ARC
(6,26),-2.78776 # DEPENDENCYPART_ARC
(6,27),-3.0741 # DEPENDENCYPART_ARC
(6,28),-6.18106 # DEPENDENCYPART_ARC
(6,29),-3.66277 # DEPENDENCYPART_ARC
(6,30),-6.22379 # DEPENDENCYPART_ARC
(6,31),-3.80177 # DEPENDENCYPART_ARC
(6,32),-3.49251 # DEPENDENCYPART_ARC
(6,33),-4.6663 # DEPENDENCYPART_ARC
(6,34),-7.40123 # DEPENDENCYPART_ARC
(6,35),-5.7406 # DEPENDENCYPART_ARC
(7,1),-0.500543 # DEPENDENCYPART_ARC
(7,2),-0.380778 # DEPENDENCYPART_ARC
(7,3),-1.16982 # DEPENDENCYPART_ARC
(7,4),0.327538 # DEPENDENCYPART_ARC
(7,5),0.31903 # DEPENDENCYPART_ARC
(7,6),0.651136 # DEPENDENCYPART_ARC
(7,8),0.762507 # DEPENDENCYPART_ARC
(7,9),-0.284759 # DEPENDENCYPART_ARC
(7,10),-0.879815 # DEPENDENCYPART_ARC
(7,11),-0.746562 # DEPENDENCYPART_ARC
(7,12),-1.67586 # DEPENDENCYPART_ARC
(7,13),-0.036889 # DEPENDENCYPART_ARC
(7,14),-0.357852 # DEPENDENCYPART_ARC
(7,15),-1.69476 # DEPENDENCYPART_ARC
(7,16),-3.43022 # DEPENDENCYPART_ARC
(7,17),-1.69333 # DEPENDENCYPART_ARC
(7,18),-0.73257 # DEPENDENCYPART_ARC
(7,19),-3.70081 # DEPENDENCYPART_ARC
(7,20),-0.777668 # DEPENDENCYPART_ARC
(7,21),-1.11728 # DEPENDENCYPART_ARC
(7,22),-2.95998 # DEPENDENCYPART_ARC
(7,23),-1.50607 # DEPENDENCYPART_ARC
(7,24),-4.64197 # DEPENDENCYPART_ARC
(7,25),-2.0118 # DEPENDENCYPART_ARC
(7,26),-1.95466 # DEPENDENCYPART_ARC
(7,27),-3.98138 # DEPENDENCYPART_ARC
(7,28),-5.90956 # DEPENDENCYPART_ARC
(7,29),-1.73926 # DEPENDENCYPART_ARC
(7,30),-6.51334 # DEPENDENCYPART_ARC
(7,31),-2.91284 # DEPENDENCYPART_ARC
(7,32),-4.48422 # DEPENDENCYPART_ARC
(7,33),-2.10314 # DEPENDENCYPART_ARC
(7,34),-6.68972 # DEPENDENCYPART_ARC
(7,35),-2.04851 # DEPENDENCYPART_ARC
(8,1),-1.9203 # DEPENDENCYPART_ARC
(8,2),-2.12065 # DEPENDENCYPART_ARC
(8,3),-1.77824 # DEPENDENCYPART_ARC
(8,4),-0.772232 # DEPENDENCYPART_ARC
(8,5),-1.03188 # DEPENDENCYPART_ARC
(8,6),-0.299905 # DEPENDENCYPART_ARC
(8,7),2.93702 # DEPENDENCYPART_ARC
(8,9),0.507537 # DEPENDENCYPART_ARC
(8,10),-0.592704 # DEPENDENCYPART_ARC
(8,11),-0.723705 # DEPENDENCYPART_ARC
(8,12),-1.98314 # DEPENDENCYPART_ARC
(8,13),2.63612 # DEPENDENCYPART_ARC
(8,14),1.86626 # DEPENDENCYPART_ARC
(8,15),-1.72708 # DEPENDENCYPART_ARC
(8,16),-3.0826 # DEPENDENCYPART_ARC
(8,17),-1.96066 # DEPENDENCYPART_ARC
(8,18),-2.23005 # DEPENDENCYPART_ARC
(8,19),-2.89409 # DEPENDENCYPART_ARC
(8,20),1.04822 # DEPENDENCYPART_ARC
(8,21),0.688007 # DEPENDENCYPART_ARC
(8,22),-3.12162 # DEPENDENCYPART_ARC
(8,23),-2.0212 # DEPENDENCYPART_ARC
(8,24),-5.07622 # DEPENDENCYPART_ARC
(8,25),-0.254266 # DEPENDENCYPART_ARC
(8,26),0.0971129 # DEPENDENCYPART_ARC
(8,27),-3.29382 # DEPENDENCYPART_ARC
(8,28),-5.7369 # DEPENDENCYPART_ARC
(8,29),-3.63218 # DEPENDENCYPART_ARC
(8,30),-5.62809 # DEPENDENCYPART_ARC
(8,31),-4.44049 # DEPENDENCYPART_ARC
(8,32),-3.21036 # DEPENDENCYPART_ARC
(8,33),-4.5256 # DEPENDENCYPART_ARC
(8,34),-5.91749 # DEPENDENCYPART_ARC
(8,35),-2.19478 # DEPENDENCYPART_ARC
(9,1),-3.21912 # DEPENDENCYPART_ARC
(9,2),-4.75106 # DEPENDENCYPART_ARC
(9,3),-3.16228 # DEPENDENCYPART_ARC
(9,4),-3.35305 # DEPENDENCYPART_ARC
(9,5),-1.65724 # DEPENDENCYPART_ARC
(9,6),-2.16584 # DEPENDENCYPART_ARC
(9,7),-1.74147 # DEPENDENCYPART_ARC
(9,8),-1.21646 # DEPENDENCYPART_ARC
(9,10),-0.299956 # DEPENDENCYPART_ARC
(9,11),-1.00591 # DEPENDENCYPART_ARC
(9,12),-1.89553 # DEPENDENCYPART_ARC
(9,13),-4.93719 # DEPENDENCYPART_ARC
(9,14),-3.76251 # DEPENDENCYPART_ARC
(9,15),-1.58097 # DEPENDENCYPART_ARC
(9,16),-2.49128 # DEPENDENCYPART_ARC
(9,17),-1.42698 # DEPENDENCYPART_ARC
(9,18),-3.68507 # DEPENDENCYPART_ARC
(9,19),-2.85927 # DEPENDENCYPART_ARC
(9,20),-1.44526 # DEPENDENCYPART_ARC
(9,21),-1.32073 # DEPENDENCYPART_ARC
(9,22),-2.18359 # DEPENDENCYPART_ARC
(9,23),-1.52823 # DEPENDENCYPART_ARC
(9,24),-2.76488 # DEPENDENCYPART_ARC
(9,25),-7.37612 # DEPENDENCYPART_ARC
(9,26),-6.74219 # DEPENDENCYPART_ARC
(9,27),-3.18883 # DEPENDENCYPART_ARC
(9,28),-2.77586 # DEPENDENCYPART_ARC
(9,29),-4.19143 # DEPENDENCYPART_ARC
(9,30),-3.20348 # DEPENDENCYPART_ARC
(9,31),-4.15772 # DEPENDENCYPART_ARC
(9,32),-3.30664 # DEPENDENCYPART_ARC
(9,33),-4.30052 # DEPENDENCYPART_ARC
(9,34),-3.26242 # DEPENDENCYPART_ARC
(9,35),-2.9519 # DEPENDENCYPART_ARC
(10,1),-1.71384 # DEPENDENCYPART_ARC
(10,2),-4.28697 # DEPENDENCYPART_ARC
(10,3),-6.31175 # DEPENDENCYPART_ARC
(10,4),-2.81608 # DEPENDENCYPART_ARC
(10,5),-1.63125 # DEPENDENCYPART_ARC
(10,6),-1.95621 # DEPENDENCYPART_ARC
(10,7),0.317361 # DEPENDENCYPART_ARC
(10,8),-0.318438 # DEPENDENCYPART_ARC
(10,9),5.06974 # DEPENDENCYPART_ARC
(10,11),2.24514 # DEPENDENCYPART_ARC
(10,12),0.289916 # DEPENDENCYPART_ARC
(10,13),-0.298607 # DEPENDENCYPART_ARC
(10,14),-0.132479 # DEPENDENCYPART_ARC
(10,15),-0.878391 # DEPENDENCYPART_ARC
(10,16),-1.91763 # DEPENDENCYPART_ARC
(10,17),0.164183 # DEPENDENCYPART_ARC
(10,18),-1.9998 # DEPENDENCYPART_ARC
(10,19),-3.59471 # DEPENDENCYPART_ARC
(10,20),-0.628083 # DEPENDENCYPART_ARC
(10,21),0.528792 # DEPENDENCYPART_ARC
(10,22),-2.29975 # DEPENDENCYPART_ARC
(10,23),-1.75832 # DEPENDENCYPART_ARC
(10,24),-4.21666 # DEPENDENCYPART_ARC
(10,25),-4.40878 # DEPENDENCYPART_ARC
(10,26),-3.91573 # DEPENDENCYPART_ARC
(10,27),-2.57358 # DEPENDENCYPART_ARC
(10,28),-9.97876 # DEPENDENCYPART_ARC
(10,29),-4.19367 # DEPENDENCYPART_ARC
(10,30),-7.9075 # DEPENDENCYPART_ARC
(10,31),-3.94441 # DEPENDENCYPART_ARC
(10,32),-2.32221 # DEPENDENCYPART_ARC
(10,33),-5.03199 # DEPENDENCYPART_ARC
(10,34),-10.4202 # DEPENDENCYPART_ARC
(10,35),-9.80787 # DEPENDENCYPART_ARC
(11,1),-3.87409 # DEPENDENCYPART_ARC
(11,2),-3.32214 # DEPENDENCYPART_ARC
(11,3),-3.84142 # DEPENDENCYPART_ARC
(11,4),-3.33317 # DEPENDENCYPART_ARC
(11,5),-2.64949 # DEPENDENCYPART_ARC
(11,6),-2.8044 # DEPENDENCYPART_ARC
(11,7),-0.565075 # DEPENDENCYPART_ARC
(11,8),-1.44124 # DEPENDENCYPART_ARC
(11,9),-0.685698 # DEPENDENCYPART_ARC
(11,10),-1.68811 # DEPENDENCYPART_ARC
(11,12),5.81345 # DEPENDENCYPART_ARC
(11,13),-1.10035 # DEPENDENCYPART_ARC
(11,14),-1.76532 # DEPENDENCYPART_ARC
(11,15),-1.45314 # DEPENDENCYPART_ARC
(11,16),-3.45564 # DEPENDENCYPART_ARC
(11,17),-1.99104 # DEPENDENCYPART_ARC
(11,18),-2.30773 # DEPENDENCYPART_ARC
(11,19),-2.65333 # DEPENDENCYPART_ARC
(11,20),-1.34185 # DEPENDENCYPART_ARC
(11,21),-2.82849 # DEPENDENCYPART_ARC
(11,22),-2.50395 # DEPENDENCYPART_ARC
(11,23),-2.47546 # DEPENDENCYPART_ARC
(11,24),-3.1342 # DEPENDENCYPART_ARC
(11,25),-2.86463 # DEPENDENCYPART_ARC
(11,26),-3.49356 # DEPENDENCYPART_ARC
(11,27),-2.83588 # DEPENDENCYPART_ARC
(11,28),-9.9133 # DEPENDENCYPART_ARC
(11,29),-4.05755 # DEPENDENCYPART_ARC
(11,30),-10.734 # DEPENDENCYPART_ARC
(11,31),-3.89943 # DEPENDENCYPART_ARC
(11,32),-3.25353 # DEPENDENCYPART_ARC
(11,33),-4.6015 # DEPENDENCYPART_ARC
(11,34),-12.5498 # DEPENDENCYPART_ARC
(11,35),-4.05046 # DEPENDENCYPART_ARC
(12,1),-2.43273 # DEPENDENCYPART_ARC
(12,2),-5.62797 # DEPENDENCYPART_ARC
(12,3),-5.35103 # DEPENDENCYPART_ARC
(12,4),-2.81549 # DEPENDENCYPART_ARC
(12,5),-1.9026 # DEPENDENCYPART_ARC
(12,6),-5.65578 # DEPENDENCYPART_ARC
(12,7),-0.534572 # DEPENDENCYPART_ARC
(12,8),-1.99752 # DEPENDENCYPART_ARC
(12,9),2.50669 # DEPENDENCYPART_ARC
(12,10),-1.56187 # DEPENDENCYPART_ARC
(12,11),0.62617 # DEPENDENCYPART_ARC
(12,13),-0.87177 # DEPENDENCYPART_ARC
(12,14),-1.01134 # DEPENDENCYPART_ARC
(12,15),-1.14006 # DEPENDENCYPART_ARC
(12,16),-0.813182 # DEPENDENCYPART_ARC
(12,17),0.201196 # DEPENDENCYPART_ARC
(12,18),-0.634908 # DEPENDENCYPART_ARC
(12,19),-2.85789 # DEPENDENCYPART_ARC
(12,20),-0.783151 # DEPENDENCYPART_ARC
(12,21),-0.463071 # DEPENDENCYPART_ARC
(12,22),-2.10763 # DEPENDENCYPART_ARC
(12,23),-2.18497 # DEPENDENCYPART_ARC
(12,24),-3.30995 # DEPENDENCYPART_ARC
(12,25),-3.4829 # DEPENDENCYPART_ARC
(12,26),-3.37005 # DEPENDENCYPART_ARC
(12,27),-3.50449 # DEPENDENCYPART_ARC
(12,28),-9.28472 # DEPENDENCYPART_ARC
(12,29),-4.3962 # DEPENDENCYPART_ARC
(12,30),-7.82469 # DEPENDENCYPART_ARC
(12,31),-4.10602 # DEPENDENCYPART_ARC
(12,32),-3.23643 # DEPENDENCYPART_ARC
(12,33),-6.36766 # DEPENDENCYPART_ARC
(12,34),-9.55026 # DEPENDENCYPART_ARC
(12,35),-9.37181 # DEPENDENCYPART_ARC
(13,1),-0.510254 # DEPENDENCYPART_ARC
(13,2),-3.60143 # DEPENDENCYPART_ARC
(13,3),-1.80818 # DEPENDENCYPART_ARC
(13,4),-4.00639 # DEPENDENCYPART_ARC
(13,5),-1.79085 # DEPENDENCYPART_ARC
(13,6),-1.04898 # DEPENDENCYPART_ARC
(13,7),-1.08564 # DEPENDENCYPART_ARC
(13,8),-1.16154 # DEPENDENCYPART_ARC
(13,9),-3.57059 # DEPENDENCYPART_ARC
(13,10),0.290405 # DEPENDENCYPART_ARC
(13,11),0.138791 # DEPENDENCYPART_ARC
(13,12),-2.09784 # DEPENDENCYPART_ARC
(13,14),0.361019 # DEPENDENCYPART_ARC
(13,15),0.553221 # DEPENDENCYPART_ARC
(13,16),-2.49546 # DEPENDENCYPART_ARC
(13,17),-0.488234 # DEPENDENCYPART_ARC
(13,18),-4.05998 # DEPENDENCYPART_ARC
(13,19),-2.18614 # DEPENDENCYPART_ARC
(13,20),-0.998069 # DEPENDENCYPART_ARC
(13,21),-0.365994 # DEPENDENCYPART_ARC
(13,22),-1.7787 # DEPENDENCYPART_ARC
(13,23),-4.60983 # DEPENDENCYPART_ARC
(13,24),-2.93113 # DEPENDENCYPART_ARC
(13,25),-3.06706 # DEPENDENCYPART_ARC
(13,26),-2.7416 # DEPENDENCYPART_ARC
(13,27),-1.59177 # DEPENDENCYPART_ARC
(13,28),-4.30275 # DEPENDENCYPART_ARC
(13,29),-3.72076 # DEPENDENCYPART_ARC
(13,30),-3.26211 # DEPENDENCYPART_ARC
(13,31),-3.04284 # DEPENDENCYPART_ARC
(13,32),-1.66489 # DEPENDENCYPART_ARC
(13,33),-4.98546 # DEPENDENCYPART_ARC
(13,34),-3.5167 # DEPENDENCYPART_ARC
(13,35),-2.39403 # DEPENDENCYPART_ARC
(14,1),0.645338 # DEPENDENCYPART_ARC
(14,2),-4.11921 # DEPENDENCYPART_ARC
(14,3),-0.663014 # DEPENDENCYPART_ARC
(14,4),-1.09801 # DEPENDENCYPART_ARC
(14,5),1.12801 # DEPENDENCYPART_ARC
(14,6),-2.0126 # DEPENDENCYPART_ARC
(14,7),0.593127 # DEPENDENCYPART_ARC
(14,8),0.165516 # DEPENDENCYPART_ARC
(14,9),-0.239345 # DEPENDENCYPART_ARC
(14,10),3.18345 # DEPENDENCYPART_ARC
(14,11),1.78631 # DEPENDENCYPART_ARC
(14,12),1.04763 # DEPENDENCYPART_ARC
(14,13),6.27051 # DEPENDENCYPART_ARC
(14,15),3.1822 # DEPENDENCYPART_ARC
(14,16),0.107676 # DEPENDENCYPART_ARC
(14,17),1.12181 # DEPENDENCYPART_ARC
(14,18),-3.50561 # DEPENDENCYPART_ARC
(14,19),0.0678393 # DEPENDENCYPART_ARC
(14,20),0.623173 # DEPENDENCYPART_ARC
(14,21),1.00645 # DEPENDENCYPART_ARC
(14,22),-0.895678 # DEPENDENCYPART_ARC
(14,23),-3.23208 # DEPENDENCYPART_ARC
(14,24),-1.26447 # DEPENDENCYPART_ARC
(14,25),-2.58846 # DEPENDENCYPART_ARC
