# _root_ Zjistil , že se guma dobře váže s kukuřičným sirupem , který je schopen absorbovat prakticky jakoukoliv chuťovou esenci .
#goldHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,17,19,19,15,0,
#predictedHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,15,19,19,15,0,
(2,19),-4.89192 # DEPENDENCYPART_ARC
(2,20),-1.51402 # DEPENDENCYPART_ARC
(3,1),-0.930266 # DEPENDENCYPART_ARC
(3,2),2.65436 # DEPENDENCYPART_ARC
(3,4),-0.104304 # DEPENDENCYPART_ARC
(3,5),-1.31526 # DEPENDENCYPART_ARC
(3,6),-0.856199 # DEPENDENCYPART_ARC
(3,7),2.49177 # DEPENDENCYPART_ARC
(3,8),-1.68003 # DEPENDENCYPART_ARC
(3,9),-1.99353 # DEPENDENCYPART_ARC
(3,10),-2.38211 # DEPENDENCYPART_ARC
(3,11),0.480918 # DEPENDENCYPART_ARC
(3,12),-2.45345 # DEPENDENCYPART_ARC
(3,13),0.552363 # DEPENDENCYPART_ARC
(3,14),-3.09331 # DEPENDENCYPART_ARC
(3,15),-0.00692802 # DEPENDENCYPART_ARC
(3,16),-1.66405 # DEPENDENCYPART_ARC
(3,17),-2.60967 # DEPENDENCYPART_ARC
(3,18),-3.55831 # DEPENDENCYPART_ARC
(3,19),-4.38608 # DEPENDENCYPART_ARC
(3,20),-1.31355 # DEPENDENCYPART_ARC
(4,1),-3.41943 # DEPENDENCYPART_ARC
(4,2),-1.85737 # DEPENDENCYPART_ARC
(4,3),-1.24555 # DEPENDENCYPART_ARC
(4,5),-1.06567 # DEPENDENCYPART_ARC
(4,6),-1.2328 # DEPENDENCYPART_ARC
(4,7),-3.2219 # DEPENDENCYPART_ARC
(4,8),-2.81794 # DEPENDENCYPART_ARC
(4,9),-2.71225 # DEPENDENCYPART_ARC
(4,10),-2.45033 # DEPENDENCYPART_ARC
(4,11),-2.11684 # DEPENDENCYPART_ARC
(4,12),-2.57827 # DEPENDENCYPART_ARC
(4,13),-5.05425 # DEPENDENCYPART_ARC
(4,14),-2.58172 # DEPENDENCYPART_ARC
(4,15),-4.99532 # DEPENDENCYPART_ARC
(4,16),-2.48604 # DEPENDENCYPART_ARC
(4,17),-2.82464 # DEPENDENCYPART_ARC
(4,18),-3.50197 # DEPENDENCYPART_ARC
(4,19),-2.62766 # DEPENDENCYPART_ARC
(4,20),-2.99681 # DEPENDENCYPART_ARC
(5,1),-4.17989 # DEPENDENCYPART_ARC
(5,2),-0.364008 # DEPENDENCYPART_ARC
(5,3),-0.518446 # DEPENDENCYPART_ARC
(5,4),0.0111692 # DEPENDENCYPART_ARC
(5,6),0.074309 # DEPENDENCYPART_ARC
(5,7),-0.736609 # DEPENDENCYPART_ARC
(5,8),-0.0486327 # DEPENDENCYPART_ARC
(5,9),-2.59896 # DEPENDENCYPART_ARC
(5,10),-2.19605 # DEPENDENCYPART_ARC
(5,11),-0.699941 # DEPENDENCYPART_ARC
(5,12),-1.33996 # DEPENDENCYPART_ARC
(5,13),-1.68372 # DEPENDENCYPART_ARC
(5,14),-1.17573 # DEPENDENCYPART_ARC
(5,15),-1.77295 # DEPENDENCYPART_ARC
(5,16),-1.65725 # DEPENDENCYPART_ARC
(5,17),-1.5414 # DEPENDENCYPART_ARC
(5,18),-3.74316 # DEPENDENCYPART_ARC
(5,19),-6.6525 # DEPENDENCYPART_ARC
(5,20),-4.55538 # DEPENDENCYPART_ARC
(6,1),-1.37819 # DEPENDENCYPART_ARC
(6,2),-0.347337 # DEPENDENCYPART_ARC
(6,3),-0.275856 # DEPENDENCYPART_ARC
(6,4),-0.651825 # DEPENDENCYPART_ARC
(6,5),-1.01943 # DEPENDENCYPART_ARC
(6,7),-1.07436 # DEPENDENCYPART_ARC
(6,8),-0.0193846 # DEPENDENCYPART_ARC
(6,9),-2.16884 # DEPENDENCYPART_ARC
(6,10),-2.4373 # DEPENDENCYPART_ARC
(6,11),-1.34275 # DEPENDENCYPART_ARC
(6,12),-2.01345 # DEPENDENCYPART_ARC
(6,13),-2.30367 # DEPENDENCYPART_ARC
(6,14),-2.37444 # DEPENDENCYPART_ARC
(6,15),-1.92499 # DEPENDENCYPART_ARC
(6,16),-2.07782 # DEPENDENCYPART_ARC
(6,17),-2.53272 # DEPENDENCYPART_ARC
(6,18),-3.29874 # DEPENDENCYPART_ARC
(6,19),-4.40775 # DEPENDENCYPART_ARC
(6,20),-2.47816 # DEPENDENCYPART_ARC
(7,1),-1.7454 # DEPENDENCYPART_ARC
(7,2),0.189522 # DEPENDENCYPART_ARC
(7,3),-0.160751 # DEPENDENCYPART_ARC
(7,4),3.95444 # DEPENDENCYPART_ARC
(7,5),3.36301 # DEPENDENCYPART_ARC
(7,6),2.62841 # DEPENDENCYPART_ARC
(7,8),2.26432 # DEPENDENCYPART_ARC
(7,9),-1.76258 # DEPENDENCYPART_ARC
(7,10),1.69539 # DEPENDENCYPART_ARC
(7,11),0.585041 # DEPENDENCYPART_ARC
(7,12),-1.04679 # DEPENDENCYPART_ARC
(7,13),-1.03592 # DEPENDENCYPART_ARC
(7,14),0.183511 # DEPENDENCYPART_ARC
(7,15),0.175212 # DEPENDENCYPART_ARC
(7,16),-1.2051 # DEPENDENCYPART_ARC
(7,17),-2.80754 # DEPENDENCYPART_ARC
(7,18),-5.22354 # DEPENDENCYPART_ARC
(7,19),-0.725576 # DEPENDENCYPART_ARC
(7,20),-0.755699 # DEPENDENCYPART_ARC
(8,1),-3.25935 # DEPENDENCYPART_ARC
(8,2),-1.26133 # DEPENDENCYPART_ARC
(8,3),-1.64998 # DEPENDENCYPART_ARC
(8,4),-1.73046 # DEPENDENCYPART_ARC
(8,5),-2.7063 # DEPENDENCYPART_ARC
(8,6),-0.114033 # DEPENDENCYPART_ARC
(8,7),-1.27292 # DEPENDENCYPART_ARC
(8,9),1.18144 # DEPENDENCYPART_ARC
(8,10),3.92352 # DEPENDENCYPART_ARC
(8,11),0.281394 # DEPENDENCYPART_ARC
(8,12),-1.8863 # DEPENDENCYPART_ARC
(8,13),-0.704832 # DEPENDENCYPART_ARC
(8,14),-1.47038 # DEPENDENCYPART_ARC
(8,15),-1.24952 # DEPENDENCYPART_ARC
(8,16),-1.17444 # DEPENDENCYPART_ARC
(8,17),-3.32679 # DEPENDENCYPART_ARC
(8,18),-2.90304 # DEPENDENCYPART_ARC
(8,19),-3.03132 # DEPENDENCYPART_ARC
(8,20),-2.47317 # DEPENDENCYPART_ARC
(9,1),-5.43232 # DEPENDENCYPART_ARC
(9,2),-2.12625 # DEPENDENCYPART_ARC
(9,3),-1.80397 # DEPENDENCYPART_ARC
(9,4),-1.28853 # DEPENDENCYPART_ARC
(9,5),-4.99895 # DEPENDENCYPART_ARC
(9,6),-0.566994 # DEPENDENCYPART_ARC
(9,7),-3.13994 # DEPENDENCYPART_ARC
(9,8),-0.746208 # DEPENDENCYPART_ARC
(9,10),0.362467 # DEPENDENCYPART_ARC
(9,11),-0.58256 # DEPENDENCYPART_ARC
(9,12),-2.77712 # DEPENDENCYPART_ARC
(9,13),-1.92603 # DEPENDENCYPART_ARC
(9,14),-2.23971 # DEPENDENCYPART_ARC
(9,15),-0.743496 # DEPENDENCYPART_ARC
(9,16),-1.43616 # DEPENDENCYPART_ARC
(9,17),-4.3158 # DEPENDENCYPART_ARC
(9,18),-4.71693 # DEPENDENCYPART_ARC
(9,19),-4.76882 # DEPENDENCYPART_ARC
(9,20),-2.18001 # DEPENDENCYPART_ARC
(10,1),-3.45327 # DEPENDENCYPART_ARC
(10,2),-1.02391 # DEPENDENCYPART_ARC
(10,3),-2.01436 # DEPENDENCYPART_ARC
(10,4),-2.36019 # DEPENDENCYPART_ARC
(10,5),-3.56301 # DEPENDENCYPART_ARC
(10,6),-0.527739 # DEPENDENCYPART_ARC
(10,7),-0.649814 # DEPENDENCYPART_ARC
(10,8),0.332865 # DEPENDENCYPART_ARC
(10,9),5.78374 # DEPENDENCYPART_ARC
(10,11),0.0662809 # DEPENDENCYPART_ARC
(10,12),-1.90748 # DEPENDENCYPART_ARC
(10,13),1.64393 # DEPENDENCYPART_ARC
(10,14),0.561862 # DEPENDENCYPART_ARC
(10,15),1.22182 # DEPENDENCYPART_ARC
(10,16),-0.342151 # DEPENDENCYPART_ARC
(10,17),-1.35537 # DEPENDENCYPART_ARC
(10,18),-3.1489 # DEPENDENCYPART_ARC
(10,19),-3.77295 # DEPENDENCYPART_ARC
(10,20),-2.09005 # DEPENDENCYPART_ARC
(11,1),-1.55344 # DEPENDENCYPART_ARC
(11,2),-1.12788 # DEPENDENCYPART_ARC
(11,3),-1.80501 # DEPENDENCYPART_ARC
(11,4),-1.51473 # DEPENDENCYPART_ARC
(11,5),-1.80422 # DEPENDENCYPART_ARC
(11,6),-1.39294 # DEPENDENCYPART_ARC
(11,7),-0.30177 # DEPENDENCYPART_ARC
(11,8),-0.890558 # DEPENDENCYPART_ARC
(11,9),-0.755788 # DEPENDENCYPART_ARC
(11,10),-0.856665 # DEPENDENCYPART_ARC
(11,12),-0.566799 # DEPENDENCYPART_ARC
(11,13),0.437949 # DEPENDENCYPART_ARC
(11,14),-1.5537 # DEPENDENCYPART_ARC
(11,15),-0.632872 # DEPENDENCYPART_ARC
(11,16),-1.92499 # DEPENDENCYPART_ARC
(11,17),-2.00756 # DEPENDENCYPART_ARC
(11,18),-1.95285 # DEPENDENCYPART_ARC
(11,19),-2.50993 # DEPENDENCYPART_ARC
(11,20),-0.996189 # DEPENDENCYPART_ARC
(12,1),-3.43893 # DEPENDENCYPART_ARC
(12,2),-2.23656 # DEPENDENCYPART_ARC
(12,3),-2.45107 # DEPENDENCYPART_ARC
(12,4),-2.12304 # DEPENDENCYPART_ARC
(12,5),-2.70238 # DEPENDENCYPART_ARC
(12,6),-1.16113 # DEPENDENCYPART_ARC
(12,7),-1.37944 # DEPENDENCYPART_ARC
(12,8),-0.931491 # DEPENDENCYPART_ARC
(12,9),-3.13523 # DEPENDENCYPART_ARC
(12,10),-2.34402 # DEPENDENCYPART_ARC
(12,11),-0.411373 # DEPENDENCYPART_ARC
(12,13),-0.895058 # DEPENDENCYPART_ARC
(12,14),1.44399 # DEPENDENCYPART_ARC
(12,15),-1.20549 # DEPENDENCYPART_ARC
(12,16),-1.17545 # DEPENDENCYPART_ARC
(12,17),-1.60435 # DEPENDENCYPART_ARC
(12,18),-1.91941 # DEPENDENCYPART_ARC
(12,19),-1.95084 # DEPENDENCYPART_ARC
(12,20),-1.01924 # DEPENDENCYPART_ARC
(13,1),-3.08644 # DEPENDENCYPART_ARC
(13,2),-1.14168 # DEPENDENCYPART_ARC
(13,3),-1.55105 # DEPENDENCYPART_ARC
(13,4),0.523158 # DEPENDENCYPART_ARC
(13,5),1.13835 # DEPENDENCYPART_ARC
(13,6),-0.245624 # DEPENDENCYPART_ARC
(13,7),-1.47711 # DEPENDENCYPART_ARC
(13,8),-0.249953 # DEPENDENCYPART_ARC
(13,9),-1.6509 # DEPENDENCYPART_ARC
(13,10),-0.258713 # DEPENDENCYPART_ARC
(13,11),2.0607 # DEPENDENCYPART_ARC
(13,12),3.3445 # DEPENDENCYPART_ARC
(13,14),4.22791 # DEPENDENCYPART_ARC
(13,15),2.19581 # DEPENDENCYPART_ARC
(13,16),-0.198011 # DEPENDENCYPART_ARC
(13,17),-1.82818 # DEPENDENCYPART_ARC
(13,18),-2.61792 # DEPENDENCYPART_ARC
(13,19),0.480478 # DEPENDENCYPART_ARC
(13,20),-0.336872 # DEPENDENCYPART_ARC
(14,1),-3.60088 # DEPENDENCYPART_ARC
(14,2),-2.71323 # DEPENDENCYPART_ARC
(14,3),-2.04519 # DEPENDENCYPART_ARC
(14,4),0.69469 # DEPENDENCYPART_ARC
(14,5),-2.98679 # DEPENDENCYPART_ARC
(14,6),-1.88113 # DEPENDENCYPART_ARC
(14,7),-2.19648 # DEPENDENCYPART_ARC
(14,8),0.00632477 # DEPENDENCYPART_ARC
(14,9),-1.45161 # DEPENDENCYPART_ARC
(14,10),-0.792065 # DEPENDENCYPART_ARC
(14,11),-0.515477 # DEPENDENCYPART_ARC
(14,12),0.452523 # DEPENDENCYPART_ARC
(14,13),-0.313476 # DEPENDENCYPART_ARC
(14,15),4.02224 # DEPENDENCYPART_ARC
(14,16),1.20645 # DEPENDENCYPART_ARC
(14,17),-0.778111 # DEPENDENCYPART_ARC
(14,18),-0.256362 # DEPENDENCYPART_ARC
(14,19),0.331548 # DEPENDENCYPART_ARC
(14,20),0.296273 # DEPENDENCYPART_ARC
(15,1),-4.87222 # DEPENDENCYPART_ARC
(15,2),-1.45111 # DEPENDENCYPART_ARC
(15,3),-2.13373 # DEPENDENCYPART_ARC
(15,4),0.955583 # DEPENDENCYPART_ARC
(15,5),-0.359507 # DEPENDENCYPART_ARC
(15,6),-0.740638 # DEPENDENCYPART_ARC
(15,7),-2.98742 # DEPENDENCYPART_ARC
(15,8),0.48052 # DEPENDENCYPART_ARC
(15,9),-2.34942 # DEPENDENCYPART_ARC
(15,10),-0.0967744 # DEPENDENCYPART_ARC
(15,11),0.593614 # DEPENDENCYPART_ARC
(15,12),1.32676 # DEPENDENCYPART_ARC
(15,13),-1.15607 # DEPENDENCYPART_ARC
(15,14),-0.471175 # DEPENDENCYPART_ARC
(15,16),1.78763 # DEPENDENCYPART_ARC
(15,17),1.35556 # DEPENDENCYPART_ARC
(15,18),-0.845791 # DEPENDENCYPART_ARC
(15,19),2.75101 # DEPENDENCYPART_ARC
(15,20),0.120778 # DEPENDENCYPART_ARC
(16,1),-2.61175 # DEPENDENCYPART_ARC
(16,2),-2.33144 # DEPENDENCYPART_ARC
(16,3),-1.58129 # DEPENDENCYPART_ARC
(16,4),-2.03532 # DEPENDENCYPART_ARC
(16,5),-2.97697 # DEPENDENCYPART_ARC
(16,6),-0.791489 # DEPENDENCYPART_ARC
(16,7),-1.71943 # DEPENDENCYPART_ARC
(16,8),-1.96323 # DEPENDENCYPART_ARC
(16,9),-2.52788 # DEPENDENCYPART_ARC
(16,10),-2.01924 # DEPENDENCYPART_ARC
(16,11),-0.914838 # DEPENDENCYPART_ARC
(16,12),-0.897628 # DEPENDENCYPART_ARC
(16,13),-0.868275 # DEPENDENCYPART_ARC
(16,14),-0.821684 # DEPENDENCYPART_ARC
(16,15),0.353292 # DEPENDENCYPART_ARC
(16,17),-0.615277 # DEPENDENCYPART_ARC
(16,18),-1.59361 # DEPENDENCYPART_ARC
(16,19),-1.54155 # DEPENDENCYPART_ARC
(16,20),-0.454418 # DEPENDENCYPART_ARC
(17,1),-3.90946 # DEPENDENCYPART_ARC
(17,2),-1.67745 # DEPENDENCYPART_ARC
(17,3),-2.32014 # DEPENDENCYPART_ARC
(17,4),-1.88382 # DEPENDENCYPART_ARC
(17,5),-3.18063 # DEPENDENCYPART_ARC
(17,6),-0.933347 # DEPENDENCYPART_ARC
(17,7),-1.91932 # DEPENDENCYPART_ARC
(17,8),-0.827286 # DEPENDENCYPART_ARC
(17,9),-4.3203 # DEPENDENCYPART_ARC
(17,10),-1.98609 # DEPENDENCYPART_ARC
(17,11),-0.515028 # DEPENDENCYPART_ARC
(17,12),-1.68711 # DEPENDENCYPART_ARC
(17,13),-1.23631 # DEPENDENCYPART_ARC
(17,14),-1.76967 # DEPENDENCYPART_ARC
(17,15),0.502757 # DEPENDENCYPART_ARC
(17,16),0.986854 # DEPENDENCYPART_ARC
(17,18),0.824523 # DEPENDENCYPART_ARC
(17,19),-0.11104 # DEPENDENCYPART_ARC
(17,20),-0.281389 # DEPENDENCYPART_ARC
(18,1),-4.54274 # DEPENDENCYPART_ARC
(18,2),-3.09277 # DEPENDENCYPART_ARC
(18,3),-2.27851 # DEPENDENCYPART_ARC
(18,4),-0.741216 # DEPENDENCYPART_ARC
(18,5),-5.41247 # DEPENDENCYPART_ARC
(18,6),-1.72021 # DEPENDENCYPART_ARC
(18,7),-3.96092 # DEPENDENCYPART_ARC
(18,8),-0.747434 # DEPENDENCYPART_ARC
(18,9),-3.39382 # DEPENDENCYPART_ARC
(18,10),-1.79042 # DEPENDENCYPART_ARC
(18,11),-1.67659 # DEPENDENCYPART_ARC
(18,12),-2.57636 # DEPENDENCYPART_ARC
(18,13),-3.17007 # DEPENDENCYPART_ARC
(18,14),-1.53123 # DEPENDENCYPART_ARC
(18,15),-0.483064 # DEPENDENCYPART_ARC
(18,16),1.15104 # DEPENDENCYPART_ARC
(18,17),1.09981 # DEPENDENCYPART_ARC
(18,19),-1.04703 # DEPENDENCYPART_ARC
(18,20),-0.355896 # DEPENDENCYPART_ARC
(19,1),-3.31253 # DEPENDENCYPART_ARC
(19,2),-1.88477 # DEPENDENCYPART_ARC
(19,3),-4.16708 # DEPENDENCYPART_ARC
(19,4),-3.6074 # DEPENDENCYPART_ARC
(19,5),-5.46655 # DEPENDENCYPART_ARC
(19,6),-2.43079 # DEPENDENCYPART_ARC
(19,7),-1.49847 # DEPENDENCYPART_ARC
(19,8),0.469937 # DEPENDENCYPART_ARC
(19,9),-1.06511 # DEPENDENCYPART_ARC
(19,10),-4.80715 # DEPENDENCYPART_ARC
(19,11),-0.921979 # DEPENDENCYPART_ARC
(19,12),-2.34696 # DEPENDENCYPART_ARC
(19,13),-1.21143 # DEPENDENCYPART_ARC
(19,14),-2.16647 # DEPENDENCYPART_ARC
(19,15),0.491105 # DEPENDENCYPART_ARC
(19,16),0.653219 # DEPENDENCYPART_ARC
(19,17),4.41449 # DEPENDENCYPART_ARC
(19,18),5.25682 # DEPENDENCYPART_ARC
(19,20),0.377924 # DEPENDENCYPART_ARC
(20,1),-5.59727 # DEPENDENCYPART_ARC
(20,2),-5.437 # DEPENDENCYPART_ARC
(20,3),-4.60704 # DEPENDENCYPART_ARC
(20,4),-3.97868 # DEPENDENCYPART_ARC
(20,5),-6.06405 # DEPENDENCYPART_ARC
(20,6),-3.96642 # DEPENDENCYPART_ARC
(20,7),-4.50674 # DEPENDENCYPART_ARC
(20,8),-4.0015 # DEPENDENCYPART_ARC
(20,9),-3.79423 # DEPENDENCYPART_ARC
(20,10),-4.64163 # DEPENDENCYPART_ARC
(20,11),-3.35057 # DEPENDENCYPART_ARC
(20,12),-3.14482 # DEPENDENCYPART_ARC
(20,13),-4.2326 # DEPENDENCYPART_ARC
(20,14),-3.54328 # DEPENDENCYPART_ARC
(20,15),-3.66042 # DEPENDENCYPART_ARC
(20,16),-3.17122 # DEPENDENCYPART_ARC
(20,17),-2.52461 # DEPENDENCYPART_ARC
(20,18),-2.7106 # DEPENDENCYPART_ARC
(20,19),-3.21742 # DEPENDENCYPART_ARC
