# _root_ Najednou nebylo žádné místo mezi mým vozem a zdí , byla slova nešťastného Fittipaldiho , s nimiž však Mansell nesouhlasil :
#goldHeads=2,10,4,2,2,7,8,5,8,0,10,11,14,12,20,20,16,20,20,14,0,
#predictedHeads=2,18,4,2,4,7,8,5,8,2,0,11,14,12,20,20,16,20,20,14,0,
(3,17),-2.05164 # DEPENDENCYPART_ARC
(3,18),-2.52178 # DEPENDENCYPART_ARC
(3,19),-2.70779 # DEPENDENCYPART_ARC
(3,20),-5.35845 # DEPENDENCYPART_ARC
(3,21),-2.42596 # DEPENDENCYPART_ARC
(4,1),-0.107431 # DEPENDENCYPART_ARC
(4,2),-1.76245 # DEPENDENCYPART_ARC
(4,3),4.20557 # DEPENDENCYPART_ARC
(4,5),2.0263 # DEPENDENCYPART_ARC
(4,6),-0.198209 # DEPENDENCYPART_ARC
(4,7),-0.889426 # DEPENDENCYPART_ARC
(4,8),-0.244408 # DEPENDENCYPART_ARC
(4,9),-2.27842 # DEPENDENCYPART_ARC
(4,10),-0.792255 # DEPENDENCYPART_ARC
(4,11),-1.95992 # DEPENDENCYPART_ARC
(4,12),-3.79894 # DEPENDENCYPART_ARC
(4,13),-2.21616 # DEPENDENCYPART_ARC
(4,14),-2.70084 # DEPENDENCYPART_ARC
(4,15),-0.8513 # DEPENDENCYPART_ARC
(4,16),-1.36186 # DEPENDENCYPART_ARC
(4,17),-2.822 # DEPENDENCYPART_ARC
(4,18),-2.19298 # DEPENDENCYPART_ARC
(4,19),-4.68588 # DEPENDENCYPART_ARC
(4,20),-3.2415 # DEPENDENCYPART_ARC
(4,21),-2.72404 # DEPENDENCYPART_ARC
(5,1),-1.83949 # DEPENDENCYPART_ARC
(5,2),-2.07997 # DEPENDENCYPART_ARC
(5,3),-1.30637 # DEPENDENCYPART_ARC
(5,4),-1.35583 # DEPENDENCYPART_ARC
(5,6),2.21833 # DEPENDENCYPART_ARC
(5,7),2.77241 # DEPENDENCYPART_ARC
(5,8),2.38481 # DEPENDENCYPART_ARC
(5,9),-0.248022 # DEPENDENCYPART_ARC
(5,10),-0.3717 # DEPENDENCYPART_ARC
(5,11),-1.52677 # DEPENDENCYPART_ARC
(5,12),-4.93734 # DEPENDENCYPART_ARC
(5,13),-2.35643 # DEPENDENCYPART_ARC
(5,14),-4.19647 # DEPENDENCYPART_ARC
(5,15),-0.892537 # DEPENDENCYPART_ARC
(5,16),-1.80409 # DEPENDENCYPART_ARC
(5,17),-1.90545 # DEPENDENCYPART_ARC
(5,18),-1.52953 # DEPENDENCYPART_ARC
(5,19),-6.28673 # DEPENDENCYPART_ARC
(5,20),-2.37324 # DEPENDENCYPART_ARC
(5,21),-2.97958 # DEPENDENCYPART_ARC
(6,1),-1.39533 # DEPENDENCYPART_ARC
(6,2),-2.82071 # DEPENDENCYPART_ARC
(6,3),-0.874137 # DEPENDENCYPART_ARC
(6,4),-1.72411 # DEPENDENCYPART_ARC
(6,5),-0.86265 # DEPENDENCYPART_ARC
(6,7),-1.5938 # DEPENDENCYPART_ARC
(6,8),-0.184373 # DEPENDENCYPART_ARC
(6,9),-2.66453 # DEPENDENCYPART_ARC
(6,10),-1.17545 # DEPENDENCYPART_ARC
(6,11),-3.48037 # DEPENDENCYPART_ARC
(6,12),-4.15577 # DEPENDENCYPART_ARC
(6,13),-3.81388 # DEPENDENCYPART_ARC
(6,14),-4.27416 # DEPENDENCYPART_ARC
(6,15),-1.43987 # DEPENDENCYPART_ARC
(6,16),-2.89972 # DEPENDENCYPART_ARC
(6,17),-2.31429 # DEPENDENCYPART_ARC
(6,18),-2.46922 # DEPENDENCYPART_ARC
(6,19),-4.68667 # DEPENDENCYPART_ARC
(6,20),-6.12899 # DEPENDENCYPART_ARC
(6,21),-2.35434 # DEPENDENCYPART_ARC
(7,1),-2.22203 # DEPENDENCYPART_ARC
(7,2),-3.40512 # DEPENDENCYPART_ARC
(7,3),-1.86643 # DEPENDENCYPART_ARC
(7,4),-4.08137 # DEPENDENCYPART_ARC
(7,5),-1.36499 # DEPENDENCYPART_ARC
(7,6),4.43539 # DEPENDENCYPART_ARC
(7,8),-0.414151 # DEPENDENCYPART_ARC
(7,9),-1.11372 # DEPENDENCYPART_ARC
(7,10),-1.53273 # DEPENDENCYPART_ARC
(7,11),-3.3109 # DEPENDENCYPART_ARC
(7,12),-3.8963 # DEPENDENCYPART_ARC
(7,13),-3.46486 # DEPENDENCYPART_ARC
(7,14),-1.89618 # DEPENDENCYPART_ARC
(7,15),-1.80381 # DEPENDENCYPART_ARC
(7,16),-2.13627 # DEPENDENCYPART_ARC
(7,17),-3.75446 # DEPENDENCYPART_ARC
(7,18),-2.99579 # DEPENDENCYPART_ARC
(7,19),-4.56499 # DEPENDENCYPART_ARC
(7,20),-4.71582 # DEPENDENCYPART_ARC
(7,21),-3.5844 # DEPENDENCYPART_ARC
(8,1),0.167966 # DEPENDENCYPART_ARC
(8,2),0.892399 # DEPENDENCYPART_ARC
(8,3),1.84411 # DEPENDENCYPART_ARC
(8,4),1.1957 # DEPENDENCYPART_ARC
(8,5),0.300039 # DEPENDENCYPART_ARC
(8,6),2.72497 # DEPENDENCYPART_ARC
(8,7),4.27825 # DEPENDENCYPART_ARC
(8,9),3.74712 # DEPENDENCYPART_ARC
(8,10),0.320822 # DEPENDENCYPART_ARC
(8,11),0.297189 # DEPENDENCYPART_ARC
(8,12),-0.230209 # DEPENDENCYPART_ARC
(8,13),-0.348253 # DEPENDENCYPART_ARC
(8,14),-0.17964 # DEPENDENCYPART_ARC
(8,15),-0.379059 # DEPENDENCYPART_ARC
(8,16),-1.88039 # DEPENDENCYPART_ARC
(8,17),-1.12826 # DEPENDENCYPART_ARC
(8,18),-0.0411958 # DEPENDENCYPART_ARC
(8,19),-0.622325 # DEPENDENCYPART_ARC
(8,20),-0.858976 # DEPENDENCYPART_ARC
(8,21),-1.08478 # DEPENDENCYPART_ARC
(9,1),-3.20038 # DEPENDENCYPART_ARC
(9,2),-3.9188 # DEPENDENCYPART_ARC
(9,3),-3.83294 # DEPENDENCYPART_ARC
(9,4),-5.88277 # DEPENDENCYPART_ARC
(9,5),-1.8467 # DEPENDENCYPART_ARC
(9,6),0.714684 # DEPENDENCYPART_ARC
(9,7),-2.00392 # DEPENDENCYPART_ARC
(9,8),-0.526496 # DEPENDENCYPART_ARC
(9,10),-0.815175 # DEPENDENCYPART_ARC
(9,11),-1.50765 # DEPENDENCYPART_ARC
(9,12),-2.85723 # DEPENDENCYPART_ARC
(9,13),-1.82127 # DEPENDENCYPART_ARC
(9,14),-0.905388 # DEPENDENCYPART_ARC
(9,15),-1.34517 # DEPENDENCYPART_ARC
(9,16),-2.06841 # DEPENDENCYPART_ARC
(9,17),-3.43749 # DEPENDENCYPART_ARC
(9,18),-1.76225 # DEPENDENCYPART_ARC
(9,19),-4.68356 # DEPENDENCYPART_ARC
(9,20),-2.01368 # DEPENDENCYPART_ARC
(9,21),-2.94617 # DEPENDENCYPART_ARC
(10,1),-0.771492 # DEPENDENCYPART_ARC
(10,2),0.274904 # DEPENDENCYPART_ARC
(10,3),-0.475871 # DEPENDENCYPART_ARC
(10,4),0.0465918 # DEPENDENCYPART_ARC
(10,5),-0.763619 # DEPENDENCYPART_ARC
(10,6),0.296892 # DEPENDENCYPART_ARC
(10,7),0.629582 # DEPENDENCYPART_ARC
(10,8),-0.157902 # DEPENDENCYPART_ARC
(10,9),0.0312595 # DEPENDENCYPART_ARC
(10,11),0.324169 # DEPENDENCYPART_ARC
(10,12),-0.566125 # DEPENDENCYPART_ARC
(10,13),-0.773687 # DEPENDENCYPART_ARC
(10,14),-0.730625 # DEPENDENCYPART_ARC
(10,15),-0.19307 # DEPENDENCYPART_ARC
(10,16),-1.40976 # DEPENDENCYPART_ARC
(10,17),-1.30313 # DEPENDENCYPART_ARC
(10,18),-0.471603 # DEPENDENCYPART_ARC
(10,19),-2.40062 # DEPENDENCYPART_ARC
(10,20),-1.34302 # DEPENDENCYPART_ARC
(10,21),-1.49438 # DEPENDENCYPART_ARC
(11,1),-0.261453 # DEPENDENCYPART_ARC
(11,2),-0.290274 # DEPENDENCYPART_ARC
(11,3),-0.988519 # DEPENDENCYPART_ARC
(11,4),0.105721 # DEPENDENCYPART_ARC
(11,5),-0.548492 # DEPENDENCYPART_ARC
(11,6),-2.81631 # DEPENDENCYPART_ARC
(11,7),-0.413734 # DEPENDENCYPART_ARC
(11,8),-0.293109 # DEPENDENCYPART_ARC
(11,9),0.766191 # DEPENDENCYPART_ARC
(11,10),-0.549978 # DEPENDENCYPART_ARC
(11,12),2.1619 # DEPENDENCYPART_ARC
(11,13),-0.717558 # DEPENDENCYPART_ARC
(11,14),-1.36003 # DEPENDENCYPART_ARC
(11,15),0.160448 # DEPENDENCYPART_ARC
(11,16),-0.0896442 # DEPENDENCYPART_ARC
(11,17),-2.12599 # DEPENDENCYPART_ARC
(11,18),0.793556 # DEPENDENCYPART_ARC
(11,19),-1.92961 # DEPENDENCYPART_ARC
(11,20),-3.5485 # DEPENDENCYPART_ARC
(11,21),-0.570823 # DEPENDENCYPART_ARC
(12,1),-2.92082 # DEPENDENCYPART_ARC
(12,2),-4.10571 # DEPENDENCYPART_ARC
(12,3),-1.75572 # DEPENDENCYPART_ARC
(12,4),-3.62831 # DEPENDENCYPART_ARC
(12,5),-0.44133 # DEPENDENCYPART_ARC
(12,6),-3.77269 # DEPENDENCYPART_ARC
(12,7),-5.22517 # DEPENDENCYPART_ARC
(12,8),-0.970392 # DEPENDENCYPART_ARC
(12,9),-4.92385 # DEPENDENCYPART_ARC
(12,10),-0.668645 # DEPENDENCYPART_ARC
(12,11),-2.96942 # DEPENDENCYPART_ARC
(12,13),-0.455758 # DEPENDENCYPART_ARC
(12,14),4.0776 # DEPENDENCYPART_ARC
(12,15),0.14584 # DEPENDENCYPART_ARC
(12,16),0.794912 # DEPENDENCYPART_ARC
(12,17),-0.421486 # DEPENDENCYPART_ARC
(12,18),0.454305 # DEPENDENCYPART_ARC
(12,19),-0.601922 # DEPENDENCYPART_ARC
(12,20),-0.774107 # DEPENDENCYPART_ARC
(12,21),-0.97317 # DEPENDENCYPART_ARC
(13,1),-2.7601 # DEPENDENCYPART_ARC
(13,2),-4.48252 # DEPENDENCYPART_ARC
(13,3),-3.24968 # DEPENDENCYPART_ARC
(13,4),-4.92202 # DEPENDENCYPART_ARC
(13,5),-1.00692 # DEPENDENCYPART_ARC
(13,6),-2.39572 # DEPENDENCYPART_ARC
(13,7),-2.89718 # DEPENDENCYPART_ARC
(13,8),-1.03092 # DEPENDENCYPART_ARC
(13,9),-2.37219 # DEPENDENCYPART_ARC
(13,10),-0.779623 # DEPENDENCYPART_ARC
(13,11),-3.33383 # DEPENDENCYPART_ARC
(13,12),-2.38609 # DEPENDENCYPART_ARC
(13,14),1.01076 # DEPENDENCYPART_ARC
(13,15),-0.758342 # DEPENDENCYPART_ARC
(13,16),-1.40426 # DEPENDENCYPART_ARC
(13,17),-2.51624 # DEPENDENCYPART_ARC
(13,18),-0.351341 # DEPENDENCYPART_ARC
(13,19),-3.38295 # DEPENDENCYPART_ARC
(13,20),-2.67827 # DEPENDENCYPART_ARC
(13,21),-1.83354 # DEPENDENCYPART_ARC
(14,1),-2.67532 # DEPENDENCYPART_ARC
(14,2),-2.66124 # DEPENDENCYPART_ARC
(14,3),-3.0899 # DEPENDENCYPART_ARC
(14,4),-5.63844 # DEPENDENCYPART_ARC
(14,5),-0.970072 # DEPENDENCYPART_ARC
(14,6),-1.30105 # DEPENDENCYPART_ARC
(14,7),-5.48076 # DEPENDENCYPART_ARC
(14,8),-1.14235 # DEPENDENCYPART_ARC
(14,9),-4.16216 # DEPENDENCYPART_ARC
(14,10),-0.946273 # DEPENDENCYPART_ARC
(14,11),-3.68268 # DEPENDENCYPART_ARC
(14,12),-4.07634 # DEPENDENCYPART_ARC
(14,13),5.34708 # DEPENDENCYPART_ARC
(14,15),-0.262249 # DEPENDENCYPART_ARC
(14,16),-1.34244 # DEPENDENCYPART_ARC
(14,17),-4.09641 # DEPENDENCYPART_ARC
(14,18),0.0382542 # DEPENDENCYPART_ARC
(14,19),-3.75543 # DEPENDENCYPART_ARC
(14,20),0.793378 # DEPENDENCYPART_ARC
(14,21),-1.03509 # DEPENDENCYPART_ARC
(15,1),-1.21453 # DEPENDENCYPART_ARC
(15,2),-0.835396 # DEPENDENCYPART_ARC
(15,3),-1.10976 # DEPENDENCYPART_ARC
(15,4),-0.965851 # DEPENDENCYPART_ARC
(15,5),-0.906556 # DEPENDENCYPART_ARC
(15,6),-0.395082 # DEPENDENCYPART_ARC
(15,7),-0.475165 # DEPENDENCYPART_ARC
(15,8),-0.682586 # DEPENDENCYPART_ARC
(15,9),-0.55286 # DEPENDENCYPART_ARC
(15,10),0.00506799 # DEPENDENCYPART_ARC
(15,11),0.678326 # DEPENDENCYPART_ARC
(15,12),0.0173116 # DEPENDENCYPART_ARC
(15,13),-0.0185254 # DEPENDENCYPART_ARC
(15,14),-0.447861 # DEPENDENCYPART_ARC
(15,16),0.283021 # DEPENDENCYPART_ARC
(15,17),-0.0457196 # DEPENDENCYPART_ARC
(15,18),-0.0309356 # DEPENDENCYPART_ARC
(15,19),-0.46028 # DEPENDENCYPART_ARC
(15,20),0.203663 # DEPENDENCYPART_ARC
(15,21),-0.0751889 # DEPENDENCYPART_ARC
(16,1),-2.83982 # DEPENDENCYPART_ARC
(16,2),-3.27163 # DEPENDENCYPART_ARC
(16,3),-2.97539 # DEPENDENCYPART_ARC
(16,4),-3.90186 # DEPENDENCYPART_ARC
(16,5),-3.67066 # DEPENDENCYPART_ARC
(16,6),-2.64789 # DEPENDENCYPART_ARC
(16,7),-3.11004 # DEPENDENCYPART_ARC
(16,8),-2.48285 # DEPENDENCYPART_ARC
(16,9),-3.03339 # DEPENDENCYPART_ARC
(16,10),-2.48309 # DEPENDENCYPART_ARC
(16,11),-2.89965 # DEPENDENCYPART_ARC
(16,12),-3.58099 # DEPENDENCYPART_ARC
(16,13),-2.73952 # DEPENDENCYPART_ARC
(16,14),-2.93771 # DEPENDENCYPART_ARC
(16,15),-0.0570792 # DEPENDENCYPART_ARC
(16,17),3.43462 # DEPENDENCYPART_ARC
(16,18),0.45106 # DEPENDENCYPART_ARC
(16,19),-0.166973 # DEPENDENCYPART_ARC
(16,20),-1.42475 # DEPENDENCYPART_ARC
(16,21),-0.728322 # DEPENDENCYPART_ARC
(17,1),-1.80771 # DEPENDENCYPART_ARC
(17,2),-3.68866 # DEPENDENCYPART_ARC
(17,3),-2.94024 # DEPENDENCYPART_ARC
(17,4),-3.28684 # DEPENDENCYPART_ARC
(17,5),-1.95601 # DEPENDENCYPART_ARC
(17,6),-1.43195 # DEPENDENCYPART_ARC
(17,7),-1.25005 # DEPENDENCYPART_ARC
(17,8),-2.3253 # DEPENDENCYPART_ARC
(17,9),-1.28453 # DEPENDENCYPART_ARC
(17,10),-1.56649 # DEPENDENCYPART_ARC
(17,11),-3.11268 # DEPENDENCYPART_ARC
(17,12),-1.87082 # DEPENDENCYPART_ARC
(17,13),-2.74183 # DEPENDENCYPART_ARC
(17,14),-2.58503 # DEPENDENCYPART_ARC
(17,15),-0.630373 # DEPENDENCYPART_ARC
(17,16),-0.321347 # DEPENDENCYPART_ARC
(17,18),-0.14405 # DEPENDENCYPART_ARC
(17,19),-1.35526 # DEPENDENCYPART_ARC
(17,20),-0.898703 # DEPENDENCYPART_ARC
(17,21),-0.988354 # DEPENDENCYPART_ARC
(18,1),-1.31163 # DEPENDENCYPART_ARC
(18,2),0.0663715 # DEPENDENCYPART_ARC
(18,3),-1.40696 # DEPENDENCYPART_ARC
(18,4),-0.845438 # DEPENDENCYPART_ARC
(18,5),-2.77234 # DEPENDENCYPART_ARC
(18,6),-1.09116 # DEPENDENCYPART_ARC
(18,7),-0.221038 # DEPENDENCYPART_ARC
(18,8),-0.363502 # DEPENDENCYPART_ARC
(18,9),-0.0325443 # DEPENDENCYPART_ARC
(18,10),-0.0808861 # DEPENDENCYPART_ARC
(18,11),0.155622 # DEPENDENCYPART_ARC
(18,12),-0.319468 # DEPENDENCYPART_ARC
(18,13),-0.131026 # DEPENDENCYPART_ARC
(18,14),-0.623929 # DEPENDENCYPART_ARC
(18,15),1.26942 # DEPENDENCYPART_ARC
(18,16),-0.614431 # DEPENDENCYPART_ARC
(18,17),0.879776 # DEPENDENCYPART_ARC
(18,19),0.61747 # DEPENDENCYPART_ARC
(18,20),1.41793 # DEPENDENCYPART_ARC
(18,21),0.891495 # DEPENDENCYPART_ARC
(19,1),-4.37234 # DEPENDENCYPART_ARC
(19,2),-5.17105 # DEPENDENCYPART_ARC
(19,3),-3.79066 # DEPENDENCYPART_ARC
(19,4),-6.60674 # DEPENDENCYPART_ARC
(19,5),-2.69227 # DEPENDENCYPART_ARC
(19,6),-4.60361 # DEPENDENCYPART_ARC
(19,7),-8.64663 # DEPENDENCYPART_ARC
(19,8),-2.87729 # DEPENDENCYPART_ARC
(19,9),-6.97453 # DEPENDENCYPART_ARC
(19,10),-2.21437 # DEPENDENCYPART_ARC
(19,11),-6.07955 # DEPENDENCYPART_ARC
(19,12),-5.83283 # DEPENDENCYPART_ARC
(19,13),-2.57785 # DEPENDENCYPART_ARC
(19,14),-2.75009 # DEPENDENCYPART_ARC
(19,15),-1.01744 # DEPENDENCYPART_ARC
(19,16),-1.0042 # DEPENDENCYPART_ARC
(19,17),-3.18058 # DEPENDENCYPART_ARC
(19,18),0.398124 # DEPENDENCYPART_ARC
(19,20),-0.54027 # DEPENDENCYPART_ARC
(19,21),-0.940592 # DEPENDENCYPART_ARC
(20,1),-0.468057 # DEPENDENCYPART_ARC
(20,2),-1.36488 # DEPENDENCYPART_ARC
(20,3),-1.15084 # DEPENDENCYPART_ARC
(20,4),1.52632 # DEPENDENCYPART_ARC
(20,5),-0.6358 # DEPENDENCYPART_ARC
(20,6),-3.60448 # DEPENDENCYPART_ARC
(20,7),-0.0157584 # DEPENDENCYPART_ARC
(20,8),0.138072 # DEPENDENCYPART_ARC
(20,9),-0.924454 # DEPENDENCYPART_ARC
(20,10),-0.58818 # DEPENDENCYPART_ARC
(20,11),-1.6316 # DEPENDENCYPART_ARC
(20,12),0.622351 # DEPENDENCYPART_ARC
(20,13),-3.6699 # DEPENDENCYPART_ARC
(20,14),-2.37419 # DEPENDENCYPART_ARC
(20,15),1.48962 # DEPENDENCYPART_ARC
(20,16),2.43768 # DEPENDENCYPART_ARC
(20,17),-0.0930883 # DEPENDENCYPART_ARC
(20,18),1.68414 # DEPENDENCYPART_ARC
(20,19),4.07437 # DEPENDENCYPART_ARC
(20,21),0.270055 # DEPENDENCYPART_ARC
(21,1),-3.64551 # DEPENDENCYPART_ARC
(21,2),-1.60763 # DEPENDENCYPART_ARC
(21,3),-2.33828 # DEPENDENCYPART_ARC
(21,4),-2.29983 # DEPENDENCYPART_ARC
(21,5),-3.34559 # DEPENDENCYPART_ARC
(21,6),-1.84357 # DEPENDENCYPART_ARC
(21,7),-2.11892 # DEPENDENCYPART_ARC
(21,8),-2.39114 # DEPENDENCYPART_ARC
(21,9),-2.16228 # DEPENDENCYPART_ARC
(21,10),-2.15793 # DEPENDENCYPART_ARC
(21,11),-0.970916 # DEPENDENCYPART_ARC
(21,12),-1.52047 # DEPENDENCYPART_ARC
(21,13),-2.01481 # DEPENDENCYPART_ARC
(21,14),-1.33981 # DEPENDENCYPART_ARC
(21,15),-1.11377 # DEPENDENCYPART_ARC
(21,16),-1.46389 # DEPENDENCYPART_ARC
(21,17),-0.818101 # DEPENDENCYPART_ARC
(21,18),-0.868103 # DEPENDENCYPART_ARC
(21,19),-1.14974 # DEPENDENCYPART_ARC
(21,20),-1.56341 # DEPENDENCYPART_ARC
