# _root_ Podstatné je , že tyto peníze nejdou z podstaty , ale z lepších než očekávaných výsledků hospodaření .
#goldHeads=2,0,4,2,6,7,4,11,8,11,7,11,16,13,14,12,16,0,
#predictedHeads=2,0,4,2,6,7,4,7,8,11,7,11,12,13,14,12,16,0,
(11,18),0.27024 # DEPENDENCYPART_ARC
(12,1),-4.21814 # DEPENDENCYPART_ARC
(12,2),-3.64059 # DEPENDENCYPART_ARC
(12,3),-1.10712 # DEPENDENCYPART_ARC
(12,4),-2.11296 # DEPENDENCYPART_ARC
(12,5),-3.16151 # DEPENDENCYPART_ARC
(12,6),-3.69095 # DEPENDENCYPART_ARC
(12,7),-2.62987 # DEPENDENCYPART_ARC
(12,8),-2.20471 # DEPENDENCYPART_ARC
(12,9),-2.04253 # DEPENDENCYPART_ARC
(12,10),0.497428 # DEPENDENCYPART_ARC
(12,11),-0.275331 # DEPENDENCYPART_ARC
(12,13),1.74122 # DEPENDENCYPART_ARC
(12,14),0.461822 # DEPENDENCYPART_ARC
(12,15),-0.589024 # DEPENDENCYPART_ARC
(12,16),2.2327 # DEPENDENCYPART_ARC
(12,17),0.58394 # DEPENDENCYPART_ARC
(12,18),-0.861986 # DEPENDENCYPART_ARC
(13,1),-7.07779 # DEPENDENCYPART_ARC
(13,2),-4.57554 # DEPENDENCYPART_ARC
(13,3),-2.65603 # DEPENDENCYPART_ARC
(13,4),-2.65408 # DEPENDENCYPART_ARC
(13,5),-3.60431 # DEPENDENCYPART_ARC
(13,6),-6.04927 # DEPENDENCYPART_ARC
(13,7),-4.32127 # DEPENDENCYPART_ARC
(13,8),-1.88253 # DEPENDENCYPART_ARC
(13,9),-4.10656 # DEPENDENCYPART_ARC
(13,10),-0.81909 # DEPENDENCYPART_ARC
(13,11),-0.675901 # DEPENDENCYPART_ARC
(13,12),-0.553705 # DEPENDENCYPART_ARC
(13,14),2.33148 # DEPENDENCYPART_ARC
(13,15),-1.84646 # DEPENDENCYPART_ARC
(13,16),-1.12975 # DEPENDENCYPART_ARC
(13,17),-1.64247 # DEPENDENCYPART_ARC
(13,18),-0.355503 # DEPENDENCYPART_ARC
(14,1),-4.04192 # DEPENDENCYPART_ARC
(14,2),-4.02281 # DEPENDENCYPART_ARC
(14,3),-1.85777 # DEPENDENCYPART_ARC
(14,4),-2.36917 # DEPENDENCYPART_ARC
(14,5),-2.5359 # DEPENDENCYPART_ARC
(14,6),-2.7996 # DEPENDENCYPART_ARC
(14,7),-2.62947 # DEPENDENCYPART_ARC
(14,8),-2.30708 # DEPENDENCYPART_ARC
(14,9),-1.16273 # DEPENDENCYPART_ARC
(14,10),0.338211 # DEPENDENCYPART_ARC
(14,11),-1.70996 # DEPENDENCYPART_ARC
(14,12),-1.92503 # DEPENDENCYPART_ARC
(14,13),1.97362 # DEPENDENCYPART_ARC
(14,15),5.9119 # DEPENDENCYPART_ARC
(14,16),1.19697 # DEPENDENCYPART_ARC
(14,17),0.707741 # DEPENDENCYPART_ARC
(14,18),-0.114622 # DEPENDENCYPART_ARC
(15,1),-6.37248 # DEPENDENCYPART_ARC
(15,2),-4.71546 # DEPENDENCYPART_ARC
(15,3),-2.52468 # DEPENDENCYPART_ARC
(15,4),-3.03855 # DEPENDENCYPART_ARC
(15,5),-4.30884 # DEPENDENCYPART_ARC
(15,6),-5.58437 # DEPENDENCYPART_ARC
(15,7),-5.25062 # DEPENDENCYPART_ARC
(15,8),-2.81675 # DEPENDENCYPART_ARC
(15,9),-3.87018 # DEPENDENCYPART_ARC
(15,10),-1.24198 # DEPENDENCYPART_ARC
(15,11),-1.59485 # DEPENDENCYPART_ARC
(15,12),-1.21739 # DEPENDENCYPART_ARC
(15,13),-2.81551 # DEPENDENCYPART_ARC
(15,14),0.22139 # DEPENDENCYPART_ARC
(15,16),-1.24844 # DEPENDENCYPART_ARC
(15,17),-2.12452 # DEPENDENCYPART_ARC
(15,18),-0.98247 # DEPENDENCYPART_ARC
(16,1),-7.74576 # DEPENDENCYPART_ARC
(16,2),-2.92408 # DEPENDENCYPART_ARC
(16,3),-1.35636 # DEPENDENCYPART_ARC
(16,4),-4.25944 # DEPENDENCYPART_ARC
(16,5),-2.13903 # DEPENDENCYPART_ARC
(16,6),-6.50861 # DEPENDENCYPART_ARC
(16,7),-3.50748 # DEPENDENCYPART_ARC
(16,8),-1.6579 # DEPENDENCYPART_ARC
(16,9),-4.90103 # DEPENDENCYPART_ARC
(16,10),-0.383028 # DEPENDENCYPART_ARC
(16,11),-0.263758 # DEPENDENCYPART_ARC
(16,12),-1.17033 # DEPENDENCYPART_ARC
(16,13),0.833862 # DEPENDENCYPART_ARC
(16,14),1.67217 # DEPENDENCYPART_ARC
(16,15),4.01312 # DEPENDENCYPART_ARC
(16,17),3.2481 # DEPENDENCYPART_ARC
(16,18),-0.0121378 # DEPENDENCYPART_ARC
(17,1),-6.07106 # DEPENDENCYPART_ARC
(17,2),-3.04749 # DEPENDENCYPART_ARC
(17,3),-1.9064 # DEPENDENCYPART_ARC
(17,4),-4.81362 # DEPENDENCYPART_ARC
(17,5),-4.64004 # DEPENDENCYPART_ARC
(17,6),-7.99061 # DEPENDENCYPART_ARC
(17,7),-3.95243 # DEPENDENCYPART_ARC
(17,8),-1.57673 # DEPENDENCYPART_ARC
(17,9),-5.82961 # DEPENDENCYPART_ARC
(17,10),-0.886148 # DEPENDENCYPART_ARC
(17,11),-1.49102 # DEPENDENCYPART_ARC
(17,12),-1.14988 # DEPENDENCYPART_ARC
(17,13),-3.43857 # DEPENDENCYPART_ARC
(17,14),-0.441654 # DEPENDENCYPART_ARC
(17,15),-1.10596 # DEPENDENCYPART_ARC
(17,16),0.00356067 # DEPENDENCYPART_ARC
(17,18),0.322251 # DEPENDENCYPART_ARC
(18,1),-5.18176 # DEPENDENCYPART_ARC
(18,2),-5.1497 # DEPENDENCYPART_ARC
(18,3),-4.8321 # DEPENDENCYPART_ARC
(18,4),-4.67378 # DEPENDENCYPART_ARC
(18,5),-4.70133 # DEPENDENCYPART_ARC
(18,6),-5.28722 # DEPENDENCYPART_ARC
(18,7),-4.39465 # DEPENDENCYPART_ARC
(18,8),-4.53692 # DEPENDENCYPART_ARC
(18,9),-3.28498 # DEPENDENCYPART_ARC
(18,10),-3.5368 # DEPENDENCYPART_ARC
(18,11),-4.0823 # DEPENDENCYPART_ARC
(18,12),-4.32913 # DEPENDENCYPART_ARC
(18,13),-3.46721 # DEPENDENCYPART_ARC
(18,14),-3.59547 # DEPENDENCYPART_ARC
(18,15),-3.09436 # DEPENDENCYPART_ARC
(18,16),-3.51756 # DEPENDENCYPART_ARC
(18,17),-3.14043 # DEPENDENCYPART_ARC
