# _root_ Situaci ztěžuje skutečnost , že výrobní družstva invalidů musejí být zisková , aby se udržela .
#goldHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
#predictedHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
(8,10),-2.38857 # DEPENDENCYPART_ARC
(8,11),-4.12053 # DEPENDENCYPART_ARC
(8,12),-1.2703 # DEPENDENCYPART_ARC
(8,13),-1.86204 # DEPENDENCYPART_ARC
(8,14),-2.87692 # DEPENDENCYPART_ARC
(8,15),-5.45948 # DEPENDENCYPART_ARC
(8,16),-2.42738 # DEPENDENCYPART_ARC
(9,1),0.462838 # DEPENDENCYPART_ARC
(9,2),-2.26632 # DEPENDENCYPART_ARC
(9,3),-1.17279 # DEPENDENCYPART_ARC
(9,4),0.234394 # DEPENDENCYPART_ARC
(9,5),-0.542951 # DEPENDENCYPART_ARC
(9,6),-0.968538 # DEPENDENCYPART_ARC
(9,7),2.25837 # DEPENDENCYPART_ARC
(9,8),0.150063 # DEPENDENCYPART_ARC
(9,10),3.15125 # DEPENDENCYPART_ARC
(9,11),0.673294 # DEPENDENCYPART_ARC
(9,12),0.494164 # DEPENDENCYPART_ARC
(9,13),1.52151 # DEPENDENCYPART_ARC
(9,14),-0.665213 # DEPENDENCYPART_ARC
(9,15),-2.82095 # DEPENDENCYPART_ARC
(9,16),0.136883 # DEPENDENCYPART_ARC
(10,1),1.73705 # DEPENDENCYPART_ARC
(10,2),-4.44659 # DEPENDENCYPART_ARC
(10,3),-2.06478 # DEPENDENCYPART_ARC
(10,4),-0.835911 # DEPENDENCYPART_ARC
(10,5),-1.1995 # DEPENDENCYPART_ARC
(10,6),-0.719315 # DEPENDENCYPART_ARC
(10,7),0.54976 # DEPENDENCYPART_ARC
(10,8),-0.362395 # DEPENDENCYPART_ARC
(10,9),0.0718387 # DEPENDENCYPART_ARC
(10,11),3.10498 # DEPENDENCYPART_ARC
(10,12),0.517212 # DEPENDENCYPART_ARC
(10,13),0.92302 # DEPENDENCYPART_ARC
(10,14),-0.107863 # DEPENDENCYPART_ARC
(10,15),-1.3638 # DEPENDENCYPART_ARC
(10,16),-0.43813 # DEPENDENCYPART_ARC
(11,1),-3.5917 # DEPENDENCYPART_ARC
(11,2),-2.58573 # DEPENDENCYPART_ARC
(11,3),-3.06166 # DEPENDENCYPART_ARC
(11,4),-2.01155 # DEPENDENCYPART_ARC
(11,5),-1.73498 # DEPENDENCYPART_ARC
(11,6),-2.11801 # DEPENDENCYPART_ARC
(11,7),-2.38634 # DEPENDENCYPART_ARC
(11,8),-3.28853 # DEPENDENCYPART_ARC
(11,9),-2.12804 # DEPENDENCYPART_ARC
(11,10),0.256534 # DEPENDENCYPART_ARC
(11,12),-0.524951 # DEPENDENCYPART_ARC
(11,13),0.133927 # DEPENDENCYPART_ARC
(11,14),-1.0982 # DEPENDENCYPART_ARC
(11,15),-1.91557 # DEPENDENCYPART_ARC
(11,16),-1.42561 # DEPENDENCYPART_ARC
(12,1),-2.15266 # DEPENDENCYPART_ARC
(12,2),-0.883413 # DEPENDENCYPART_ARC
(12,3),-1.26597 # DEPENDENCYPART_ARC
(12,4),-0.0581678 # DEPENDENCYPART_ARC
(12,5),0.100089 # DEPENDENCYPART_ARC
(12,6),-1.31714 # DEPENDENCYPART_ARC
(12,7),-1.25679 # DEPENDENCYPART_ARC
(12,8),-1.12503 # DEPENDENCYPART_ARC
(12,9),0.174569 # DEPENDENCYPART_ARC
(12,10),0.0646445 # DEPENDENCYPART_ARC
(12,11),0.396751 # DEPENDENCYPART_ARC
(12,13),0.479621 # DEPENDENCYPART_ARC
(12,14),-0.0338858 # DEPENDENCYPART_ARC
(12,15),0.456052 # DEPENDENCYPART_ARC
(12,16),0.248877 # DEPENDENCYPART_ARC
(13,1),-1.88594 # DEPENDENCYPART_ARC
(13,2),-2.28548 # DEPENDENCYPART_ARC
(13,3),-1.60351 # DEPENDENCYPART_ARC
(13,4),-1.47557 # DEPENDENCYPART_ARC
(13,5),-0.937582 # DEPENDENCYPART_ARC
(13,6),-1.89621 # DEPENDENCYPART_ARC
(13,7),-1.33036 # DEPENDENCYPART_ARC
(13,8),-0.986459 # DEPENDENCYPART_ARC
(13,9),-0.508943 # DEPENDENCYPART_ARC
(13,10),-0.422003 # DEPENDENCYPART_ARC
(13,11),0.191952 # DEPENDENCYPART_ARC
(13,12),3.06731 # DEPENDENCYPART_ARC
(13,14),-0.282576 # DEPENDENCYPART_ARC
(13,15),2.83979 # DEPENDENCYPART_ARC
(13,16),0.780413 # DEPENDENCYPART_ARC
(14,1),-3.96173 # DEPENDENCYPART_ARC
(14,2),-3.01731 # DEPENDENCYPART_ARC
(14,3),-3.95543 # DEPENDENCYPART_ARC
(14,4),-2.47213 # DEPENDENCYPART_ARC
(14,5),-3.61826 # DEPENDENCYPART_ARC
(14,6),-4.52626 # DEPENDENCYPART_ARC
(14,7),-3.73448 # DEPENDENCYPART_ARC
(14,8),-3.73613 # DEPENDENCYPART_ARC
(14,9),-2.80859 # DEPENDENCYPART_ARC
(14,10),-1.90997 # DEPENDENCYPART_ARC
(14,11),-3.63359 # DEPENDENCYPART_ARC
(14,12),-1.51499 # DEPENDENCYPART_ARC
(14,13),-1.06872 # DEPENDENCYPART_ARC
(14,15),-3.14378 # DEPENDENCYPART_ARC
(14,16),-2.29406 # DEPENDENCYPART_ARC
(15,1),-0.256634 # DEPENDENCYPART_ARC
(15,2),-3.07258 # DEPENDENCYPART_ARC
(15,3),-1.01429 # DEPENDENCYPART_ARC
(15,4),-1.22695 # DEPENDENCYPART_ARC
(15,5),-2.08968 # DEPENDENCYPART_ARC
(15,6),-1.94333 # DEPENDENCYPART_ARC
(15,7),-0.783558 # DEPENDENCYPART_ARC
(15,8),-4.02251 # DEPENDENCYPART_ARC
(15,9),-2.7305 # DEPENDENCYPART_ARC
(15,10),-0.929737 # DEPENDENCYPART_ARC
(15,11),-1.15159 # DEPENDENCYPART_ARC
(15,12),0.205522 # DEPENDENCYPART_ARC
(15,13),0.124126 # DEPENDENCYPART_ARC
(15,14),4.93211 # DEPENDENCYPART_ARC
(15,16),-0.0844257 # DEPENDENCYPART_ARC
(16,1),-5.39518 # DEPENDENCYPART_ARC
(16,2),-4.64013 # DEPENDENCYPART_ARC
(16,3),-4.21356 # DEPENDENCYPART_ARC
(16,4),-4.01252 # DEPENDENCYPART_ARC
(16,5),-4.32274 # DEPENDENCYPART_ARC
(16,6),-4.47522 # DEPENDENCYPART_ARC
(16,7),-4.68619 # DEPENDENCYPART_ARC
(16,8),-4.32642 # DEPENDENCYPART_ARC
(16,9),-4.17493 # DEPENDENCYPART_ARC
(16,10),-4.15865 # DEPENDENCYPART_ARC
(16,11),-3.42022 # DEPENDENCYPART_ARC
(16,12),-2.83712 # DEPENDENCYPART_ARC
(16,13),-3.06546 # DEPENDENCYPART_ARC
(16,14),-2.60742 # DEPENDENCYPART_ARC
(16,15),-3.66541 # DEPENDENCYPART_ARC
