# _root_ Nyní věnujme pozornost oblasti , která sice není středem pozornosti širší veřejnosti , přesto může podstatnou měrou ovlivnit rozvoj budoucích generací - mimoškolní činnosti dětí a žáků .
#goldHeads=2,0,2,22,14,14,14,14,8,9,12,10,14,4,14,17,18,15,18,21,19,2,24,22,26,24,26,0,
#predictedHeads=2,13,2,2,2,8,8,4,8,9,12,10,14,15,0,17,15,15,18,21,19,14,22,23,26,24,26,0,
(6,27),-3.08054 # DEPENDENCYPART_ARC
(6,28),-2.58736 # DEPENDENCYPART_ARC
(7,1),-1.28567 # DEPENDENCYPART_ARC
(7,2),-1.02563 # DEPENDENCYPART_ARC
(7,3),-1.04258 # DEPENDENCYPART_ARC
(7,4),-0.685809 # DEPENDENCYPART_ARC
(7,5),-0.22056 # DEPENDENCYPART_ARC
(7,6),0.363967 # DEPENDENCYPART_ARC
(7,8),-0.280741 # DEPENDENCYPART_ARC
(7,9),-0.940959 # DEPENDENCYPART_ARC
(7,10),-1.42931 # DEPENDENCYPART_ARC
(7,11),-1.13889 # DEPENDENCYPART_ARC
(7,12),-2.05724 # DEPENDENCYPART_ARC
(7,13),-0.949184 # DEPENDENCYPART_ARC
(7,14),-1.1615 # DEPENDENCYPART_ARC
(7,15),-1.81128 # DEPENDENCYPART_ARC
(7,16),-1.87687 # DEPENDENCYPART_ARC
(7,17),-3.10837 # DEPENDENCYPART_ARC
(7,18),-2.10621 # DEPENDENCYPART_ARC
(7,19),-3.85333 # DEPENDENCYPART_ARC
(7,20),-2.22507 # DEPENDENCYPART_ARC
(7,21),-4.1263 # DEPENDENCYPART_ARC
(7,22),-1.50089 # DEPENDENCYPART_ARC
(7,23),-2.38551 # DEPENDENCYPART_ARC
(7,24),-4.64905 # DEPENDENCYPART_ARC
(7,25),-4.60228 # DEPENDENCYPART_ARC
(7,26),-2.23972 # DEPENDENCYPART_ARC
(7,27),-5.3391 # DEPENDENCYPART_ARC
(7,28),-4.80128 # DEPENDENCYPART_ARC
(8,1),0.728182 # DEPENDENCYPART_ARC
(8,2),-1.16041 # DEPENDENCYPART_ARC
(8,3),-0.324378 # DEPENDENCYPART_ARC
(8,4),-0.671695 # DEPENDENCYPART_ARC
(8,5),1.11856 # DEPENDENCYPART_ARC
(8,6),2.3544 # DEPENDENCYPART_ARC
(8,7),2.21632 # DEPENDENCYPART_ARC
(8,9),3.42217 # DEPENDENCYPART_ARC
(8,10),1.22602 # DEPENDENCYPART_ARC
(8,11),-1.1136 # DEPENDENCYPART_ARC
(8,12),-0.0274647 # DEPENDENCYPART_ARC
(8,13),0.200264 # DEPENDENCYPART_ARC
(8,14),0.581863 # DEPENDENCYPART_ARC
(8,15),-1.44675 # DEPENDENCYPART_ARC
(8,16),-2.92965 # DEPENDENCYPART_ARC
(8,17),-1.02277 # DEPENDENCYPART_ARC
(8,18),0.0299628 # DEPENDENCYPART_ARC
(8,19),-0.445076 # DEPENDENCYPART_ARC
(8,20),-4.56301 # DEPENDENCYPART_ARC
(8,21),-3.33543 # DEPENDENCYPART_ARC
(8,22),-0.858259 # DEPENDENCYPART_ARC
(8,23),-2.82581 # DEPENDENCYPART_ARC
(8,24),-2.6077 # DEPENDENCYPART_ARC
(8,25),-4.01196 # DEPENDENCYPART_ARC
(8,26),0.0401027 # DEPENDENCYPART_ARC
(8,27),-5.09655 # DEPENDENCYPART_ARC
(8,28),-1.51293 # DEPENDENCYPART_ARC
(9,1),-2.26704 # DEPENDENCYPART_ARC
(9,2),-1.93056 # DEPENDENCYPART_ARC
(9,3),-4.04982 # DEPENDENCYPART_ARC
(9,4),-4.47856 # DEPENDENCYPART_ARC
(9,5),-0.766811 # DEPENDENCYPART_ARC
(9,6),-1.41316 # DEPENDENCYPART_ARC
(9,7),0.110627 # DEPENDENCYPART_ARC
(9,8),-1.06214 # DEPENDENCYPART_ARC
(9,10),3.8044 # DEPENDENCYPART_ARC
(9,11),-0.234426 # DEPENDENCYPART_ARC
(9,12),1.79395 # DEPENDENCYPART_ARC
(9,13),0.416457 # DEPENDENCYPART_ARC
(9,14),0.0296953 # DEPENDENCYPART_ARC
(9,15),-0.114536 # DEPENDENCYPART_ARC
(9,16),-1.13869 # DEPENDENCYPART_ARC
(9,17),-1.34716 # DEPENDENCYPART_ARC
(9,18),-0.39304 # DEPENDENCYPART_ARC
(9,19),-4.6768 # DEPENDENCYPART_ARC
(9,20),-4.16778 # DEPENDENCYPART_ARC
(9,21),-1.32342 # DEPENDENCYPART_ARC
(9,22),-0.882865 # DEPENDENCYPART_ARC
(9,23),-5.01476 # DEPENDENCYPART_ARC
(9,24),-2.92244 # DEPENDENCYPART_ARC
(9,25),-1.60005 # DEPENDENCYPART_ARC
(9,26),-0.243698 # DEPENDENCYPART_ARC
(9,27),-2.99801 # DEPENDENCYPART_ARC
(9,28),-8.2822 # DEPENDENCYPART_ARC
(10,1),-2.27673 # DEPENDENCYPART_ARC
(10,2),-1.59219 # DEPENDENCYPART_ARC
(10,3),-2.71864 # DEPENDENCYPART_ARC
(10,4),-4.11383 # DEPENDENCYPART_ARC
(10,5),-0.7355 # DEPENDENCYPART_ARC
(10,6),-0.786706 # DEPENDENCYPART_ARC
(10,7),-0.0136753 # DEPENDENCYPART_ARC
(10,8),-1.41417 # DEPENDENCYPART_ARC
(10,9),-1.01571 # DEPENDENCYPART_ARC
(10,11),2.77798 # DEPENDENCYPART_ARC
(10,12),3.32365 # DEPENDENCYPART_ARC
(10,13),0.0348734 # DEPENDENCYPART_ARC
(10,14),-0.290412 # DEPENDENCYPART_ARC
(10,15),-0.606 # DEPENDENCYPART_ARC
(10,16),-1.51229 # DEPENDENCYPART_ARC
(10,17),-1.81643 # DEPENDENCYPART_ARC
(10,18),-1.07073 # DEPENDENCYPART_ARC
(10,19),-5.82623 # DEPENDENCYPART_ARC
(10,20),-1.47225 # DEPENDENCYPART_ARC
(10,21),-0.425765 # DEPENDENCYPART_ARC
(10,22),-1.22567 # DEPENDENCYPART_ARC
(10,23),-3.71838 # DEPENDENCYPART_ARC
(10,24),-2.86903 # DEPENDENCYPART_ARC
(10,25),-1.19068 # DEPENDENCYPART_ARC
(10,26),-0.284915 # DEPENDENCYPART_ARC
(10,27),-2.90611 # DEPENDENCYPART_ARC
(10,28),-8.21479 # DEPENDENCYPART_ARC
(11,1),-2.20903 # DEPENDENCYPART_ARC
(11,2),-2.17224 # DEPENDENCYPART_ARC
(11,3),-2.79405 # DEPENDENCYPART_ARC
(11,4),-2.35427 # DEPENDENCYPART_ARC
(11,5),-0.801498 # DEPENDENCYPART_ARC
(11,6),-1.20763 # DEPENDENCYPART_ARC
(11,7),-0.697873 # DEPENDENCYPART_ARC
(11,8),-2.09632 # DEPENDENCYPART_ARC
(11,9),-0.355777 # DEPENDENCYPART_ARC
(11,10),-0.572439 # DEPENDENCYPART_ARC
(11,12),1.22984 # DEPENDENCYPART_ARC
(11,13),-0.387998 # DEPENDENCYPART_ARC
(11,14),0.269214 # DEPENDENCYPART_ARC
(11,15),-2.16006 # DEPENDENCYPART_ARC
(11,16),-3.08784 # DEPENDENCYPART_ARC
(11,17),-1.79695 # DEPENDENCYPART_ARC
(11,18),-1.25495 # DEPENDENCYPART_ARC
(11,19),-4.46472 # DEPENDENCYPART_ARC
(11,20),-3.74564 # DEPENDENCYPART_ARC
(11,21),-3.17616 # DEPENDENCYPART_ARC
(11,22),-1.64063 # DEPENDENCYPART_ARC
(11,23),-4.61008 # DEPENDENCYPART_ARC
(11,24),-4.29763 # DEPENDENCYPART_ARC
(11,25),-5.28599 # DEPENDENCYPART_ARC
(11,26),-0.490079 # DEPENDENCYPART_ARC
(11,27),-5.5259 # DEPENDENCYPART_ARC
(11,28),-3.70305 # DEPENDENCYPART_ARC
(12,1),-2.63826 # DEPENDENCYPART_ARC
(12,2),-1.63291 # DEPENDENCYPART_ARC
(12,3),-3.20082 # DEPENDENCYPART_ARC
(12,4),-4.35054 # DEPENDENCYPART_ARC
(12,5),-1.1543 # DEPENDENCYPART_ARC
(12,6),-0.908095 # DEPENDENCYPART_ARC
(12,7),-0.99658 # DEPENDENCYPART_ARC
(12,8),-1.97093 # DEPENDENCYPART_ARC
(12,9),-2.25666 # DEPENDENCYPART_ARC
(12,10),0.323937 # DEPENDENCYPART_ARC
(12,11),5.32612 # DEPENDENCYPART_ARC
(12,13),-0.736857 # DEPENDENCYPART_ARC
(12,14),-0.644199 # DEPENDENCYPART_ARC
(12,15),0.194697 # DEPENDENCYPART_ARC
(12,16),-1.15654 # DEPENDENCYPART_ARC
(12,17),-2.74461 # DEPENDENCYPART_ARC
(12,18),-0.350552 # DEPENDENCYPART_ARC
(12,19),-6.38139 # DEPENDENCYPART_ARC
(12,20),-1.48298 # DEPENDENCYPART_ARC
(12,21),-1.64038 # DEPENDENCYPART_ARC
(12,22),-1.61862 # DEPENDENCYPART_ARC
(12,23),-3.75546 # DEPENDENCYPART_ARC
(12,24),-4.01274 # DEPENDENCYPART_ARC
(12,25),-1.97789 # DEPENDENCYPART_ARC
(12,26),-1.16282 # DEPENDENCYPART_ARC
(12,27),-3.50076 # DEPENDENCYPART_ARC
(12,28),-7.52303 # DEPENDENCYPART_ARC
(13,1),0.185772 # DEPENDENCYPART_ARC
(13,2),0.103111 # DEPENDENCYPART_ARC
(13,3),0.0879686 # DEPENDENCYPART_ARC
(13,4),-0.0273134 # DEPENDENCYPART_ARC
(13,5),0.474738 # DEPENDENCYPART_ARC
(13,6),0.138499 # DEPENDENCYPART_ARC
(13,7),0.661903 # DEPENDENCYPART_ARC
(13,8),0.303136 # DEPENDENCYPART_ARC
(13,9),0.880096 # DEPENDENCYPART_ARC
(13,10),0.70932 # DEPENDENCYPART_ARC
(13,11),0.511878 # DEPENDENCYPART_ARC
(13,12),0.560545 # DEPENDENCYPART_ARC
(13,14),0.0234998 # DEPENDENCYPART_ARC
(13,15),0.865487 # DEPENDENCYPART_ARC
(13,16),0.206379 # DEPENDENCYPART_ARC
(13,17),-0.444219 # DEPENDENCYPART_ARC
(13,18),0.00756615 # DEPENDENCYPART_ARC
(13,19),-1.52437 # DEPENDENCYPART_ARC
(13,20),-0.717292 # DEPENDENCYPART_ARC
(13,21),-1.47134 # DEPENDENCYPART_ARC
(13,22),-0.741367 # DEPENDENCYPART_ARC
(13,23),-1.31215 # DEPENDENCYPART_ARC
(13,24),-2.09028 # DEPENDENCYPART_ARC
(13,25),-1.70956 # DEPENDENCYPART_ARC
(13,26),-0.102683 # DEPENDENCYPART_ARC
(13,27),-2.38884 # DEPENDENCYPART_ARC
(13,28),-1.4382 # DEPENDENCYPART_ARC
(14,1),-0.919236 # DEPENDENCYPART_ARC
(14,2),-0.102309 # DEPENDENCYPART_ARC
(14,3),-0.271516 # DEPENDENCYPART_ARC
(14,4),0.210052 # DEPENDENCYPART_ARC
(14,5),-0.0107849 # DEPENDENCYPART_ARC
(14,6),-0.420658 # DEPENDENCYPART_ARC
(14,7),0.405559 # DEPENDENCYPART_ARC
(14,8),-0.0883494 # DEPENDENCYPART_ARC
(14,9),0.0273056 # DEPENDENCYPART_ARC
(14,10),0.637361 # DEPENDENCYPART_ARC
(14,11),0.204298 # DEPENDENCYPART_ARC
(14,12),0.766094 # DEPENDENCYPART_ARC
(14,13),1.39556 # DEPENDENCYPART_ARC
(14,15),1.42331 # DEPENDENCYPART_ARC
(14,16),-0.17562 # DEPENDENCYPART_ARC
(14,17),-0.536955 # DEPENDENCYPART_ARC
(14,18),0.956358 # DEPENDENCYPART_ARC
(14,19),-1.22501 # DEPENDENCYPART_ARC
(14,20),-0.179817 # DEPENDENCYPART_ARC
(14,21),-0.512969 # DEPENDENCYPART_ARC
(14,22),0.6253 # DEPENDENCYPART_ARC
(14,23),-1.18538 # DEPENDENCYPART_ARC
(14,24),-2.27048 # DEPENDENCYPART_ARC
(14,25),-1.3453 # DEPENDENCYPART_ARC
(14,26),-0.0514851 # DEPENDENCYPART_ARC
(14,27),-1.81121 # DEPENDENCYPART_ARC
(14,28),-1.54583 # DEPENDENCYPART_ARC
(15,1),0.10353 # DEPENDENCYPART_ARC
(15,2),-1.78479 # DEPENDENCYPART_ARC
(15,3),-0.542514 # DEPENDENCYPART_ARC
(15,4),-1.32227 # DEPENDENCYPART_ARC
(15,5),-0.494841 # DEPENDENCYPART_ARC
(15,6),0.890668 # DEPENDENCYPART_ARC
(15,7),-0.249757 # DEPENDENCYPART_ARC
(15,8),-1.56155 # DEPENDENCYPART_ARC
(15,9),0.549263 # DEPENDENCYPART_ARC
(15,10),-1.99426 # DEPENDENCYPART_ARC
(15,11),-2.75923 # DEPENDENCYPART_ARC
(15,12),-2.25796 # DEPENDENCYPART_ARC
(15,13),0.983707 # DEPENDENCYPART_ARC
(15,14),2.19613 # DEPENDENCYPART_ARC
(15,16),-0.765238 # DEPENDENCYPART_ARC
(15,17),2.35543 # DEPENDENCYPART_ARC
(15,18),2.66118 # DEPENDENCYPART_ARC
(15,19),1.32556 # DEPENDENCYPART_ARC
(15,20),-4.41163 # DEPENDENCYPART_ARC
(15,21),-1.26066 # DEPENDENCYPART_ARC
(15,22),0.356384 # DEPENDENCYPART_ARC
(15,23),-3.50711 # DEPENDENCYPART_ARC
(15,24),-0.535867 # DEPENDENCYPART_ARC
(15,25),-2.79875 # DEPENDENCYPART_ARC
(15,26),1.04151 # DEPENDENCYPART_ARC
(15,27),-3.59192 # DEPENDENCYPART_ARC
(15,28),-0.923926 # DEPENDENCYPART_ARC
(16,1),-3.92814 # DEPENDENCYPART_ARC
(16,2),-3.40958 # DEPENDENCYPART_ARC
(16,3),-4.6735 # DEPENDENCYPART_ARC
(16,4),-4.17391 # DEPENDENCYPART_ARC
(16,5),-2.57415 # DEPENDENCYPART_ARC
(16,6),-3.51239 # DEPENDENCYPART_ARC
(16,7),-2.79109 # DEPENDENCYPART_ARC
(16,8),-3.47244 # DEPENDENCYPART_ARC
(16,9),-1.92701 # DEPENDENCYPART_ARC
(16,10),-4.93506 # DEPENDENCYPART_ARC
(16,11),-3.49604 # DEPENDENCYPART_ARC
(16,12),-4.87041 # DEPENDENCYPART_ARC
(16,13),-0.733219 # DEPENDENCYPART_ARC
(16,14),0.227681 # DEPENDENCYPART_ARC
(16,15),-1.92794 # DEPENDENCYPART_ARC
(16,17),0.315639 # DEPENDENCYPART_ARC
(16,18),0.196177 # DEPENDENCYPART_ARC
(16,19),-3.71463 # DEPENDENCYPART_ARC
(16,20),-4.36035 # DEPENDENCYPART_ARC
(16,21),-3.55884 # DEPENDENCYPART_ARC
(16,22),-1.39533 # DEPENDENCYPART_ARC
(16,23),-4.69248 # DEPENDENCYPART_ARC
(16,24),-3.75672 # DEPENDENCYPART_ARC
(16,25),-6.03703 # DEPENDENCYPART_ARC
(16,26),-0.641472 # DEPENDENCYPART_ARC
(16,27),-5.84283 # DEPENDENCYPART_ARC
(16,28),-3.27069 # DEPENDENCYPART_ARC
(17,1),-3.11 # DEPENDENCYPART_ARC
(17,2),-1.4914 # DEPENDENCYPART_ARC
(17,3),-3.6868 # DEPENDENCYPART_ARC
(17,4),-4.63187 # DEPENDENCYPART_ARC
(17,5),-1.74968 # DEPENDENCYPART_ARC
(17,6),-1.35818 # DEPENDENCYPART_ARC
(17,7),-2.0698 # DEPENDENCYPART_ARC
(17,8),-2.07653 # DEPENDENCYPART_ARC
(17,9),-0.871887 # DEPENDENCYPART_ARC
(17,10),-3.08566 # DEPENDENCYPART_ARC
(17,11),-0.568465 # DEPENDENCYPART_ARC
(17,12),-3.28521 # DEPENDENCYPART_ARC
(17,13),-0.392973 # DEPENDENCYPART_ARC
(17,14),-0.20898 # DEPENDENCYPART_ARC
(17,15),-0.159855 # DEPENDENCYPART_ARC
(17,16),5.23625 # DEPENDENCYPART_ARC
(17,18),1.17331 # DEPENDENCYPART_ARC
(17,19),-2.57359 # DEPENDENCYPART_ARC
(17,20),-0.956806 # DEPENDENCYPART_ARC
(17,21),-0.0729204 # DEPENDENCYPART_ARC
(17,22),-0.485483 # DEPENDENCYPART_ARC
(17,23),-2.08858 # DEPENDENCYPART_ARC
(17,24),-2.08271 # DEPENDENCYPART_ARC
(17,25),-1.12662 # DEPENDENCYPART_ARC
(17,26),-0.422564 # DEPENDENCYPART_ARC
(17,27),-2.14286 # DEPENDENCYPART_ARC
(17,28),-5.04131 # DEPENDENCYPART_ARC
(18,1),-0.100349 # DEPENDENCYPART_ARC
(18,2),-1.29572 # DEPENDENCYPART_ARC
(18,3),0.787757 # DEPENDENCYPART_ARC
(18,4),-1.38229 # DEPENDENCYPART_ARC
(18,5),0.108168 # DEPENDENCYPART_ARC
(18,6),0.0880837 # DEPENDENCYPART_ARC
(18,7),-0.159639 # DEPENDENCYPART_ARC
(18,8),-2.09717 # DEPENDENCYPART_ARC
(18,9),0.981868 # DEPENDENCYPART_ARC
(18,10),-1.08821 # DEPENDENCYPART_ARC
(18,11),-3.48179 # DEPENDENCYPART_ARC
(18,12),-1.96558 # DEPENDENCYPART_ARC
(18,13),0.798885 # DEPENDENCYPART_ARC
(18,14),1.50401 # DEPENDENCYPART_ARC
(18,15),-0.762461 # DEPENDENCYPART_ARC
(18,16),-0.837363 # DEPENDENCYPART_ARC
(18,17),2.13468 # DEPENDENCYPART_ARC
(18,19),3.5714 # DEPENDENCYPART_ARC
