# _root_ A míra exportního výkonu , vztahující objem vývozu na jednoho obyvatele , je žalostná :
#goldHeads=0,13,4,2,6,2,6,7,6,11,9,6,1,13,0,
#predictedHeads=13,1,4,2,6,2,6,7,7,11,9,6,0,13,0,
(10,6),-3.16534 # DEPENDENCYPART_ARC
(10,7),-0.764751 # DEPENDENCYPART_ARC
(10,8),-0.0280691 # DEPENDENCYPART_ARC
(10,9),-0.872268 # DEPENDENCYPART_ARC
(10,11),2.67194 # DEPENDENCYPART_ARC
(10,12),-0.84899 # DEPENDENCYPART_ARC
(10,13),-1.56016 # DEPENDENCYPART_ARC
(10,14),-2.03194 # DEPENDENCYPART_ARC
(10,15),-1.89509 # DEPENDENCYPART_ARC
(11,1),-0.923124 # DEPENDENCYPART_ARC
(11,2),-6.00839 # DEPENDENCYPART_ARC
(11,3),-2.43703 # DEPENDENCYPART_ARC
(11,4),-3.83315 # DEPENDENCYPART_ARC
(11,5),-0.323686 # DEPENDENCYPART_ARC
(11,6),-3.88155 # DEPENDENCYPART_ARC
(11,7),-0.421481 # DEPENDENCYPART_ARC
(11,8),-2.05214 # DEPENDENCYPART_ARC
(11,9),0.100105 # DEPENDENCYPART_ARC
(11,10),5.6858 # DEPENDENCYPART_ARC
(11,12),-0.882594 # DEPENDENCYPART_ARC
(11,13),-1.67131 # DEPENDENCYPART_ARC
(11,14),-3.698 # DEPENDENCYPART_ARC
(11,15),-1.69202 # DEPENDENCYPART_ARC
(12,1),-0.458352 # DEPENDENCYPART_ARC
(12,2),-0.0873949 # DEPENDENCYPART_ARC
(12,3),-0.657367 # DEPENDENCYPART_ARC
(12,4),-0.15076 # DEPENDENCYPART_ARC
(12,5),0.10474 # DEPENDENCYPART_ARC
(12,6),-0.524606 # DEPENDENCYPART_ARC
(12,7),0.527846 # DEPENDENCYPART_ARC
(12,8),0.16886 # DEPENDENCYPART_ARC
(12,9),-0.0172344 # DEPENDENCYPART_ARC
(12,10),-0.0321718 # DEPENDENCYPART_ARC
(12,11),0.166249 # DEPENDENCYPART_ARC
(12,13),0.2163 # DEPENDENCYPART_ARC
(12,14),-0.655148 # DEPENDENCYPART_ARC
(12,15),0.431754 # DEPENDENCYPART_ARC
(13,1),0.707727 # DEPENDENCYPART_ARC
(13,2),1.35041 # DEPENDENCYPART_ARC
(13,3),-5.02118 # DEPENDENCYPART_ARC
(13,4),-1.87764 # DEPENDENCYPART_ARC
(13,5),0.0757226 # DEPENDENCYPART_ARC
(13,6),-0.329641 # DEPENDENCYPART_ARC
(13,7),0.600021 # DEPENDENCYPART_ARC
(13,8),-1.10294 # DEPENDENCYPART_ARC
(13,9),-0.540633 # DEPENDENCYPART_ARC
(13,10),-0.644221 # DEPENDENCYPART_ARC
(13,11),0.40189 # DEPENDENCYPART_ARC
(13,12),0.169809 # DEPENDENCYPART_ARC
(13,14),3.65549 # DEPENDENCYPART_ARC
(13,15),0.919487 # DEPENDENCYPART_ARC
(14,1),-2.32107 # DEPENDENCYPART_ARC
(14,2),-2.9412 # DEPENDENCYPART_ARC
(14,3),-4.46762 # DEPENDENCYPART_ARC
(14,4),-3.71814 # DEPENDENCYPART_ARC
(14,5),-1.82807 # DEPENDENCYPART_ARC
(14,6),-3.35998 # DEPENDENCYPART_ARC
(14,7),-2.43525 # DEPENDENCYPART_ARC
(14,8),-3.29573 # DEPENDENCYPART_ARC
(14,9),-0.231602 # DEPENDENCYPART_ARC
(14,10),-3.41446 # DEPENDENCYPART_ARC
(14,11),-1.33195 # DEPENDENCYPART_ARC
(14,12),-0.695348 # DEPENDENCYPART_ARC
(14,13),-1.5985 # DEPENDENCYPART_ARC
(14,15),-0.672147 # DEPENDENCYPART_ARC
(15,1),-2.40745 # DEPENDENCYPART_ARC
(15,2),-2.40851 # DEPENDENCYPART_ARC
(15,3),-2.04197 # DEPENDENCYPART_ARC
(15,4),-2.7577 # DEPENDENCYPART_ARC
(15,5),-2.18815 # DEPENDENCYPART_ARC
(15,6),-1.72383 # DEPENDENCYPART_ARC
(15,7),-1.95861 # DEPENDENCYPART_ARC
(15,8),-1.8984 # DEPENDENCYPART_ARC
(15,9),-1.63858 # DEPENDENCYPART_ARC
(15,10),-1.17039 # DEPENDENCYPART_ARC
(15,11),-1.43723 # DEPENDENCYPART_ARC
(15,12),-0.996449 # DEPENDENCYPART_ARC
(15,13),-0.939047 # DEPENDENCYPART_ARC
(15,14),0.0422594 # DEPENDENCYPART_ARC
