# _root_ Nepřispěje - li sponzor , nezbude škole než využít možností , které jí dává zákonodárce .
#goldHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
#predictedHeads=3,3,6,1,3,0,6,7,8,9,14,14,14,10,14,0,
(5,10),-2.25687 # DEPENDENCYPART_ARC
(5,11),-0.31201 # DEPENDENCYPART_ARC
(5,12),-2.30722 # DEPENDENCYPART_ARC
(5,13),-1.93798 # DEPENDENCYPART_ARC
(5,14),-1.81624 # DEPENDENCYPART_ARC
(5,15),-3.78804 # DEPENDENCYPART_ARC
(5,16),-0.541168 # DEPENDENCYPART_ARC
(6,1),-0.447095 # DEPENDENCYPART_ARC
(6,2),0.366984 # DEPENDENCYPART_ARC
(6,3),1.97805 # DEPENDENCYPART_ARC
(6,4),0.737254 # DEPENDENCYPART_ARC
(6,5),0.0543331 # DEPENDENCYPART_ARC
(6,7),2.773 # DEPENDENCYPART_ARC
(6,8),0.795426 # DEPENDENCYPART_ARC
(6,9),1.54276 # DEPENDENCYPART_ARC
(6,10),-2.10391 # DEPENDENCYPART_ARC
(6,11),0.405419 # DEPENDENCYPART_ARC
(6,12),-5.75925 # DEPENDENCYPART_ARC
(6,13),-2.36582 # DEPENDENCYPART_ARC
(6,14),-2.44665 # DEPENDENCYPART_ARC
(6,15),-1.89958 # DEPENDENCYPART_ARC
(6,16),-0.107863 # DEPENDENCYPART_ARC
(7,1),-2.92184 # DEPENDENCYPART_ARC
(7,2),-1.19045 # DEPENDENCYPART_ARC
(7,3),-0.917537 # DEPENDENCYPART_ARC
(7,4),-2.9615 # DEPENDENCYPART_ARC
(7,5),-0.95403 # DEPENDENCYPART_ARC
(7,6),-1.21952 # DEPENDENCYPART_ARC
(7,8),0.850607 # DEPENDENCYPART_ARC
(7,9),-0.120032 # DEPENDENCYPART_ARC
(7,10),0.929928 # DEPENDENCYPART_ARC
(7,11),-0.103224 # DEPENDENCYPART_ARC
(7,12),-2.3487 # DEPENDENCYPART_ARC
(7,13),-1.38792 # DEPENDENCYPART_ARC
(7,14),-1.92169 # DEPENDENCYPART_ARC
(7,15),-3.31825 # DEPENDENCYPART_ARC
(7,16),-1.85698 # DEPENDENCYPART_ARC
(8,1),-1.76036 # DEPENDENCYPART_ARC
(8,2),-0.498231 # DEPENDENCYPART_ARC
(8,3),-0.346675 # DEPENDENCYPART_ARC
(8,4),-0.80528 # DEPENDENCYPART_ARC
(8,5),1.61893 # DEPENDENCYPART_ARC
(8,6),0.93355 # DEPENDENCYPART_ARC
(8,7),-0.894819 # DEPENDENCYPART_ARC
(8,9),2.96736 # DEPENDENCYPART_ARC
(8,10),1.81896 # DEPENDENCYPART_ARC
(8,11),1.10772 # DEPENDENCYPART_ARC
(8,13),-0.444784 # DEPENDENCYPART_ARC
(8,14),0.30561 # DEPENDENCYPART_ARC
(8,15),-0.773514 # DEPENDENCYPART_ARC
(8,16),-0.372538 # DEPENDENCYPART_ARC
(9,1),-4.04617 # DEPENDENCYPART_ARC
(9,2),-1.05888 # DEPENDENCYPART_ARC
(9,3),-0.264572 # DEPENDENCYPART_ARC
(9,4),-2.29036 # DEPENDENCYPART_ARC
(9,5),-1.65666 # DEPENDENCYPART_ARC
(9,6),-2.45648 # DEPENDENCYPART_ARC
(9,7),0.0580843 # DEPENDENCYPART_ARC
(9,8),0.084767 # DEPENDENCYPART_ARC
(9,10),1.96605 # DEPENDENCYPART_ARC
(9,11),0.0842057 # DEPENDENCYPART_ARC
(9,12),-0.647535 # DEPENDENCYPART_ARC
(9,13),0.796742 # DEPENDENCYPART_ARC
(9,14),-0.618059 # DEPENDENCYPART_ARC
(9,15),-1.97737 # DEPENDENCYPART_ARC
(9,16),-0.906083 # DEPENDENCYPART_ARC
(10,1),-3.67224 # DEPENDENCYPART_ARC
(10,2),-1.97067 # DEPENDENCYPART_ARC
(10,3),-2.34918 # DEPENDENCYPART_ARC
(10,4),-6.06956 # DEPENDENCYPART_ARC
(10,5),-2.16905 # DEPENDENCYPART_ARC
(10,6),-2.99644 # DEPENDENCYPART_ARC
(10,7),-3.78642 # DEPENDENCYPART_ARC
(10,8),-0.960083 # DEPENDENCYPART_ARC
(10,9),0.135626 # DEPENDENCYPART_ARC
(10,11),-0.130399 # DEPENDENCYPART_ARC
(10,12),-1.78678 # DEPENDENCYPART_ARC
(10,13),-2.25216 # DEPENDENCYPART_ARC
(10,14),1.2871 # DEPENDENCYPART_ARC
(10,15),-2.90048 # DEPENDENCYPART_ARC
(10,16),-0.569395 # DEPENDENCYPART_ARC
(11,1),-2.02159 # DEPENDENCYPART_ARC
(11,2),-1.63648 # DEPENDENCYPART_ARC
(11,3),-1.47373 # DEPENDENCYPART_ARC
(11,4),-2.18374 # DEPENDENCYPART_ARC
(11,5),-1.26468 # DEPENDENCYPART_ARC
(11,6),-0.940612 # DEPENDENCYPART_ARC
(11,7),-1.63851 # DEPENDENCYPART_ARC
(11,8),-1.01058 # DEPENDENCYPART_ARC
(11,9),-0.746867 # DEPENDENCYPART_ARC
(11,10),-0.869926 # DEPENDENCYPART_ARC
(11,12),-1.02342 # DEPENDENCYPART_ARC
(11,13),-0.751498 # DEPENDENCYPART_ARC
(11,14),0.26673 # DEPENDENCYPART_ARC
(11,15),-1.33826 # DEPENDENCYPART_ARC
(11,16),-0.857023 # DEPENDENCYPART_ARC
(12,1),-3.69995 # DEPENDENCYPART_ARC
(12,2),-2.33861 # DEPENDENCYPART_ARC
(12,4),-5.12852 # DEPENDENCYPART_ARC
(12,5),-1.83323 # DEPENDENCYPART_ARC
(12,6),-3.67453 # DEPENDENCYPART_ARC
(12,7),-3.13966 # DEPENDENCYPART_ARC
(12,10),-1.79807 # DEPENDENCYPART_ARC
(12,11),-0.250818 # DEPENDENCYPART_ARC
(12,14),-0.946324 # DEPENDENCYPART_ARC
(12,15),-0.402379 # DEPENDENCYPART_ARC
(12,16),-0.361777 # DEPENDENCYPART_ARC
(13,1),-3.29323 # DEPENDENCYPART_ARC
(13,2),-2.18388 # DEPENDENCYPART_ARC
(13,3),-1.80191 # DEPENDENCYPART_ARC
(13,4),-4.39626 # DEPENDENCYPART_ARC
(13,5),-1.58745 # DEPENDENCYPART_ARC
(13,6),-3.19055 # DEPENDENCYPART_ARC
(13,7),-1.72013 # DEPENDENCYPART_ARC
(13,8),-1.87919 # DEPENDENCYPART_ARC
(13,9),-0.175402 # DEPENDENCYPART_ARC
(13,10),-1.77456 # DEPENDENCYPART_ARC
(13,11),-0.29923 # DEPENDENCYPART_ARC
(13,14),-1.83486 # DEPENDENCYPART_ARC
(13,15),-0.694045 # DEPENDENCYPART_ARC
(13,16),-0.954717 # DEPENDENCYPART_ARC
(14,1),-3.53704 # DEPENDENCYPART_ARC
(14,2),-1.02383 # DEPENDENCYPART_ARC
(14,3),0.819844 # DEPENDENCYPART_ARC
(14,4),-1.67329 # DEPENDENCYPART_ARC
(14,5),-1.63818 # DEPENDENCYPART_ARC
(14,6),-2.5704 # DEPENDENCYPART_ARC
(14,7),-1.37306 # DEPENDENCYPART_ARC
(14,8),0.383334 # DEPENDENCYPART_ARC
(14,9),1.16824 # DEPENDENCYPART_ARC
(14,10),-3.55758 # DEPENDENCYPART_ARC
(14,11),2.11004 # DEPENDENCYPART_ARC
(14,12),1.86569 # DEPENDENCYPART_ARC
(14,13),3.21473 # DEPENDENCYPART_ARC
(14,15),3.6236 # DEPENDENCYPART_ARC
(14,16),-0.00205963 # DEPENDENCYPART_ARC
(15,1),-4.09554 # DEPENDENCYPART_ARC
(15,2),-2.61953 # DEPENDENCYPART_ARC
(15,3),-3.1227 # DEPENDENCYPART_ARC
(15,4),-3.34093 # DEPENDENCYPART_ARC
(15,5),-2.88875 # DEPENDENCYPART_ARC
(15,6),-3.73182 # DEPENDENCYPART_ARC
(15,7),-7.44176 # DEPENDENCYPART_ARC
(15,8),-3.28891 # DEPENDENCYPART_ARC
(15,9),-1.68791 # DEPENDENCYPART_ARC
(15,10),-7.51522 # DEPENDENCYPART_ARC
(15,11),-1.15658 # DEPENDENCYPART_ARC
(15,12),-4.43875 # DEPENDENCYPART_ARC
(15,13),-2.54405 # DEPENDENCYPART_ARC
(15,14),-0.89167 # DEPENDENCYPART_ARC
(15,16),0.493254 # DEPENDENCYPART_ARC
(16,1),-5.04661 # DEPENDENCYPART_ARC
(16,2),-4.0278 # DEPENDENCYPART_ARC
(16,3),-3.74445 # DEPENDENCYPART_ARC
(16,4),-5.15914 # DEPENDENCYPART_ARC
(16,5),-4.22769 # DEPENDENCYPART_ARC
(16,6),-4.02836 # DEPENDENCYPART_ARC
(16,7),-4.48199 # DEPENDENCYPART_ARC
(16,8),-3.42297 # DEPENDENCYPART_ARC
(16,9),-3.78386 # DEPENDENCYPART_ARC
(16,10),-3.34403 # DEPENDENCYPART_ARC
(16,11),-2.83928 # DEPENDENCYPART_ARC
(16,12),-3.02453 # DEPENDENCYPART_ARC
(16,13),-3.015 # DEPENDENCYPART_ARC
(16,14),-3.64165 # DEPENDENCYPART_ARC
(16,15),-2.79505 # DEPENDENCYPART_ARC
