# _root_ Záplava objevů v infračerveném světle je prostě neuvěřitelná : poznali jsme , jak velká složka hmoty ve vesmíru je chladná , vlastně přímo mrazivá .
#goldHeads=6,1,2,5,3,9,6,6,0,9,10,21,14,15,19,15,16,17,21,19,10,21,24,21,0,
#predictedHeads=6,1,2,5,3,9,6,6,0,9,10,19,14,15,19,15,16,17,21,19,9,19,24,21,0,
(5,23),-2.90104 # DEPENDENCYPART_ARC
(5,24),-5.93463 # DEPENDENCYPART_ARC
(5,25),-7.60019 # DEPENDENCYPART_ARC
(6,1),3.17414 # DEPENDENCYPART_ARC
(6,2),-0.868803 # DEPENDENCYPART_ARC
(6,3),0.962437 # DEPENDENCYPART_ARC
(6,4),-1.43649 # DEPENDENCYPART_ARC
(6,5),1.17191 # DEPENDENCYPART_ARC
(6,7),2.39203 # DEPENDENCYPART_ARC
(6,8),4.03455 # DEPENDENCYPART_ARC
(6,9),1.39039 # DEPENDENCYPART_ARC
(6,10),-0.802148 # DEPENDENCYPART_ARC
(6,11),-0.0737249 # DEPENDENCYPART_ARC
(6,12),0.21895 # DEPENDENCYPART_ARC
(6,13),-0.961412 # DEPENDENCYPART_ARC
(6,14),-1.72699 # DEPENDENCYPART_ARC
(6,15),-0.512031 # DEPENDENCYPART_ARC
(6,16),-2.43952 # DEPENDENCYPART_ARC
(6,17),-0.586418 # DEPENDENCYPART_ARC
(6,18),-3.16391 # DEPENDENCYPART_ARC
(6,19),-2.82788 # DEPENDENCYPART_ARC
(6,20),-1.105 # DEPENDENCYPART_ARC
(6,21),-0.562679 # DEPENDENCYPART_ARC
(6,22),-1.33509 # DEPENDENCYPART_ARC
(6,23),-2.95935 # DEPENDENCYPART_ARC
(6,24),-1.35797 # DEPENDENCYPART_ARC
(6,25),-0.266849 # DEPENDENCYPART_ARC
(7,1),-2.30579 # DEPENDENCYPART_ARC
(7,2),-1.08454 # DEPENDENCYPART_ARC
(7,3),-2.09059 # DEPENDENCYPART_ARC
(7,4),-2.17905 # DEPENDENCYPART_ARC
(7,5),-1.67465 # DEPENDENCYPART_ARC
(7,6),-1.47279 # DEPENDENCYPART_ARC
(7,8),-1.57654 # DEPENDENCYPART_ARC
(7,9),-0.261575 # DEPENDENCYPART_ARC
(7,10),-1.74563 # DEPENDENCYPART_ARC
(7,11),-2.53972 # DEPENDENCYPART_ARC
(7,12),-1.22862 # DEPENDENCYPART_ARC
(7,13),-0.897092 # DEPENDENCYPART_ARC
(7,14),-2.96119 # DEPENDENCYPART_ARC
(7,15),-3.33158 # DEPENDENCYPART_ARC
(7,16),-1.87929 # DEPENDENCYPART_ARC
(7,17),-1.76653 # DEPENDENCYPART_ARC
(7,18),-2.85744 # DEPENDENCYPART_ARC
(7,19),-2.56551 # DEPENDENCYPART_ARC
(7,20),-3.43559 # DEPENDENCYPART_ARC
(7,21),-1.73703 # DEPENDENCYPART_ARC
(7,22),-1.80291 # DEPENDENCYPART_ARC
(7,23),-2.06762 # DEPENDENCYPART_ARC
(7,24),-3.86148 # DEPENDENCYPART_ARC
(7,25),-3.77658 # DEPENDENCYPART_ARC
(8,1),-1.75551 # DEPENDENCYPART_ARC
(8,2),-3.51791 # DEPENDENCYPART_ARC
(8,3),0.493424 # DEPENDENCYPART_ARC
(8,4),-2.70486 # DEPENDENCYPART_ARC
(8,5),-2.67921 # DEPENDENCYPART_ARC
(8,6),-1.25457 # DEPENDENCYPART_ARC
(8,7),2.34828 # DEPENDENCYPART_ARC
(8,9),0.598431 # DEPENDENCYPART_ARC
(8,10),-1.88495 # DEPENDENCYPART_ARC
(8,11),-2.28105 # DEPENDENCYPART_ARC
(8,12),-1.48492 # DEPENDENCYPART_ARC
(8,13),-0.974526 # DEPENDENCYPART_ARC
(8,14),-1.81881 # DEPENDENCYPART_ARC
(8,15),-3.69324 # DEPENDENCYPART_ARC
(8,16),-3.49281 # DEPENDENCYPART_ARC
(8,17),-1.58704 # DEPENDENCYPART_ARC
(8,18),-3.58559 # DEPENDENCYPART_ARC
(8,19),-3.42573 # DEPENDENCYPART_ARC
(8,20),-2.87294 # DEPENDENCYPART_ARC
(8,21),-1.99541 # DEPENDENCYPART_ARC
(8,22),-1.7533 # DEPENDENCYPART_ARC
(8,23),-1.72251 # DEPENDENCYPART_ARC
(8,24),-3.04276 # DEPENDENCYPART_ARC
(8,25),-3.47233 # DEPENDENCYPART_ARC
(9,1),0.785994 # DEPENDENCYPART_ARC
(9,2),0.294396 # DEPENDENCYPART_ARC
(9,3),0.253697 # DEPENDENCYPART_ARC
(9,4),0.484981 # DEPENDENCYPART_ARC
(9,5),0.732794 # DEPENDENCYPART_ARC
(9,6),1.52823 # DEPENDENCYPART_ARC
(9,7),1.1391 # DEPENDENCYPART_ARC
(9,8),0.457803 # DEPENDENCYPART_ARC
(9,10),1.18584 # DEPENDENCYPART_ARC
(9,11),0.28689 # DEPENDENCYPART_ARC
(9,12),0.497871 # DEPENDENCYPART_ARC
(9,13),-0.748083 # DEPENDENCYPART_ARC
(9,14),0.781006 # DEPENDENCYPART_ARC
(9,15),-2.23884 # DEPENDENCYPART_ARC
(9,16),-2.19741 # DEPENDENCYPART_ARC
(9,17),-1.10044 # DEPENDENCYPART_ARC
(9,18),-2.71653 # DEPENDENCYPART_ARC
(9,19),-0.932628 # DEPENDENCYPART_ARC
(9,20),-1.92558 # DEPENDENCYPART_ARC
(9,21),0.210359 # DEPENDENCYPART_ARC
(9,22),-1.63519 # DEPENDENCYPART_ARC
(9,23),-1.2616 # DEPENDENCYPART_ARC
(9,24),-1.79939 # DEPENDENCYPART_ARC
(9,25),-0.974687 # DEPENDENCYPART_ARC
(10,1),0.974021 # DEPENDENCYPART_ARC
(10,2),-1.47215 # DEPENDENCYPART_ARC
(10,3),-0.262294 # DEPENDENCYPART_ARC
(10,4),-4.10819 # DEPENDENCYPART_ARC
(10,5),-1.2699 # DEPENDENCYPART_ARC
(10,6),-0.763949 # DEPENDENCYPART_ARC
(10,7),0.650868 # DEPENDENCYPART_ARC
(10,8),-1.20004 # DEPENDENCYPART_ARC
(10,9),0.787485 # DEPENDENCYPART_ARC
(10,11),4.00675 # DEPENDENCYPART_ARC
(10,12),0.626714 # DEPENDENCYPART_ARC
(10,13),0.461335 # DEPENDENCYPART_ARC
(10,14),-1.8554 # DEPENDENCYPART_ARC
(10,15),0.345008 # DEPENDENCYPART_ARC
(10,16),-1.05271 # DEPENDENCYPART_ARC
(10,17),0.574159 # DEPENDENCYPART_ARC
(10,18),-2.18845 # DEPENDENCYPART_ARC
(10,19),-1.03065 # DEPENDENCYPART_ARC
(10,20),-2.46664 # DEPENDENCYPART_ARC
(10,21),-0.185561 # DEPENDENCYPART_ARC
(10,22),-0.129314 # DEPENDENCYPART_ARC
(10,23),-1.63334 # DEPENDENCYPART_ARC
(10,24),-3.26172 # DEPENDENCYPART_ARC
(10,25),-0.149075 # DEPENDENCYPART_ARC
(11,1),-1.833 # DEPENDENCYPART_ARC
(11,2),-2.49692 # DEPENDENCYPART_ARC
(11,3),-2.0834 # DEPENDENCYPART_ARC
(11,4),-6.39619 # DEPENDENCYPART_ARC
(11,5),-2.74146 # DEPENDENCYPART_ARC
(11,6),-2.75212 # DEPENDENCYPART_ARC
(11,7),-0.985742 # DEPENDENCYPART_ARC
(11,8),-2.95235 # DEPENDENCYPART_ARC
(11,9),-0.560243 # DEPENDENCYPART_ARC
(11,10),-0.949816 # DEPENDENCYPART_ARC
(11,12),-0.372684 # DEPENDENCYPART_ARC
(11,13),-0.494845 # DEPENDENCYPART_ARC
(11,14),-2.32787 # DEPENDENCYPART_ARC
(11,15),-0.968637 # DEPENDENCYPART_ARC
(11,16),-2.30211 # DEPENDENCYPART_ARC
(11,17),-0.873734 # DEPENDENCYPART_ARC
(11,18),-3.52202 # DEPENDENCYPART_ARC
(11,19),-1.94316 # DEPENDENCYPART_ARC
(11,20),-2.77814 # DEPENDENCYPART_ARC
(11,21),-0.711864 # DEPENDENCYPART_ARC
(11,22),-1.09549 # DEPENDENCYPART_ARC
(11,23),-2.19447 # DEPENDENCYPART_ARC
(11,24),-3.6815 # DEPENDENCYPART_ARC
(11,25),-1.0788 # DEPENDENCYPART_ARC
(12,1),-0.956271 # DEPENDENCYPART_ARC
(12,2),-0.878576 # DEPENDENCYPART_ARC
(12,3),-0.110241 # DEPENDENCYPART_ARC
(12,4),-0.431473 # DEPENDENCYPART_ARC
(12,5),-0.629189 # DEPENDENCYPART_ARC
(12,6),0.051348 # DEPENDENCYPART_ARC
(12,7),0.132486 # DEPENDENCYPART_ARC
(12,8),-0.0459971 # DEPENDENCYPART_ARC
(12,9),0.885053 # DEPENDENCYPART_ARC
(12,10),0.507666 # DEPENDENCYPART_ARC
(12,11),0.22513 # DEPENDENCYPART_ARC
(12,13),0.0400826 # DEPENDENCYPART_ARC
(12,14),0.999814 # DEPENDENCYPART_ARC
(12,15),-0.300037 # DEPENDENCYPART_ARC
(12,16),-0.676162 # DEPENDENCYPART_ARC
(12,17),-0.194644 # DEPENDENCYPART_ARC
(12,18),-1.63533 # DEPENDENCYPART_ARC
(12,19),-0.424784 # DEPENDENCYPART_ARC
(12,20),-1.31592 # DEPENDENCYPART_ARC
(12,21),-0.302814 # DEPENDENCYPART_ARC
(12,22),-1.50683 # DEPENDENCYPART_ARC
(12,23),-1.08481 # DEPENDENCYPART_ARC
(12,24),-1.2324 # DEPENDENCYPART_ARC
(12,25),-1.24802 # DEPENDENCYPART_ARC
(13,1),-1.96467 # DEPENDENCYPART_ARC
(13,2),-1.65181 # DEPENDENCYPART_ARC
(13,3),-1.36435 # DEPENDENCYPART_ARC
(13,4),-1.31299 # DEPENDENCYPART_ARC
(13,5),-1.73268 # DEPENDENCYPART_ARC
(13,6),-1.37984 # DEPENDENCYPART_ARC
(13,7),-0.725374 # DEPENDENCYPART_ARC
(13,8),-0.491611 # DEPENDENCYPART_ARC
(13,9),-0.804375 # DEPENDENCYPART_ARC
(13,10),-0.30843 # DEPENDENCYPART_ARC
(13,11),-0.354777 # DEPENDENCYPART_ARC
(13,12),0.361457 # DEPENDENCYPART_ARC
(13,14),0.89045 # DEPENDENCYPART_ARC
(13,15),0.697532 # DEPENDENCYPART_ARC
(13,16),-0.108004 # DEPENDENCYPART_ARC
(13,17),-0.94338 # DEPENDENCYPART_ARC
(13,18),-0.89068 # DEPENDENCYPART_ARC
(13,19),-0.0890862 # DEPENDENCYPART_ARC
(13,20),-1.06228 # DEPENDENCYPART_ARC
(13,21),-0.327454 # DEPENDENCYPART_ARC
(13,22),-0.961448 # DEPENDENCYPART_ARC
(13,23),-1.02817 # DEPENDENCYPART_ARC
(13,24),-1.53724 # DEPENDENCYPART_ARC
(13,25),-1.89022 # DEPENDENCYPART_ARC
(14,1),-3.80722 # DEPENDENCYPART_ARC
(14,2),-5.33906 # DEPENDENCYPART_ARC
(14,3),-2.08439 # DEPENDENCYPART_ARC
(14,4),-4.98154 # DEPENDENCYPART_ARC
(14,5),-5.06219 # DEPENDENCYPART_ARC
(14,6),-3.38765 # DEPENDENCYPART_ARC
(14,7),-0.909102 # DEPENDENCYPART_ARC
(14,8),-3.05561 # DEPENDENCYPART_ARC
(14,9),-1.91129 # DEPENDENCYPART_ARC
(14,10),-4.10906 # DEPENDENCYPART_ARC
(14,11),-3.22052 # DEPENDENCYPART_ARC
(14,12),0.00851502 # DEPENDENCYPART_ARC
(14,13),1.0295 # DEPENDENCYPART_ARC
(14,15),0.467651 # DEPENDENCYPART_ARC
(14,16),-0.324033 # DEPENDENCYPART_ARC
(14,17),0.181108 # DEPENDENCYPART_ARC
(14,18),-0.951206 # DEPENDENCYPART_ARC
(14,19),-2.14662 # DEPENDENCYPART_ARC
(14,20),-2.23632 # DEPENDENCYPART_ARC
(14,21),-0.330391 # DEPENDENCYPART_ARC
(14,22),-0.739973 # DEPENDENCYPART_ARC
(14,23),-0.731791 # DEPENDENCYPART_ARC
(14,24),-2.46193 # DEPENDENCYPART_ARC
(14,25),-1.52648 # DEPENDENCYPART_ARC
(15,1),-3.46762 # DEPENDENCYPART_ARC
(15,2),-7.95926 # DEPENDENCYPART_ARC
(15,3),-2.60626 # DEPENDENCYPART_ARC
(15,4),-3.72398 # DEPENDENCYPART_ARC
(15,5),-6.7314 # DEPENDENCYPART_ARC
(15,6),-2.25052 # DEPENDENCYPART_ARC
(15,7),-1.50786 # DEPENDENCYPART_ARC
(15,8),-1.85954 # DEPENDENCYPART_ARC
(15,9),-0.546746 # DEPENDENCYPART_ARC
(15,10),-4.89614 # DEPENDENCYPART_ARC
(15,11),-1.94224 # DEPENDENCYPART_ARC
(15,12),0.255007 # DEPENDENCYPART_ARC
(15,13),0.277881 # DEPENDENCYPART_ARC
(15,14),4.08235 # DEPENDENCYPART_ARC
(15,16),3.74626 # DEPENDENCYPART_ARC
(15,17),1.33663 # DEPENDENCYPART_ARC
(15,18),0.101239 # DEPENDENCYPART_ARC
(15,19),-0.421813 # DEPENDENCYPART_ARC
(15,20),-0.0522121 # DEPENDENCYPART_ARC
(15,21),-0.626603 # DEPENDENCYPART_ARC
(15,22),-0.436201 # DEPENDENCYPART_ARC
(15,23),-0.808906 # DEPENDENCYPART_ARC
(15,24),-0.559957 # DEPENDENCYPART_ARC
(15,25),-3.02567 # DEPENDENCYPART_ARC
(16,1),-4.86565 # DEPENDENCYPART_ARC
(16,2),-6.46245 # DEPENDENCYPART_ARC
(16,3),-3.43456 # DEPENDENCYPART_ARC
(16,4),-4.88375 # DEPENDENCYPART_ARC
(16,5),-6.89341 # DEPENDENCYPART_ARC
(16,6),-2.47345 # DEPENDENCYPART_ARC
(16,7),-1.835 # DEPENDENCYPART_ARC
(16,8),-4.55934 # DEPENDENCYPART_ARC
(16,9),-1.50079 # DEPENDENCYPART_ARC
(16,10),-4.36033 # DEPENDENCYPART_ARC
(16,11),-2.42673 # DEPENDENCYPART_ARC
(16,12),-0.582735 # DEPENDENCYPART_ARC
(16,13),-0.455213 # DEPENDENCYPART_ARC
(16,14),0.473021 # DEPENDENCYPART_ARC
(16,15),-0.600505 # DEPENDENCYPART_ARC
(16,17),1.55334 # DEPENDENCYPART_ARC
(16,18),-0.45694 # DEPENDENCYPART_ARC
(16,19),-0.815364 # DEPENDENCYPART_ARC
(16,20),-1.3344 # DEPENDENCYPART_ARC
(16,21),-0.799862 # DEPENDENCYPART_ARC
(16,22),-0.45808 # DEPENDENCYPART_ARC
(16,23),-0.923499 # DEPENDENCYPART_ARC
(16,24),-1.93923 # DEPENDENCYPART_ARC
(16,25),-2.41962 # DEPENDENCYPART_ARC
(17,1),-5.07412 # DEPENDENCYPART_ARC
(17,2),-4.67569 # DEPENDENCYPART_ARC
(17,3),-4.13531 # DEPENDENCYPART_ARC
(17,4),-3.12565 # DEPENDENCYPART_ARC
(17,5),-3.46894 # DEPENDENCYPART_ARC
(17,6),-3.56687 # DEPENDENCYPART_ARC
(17,7),-2.96258 # DEPENDENCYPART_ARC
(17,8),-3.41965 # DEPENDENCYPART_ARC
(17,9),-2.74694 # DEPENDENCYPART_ARC
(17,10),-3.46355 # DEPENDENCYPART_ARC
(17,11),-3.08017 # DEPENDENCYPART_ARC
(17,12),-1.35012 # DEPENDENCYPART_ARC
(17,13),-2.14285 # DEPENDENCYPART_ARC
(17,14),-2.46864 # DEPENDENCYPART_ARC
(17,15),-3.04288 # DEPENDENCYPART_ARC
(17,16),-1.44427 # DEPENDENCYPART_ARC
(17,18),5.6805 # DEPENDENCYPART_ARC
(17,19),-0.844941 # DEPENDENCYPART_ARC
(17,20),-2.11853 # DEPENDENCYPART_ARC
(17,21),-0.651347 # DEPENDENCYPART_ARC
(17,22),-0.730858 # DEPENDENCYPART_ARC
(17,23),-1.42299 # DEPENDENCYPART_ARC
(17,24),-3.0416 # DEPENDENCYPART_ARC
(17,25),-1.63293 # DEPENDENCYPART_ARC
(18,1),-5.64926 # DEPENDENCYPART_ARC
(18,2),-7.37262 # DEPENDENCYPART_ARC
(18,3),-3.23268 # DEPENDENCYPART_ARC
(18,4),-3.69917 # DEPENDENCYPART_ARC
(18,5),-4.59589 # DEPENDENCYPART_ARC
(18,6),-2.89444 # DEPENDENCYPART_ARC
(18,7),-2.82438 # DEPENDENCYPART_ARC
(18,8),-6.76169 # DEPENDENCYPART_ARC
(18,9),-2.39405 # DEPENDENCYPART_ARC
(18,10),-5.95149 # DEPENDENCYPART_ARC
(18,11),-3.24192 # DEPENDENCYPART_ARC
(18,12),-1.53168 # DEPENDENCYPART_ARC
(18,13),-1.5496 # DEPENDENCYPART_ARC
(18,14),-2.97303 # DEPENDENCYPART_ARC
(18,15),-2.18289 # DEPENDENCYPART_ARC
(18,16),-2.37972 # DEPENDENCYPART_ARC
(18,17),1.09971 # DEPENDENCYPART_ARC
(18,19),-0.883822 # DEPENDENCYPART_ARC
(18,20),-3.17251 # DEPENDENCYPART_ARC
(18,21),-1.29529 # DEPENDENCYPART_ARC
(18,22),-1.18316 # DEPENDENCYPART_ARC
(18,23),-1.60511 # DEPENDENCYPART_ARC
(18,24),-4.29209 # DEPENDENCYPART_ARC
(18,25),-2.15548 # DEPENDENCYPART_ARC
(19,1),2.08964 # DEPENDENCYPART_ARC
(19,2),-2.12185 # DEPENDENCYPART_ARC
(19,3),-0.632505 # DEPENDENCYPART_ARC
(19,4),-3.99752 # DEPENDENCYPART_ARC
(19,5),-0.105866 # DEPENDENCYPART_ARC
(19,6),-2.30531 # DEPENDENCYPART_ARC
(19,7),-1.02069 # DEPENDENCYPART_ARC
(19,8),-0.60888 # DEPENDENCYPART_ARC
(19,9),-0.12472 # DEPENDENCYPART_ARC
(19,10),-1.07851 # DEPENDENCYPART_ARC
(19,11),-0.865214 # DEPENDENCYPART_ARC
(19,12),0.998242 # DEPENDENCYPART_ARC
(19,13),-0.133113 # DEPENDENCYPART_ARC
(19,14),-0.491912 # DEPENDENCYPART_ARC
(19,15),2.44381 # DEPENDENCYPART_ARC
(19,16),-0.41667 # DEPENDENCYPART_ARC
(19,17),1.0278 # DEPENDENCYPART_ARC
(19,18),0.77745 # DEPENDENCYPART_ARC
(19,20),3.99348 # DEPENDENCYPART_ARC
(19,21),0.405098 # DEPENDENCYPART_ARC
(19,22),1.52403 # DEPENDENCYPART_ARC
(19,23),0.137451 # DEPENDENCYPART_ARC
(19,24),1.67008 # DEPENDENCYPART_ARC
(19,25),0.0993984 # DEPENDENCYPART_ARC
(20,1),-3.8749 # DEPENDENCYPART_ARC
(20,2),-5.49762 # DEPENDENCYPART_ARC
(20,3),-2.39864 # DEPENDENCYPART_ARC
(20,4),-5.25685 # DEPENDENCYPART_ARC
(20,5),-5.31049 # DEPENDENCYPART_ARC
(20,6),-3.7337 # DEPENDENCYPART_ARC
(20,7),-2.36006 # DEPENDENCYPART_ARC
(20,8),-3.54648 # DEPENDENCYPART_ARC
(20,9),-2.99553 # DEPENDENCYPART_ARC
(20,10),-4.79546 # DEPENDENCYPART_ARC
(20,11),-4.03335 # DEPENDENCYPART_ARC
(20,12),-1.44291 # DEPENDENCYPART_ARC
(20,13),-1.59914 # DEPENDENCYPART_ARC
(20,14),-2.33425 # DEPENDENCYPART_ARC
(20,15),-1.99188 # DEPENDENCYPART_ARC
(20,16),-2.74095 # DEPENDENCYPART_ARC
(20,17),0.0592693 # DEPENDENCYPART_ARC
(20,18),-2.04047 # DEPENDENCYPART_ARC
(20,19),-1.43718 # DEPENDENCYPART_ARC
(20,21),-0.250489 # DEPENDENCYPART_ARC
(20,22),-0.0753173 # DEPENDENCYPART_ARC
(20,23),-0.255012 # DEPENDENCYPART_ARC
(20,24),-1.50929 # DEPENDENCYPART_ARC
(20,25),-0.963381 # DEPENDENCYPART_ARC
(21,1),-1.84658 # DEPENDENCYPART_ARC
