# _root_ Neuspěje - li ani do této doby , je to signál , že cena byla špatně stanovena a je na místě úvaha o jejím snížení .
#goldHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,17,17,17,18,13,18,19,20,19,22,25,23,0,
#predictedHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,15,18,17,18,13,18,19,20,19,22,25,23,0,
(6,2),-1.14907 # DEPENDENCYPART_ARC
(6,3),-0.649399 # DEPENDENCYPART_ARC
(6,4),-0.272475 # DEPENDENCYPART_ARC
(6,5),-0.161967 # DEPENDENCYPART_ARC
(6,7),-1.3788 # DEPENDENCYPART_ARC
(6,8),-1.257 # DEPENDENCYPART_ARC
(6,9),-1.93193 # DEPENDENCYPART_ARC
(6,10),-1.81558 # DEPENDENCYPART_ARC
(6,11),-2.82118 # DEPENDENCYPART_ARC
(6,12),-1.04017 # DEPENDENCYPART_ARC
(6,13),-1.39747 # DEPENDENCYPART_ARC
(6,14),-2.69254 # DEPENDENCYPART_ARC
(6,15),-3.89732 # DEPENDENCYPART_ARC
(6,16),-2.2594 # DEPENDENCYPART_ARC
(6,17),-4.54287 # DEPENDENCYPART_ARC
(6,18),-2.36877 # DEPENDENCYPART_ARC
(6,19),-7.72493 # DEPENDENCYPART_ARC
(6,20),-2.15574 # DEPENDENCYPART_ARC
(6,21),-3.29708 # DEPENDENCYPART_ARC
(6,22),-3.48901 # DEPENDENCYPART_ARC
(6,23),-2.19262 # DEPENDENCYPART_ARC
(6,24),-3.56487 # DEPENDENCYPART_ARC
(6,25),-3.62943 # DEPENDENCYPART_ARC
(6,26),-2.77156 # DEPENDENCYPART_ARC
(7,1),-2.2262 # DEPENDENCYPART_ARC
(7,2),0.0335161 # DEPENDENCYPART_ARC
(7,3),0.0841823 # DEPENDENCYPART_ARC
(7,4),1.62403 # DEPENDENCYPART_ARC
(7,5),0.296798 # DEPENDENCYPART_ARC
(7,6),5.48923 # DEPENDENCYPART_ARC
(7,8),-1.17706 # DEPENDENCYPART_ARC
(7,9),-1.86557 # DEPENDENCYPART_ARC
(7,10),-3.41888 # DEPENDENCYPART_ARC
(7,11),-3.16165 # DEPENDENCYPART_ARC
(7,12),-1.56025 # DEPENDENCYPART_ARC
(7,13),-1.03988 # DEPENDENCYPART_ARC
(7,14),-3.37935 # DEPENDENCYPART_ARC
(7,15),-2.41597 # DEPENDENCYPART_ARC
(7,16),-2.40449 # DEPENDENCYPART_ARC
(7,17),-3.19741 # DEPENDENCYPART_ARC
(7,18),-1.4094 # DEPENDENCYPART_ARC
(7,19),-6.9956 # DEPENDENCYPART_ARC
(7,20),-4.33452 # DEPENDENCYPART_ARC
(7,21),-6.66259 # DEPENDENCYPART_ARC
(7,22),-6.52082 # DEPENDENCYPART_ARC
(7,23),-4.51777 # DEPENDENCYPART_ARC
(7,24),-5.64666 # DEPENDENCYPART_ARC
(7,25),-7.85155 # DEPENDENCYPART_ARC
(7,26),-8.11549 # DEPENDENCYPART_ARC
(8,1),0.621225 # DEPENDENCYPART_ARC
(8,2),-0.0473388 # DEPENDENCYPART_ARC
(8,3),0.309928 # DEPENDENCYPART_ARC
(8,4),0.266637 # DEPENDENCYPART_ARC
(8,5),0.0286817 # DEPENDENCYPART_ARC
(8,6),0.550589 # DEPENDENCYPART_ARC
(8,7),0.209753 # DEPENDENCYPART_ARC
(8,9),0.0993302 # DEPENDENCYPART_ARC
(8,10),-0.276261 # DEPENDENCYPART_ARC
(8,11),-0.762864 # DEPENDENCYPART_ARC
(8,12),-0.0710623 # DEPENDENCYPART_ARC
(8,13),-0.838855 # DEPENDENCYPART_ARC
(8,14),-2.56724 # DEPENDENCYPART_ARC
(8,15),-1.36739 # DEPENDENCYPART_ARC
(8,16),-1.82226 # DEPENDENCYPART_ARC
(8,17),-2.3587 # DEPENDENCYPART_ARC
(8,18),-1.15489 # DEPENDENCYPART_ARC
(8,19),-3.22784 # DEPENDENCYPART_ARC
(8,20),-3.88021 # DEPENDENCYPART_ARC
(8,21),-5.20561 # DEPENDENCYPART_ARC
(8,22),-5.0272 # DEPENDENCYPART_ARC
(8,23),-3.59873 # DEPENDENCYPART_ARC
(8,24),-2.7758 # DEPENDENCYPART_ARC
(8,25),-5.55639 # DEPENDENCYPART_ARC
(8,26),-0.918014 # DEPENDENCYPART_ARC
(9,1),-1.8493 # DEPENDENCYPART_ARC
(9,2),-0.570393 # DEPENDENCYPART_ARC
(9,3),1.72237 # DEPENDENCYPART_ARC
(9,4),0.0896378 # DEPENDENCYPART_ARC
(9,5),0.556782 # DEPENDENCYPART_ARC
(9,6),-3.50312 # DEPENDENCYPART_ARC
(9,7),-1.92574 # DEPENDENCYPART_ARC
(9,8),0.176956 # DEPENDENCYPART_ARC
(9,10),4.01418 # DEPENDENCYPART_ARC
(9,11),3.73107 # DEPENDENCYPART_ARC
(9,12),0.481228 # DEPENDENCYPART_ARC
(9,13),1.13981 # DEPENDENCYPART_ARC
(9,14),-1.19696 # DEPENDENCYPART_ARC
(9,15),-1.64864 # DEPENDENCYPART_ARC
(9,16),-0.782758 # DEPENDENCYPART_ARC
(9,17),-0.358208 # DEPENDENCYPART_ARC
(9,18),-0.622659 # DEPENDENCYPART_ARC
(9,19),-4.34066 # DEPENDENCYPART_ARC
(9,20),-2.10877 # DEPENDENCYPART_ARC
(9,21),-5.68019 # DEPENDENCYPART_ARC
(9,22),-2.82788 # DEPENDENCYPART_ARC
(9,23),-3.51508 # DEPENDENCYPART_ARC
(9,24),-7.9957 # DEPENDENCYPART_ARC
(9,25),-4.31905 # DEPENDENCYPART_ARC
(9,26),-0.907913 # DEPENDENCYPART_ARC
(10,1),-2.84911 # DEPENDENCYPART_ARC
(10,2),-1.95834 # DEPENDENCYPART_ARC
(10,3),-1.77122 # DEPENDENCYPART_ARC
(10,4),-1.46677 # DEPENDENCYPART_ARC
(10,5),-1.11687 # DEPENDENCYPART_ARC
(10,6),-1.59097 # DEPENDENCYPART_ARC
(10,7),-1.91678 # DEPENDENCYPART_ARC
(10,8),-0.812739 # DEPENDENCYPART_ARC
(10,9),-1.18758 # DEPENDENCYPART_ARC
(10,11),-0.652739 # DEPENDENCYPART_ARC
(10,12),-1.09492 # DEPENDENCYPART_ARC
(10,13),-0.675203 # DEPENDENCYPART_ARC
(10,14),-1.2561 # DEPENDENCYPART_ARC
(10,15),-3.40123 # DEPENDENCYPART_ARC
(10,16),-2.53162 # DEPENDENCYPART_ARC
(10,17),-3.928 # DEPENDENCYPART_ARC
(10,18),-1.9065 # DEPENDENCYPART_ARC
(10,19),-5.91562 # DEPENDENCYPART_ARC
(10,20),-2.72289 # DEPENDENCYPART_ARC
(10,21),-2.75101 # DEPENDENCYPART_ARC
(10,22),-2.58863 # DEPENDENCYPART_ARC
(10,23),-3.0239 # DEPENDENCYPART_ARC
(10,24),-3.07771 # DEPENDENCYPART_ARC
(10,25),-3.35656 # DEPENDENCYPART_ARC
(10,26),-2.16769 # DEPENDENCYPART_ARC
(11,1),-3.36294 # DEPENDENCYPART_ARC
(11,2),-1.36002 # DEPENDENCYPART_ARC
(11,3),-1.66912 # DEPENDENCYPART_ARC
(11,4),-0.673242 # DEPENDENCYPART_ARC
(11,5),-1.21736 # DEPENDENCYPART_ARC
(11,6),-0.838067 # DEPENDENCYPART_ARC
(11,7),-4.56149 # DEPENDENCYPART_ARC
(11,8),-1.1115 # DEPENDENCYPART_ARC
(11,9),-1.41237 # DEPENDENCYPART_ARC
(11,10),1.10976 # DEPENDENCYPART_ARC
(11,12),-0.235041 # DEPENDENCYPART_ARC
(11,13),1.20502 # DEPENDENCYPART_ARC
(11,14),0.0292876 # DEPENDENCYPART_ARC
(11,15),-1.36837 # DEPENDENCYPART_ARC
(11,16),-1.47569 # DEPENDENCYPART_ARC
(11,17),-2.26192 # DEPENDENCYPART_ARC
(11,18),-0.474382 # DEPENDENCYPART_ARC
(11,19),-5.07006 # DEPENDENCYPART_ARC
(11,20),-2.73908 # DEPENDENCYPART_ARC
(11,21),-3.94789 # DEPENDENCYPART_ARC
(11,22),-3.60773 # DEPENDENCYPART_ARC
(11,23),-2.89711 # DEPENDENCYPART_ARC
(11,24),-2.75698 # DEPENDENCYPART_ARC
(11,25),-4.62607 # DEPENDENCYPART_ARC
(11,26),-5.54676 # DEPENDENCYPART_ARC
(12,1),-1.24277 # DEPENDENCYPART_ARC
(12,2),-0.890104 # DEPENDENCYPART_ARC
(12,3),-0.42524 # DEPENDENCYPART_ARC
(12,4),-0.403125 # DEPENDENCYPART_ARC
(12,5),-1.54544 # DEPENDENCYPART_ARC
(12,6),-0.656384 # DEPENDENCYPART_ARC
(12,7),-1.01282 # DEPENDENCYPART_ARC
(12,8),-0.61385 # DEPENDENCYPART_ARC
(12,9),0.371467 # DEPENDENCYPART_ARC
(12,10),-0.594469 # DEPENDENCYPART_ARC
(12,11),-0.495512 # DEPENDENCYPART_ARC
(12,13),-0.106524 # DEPENDENCYPART_ARC
(12,14),-1.07375 # DEPENDENCYPART_ARC
(12,15),-0.147449 # DEPENDENCYPART_ARC
(12,16),-1.30865 # DEPENDENCYPART_ARC
(12,17),-1.27391 # DEPENDENCYPART_ARC
(12,18),-1.04149 # DEPENDENCYPART_ARC
(12,19),-2.30773 # DEPENDENCYPART_ARC
(12,20),-3.01679 # DEPENDENCYPART_ARC
(12,21),-4.31264 # DEPENDENCYPART_ARC
(12,22),-4.15635 # DEPENDENCYPART_ARC
(12,23),-2.75407 # DEPENDENCYPART_ARC
(12,24),-2.52996 # DEPENDENCYPART_ARC
(12,25),-4.66991 # DEPENDENCYPART_ARC
(12,26),-1.26934 # DEPENDENCYPART_ARC
(13,1),-3.66972 # DEPENDENCYPART_ARC
(13,2),-2.22467 # DEPENDENCYPART_ARC
(13,3),-0.848403 # DEPENDENCYPART_ARC
(13,4),-0.487317 # DEPENDENCYPART_ARC
(13,5),-2.23563 # DEPENDENCYPART_ARC
(13,6),-0.845803 # DEPENDENCYPART_ARC
(13,7),-1.33581 # DEPENDENCYPART_ARC
(13,8),-0.751035 # DEPENDENCYPART_ARC
(13,9),-1.86947 # DEPENDENCYPART_ARC
(13,10),-0.241757 # DEPENDENCYPART_ARC
(13,11),-0.227581 # DEPENDENCYPART_ARC
(13,12),2.75067 # DEPENDENCYPART_ARC
(13,14),-1.13724 # DEPENDENCYPART_ARC
(13,15),1.89507 # DEPENDENCYPART_ARC
(13,16),-1.27661 # DEPENDENCYPART_ARC
(13,17),0.508842 # DEPENDENCYPART_ARC
(13,18),1.10771 # DEPENDENCYPART_ARC
(13,19),-1.36532 # DEPENDENCYPART_ARC
(13,20),-2.48895 # DEPENDENCYPART_ARC
(13,21),-4.01914 # DEPENDENCYPART_ARC
(13,22),-4.20117 # DEPENDENCYPART_ARC
(13,23),-2.7844 # DEPENDENCYPART_ARC
(13,25),-4.48005 # DEPENDENCYPART_ARC
(13,26),-1.34079 # DEPENDENCYPART_ARC
(14,1),-5.02332 # DEPENDENCYPART_ARC
(14,2),-3.41433 # DEPENDENCYPART_ARC
(14,3),-3.8835 # DEPENDENCYPART_ARC
(14,4),-3.58675 # DEPENDENCYPART_ARC
(14,5),-3.23947 # DEPENDENCYPART_ARC
(14,6),-2.89816 # DEPENDENCYPART_ARC
(14,7),-6.82804 # DEPENDENCYPART_ARC
(14,8),-2.99339 # DEPENDENCYPART_ARC
(14,9),-3.71268 # DEPENDENCYPART_ARC
(14,10),-2.90123 # DEPENDENCYPART_ARC
(14,11),-3.57369 # DEPENDENCYPART_ARC
(14,12),-1.43084 # DEPENDENCYPART_ARC
(14,13),-1.61611 # DEPENDENCYPART_ARC
(14,15),-0.325477 # DEPENDENCYPART_ARC
(14,16),-0.58021 # DEPENDENCYPART_ARC
(14,17),-1.48294 # DEPENDENCYPART_ARC
(14,18),-0.256784 # DEPENDENCYPART_ARC
(14,19),-4.70467 # DEPENDENCYPART_ARC
(14,20),-1.4689 # DEPENDENCYPART_ARC
(14,21),-3.69607 # DEPENDENCYPART_ARC
(14,22),-3.37902 # DEPENDENCYPART_ARC
(14,23),-1.37473 # DEPENDENCYPART_ARC
(14,24),-1.89032 # DEPENDENCYPART_ARC
(14,25),-4.50217 # DEPENDENCYPART_ARC
(14,26),-3.75721 # DEPENDENCYPART_ARC
(15,1),-3.42637 # DEPENDENCYPART_ARC
(15,2),-1.34227 # DEPENDENCYPART_ARC
(15,3),-0.203727 # DEPENDENCYPART_ARC
(15,4),-1.50934 # DEPENDENCYPART_ARC
(15,5),-1.40454 # DEPENDENCYPART_ARC
(15,6),-5.91885 # DEPENDENCYPART_ARC
(15,7),-4.19311 # DEPENDENCYPART_ARC
(15,8),-1.59737 # DEPENDENCYPART_ARC
(15,9),-1.44327 # DEPENDENCYPART_ARC
(15,10),-0.851429 # DEPENDENCYPART_ARC
(15,11),-0.813242 # DEPENDENCYPART_ARC
(15,12),-0.491661 # DEPENDENCYPART_ARC
(15,13),-0.955198 # DEPENDENCYPART_ARC
(15,14),2.74735 # DEPENDENCYPART_ARC
(15,16),0.995299 # DEPENDENCYPART_ARC
(15,17),0.682683 # DEPENDENCYPART_ARC
(15,18),0.381303 # DEPENDENCYPART_ARC
(15,19),-2.56807 # DEPENDENCYPART_ARC
(15,20),-0.887721 # DEPENDENCYPART_ARC
(15,21),-3.32524 # DEPENDENCYPART_ARC
(15,22),-0.330292 # DEPENDENCYPART_ARC
(15,23),-1.53186 # DEPENDENCYPART_ARC
(15,24),-5.84792 # DEPENDENCYPART_ARC
(15,25),-3.53266 # DEPENDENCYPART_ARC
(15,26),-0.994744 # DEPENDENCYPART_ARC
(16,1),-2.16815 # DEPENDENCYPART_ARC
(16,2),-2.12352 # DEPENDENCYPART_ARC
(16,3),-1.07831 # DEPENDENCYPART_ARC
(16,4),-1.32243 # DEPENDENCYPART_ARC
(16,5),-2.01586 # DEPENDENCYPART_ARC
(16,6),-1.39187 # DEPENDENCYPART_ARC
(16,7),-2.39215 # DEPENDENCYPART_ARC
(16,8),-1.20601 # DEPENDENCYPART_ARC
(16,9),-1.16135 # DEPENDENCYPART_ARC
(16,10),-1.26036 # DEPENDENCYPART_ARC
(16,11),-1.93473 # DEPENDENCYPART_ARC
(16,12),-0.770251 # DEPENDENCYPART_ARC
(16,13),-0.373517 # DEPENDENCYPART_ARC
(16,14),-1.18588 # DEPENDENCYPART_ARC
(16,15),-1.35132 # DEPENDENCYPART_ARC
(16,18),-0.643087 # DEPENDENCYPART_ARC
(16,19),-2.04488 # DEPENDENCYPART_ARC
(16,20),-1.25395 # DEPENDENCYPART_ARC
(16,21),-1.67145 # DEPENDENCYPART_ARC
(16,22),-3.59625 # DEPENDENCYPART_ARC
(16,23),-1.84377 # DEPENDENCYPART_ARC
(16,25),-2.96197 # DEPENDENCYPART_ARC
(16,26),-1.74311 # DEPENDENCYPART_ARC
(17,1),-3.51532 # DEPENDENCYPART_ARC
(17,2),-2.01588 # DEPENDENCYPART_ARC
(17,3),0.109929 # DEPENDENCYPART_ARC
(17,4),-1.77252 # DEPENDENCYPART_ARC
(17,5),-1.03765 # DEPENDENCYPART_ARC
(17,6),-6.26308 # DEPENDENCYPART_ARC
(17,7),-3.52622 # DEPENDENCYPART_ARC
(17,8),-2.30985 # DEPENDENCYPART_ARC
(17,9),-1.64758 # DEPENDENCYPART_ARC
(17,10),-1.38142 # DEPENDENCYPART_ARC
(17,11),-0.747777 # DEPENDENCYPART_ARC
(17,12),-1.11709 # DEPENDENCYPART_ARC
(17,13),-1.18899 # DEPENDENCYPART_ARC
(17,14),1.90236 # DEPENDENCYPART_ARC
(17,15),2.28585 # DEPENDENCYPART_ARC
(17,16),2.23291 # DEPENDENCYPART_ARC
(17,18),-0.701732 # DEPENDENCYPART_ARC
(17,19),-2.40807 # DEPENDENCYPART_ARC
(17,20),-0.970565 # DEPENDENCYPART_ARC
(17,21),-2.71889 # DEPENDENCYPART_ARC
(17,22),-1.15605 # DEPENDENCYPART_ARC
(17,23),-1.84879 # DEPENDENCYPART_ARC
(17,25),-2.95281 # DEPENDENCYPART_ARC
(17,26),-2.03557 # DEPENDENCYPART_ARC
(18,1),-0.308567 # DEPENDENCYPART_ARC
(18,2),0.257399 # DEPENDENCYPART_ARC
(18,3),0.665548 # DEPENDENCYPART_ARC
(18,4),-0.502731 # DEPENDENCYPART_ARC
(18,5),-0.524465 # DEPENDENCYPART_ARC
(18,6),-0.497207 # DEPENDENCYPART_ARC
(18,7),-0.542101 # DEPENDENCYPART_ARC
(18,8),0.601737 # DEPENDENCYPART_ARC
(18,9),0.709176 # DEPENDENCYPART_ARC
(18,10),-0.0754967 # DEPENDENCYPART_ARC
(18,11),-0.201607 # DEPENDENCYPART_ARC
(18,12),0.805258 # DEPENDENCYPART_ARC
(18,13),0.511633 # DEPENDENCYPART_ARC
(18,14),2.16684 # DEPENDENCYPART_ARC
(18,15),3.06092 # DEPENDENCYPART_ARC
(18,16),1.50207 # DEPENDENCYPART_ARC
(18,17),3.76307 # DEPENDENCYPART_ARC
(18,19),2.51085 # DEPENDENCYPART_ARC
(18,20),0.706469 # DEPENDENCYPART_ARC
(18,21),0.0528363 # DEPENDENCYPART_ARC
(18,22),0.0898878 # DEPENDENCYPART_ARC
(18,23),-0.306931 # DEPENDENCYPART_ARC
(18,24),-1.14495 # DEPENDENCYPART_ARC
(18,25),-1.56096 # DEPENDENCYPART_ARC
(18,26),0.0276564 # DEPENDENCYPART_ARC
(19,1),-5.20624 # DEPENDENCYPART_ARC
(19,2),-2.10767 # DEPENDENCYPART_ARC
(19,3),-0.225409 # DEPENDENCYPART_ARC
(19,4),-1.97473 # DEPENDENCYPART_ARC
(19,5),-2.99764 # DEPENDENCYPART_ARC
(19,6),-6.80957 # DEPENDENCYPART_ARC
(19,7),-3.9521 # DEPENDENCYPART_ARC
(19,8),-3.67627 # DEPENDENCYPART_ARC
(19,9),-3.27325 # DEPENDENCYPART_ARC
(19,10),-1.39023 # DEPENDENCYPART_ARC
(19,11),-0.886386 # DEPENDENCYPART_ARC
(19,12),-2.26847 # DEPENDENCYPART_ARC
(19,13),-1.94731 # DEPENDENCYPART_ARC
(19,14),1.05256 # DEPENDENCYPART_ARC
(19,15),-2.23409 # DEPENDENCYPART_ARC
(19,16),-0.0208379 # DEPENDENCYPART_ARC
(19,17),-0.981399 # DEPENDENCYPART_ARC
(19,18),-0.433872 # DEPENDENCYPART_ARC
(19,20),1.81029 # DEPENDENCYPART_ARC
(19,21),-0.00589877 # DEPENDENCYPART_ARC
(19,22),2.4115 # DEPENDENCYPART_ARC
(19,23),-0.409284 # DEPENDENCYPART_ARC
(19,24),-4.65865 # DEPENDENCYPART_ARC
(19,25),0.0994943 # DEPENDENCYPART_ARC
(19,26),-1.51007 # DEPENDENCYPART_ARC
(20,1),-4.43297 # DEPENDENCYPART_ARC
(20,2),-3.39384 # DEPENDENCYPART_ARC
(20,3),-3.32636 # DEPENDENCYPART_ARC
(20,4),-3.3381 # DEPENDENCYPART_ARC
(20,5),-4.29191 # DEPENDENCYPART_ARC
(20,6),-3.34069 # DEPENDENCYPART_ARC
(20,7),-4.52755 # DEPENDENCYPART_ARC
(20,8),-3.42654 # DEPENDENCYPART_ARC
(20,9),-4.12651 # DEPENDENCYPART_ARC
(20,10),-3.40779 # DEPENDENCYPART_ARC
(20,11),-4.52979 # DEPENDENCYPART_ARC
(20,12),-2.1909 # DEPENDENCYPART_ARC
