# _root_ Stál na břehu řeky s hořícím stromem v ruce a svítil té , která přeplouvala řeku , držíc se za chvost koně . . .
#goldHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,18,14,18,18,20,21,0,0,0,
#predictedHeads=10,1,2,3,4,7,5,7,8,0,10,11,15,15,12,15,15,15,18,18,20,21,0,0,0,
(2,3),3.98234 # DEPENDENCYPART_ARC
(2,4),-1.10782 # DEPENDENCYPART_ARC
(2,5),-1.56763 # DEPENDENCYPART_ARC
(2,6),-2.3085 # DEPENDENCYPART_ARC
(2,7),-3.2668 # DEPENDENCYPART_ARC
(2,8),-2.25581 # DEPENDENCYPART_ARC
(2,9),-1.96991 # DEPENDENCYPART_ARC
(2,10),-1.93102 # DEPENDENCYPART_ARC
(2,11),-2.73634 # DEPENDENCYPART_ARC
(2,12),-3.98774 # DEPENDENCYPART_ARC
(2,13),-2.20952 # DEPENDENCYPART_ARC
(2,14),-5.04445 # DEPENDENCYPART_ARC
(2,15),-3.15268 # DEPENDENCYPART_ARC
(2,16),-9.25677 # DEPENDENCYPART_ARC
(2,17),-2.8565 # DEPENDENCYPART_ARC
(2,18),-2.88274 # DEPENDENCYPART_ARC
(2,19),-5.3211 # DEPENDENCYPART_ARC
(2,20),-3.17389 # DEPENDENCYPART_ARC
(2,21),-11.3792 # DEPENDENCYPART_ARC
(2,22),-13.572 # DEPENDENCYPART_ARC
(2,23),-3.42893 # DEPENDENCYPART_ARC
(2,24),-3.51798 # DEPENDENCYPART_ARC
(2,25),-3.89727 # DEPENDENCYPART_ARC
(3,1),-3.38241 # DEPENDENCYPART_ARC
(3,2),1.70729 # DEPENDENCYPART_ARC
(3,4),3.74353 # DEPENDENCYPART_ARC
(3,5),1.29552 # DEPENDENCYPART_ARC
(3,6),-0.102423 # DEPENDENCYPART_ARC
(3,7),-1.36335 # DEPENDENCYPART_ARC
(3,8),0.374595 # DEPENDENCYPART_ARC
(3,9),-1.81124 # DEPENDENCYPART_ARC
(3,10),-0.429998 # DEPENDENCYPART_ARC
(3,11),-1.14435 # DEPENDENCYPART_ARC
(3,12),-1.90803 # DEPENDENCYPART_ARC
(3,13),-1.13063 # DEPENDENCYPART_ARC
(3,14),-3.39948 # DEPENDENCYPART_ARC
(3,15),-1.73169 # DEPENDENCYPART_ARC
(3,16),-7.16422 # DEPENDENCYPART_ARC
(3,17),-1.39246 # DEPENDENCYPART_ARC
(3,18),-2.78743 # DEPENDENCYPART_ARC
(3,19),-3.42446 # DEPENDENCYPART_ARC
(3,20),-3.44301 # DEPENDENCYPART_ARC
(3,21),-8.6705 # DEPENDENCYPART_ARC
(3,22),-4.70477 # DEPENDENCYPART_ARC
(3,23),-7.61088 # DEPENDENCYPART_ARC
(3,24),-8.39052 # DEPENDENCYPART_ARC
(3,25),-9.09925 # DEPENDENCYPART_ARC
(4,1),-3.07022 # DEPENDENCYPART_ARC
(4,2),-0.391735 # DEPENDENCYPART_ARC
(4,3),-0.608659 # DEPENDENCYPART_ARC
(4,5),2.24857 # DEPENDENCYPART_ARC
(4,6),-0.980532 # DEPENDENCYPART_ARC
(4,7),-1.72022 # DEPENDENCYPART_ARC
(4,8),0.842023 # DEPENDENCYPART_ARC
(4,9),-2.10981 # DEPENDENCYPART_ARC
(4,10),-0.0684477 # DEPENDENCYPART_ARC
(4,11),-1.67021 # DEPENDENCYPART_ARC
(4,12),-1.71507 # DEPENDENCYPART_ARC
(4,13),-0.992075 # DEPENDENCYPART_ARC
(4,14),-2.69449 # DEPENDENCYPART_ARC
(4,15),-1.17188 # DEPENDENCYPART_ARC
(4,16),-7.51494 # DEPENDENCYPART_ARC
(4,17),-1.27658 # DEPENDENCYPART_ARC
(4,18),-3.21458 # DEPENDENCYPART_ARC
(4,19),-2.94717 # DEPENDENCYPART_ARC
(4,20),-2.91021 # DEPENDENCYPART_ARC
(4,21),-9.13374 # DEPENDENCYPART_ARC
(4,22),-4.73966 # DEPENDENCYPART_ARC
(4,23),-6.47427 # DEPENDENCYPART_ARC
(4,24),-7.03287 # DEPENDENCYPART_ARC
(4,25),-8.08395 # DEPENDENCYPART_ARC
(5,1),-2.38874 # DEPENDENCYPART_ARC
(5,2),-0.236496 # DEPENDENCYPART_ARC
(5,3),0.964309 # DEPENDENCYPART_ARC
(5,4),-1.00122 # DEPENDENCYPART_ARC
(5,6),0.353931 # DEPENDENCYPART_ARC
(5,7),3.64284 # DEPENDENCYPART_ARC
(5,8),-1.42007 # DEPENDENCYPART_ARC
(5,9),0.0974676 # DEPENDENCYPART_ARC
(5,10),-0.323159 # DEPENDENCYPART_ARC
(5,11),-1.87809 # DEPENDENCYPART_ARC
(5,12),-2.71333 # DEPENDENCYPART_ARC
(5,13),-1.08526 # DEPENDENCYPART_ARC
(5,14),-3.84315 # DEPENDENCYPART_ARC
(5,15),-2.25891 # DEPENDENCYPART_ARC
(5,16),-4.96844 # DEPENDENCYPART_ARC
(5,17),-2.01113 # DEPENDENCYPART_ARC
(5,18),-2.29777 # DEPENDENCYPART_ARC
(5,19),-3.73459 # DEPENDENCYPART_ARC
(5,20),-2.51567 # DEPENDENCYPART_ARC
(5,21),-7.25467 # DEPENDENCYPART_ARC
(5,22),-7.98094 # DEPENDENCYPART_ARC
(5,23),-3.78126 # DEPENDENCYPART_ARC
(5,24),-4.22663 # DEPENDENCYPART_ARC
(5,25),-4.74213 # DEPENDENCYPART_ARC
(6,1),-4.23842 # DEPENDENCYPART_ARC
(6,2),-0.576953 # DEPENDENCYPART_ARC
(6,3),-3.76278 # DEPENDENCYPART_ARC
(6,4),-3.5424 # DEPENDENCYPART_ARC
(6,5),-0.231015 # DEPENDENCYPART_ARC
(6,7),0.867314 # DEPENDENCYPART_ARC
(6,8),0.733745 # DEPENDENCYPART_ARC
(6,9),-1.98377 # DEPENDENCYPART_ARC
(6,10),0.0637703 # DEPENDENCYPART_ARC
(6,11),-1.84834 # DEPENDENCYPART_ARC
(6,12),-1.01806 # DEPENDENCYPART_ARC
(6,13),-0.680221 # DEPENDENCYPART_ARC
(6,14),-2.93845 # DEPENDENCYPART_ARC
(6,15),-2.03029 # DEPENDENCYPART_ARC
(6,16),-3.01952 # DEPENDENCYPART_ARC
(6,17),-1.13303 # DEPENDENCYPART_ARC
(6,18),-1.15633 # DEPENDENCYPART_ARC
(6,19),-0.596265 # DEPENDENCYPART_ARC
(6,20),-2.61616 # DEPENDENCYPART_ARC
(6,21),-4.84331 # DEPENDENCYPART_ARC
(6,22),-6.52357 # DEPENDENCYPART_ARC
(6,23),-3.17371 # DEPENDENCYPART_ARC
(6,24),-3.69975 # DEPENDENCYPART_ARC
(6,25),-4.18133 # DEPENDENCYPART_ARC
(7,1),-3.46686 # DEPENDENCYPART_ARC
(7,2),-0.650545 # DEPENDENCYPART_ARC
(7,3),-1.89917 # DEPENDENCYPART_ARC
(7,4),-3.38636 # DEPENDENCYPART_ARC
(7,5),-0.796984 # DEPENDENCYPART_ARC
(7,6),5.56512 # DEPENDENCYPART_ARC
(7,8),2.03518 # DEPENDENCYPART_ARC
(7,9),0.610915 # DEPENDENCYPART_ARC
(7,10),0.52711 # DEPENDENCYPART_ARC
(7,11),-0.750602 # DEPENDENCYPART_ARC
(7,12),-0.909592 # DEPENDENCYPART_ARC
(7,13),-0.648601 # DEPENDENCYPART_ARC
(7,14),-2.79682 # DEPENDENCYPART_ARC
(7,15),-1.19886 # DEPENDENCYPART_ARC
(7,16),-5.99795 # DEPENDENCYPART_ARC
(7,17),-0.82457 # DEPENDENCYPART_ARC
(7,18),-2.18808 # DEPENDENCYPART_ARC
(7,19),-2.54023 # DEPENDENCYPART_ARC
(7,20),-2.57176 # DEPENDENCYPART_ARC
(7,21),-6.81153 # DEPENDENCYPART_ARC
(7,22),-4.06049 # DEPENDENCYPART_ARC
(7,23),-5.00311 # DEPENDENCYPART_ARC
(7,24),-5.45264 # DEPENDENCYPART_ARC
(7,25),-6.2758 # DEPENDENCYPART_ARC
(8,1),-3.23751 # DEPENDENCYPART_ARC
(8,2),-2.61455 # DEPENDENCYPART_ARC
(8,3),-1.53225 # DEPENDENCYPART_ARC
(8,4),-2.93923 # DEPENDENCYPART_ARC
(8,5),-2.21328 # DEPENDENCYPART_ARC
(8,6),-1.45891 # DEPENDENCYPART_ARC
(8,7),-1.88469 # DEPENDENCYPART_ARC
(8,9),4.78654 # DEPENDENCYPART_ARC
(8,10),0.0222462 # DEPENDENCYPART_ARC
(8,11),-1.55989 # DEPENDENCYPART_ARC
(8,12),-2.19596 # DEPENDENCYPART_ARC
(8,13),-1.05389 # DEPENDENCYPART_ARC
(8,14),-3.44589 # DEPENDENCYPART_ARC
(8,15),-2.30876 # DEPENDENCYPART_ARC
(8,16),-5.10443 # DEPENDENCYPART_ARC
(8,17),-1.90755 # DEPENDENCYPART_ARC
(8,18),-2.0225 # DEPENDENCYPART_ARC
(8,19),-3.58771 # DEPENDENCYPART_ARC
(8,20),-2.26736 # DEPENDENCYPART_ARC
(8,21),-7.35692 # DEPENDENCYPART_ARC
(8,22),-9.54872 # DEPENDENCYPART_ARC
(8,23),-3.21799 # DEPENDENCYPART_ARC
(8,24),-3.59338 # DEPENDENCYPART_ARC
(8,25),-3.91327 # DEPENDENCYPART_ARC
(9,1),-4.56412 # DEPENDENCYPART_ARC
(9,2),-0.377811 # DEPENDENCYPART_ARC
(9,3),-1.42203 # DEPENDENCYPART_ARC
(9,4),-2.29534 # DEPENDENCYPART_ARC
(9,5),-0.475193 # DEPENDENCYPART_ARC
(9,6),-1.21461 # DEPENDENCYPART_ARC
(9,7),-1.65812 # DEPENDENCYPART_ARC
(9,8),1.20945 # DEPENDENCYPART_ARC
(9,10),-1.08492 # DEPENDENCYPART_ARC
(9,11),-3.00161 # DEPENDENCYPART_ARC
(9,12),-1.66666 # DEPENDENCYPART_ARC
(9,13),-2.28269 # DEPENDENCYPART_ARC
(9,14),-2.96792 # DEPENDENCYPART_ARC
(9,15),-2.86138 # DEPENDENCYPART_ARC
(9,16),-7.95512 # DEPENDENCYPART_ARC
(9,17),-2.50071 # DEPENDENCYPART_ARC
(9,18),-4.32077 # DEPENDENCYPART_ARC
(9,19),-4.06945 # DEPENDENCYPART_ARC
(9,20),-4.32414 # DEPENDENCYPART_ARC
(9,21),-8.98858 # DEPENDENCYPART_ARC
(9,22),-5.24552 # DEPENDENCYPART_ARC
(9,23),-5.95326 # DEPENDENCYPART_ARC
(9,24),-6.48349 # DEPENDENCYPART_ARC
(9,25),-7.15022 # DEPENDENCYPART_ARC
(10,1),2.77582 # DEPENDENCYPART_ARC
(10,2),0.378823 # DEPENDENCYPART_ARC
(10,3),1.56312 # DEPENDENCYPART_ARC
(10,4),1.1988 # DEPENDENCYPART_ARC
(10,5),0.0443168 # DEPENDENCYPART_ARC
(10,6),0.402385 # DEPENDENCYPART_ARC
(10,7),1.87072 # DEPENDENCYPART_ARC
(10,8),0.90846 # DEPENDENCYPART_ARC
(10,9),1.47467 # DEPENDENCYPART_ARC
(10,11),2.61057 # DEPENDENCYPART_ARC
(10,12),0.104155 # DEPENDENCYPART_ARC
(10,13),-0.0505474 # DEPENDENCYPART_ARC
(10,14),-0.767273 # DEPENDENCYPART_ARC
(10,15),0.34286 # DEPENDENCYPART_ARC
(10,16),-1.59278 # DEPENDENCYPART_ARC
(10,17),0.416001 # DEPENDENCYPART_ARC
(10,18),-1.36043 # DEPENDENCYPART_ARC
(10,19),-2.17651 # DEPENDENCYPART_ARC
(10,20),-0.802841 # DEPENDENCYPART_ARC
(10,21),-3.36638 # DEPENDENCYPART_ARC
(10,22),-3.31615 # DEPENDENCYPART_ARC
(10,23),-1.68818 # DEPENDENCYPART_ARC
(10,24),-1.59836 # DEPENDENCYPART_ARC
(10,25),-2.04864 # DEPENDENCYPART_ARC
(11,1),-2.19429 # DEPENDENCYPART_ARC
(11,2),-0.414574 # DEPENDENCYPART_ARC
(11,3),-1.5114 # DEPENDENCYPART_ARC
(11,4),-2.9053 # DEPENDENCYPART_ARC
(11,5),-0.522659 # DEPENDENCYPART_ARC
(11,6),-2.80063 # DEPENDENCYPART_ARC
(11,7),0.369068 # DEPENDENCYPART_ARC
(11,8),0.0630528 # DEPENDENCYPART_ARC
(11,9),-1.74641 # DEPENDENCYPART_ARC
(11,10),0.538991 # DEPENDENCYPART_ARC
(11,12),2.63115 # DEPENDENCYPART_ARC
(11,13),0.536418 # DEPENDENCYPART_ARC
(11,14),-0.485896 # DEPENDENCYPART_ARC
(11,15),-0.205594 # DEPENDENCYPART_ARC
(11,16),1.36906 # DEPENDENCYPART_ARC
(11,17),0.59153 # DEPENDENCYPART_ARC
(11,18),1.28251 # DEPENDENCYPART_ARC
(11,19),0.335698 # DEPENDENCYPART_ARC
(11,20),0.492367 # DEPENDENCYPART_ARC
(11,21),-1.45055 # DEPENDENCYPART_ARC
(11,22),-2.629 # DEPENDENCYPART_ARC
(11,23),-0.716043 # DEPENDENCYPART_ARC
(11,24),-0.682299 # DEPENDENCYPART_ARC
(11,25),-0.918978 # DEPENDENCYPART_ARC
(12,1),-3.62912 # DEPENDENCYPART_ARC
(12,2),-1.28434 # DEPENDENCYPART_ARC
(12,3),-2.61757 # DEPENDENCYPART_ARC
(12,4),-2.24743 # DEPENDENCYPART_ARC
(12,5),-1.14748 # DEPENDENCYPART_ARC
(12,6),-3.77653 # DEPENDENCYPART_ARC
(12,7),-2.11994 # DEPENDENCYPART_ARC
(12,8),-0.957084 # DEPENDENCYPART_ARC
(12,9),-1.3802 # DEPENDENCYPART_ARC
(12,10),-0.574207 # DEPENDENCYPART_ARC
(12,11),-1.94107 # DEPENDENCYPART_ARC
(12,13),0.705736 # DEPENDENCYPART_ARC
(12,14),0.0258196 # DEPENDENCYPART_ARC
(12,15),2.93703 # DEPENDENCYPART_ARC
(12,16),-1.38446 # DEPENDENCYPART_ARC
(12,17),0.477781 # DEPENDENCYPART_ARC
(12,18),0.24251 # DEPENDENCYPART_ARC
(12,19),-1.26328 # DEPENDENCYPART_ARC
(12,20),0.0955788 # DEPENDENCYPART_ARC
(12,21),-1.91548 # DEPENDENCYPART_ARC
(12,22),-1.46203 # DEPENDENCYPART_ARC
(12,23),-0.00183664 # DEPENDENCYPART_ARC
(12,24),-0.328229 # DEPENDENCYPART_ARC
(12,25),-0.629666 # DEPENDENCYPART_ARC
(13,1),-0.190285 # DEPENDENCYPART_ARC
(13,2),-1.92957 # DEPENDENCYPART_ARC
(13,3),-1.86984 # DEPENDENCYPART_ARC
(13,4),-2.3034 # DEPENDENCYPART_ARC
(13,5),-2.20701 # DEPENDENCYPART_ARC
(13,6),-2.16446 # DEPENDENCYPART_ARC
(13,7),-1.96568 # DEPENDENCYPART_ARC
(13,8),-2.11604 # DEPENDENCYPART_ARC
(13,9),-1.35683 # DEPENDENCYPART_ARC
(13,10),-1.18926 # DEPENDENCYPART_ARC
(13,11),-0.770105 # DEPENDENCYPART_ARC
(13,12),-0.639558 # DEPENDENCYPART_ARC
(13,14),-0.867746 # DEPENDENCYPART_ARC
(13,15),-0.324149 # DEPENDENCYPART_ARC
(13,16),-1.82442 # DEPENDENCYPART_ARC
(13,17),-1.14876 # DEPENDENCYPART_ARC
(13,18),-1.62801 # DEPENDENCYPART_ARC
(13,19),-2.55992 # DEPENDENCYPART_ARC
(13,20),-2.9726 # DEPENDENCYPART_ARC
(13,21),-3.78641 # DEPENDENCYPART_ARC
(13,22),-3.64807 # DEPENDENCYPART_ARC
(13,23),-1.61014 # DEPENDENCYPART_ARC
(13,24),-1.84077 # DEPENDENCYPART_ARC
(13,25),-2.08598 # DEPENDENCYPART_ARC
(14,1),-3.59448 # DEPENDENCYPART_ARC
(14,2),-1.53927 # DEPENDENCYPART_ARC
(14,3),-3.58614 # DEPENDENCYPART_ARC
(14,4),-3.26853 # DEPENDENCYPART_ARC
(14,5),-1.42195 # DEPENDENCYPART_ARC
(14,6),-4.7197 # DEPENDENCYPART_ARC
(14,7),-3.44578 # DEPENDENCYPART_ARC
(14,8),-1.37778 # DEPENDENCYPART_ARC
(14,9),-2.76184 # DEPENDENCYPART_ARC
(14,10),-1.67389 # DEPENDENCYPART_ARC
(14,11),-2.5749 # DEPENDENCYPART_ARC
(14,12),-0.598102 # DEPENDENCYPART_ARC
(14,13),-0.232554 # DEPENDENCYPART_ARC
(14,15),0.0193573 # DEPENDENCYPART_ARC
(14,16),-1.358 # DEPENDENCYPART_ARC
(14,17),-0.420708 # DEPENDENCYPART_ARC
(14,18),-1.16068 # DEPENDENCYPART_ARC
(14,19),-1.48266 # DEPENDENCYPART_ARC
(14,20),-1.24028 # DEPENDENCYPART_ARC
(14,21),-2.46381 # DEPENDENCYPART_ARC
(14,22),-1.75654 # DEPENDENCYPART_ARC
(14,23),-0.885629 # DEPENDENCYPART_ARC
(14,24),-1.11283 # DEPENDENCYPART_ARC
(14,25),-1.53358 # DEPENDENCYPART_ARC
(15,1),-3.28411 # DEPENDENCYPART_ARC
(15,2),-0.122027 # DEPENDENCYPART_ARC
(15,3),-1.90146 # DEPENDENCYPART_ARC
(15,4),-2.90992 # DEPENDENCYPART_ARC
(15,5),-0.748219 # DEPENDENCYPART_ARC
(15,6),-3.42137 # DEPENDENCYPART_ARC
(15,7),-0.648256 # DEPENDENCYPART_ARC
(15,8),-0.830194 # DEPENDENCYPART_ARC
(15,9),-1.51761 # DEPENDENCYPART_ARC
(15,10),-0.241214 # DEPENDENCYPART_ARC
(15,11),-1.45803 # DEPENDENCYPART_ARC
(15,12),-0.12219 # DEPENDENCYPART_ARC
(15,13),2.34726 # DEPENDENCYPART_ARC
(15,14),3.78495 # DEPENDENCYPART_ARC
(15,16),4.06391 # DEPENDENCYPART_ARC
(15,17),1.66246 # DEPENDENCYPART_ARC
(15,18),1.64387 # DEPENDENCYPART_ARC
(15,19),0.832521 # DEPENDENCYPART_ARC
(15,20),0.273632 # DEPENDENCYPART_ARC
(15,21),-0.638387 # DEPENDENCYPART_ARC
(15,22),-2.86036 # DEPENDENCYPART_ARC
(15,23),-0.241504 # DEPENDENCYPART_ARC
(15,24),-0.538885 # DEPENDENCYPART_ARC
(15,25),-0.839986 # DEPENDENCYPART_ARC
(16,1),-3.49944 # DEPENDENCYPART_ARC
(16,2),-0.684411 # DEPENDENCYPART_ARC
(16,3),-5.966 # DEPENDENCYPART_ARC
(16,4),-5.64545 # DEPENDENCYPART_ARC
(16,5),-0.636508 # DEPENDENCYPART_ARC
(16,6),-4.69788 # DEPENDENCYPART_ARC
(16,7),-5.53573 # DEPENDENCYPART_ARC
(16,8),-1.46784 # DEPENDENCYPART_ARC
(16,9),-5.26508 # DEPENDENCYPART_ARC
(16,10),-2.7196 # DEPENDENCYPART_ARC
(16,11),-2.61758 # DEPENDENCYPART_ARC
(16,12),-0.33389 # DEPENDENCYPART_ARC
(16,13),-0.581864 # DEPENDENCYPART_ARC
(16,14),-0.128298 # DEPENDENCYPART_ARC
(16,15),-0.984854 # DEPENDENCYPART_ARC
(16,17),-0.630405 # DEPENDENCYPART_ARC
(16,18),0.194922 # DEPENDENCYPART_ARC
(16,19),-1.32383 # DEPENDENCYPART_ARC
(16,20),-1.02074 # DEPENDENCYPART_ARC
(16,21),-2.88168 # DEPENDENCYPART_ARC
(16,22),-0.87686 # DEPENDENCYPART_ARC
(16,23),-2.21002 # DEPENDENCYPART_ARC
(16,24),-2.59972 # DEPENDENCYPART_ARC
(16,25),-3.40401 # DEPENDENCYPART_ARC
(17,1),1.81444 # DEPENDENCYPART_ARC
(17,2),-0.591889 # DEPENDENCYPART_ARC
(17,3),-0.480865 # DEPENDENCYPART_ARC
(17,4),-1.12334 # DEPENDENCYPART_ARC
(17,5),-1.35849 # DEPENDENCYPART_ARC
(17,6),-1.09462 # DEPENDENCYPART_ARC
(17,7),-0.588263 # DEPENDENCYPART_ARC
(17,8),-1.10686 # DEPENDENCYPART_ARC
(17,9),0.111445 # DEPENDENCYPART_ARC
(17,10),0.247093 # DEPENDENCYPART_ARC
(17,11),0.77556 # DEPENDENCYPART_ARC
(17,12),0.316753 # DEPENDENCYPART_ARC
(17,13),0.60929 # DEPENDENCYPART_ARC
(17,14),0.858798 # DEPENDENCYPART_ARC
(17,15),0.735834 # DEPENDENCYPART_ARC
(17,16),0.330756 # DEPENDENCYPART_ARC
(17,18),0.851193 # DEPENDENCYPART_ARC
(17,19),-0.0919017 # DEPENDENCYPART_ARC
(17,20),-0.481785 # DEPENDENCYPART_ARC
(17,21),-0.943358 # DEPENDENCYPART_ARC
(17,22),-0.57679 # DEPENDENCYPART_ARC
(17,23),0.334643 # DEPENDENCYPART_ARC
(17,24),0.219713 # DEPENDENCYPART_ARC
(17,25),-0.0183008 # DEPENDENCYPART_ARC
(18,1),-3.52653 # DEPENDENCYPART_ARC
(18,2),-1.59322 # DEPENDENCYPART_ARC
(18,3),-2.1147 # DEPENDENCYPART_ARC
(18,4),-2.58796 # DEPENDENCYPART_ARC
(18,5),-1.77638 # DEPENDENCYPART_ARC
(18,6),-2.49324 # DEPENDENCYPART_ARC
(18,7),-1.08565 # DEPENDENCYPART_ARC
(18,8),-1.98297 # DEPENDENCYPART_ARC
(18,9),-2.89761 # DEPENDENCYPART_ARC
(18,10),-0.251726 # DEPENDENCYPART_ARC
(18,11),-2.54474 # DEPENDENCYPART_ARC
(18,12),-0.823568 # DEPENDENCYPART_ARC
(18,13),0.397416 # DEPENDENCYPART_ARC
(18,14),0.225063 # DEPENDENCYPART_ARC
(18,15),-1.97821 # DEPENDENCYPART_ARC
(18,16),-0.93824 # DEPENDENCYPART_ARC
(18,17),0.247333 # DEPENDENCYPART_ARC
(18,19),3.39983 # DEPENDENCYPART_ARC
(18,20),2.00545 # DEPENDENCYPART_ARC
(18,21),-0.849674 # DEPENDENCYPART_ARC
(18,22),-0.869928 # DEPENDENCYPART_ARC
(18,23),0.0383377 # DEPENDENCYPART_ARC
(18,24),0.0709373 # DEPENDENCYPART_ARC
(18,25),-0.395286 # DEPENDENCYPART_ARC
(19,1),-4.17028 # DEPENDENCYPART_ARC
(19,2),-2.60315 # DEPENDENCYPART_ARC
(19,3),-4.12041 # DEPENDENCYPART_ARC
(19,4),-4.09553 # DEPENDENCYPART_ARC
(19,5),-2.39312 # DEPENDENCYPART_ARC
(19,6),-4.73674 # DEPENDENCYPART_ARC
(19,7),-3.97697 # DEPENDENCYPART_ARC
(19,8),-2.27271 # DEPENDENCYPART_ARC
(19,9),-3.48478 # DEPENDENCYPART_ARC
(19,10),-3.67487 # DEPENDENCYPART_ARC
(19,11),-3.62835 # DEPENDENCYPART_ARC
(19,12),-2.70549 # DEPENDENCYPART_ARC
(19,13),-2.2646 # DEPENDENCYPART_ARC
(19,14),-2.57445 # DEPENDENCYPART_ARC
(19,15),-2.78851 # DEPENDENCYPART_ARC
(19,16),-2.4406 # DEPENDENCYPART_ARC
(19,17),-1.48685 # DEPENDENCYPART_ARC
(19,18),-1.28829 # DEPENDENCYPART_ARC
(19,20),-1.14496 # DEPENDENCYPART_ARC
(19,21),-1.04186 # DEPENDENCYPART_ARC
(19,22),-1.74157 # DEPENDENCYPART_ARC
(19,23),-1.69651 # DEPENDENCYPART_ARC
(19,24),-2.11039 # DEPENDENCYPART_ARC
(19,25),-2.13433 # DEPENDENCYPART_ARC
(20,1),-4.03188 # DEPENDENCYPART_ARC
(20,2),-4.75412 # DEPENDENCYPART_ARC
(20,3),-2.85289 # DEPENDENCYPART_ARC
(20,4),-4.05243 # DEPENDENCYPART_ARC
(20,5),-3.79287 # DEPENDENCYPART_ARC
(20,6),-2.96575 # DEPENDENCYPART_ARC
(20,7),-2.88263 # DEPENDENCYPART_ARC
(20,8),-3.50139 # DEPENDENCYPART_ARC
(20,9),-3.04571 # DEPENDENCYPART_ARC
(20,10),-2.40976 # DEPENDENCYPART_ARC
(20,11),-3.38897 # DEPENDENCYPART_ARC
(20,12),-2.63657 # DEPENDENCYPART_ARC
(20,13),-1.65932 # DEPENDENCYPART_ARC
(20,14),-2.78663 # DEPENDENCYPART_ARC
(20,15),-2.99046 # DEPENDENCYPART_ARC
(20,16),-3.05007 # DEPENDENCYPART_ARC
(20,17),-0.540026 # DEPENDENCYPART_ARC
(20,18),-1.49938 # DEPENDENCYPART_ARC
(20,19),-0.767557 # DEPENDENCYPART_ARC
(20,21),3.86786 # DEPENDENCYPART_ARC
(20,22),-1.68404 # DEPENDENCYPART_ARC
(20,23),-0.219697 # DEPENDENCYPART_ARC
(20,24),-0.513886 # DEPENDENCYPART_ARC
(20,25),-0.879095 # DEPENDENCYPART_ARC
(21,1),-4.39111 # DEPENDENCYPART_ARC
(21,2),-1.01688 # DEPENDENCYPART_ARC
(21,3),-8.10024 # DEPENDENCYPART_ARC
