# _root_ Z ruské strany jde o suroviny , jako je plyn a ropa , z české o různé zboží .
#goldHeads=4,3,1,13,4,5,8,6,8,11,9,11,0,13,14,13,18,16,0,
#predictedHeads=4,3,1,0,4,5,8,6,8,11,9,11,9,13,14,13,18,16,0,
(2,4),-2.49934 # DEPENDENCYPART_ARC
(2,5),-1.50684 # DEPENDENCYPART_ARC
(2,6),-4.58415 # DEPENDENCYPART_ARC
(2,7),-1.4891 # DEPENDENCYPART_ARC
(2,8),-0.87169 # DEPENDENCYPART_ARC
(2,9),-4.00754 # DEPENDENCYPART_ARC
(2,10),-5.2423 # DEPENDENCYPART_ARC
(2,11),-1.75213 # DEPENDENCYPART_ARC
(2,12),-6.16406 # DEPENDENCYPART_ARC
(2,13),-1.99119 # DEPENDENCYPART_ARC
(2,14),-4.1306 # DEPENDENCYPART_ARC
(2,15),-5.49082 # DEPENDENCYPART_ARC
(2,16),-4.24659 # DEPENDENCYPART_ARC
(2,17),-6.44369 # DEPENDENCYPART_ARC
(2,18),-7.53465 # DEPENDENCYPART_ARC
(2,19),-4.05204 # DEPENDENCYPART_ARC
(3,1),0.780371 # DEPENDENCYPART_ARC
(3,2),6.10047 # DEPENDENCYPART_ARC
(3,4),-1.5589 # DEPENDENCYPART_ARC
(3,5),-1.14594 # DEPENDENCYPART_ARC
(3,6),-5.18722 # DEPENDENCYPART_ARC
(3,7),-0.990438 # DEPENDENCYPART_ARC
(3,8),-1.4822 # DEPENDENCYPART_ARC
(3,9),-4.16367 # DEPENDENCYPART_ARC
(3,10),-3.62135 # DEPENDENCYPART_ARC
(3,11),-1.66677 # DEPENDENCYPART_ARC
(3,12),-3.83308 # DEPENDENCYPART_ARC
(3,13),-1.53748 # DEPENDENCYPART_ARC
(3,14),-3.22431 # DEPENDENCYPART_ARC
(3,15),-2.44928 # DEPENDENCYPART_ARC
(3,16),-3.17238 # DEPENDENCYPART_ARC
(3,17),-5.97741 # DEPENDENCYPART_ARC
(3,18),-6.97116 # DEPENDENCYPART_ARC
(3,19),-6.60691 # DEPENDENCYPART_ARC
(4,1),2.13726 # DEPENDENCYPART_ARC
(4,2),-2.13974 # DEPENDENCYPART_ARC
(4,3),0.103864 # DEPENDENCYPART_ARC
(4,5),2.82906 # DEPENDENCYPART_ARC
(4,6),0.107829 # DEPENDENCYPART_ARC
(4,7),0.339582 # DEPENDENCYPART_ARC
(4,8),0.399463 # DEPENDENCYPART_ARC
(4,9),-2.1111 # DEPENDENCYPART_ARC
(4,10),-1.84346 # DEPENDENCYPART_ARC
(4,11),-0.672997 # DEPENDENCYPART_ARC
(4,12),-3.00897 # DEPENDENCYPART_ARC
(4,13),0.502169 # DEPENDENCYPART_ARC
(4,14),-2.05301 # DEPENDENCYPART_ARC
(4,15),-6.26744 # DEPENDENCYPART_ARC
(4,16),-1.72985 # DEPENDENCYPART_ARC
(4,17),-5.75758 # DEPENDENCYPART_ARC
(4,18),-4.38014 # DEPENDENCYPART_ARC
(4,19),-0.87144 # DEPENDENCYPART_ARC
(5,1),-1.7987 # DEPENDENCYPART_ARC
(5,2),-2.20819 # DEPENDENCYPART_ARC
(5,3),-2.18372 # DEPENDENCYPART_ARC
(5,4),-1.80102 # DEPENDENCYPART_ARC
(5,6),3.58022 # DEPENDENCYPART_ARC
(5,7),0.0751295 # DEPENDENCYPART_ARC
(5,8),-1.09117 # DEPENDENCYPART_ARC
(5,9),-0.650183 # DEPENDENCYPART_ARC
(5,10),-4.31787 # DEPENDENCYPART_ARC
(5,11),0.494831 # DEPENDENCYPART_ARC
(5,12),-6.28716 # DEPENDENCYPART_ARC
(5,13),-1.06269 # DEPENDENCYPART_ARC
(5,14),-2.04259 # DEPENDENCYPART_ARC
(5,15),-3.43468 # DEPENDENCYPART_ARC
(5,16),-2.16164 # DEPENDENCYPART_ARC
(5,17),-1.80014 # DEPENDENCYPART_ARC
(5,18),-4.25259 # DEPENDENCYPART_ARC
(5,19),-2.15982 # DEPENDENCYPART_ARC
(6,1),-0.607046 # DEPENDENCYPART_ARC
(6,2),-2.25743 # DEPENDENCYPART_ARC
(6,3),-3.33219 # DEPENDENCYPART_ARC
(6,4),-1.46026 # DEPENDENCYPART_ARC
(6,5),-0.154002 # DEPENDENCYPART_ARC
(6,7),-0.200327 # DEPENDENCYPART_ARC
(6,8),0.581795 # DEPENDENCYPART_ARC
(6,9),-1.64507 # DEPENDENCYPART_ARC
(6,10),-2.33847 # DEPENDENCYPART_ARC
(6,11),-0.578306 # DEPENDENCYPART_ARC
(6,12),-3.33788 # DEPENDENCYPART_ARC
(6,13),-1.32352 # DEPENDENCYPART_ARC
(6,14),-2.01168 # DEPENDENCYPART_ARC
(6,15),-4.06829 # DEPENDENCYPART_ARC
(6,16),-1.75303 # DEPENDENCYPART_ARC
(6,17),-4.88368 # DEPENDENCYPART_ARC
(6,18),-3.48015 # DEPENDENCYPART_ARC
(6,19),-5.27774 # DEPENDENCYPART_ARC
(7,1),-0.745345 # DEPENDENCYPART_ARC
(7,2),-0.510561 # DEPENDENCYPART_ARC
(7,3),-0.622257 # DEPENDENCYPART_ARC
(7,4),0.377688 # DEPENDENCYPART_ARC
(7,5),0.0732396 # DEPENDENCYPART_ARC
(7,6),0.599476 # DEPENDENCYPART_ARC
(7,8),0.0801747 # DEPENDENCYPART_ARC
(7,9),0.207237 # DEPENDENCYPART_ARC
(7,10),-0.639807 # DEPENDENCYPART_ARC
(7,11),-0.116459 # DEPENDENCYPART_ARC
(7,12),-1.33515 # DEPENDENCYPART_ARC
(7,13),-0.402647 # DEPENDENCYPART_ARC
(7,14),-1.47436 # DEPENDENCYPART_ARC
(7,15),-1.89395 # DEPENDENCYPART_ARC
(7,16),-1.25392 # DEPENDENCYPART_ARC
(7,17),-1.85895 # DEPENDENCYPART_ARC
(7,18),-1.84203 # DEPENDENCYPART_ARC
(7,19),-0.92381 # DEPENDENCYPART_ARC
(8,1),-1.70389 # DEPENDENCYPART_ARC
(8,2),-2.967 # DEPENDENCYPART_ARC
(8,3),-1.20316 # DEPENDENCYPART_ARC
(8,4),-0.248092 # DEPENDENCYPART_ARC
(8,5),-1.056 # DEPENDENCYPART_ARC
(8,6),-1.59874 # DEPENDENCYPART_ARC
(8,7),1.40431 # DEPENDENCYPART_ARC
(8,9),1.87985 # DEPENDENCYPART_ARC
(8,10),0.176769 # DEPENDENCYPART_ARC
(8,11),0.0624244 # DEPENDENCYPART_ARC
(8,12),-0.534036 # DEPENDENCYPART_ARC
(8,13),0.247616 # DEPENDENCYPART_ARC
(8,14),-0.45021 # DEPENDENCYPART_ARC
(8,15),-2.11542 # DEPENDENCYPART_ARC
(8,16),-1.10554 # DEPENDENCYPART_ARC
(8,17),-2.16724 # DEPENDENCYPART_ARC
(8,18),-1.54524 # DEPENDENCYPART_ARC
(8,19),-0.724216 # DEPENDENCYPART_ARC
(9,1),0.109949 # DEPENDENCYPART_ARC
(9,2),-3.31455 # DEPENDENCYPART_ARC
(9,3),-1.96443 # DEPENDENCYPART_ARC
(9,4),-1.26739 # DEPENDENCYPART_ARC
(9,5),-1.14812 # DEPENDENCYPART_ARC
(9,6),-0.691667 # DEPENDENCYPART_ARC
(9,7),0.811828 # DEPENDENCYPART_ARC
(9,8),0.729473 # DEPENDENCYPART_ARC
(9,10),3.7766 # DEPENDENCYPART_ARC
(9,11),1.66451 # DEPENDENCYPART_ARC
(9,12),1.59457 # DEPENDENCYPART_ARC
(9,13),0.611011 # DEPENDENCYPART_ARC
(9,14),-0.100883 # DEPENDENCYPART_ARC
(9,15),-2.53484 # DEPENDENCYPART_ARC
(9,16),-0.899679 # DEPENDENCYPART_ARC
(9,17),-1.70612 # DEPENDENCYPART_ARC
(9,18),-0.0487223 # DEPENDENCYPART_ARC
(9,19),-1.15661 # DEPENDENCYPART_ARC
(10,1),-2.63624 # DEPENDENCYPART_ARC
(10,2),-5.33913 # DEPENDENCYPART_ARC
(10,3),-7.39671 # DEPENDENCYPART_ARC
(10,4),-4.32961 # DEPENDENCYPART_ARC
(10,5),-1.57062 # DEPENDENCYPART_ARC
(10,6),-6.94465 # DEPENDENCYPART_ARC
(10,7),-2.09929 # DEPENDENCYPART_ARC
(10,8),-0.65217 # DEPENDENCYPART_ARC
(10,9),-2.34915 # DEPENDENCYPART_ARC
(10,11),-0.66629 # DEPENDENCYPART_ARC
(10,12),-0.752541 # DEPENDENCYPART_ARC
(10,13),-1.66659 # DEPENDENCYPART_ARC
(10,14),-1.15409 # DEPENDENCYPART_ARC
(10,15),-3.99527 # DEPENDENCYPART_ARC
(10,16),-1.30917 # DEPENDENCYPART_ARC
(10,17),-5.3934 # DEPENDENCYPART_ARC
(10,18),-5.44019 # DEPENDENCYPART_ARC
(10,19),-4.19593 # DEPENDENCYPART_ARC
(11,1),-1.63117 # DEPENDENCYPART_ARC
(11,2),-0.181847 # DEPENDENCYPART_ARC
(11,3),-0.970976 # DEPENDENCYPART_ARC
(11,4),0.106607 # DEPENDENCYPART_ARC
(11,5),-0.667081 # DEPENDENCYPART_ARC
(11,6),2.26709 # DEPENDENCYPART_ARC
(11,7),0.456369 # DEPENDENCYPART_ARC
(11,8),0.20908 # DEPENDENCYPART_ARC
(11,9),1.26659 # DEPENDENCYPART_ARC
(11,10),5.1532 # DEPENDENCYPART_ARC
(11,12),3.74831 # DEPENDENCYPART_ARC
(11,13),0.13125 # DEPENDENCYPART_ARC
(11,14),0.259608 # DEPENDENCYPART_ARC
(11,15),0.388438 # DEPENDENCYPART_ARC
(11,16),0.0486712 # DEPENDENCYPART_ARC
(11,17),-0.947937 # DEPENDENCYPART_ARC
(11,18),0.370022 # DEPENDENCYPART_ARC
(11,19),-0.330923 # DEPENDENCYPART_ARC
(12,1),-3.19751 # DEPENDENCYPART_ARC
(12,2),-4.29795 # DEPENDENCYPART_ARC
(12,3),-7.77165 # DEPENDENCYPART_ARC
(12,4),-4.08182 # DEPENDENCYPART_ARC
(12,5),-2.44489 # DEPENDENCYPART_ARC
(12,6),-8.24872 # DEPENDENCYPART_ARC
(12,7),-2.01851 # DEPENDENCYPART_ARC
(12,8),-1.70806 # DEPENDENCYPART_ARC
(12,9),-2.91023 # DEPENDENCYPART_ARC
(12,10),-2.23649 # DEPENDENCYPART_ARC
(12,11),-0.693089 # DEPENDENCYPART_ARC
(12,13),-0.517006 # DEPENDENCYPART_ARC
(12,14),0.0496739 # DEPENDENCYPART_ARC
(12,15),-0.74742 # DEPENDENCYPART_ARC
(12,16),-0.253019 # DEPENDENCYPART_ARC
(12,17),-3.27473 # DEPENDENCYPART_ARC
(12,18),-4.21139 # DEPENDENCYPART_ARC
(12,19),-2.03205 # DEPENDENCYPART_ARC
(13,1),-0.592819 # DEPENDENCYPART_ARC
(13,2),-0.728196 # DEPENDENCYPART_ARC
(13,3),-0.554267 # DEPENDENCYPART_ARC
(13,4),0.760053 # DEPENDENCYPART_ARC
(13,5),0.705217 # DEPENDENCYPART_ARC
(13,6),0.596624 # DEPENDENCYPART_ARC
(13,7),0.806617 # DEPENDENCYPART_ARC
(13,8),0.3383 # DEPENDENCYPART_ARC
(13,9),1.35152 # DEPENDENCYPART_ARC
(13,10),1.31118 # DEPENDENCYPART_ARC
(13,11),0.556915 # DEPENDENCYPART_ARC
(13,12),0.511417 # DEPENDENCYPART_ARC
(13,14),1.0649 # DEPENDENCYPART_ARC
(13,15),0.531154 # DEPENDENCYPART_ARC
(13,16),0.980225 # DEPENDENCYPART_ARC
(13,17),0.229202 # DEPENDENCYPART_ARC
(13,18),0.899451 # DEPENDENCYPART_ARC
(13,19),0.433118 # DEPENDENCYPART_ARC
(14,1),-4.66667 # DEPENDENCYPART_ARC
(14,2),-3.60387 # DEPENDENCYPART_ARC
(14,3),-4.1115 # DEPENDENCYPART_ARC
(14,4),-3.73693 # DEPENDENCYPART_ARC
(14,5),-3.16398 # DEPENDENCYPART_ARC
(14,6),-2.88525 # DEPENDENCYPART_ARC
(14,7),-1.21778 # DEPENDENCYPART_ARC
(14,8),-1.79015 # DEPENDENCYPART_ARC
(14,9),-2.77646 # DEPENDENCYPART_ARC
(14,10),-2.33916 # DEPENDENCYPART_ARC
(14,11),-1.36327 # DEPENDENCYPART_ARC
(14,12),-2.21105 # DEPENDENCYPART_ARC
(14,13),0.63751 # DEPENDENCYPART_ARC
(14,15),2.81213 # DEPENDENCYPART_ARC
(14,16),0.170928 # DEPENDENCYPART_ARC
(14,17),-0.0961776 # DEPENDENCYPART_ARC
(14,18),-0.552452 # DEPENDENCYPART_ARC
(14,19),0.378673 # DEPENDENCYPART_ARC
(15,1),-3.96858 # DEPENDENCYPART_ARC
(15,2),-4.20236 # DEPENDENCYPART_ARC
(15,3),-5.12654 # DEPENDENCYPART_ARC
(15,4),-5.25241 # DEPENDENCYPART_ARC
(15,5),-3.10818 # DEPENDENCYPART_ARC
(15,6),-4.35386 # DEPENDENCYPART_ARC
(15,7),-1.73988 # DEPENDENCYPART_ARC
(15,8),-1.71193 # DEPENDENCYPART_ARC
(15,9),-4.51713 # DEPENDENCYPART_ARC
(15,10),-4.01944 # DEPENDENCYPART_ARC
(15,11),-1.26658 # DEPENDENCYPART_ARC
(15,12),-3.73443 # DEPENDENCYPART_ARC
(15,13),0.0706122 # DEPENDENCYPART_ARC
(15,14),-0.227358 # DEPENDENCYPART_ARC
(15,16),0.626895 # DEPENDENCYPART_ARC
(15,17),-2.9528 # DEPENDENCYPART_ARC
(15,18),-2.32375 # DEPENDENCYPART_ARC
(15,19),-0.14675 # DEPENDENCYPART_ARC
(16,1),-4.7394 # DEPENDENCYPART_ARC
(16,2),-3.70902 # DEPENDENCYPART_ARC
(16,3),-4.3778 # DEPENDENCYPART_ARC
(16,4),-4.19216 # DEPENDENCYPART_ARC
(16,5),-3.99119 # DEPENDENCYPART_ARC
(16,6),-4.17574 # DEPENDENCYPART_ARC
(16,7),-1.67272 # DEPENDENCYPART_ARC
(16,8),-2.02338 # DEPENDENCYPART_ARC
(16,9),-3.41126 # DEPENDENCYPART_ARC
(16,10),-2.91337 # DEPENDENCYPART_ARC
(16,11),-1.80825 # DEPENDENCYPART_ARC
(16,12),-3.23407 # DEPENDENCYPART_ARC
(16,13),-0.556127 # DEPENDENCYPART_ARC
(16,14),-0.640546 # DEPENDENCYPART_ARC
(16,15),-0.984826 # DEPENDENCYPART_ARC
(16,17),1.77296 # DEPENDENCYPART_ARC
(16,18),3.71225 # DEPENDENCYPART_ARC
(16,19),0.028785 # DEPENDENCYPART_ARC
(17,1),-4.05249 # DEPENDENCYPART_ARC
(17,2),-6.01211 # DEPENDENCYPART_ARC
(17,3),-6.69926 # DEPENDENCYPART_ARC
(17,4),-5.1011 # DEPENDENCYPART_ARC
(17,5),-3.66492 # DEPENDENCYPART_ARC
(17,6),-4.69549 # DEPENDENCYPART_ARC
(17,7),-2.57437 # DEPENDENCYPART_ARC
(17,8),-2.12924 # DEPENDENCYPART_ARC
(17,9),-4.38386 # DEPENDENCYPART_ARC
(17,10),-5.24077 # DEPENDENCYPART_ARC
(17,11),-2.10477 # DEPENDENCYPART_ARC
(17,12),-5.07459 # DEPENDENCYPART_ARC
(17,13),-1.24678 # DEPENDENCYPART_ARC
(17,14),-1.04078 # DEPENDENCYPART_ARC
(17,15),-3.00503 # DEPENDENCYPART_ARC
(17,16),-0.225745 # DEPENDENCYPART_ARC
(17,18),-0.808535 # DEPENDENCYPART_ARC
(17,19),-0.282667 # DEPENDENCYPART_ARC
(18,1),-2.29332 # DEPENDENCYPART_ARC
(18,2),-4.9618 # DEPENDENCYPART_ARC
(18,3),-8.27491 # DEPENDENCYPART_ARC
(18,4),-2.77361 # DEPENDENCYPART_ARC
(18,5),-1.65332 # DEPENDENCYPART_ARC
(18,6),-6.98985 # DEPENDENCYPART_ARC
(18,7),-1.52832 # DEPENDENCYPART_ARC
(18,8),-2.28457 # DEPENDENCYPART_ARC
(18,9),-2.11644 # DEPENDENCYPART_ARC
(18,10),-5.56867 # DEPENDENCYPART_ARC
(18,11),-2.4331 # DEPENDENCYPART_ARC
(18,12),-6.28713 # DEPENDENCYPART_ARC
(18,13),-0.81718 # DEPENDENCYPART_ARC
(18,14),0.101793 # DEPENDENCYPART_ARC
(18,15),-1.38403 # DEPENDENCYPART_ARC
(18,16),-0.157388 # DEPENDENCYPART_ARC
(18,17),5.51375 # DEPENDENCYPART_ARC
(18,19),0.241522 # DEPENDENCYPART_ARC
(19,1),-5.20115 # DEPENDENCYPART_ARC
(19,2),-4.63548 # DEPENDENCYPART_ARC
(19,3),-5.2837 # DEPENDENCYPART_ARC
(19,4),-4.20567 # DEPENDENCYPART_ARC
(19,5),-4.89726 # DEPENDENCYPART_ARC
(19,6),-3.65381 # DEPENDENCYPART_ARC
(19,7),-3.94871 # DEPENDENCYPART_ARC
(19,8),-3.71894 # DEPENDENCYPART_ARC
(19,9),-4.09988 # DEPENDENCYPART_ARC
(19,10),-3.12462 # DEPENDENCYPART_ARC
(19,11),-3.94701 # DEPENDENCYPART_ARC
(19,12),-3.17871 # DEPENDENCYPART_ARC
(19,13),-2.5593 # DEPENDENCYPART_ARC
(19,14),-3.05261 # DEPENDENCYPART_ARC
(19,15),-3.01458 # DEPENDENCYPART_ARC
(19,16),-2.96903 # DEPENDENCYPART_ARC
(19,17),-2.53077 # DEPENDENCYPART_ARC
(19,18),-3.20922 # DEPENDENCYPART_ARC
