# _root_ Se Zlínem jsem loni uhrál v Ostravě bezbrankovou remízu , proto si myslím , že ani s Brnem nejsem bez šancí .
#goldHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
#predictedHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
(16,13),-1.45585 # DEPENDENCYPART_ARC
(16,14),0.982572 # DEPENDENCYPART_ARC
(16,15),0.623437 # DEPENDENCYPART_ARC
(16,17),0.75844 # DEPENDENCYPART_ARC
(16,18),0.196446 # DEPENDENCYPART_ARC
(16,19),1.11741 # DEPENDENCYPART_ARC
(16,20),-0.503721 # DEPENDENCYPART_ARC
(16,21),-1.27204 # DEPENDENCYPART_ARC
(16,22),-0.392006 # DEPENDENCYPART_ARC
(17,1),-3.2453 # DEPENDENCYPART_ARC
(17,2),-2.99564 # DEPENDENCYPART_ARC
(17,3),-3.08713 # DEPENDENCYPART_ARC
(17,4),-1.90447 # DEPENDENCYPART_ARC
(17,5),-3.07569 # DEPENDENCYPART_ARC
(17,6),-1.41044 # DEPENDENCYPART_ARC
(17,7),-1.48385 # DEPENDENCYPART_ARC
(17,8),-3.06631 # DEPENDENCYPART_ARC
(17,9),-3.15845 # DEPENDENCYPART_ARC
(17,10),0.451221 # DEPENDENCYPART_ARC
(17,11),-1.41669 # DEPENDENCYPART_ARC
(17,12),-1.56318 # DEPENDENCYPART_ARC
(17,13),-2.10176 # DEPENDENCYPART_ARC
(17,14),0.932142 # DEPENDENCYPART_ARC
(17,15),-0.0810615 # DEPENDENCYPART_ARC
(17,16),0.225869 # DEPENDENCYPART_ARC
(17,18),5.17918 # DEPENDENCYPART_ARC
(17,19),-0.618484 # DEPENDENCYPART_ARC
(17,20),-1.14113 # DEPENDENCYPART_ARC
(17,21),-1.90401 # DEPENDENCYPART_ARC
(17,22),-0.670624 # DEPENDENCYPART_ARC
(18,1),-3.39563 # DEPENDENCYPART_ARC
(18,2),-6.27588 # DEPENDENCYPART_ARC
(18,3),-3.75691 # DEPENDENCYPART_ARC
(18,4),-3.28267 # DEPENDENCYPART_ARC
(18,5),-6.31418 # DEPENDENCYPART_ARC
(18,6),-4.07759 # DEPENDENCYPART_ARC
(18,7),-7.60322 # DEPENDENCYPART_ARC
(18,8),-6.38042 # DEPENDENCYPART_ARC
(18,9),-9.42758 # DEPENDENCYPART_ARC
(18,10),-1.50201 # DEPENDENCYPART_ARC
(18,11),-3.25304 # DEPENDENCYPART_ARC
(18,12),-4.99368 # DEPENDENCYPART_ARC
(18,13),-2.6678 # DEPENDENCYPART_ARC
(18,14),-0.871585 # DEPENDENCYPART_ARC
(18,15),-1.51687 # DEPENDENCYPART_ARC
(18,16),1.24097 # DEPENDENCYPART_ARC
(18,17),0.25618 # DEPENDENCYPART_ARC
(18,19),-0.856926 # DEPENDENCYPART_ARC
(18,20),-1.39794 # DEPENDENCYPART_ARC
(18,21),-2.19367 # DEPENDENCYPART_ARC
(18,22),-1.00699 # DEPENDENCYPART_ARC
(19,1),-2.26402 # DEPENDENCYPART_ARC
(19,2),-3.64287 # DEPENDENCYPART_ARC
(19,3),-3.42033 # DEPENDENCYPART_ARC
(19,4),-1.1614 # DEPENDENCYPART_ARC
(19,5),-3.07289 # DEPENDENCYPART_ARC
(19,6),-1.29846 # DEPENDENCYPART_ARC
(19,7),-3.76101 # DEPENDENCYPART_ARC
(19,8),-4.80156 # DEPENDENCYPART_ARC
(19,9),-2.76709 # DEPENDENCYPART_ARC
(19,10),-1.357 # DEPENDENCYPART_ARC
(19,11),-0.72275 # DEPENDENCYPART_ARC
(19,12),0.896258 # DEPENDENCYPART_ARC
(19,13),-2.10642 # DEPENDENCYPART_ARC
(19,14),-0.704616 # DEPENDENCYPART_ARC
(19,15),-0.584784 # DEPENDENCYPART_ARC
(19,16),0.63655 # DEPENDENCYPART_ARC
(19,17),1.85344 # DEPENDENCYPART_ARC
(19,18),-0.508863 # DEPENDENCYPART_ARC
(19,20),1.74461 # DEPENDENCYPART_ARC
(19,21),-1.53848 # DEPENDENCYPART_ARC
(19,22),-0.536762 # DEPENDENCYPART_ARC
(20,1),-4.11261 # DEPENDENCYPART_ARC
(20,2),-2.71204 # DEPENDENCYPART_ARC
(20,3),-3.76462 # DEPENDENCYPART_ARC
(20,4),-2.56113 # DEPENDENCYPART_ARC
(20,5),-3.61609 # DEPENDENCYPART_ARC
(20,6),-3.47145 # DEPENDENCYPART_ARC
(20,7),-2.97099 # DEPENDENCYPART_ARC
(20,8),-3.06186 # DEPENDENCYPART_ARC
(20,9),-3.2304 # DEPENDENCYPART_ARC
(20,10),-0.175726 # DEPENDENCYPART_ARC
(20,11),-1.89248 # DEPENDENCYPART_ARC
(20,12),-2.29499 # DEPENDENCYPART_ARC
(20,13),-3.12424 # DEPENDENCYPART_ARC
(20,14),-0.103605 # DEPENDENCYPART_ARC
(20,15),-1.21492 # DEPENDENCYPART_ARC
(20,16),-1.1821 # DEPENDENCYPART_ARC
(20,17),-0.809066 # DEPENDENCYPART_ARC
(20,18),-0.509886 # DEPENDENCYPART_ARC
(20,19),-1.08687 # DEPENDENCYPART_ARC
(20,21),3.77043 # DEPENDENCYPART_ARC
(20,22),-0.126587 # DEPENDENCYPART_ARC
(21,1),-3.022 # DEPENDENCYPART_ARC
(21,2),-9.19493 # DEPENDENCYPART_ARC
(21,3),-3.33958 # DEPENDENCYPART_ARC
(21,4),-4.028 # DEPENDENCYPART_ARC
(21,5),-5.35559 # DEPENDENCYPART_ARC
(21,6),-4.49726 # DEPENDENCYPART_ARC
(21,7),-7.66246 # DEPENDENCYPART_ARC
(21,8),-6.12727 # DEPENDENCYPART_ARC
(21,9),-9.24158 # DEPENDENCYPART_ARC
(21,10),-2.38674 # DEPENDENCYPART_ARC
(21,11),-4.14638 # DEPENDENCYPART_ARC
(21,12),-5.35969 # DEPENDENCYPART_ARC
(21,13),-2.45661 # DEPENDENCYPART_ARC
(21,14),-1.91856 # DEPENDENCYPART_ARC
(21,15),-3.06213 # DEPENDENCYPART_ARC
(21,16),-0.34781 # DEPENDENCYPART_ARC
(21,17),-0.0700016 # DEPENDENCYPART_ARC
(21,18),-3.31507 # DEPENDENCYPART_ARC
(21,19),-1.85994 # DEPENDENCYPART_ARC
(21,20),0.383615 # DEPENDENCYPART_ARC
(21,22),0.306964 # DEPENDENCYPART_ARC
(22,1),-6.45194 # DEPENDENCYPART_ARC
(22,2),-6.14731 # DEPENDENCYPART_ARC
(22,3),-5.06748 # DEPENDENCYPART_ARC
(22,4),-4.56771 # DEPENDENCYPART_ARC
(22,5),-4.71598 # DEPENDENCYPART_ARC
(22,6),-5.08374 # DEPENDENCYPART_ARC
(22,7),-4.59174 # DEPENDENCYPART_ARC
(22,8),-4.76503 # DEPENDENCYPART_ARC
(22,9),-4.90844 # DEPENDENCYPART_ARC
(22,10),-4.24281 # DEPENDENCYPART_ARC
(22,11),-4.22194 # DEPENDENCYPART_ARC
(22,12),-4.15976 # DEPENDENCYPART_ARC
(22,13),-4.37617 # DEPENDENCYPART_ARC
(22,14),-3.9811 # DEPENDENCYPART_ARC
(22,15),-3.84713 # DEPENDENCYPART_ARC
(22,16),-3.62894 # DEPENDENCYPART_ARC
(22,17),-3.96823 # DEPENDENCYPART_ARC
(22,18),-3.25199 # DEPENDENCYPART_ARC
(22,19),-3.15837 # DEPENDENCYPART_ARC
(22,20),-3.09703 # DEPENDENCYPART_ARC
(22,21),-2.39488 # DEPENDENCYPART_ARC
