# _root_ Tento počet zahrnuje vedle dětí osvojených i děti , pro něž měli otevřenou náruč , a hlavně srdce pěstouni .
#goldHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,16,16,12,18,16,12,0,
#predictedHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,12,16,12,18,16,16,0,
(3,13),-4.2107 # DEPENDENCYPART_ARC
(3,14),-0.638835 # DEPENDENCYPART_ARC
(3,15),-0.0388991 # DEPENDENCYPART_ARC
(3,16),0.270134 # DEPENDENCYPART_ARC
(3,17),-1.49551 # DEPENDENCYPART_ARC
(3,18),-1.74084 # DEPENDENCYPART_ARC
(3,19),-1.65147 # DEPENDENCYPART_ARC
(3,20),-0.407371 # DEPENDENCYPART_ARC
(4,1),-2.40681 # DEPENDENCYPART_ARC
(4,2),-1.94484 # DEPENDENCYPART_ARC
(4,3),-1.40427 # DEPENDENCYPART_ARC
(4,5),3.734 # DEPENDENCYPART_ARC
(4,6),-0.291157 # DEPENDENCYPART_ARC
(4,7),-0.118447 # DEPENDENCYPART_ARC
(4,8),-2.7101 # DEPENDENCYPART_ARC
(4,9),-0.103575 # DEPENDENCYPART_ARC
(4,10),-1.88325 # DEPENDENCYPART_ARC
(4,11),-3.04942 # DEPENDENCYPART_ARC
(4,12),-2.44816 # DEPENDENCYPART_ARC
(4,13),-3.18007 # DEPENDENCYPART_ARC
(4,14),-5.35619 # DEPENDENCYPART_ARC
(4,15),-0.954435 # DEPENDENCYPART_ARC
(4,16),-1.46771 # DEPENDENCYPART_ARC
(4,17),-2.23451 # DEPENDENCYPART_ARC
(4,18),-6.45382 # DEPENDENCYPART_ARC
(4,19),-8.4532 # DEPENDENCYPART_ARC
(4,20),-2.23477 # DEPENDENCYPART_ARC
(5,1),-2.9068 # DEPENDENCYPART_ARC
(5,2),-4.20629 # DEPENDENCYPART_ARC
(5,3),-1.64676 # DEPENDENCYPART_ARC
(5,4),1.2445 # DEPENDENCYPART_ARC
(5,6),2.67231 # DEPENDENCYPART_ARC
(5,7),0.761491 # DEPENDENCYPART_ARC
(5,8),-3.50758 # DEPENDENCYPART_ARC
(5,9),-0.229451 # DEPENDENCYPART_ARC
(5,10),-0.350117 # DEPENDENCYPART_ARC
(5,11),-2.57815 # DEPENDENCYPART_ARC
(5,12),0.545547 # DEPENDENCYPART_ARC
(5,13),-4.07843 # DEPENDENCYPART_ARC
(5,14),-4.7975 # DEPENDENCYPART_ARC
(5,15),-0.437275 # DEPENDENCYPART_ARC
(5,16),-0.365417 # DEPENDENCYPART_ARC
(5,17),-0.877201 # DEPENDENCYPART_ARC
(5,18),-6.73855 # DEPENDENCYPART_ARC
(5,19),-4.13991 # DEPENDENCYPART_ARC
(5,20),-5.17811 # DEPENDENCYPART_ARC
(6,1),-1.10652 # DEPENDENCYPART_ARC
(6,2),-2.61268 # DEPENDENCYPART_ARC
(6,3),-1.99467 # DEPENDENCYPART_ARC
(6,4),0.757716 # DEPENDENCYPART_ARC
(6,5),-0.841801 # DEPENDENCYPART_ARC
(6,7),0.694789 # DEPENDENCYPART_ARC
(6,8),-0.739753 # DEPENDENCYPART_ARC
(6,9),-0.21237 # DEPENDENCYPART_ARC
(6,10),-0.175999 # DEPENDENCYPART_ARC
(6,12),-2.59636 # DEPENDENCYPART_ARC
(6,13),-3.8563 # DEPENDENCYPART_ARC
(6,14),-3.09818 # DEPENDENCYPART_ARC
(6,15),-0.784866 # DEPENDENCYPART_ARC
(6,16),-1.11706 # DEPENDENCYPART_ARC
(6,17),-1.22679 # DEPENDENCYPART_ARC
(6,18),-4.11588 # DEPENDENCYPART_ARC
(6,19),-4.61072 # DEPENDENCYPART_ARC
(6,20),-2.427 # DEPENDENCYPART_ARC
(7,1),0.031121 # DEPENDENCYPART_ARC
(7,2),-0.933839 # DEPENDENCYPART_ARC
(7,3),-1.73494 # DEPENDENCYPART_ARC
(7,4),-0.582955 # DEPENDENCYPART_ARC
(7,5),0.873057 # DEPENDENCYPART_ARC
(7,6),1.0321 # DEPENDENCYPART_ARC
(7,8),1.37105 # DEPENDENCYPART_ARC
(7,9),-0.569044 # DEPENDENCYPART_ARC
(7,10),-1.14218 # DEPENDENCYPART_ARC
(7,12),-1.42301 # DEPENDENCYPART_ARC
(7,13),-0.0497633 # DEPENDENCYPART_ARC
(7,14),-2.4679 # DEPENDENCYPART_ARC
(7,15),-1.62926 # DEPENDENCYPART_ARC
(7,16),-1.48765 # DEPENDENCYPART_ARC
(7,17),-2.32165 # DEPENDENCYPART_ARC
(7,18),-2.32904 # DEPENDENCYPART_ARC
(7,19),-2.24606 # DEPENDENCYPART_ARC
(7,20),-2.55291 # DEPENDENCYPART_ARC
(8,1),-3.8681 # DEPENDENCYPART_ARC
(8,2),-4.93921 # DEPENDENCYPART_ARC
(8,3),-1.85995 # DEPENDENCYPART_ARC
(8,4),-0.00730367 # DEPENDENCYPART_ARC
(8,5),-1.97134 # DEPENDENCYPART_ARC
(8,6),-0.402543 # DEPENDENCYPART_ARC
(8,7),2.42754 # DEPENDENCYPART_ARC
(8,9),-0.255046 # DEPENDENCYPART_ARC
(8,10),-0.0295953 # DEPENDENCYPART_ARC
(8,11),-1.11035 # DEPENDENCYPART_ARC
(8,12),1.28936 # DEPENDENCYPART_ARC
(8,13),-1.45716 # DEPENDENCYPART_ARC
(8,14),-2.95417 # DEPENDENCYPART_ARC
(8,15),-0.117262 # DEPENDENCYPART_ARC
(8,16),0.0771246 # DEPENDENCYPART_ARC
(8,17),-1.54239 # DEPENDENCYPART_ARC
(8,18),-4.76271 # DEPENDENCYPART_ARC
(8,19),-4.03212 # DEPENDENCYPART_ARC
(8,20),-3.93748 # DEPENDENCYPART_ARC
(9,1),-0.778903 # DEPENDENCYPART_ARC
(9,2),-0.958017 # DEPENDENCYPART_ARC
(9,3),0.416577 # DEPENDENCYPART_ARC
(9,4),0.670812 # DEPENDENCYPART_ARC
(9,5),0.284447 # DEPENDENCYPART_ARC
(9,6),-0.0941222 # DEPENDENCYPART_ARC
(9,7),-0.16439 # DEPENDENCYPART_ARC
(9,8),-0.216884 # DEPENDENCYPART_ARC
(9,10),0.744596 # DEPENDENCYPART_ARC
(9,12),0.942039 # DEPENDENCYPART_ARC
(9,13),-0.428887 # DEPENDENCYPART_ARC
(9,14),-0.34384 # DEPENDENCYPART_ARC
(9,15),0.212754 # DEPENDENCYPART_ARC
(9,16),-0.118013 # DEPENDENCYPART_ARC
(9,17),-0.436061 # DEPENDENCYPART_ARC
(9,18),-1.4607 # DEPENDENCYPART_ARC
(9,19),-1.24731 # DEPENDENCYPART_ARC
(9,20),-0.663047 # DEPENDENCYPART_ARC
(10,1),-3.61558 # DEPENDENCYPART_ARC
(10,2),-4.13473 # DEPENDENCYPART_ARC
(10,3),-4.09064 # DEPENDENCYPART_ARC
(10,4),-2.77308 # DEPENDENCYPART_ARC
(10,5),-3.68057 # DEPENDENCYPART_ARC
(10,6),-3.59419 # DEPENDENCYPART_ARC
(10,7),-2.03221 # DEPENDENCYPART_ARC
(10,8),-3.38874 # DEPENDENCYPART_ARC
(10,9),-0.598109 # DEPENDENCYPART_ARC
(10,11),4.20942 # DEPENDENCYPART_ARC
(10,12),-0.747386 # DEPENDENCYPART_ARC
(10,13),-0.0070785 # DEPENDENCYPART_ARC
(10,14),0.741989 # DEPENDENCYPART_ARC
(10,15),-0.436471 # DEPENDENCYPART_ARC
(10,16),-0.856954 # DEPENDENCYPART_ARC
(10,17),-0.888489 # DEPENDENCYPART_ARC
(10,18),-1.53048 # DEPENDENCYPART_ARC
(10,19),-6.03437 # DEPENDENCYPART_ARC
(10,20),-1.57964 # DEPENDENCYPART_ARC
(12,1),-2.06145 # DEPENDENCYPART_ARC
(12,2),-0.074514 # DEPENDENCYPART_ARC
(12,3),-2.36708 # DEPENDENCYPART_ARC
(12,4),0.909176 # DEPENDENCYPART_ARC
(12,5),-2.45667 # DEPENDENCYPART_ARC
(12,6),-3.71137 # DEPENDENCYPART_ARC
(12,7),-0.0546164 # DEPENDENCYPART_ARC
(12,8),0.3535 # DEPENDENCYPART_ARC
(12,9),2.01923 # DEPENDENCYPART_ARC
(12,10),2.7638 # DEPENDENCYPART_ARC
(12,13),-1.71269 # DEPENDENCYPART_ARC
(12,14),3.02195 # DEPENDENCYPART_ARC
(12,15),0.860165 # DEPENDENCYPART_ARC
(12,16),0.831086 # DEPENDENCYPART_ARC
(12,17),-0.391014 # DEPENDENCYPART_ARC
(12,18),0.410748 # DEPENDENCYPART_ARC
(12,19),0.504424 # DEPENDENCYPART_ARC
(12,20),-0.249142 # DEPENDENCYPART_ARC
(13,1),-3.13735 # DEPENDENCYPART_ARC
(13,2),-4.93807 # DEPENDENCYPART_ARC
(13,3),-4.30127 # DEPENDENCYPART_ARC
(13,4),-0.969378 # DEPENDENCYPART_ARC
(13,5),-4.38767 # DEPENDENCYPART_ARC
(13,6),-5.29402 # DEPENDENCYPART_ARC
(13,7),-0.970262 # DEPENDENCYPART_ARC
(13,8),-2.50153 # DEPENDENCYPART_ARC
(13,9),-0.773229 # DEPENDENCYPART_ARC
(13,10),-0.0948305 # DEPENDENCYPART_ARC
(13,12),-3.17038 # DEPENDENCYPART_ARC
(13,14),-0.927038 # DEPENDENCYPART_ARC
(13,15),-1.03055 # DEPENDENCYPART_ARC
(13,16),-0.333155 # DEPENDENCYPART_ARC
(13,17),-1.10638 # DEPENDENCYPART_ARC
(13,18),-3.32772 # DEPENDENCYPART_ARC
(13,19),-4.38305 # DEPENDENCYPART_ARC
(13,20),-1.88119 # DEPENDENCYPART_ARC
(14,1),-4.05503 # DEPENDENCYPART_ARC
(14,2),-6.31505 # DEPENDENCYPART_ARC
(14,3),-2.13915 # DEPENDENCYPART_ARC
(14,4),-0.558927 # DEPENDENCYPART_ARC
(14,5),-5.07863 # DEPENDENCYPART_ARC
(14,6),-4.8626 # DEPENDENCYPART_ARC
(14,7),0.420935 # DEPENDENCYPART_ARC
(14,8),-3.85376 # DEPENDENCYPART_ARC
(14,9),-1.1406 # DEPENDENCYPART_ARC
(14,10),0.0972526 # DEPENDENCYPART_ARC
(14,11),0.762735 # DEPENDENCYPART_ARC
(14,12),-2.61542 # DEPENDENCYPART_ARC
(14,13),4.9426 # DEPENDENCYPART_ARC
(14,15),-0.171564 # DEPENDENCYPART_ARC
(14,16),0.415915 # DEPENDENCYPART_ARC
(14,17),-1.33478 # DEPENDENCYPART_ARC
(14,18),-2.66699 # DEPENDENCYPART_ARC
(14,19),-2.18837 # DEPENDENCYPART_ARC
(14,20),-2.14431 # DEPENDENCYPART_ARC
(15,1),-1.35514 # DEPENDENCYPART_ARC
(15,2),-2.06071 # DEPENDENCYPART_ARC
(15,3),-0.672857 # DEPENDENCYPART_ARC
(15,4),-1.13645 # DEPENDENCYPART_ARC
(15,5),-0.847991 # DEPENDENCYPART_ARC
(15,6),-1.33395 # DEPENDENCYPART_ARC
(15,7),-0.466232 # DEPENDENCYPART_ARC
(15,8),-0.719912 # DEPENDENCYPART_ARC
(15,9),0.00250784 # DEPENDENCYPART_ARC
(15,10),-0.500255 # DEPENDENCYPART_ARC
(15,12),-0.0347385 # DEPENDENCYPART_ARC
(15,13),-0.183733 # DEPENDENCYPART_ARC
(15,14),-0.400152 # DEPENDENCYPART_ARC
(15,16),-0.703709 # DEPENDENCYPART_ARC
(15,17),-0.91522 # DEPENDENCYPART_ARC
(15,18),-1.20493 # DEPENDENCYPART_ARC
(15,19),-1.10945 # DEPENDENCYPART_ARC
(15,20),-1.6475 # DEPENDENCYPART_ARC
(16,1),-0.361769 # DEPENDENCYPART_ARC
(16,2),0.92627 # DEPENDENCYPART_ARC
(16,3),0.950898 # DEPENDENCYPART_ARC
(16,4),-0.366798 # DEPENDENCYPART_ARC
(16,5),0.122904 # DEPENDENCYPART_ARC
(16,6),-0.190904 # DEPENDENCYPART_ARC
(16,7),0.0754242 # DEPENDENCYPART_ARC
(16,8),0.186953 # DEPENDENCYPART_ARC
(16,9),0.894005 # DEPENDENCYPART_ARC
(16,10),0.852089 # DEPENDENCYPART_ARC
(16,12),1.69916 # DEPENDENCYPART_ARC
(16,13),1.26654 # DEPENDENCYPART_ARC
(16,14),1.23112 # DEPENDENCYPART_ARC
(16,15),1.95407 # DEPENDENCYPART_ARC
(16,17),0.836952 # DEPENDENCYPART_ARC
(16,18),1.96043 # DEPENDENCYPART_ARC
(16,19),1.21881 # DEPENDENCYPART_ARC
(16,20),0.234443 # DEPENDENCYPART_ARC
(17,1),-3.21578 # DEPENDENCYPART_ARC
(17,2),-3.65077 # DEPENDENCYPART_ARC
(17,3),-3.52493 # DEPENDENCYPART_ARC
(17,4),-3.34341 # DEPENDENCYPART_ARC
(17,5),-2.23772 # DEPENDENCYPART_ARC
(17,6),-3.1843 # DEPENDENCYPART_ARC
(17,7),-1.98307 # DEPENDENCYPART_ARC
(17,8),-1.88177 # DEPENDENCYPART_ARC
(17,9),-2.28374 # DEPENDENCYPART_ARC
(17,10),-2.46016 # DEPENDENCYPART_ARC
(17,12),-3.24075 # DEPENDENCYPART_ARC
(17,13),-2.69384 # DEPENDENCYPART_ARC
(17,14),-1.32571 # DEPENDENCYPART_ARC
(17,15),-1.2062 # DEPENDENCYPART_ARC
(17,16),-0.270142 # DEPENDENCYPART_ARC
(17,18),-0.47382 # DEPENDENCYPART_ARC
(17,19),-2.35163 # DEPENDENCYPART_ARC
(17,20),-0.887712 # DEPENDENCYPART_ARC
(18,1),-4.36194 # DEPENDENCYPART_ARC
(18,2),-8.31707 # DEPENDENCYPART_ARC
(18,3),-3.14844 # DEPENDENCYPART_ARC
(18,4),-1.63552 # DEPENDENCYPART_ARC
(18,5),-7.59482 # DEPENDENCYPART_ARC
(18,6),-8.42959 # DEPENDENCYPART_ARC
(18,7),-1.39478 # DEPENDENCYPART_ARC
(18,8),-5.9961 # DEPENDENCYPART_ARC
(18,9),-1.04875 # DEPENDENCYPART_ARC
(18,10),-1.19629 # DEPENDENCYPART_ARC
(18,11),-1.56489 # DEPENDENCYPART_ARC
(18,12),-4.59089 # DEPENDENCYPART_ARC
(18,13),-1.081 # DEPENDENCYPART_ARC
(18,14),-3.56086 # DEPENDENCYPART_ARC
(18,15),0.465608 # DEPENDENCYPART_ARC
(18,16),0.465682 # DEPENDENCYPART_ARC
(18,17),1.67578 # DEPENDENCYPART_ARC
(18,19),1.12263 # DEPENDENCYPART_ARC
(18,20),-0.0207574 # DEPENDENCYPART_ARC
(19,1),-2.21767 # DEPENDENCYPART_ARC
(19,2),-6.71326 # DEPENDENCYPART_ARC
(19,3),-3.18783 # DEPENDENCYPART_ARC
(19,4),-2.07192 # DEPENDENCYPART_ARC
(19,5),-7.65263 # DEPENDENCYPART_ARC
(19,6),-6.85798 # DEPENDENCYPART_ARC
(19,7),-1.36301 # DEPENDENCYPART_ARC
(19,8),-9.1421 # DEPENDENCYPART_ARC
(19,9),-1.31932 # DEPENDENCYPART_ARC
(19,10),-0.996747 # DEPENDENCYPART_ARC
(19,11),-2.66828 # DEPENDENCYPART_ARC
(19,12),-3.51519 # DEPENDENCYPART_ARC
(19,13),-4.90359 # DEPENDENCYPART_ARC
(19,14),-7.0282 # DEPENDENCYPART_ARC
(19,15),0.0360123 # DEPENDENCYPART_ARC
(19,16),0.441736 # DEPENDENCYPART_ARC
(19,17),0.88706 # DEPENDENCYPART_ARC
(19,18),-1.44278 # DEPENDENCYPART_ARC
(19,20),0.214658 # DEPENDENCYPART_ARC
(20,1),-4.67162 # DEPENDENCYPART_ARC
(20,2),-5.79001 # DEPENDENCYPART_ARC
(20,3),-4.76928 # DEPENDENCYPART_ARC
(20,4),-5.12396 # DEPENDENCYPART_ARC
(20,5),-4.49087 # DEPENDENCYPART_ARC
(20,6),-4.5426 # DEPENDENCYPART_ARC
(20,7),-4.39655 # DEPENDENCYPART_ARC
(20,8),-4.00019 # DEPENDENCYPART_ARC
(20,9),-3.74421 # DEPENDENCYPART_ARC
(20,10),-4.3691 # DEPENDENCYPART_ARC
(20,12),-3.97882 # DEPENDENCYPART_ARC
(20,13),-3.57419 # DEPENDENCYPART_ARC
(20,14),-3.32606 # DEPENDENCYPART_ARC
(20,15),-3.12905 # DEPENDENCYPART_ARC
(20,16),-3.77434 # DEPENDENCYPART_ARC
(20,17),-3.18401 # DEPENDENCYPART_ARC
(20,18),-3.32998 # DEPENDENCYPART_ARC
(20,19),-3.1328 # DEPENDENCYPART_ARC
