# _root_ Doposud jsme byli zvyklí na to , že školy organizovaly nejrůznější soutěže , zájezdy nebo přehlídky a peníze na ně byly vždy nějakým způsobem zajištěny .
#goldHeads=3,3,0,3,4,5,8,6,10,17,15,15,15,15,10,15,8,25,18,19,25,25,24,25,17,0,
#predictedHeads=3,3,0,3,4,5,8,6,10,8,12,10,15,15,25,15,15,17,25,19,25,25,24,25,12,0,
(4,5),1.97658 # DEPENDENCYPART_ARC
(4,6),-1.47313 # DEPENDENCYPART_ARC
(4,7),0.227021 # DEPENDENCYPART_ARC
(4,8),0.663406 # DEPENDENCYPART_ARC
(4,9),-1.82726 # DEPENDENCYPART_ARC
(4,10),-1.34053 # DEPENDENCYPART_ARC
(4,11),-3.53944 # DEPENDENCYPART_ARC
(4,12),-3.12047 # DEPENDENCYPART_ARC
(4,13),-0.243231 # DEPENDENCYPART_ARC
(4,14),-3.79117 # DEPENDENCYPART_ARC
(4,15),-0.592228 # DEPENDENCYPART_ARC
(4,16),-4.49115 # DEPENDENCYPART_ARC
(4,17),-0.931987 # DEPENDENCYPART_ARC
(4,18),-4.52419 # DEPENDENCYPART_ARC
(4,19),-1.48229 # DEPENDENCYPART_ARC
(4,20),-4.86199 # DEPENDENCYPART_ARC
(4,21),-2.99476 # DEPENDENCYPART_ARC
(4,22),-1.79099 # DEPENDENCYPART_ARC
(4,23),-2.25275 # DEPENDENCYPART_ARC
(4,24),-3.90333 # DEPENDENCYPART_ARC
(4,25),-2.29593 # DEPENDENCYPART_ARC
(4,26),-3.55379 # DEPENDENCYPART_ARC
(5,1),-1.60362 # DEPENDENCYPART_ARC
(5,2),-2.45208 # DEPENDENCYPART_ARC
(5,3),-2.19891 # DEPENDENCYPART_ARC
(5,4),-1.68665 # DEPENDENCYPART_ARC
(5,6),3.82504 # DEPENDENCYPART_ARC
(5,7),0.275867 # DEPENDENCYPART_ARC
(5,8),0.173491 # DEPENDENCYPART_ARC
(5,9),-1.0874 # DEPENDENCYPART_ARC
(5,10),-1.35534 # DEPENDENCYPART_ARC
(5,11),-1.39236 # DEPENDENCYPART_ARC
(5,12),-0.296575 # DEPENDENCYPART_ARC
(5,13),-0.852808 # DEPENDENCYPART_ARC
(5,14),-2.10599 # DEPENDENCYPART_ARC
(5,15),-0.515434 # DEPENDENCYPART_ARC
(5,16),-3.94495 # DEPENDENCYPART_ARC
(5,17),-1.14737 # DEPENDENCYPART_ARC
(5,18),-8.48654 # DEPENDENCYPART_ARC
(5,19),-2.19248 # DEPENDENCYPART_ARC
(5,20),-0.823767 # DEPENDENCYPART_ARC
(5,21),-2.53699 # DEPENDENCYPART_ARC
(5,22),-2.12265 # DEPENDENCYPART_ARC
(5,23),-5.26601 # DEPENDENCYPART_ARC
(5,24),-8.07941 # DEPENDENCYPART_ARC
(5,25),-2.69939 # DEPENDENCYPART_ARC
(5,26),-3.48339 # DEPENDENCYPART_ARC
(6,1),-0.00316093 # DEPENDENCYPART_ARC
(6,2),-1.36766 # DEPENDENCYPART_ARC
(6,3),-0.749166 # DEPENDENCYPART_ARC
(6,4),-2.32542 # DEPENDENCYPART_ARC
(6,5),0.812172 # DEPENDENCYPART_ARC
(6,7),0.30426 # DEPENDENCYPART_ARC
(6,8),2.43183 # DEPENDENCYPART_ARC
(6,9),-0.313151 # DEPENDENCYPART_ARC
(6,10),0.319425 # DEPENDENCYPART_ARC
(6,11),-1.01352 # DEPENDENCYPART_ARC
(6,12),-0.346408 # DEPENDENCYPART_ARC
(6,13),0.484082 # DEPENDENCYPART_ARC
(6,14),-1.01294 # DEPENDENCYPART_ARC
(6,15),-0.156405 # DEPENDENCYPART_ARC
(6,16),-0.885973 # DEPENDENCYPART_ARC
(6,17),-0.0224562 # DEPENDENCYPART_ARC
(6,18),-1.73151 # DEPENDENCYPART_ARC
(6,19),-1.73281 # DEPENDENCYPART_ARC
(6,20),-3.74004 # DEPENDENCYPART_ARC
(6,21),-3.35995 # DEPENDENCYPART_ARC
(6,22),-1.59053 # DEPENDENCYPART_ARC
(6,23),-2.25577 # DEPENDENCYPART_ARC
(6,24),-2.00712 # DEPENDENCYPART_ARC
(6,25),-2.78551 # DEPENDENCYPART_ARC
(6,26),-1.14332 # DEPENDENCYPART_ARC
(7,1),-1.13137 # DEPENDENCYPART_ARC
(7,2),-0.681113 # DEPENDENCYPART_ARC
(7,3),-0.460083 # DEPENDENCYPART_ARC
(7,4),-0.526938 # DEPENDENCYPART_ARC
(7,5),-0.432947 # DEPENDENCYPART_ARC
(7,6),0.233511 # DEPENDENCYPART_ARC
(7,8),0.120107 # DEPENDENCYPART_ARC
(7,9),-0.848535 # DEPENDENCYPART_ARC
(7,10),0.0376411 # DEPENDENCYPART_ARC
(7,11),-0.918801 # DEPENDENCYPART_ARC
(7,12),-1.96572 # DEPENDENCYPART_ARC
(7,13),-0.940047 # DEPENDENCYPART_ARC
(7,14),-2.42978 # DEPENDENCYPART_ARC
(7,15),-1.18315 # DEPENDENCYPART_ARC
(7,16),-2.92874 # DEPENDENCYPART_ARC
(7,17),-1.36233 # DEPENDENCYPART_ARC
(7,18),-3.41661 # DEPENDENCYPART_ARC
(7,19),-2.89535 # DEPENDENCYPART_ARC
(7,20),-2.32753 # DEPENDENCYPART_ARC
(7,21),-2.64022 # DEPENDENCYPART_ARC
(7,22),-2.62597 # DEPENDENCYPART_ARC
(7,23),-2.52121 # DEPENDENCYPART_ARC
(7,24),-4.93742 # DEPENDENCYPART_ARC
(7,25),-2.77852 # DEPENDENCYPART_ARC
(7,26),-1.83893 # DEPENDENCYPART_ARC
(8,1),-1.56971 # DEPENDENCYPART_ARC
(8,2),-2.50141 # DEPENDENCYPART_ARC
(8,3),-2.64088 # DEPENDENCYPART_ARC
(8,4),-0.974174 # DEPENDENCYPART_ARC
(8,5),-1.62241 # DEPENDENCYPART_ARC
(8,6),-0.474795 # DEPENDENCYPART_ARC
(8,7),2.4044 # DEPENDENCYPART_ARC
(8,9),-0.919186 # DEPENDENCYPART_ARC
(8,10),2.57656 # DEPENDENCYPART_ARC
(8,11),-0.804271 # DEPENDENCYPART_ARC
(8,12),-1.9289 # DEPENDENCYPART_ARC
(8,13),0.471426 # DEPENDENCYPART_ARC
(8,14),-2.66962 # DEPENDENCYPART_ARC
(8,15),0.268819 # DEPENDENCYPART_ARC
(8,16),-3.11417 # DEPENDENCYPART_ARC
(8,17),0.45843 # DEPENDENCYPART_ARC
(8,18),-3.79711 # DEPENDENCYPART_ARC
(8,19),-2.35434 # DEPENDENCYPART_ARC
(8,20),-2.65029 # DEPENDENCYPART_ARC
(8,21),1.19365 # DEPENDENCYPART_ARC
(8,22),-1.19898 # DEPENDENCYPART_ARC
(8,23),-2.59246 # DEPENDENCYPART_ARC
(8,24),-5.35633 # DEPENDENCYPART_ARC
(8,25),-0.0921111 # DEPENDENCYPART_ARC
(8,26),-1.38197 # DEPENDENCYPART_ARC
(9,1),-2.8613 # DEPENDENCYPART_ARC
(9,2),-3.50702 # DEPENDENCYPART_ARC
(9,3),-6.41141 # DEPENDENCYPART_ARC
(9,4),-2.6959 # DEPENDENCYPART_ARC
(9,5),-2.39815 # DEPENDENCYPART_ARC
(9,6),-5.66021 # DEPENDENCYPART_ARC
(9,7),-1.05314 # DEPENDENCYPART_ARC
(9,8),-1.2805 # DEPENDENCYPART_ARC
(9,10),-0.0169289 # DEPENDENCYPART_ARC
(9,11),-2.0404 # DEPENDENCYPART_ARC
(9,12),-4.02907 # DEPENDENCYPART_ARC
(9,13),-0.640833 # DEPENDENCYPART_ARC
(9,14),-4.14578 # DEPENDENCYPART_ARC
(9,15),-0.555373 # DEPENDENCYPART_ARC
(9,16),-5.34068 # DEPENDENCYPART_ARC
(9,17),-0.637526 # DEPENDENCYPART_ARC
(9,18),-3.15763 # DEPENDENCYPART_ARC
(9,19),-0.819083 # DEPENDENCYPART_ARC
(9,20),-3.52693 # DEPENDENCYPART_ARC
(9,21),-4.19107 # DEPENDENCYPART_ARC
(9,22),-1.63331 # DEPENDENCYPART_ARC
(9,23),-3.52523 # DEPENDENCYPART_ARC
(9,24),-6.41023 # DEPENDENCYPART_ARC
(9,25),-3.94451 # DEPENDENCYPART_ARC
(9,26),-6.61077 # DEPENDENCYPART_ARC
(10,1),0.582355 # DEPENDENCYPART_ARC
(10,2),0.636695 # DEPENDENCYPART_ARC
(10,3),-2.07445 # DEPENDENCYPART_ARC
(10,4),-1.03854 # DEPENDENCYPART_ARC
(10,5),-0.153556 # DEPENDENCYPART_ARC
(10,6),-1.05075 # DEPENDENCYPART_ARC
(10,7),0.847453 # DEPENDENCYPART_ARC
(10,8),0.124266 # DEPENDENCYPART_ARC
(10,9),3.71327 # DEPENDENCYPART_ARC
(10,11),-1.39238 # DEPENDENCYPART_ARC
(10,12),3.37678 # DEPENDENCYPART_ARC
(10,13),0.828439 # DEPENDENCYPART_ARC
(10,14),1.6039 # DEPENDENCYPART_ARC
(10,15),0.909491 # DEPENDENCYPART_ARC
(10,16),0.0609005 # DEPENDENCYPART_ARC
(10,17),0.580659 # DEPENDENCYPART_ARC
(10,18),0.31236 # DEPENDENCYPART_ARC
(10,19),0.135296 # DEPENDENCYPART_ARC
(10,20),-2.88375 # DEPENDENCYPART_ARC
(10,21),-2.85342 # DEPENDENCYPART_ARC
(10,22),-0.574175 # DEPENDENCYPART_ARC
(10,23),-2.57098 # DEPENDENCYPART_ARC
(10,24),-2.22457 # DEPENDENCYPART_ARC
(10,25),-1.11546 # DEPENDENCYPART_ARC
(10,26),-0.921751 # DEPENDENCYPART_ARC
(11,1),-2.64374 # DEPENDENCYPART_ARC
(11,2),-3.28658 # DEPENDENCYPART_ARC
(11,3),-3.42103 # DEPENDENCYPART_ARC
(11,4),-5.66424 # DEPENDENCYPART_ARC
(11,5),-1.0254 # DEPENDENCYPART_ARC
(11,6),-1.83925 # DEPENDENCYPART_ARC
(11,7),-1.21798 # DEPENDENCYPART_ARC
(11,8),-0.951913 # DEPENDENCYPART_ARC
(11,9),-3.18464 # DEPENDENCYPART_ARC
(11,10),-0.640605 # DEPENDENCYPART_ARC
(11,12),0.216581 # DEPENDENCYPART_ARC
(11,13),-0.695206 # DEPENDENCYPART_ARC
(11,14),-1.85431 # DEPENDENCYPART_ARC
(11,15),0.0073754 # DEPENDENCYPART_ARC
(11,16),-3.21632 # DEPENDENCYPART_ARC
(11,17),-0.264406 # DEPENDENCYPART_ARC
(11,18),-4.11243 # DEPENDENCYPART_ARC
(11,19),-1.33242 # DEPENDENCYPART_ARC
(11,20),-3.60359 # DEPENDENCYPART_ARC
(11,21),-2.9638 # DEPENDENCYPART_ARC
(11,22),-2.06862 # DEPENDENCYPART_ARC
(11,23),-2.87966 # DEPENDENCYPART_ARC
(11,24),-3.06707 # DEPENDENCYPART_ARC
(11,25),-2.73697 # DEPENDENCYPART_ARC
(11,26),-3.16955 # DEPENDENCYPART_ARC
(12,1),-2.47067 # DEPENDENCYPART_ARC
(12,2),-2.20364 # DEPENDENCYPART_ARC
(12,3),-3.95879 # DEPENDENCYPART_ARC
(12,4),-4.87126 # DEPENDENCYPART_ARC
(12,5),-1.70456 # DEPENDENCYPART_ARC
(12,6),-2.00014 # DEPENDENCYPART_ARC
(12,7),-0.77075 # DEPENDENCYPART_ARC
(12,8),-1.84646 # DEPENDENCYPART_ARC
(12,9),-3.55215 # DEPENDENCYPART_ARC
(12,10),-1.03015 # DEPENDENCYPART_ARC
(12,11),3.93206 # DEPENDENCYPART_ARC
(12,13),-0.137953 # DEPENDENCYPART_ARC
(12,14),-0.395055 # DEPENDENCYPART_ARC
(12,15),-0.00125893 # DEPENDENCYPART_ARC
(12,16),-2.30792 # DEPENDENCYPART_ARC
(12,17),-0.417079 # DEPENDENCYPART_ARC
(12,18),-3.67389 # DEPENDENCYPART_ARC
(12,19),-0.59318 # DEPENDENCYPART_ARC
(12,20),-3.05613 # DEPENDENCYPART_ARC
(12,21),0.0544936 # DEPENDENCYPART_ARC
(12,22),-1.08346 # DEPENDENCYPART_ARC
(12,23),-4.13919 # DEPENDENCYPART_ARC
(12,24),-5.36268 # DEPENDENCYPART_ARC
(12,25),0.529563 # DEPENDENCYPART_ARC
(12,26),-5.15761 # DEPENDENCYPART_ARC
(13,1),-0.948348 # DEPENDENCYPART_ARC
(13,2),-0.134216 # DEPENDENCYPART_ARC
(13,3),-0.249568 # DEPENDENCYPART_ARC
(13,4),-0.676041 # DEPENDENCYPART_ARC
(13,5),-0.762336 # DEPENDENCYPART_ARC
(13,6),0.0730155 # DEPENDENCYPART_ARC
(13,7),0.328959 # DEPENDENCYPART_ARC
(13,8),0.228203 # DEPENDENCYPART_ARC
(13,9),0.30516 # DEPENDENCYPART_ARC
(13,10),0.822082 # DEPENDENCYPART_ARC
(13,11),0.737843 # DEPENDENCYPART_ARC
(13,12),1.871 # DEPENDENCYPART_ARC
(13,14),2.24308 # DEPENDENCYPART_ARC
(13,15),0.709008 # DEPENDENCYPART_ARC
(13,16),0.597181 # DEPENDENCYPART_ARC
(13,17),0.485802 # DEPENDENCYPART_ARC
(13,18),-0.362539 # DEPENDENCYPART_ARC
(13,19),-0.394096 # DEPENDENCYPART_ARC
(13,20),-0.686433 # DEPENDENCYPART_ARC
(13,21),0.00291739 # DEPENDENCYPART_ARC
(13,22),-0.768651 # DEPENDENCYPART_ARC
(13,23),-0.890992 # DEPENDENCYPART_ARC
(13,24),-2.19599 # DEPENDENCYPART_ARC
(13,25),-0.713813 # DEPENDENCYPART_ARC
(13,26),-0.30179 # DEPENDENCYPART_ARC
(14,1),-4.33634 # DEPENDENCYPART_ARC
(14,2),-4.17453 # DEPENDENCYPART_ARC
(14,3),-5.81196 # DEPENDENCYPART_ARC
(14,4),-6.27619 # DEPENDENCYPART_ARC
(14,5),-2.86 # DEPENDENCYPART_ARC
(14,6),-4.08272 # DEPENDENCYPART_ARC
(14,7),-2.70727 # DEPENDENCYPART_ARC
(14,8),-3.74245 # DEPENDENCYPART_ARC
(14,9),-5.2888 # DEPENDENCYPART_ARC
(14,10),-3.58964 # DEPENDENCYPART_ARC
(14,11),-1.66855 # DEPENDENCYPART_ARC
(14,12),-2.22342 # DEPENDENCYPART_ARC
(14,13),-1.07035 # DEPENDENCYPART_ARC
(14,15),0.325499 # DEPENDENCYPART_ARC
(14,16),-0.170459 # DEPENDENCYPART_ARC
(14,17),-0.739361 # DEPENDENCYPART_ARC
(14,18),-2.50636 # DEPENDENCYPART_ARC
(14,19),0.0714313 # DEPENDENCYPART_ARC
(14,20),-2.0134 # DEPENDENCYPART_ARC
(14,21),-1.59141 # DEPENDENCYPART_ARC
(14,22),-1.12573 # DEPENDENCYPART_ARC
(14,23),-2.90663 # DEPENDENCYPART_ARC
(14,24),-4.92398 # DEPENDENCYPART_ARC
(14,25),-1.42601 # DEPENDENCYPART_ARC
(14,26),-3.98412 # DEPENDENCYPART_ARC
(15,1),-0.73251 # DEPENDENCYPART_ARC
(15,2),-0.563235 # DEPENDENCYPART_ARC
(15,3),-0.400117 # DEPENDENCYPART_ARC
(15,4),-0.317216 # DEPENDENCYPART_ARC
(15,5),-0.448648 # DEPENDENCYPART_ARC
(15,6),0.414947 # DEPENDENCYPART_ARC
(15,7),1.10808 # DEPENDENCYPART_ARC
(15,8),0.478113 # DEPENDENCYPART_ARC
(15,9),1.08306 # DEPENDENCYPART_ARC
(15,10),0.804191 # DEPENDENCYPART_ARC
(15,11),2.25542 # DEPENDENCYPART_ARC
(15,12),2.95393 # DEPENDENCYPART_ARC
(15,13),2.8355 # DEPENDENCYPART_ARC
(15,14),4.28695 # DEPENDENCYPART_ARC
(15,16),4.56806 # DEPENDENCYPART_ARC
(15,17),1.02773 # DEPENDENCYPART_ARC
(15,18),1.58267 # DEPENDENCYPART_ARC
(15,19),0.136363 # DEPENDENCYPART_ARC
(15,20),-0.494621 # DEPENDENCYPART_ARC
(15,21),0.155961 # DEPENDENCYPART_ARC
(15,22),-0.433566 # DEPENDENCYPART_ARC
(15,23),-0.822207 # DEPENDENCYPART_ARC
(15,24),-0.530591 # DEPENDENCYPART_ARC
(15,25),-0.581033 # DEPENDENCYPART_ARC
(15,26),-0.84652 # DEPENDENCYPART_ARC
(16,1),-5.4062 # DEPENDENCYPART_ARC
(16,2),-4.75246 # DEPENDENCYPART_ARC
(16,3),-6.549 # DEPENDENCYPART_ARC
(16,4),-8.40586 # DEPENDENCYPART_ARC
(16,5),-4.37096 # DEPENDENCYPART_ARC
(16,6),-5.84256 # DEPENDENCYPART_ARC
(16,7),-3.10137 # DEPENDENCYPART_ARC
(16,8),-5.4551 # DEPENDENCYPART_ARC
(16,9),-7.28941 # DEPENDENCYPART_ARC
(16,10),-4.43221 # DEPENDENCYPART_ARC
(16,11),-1.92377 # DEPENDENCYPART_ARC
(16,12),-4.16886 # DEPENDENCYPART_ARC
(16,13),-2.25994 # DEPENDENCYPART_ARC
(16,14),-3.25698 # DEPENDENCYPART_ARC
(16,15),-1.64989 # DEPENDENCYPART_ARC
(16,17),-0.61844 # DEPENDENCYPART_ARC
(16,18),-2.0358 # DEPENDENCYPART_ARC
(16,19),-0.904203 # DEPENDENCYPART_ARC
(16,20),-2.60638 # DEPENDENCYPART_ARC
(16,21),-1.85112 # DEPENDENCYPART_ARC
(16,22),-2.11367 # DEPENDENCYPART_ARC
(16,23),-4.19612 # DEPENDENCYPART_ARC
(16,24),-5.40515 # DEPENDENCYPART_ARC
(16,25),-1.86717 # DEPENDENCYPART_ARC
(16,26),-3.88382 # DEPENDENCYPART_ARC
(17,1),-1.04984 # DEPENDENCYPART_ARC
(17,2),-1.31776 # DEPENDENCYPART_ARC
(17,3),-0.249161 # DEPENDENCYPART_ARC
(17,4),-1.08765 # DEPENDENCYPART_ARC
(17,5),-1.02831 # DEPENDENCYPART_ARC
(17,6),-0.51066 # DEPENDENCYPART_ARC
(17,7),0.508482 # DEPENDENCYPART_ARC
(17,8),0.159993 # DEPENDENCYPART_ARC
(17,9),0.404362 # DEPENDENCYPART_ARC
(17,10),0.640259 # DEPENDENCYPART_ARC
(17,11),1.08174 # DEPENDENCYPART_ARC
(17,12),2.22223 # DEPENDENCYPART_ARC
(17,13),1.85301 # DEPENDENCYPART_ARC
(17,14),2.3915 # DEPENDENCYPART_ARC
(17,15),0.700094 # DEPENDENCYPART_ARC
(17,16),3.86889 # DEPENDENCYPART_ARC
(17,18),3.60597 # DEPENDENCYPART_ARC
(17,19),0.702873 # DEPENDENCYPART_ARC
(17,20),-0.17932 # DEPENDENCYPART_ARC
(17,21),1.25632 # DEPENDENCYPART_ARC
(17,22),-0.139546 # DEPENDENCYPART_ARC
(17,23),-0.690057 # DEPENDENCYPART_ARC
(17,24),-0.390314 # DEPENDENCYPART_ARC
(17,25),0.559614 # DEPENDENCYPART_ARC
(17,26),-0.111552 # DEPENDENCYPART_ARC
(18,1),-5.15127 # DEPENDENCYPART_ARC
(18,2),-4.7365 # DEPENDENCYPART_ARC
(18,3),-7.58258 # DEPENDENCYPART_ARC
(18,4),-5.08975 # DEPENDENCYPART_ARC
(18,5),-2.82104 # DEPENDENCYPART_ARC
(18,6),-8.8232 # DEPENDENCYPART_ARC
(18,7),-2.50629 # DEPENDENCYPART_ARC
(18,8),-4.92238 # DEPENDENCYPART_ARC
(18,9),-4.52458 # DEPENDENCYPART_ARC
(18,10),-5.80074 # DEPENDENCYPART_ARC
(18,11),-6.23562 # DEPENDENCYPART_ARC
(18,12),-6.97655 # DEPENDENCYPART_ARC
(18,13),-1.94116 # DEPENDENCYPART_ARC
(18,14),-6.02732 # DEPENDENCYPART_ARC
(18,15),-2.01143 # DEPENDENCYPART_ARC
(18,16),-4.50699 # DEPENDENCYPART_ARC
(18,17),-0.659483 # DEPENDENCYPART_ARC
(18,19),1.24729 # DEPENDENCYPART_ARC
(18,20),-1.79362 # DEPENDENCYPART_ARC
(18,21),-0.687389 # DEPENDENCYPART_ARC
(18,22),-1.11972 # DEPENDENCYPART_ARC
(18,23),-2.12569 # DEPENDENCYPART_ARC
(18,24),-4.60841 # DEPENDENCYPART_ARC
(18,25),-1.11058 # DEPENDENCYPART_ARC
(18,26),-2.05505 # DEPENDENCYPART_ARC
(19,1),-3.11079 # DEPENDENCYPART_ARC
(19,2),-3.94196 # DEPENDENCYPART_ARC
(19,3),-4.10252 # DEPENDENCYPART_ARC
(19,4),-4.27614 # DEPENDENCYPART_ARC
(19,5),-3.23781 # DEPENDENCYPART_ARC
(19,6),-2.79319 # DEPENDENCYPART_ARC
(19,7),-1.98349 # DEPENDENCYPART_ARC
(19,8),-1.9306 # DEPENDENCYPART_ARC
(19,9),-4.29099 # DEPENDENCYPART_ARC
(19,10),-3.22366 # DEPENDENCYPART_ARC
(19,11),-3.28971 # DEPENDENCYPART_ARC
(19,12),-3.90269 # DEPENDENCYPART_ARC
(19,13),-0.941032 # DEPENDENCYPART_ARC
(19,14),-2.26894 # DEPENDENCYPART_ARC
(19,15),-1.53185 # DEPENDENCYPART_ARC
(19,16),-2.63666 # DEPENDENCYPART_ARC
(19,17),-0.712429 # DEPENDENCYPART_ARC
(19,18),-1.02259 # DEPENDENCYPART_ARC
(19,20),4.72594 # DEPENDENCYPART_ARC
(19,21),-1.23801 # DEPENDENCYPART_ARC
(19,22),-0.486006 # DEPENDENCYPART_ARC
(19,23),-1.72909 # DEPENDENCYPART_ARC
(19,24),0.367057 # DEPENDENCYPART_ARC
(19,25),-2.04447 # DEPENDENCYPART_ARC
(19,26),-1.69425 # DEPENDENCYPART_ARC
(20,1),-2.09175 # DEPENDENCYPART_ARC
(20,2),-3.611 # DEPENDENCYPART_ARC
(20,3),-4.16177 # DEPENDENCYPART_ARC
(20,4),-3.45152 # DEPENDENCYPART_ARC
(20,5),-2.01771 # DEPENDENCYPART_ARC
