# _root_ Předpisem , který upravuje organizování a hlavně financování soutěží a přehlídek žáků , je vyhláška č . 431 / 1992 Sb .
#goldHeads=14,4,4,1,6,4,8,6,10,6,10,11,4,0,14,15,16,16,20,18,16,21,
#predictedHeads=14,4,4,6,4,1,8,6,10,8,10,11,4,0,14,15,16,16,20,18,20,0,
(2,1),-0.138825 # DEPENDENCYPART_ARC
(2,3),-0.754563 # DEPENDENCYPART_ARC
(2,4),0.0436641 # DEPENDENCYPART_ARC
(2,5),-1.5844 # DEPENDENCYPART_ARC
(2,6),-1.20456 # DEPENDENCYPART_ARC
(2,7),-1.55 # DEPENDENCYPART_ARC
(2,8),-2.59527 # DEPENDENCYPART_ARC
(2,9),-2.38093 # DEPENDENCYPART_ARC
(2,10),-1.66385 # DEPENDENCYPART_ARC
(2,11),-3.4552 # DEPENDENCYPART_ARC
(2,12),-2.9588 # DEPENDENCYPART_ARC
(2,13),-1.60688 # DEPENDENCYPART_ARC
(2,14),-2.0466 # DEPENDENCYPART_ARC
(2,15),-4.68062 # DEPENDENCYPART_ARC
(2,16),-3.96191 # DEPENDENCYPART_ARC
(2,17),-2.81908 # DEPENDENCYPART_ARC
(2,18),-3.76744 # DEPENDENCYPART_ARC
(2,19),-1.90851 # DEPENDENCYPART_ARC
(2,20),-4.16964 # DEPENDENCYPART_ARC
(2,21),-4.79212 # DEPENDENCYPART_ARC
(2,22),-3.59337 # DEPENDENCYPART_ARC
(3,1),-2.1216 # DEPENDENCYPART_ARC
(3,2),-0.196021 # DEPENDENCYPART_ARC
(3,4),-0.377053 # DEPENDENCYPART_ARC
(3,5),-0.925692 # DEPENDENCYPART_ARC
(3,6),-0.323363 # DEPENDENCYPART_ARC
(3,7),-0.977996 # DEPENDENCYPART_ARC
(3,8),-1.40159 # DEPENDENCYPART_ARC
(3,9),-1.51743 # DEPENDENCYPART_ARC
(3,10),-0.743142 # DEPENDENCYPART_ARC
(3,11),-0.89073 # DEPENDENCYPART_ARC
(3,12),-0.851496 # DEPENDENCYPART_ARC
(3,13),-1.18265 # DEPENDENCYPART_ARC
(3,14),-5.80503 # DEPENDENCYPART_ARC
(3,15),-0.80004 # DEPENDENCYPART_ARC
(3,16),-1.84837 # DEPENDENCYPART_ARC
(3,17),-1.69564 # DEPENDENCYPART_ARC
(3,18),-1.89961 # DEPENDENCYPART_ARC
(3,19),-1.99361 # DEPENDENCYPART_ARC
(3,20),-2.07962 # DEPENDENCYPART_ARC
(3,21),-2.71393 # DEPENDENCYPART_ARC
(3,22),-2.37236 # DEPENDENCYPART_ARC
(4,1),0.216668 # DEPENDENCYPART_ARC
(4,2),1.84947 # DEPENDENCYPART_ARC
(4,3),3.51669 # DEPENDENCYPART_ARC
(4,5),3.72066 # DEPENDENCYPART_ARC
(4,6),1.3567 # DEPENDENCYPART_ARC
(4,7),0.196635 # DEPENDENCYPART_ARC
(4,8),1.08848 # DEPENDENCYPART_ARC
(4,9),-0.587637 # DEPENDENCYPART_ARC
(4,10),1.28919 # DEPENDENCYPART_ARC
(4,11),-2.43069 # DEPENDENCYPART_ARC
(4,12),-2.09368 # DEPENDENCYPART_ARC
(4,13),1.37552 # DEPENDENCYPART_ARC
(4,14),-3.10943 # DEPENDENCYPART_ARC
(4,15),-0.153837 # DEPENDENCYPART_ARC
(4,16),-1.67028 # DEPENDENCYPART_ARC
(4,17),-0.430328 # DEPENDENCYPART_ARC
(4,18),-1.09617 # DEPENDENCYPART_ARC
(4,19),-0.775715 # DEPENDENCYPART_ARC
(4,20),-2.15432 # DEPENDENCYPART_ARC
(4,21),-2.78419 # DEPENDENCYPART_ARC
(4,22),-0.8112 # DEPENDENCYPART_ARC
(5,1),-3.8784 # DEPENDENCYPART_ARC
(5,2),-0.948982 # DEPENDENCYPART_ARC
(5,3),-1.22167 # DEPENDENCYPART_ARC
(5,4),-0.984676 # DEPENDENCYPART_ARC
(5,6),-0.205809 # DEPENDENCYPART_ARC
(5,7),-1.59101 # DEPENDENCYPART_ARC
(5,8),-1.86787 # DEPENDENCYPART_ARC
(5,9),0.274382 # DEPENDENCYPART_ARC
(5,10),-1.56581 # DEPENDENCYPART_ARC
(5,11),-1.42523 # DEPENDENCYPART_ARC
(5,12),-1.84968 # DEPENDENCYPART_ARC
(5,13),-1.80089 # DEPENDENCYPART_ARC
(5,14),-3.55098 # DEPENDENCYPART_ARC
(5,15),-5.02261 # DEPENDENCYPART_ARC
(5,16),-2.36848 # DEPENDENCYPART_ARC
(5,17),-5.48199 # DEPENDENCYPART_ARC
(5,18),-2.55241 # DEPENDENCYPART_ARC
(5,19),-1.66492 # DEPENDENCYPART_ARC
(5,20),-2.23375 # DEPENDENCYPART_ARC
(5,21),-3.81607 # DEPENDENCYPART_ARC
(5,22),-8.66206 # DEPENDENCYPART_ARC
(6,1),1.46257 # DEPENDENCYPART_ARC
(6,2),1.83446 # DEPENDENCYPART_ARC
(6,3),2.5343 # DEPENDENCYPART_ARC
(6,4),2.59951 # DEPENDENCYPART_ARC
(6,5),1.83223 # DEPENDENCYPART_ARC
(6,7),1.01313 # DEPENDENCYPART_ARC
(6,8),2.41124 # DEPENDENCYPART_ARC
(6,9),2.03676 # DEPENDENCYPART_ARC
(6,10),0.767585 # DEPENDENCYPART_ARC
(6,11),1.23339 # DEPENDENCYPART_ARC
(6,12),0.576317 # DEPENDENCYPART_ARC
(6,13),0.562967 # DEPENDENCYPART_ARC
(6,14),0.0937861 # DEPENDENCYPART_ARC
(6,15),-1.26011 # DEPENDENCYPART_ARC
(6,16),-1.02648 # DEPENDENCYPART_ARC
(6,17),-1.6982 # DEPENDENCYPART_ARC
(6,18),-0.839079 # DEPENDENCYPART_ARC
(6,19),-0.717121 # DEPENDENCYPART_ARC
(6,20),-0.92648 # DEPENDENCYPART_ARC
(6,21),-2.10606 # DEPENDENCYPART_ARC
(6,22),-2.59219 # DEPENDENCYPART_ARC
(7,1),-2.68758 # DEPENDENCYPART_ARC
(7,2),-1.92727 # DEPENDENCYPART_ARC
(7,3),-2.20556 # DEPENDENCYPART_ARC
(7,4),-2.28902 # DEPENDENCYPART_ARC
(7,5),-1.24646 # DEPENDENCYPART_ARC
(7,6),-0.60033 # DEPENDENCYPART_ARC
(7,8),0.0585303 # DEPENDENCYPART_ARC
(7,9),-1.90332e-05 # DEPENDENCYPART_ARC
(7,10),-0.382731 # DEPENDENCYPART_ARC
(7,11),-1.19771 # DEPENDENCYPART_ARC
(7,12),-1.38632 # DEPENDENCYPART_ARC
(7,13),-0.76517 # DEPENDENCYPART_ARC
(7,14),-2.13435 # DEPENDENCYPART_ARC
(7,15),-4.24797 # DEPENDENCYPART_ARC
(7,16),-3.4577 # DEPENDENCYPART_ARC
(7,17),-2.28251 # DEPENDENCYPART_ARC
(7,18),-1.9971 # DEPENDENCYPART_ARC
(7,19),-2.11077 # DEPENDENCYPART_ARC
(7,20),-2.09116 # DEPENDENCYPART_ARC
(7,21),-4.44106 # DEPENDENCYPART_ARC
(7,22),-3.75129 # DEPENDENCYPART_ARC
(8,1),-5.67954 # DEPENDENCYPART_ARC
(8,2),-0.872153 # DEPENDENCYPART_ARC
(8,3),-2.89959 # DEPENDENCYPART_ARC
(8,4),-2.30432 # DEPENDENCYPART_ARC
(8,5),-1.3487 # DEPENDENCYPART_ARC
(8,6),0.181739 # DEPENDENCYPART_ARC
(8,7),1.43434 # DEPENDENCYPART_ARC
(8,9),3.81429 # DEPENDENCYPART_ARC
(8,10),1.57516 # DEPENDENCYPART_ARC
(8,11),0.519724 # DEPENDENCYPART_ARC
(8,12),0.583153 # DEPENDENCYPART_ARC
(8,13),-0.673495 # DEPENDENCYPART_ARC
(8,14),-1.8067 # DEPENDENCYPART_ARC
(8,15),-3.48298 # DEPENDENCYPART_ARC
(8,16),-0.825764 # DEPENDENCYPART_ARC
(8,17),-3.30587 # DEPENDENCYPART_ARC
(8,18),-1.20062 # DEPENDENCYPART_ARC
(8,19),-0.658858 # DEPENDENCYPART_ARC
(8,20),-1.09598 # DEPENDENCYPART_ARC
(8,21),-2.14875 # DEPENDENCYPART_ARC
(8,22),-6.5862 # DEPENDENCYPART_ARC
(9,1),-6.07778 # DEPENDENCYPART_ARC
(9,2),-1.81152 # DEPENDENCYPART_ARC
(9,3),-5.17699 # DEPENDENCYPART_ARC
(9,4),-2.80257 # DEPENDENCYPART_ARC
(9,5),-4.64998 # DEPENDENCYPART_ARC
(9,6),-0.478293 # DEPENDENCYPART_ARC
(9,7),-0.028806 # DEPENDENCYPART_ARC
(9,8),-1.49357 # DEPENDENCYPART_ARC
(9,10),-0.145365 # DEPENDENCYPART_ARC
(9,11),0.491559 # DEPENDENCYPART_ARC
(9,12),-0.431554 # DEPENDENCYPART_ARC
(9,13),-1.44065 # DEPENDENCYPART_ARC
(9,14),-3.32611 # DEPENDENCYPART_ARC
(9,15),-4.50885 # DEPENDENCYPART_ARC
(9,16),-1.82283 # DEPENDENCYPART_ARC
(9,17),-3.45234 # DEPENDENCYPART_ARC
(9,18),-1.78008 # DEPENDENCYPART_ARC
(9,19),-1.22479 # DEPENDENCYPART_ARC
(9,20),-1.81124 # DEPENDENCYPART_ARC
(9,21),-2.87989 # DEPENDENCYPART_ARC
(9,22),-6.88773 # DEPENDENCYPART_ARC
(10,1),0.989252 # DEPENDENCYPART_ARC
(10,2),0.534759 # DEPENDENCYPART_ARC
(10,3),1.31352 # DEPENDENCYPART_ARC
(10,4),0.779404 # DEPENDENCYPART_ARC
(10,5),2.88052 # DEPENDENCYPART_ARC
(10,6),0.245585 # DEPENDENCYPART_ARC
(10,7),1.22806 # DEPENDENCYPART_ARC
(10,8),2.13777 # DEPENDENCYPART_ARC
(10,9),4.38494 # DEPENDENCYPART_ARC
(10,11),3.45707 # DEPENDENCYPART_ARC
(10,12),2.14259 # DEPENDENCYPART_ARC
(10,13),0.233452 # DEPENDENCYPART_ARC
(10,14),0.449265 # DEPENDENCYPART_ARC
(10,15),-0.630492 # DEPENDENCYPART_ARC
(10,16),-0.415563 # DEPENDENCYPART_ARC
(10,17),-1.22261 # DEPENDENCYPART_ARC
(10,18),-0.851618 # DEPENDENCYPART_ARC
(10,19),-0.648133 # DEPENDENCYPART_ARC
(10,20),-0.938879 # DEPENDENCYPART_ARC
(10,21),-1.58649 # DEPENDENCYPART_ARC
(10,22),-2.18763 # DEPENDENCYPART_ARC
(11,1),-8.34661 # DEPENDENCYPART_ARC
(11,2),-2.39789 # DEPENDENCYPART_ARC
(11,3),-6.74342 # DEPENDENCYPART_ARC
(11,4),-4.092 # DEPENDENCYPART_ARC
(11,5),-7.38659 # DEPENDENCYPART_ARC
(11,6),-1.79888 # DEPENDENCYPART_ARC
(11,7),-1.48119 # DEPENDENCYPART_ARC
(11,8),-5.56725 # DEPENDENCYPART_ARC
(11,9),-3.41788 # DEPENDENCYPART_ARC
(11,10),-0.93204 # DEPENDENCYPART_ARC
(11,12),2.84861 # DEPENDENCYPART_ARC
(11,13),-0.524624 # DEPENDENCYPART_ARC
(11,14),-1.68347 # DEPENDENCYPART_ARC
(11,15),-2.68711 # DEPENDENCYPART_ARC
(11,16),0.20603 # DEPENDENCYPART_ARC
(11,17),-1.59784 # DEPENDENCYPART_ARC
(11,18),-0.895209 # DEPENDENCYPART_ARC
(11,19),-0.350858 # DEPENDENCYPART_ARC
(11,20),-0.532881 # DEPENDENCYPART_ARC
(11,21),-1.57785 # DEPENDENCYPART_ARC
(11,22),-4.82694 # DEPENDENCYPART_ARC
(12,1),-7.92617 # DEPENDENCYPART_ARC
(12,2),-1.05384 # DEPENDENCYPART_ARC
(12,3),-4.28177 # DEPENDENCYPART_ARC
(12,4),-2.6173 # DEPENDENCYPART_ARC
(12,5),-5.80229 # DEPENDENCYPART_ARC
(12,6),-0.0679813 # DEPENDENCYPART_ARC
(12,7),-0.353133 # DEPENDENCYPART_ARC
(12,8),-3.52927 # DEPENDENCYPART_ARC
(12,9),-4.77994 # DEPENDENCYPART_ARC
(12,10),0.802266 # DEPENDENCYPART_ARC
(12,11),-1.25011 # DEPENDENCYPART_ARC
(12,13),-0.49555 # DEPENDENCYPART_ARC
(12,14),-1.83431 # DEPENDENCYPART_ARC
(12,15),-3.12667 # DEPENDENCYPART_ARC
(12,16),0.187828 # DEPENDENCYPART_ARC
(12,17),-1.24076 # DEPENDENCYPART_ARC
(12,18),-0.700924 # DEPENDENCYPART_ARC
(12,19),-0.217036 # DEPENDENCYPART_ARC
(12,20),-0.707372 # DEPENDENCYPART_ARC
(12,21),-1.6437 # DEPENDENCYPART_ARC
(12,22),-4.84895 # DEPENDENCYPART_ARC
(13,1),-0.466268 # DEPENDENCYPART_ARC
(13,2),-0.27846 # DEPENDENCYPART_ARC
(13,3),-0.550702 # DEPENDENCYPART_ARC
(13,4),0.210453 # DEPENDENCYPART_ARC
(13,5),0.278298 # DEPENDENCYPART_ARC
(13,6),-0.140106 # DEPENDENCYPART_ARC
(13,7),-0.337102 # DEPENDENCYPART_ARC
(13,8),0.314205 # DEPENDENCYPART_ARC
(13,9),0.263353 # DEPENDENCYPART_ARC
(13,10),-0.245482 # DEPENDENCYPART_ARC
(13,11),0.0362885 # DEPENDENCYPART_ARC
(13,12),-0.237688 # DEPENDENCYPART_ARC
(13,14),0.142014 # DEPENDENCYPART_ARC
(13,15),-0.849591 # DEPENDENCYPART_ARC
(13,16),-0.559738 # DEPENDENCYPART_ARC
(13,17),-0.74512 # DEPENDENCYPART_ARC
(13,18),-1.59327 # DEPENDENCYPART_ARC
(13,19),-0.444256 # DEPENDENCYPART_ARC
(13,20),-1.59541 # DEPENDENCYPART_ARC
(13,21),-1.7073 # DEPENDENCYPART_ARC
(13,22),-1.39193 # DEPENDENCYPART_ARC
(14,1),0.955884 # DEPENDENCYPART_ARC
(14,2),-0.30626 # DEPENDENCYPART_ARC
(14,3),0.409321 # DEPENDENCYPART_ARC
(14,4),-0.942463 # DEPENDENCYPART_ARC
(14,5),-0.730973 # DEPENDENCYPART_ARC
(14,6),0.243787 # DEPENDENCYPART_ARC
(14,7),0.0615277 # DEPENDENCYPART_ARC
(14,8),0.420511 # DEPENDENCYPART_ARC
(14,9),-2.22504 # DEPENDENCYPART_ARC
(14,10),-0.268359 # DEPENDENCYPART_ARC
(14,11),-0.608987 # DEPENDENCYPART_ARC
(14,12),-2.22138 # DEPENDENCYPART_ARC
(14,13),0.194731 # DEPENDENCYPART_ARC
(14,15),3.45318 # DEPENDENCYPART_ARC
(14,16),2.02659 # DEPENDENCYPART_ARC
(14,17),-0.0695311 # DEPENDENCYPART_ARC
(14,18),0.62677 # DEPENDENCYPART_ARC
(14,19),0.0892711 # DEPENDENCYPART_ARC
(14,20),-0.434945 # DEPENDENCYPART_ARC
(14,21),-0.766682 # DEPENDENCYPART_ARC
(14,22),-0.520309 # DEPENDENCYPART_ARC
(15,1),-8.5416 # DEPENDENCYPART_ARC
(15,2),-2.30785 # DEPENDENCYPART_ARC
(15,3),-3.87359 # DEPENDENCYPART_ARC
(15,4),-3.35331 # DEPENDENCYPART_ARC
(15,5),-7.30851 # DEPENDENCYPART_ARC
(15,6),-1.5663 # DEPENDENCYPART_ARC
(15,7),-2.30181 # DEPENDENCYPART_ARC
(15,8),-6.08396 # DEPENDENCYPART_ARC
(15,9),-6.73338 # DEPENDENCYPART_ARC
(15,10),-1.70692 # DEPENDENCYPART_ARC
(15,11),-4.58593 # DEPENDENCYPART_ARC
(15,12),-5.21778 # DEPENDENCYPART_ARC
(15,13),-1.24357 # DEPENDENCYPART_ARC
(15,14),-1.1378 # DEPENDENCYPART_ARC
(15,16),4.2167 # DEPENDENCYPART_ARC
(15,17),1.31138 # DEPENDENCYPART_ARC
(15,18),1.15237 # DEPENDENCYPART_ARC
(15,19),1.00232 # DEPENDENCYPART_ARC
(15,20),1.24589 # DEPENDENCYPART_ARC
(15,21),0.721806 # DEPENDENCYPART_ARC
(15,22),-1.73184 # DEPENDENCYPART_ARC
(16,1),-8.07315 # DEPENDENCYPART_ARC
(16,2),-2.11086 # DEPENDENCYPART_ARC
(16,3),-4.57071 # DEPENDENCYPART_ARC
(16,4),-3.06485 # DEPENDENCYPART_ARC
(16,5),-5.02003 # DEPENDENCYPART_ARC
(16,6),-1.00955 # DEPENDENCYPART_ARC
(16,7),-2.33633 # DEPENDENCYPART_ARC
(16,8),-3.13841 # DEPENDENCYPART_ARC
(16,9),-7.50264 # DEPENDENCYPART_ARC
(16,10),-0.98948 # DEPENDENCYPART_ARC
(16,11),-5.02862 # DEPENDENCYPART_ARC
(16,12),-4.66566 # DEPENDENCYPART_ARC
(16,13),-1.26545 # DEPENDENCYPART_ARC
(16,14),-1.34526 # DEPENDENCYPART_ARC
(16,15),-0.939313 # DEPENDENCYPART_ARC
(16,17),3.03361 # DEPENDENCYPART_ARC
(16,18),2.39593 # DEPENDENCYPART_ARC
(16,19),1.32609 # DEPENDENCYPART_ARC
(16,20),1.73127 # DEPENDENCYPART_ARC
(16,21),1.32905 # DEPENDENCYPART_ARC
(16,22),-1.29704 # DEPENDENCYPART_ARC
(17,1),-2.88628 # DEPENDENCYPART_ARC
(17,2),-3.6493 # DEPENDENCYPART_ARC
(17,3),-2.30516 # DEPENDENCYPART_ARC
(17,4),-2.38431 # DEPENDENCYPART_ARC
(17,5),-2.26617 # DEPENDENCYPART_ARC
(17,6),-2.56478 # DEPENDENCYPART_ARC
(17,7),-1.88782 # DEPENDENCYPART_ARC
(17,8),-1.9691 # DEPENDENCYPART_ARC
(17,9),-1.90766 # DEPENDENCYPART_ARC
(17,10),-2.22379 # DEPENDENCYPART_ARC
(17,11),-1.65159 # DEPENDENCYPART_ARC
(17,12),-1.37284 # DEPENDENCYPART_ARC
(17,13),-1.70014 # DEPENDENCYPART_ARC
(17,14),-1.39509 # DEPENDENCYPART_ARC
(17,15),-1.01131 # DEPENDENCYPART_ARC
(17,16),-0.564996 # DEPENDENCYPART_ARC
(17,18),-1.61884 # DEPENDENCYPART_ARC
(17,19),-1.10416 # DEPENDENCYPART_ARC
(17,20),-1.87179 # DEPENDENCYPART_ARC
(17,21),-1.71009 # DEPENDENCYPART_ARC
(17,22),-1.79787 # DEPENDENCYPART_ARC
(18,1),-0.997744 # DEPENDENCYPART_ARC
(18,2),-2.51498 # DEPENDENCYPART_ARC
(18,3),-0.508067 # DEPENDENCYPART_ARC
(18,4),-1.52508 # DEPENDENCYPART_ARC
(18,5),-0.701222 # DEPENDENCYPART_ARC
(18,6),-1.00031 # DEPENDENCYPART_ARC
(18,7),-1.01754 # DEPENDENCYPART_ARC
(18,8),-0.48584 # DEPENDENCYPART_ARC
(18,9),-0.224089 # DEPENDENCYPART_ARC
(18,10),-0.536704 # DEPENDENCYPART_ARC
(18,11),-0.214378 # DEPENDENCYPART_ARC
(18,12),-0.00747048 # DEPENDENCYPART_ARC
(18,13),-0.344192 # DEPENDENCYPART_ARC
(18,14),-0.671673 # DEPENDENCYPART_ARC
(18,15),0.191579 # DEPENDENCYPART_ARC
(18,16),0.699428 # DEPENDENCYPART_ARC
(18,17),0.762224 # DEPENDENCYPART_ARC
(18,19),1.60607 # DEPENDENCYPART_ARC
(18,20),2.23045 # DEPENDENCYPART_ARC
(18,21),1.09438 # DEPENDENCYPART_ARC
(18,22),0.136124 # DEPENDENCYPART_ARC
(19,1),-2.1747 # DEPENDENCYPART_ARC
(19,2),-1.21577 # DEPENDENCYPART_ARC
(19,3),-0.472175 # DEPENDENCYPART_ARC
(19,4),-0.803339 # DEPENDENCYPART_ARC
(19,5),-1.29723 # DEPENDENCYPART_ARC
(19,6),-0.828296 # DEPENDENCYPART_ARC
(19,7),-0.52532 # DEPENDENCYPART_ARC
(19,8),-1.1869 # DEPENDENCYPART_ARC
(19,9),-0.829691 # DEPENDENCYPART_ARC
(19,10),-0.678145 # DEPENDENCYPART_ARC
(19,11),-0.46988 # DEPENDENCYPART_ARC
(19,12),-0.0208181 # DEPENDENCYPART_ARC
(19,13),-0.277001 # DEPENDENCYPART_ARC
(19,14),-0.160516 # DEPENDENCYPART_ARC
(19,15),0.96306 # DEPENDENCYPART_ARC
(19,16),1.372 # DEPENDENCYPART_ARC
(19,17),1.02687 # DEPENDENCYPART_ARC
(19,18),1.88686 # DEPENDENCYPART_ARC
(19,20),2.02932 # DEPENDENCYPART_ARC
(19,21),1.51159 # DEPENDENCYPART_ARC
(19,22),-0.612366 # DEPENDENCYPART_ARC
(20,1),-0.891388 # DEPENDENCYPART_ARC
(20,2),-2.61161 # DEPENDENCYPART_ARC
(20,3),-0.947669 # DEPENDENCYPART_ARC
(20,4),-1.55102 # DEPENDENCYPART_ARC
(20,5),-0.642996 # DEPENDENCYPART_ARC
(20,6),-0.856609 # DEPENDENCYPART_ARC
(20,7),-0.951983 # DEPENDENCYPART_ARC
(20,8),-0.527395 # DEPENDENCYPART_ARC
(20,9),-0.26487 # DEPENDENCYPART_ARC
(20,10),-0.446514 # DEPENDENCYPART_ARC
(20,11),-0.0837192 # DEPENDENCYPART_ARC
(20,12),0.0803603 # DEPENDENCYPART_ARC
(20,13),-0.656248 # DEPENDENCYPART_ARC
(20,14),-0.944303 # DEPENDENCYPART_ARC
(20,15),0.0368187 # DEPENDENCYPART_ARC
(20,16),0.394293 # DEPENDENCYPART_ARC
(20,17),-0.194877 # DEPENDENCYPART_ARC
(20,18),0.542173 # DEPENDENCYPART_ARC
(20,19),1.78239 # DEPENDENCYPART_ARC
(20,21),1.56056 # DEPENDENCYPART_ARC
(20,22),-0.506453 # DEPENDENCYPART_ARC
(21,1),-8.43267 # DEPENDENCYPART_ARC
(21,2),-2.26665 # DEPENDENCYPART_ARC
(21,3),-5.57914 # DEPENDENCYPART_ARC
(21,4),-3.42488 # DEPENDENCYPART_ARC
(21,5),-6.25475 # DEPENDENCYPART_ARC
(21,6),-1.50789 # DEPENDENCYPART_ARC
(21,7),-3.20337 # DEPENDENCYPART_ARC
(21,8),-4.73892 # DEPENDENCYPART_ARC
(21,9),-7.5093 # DEPENDENCYPART_ARC
(21,10),-1.79007 # DEPENDENCYPART_ARC
(21,11),-5.80779 # DEPENDENCYPART_ARC
(21,12),-6.24264 # DEPENDENCYPART_ARC
(21,13),-1.86232 # DEPENDENCYPART_ARC
(21,14),-2.54643 # DEPENDENCYPART_ARC
(21,15),-2.52773 # DEPENDENCYPART_ARC
(21,16),-1.37187 # DEPENDENCYPART_ARC
(21,17),-1.42988 # DEPENDENCYPART_ARC
(21,18),-0.490718 # DEPENDENCYPART_ARC
(21,19),0.333764 # DEPENDENCYPART_ARC
(21,20),0.546314 # DEPENDENCYPART_ARC
(21,22),2.1891 # DEPENDENCYPART_ARC
(22,1),-6.0578 # DEPENDENCYPART_ARC
(22,2),-5.49551 # DEPENDENCYPART_ARC
(22,3),-4.28935 # DEPENDENCYPART_ARC
(22,4),-4.45644 # DEPENDENCYPART_ARC
(22,5),-4.73012 # DEPENDENCYPART_ARC
(22,6),-4.90413 # DEPENDENCYPART_ARC
(22,7),-3.74027 # DEPENDENCYPART_ARC
(22,8),-4.53624 # DEPENDENCYPART_ARC
(22,9),-4.44453 # DEPENDENCYPART_ARC
(22,10),-4.76 # DEPENDENCYPART_ARC
(22,11),-4.32169 # DEPENDENCYPART_ARC
(22,12),-3.96621 # DEPENDENCYPART_ARC
(22,13),-3.47925 # DEPENDENCYPART_ARC
(22,14),-3.7769 # DEPENDENCYPART_ARC
(22,15),-3.3095 # DEPENDENCYPART_ARC
(22,16),-3.29846 # DEPENDENCYPART_ARC
(22,17),-2.51146 # DEPENDENCYPART_ARC
(22,18),-3.79418 # DEPENDENCYPART_ARC
(22,19),-2.67445 # DEPENDENCYPART_ARC
(22,20),-2.86614 # DEPENDENCYPART_ARC
(22,21),-2.7339 # DEPENDENCYPART_ARC
