# _root_ Kdo má nad žáky dozor , nese odpovědnost i za eventuální zranění žáka nebo za škodu , která by žákovi vznikla .
#goldHeads=2,7,5,3,2,2,0,7,12,14,12,10,12,8,14,15,21,21,21,21,16,0,
#predictedHeads=2,0,2,3,2,2,14,7,12,14,12,10,12,2,14,15,21,21,21,21,16,0,
(2,21),-3.43911 # DEPENDENCYPART_ARC
(2,22),-1.5711 # DEPENDENCYPART_ARC
(3,1),-1.6434 # DEPENDENCYPART_ARC
(3,2),-1.8856 # DEPENDENCYPART_ARC
(3,4),4.22545 # DEPENDENCYPART_ARC
(3,5),-0.52132 # DEPENDENCYPART_ARC
(3,6),-0.00639514 # DEPENDENCYPART_ARC
(3,7),-0.808519 # DEPENDENCYPART_ARC
(3,8),-3.59784 # DEPENDENCYPART_ARC
(3,9),-1.63155 # DEPENDENCYPART_ARC
(3,10),-1.71907 # DEPENDENCYPART_ARC
(3,11),-2.40576 # DEPENDENCYPART_ARC
(3,12),-4.94813 # DEPENDENCYPART_ARC
(3,13),-6.63594 # DEPENDENCYPART_ARC
(3,14),-2.37265 # DEPENDENCYPART_ARC
(3,15),-2.12232 # DEPENDENCYPART_ARC
(3,16),-6.98625 # DEPENDENCYPART_ARC
(3,17),-1.75352 # DEPENDENCYPART_ARC
(3,18),-4.99929 # DEPENDENCYPART_ARC
(3,19),-2.03997 # DEPENDENCYPART_ARC
(3,20),-8.08464 # DEPENDENCYPART_ARC
(3,21),-2.73417 # DEPENDENCYPART_ARC
(3,22),-3.8751 # DEPENDENCYPART_ARC
(4,1),-2.57904 # DEPENDENCYPART_ARC
(4,2),-1.56244 # DEPENDENCYPART_ARC
(4,3),0.811267 # DEPENDENCYPART_ARC
(4,5),0.421114 # DEPENDENCYPART_ARC
(4,6),-0.376321 # DEPENDENCYPART_ARC
(4,7),-1.23734 # DEPENDENCYPART_ARC
(4,8),-3.34354 # DEPENDENCYPART_ARC
(4,9),-0.59363 # DEPENDENCYPART_ARC
(4,10),-1.34928 # DEPENDENCYPART_ARC
(4,11),-4.45247 # DEPENDENCYPART_ARC
(4,12),-4.39957 # DEPENDENCYPART_ARC
(4,13),-1.00087 # DEPENDENCYPART_ARC
(4,14),-0.739594 # DEPENDENCYPART_ARC
(4,15),-2.17665 # DEPENDENCYPART_ARC
(4,16),-5.54564 # DEPENDENCYPART_ARC
(4,17),-1.0025 # DEPENDENCYPART_ARC
(4,18),-4.7493 # DEPENDENCYPART_ARC
(4,19),-2.52036 # DEPENDENCYPART_ARC
(4,20),-5.98659 # DEPENDENCYPART_ARC
(4,21),-5.05172 # DEPENDENCYPART_ARC
(4,22),-7.3647 # DEPENDENCYPART_ARC
(5,1),-3.39829 # DEPENDENCYPART_ARC
(5,2),-1.16902 # DEPENDENCYPART_ARC
(5,3),1.1545 # DEPENDENCYPART_ARC
(5,4),-0.121153 # DEPENDENCYPART_ARC
(5,6),-0.276475 # DEPENDENCYPART_ARC
(5,7),-0.742916 # DEPENDENCYPART_ARC
(5,8),-1.92604 # DEPENDENCYPART_ARC
(5,9),-0.679894 # DEPENDENCYPART_ARC
(5,10),-1.11633 # DEPENDENCYPART_ARC
(5,11),-2.19419 # DEPENDENCYPART_ARC
(5,12),-2.65903 # DEPENDENCYPART_ARC
(5,13),-1.43952 # DEPENDENCYPART_ARC
(5,14),-0.913047 # DEPENDENCYPART_ARC
(5,15),-1.73952 # DEPENDENCYPART_ARC
(5,16),-4.21659 # DEPENDENCYPART_ARC
(5,17),-1.58529 # DEPENDENCYPART_ARC
(5,18),-5.31472 # DEPENDENCYPART_ARC
(5,19),-2.42733 # DEPENDENCYPART_ARC
(5,20),-6.1125 # DEPENDENCYPART_ARC
(5,21),-3.5046 # DEPENDENCYPART_ARC
(5,22),-7.1255 # DEPENDENCYPART_ARC
(6,1),-0.143762 # DEPENDENCYPART_ARC
(6,2),0.252473 # DEPENDENCYPART_ARC
(6,3),0.0329418 # DEPENDENCYPART_ARC
(6,4),0.704827 # DEPENDENCYPART_ARC
(6,5),-0.0609068 # DEPENDENCYPART_ARC
(6,7),0.319962 # DEPENDENCYPART_ARC
(6,8),-0.399667 # DEPENDENCYPART_ARC
(6,9),-0.398409 # DEPENDENCYPART_ARC
(6,10),-0.88199 # DEPENDENCYPART_ARC
(6,11),-1.34041 # DEPENDENCYPART_ARC
(6,12),-1.70549 # DEPENDENCYPART_ARC
(6,13),-1.41119 # DEPENDENCYPART_ARC
(6,14),-0.9053 # DEPENDENCYPART_ARC
(6,15),-1.45594 # DEPENDENCYPART_ARC
(6,16),-2.34051 # DEPENDENCYPART_ARC
(6,17),-0.766966 # DEPENDENCYPART_ARC
(6,18),-1.74548 # DEPENDENCYPART_ARC
(6,19),-1.87608 # DEPENDENCYPART_ARC
(6,20),-3.88374 # DEPENDENCYPART_ARC
(6,21),-2.16575 # DEPENDENCYPART_ARC
(6,22),-1.1948 # DEPENDENCYPART_ARC
(7,1),1.24839 # DEPENDENCYPART_ARC
(7,2),-0.299363 # DEPENDENCYPART_ARC
(7,3),0.890404 # DEPENDENCYPART_ARC
(7,4),0.553042 # DEPENDENCYPART_ARC
(7,5),0.613883 # DEPENDENCYPART_ARC
(7,6),0.234915 # DEPENDENCYPART_ARC
(7,8),3.19346 # DEPENDENCYPART_ARC
(7,9),0.123959 # DEPENDENCYPART_ARC
(7,10),0.83263 # DEPENDENCYPART_ARC
(7,11),-2.3322 # DEPENDENCYPART_ARC
(7,12),0.671971 # DEPENDENCYPART_ARC
(7,13),-1.51505 # DEPENDENCYPART_ARC
(7,14),0.176285 # DEPENDENCYPART_ARC
(7,15),-0.19826 # DEPENDENCYPART_ARC
(7,16),-0.838697 # DEPENDENCYPART_ARC
(7,17),-0.0743492 # DEPENDENCYPART_ARC
(7,18),-3.46875 # DEPENDENCYPART_ARC
(7,19),-0.624362 # DEPENDENCYPART_ARC
(7,20),-1.98121 # DEPENDENCYPART_ARC
(7,21),-4.43313 # DEPENDENCYPART_ARC
(7,22),-1.00778 # DEPENDENCYPART_ARC
(8,1),-5.17091 # DEPENDENCYPART_ARC
(8,2),-1.52185 # DEPENDENCYPART_ARC
(8,3),0.896205 # DEPENDENCYPART_ARC
(8,4),-2.41076 # DEPENDENCYPART_ARC
(8,5),-0.694343 # DEPENDENCYPART_ARC
(8,6),-0.178763 # DEPENDENCYPART_ARC
(8,7),0.051444 # DEPENDENCYPART_ARC
(8,9),0.628913 # DEPENDENCYPART_ARC
(8,10),1.54397 # DEPENDENCYPART_ARC
(8,11),-0.177495 # DEPENDENCYPART_ARC
(8,12),-0.442423 # DEPENDENCYPART_ARC
(8,13),1.07789 # DEPENDENCYPART_ARC
(8,14),-0.33915 # DEPENDENCYPART_ARC
(8,15),0.709796 # DEPENDENCYPART_ARC
(8,16),-2.91776 # DEPENDENCYPART_ARC
(8,17),-0.453961 # DEPENDENCYPART_ARC
(8,18),-2.56991 # DEPENDENCYPART_ARC
(8,19),-1.18846 # DEPENDENCYPART_ARC
(8,20),-3.90801 # DEPENDENCYPART_ARC
(8,21),-2.66766 # DEPENDENCYPART_ARC
(8,22),-4.65691 # DEPENDENCYPART_ARC
(9,1),0.14662 # DEPENDENCYPART_ARC
(9,2),-1.54778 # DEPENDENCYPART_ARC
(9,3),0.581487 # DEPENDENCYPART_ARC
(9,4),0.156976 # DEPENDENCYPART_ARC
(9,5),-0.053134 # DEPENDENCYPART_ARC
(9,6),-0.221975 # DEPENDENCYPART_ARC
(9,7),0.0964676 # DEPENDENCYPART_ARC
(9,8),0.678157 # DEPENDENCYPART_ARC
(9,10),1.27143 # DEPENDENCYPART_ARC
(9,11),-0.0148438 # DEPENDENCYPART_ARC
(9,12),1.29264 # DEPENDENCYPART_ARC
(9,13),1.1355 # DEPENDENCYPART_ARC
(9,14),-0.325602 # DEPENDENCYPART_ARC
(9,15),0.0934117 # DEPENDENCYPART_ARC
(9,16),-0.702611 # DEPENDENCYPART_ARC
(9,17),-0.402408 # DEPENDENCYPART_ARC
(9,18),-1.51406 # DEPENDENCYPART_ARC
(9,19),-2.61467 # DEPENDENCYPART_ARC
(9,20),-1.18868 # DEPENDENCYPART_ARC
(9,21),-2.35298 # DEPENDENCYPART_ARC
(9,22),-2.13036 # DEPENDENCYPART_ARC
(10,1),-2.19212 # DEPENDENCYPART_ARC
(10,2),-3.07266 # DEPENDENCYPART_ARC
(10,3),-1.87561 # DEPENDENCYPART_ARC
(10,4),-2.35347 # DEPENDENCYPART_ARC
(10,5),-1.70333 # DEPENDENCYPART_ARC
(10,6),-0.504909 # DEPENDENCYPART_ARC
(10,7),-2.23021 # DEPENDENCYPART_ARC
(10,8),-1.6935 # DEPENDENCYPART_ARC
(10,9),-0.0717792 # DEPENDENCYPART_ARC
(10,11),2.75381 # DEPENDENCYPART_ARC
(10,12),3.82654 # DEPENDENCYPART_ARC
(10,13),-2.16324 # DEPENDENCYPART_ARC
(10,14),0.170036 # DEPENDENCYPART_ARC
(10,15),-0.934684 # DEPENDENCYPART_ARC
(10,16),-0.93182 # DEPENDENCYPART_ARC
(10,17),-0.312971 # DEPENDENCYPART_ARC
(10,18),-3.46614 # DEPENDENCYPART_ARC
(10,19),-0.972086 # DEPENDENCYPART_ARC
(10,20),-4.73261 # DEPENDENCYPART_ARC
(10,21),-1.90757 # DEPENDENCYPART_ARC
(10,22),-2.38319 # DEPENDENCYPART_ARC
(11,1),-4.0018 # DEPENDENCYPART_ARC
(11,2),-4.09246 # DEPENDENCYPART_ARC
(11,3),-1.82818 # DEPENDENCYPART_ARC
(11,4),-1.89942 # DEPENDENCYPART_ARC
(11,5),-2.98506 # DEPENDENCYPART_ARC
(11,6),-1.45929 # DEPENDENCYPART_ARC
(11,7),-3.41654 # DEPENDENCYPART_ARC
(11,8),-2.40185 # DEPENDENCYPART_ARC
(11,9),0.07384 # DEPENDENCYPART_ARC
(11,10),-0.158472 # DEPENDENCYPART_ARC
(11,12),-0.943208 # DEPENDENCYPART_ARC
(11,13),-1.26685 # DEPENDENCYPART_ARC
(11,14),0.0322635 # DEPENDENCYPART_ARC
(11,15),-0.644585 # DEPENDENCYPART_ARC
(11,16),-3.96316 # DEPENDENCYPART_ARC
(11,17),-0.416797 # DEPENDENCYPART_ARC
(11,18),-4.85902 # DEPENDENCYPART_ARC
(11,19),-1.18792 # DEPENDENCYPART_ARC
(11,20),-3.32104 # DEPENDENCYPART_ARC
(11,21),-3.69309 # DEPENDENCYPART_ARC
(11,22),-2.42419 # DEPENDENCYPART_ARC
(12,1),-5.6746 # DEPENDENCYPART_ARC
(12,2),-2.57857 # DEPENDENCYPART_ARC
(12,3),-0.597293 # DEPENDENCYPART_ARC
(12,4),-4.74338 # DEPENDENCYPART_ARC
(12,5),-3.77821 # DEPENDENCYPART_ARC
(12,6),-1.41744 # DEPENDENCYPART_ARC
(12,7),-1.96117 # DEPENDENCYPART_ARC
(12,8),-3.04768 # DEPENDENCYPART_ARC
(12,9),1.49264 # DEPENDENCYPART_ARC
(12,10),-0.233089 # DEPENDENCYPART_ARC
(12,11),5.3208 # DEPENDENCYPART_ARC
(12,13),3.94536 # DEPENDENCYPART_ARC
(12,14),1.05446 # DEPENDENCYPART_ARC
(12,15),0.583588 # DEPENDENCYPART_ARC
(12,16),-0.831989 # DEPENDENCYPART_ARC
(12,17),-0.0398162 # DEPENDENCYPART_ARC
(12,18),-2.43689 # DEPENDENCYPART_ARC
(12,19),0.226785 # DEPENDENCYPART_ARC
(12,20),-2.86392 # DEPENDENCYPART_ARC
(12,21),-1.70684 # DEPENDENCYPART_ARC
(12,22),-2.92753 # DEPENDENCYPART_ARC
(13,1),-5.41002 # DEPENDENCYPART_ARC
(13,2),-3.00256 # DEPENDENCYPART_ARC
(13,3),-1.51677 # DEPENDENCYPART_ARC
(13,4),-3.47464 # DEPENDENCYPART_ARC
(13,5),-6.49109 # DEPENDENCYPART_ARC
(13,6),-1.85084 # DEPENDENCYPART_ARC
(13,7),-2.58069 # DEPENDENCYPART_ARC
(13,8),-5.6574 # DEPENDENCYPART_ARC
(13,9),0.472251 # DEPENDENCYPART_ARC
(13,10),-0.988392 # DEPENDENCYPART_ARC
(13,11),-0.0116236 # DEPENDENCYPART_ARC
(13,12),-1.43414 # DEPENDENCYPART_ARC
(13,14),-0.290679 # DEPENDENCYPART_ARC
(13,15),-0.932145 # DEPENDENCYPART_ARC
(13,16),-4.38198 # DEPENDENCYPART_ARC
(13,17),-1.1224 # DEPENDENCYPART_ARC
(13,18),-3.20706 # DEPENDENCYPART_ARC
(13,19),-1.13938 # DEPENDENCYPART_ARC
(13,20),-5.34096 # DEPENDENCYPART_ARC
(13,21),-3.20021 # DEPENDENCYPART_ARC
(13,22),-3.34828 # DEPENDENCYPART_ARC
(14,1),-0.0335537 # DEPENDENCYPART_ARC
(14,2),-0.59618 # DEPENDENCYPART_ARC
(14,3),0.529759 # DEPENDENCYPART_ARC
(14,4),0.702755 # DEPENDENCYPART_ARC
(14,5),0.511377 # DEPENDENCYPART_ARC
(14,6),0.493702 # DEPENDENCYPART_ARC
(14,7),1.37434 # DEPENDENCYPART_ARC
(14,8),0.763192 # DEPENDENCYPART_ARC
(14,9),0.603112 # DEPENDENCYPART_ARC
(14,10),1.84197 # DEPENDENCYPART_ARC
(14,11),0.312206 # DEPENDENCYPART_ARC
(14,12),0.960796 # DEPENDENCYPART_ARC
(14,13),0.963782 # DEPENDENCYPART_ARC
(14,15),2.40845 # DEPENDENCYPART_ARC
(14,16),1.82082 # DEPENDENCYPART_ARC
(14,17),0.423763 # DEPENDENCYPART_ARC
(14,18),-0.0201563 # DEPENDENCYPART_ARC
(14,19),-0.108726 # DEPENDENCYPART_ARC
(14,20),-0.0453188 # DEPENDENCYPART_ARC
(14,21),-0.280038 # DEPENDENCYPART_ARC
(14,22),-0.660597 # DEPENDENCYPART_ARC
(15,1),-3.5317 # DEPENDENCYPART_ARC
(15,2),-4.49998 # DEPENDENCYPART_ARC
(15,3),-3.9092 # DEPENDENCYPART_ARC
(15,4),-4.01495 # DEPENDENCYPART_ARC
(15,5),-3.63571 # DEPENDENCYPART_ARC
(15,6),-2.06341 # DEPENDENCYPART_ARC
(15,7),-4.0931 # DEPENDENCYPART_ARC
(15,8),-4.20941 # DEPENDENCYPART_ARC
(15,9),-2.68829 # DEPENDENCYPART_ARC
(15,10),-2.8177 # DEPENDENCYPART_ARC
(15,11),-3.17261 # DEPENDENCYPART_ARC
(15,12),-3.33443 # DEPENDENCYPART_ARC
(15,13),-2.44903 # DEPENDENCYPART_ARC
(15,14),-1.17467 # DEPENDENCYPART_ARC
(15,16),3.9067 # DEPENDENCYPART_ARC
(15,17),0.237586 # DEPENDENCYPART_ARC
(15,18),-2.07558 # DEPENDENCYPART_ARC
(15,19),-0.437354 # DEPENDENCYPART_ARC
(15,20),-1.91576 # DEPENDENCYPART_ARC
(15,21),-1.61883 # DEPENDENCYPART_ARC
(15,22),-1.45785 # DEPENDENCYPART_ARC
(16,1),-6.90189 # DEPENDENCYPART_ARC
(16,2),-2.35574 # DEPENDENCYPART_ARC
(16,3),-1.06316 # DEPENDENCYPART_ARC
(16,4),-6.47319 # DEPENDENCYPART_ARC
(16,5),-4.84561 # DEPENDENCYPART_ARC
(16,6),-1.91637 # DEPENDENCYPART_ARC
(16,7),-2.13826 # DEPENDENCYPART_ARC
(16,8),-3.18698 # DEPENDENCYPART_ARC
(16,9),0.0130342 # DEPENDENCYPART_ARC
(16,10),-1.09323 # DEPENDENCYPART_ARC
(16,11),-0.602456 # DEPENDENCYPART_ARC
(16,12),-1.74494 # DEPENDENCYPART_ARC
(16,13),-2.94872 # DEPENDENCYPART_ARC
(16,14),0.577528 # DEPENDENCYPART_ARC
(16,15),0.181104 # DEPENDENCYPART_ARC
(16,17),-0.100061 # DEPENDENCYPART_ARC
(16,18),-1.17461 # DEPENDENCYPART_ARC
(16,19),1.46584 # DEPENDENCYPART_ARC
(16,20),-1.83943 # DEPENDENCYPART_ARC
(16,21),0.377177 # DEPENDENCYPART_ARC
(16,22),-0.926171 # DEPENDENCYPART_ARC
(17,1),-2.26769 # DEPENDENCYPART_ARC
(17,2),-1.50283 # DEPENDENCYPART_ARC
(17,3),-1.82325 # DEPENDENCYPART_ARC
(17,4),-1.08592 # DEPENDENCYPART_ARC
(17,5),-1.75645 # DEPENDENCYPART_ARC
(17,6),-1.22874 # DEPENDENCYPART_ARC
(17,7),-0.291503 # DEPENDENCYPART_ARC
(17,8),-0.288725 # DEPENDENCYPART_ARC
(17,9),-1.6118 # DEPENDENCYPART_ARC
(17,10),-1.71501 # DEPENDENCYPART_ARC
(17,11),-1.42526 # DEPENDENCYPART_ARC
(17,12),-0.94841 # DEPENDENCYPART_ARC
(17,13),-0.934583 # DEPENDENCYPART_ARC
(17,14),-1.0554 # DEPENDENCYPART_ARC
(17,15),-1.39442 # DEPENDENCYPART_ARC
(17,16),-0.179065 # DEPENDENCYPART_ARC
(17,18),-0.660747 # DEPENDENCYPART_ARC
(17,19),0.0835112 # DEPENDENCYPART_ARC
(17,20),-2.00214 # DEPENDENCYPART_ARC
(17,21),-0.820201 # DEPENDENCYPART_ARC
(17,22),-1.17718 # DEPENDENCYPART_ARC
(18,1),-3.63943 # DEPENDENCYPART_ARC
(18,2),-2.11373 # DEPENDENCYPART_ARC
(18,3),-1.72698 # DEPENDENCYPART_ARC
(18,4),-4.52968 # DEPENDENCYPART_ARC
(18,5),-3.86702 # DEPENDENCYPART_ARC
(18,6),-1.86778 # DEPENDENCYPART_ARC
(18,7),-2.20655 # DEPENDENCYPART_ARC
(18,8),-3.42311 # DEPENDENCYPART_ARC
(18,9),-0.912616 # DEPENDENCYPART_ARC
(18,10),-1.12514 # DEPENDENCYPART_ARC
(18,11),-4.10706 # DEPENDENCYPART_ARC
(18,12),-3.68478 # DEPENDENCYPART_ARC
(18,13),-3.32835 # DEPENDENCYPART_ARC
(18,14),-1.33865 # DEPENDENCYPART_ARC
(18,15),-0.429906 # DEPENDENCYPART_ARC
(18,16),-2.32447 # DEPENDENCYPART_ARC
(18,17),-0.277265 # DEPENDENCYPART_ARC
(18,19),0.785815 # DEPENDENCYPART_ARC
(18,20),0.341441 # DEPENDENCYPART_ARC
(18,21),-0.630833 # DEPENDENCYPART_ARC
(18,22),0.100123 # DEPENDENCYPART_ARC
(19,1),-4.36748 # DEPENDENCYPART_ARC
(19,2),-4.23289 # DEPENDENCYPART_ARC
(19,3),-3.76515 # DEPENDENCYPART_ARC
(19,4),-4.8932 # DEPENDENCYPART_ARC
(19,5),-6.0577 # DEPENDENCYPART_ARC
(19,6),-4.04222 # DEPENDENCYPART_ARC
(19,7),-2.47418 # DEPENDENCYPART_ARC
(19,8),-4.82274 # DEPENDENCYPART_ARC
(19,9),-3.04904 # DEPENDENCYPART_ARC
(19,10),-2.40487 # DEPENDENCYPART_ARC
(19,11),-4.97214 # DEPENDENCYPART_ARC
(19,12),-4.12204 # DEPENDENCYPART_ARC
(19,13),-4.45703 # DEPENDENCYPART_ARC
(19,14),-2.71978 # DEPENDENCYPART_ARC
(19,15),-1.9127 # DEPENDENCYPART_ARC
(19,16),-4.16384 # DEPENDENCYPART_ARC
(19,17),-0.583536 # DEPENDENCYPART_ARC
(19,18),0.554423 # DEPENDENCYPART_ARC
(19,20),0.111925 # DEPENDENCYPART_ARC
(19,21),-0.45947 # DEPENDENCYPART_ARC
(19,22),-2.06294 # DEPENDENCYPART_ARC
(20,1),-7.02093 # DEPENDENCYPART_ARC
(20,2),-3.79001 # DEPENDENCYPART_ARC
(20,3),-2.63555 # DEPENDENCYPART_ARC
(20,4),-6.14293 # DEPENDENCYPART_ARC
(20,5),-8.8378 # DEPENDENCYPART_ARC
(20,6),-3.18879 # DEPENDENCYPART_ARC
(20,7),-3.44735 # DEPENDENCYPART_ARC
(20,8),-8.60091 # DEPENDENCYPART_ARC
(20,9),-2.23053 # DEPENDENCYPART_ARC
(20,10),-1.94738 # DEPENDENCYPART_ARC
(20,11),-4.49229 # DEPENDENCYPART_ARC
(20,12),-5.49237 # DEPENDENCYPART_ARC
(20,13),-3.01316 # DEPENDENCYPART_ARC
(20,14),-2.54607 # DEPENDENCYPART_ARC
(20,15),-0.892809 # DEPENDENCYPART_ARC
(20,16),-5.161 # DEPENDENCYPART_ARC
(20,17),-1.23516 # DEPENDENCYPART_ARC
(20,18),-1.09657 # DEPENDENCYPART_ARC
(20,19),0.672649 # DEPENDENCYPART_ARC
(20,21),-1.07111 # DEPENDENCYPART_ARC
(20,22),-0.404996 # DEPENDENCYPART_ARC
(21,1),-0.428558 # DEPENDENCYPART_ARC
(21,2),-3.04599 # DEPENDENCYPART_ARC
(21,3),0.214632 # DEPENDENCYPART_ARC
(21,4),-1.72897 # DEPENDENCYPART_ARC
(21,5),-1.26253 # DEPENDENCYPART_ARC
(21,6),-1.00707 # DEPENDENCYPART_ARC
(21,7),-1.54123 # DEPENDENCYPART_ARC
(21,8),0.530163 # DEPENDENCYPART_ARC
(21,9),0.108374 # DEPENDENCYPART_ARC
(21,10),1.12529 # DEPENDENCYPART_ARC
(21,11),-3.52909 # DEPENDENCYPART_ARC
(21,12),-0.0043537 # DEPENDENCYPART_ARC
(21,13),-3.16778 # DEPENDENCYPART_ARC
(21,14),0.528772 # DEPENDENCYPART_ARC
(21,15),0.945041 # DEPENDENCYPART_ARC
(21,16),-0.0267866 # DEPENDENCYPART_ARC
(21,17),1.57582 # DEPENDENCYPART_ARC
(21,18),3.04545 # DEPENDENCYPART_ARC
(21,19),3.71898 # DEPENDENCYPART_ARC
(21,20),3.00717 # DEPENDENCYPART_ARC
(21,22),-0.262738 # DEPENDENCYPART_ARC
(22,1),-4.7005 # DEPENDENCYPART_ARC
(22,2),-5.81128 # DEPENDENCYPART_ARC
(22,3),-5.29855 # DEPENDENCYPART_ARC
(22,4),-5.02255 # DEPENDENCYPART_ARC
(22,5),-5.12155 # DEPENDENCYPART_ARC
(22,6),-5.26997 # DEPENDENCYPART_ARC
(22,7),-4.28478 # DEPENDENCYPART_ARC
(22,8),-4.29817 # DEPENDENCYPART_ARC
(22,9),-4.0788 # DEPENDENCYPART_ARC
(22,10),-4.60127 # DEPENDENCYPART_ARC
(22,11),-4.15715 # DEPENDENCYPART_ARC
(22,12),-4.26847 # DEPENDENCYPART_ARC
(22,13),-3.98272 # DEPENDENCYPART_ARC
(22,14),-4.02532 # DEPENDENCYPART_ARC
(22,15),-3.95284 # DEPENDENCYPART_ARC
(22,16),-3.1795 # DEPENDENCYPART_ARC
(22,17),-2.93331 # DEPENDENCYPART_ARC
(22,18),-2.60155 # DEPENDENCYPART_ARC
(22,19),-3.41514 # DEPENDENCYPART_ARC
(22,20),-2.90121 # DEPENDENCYPART_ARC
(22,21),-3.71271 # DEPENDENCYPART_ARC
