# _root_ Stačí jen , aby se jedné z nich pokusil násilím zmocnit oplzlý klient , a autoritativní šéfka kurtizán jej bez mrknutí oka odstřelí .
#goldHeads=15,1,4,1,9,11,6,7,4,11,9,13,9,15,0,17,23,17,23,23,20,21,15,0,
#predictedHeads=0,1,4,1,9,9,6,7,4,9,9,13,15,15,11,17,23,17,23,23,20,21,15,0,
(2,3),0.144811 # DEPENDENCYPART_ARC
(2,4),-0.799862 # DEPENDENCYPART_ARC
(2,6),-1.56681 # DEPENDENCYPART_ARC
(2,7),-1.77409 # DEPENDENCYPART_ARC
(2,9),-1.6264 # DEPENDENCYPART_ARC
(2,10),-2.36272 # DEPENDENCYPART_ARC
(2,11),-1.84959 # DEPENDENCYPART_ARC
(2,12),-2.59539 # DEPENDENCYPART_ARC
(2,13),-2.43027 # DEPENDENCYPART_ARC
(2,14),-1.7876 # DEPENDENCYPART_ARC
(2,15),-1.50937 # DEPENDENCYPART_ARC
(2,16),-3.04002 # DEPENDENCYPART_ARC
(2,17),-2.64293 # DEPENDENCYPART_ARC
(2,18),-2.67466 # DEPENDENCYPART_ARC
(2,20),-2.76863 # DEPENDENCYPART_ARC
(2,21),-2.83186 # DEPENDENCYPART_ARC
(2,22),-2.92258 # DEPENDENCYPART_ARC
(2,23),-3.04382 # DEPENDENCYPART_ARC
(2,24),-3.43838 # DEPENDENCYPART_ARC
(3,1),-0.491647 # DEPENDENCYPART_ARC
(3,2),-0.465109 # DEPENDENCYPART_ARC
(3,4),0.0437383 # DEPENDENCYPART_ARC
(3,5),-0.602774 # DEPENDENCYPART_ARC
(3,6),-0.733017 # DEPENDENCYPART_ARC
(3,7),-0.743533 # DEPENDENCYPART_ARC
(3,9),-0.0490907 # DEPENDENCYPART_ARC
(3,10),-2.33427 # DEPENDENCYPART_ARC
(3,11),-0.353426 # DEPENDENCYPART_ARC
(3,12),-1.52066 # DEPENDENCYPART_ARC
(3,13),-2.88126 # DEPENDENCYPART_ARC
(3,14),-0.795365 # DEPENDENCYPART_ARC
(3,15),-1.17414 # DEPENDENCYPART_ARC
(3,16),-2.11434 # DEPENDENCYPART_ARC
(3,17),-3.41799 # DEPENDENCYPART_ARC
(3,18),-3.70972 # DEPENDENCYPART_ARC
(3,19),-2.64289 # DEPENDENCYPART_ARC
(3,20),-3.24736 # DEPENDENCYPART_ARC
(3,21),-4.37585 # DEPENDENCYPART_ARC
(3,22),-4.57844 # DEPENDENCYPART_ARC
(3,23),-1.86919 # DEPENDENCYPART_ARC
(3,24),-1.73188 # DEPENDENCYPART_ARC
(4,1),-0.469092 # DEPENDENCYPART_ARC
(4,2),-0.108064 # DEPENDENCYPART_ARC
(4,3),2.27795 # DEPENDENCYPART_ARC
(4,6),-0.0136565 # DEPENDENCYPART_ARC
(4,7),-0.428995 # DEPENDENCYPART_ARC
(4,9),1.74164 # DEPENDENCYPART_ARC
(4,10),-2.60454 # DEPENDENCYPART_ARC
(4,11),0.891808 # DEPENDENCYPART_ARC
(4,12),-2.01233 # DEPENDENCYPART_ARC
(4,13),-2.40596 # DEPENDENCYPART_ARC
(4,14),0.664429 # DEPENDENCYPART_ARC
(4,15),0.14774 # DEPENDENCYPART_ARC
(4,16),-2.57238 # DEPENDENCYPART_ARC
(4,17),-3.3071 # DEPENDENCYPART_ARC
(4,18),-3.77453 # DEPENDENCYPART_ARC
(4,19),-2.52238 # DEPENDENCYPART_ARC
(4,20),-3.21726 # DEPENDENCYPART_ARC
(4,21),-4.59619 # DEPENDENCYPART_ARC
(4,22),-5.03647 # DEPENDENCYPART_ARC
(4,23),-0.164177 # DEPENDENCYPART_ARC
(4,24),-1.91521 # DEPENDENCYPART_ARC
(6,2),-0.296859 # DEPENDENCYPART_ARC
(6,3),-0.661012 # DEPENDENCYPART_ARC
(6,4),0.165184 # DEPENDENCYPART_ARC
(6,7),2.48799 # DEPENDENCYPART_ARC
(6,9),-0.847034 # DEPENDENCYPART_ARC
(6,10),-1.77749 # DEPENDENCYPART_ARC
(6,12),-3.37642 # DEPENDENCYPART_ARC
(6,13),-2.21544 # DEPENDENCYPART_ARC
(6,14),-1.57073 # DEPENDENCYPART_ARC
(6,15),-1.46681 # DEPENDENCYPART_ARC
(6,16),-3.83513 # DEPENDENCYPART_ARC
(6,17),-3.82143 # DEPENDENCYPART_ARC
(6,18),-2.33524 # DEPENDENCYPART_ARC
(6,20),-1.229 # DEPENDENCYPART_ARC
(6,21),-3.64476 # DEPENDENCYPART_ARC
(6,22),-4.08192 # DEPENDENCYPART_ARC
(6,24),-3.16375 # DEPENDENCYPART_ARC
(7,1),-3.35557 # DEPENDENCYPART_ARC
(7,2),-2.22981 # DEPENDENCYPART_ARC
(7,3),-0.53907 # DEPENDENCYPART_ARC
(7,4),-1.3957 # DEPENDENCYPART_ARC
(7,6),-1.39186 # DEPENDENCYPART_ARC
(7,8),2.94627 # DEPENDENCYPART_ARC
(7,9),-1.44062 # DEPENDENCYPART_ARC
(7,10),-0.409447 # DEPENDENCYPART_ARC
(7,12),-2.43883 # DEPENDENCYPART_ARC
(7,13),-5.01897 # DEPENDENCYPART_ARC
(7,14),-2.02524 # DEPENDENCYPART_ARC
(7,15),-2.59216 # DEPENDENCYPART_ARC
(7,16),-3.78611 # DEPENDENCYPART_ARC
(7,17),-6.51096 # DEPENDENCYPART_ARC
(7,18),-4.22467 # DEPENDENCYPART_ARC
(7,19),-3.9231 # DEPENDENCYPART_ARC
(7,20),-2.51439 # DEPENDENCYPART_ARC
(7,21),-6.65755 # DEPENDENCYPART_ARC
(7,22),-6.9984 # DEPENDENCYPART_ARC
(7,23),-2.96907 # DEPENDENCYPART_ARC
(7,24),-4.06575 # DEPENDENCYPART_ARC
(8,2),-0.822236 # DEPENDENCYPART_ARC
(8,7),0.289978 # DEPENDENCYPART_ARC
(8,10),-2.48691 # DEPENDENCYPART_ARC
(8,13),-1.88653 # DEPENDENCYPART_ARC
(8,15),-1.30704 # DEPENDENCYPART_ARC
(8,17),-3.03336 # DEPENDENCYPART_ARC
(8,18),-3.38289 # DEPENDENCYPART_ARC
(8,20),-2.31411 # DEPENDENCYPART_ARC
(8,21),-3.66684 # DEPENDENCYPART_ARC
(8,22),-3.72093 # DEPENDENCYPART_ARC
(9,1),-1.05691 # DEPENDENCYPART_ARC
(9,2),0.101951 # DEPENDENCYPART_ARC
(9,3),0.888994 # DEPENDENCYPART_ARC
(9,4),0.0755464 # DEPENDENCYPART_ARC
(9,5),3.3468 # DEPENDENCYPART_ARC
(9,6),0.50381 # DEPENDENCYPART_ARC
(9,7),1.29035 # DEPENDENCYPART_ARC
(9,10),2.87746 # DEPENDENCYPART_ARC
(9,11),2.3756 # DEPENDENCYPART_ARC
(9,12),-0.806451 # DEPENDENCYPART_ARC
(9,13),0.286146 # DEPENDENCYPART_ARC
(9,14),0.474281 # DEPENDENCYPART_ARC
(9,15),0.543939 # DEPENDENCYPART_ARC
(9,16),-3.73904 # DEPENDENCYPART_ARC
(9,17),-1.07786 # DEPENDENCYPART_ARC
(9,18),-3.25762 # DEPENDENCYPART_ARC
(9,19),-0.938865 # DEPENDENCYPART_ARC
(9,20),-0.413689 # DEPENDENCYPART_ARC
(9,21),-3.85138 # DEPENDENCYPART_ARC
(9,22),-3.44541 # DEPENDENCYPART_ARC
(9,23),-2.09963 # DEPENDENCYPART_ARC
(9,24),-1.09953 # DEPENDENCYPART_ARC
(10,1),-2.75805 # DEPENDENCYPART_ARC
(10,2),-1.30836 # DEPENDENCYPART_ARC
(10,3),-1.83157 # DEPENDENCYPART_ARC
(10,4),-2.38641 # DEPENDENCYPART_ARC
(10,5),-2.86494 # DEPENDENCYPART_ARC
(10,6),-2.11084 # DEPENDENCYPART_ARC
(10,7),0.232942 # DEPENDENCYPART_ARC
(10,9),-3.37002 # DEPENDENCYPART_ARC
(10,11),1.73355 # DEPENDENCYPART_ARC
(10,12),-1.03223 # DEPENDENCYPART_ARC
(10,13),-1.59179 # DEPENDENCYPART_ARC
(10,14),-0.511353 # DEPENDENCYPART_ARC
(10,15),-0.0588062 # DEPENDENCYPART_ARC
(10,16),-3.64621 # DEPENDENCYPART_ARC
(10,17),-2.42179 # DEPENDENCYPART_ARC
(10,18),-0.980326 # DEPENDENCYPART_ARC
(10,19),-2.95873 # DEPENDENCYPART_ARC
(10,20),-1.3152 # DEPENDENCYPART_ARC
(10,21),-2.18341 # DEPENDENCYPART_ARC
(10,22),-1.48847 # DEPENDENCYPART_ARC
(10,23),-3.2085 # DEPENDENCYPART_ARC
(10,24),-5.88476 # DEPENDENCYPART_ARC
(11,1),-3.18762 # DEPENDENCYPART_ARC
(11,2),-0.903836 # DEPENDENCYPART_ARC
(11,3),-0.458412 # DEPENDENCYPART_ARC
(11,4),-0.592013 # DEPENDENCYPART_ARC
(11,5),2.43241 # DEPENDENCYPART_ARC
(11,6),0.377041 # DEPENDENCYPART_ARC
(11,7),0.184151 # DEPENDENCYPART_ARC
(11,9),-0.542552 # DEPENDENCYPART_ARC
(11,10),2.26252 # DEPENDENCYPART_ARC
(11,12),0.611437 # DEPENDENCYPART_ARC
(11,13),0.808438 # DEPENDENCYPART_ARC
(11,14),0.0787244 # DEPENDENCYPART_ARC
(11,15),0.563015 # DEPENDENCYPART_ARC
(11,16),-2.25757 # DEPENDENCYPART_ARC
(11,17),-1.06826 # DEPENDENCYPART_ARC
(11,18),-1.14421 # DEPENDENCYPART_ARC
(11,19),-0.653914 # DEPENDENCYPART_ARC
(11,20),0.220199 # DEPENDENCYPART_ARC
(11,21),-2.734 # DEPENDENCYPART_ARC
(11,22),-2.1305 # DEPENDENCYPART_ARC
(11,23),-1.7171 # DEPENDENCYPART_ARC
(11,24),-1.27485 # DEPENDENCYPART_ARC
(12,1),-4.3693 # DEPENDENCYPART_ARC
(12,2),-1.92221 # DEPENDENCYPART_ARC
(12,3),-2.54943 # DEPENDENCYPART_ARC
(12,4),-2.1477 # DEPENDENCYPART_ARC
(12,5),-2.06215 # DEPENDENCYPART_ARC
(12,6),-3.15995 # DEPENDENCYPART_ARC
(12,7),-0.462502 # DEPENDENCYPART_ARC
(12,9),-3.51361 # DEPENDENCYPART_ARC
(12,10),-1.49266 # DEPENDENCYPART_ARC
(12,11),-0.447788 # DEPENDENCYPART_ARC
(12,13),-0.479348 # DEPENDENCYPART_ARC
(12,14),-0.717711 # DEPENDENCYPART_ARC
(12,15),-0.00811496 # DEPENDENCYPART_ARC
(12,16),-2.52607 # DEPENDENCYPART_ARC
(12,17),-2.71145 # DEPENDENCYPART_ARC
(12,18),-2.50305 # DEPENDENCYPART_ARC
(12,19),-4.69106 # DEPENDENCYPART_ARC
(12,20),-1.30854 # DEPENDENCYPART_ARC
(12,21),-3.92572 # DEPENDENCYPART_ARC
(12,22),-4.47924 # DEPENDENCYPART_ARC
(12,23),-2.71395 # DEPENDENCYPART_ARC
(12,24),-2.7155 # DEPENDENCYPART_ARC
(13,1),-2.8631 # DEPENDENCYPART_ARC
(13,2),-1.10588 # DEPENDENCYPART_ARC
(13,3),-1.69027 # DEPENDENCYPART_ARC
(13,4),-2.12971 # DEPENDENCYPART_ARC
(13,5),-3.64392 # DEPENDENCYPART_ARC
(13,6),-2.75641 # DEPENDENCYPART_ARC
(13,7),-0.141111 # DEPENDENCYPART_ARC
(13,9),-2.9669 # DEPENDENCYPART_ARC
(13,10),-3.83511 # DEPENDENCYPART_ARC
(13,11),-0.0374161 # DEPENDENCYPART_ARC
(13,12),5.35646 # DEPENDENCYPART_ARC
(13,14),-0.478377 # DEPENDENCYPART_ARC
(13,15),0.155321 # DEPENDENCYPART_ARC
(13,16),-2.42281 # DEPENDENCYPART_ARC
(13,17),-1.37833 # DEPENDENCYPART_ARC
(13,18),-0.3561 # DEPENDENCYPART_ARC
(13,19),-4.78087 # DEPENDENCYPART_ARC
(13,20),-2.24297 # DEPENDENCYPART_ARC
(13,21),-2.06469 # DEPENDENCYPART_ARC
(13,22),-1.46886 # DEPENDENCYPART_ARC
(13,23),-0.753629 # DEPENDENCYPART_ARC
(13,24),-5.10576 # DEPENDENCYPART_ARC
(14,1),-1.14466 # DEPENDENCYPART_ARC
(14,2),-1.87667 # DEPENDENCYPART_ARC
(14,3),-0.749069 # DEPENDENCYPART_ARC
(14,4),-0.304319 # DEPENDENCYPART_ARC
(14,5),-1.60649 # DEPENDENCYPART_ARC
(14,6),-1.10775 # DEPENDENCYPART_ARC
(14,7),-1.76676 # DEPENDENCYPART_ARC
(14,9),-0.505484 # DEPENDENCYPART_ARC
(14,10),-0.909811 # DEPENDENCYPART_ARC
(14,11),-0.0643467 # DEPENDENCYPART_ARC
(14,12),-0.422703 # DEPENDENCYPART_ARC
(14,13),-0.639122 # DEPENDENCYPART_ARC
(14,15),-1.31406 # DEPENDENCYPART_ARC
(14,16),-1.43566 # DEPENDENCYPART_ARC
(14,17),-1.36787 # DEPENDENCYPART_ARC
(14,18),-1.66333 # DEPENDENCYPART_ARC
(14,19),-2.50907 # DEPENDENCYPART_ARC
(14,20),-1.98588 # DEPENDENCYPART_ARC
(14,21),-2.83367 # DEPENDENCYPART_ARC
(14,22),-2.92303 # DEPENDENCYPART_ARC
(14,23),-1.42206 # DEPENDENCYPART_ARC
(14,24),-2.12753 # DEPENDENCYPART_ARC
(15,1),0.0195544 # DEPENDENCYPART_ARC
(15,2),-0.695603 # DEPENDENCYPART_ARC
(15,3),0.244681 # DEPENDENCYPART_ARC
(15,4),0.536626 # DEPENDENCYPART_ARC
(15,5),-0.345426 # DEPENDENCYPART_ARC
(15,6),-0.257134 # DEPENDENCYPART_ARC
(15,7),-0.689967 # DEPENDENCYPART_ARC
(15,8),-0.557731 # DEPENDENCYPART_ARC
(15,9),0.0673739 # DEPENDENCYPART_ARC
(15,10),1.52007 # DEPENDENCYPART_ARC
(15,11),1.35754 # DEPENDENCYPART_ARC
(15,12),1.65251 # DEPENDENCYPART_ARC
(15,13),1.87647 # DEPENDENCYPART_ARC
(15,14),1.88518 # DEPENDENCYPART_ARC
(15,16),2.6716 # DEPENDENCYPART_ARC
(15,17),1.78708 # DEPENDENCYPART_ARC
(15,18),0.525965 # DEPENDENCYPART_ARC
(15,19),-0.647886 # DEPENDENCYPART_ARC
(15,20),-0.423982 # DEPENDENCYPART_ARC
(15,21),-0.572655 # DEPENDENCYPART_ARC
(15,22),-1.18207 # DEPENDENCYPART_ARC
(15,23),1.02369 # DEPENDENCYPART_ARC
(15,24),-0.4579 # DEPENDENCYPART_ARC
(16,1),-5.74069 # DEPENDENCYPART_ARC
(16,2),-3.07106 # DEPENDENCYPART_ARC
(16,3),-3.95056 # DEPENDENCYPART_ARC
(16,4),-3.53379 # DEPENDENCYPART_ARC
(16,5),-2.91602 # DEPENDENCYPART_ARC
(16,6),-4.33688 # DEPENDENCYPART_ARC
(16,7),-2.29969 # DEPENDENCYPART_ARC
(16,9),-5.39039 # DEPENDENCYPART_ARC
(16,10),-2.94255 # DEPENDENCYPART_ARC
(16,11),-2.61431 # DEPENDENCYPART_ARC
(16,12),-3.62446 # DEPENDENCYPART_ARC
(16,13),-2.80725 # DEPENDENCYPART_ARC
(16,14),-1.1749 # DEPENDENCYPART_ARC
(16,15),-1.17785 # DEPENDENCYPART_ARC
(16,17),-0.649512 # DEPENDENCYPART_ARC
(16,18),-0.994776 # DEPENDENCYPART_ARC
(16,19),-3.27436 # DEPENDENCYPART_ARC
(16,20),-0.813342 # DEPENDENCYPART_ARC
(16,21),-2.73357 # DEPENDENCYPART_ARC
(16,22),-3.52936 # DEPENDENCYPART_ARC
(16,23),-3.28246 # DEPENDENCYPART_ARC
(16,24),-1.67503 # DEPENDENCYPART_ARC
(17,1),-3.02009 # DEPENDENCYPART_ARC
(17,2),-1.72323 # DEPENDENCYPART_ARC
(17,3),-1.60836 # DEPENDENCYPART_ARC
(17,4),-3.11447 # DEPENDENCYPART_ARC
(17,5),-4.38425 # DEPENDENCYPART_ARC
(17,6),-1.53529 # DEPENDENCYPART_ARC
(17,7),-0.795061 # DEPENDENCYPART_ARC
(17,9),-4.27943 # DEPENDENCYPART_ARC
(17,10),-5.50524 # DEPENDENCYPART_ARC
(17,11),-1.36513 # DEPENDENCYPART_ARC
(17,12),0.661453 # DEPENDENCYPART_ARC
(17,13),-1.87587 # DEPENDENCYPART_ARC
(17,14),0.265957 # DEPENDENCYPART_ARC
(17,15),0.956959 # DEPENDENCYPART_ARC
(17,16),4.58259 # DEPENDENCYPART_ARC
(17,18),2.97775 # DEPENDENCYPART_ARC
(17,19),-2.83455 # DEPENDENCYPART_ARC
(17,20),-0.71047 # DEPENDENCYPART_ARC
(17,21),-0.457841 # DEPENDENCYPART_ARC
(17,22),0.632373 # DEPENDENCYPART_ARC
(17,23),-0.583263 # DEPENDENCYPART_ARC
(17,24),-2.83658 # DEPENDENCYPART_ARC
(18,1),-3.2413 # DEPENDENCYPART_ARC
(18,2),-2.50311 # DEPENDENCYPART_ARC
(18,3),-2.03337 # DEPENDENCYPART_ARC
(18,4),-3.5721 # DEPENDENCYPART_ARC
(18,5),-4.86423 # DEPENDENCYPART_ARC
(18,6),-1.87779 # DEPENDENCYPART_ARC
(18,7),-1.01419 # DEPENDENCYPART_ARC
(18,9),-4.51874 # DEPENDENCYPART_ARC
(18,10),-4.66697 # DEPENDENCYPART_ARC
(18,11),-1.40074 # DEPENDENCYPART_ARC
(18,12),-4.26732 # DEPENDENCYPART_ARC
(18,13),-3.90274 # DEPENDENCYPART_ARC
(18,14),-0.153559 # DEPENDENCYPART_ARC
(18,15),0.47346 # DEPENDENCYPART_ARC
(18,16),-0.554754 # DEPENDENCYPART_ARC
(18,17),-0.543099 # DEPENDENCYPART_ARC
(18,19),-1.9199 # DEPENDENCYPART_ARC
(18,20),0.0372491 # DEPENDENCYPART_ARC
(18,21),0.470604 # DEPENDENCYPART_ARC
(18,22),1.24385 # DEPENDENCYPART_ARC
(18,23),-1.23693 # DEPENDENCYPART_ARC
(18,24),-1.54742 # DEPENDENCYPART_ARC
(19,1),-2.83888 # DEPENDENCYPART_ARC
(19,2),-2.12452 # DEPENDENCYPART_ARC
(19,3),-2.02819 # DEPENDENCYPART_ARC
(19,4),-2.16056 # DEPENDENCYPART_ARC
(19,6),-2.51187 # DEPENDENCYPART_ARC
(19,7),-1.24709 # DEPENDENCYPART_ARC
(19,9),-2.65103 # DEPENDENCYPART_ARC
(19,10),-3.09231 # DEPENDENCYPART_ARC
(19,11),-0.229871 # DEPENDENCYPART_ARC
(19,12),-2.04106 # DEPENDENCYPART_ARC
(19,13),-3.23802 # DEPENDENCYPART_ARC
(19,14),-0.854229 # DEPENDENCYPART_ARC
(19,15),-1.2359 # DEPENDENCYPART_ARC
(19,16),-0.847956 # DEPENDENCYPART_ARC
(19,17),-1.70533 # DEPENDENCYPART_ARC
(19,18),-0.735472 # DEPENDENCYPART_ARC
(19,20),0.235944 # DEPENDENCYPART_ARC
(19,21),0.668052 # DEPENDENCYPART_ARC
(19,22),0.189674 # DEPENDENCYPART_ARC
(19,23),-2.65841 # DEPENDENCYPART_ARC
(19,24),-1.07404 # DEPENDENCYPART_ARC
(20,1),-3.91287 # DEPENDENCYPART_ARC
(20,2),-2.83542 # DEPENDENCYPART_ARC
(20,3),-1.87457 # DEPENDENCYPART_ARC
(20,4),-2.28935 # DEPENDENCYPART_ARC
(20,6),-3.51301 # DEPENDENCYPART_ARC
(20,7),-4.28865 # DEPENDENCYPART_ARC
(20,8),-3.15341 # DEPENDENCYPART_ARC
(20,9),-3.02151 # DEPENDENCYPART_ARC
(20,10),-2.91484 # DEPENDENCYPART_ARC
(20,12),-3.74806 # DEPENDENCYPART_ARC
(20,13),-4.23028 # DEPENDENCYPART_ARC
(20,14),0.126503 # DEPENDENCYPART_ARC
(20,15),-1.5707 # DEPENDENCYPART_ARC
(20,16),-2.85649 # DEPENDENCYPART_ARC
(20,17),-3.18112 # DEPENDENCYPART_ARC
(20,18),-2.31578 # DEPENDENCYPART_ARC
(20,19),-0.585818 # DEPENDENCYPART_ARC
(20,21),3.4208 # DEPENDENCYPART_ARC
(20,22),2.54376 # DEPENDENCYPART_ARC
(20,23),-1.43161 # DEPENDENCYPART_ARC
(20,24),-0.855568 # DEPENDENCYPART_ARC
(21,1),-4.37857 # DEPENDENCYPART_ARC
(21,2),-3.46351 # DEPENDENCYPART_ARC
(21,3),-2.97144 # DEPENDENCYPART_ARC
(21,4),-5.44266 # DEPENDENCYPART_ARC
(21,5),-6.05786 # DEPENDENCYPART_ARC
(21,6),-3.60515 # DEPENDENCYPART_ARC
(21,7),-2.09056 # DEPENDENCYPART_ARC
(21,9),-5.54211 # DEPENDENCYPART_ARC
(21,10),-6.70566 # DEPENDENCYPART_ARC
(21,11),-2.53412 # DEPENDENCYPART_ARC
(21,12),-4.49559 # DEPENDENCYPART_ARC
(21,13),-5.71988 # DEPENDENCYPART_ARC
(21,14),-1.31859 # DEPENDENCYPART_ARC
(21,15),-2.04903 # DEPENDENCYPART_ARC
(21,16),-3.91023 # DEPENDENCYPART_ARC
(21,17),-5.74939 # DEPENDENCYPART_ARC
(21,18),-4.40441 # DEPENDENCYPART_ARC
(21,19),-1.05978 # DEPENDENCYPART_ARC
(21,20),1.05689 # DEPENDENCYPART_ARC
(21,22),4.2693 # DEPENDENCYPART_ARC
(21,23),-1.42745 # DEPENDENCYPART_ARC
(21,24),-1.06528 # DEPENDENCYPART_ARC
(22,1),-4.01339 # DEPENDENCYPART_ARC
(22,2),-3.88762 # DEPENDENCYPART_ARC
(22,3),-3.02426 # DEPENDENCYPART_ARC
(22,4),-5.24584 # DEPENDENCYPART_ARC
(22,5),-6.01357 # DEPENDENCYPART_ARC
(22,6),-3.3241 # DEPENDENCYPART_ARC
(22,7),-1.79331 # DEPENDENCYPART_ARC
(22,9),-5.1982 # DEPENDENCYPART_ARC
(22,10),-5.83828 # DEPENDENCYPART_ARC
(22,11),-2.18464 # DEPENDENCYPART_ARC
(22,12),-4.14297 # DEPENDENCYPART_ARC
(22,13),-4.89479 # DEPENDENCYPART_ARC
(22,14),-1.39121 # DEPENDENCYPART_ARC
(22,15),-1.47097 # DEPENDENCYPART_ARC
(22,16),-3.98748 # DEPENDENCYPART_ARC
(22,17),-4.29628 # DEPENDENCYPART_ARC
(22,18),-3.92947 # DEPENDENCYPART_ARC
(22,19),-1.61996 # DEPENDENCYPART_ARC
(22,20),-0.191144 # DEPENDENCYPART_ARC
(22,21),1.74863 # DEPENDENCYPART_ARC
(22,23),-1.19404 # DEPENDENCYPART_ARC
(22,24),-0.663533 # DEPENDENCYPART_ARC
(23,1),-3.224 # DEPENDENCYPART_ARC
(23,2),-1.96008 # DEPENDENCYPART_ARC
(23,3),-0.649876 # DEPENDENCYPART_ARC
(23,4),-0.331478 # DEPENDENCYPART_ARC
(23,5),1.18843 # DEPENDENCYPART_ARC
(23,6),-1.41438 # DEPENDENCYPART_ARC
(23,7),-1.03058 # DEPENDENCYPART_ARC
(23,9),-1.0735 # DEPENDENCYPART_ARC
(23,10),1.20076 # DEPENDENCYPART_ARC
(23,11),0.0682199 # DEPENDENCYPART_ARC
(23,12),-1.60993 # DEPENDENCYPART_ARC
(23,13),-0.266498 # DEPENDENCYPART_ARC
(23,14),0.4331 # DEPENDENCYPART_ARC
(23,15),0.28473 # DEPENDENCYPART_ARC
(23,16),-0.682238 # DEPENDENCYPART_ARC
(23,17),2.02043 # DEPENDENCYPART_ARC
(23,18),-0.501153 # DEPENDENCYPART_ARC
(23,19),3.44677 # DEPENDENCYPART_ARC
(23,20),2.75066 # DEPENDENCYPART_ARC
(23,21),-0.350226 # DEPENDENCYPART_ARC
(23,22),0.822444 # DEPENDENCYPART_ARC
(23,24),-0.0542437 # DEPENDENCYPART_ARC
(24,1),-6.30092 # DEPENDENCYPART_ARC
(24,2),-4.95715 # DEPENDENCYPART_ARC
(24,3),-7.01851 # DEPENDENCYPART_ARC
(24,4),-4.62364 # DEPENDENCYPART_ARC
(24,5),-5.21991 # DEPENDENCYPART_ARC
(24,6),-5.17136 # DEPENDENCYPART_ARC
(24,7),-4.89276 # DEPENDENCYPART_ARC
(24,9),-4.55226 # DEPENDENCYPART_ARC
(24,10),-4.91502 # DEPENDENCYPART_ARC
(24,11),-4.64669 # DEPENDENCYPART_ARC
(24,12),-4.2812 # DEPENDENCYPART_ARC
(24,13),-4.37732 # DEPENDENCYPART_ARC
(24,14),-4.21423 # DEPENDENCYPART_ARC
(24,15),-4.16013 # DEPENDENCYPART_ARC
(24,16),-4.34505 # DEPENDENCYPART_ARC
(24,17),-4.23685 # DEPENDENCYPART_ARC
(24,18),-3.94079 # DEPENDENCYPART_ARC
(24,19),-3.38324 # DEPENDENCYPART_ARC
(24,20),-3.52774 # DEPENDENCYPART_ARC
(24,21),-2.81023 # DEPENDENCYPART_ARC
(24,22),-3.27668 # DEPENDENCYPART_ARC
(24,23),-3.86173 # DEPENDENCYPART_ARC
