# _root_ Toman žádal později v dopise ministra vnitra Noska , s kterým se dobře znal , o vydání svého syna a stejně učinili i příbuzní ze Slovenska a dokonce až z Austrálie .
#goldHeads=2,20,2,2,4,8,6,2,14,14,10,14,14,8,14,2,16,19,17,0,22,20,24,22,27,25,24,31,31,27,30,0,
#predictedHeads=2,0,2,2,4,8,6,2,14,14,10,14,14,8,20,14,16,19,17,17,22,20,24,22,24,25,22,29,31,27,30,0,
(2,15),0.703968 # DEPENDENCYPART_ARC
(2,16),-0.97236 # DEPENDENCYPART_ARC
(2,17),-1.32085 # DEPENDENCYPART_ARC
(2,18),-3.30079 # DEPENDENCYPART_ARC
(2,19),-3.42265 # DEPENDENCYPART_ARC
(2,20),0.173691 # DEPENDENCYPART_ARC
(2,21),-0.124153 # DEPENDENCYPART_ARC
(2,22),-1.83498 # DEPENDENCYPART_ARC
(2,23),-0.716515 # DEPENDENCYPART_ARC
(2,24),-3.03704 # DEPENDENCYPART_ARC
(2,25),-1.74274 # DEPENDENCYPART_ARC
(2,26),-5.93013 # DEPENDENCYPART_ARC
(2,27),-0.410022 # DEPENDENCYPART_ARC
(2,28),-2.77481 # DEPENDENCYPART_ARC
(2,29),-2.40377 # DEPENDENCYPART_ARC
(2,30),-4.404 # DEPENDENCYPART_ARC
(2,31),-8.21413 # DEPENDENCYPART_ARC
(2,32),-0.293039 # DEPENDENCYPART_ARC
(3,1),-1.41944 # DEPENDENCYPART_ARC
(3,2),-1.10894 # DEPENDENCYPART_ARC
(3,4),-0.535252 # DEPENDENCYPART_ARC
(3,5),-0.593097 # DEPENDENCYPART_ARC
(3,6),-1.37686 # DEPENDENCYPART_ARC
(3,7),0.303971 # DEPENDENCYPART_ARC
(3,8),-2.3893 # DEPENDENCYPART_ARC
(3,9),-0.610582 # DEPENDENCYPART_ARC
(3,10),-1.48062 # DEPENDENCYPART_ARC
(3,11),-1.67565 # DEPENDENCYPART_ARC
(3,12),-1.89651 # DEPENDENCYPART_ARC
(3,13),-1.04074 # DEPENDENCYPART_ARC
(3,14),-1.72015 # DEPENDENCYPART_ARC
(3,15),-1.60722 # DEPENDENCYPART_ARC
(3,16),-2.3998 # DEPENDENCYPART_ARC
(3,17),-3.63156 # DEPENDENCYPART_ARC
(3,18),-1.26276 # DEPENDENCYPART_ARC
(3,19),-2.77815 # DEPENDENCYPART_ARC
(3,20),-2.3843 # DEPENDENCYPART_ARC
(3,21),-1.73709 # DEPENDENCYPART_ARC
(3,22),-2.19701 # DEPENDENCYPART_ARC
(3,23),-2.7293 # DEPENDENCYPART_ARC
(3,24),-4.81232 # DEPENDENCYPART_ARC
(3,25),-2.44378 # DEPENDENCYPART_ARC
(3,26),-3.06856 # DEPENDENCYPART_ARC
(3,27),-3.52982 # DEPENDENCYPART_ARC
(3,28),-2.30735 # DEPENDENCYPART_ARC
(3,29),-3.24246 # DEPENDENCYPART_ARC
(3,30),-3.4133 # DEPENDENCYPART_ARC
(3,31),-4.46699 # DEPENDENCYPART_ARC
(3,32),-5.45164 # DEPENDENCYPART_ARC
(4,1),-3.72615 # DEPENDENCYPART_ARC
(4,2),-1.77618 # DEPENDENCYPART_ARC
(4,3),-0.774064 # DEPENDENCYPART_ARC
(4,5),4.04236 # DEPENDENCYPART_ARC
(4,6),-2.14453 # DEPENDENCYPART_ARC
(4,7),-3.77812 # DEPENDENCYPART_ARC
(4,8),-4.88574 # DEPENDENCYPART_ARC
(4,9),-0.231127 # DEPENDENCYPART_ARC
(4,10),-1.83581 # DEPENDENCYPART_ARC
(4,11),-3.2974 # DEPENDENCYPART_ARC
(4,12),-3.60511 # DEPENDENCYPART_ARC
(4,13),-2.09961 # DEPENDENCYPART_ARC
(4,14),-2.90526 # DEPENDENCYPART_ARC
(4,15),-1.98232 # DEPENDENCYPART_ARC
(4,16),-2.502 # DEPENDENCYPART_ARC
(4,17),-8.32472 # DEPENDENCYPART_ARC
(4,18),-5.81293 # DEPENDENCYPART_ARC
(4,19),-11.2865 # DEPENDENCYPART_ARC
(4,20),-3.19935 # DEPENDENCYPART_ARC
(4,21),-3.11372 # DEPENDENCYPART_ARC
(4,22),-3.93302 # DEPENDENCYPART_ARC
(4,23),-3.41864 # DEPENDENCYPART_ARC
(4,24),-14.6376 # DEPENDENCYPART_ARC
(4,25),-3.03301 # DEPENDENCYPART_ARC
(4,26),-14.0465 # DEPENDENCYPART_ARC
(4,27),-5.86743 # DEPENDENCYPART_ARC
(4,28),-3.3404 # DEPENDENCYPART_ARC
(4,29),-5.48719 # DEPENDENCYPART_ARC
(4,30),-3.38787 # DEPENDENCYPART_ARC
(4,31),-16.6794 # DEPENDENCYPART_ARC
(4,32),-5.63027 # DEPENDENCYPART_ARC
(5,1),-2.28161 # DEPENDENCYPART_ARC
(5,2),-3.70781 # DEPENDENCYPART_ARC
(5,3),-0.121566 # DEPENDENCYPART_ARC
(5,4),1.42134 # DEPENDENCYPART_ARC
(5,6),0.408247 # DEPENDENCYPART_ARC
(5,7),3.15976 # DEPENDENCYPART_ARC
(5,8),-1.36054 # DEPENDENCYPART_ARC
(5,9),0.223225 # DEPENDENCYPART_ARC
(5,10),0.181278 # DEPENDENCYPART_ARC
(5,11),-1.42351 # DEPENDENCYPART_ARC
(5,12),-1.97622 # DEPENDENCYPART_ARC
(5,13),-0.0744156 # DEPENDENCYPART_ARC
(5,14),1.25571 # DEPENDENCYPART_ARC
(5,15),-0.172316 # DEPENDENCYPART_ARC
(5,16),-1.00221 # DEPENDENCYPART_ARC
(5,17),-5.05947 # DEPENDENCYPART_ARC
(5,18),-1.22739 # DEPENDENCYPART_ARC
(5,19),-2.67361 # DEPENDENCYPART_ARC
(5,20),0.0647568 # DEPENDENCYPART_ARC
(5,21),-0.89689 # DEPENDENCYPART_ARC
(5,22),-0.805532 # DEPENDENCYPART_ARC
(5,23),-0.981493 # DEPENDENCYPART_ARC
(5,24),-6.63144 # DEPENDENCYPART_ARC
(5,25),-1.39647 # DEPENDENCYPART_ARC
(5,26),-3.62068 # DEPENDENCYPART_ARC
(5,27),-1.33298 # DEPENDENCYPART_ARC
(5,28),-1.46426 # DEPENDENCYPART_ARC
(5,29),-3.88229 # DEPENDENCYPART_ARC
(5,30),-3.68064 # DEPENDENCYPART_ARC
(5,31),-4.52625 # DEPENDENCYPART_ARC
(5,32),-9.38713 # DEPENDENCYPART_ARC
(6,1),-3.20444 # DEPENDENCYPART_ARC
(6,2),-2.4641 # DEPENDENCYPART_ARC
(6,3),-0.205301 # DEPENDENCYPART_ARC
(6,4),0.113549 # DEPENDENCYPART_ARC
(6,5),-1.59689 # DEPENDENCYPART_ARC
(6,7),4.80476 # DEPENDENCYPART_ARC
(6,8),0.464253 # DEPENDENCYPART_ARC
(6,9),0.108781 # DEPENDENCYPART_ARC
(6,10),-0.371713 # DEPENDENCYPART_ARC
(6,11),-2.44842 # DEPENDENCYPART_ARC
(6,12),-1.57167 # DEPENDENCYPART_ARC
(6,13),-1.07453 # DEPENDENCYPART_ARC
(6,14),0.561464 # DEPENDENCYPART_ARC
(6,15),-0.427391 # DEPENDENCYPART_ARC
(6,16),-1.62875 # DEPENDENCYPART_ARC
(6,17),-3.49448 # DEPENDENCYPART_ARC
(6,18),-2.25473 # DEPENDENCYPART_ARC
(6,19),-2.50154 # DEPENDENCYPART_ARC
(6,20),-0.572746 # DEPENDENCYPART_ARC
(6,21),-1.87054 # DEPENDENCYPART_ARC
(6,22),-1.40872 # DEPENDENCYPART_ARC
(6,23),-1.42131 # DEPENDENCYPART_ARC
(6,24),-6.9117 # DEPENDENCYPART_ARC
(6,25),-2.36791 # DEPENDENCYPART_ARC
(6,26),-4.34123 # DEPENDENCYPART_ARC
(6,27),-2.05823 # DEPENDENCYPART_ARC
(6,28),-1.61835 # DEPENDENCYPART_ARC
(6,29),-4.41499 # DEPENDENCYPART_ARC
(6,30),-5.25589 # DEPENDENCYPART_ARC
(6,31),-4.93507 # DEPENDENCYPART_ARC
(6,32),-8.99032 # DEPENDENCYPART_ARC
(7,1),-3.37557 # DEPENDENCYPART_ARC
(7,2),-3.89225 # DEPENDENCYPART_ARC
(7,3),-0.874982 # DEPENDENCYPART_ARC
(7,4),-0.734346 # DEPENDENCYPART_ARC
(7,5),-1.74413 # DEPENDENCYPART_ARC
(7,6),-0.483404 # DEPENDENCYPART_ARC
(7,8),-0.943838 # DEPENDENCYPART_ARC
(7,9),-1.04887 # DEPENDENCYPART_ARC
(7,10),-0.71146 # DEPENDENCYPART_ARC
(7,11),-2.64761 # DEPENDENCYPART_ARC
(7,12),-1.35914 # DEPENDENCYPART_ARC
(7,13),-1.38723 # DEPENDENCYPART_ARC
(7,14),-0.586291 # DEPENDENCYPART_ARC
(7,15),-1.3032 # DEPENDENCYPART_ARC
(7,16),-1.86094 # DEPENDENCYPART_ARC
(7,17),-6.73825 # DEPENDENCYPART_ARC
(7,18),-2.5453 # DEPENDENCYPART_ARC
(7,19),-3.48489 # DEPENDENCYPART_ARC
(7,20),-1.23255 # DEPENDENCYPART_ARC
(7,21),-2.23618 # DEPENDENCYPART_ARC
(7,22),-2.17624 # DEPENDENCYPART_ARC
(7,23),-2.1753 # DEPENDENCYPART_ARC
(7,24),-7.41811 # DEPENDENCYPART_ARC
(7,25),-3.04846 # DEPENDENCYPART_ARC
(7,26),-5.15733 # DEPENDENCYPART_ARC
(7,27),-2.44179 # DEPENDENCYPART_ARC
(7,28),-2.49504 # DEPENDENCYPART_ARC
(7,29),-4.87484 # DEPENDENCYPART_ARC
(7,30),-5.96244 # DEPENDENCYPART_ARC
(7,31),-5.82043 # DEPENDENCYPART_ARC
(7,32),-9.2082 # DEPENDENCYPART_ARC
(8,1),-2.06973 # DEPENDENCYPART_ARC
(8,2),-3.00349 # DEPENDENCYPART_ARC
(8,3),-0.829169 # DEPENDENCYPART_ARC
(8,4),-0.789778 # DEPENDENCYPART_ARC
(8,5),-0.812155 # DEPENDENCYPART_ARC
(8,6),5.46037 # DEPENDENCYPART_ARC
(8,7),1.91803 # DEPENDENCYPART_ARC
(8,9),-0.0167605 # DEPENDENCYPART_ARC
(8,10),-0.826965 # DEPENDENCYPART_ARC
(8,11),-3.16353 # DEPENDENCYPART_ARC
(8,12),-1.76119 # DEPENDENCYPART_ARC
(8,13),-1.38727 # DEPENDENCYPART_ARC
(8,14),1.84471 # DEPENDENCYPART_ARC
(8,15),-0.0957397 # DEPENDENCYPART_ARC
(8,16),-2.80148 # DEPENDENCYPART_ARC
(8,17),-4.44896 # DEPENDENCYPART_ARC
(8,18),-3.09105 # DEPENDENCYPART_ARC
(8,19),-3.48554 # DEPENDENCYPART_ARC
(8,20),0.34773 # DEPENDENCYPART_ARC
(8,21),-2.15974 # DEPENDENCYPART_ARC
(8,22),-0.772054 # DEPENDENCYPART_ARC
(8,23),-1.2013 # DEPENDENCYPART_ARC
(8,24),-7.32071 # DEPENDENCYPART_ARC
(8,25),-2.80364 # DEPENDENCYPART_ARC
(8,26),-4.87347 # DEPENDENCYPART_ARC
(8,27),-0.82786 # DEPENDENCYPART_ARC
(8,28),-1.40759 # DEPENDENCYPART_ARC
(8,29),-3.14938 # DEPENDENCYPART_ARC
(8,30),-5.30079 # DEPENDENCYPART_ARC
(8,31),-5.5738 # DEPENDENCYPART_ARC
(8,32),-7.58225 # DEPENDENCYPART_ARC
(9,1),-0.965163 # DEPENDENCYPART_ARC
(9,2),0.104362 # DEPENDENCYPART_ARC
(9,3),-0.383598 # DEPENDENCYPART_ARC
(9,4),0.362066 # DEPENDENCYPART_ARC
(9,5),0.62789 # DEPENDENCYPART_ARC
(9,6),0.154962 # DEPENDENCYPART_ARC
(9,7),-0.153724 # DEPENDENCYPART_ARC
(9,8),-0.347082 # DEPENDENCYPART_ARC
(9,10),0.180537 # DEPENDENCYPART_ARC
(9,11),-0.211839 # DEPENDENCYPART_ARC
(9,12),-0.541253 # DEPENDENCYPART_ARC
(9,13),-0.3235 # DEPENDENCYPART_ARC
(9,14),-0.0657347 # DEPENDENCYPART_ARC
(9,15),-0.373302 # DEPENDENCYPART_ARC
(9,16),-1.34618 # DEPENDENCYPART_ARC
(9,17),-2.11374 # DEPENDENCYPART_ARC
(9,18),-1.14373 # DEPENDENCYPART_ARC
(9,19),-1.77683 # DEPENDENCYPART_ARC
(9,20),-0.917065 # DEPENDENCYPART_ARC
(9,21),-1.15593 # DEPENDENCYPART_ARC
(9,22),-1.46289 # DEPENDENCYPART_ARC
(9,23),-2.2703 # DEPENDENCYPART_ARC
(9,24),-3.37973 # DEPENDENCYPART_ARC
(9,25),-2.54641 # DEPENDENCYPART_ARC
(9,26),-3.65107 # DEPENDENCYPART_ARC
(9,27),-1.44345 # DEPENDENCYPART_ARC
(9,28),-2.1965 # DEPENDENCYPART_ARC
(9,29),-2.59071 # DEPENDENCYPART_ARC
(9,30),-4.10153 # DEPENDENCYPART_ARC
(9,31),-4.61594 # DEPENDENCYPART_ARC
(9,32),-1.50293 # DEPENDENCYPART_ARC
(10,1),-5.34352 # DEPENDENCYPART_ARC
(10,2),-3.75522 # DEPENDENCYPART_ARC
(10,3),-2.70774 # DEPENDENCYPART_ARC
(10,4),-1.81639 # DEPENDENCYPART_ARC
(10,5),-1.26221 # DEPENDENCYPART_ARC
(10,6),-3.55621 # DEPENDENCYPART_ARC
(10,7),-2.62567 # DEPENDENCYPART_ARC
(10,8),-2.95491 # DEPENDENCYPART_ARC
(10,9),-0.553573 # DEPENDENCYPART_ARC
(10,11),3.53386 # DEPENDENCYPART_ARC
(10,12),0.133511 # DEPENDENCYPART_ARC
(10,13),-1.56795 # DEPENDENCYPART_ARC
(10,14),-2.00219 # DEPENDENCYPART_ARC
(10,15),-1.25765 # DEPENDENCYPART_ARC
(10,16),-2.1141 # DEPENDENCYPART_ARC
(10,17),-3.25872 # DEPENDENCYPART_ARC
(10,18),-3.32967 # DEPENDENCYPART_ARC
(10,19),-5.02523 # DEPENDENCYPART_ARC
(10,20),-1.92219 # DEPENDENCYPART_ARC
(10,21),-2.71899 # DEPENDENCYPART_ARC
(10,22),-2.88358 # DEPENDENCYPART_ARC
(10,23),-3.24955 # DEPENDENCYPART_ARC
(10,24),-7.48181 # DEPENDENCYPART_ARC
(10,25),-2.82991 # DEPENDENCYPART_ARC
(10,26),-7.40208 # DEPENDENCYPART_ARC
(10,27),-3.91197 # DEPENDENCYPART_ARC
(10,28),-3.15707 # DEPENDENCYPART_ARC
(10,29),-4.48193 # DEPENDENCYPART_ARC
(10,30),-3.22416 # DEPENDENCYPART_ARC
(10,31),-8.69475 # DEPENDENCYPART_ARC
(10,32),-4.00367 # DEPENDENCYPART_ARC
(11,1),-3.30444 # DEPENDENCYPART_ARC
(11,2),-2.61598 # DEPENDENCYPART_ARC
(11,3),-0.674029 # DEPENDENCYPART_ARC
(11,4),-2.27261 # DEPENDENCYPART_ARC
(11,5),-1.67717 # DEPENDENCYPART_ARC
(11,6),-1.98619 # DEPENDENCYPART_ARC
(11,7),-1.59258 # DEPENDENCYPART_ARC
(11,8),-2.18529 # DEPENDENCYPART_ARC
(11,9),-0.863836 # DEPENDENCYPART_ARC
(11,10),-0.82056 # DEPENDENCYPART_ARC
(11,12),-0.510913 # DEPENDENCYPART_ARC
(11,13),-1.16884 # DEPENDENCYPART_ARC
(11,14),-0.120912 # DEPENDENCYPART_ARC
(11,15),-1.00412 # DEPENDENCYPART_ARC
(11,16),-1.7226 # DEPENDENCYPART_ARC
(11,17),-2.65688 # DEPENDENCYPART_ARC
(11,18),-0.957793 # DEPENDENCYPART_ARC
(11,19),-3.04955 # DEPENDENCYPART_ARC
(11,20),-0.918025 # DEPENDENCYPART_ARC
(11,21),-2.08871 # DEPENDENCYPART_ARC
(11,22),-3.69326 # DEPENDENCYPART_ARC
(11,23),-2.57529 # DEPENDENCYPART_ARC
(11,24),-3.46857 # DEPENDENCYPART_ARC
(11,25),-2.18437 # DEPENDENCYPART_ARC
(11,26),-3.70216 # DEPENDENCYPART_ARC
(11,27),-1.54567 # DEPENDENCYPART_ARC
(11,28),-2.48754 # DEPENDENCYPART_ARC
(11,29),-3.17035 # DEPENDENCYPART_ARC
(11,30),-2.65967 # DEPENDENCYPART_ARC
(11,31),-3.58604 # DEPENDENCYPART_ARC
(11,32),-2.32859 # DEPENDENCYPART_ARC
(12,1),-4.93371 # DEPENDENCYPART_ARC
(12,2),-3.32048 # DEPENDENCYPART_ARC
(12,3),-2.39938 # DEPENDENCYPART_ARC
(12,4),-1.97179 # DEPENDENCYPART_ARC
(12,5),-3.24018 # DEPENDENCYPART_ARC
(12,6),-3.44693 # DEPENDENCYPART_ARC
(12,7),-2.90026 # DEPENDENCYPART_ARC
(12,8),-3.48934 # DEPENDENCYPART_ARC
(12,9),-1.91193 # DEPENDENCYPART_ARC
(12,10),-1.10377 # DEPENDENCYPART_ARC
(12,11),-1.10868 # DEPENDENCYPART_ARC
(12,13),-0.452023 # DEPENDENCYPART_ARC
(12,14),-2.76906 # DEPENDENCYPART_ARC
(12,15),-1.98552 # DEPENDENCYPART_ARC
(12,16),-2.41425 # DEPENDENCYPART_ARC
(12,17),-2.15244 # DEPENDENCYPART_ARC
(12,18),-2.21239 # DEPENDENCYPART_ARC
(12,19),-2.34269 # DEPENDENCYPART_ARC
(12,20),-2.23978 # DEPENDENCYPART_ARC
(12,21),-1.98471 # DEPENDENCYPART_ARC
(12,22),-5.28689 # DEPENDENCYPART_ARC
(12,23),-3.77518 # DEPENDENCYPART_ARC
(12,24),-2.31197 # DEPENDENCYPART_ARC
(12,25),-3.39661 # DEPENDENCYPART_ARC
(12,26),-2.51318 # DEPENDENCYPART_ARC
(12,27),-2.69289 # DEPENDENCYPART_ARC
(12,28),-3.3493 # DEPENDENCYPART_ARC
(12,29),-4.37655 # DEPENDENCYPART_ARC
(12,30),-3.96805 # DEPENDENCYPART_ARC
(12,31),-1.79043 # DEPENDENCYPART_ARC
(12,32),-3.0286 # DEPENDENCYPART_ARC
(13,1),-3.17756 # DEPENDENCYPART_ARC
(13,2),-2.22507 # DEPENDENCYPART_ARC
(13,3),-0.777982 # DEPENDENCYPART_ARC
(13,4),-2.27009 # DEPENDENCYPART_ARC
(13,5),-2.11731 # DEPENDENCYPART_ARC
(13,6),-2.06551 # DEPENDENCYPART_ARC
(13,7),-1.45367 # DEPENDENCYPART_ARC
(13,8),-1.68883 # DEPENDENCYPART_ARC
(13,9),-0.425292 # DEPENDENCYPART_ARC
(13,10),-0.420448 # DEPENDENCYPART_ARC
(13,11),0.380772 # DEPENDENCYPART_ARC
(13,12),-0.571365 # DEPENDENCYPART_ARC
(13,14),-1.37736 # DEPENDENCYPART_ARC
(13,15),-1.1743 # DEPENDENCYPART_ARC
(13,16),-1.59824 # DEPENDENCYPART_ARC
(13,17),-1.98607 # DEPENDENCYPART_ARC
(13,18),-1.41371 # DEPENDENCYPART_ARC
(13,19),-2.50717 # DEPENDENCYPART_ARC
(13,20),-1.59269 # DEPENDENCYPART_ARC
(13,21),-1.87261 # DEPENDENCYPART_ARC
(13,22),-2.9772 # DEPENDENCYPART_ARC
(13,23),-2.40487 # DEPENDENCYPART_ARC
(13,24),-4.82007 # DEPENDENCYPART_ARC
(13,25),-2.15504 # DEPENDENCYPART_ARC
(13,26),-2.59521 # DEPENDENCYPART_ARC
(13,27),-2.70329 # DEPENDENCYPART_ARC
(13,28),-2.39802 # DEPENDENCYPART_ARC
(13,29),-2.71654 # DEPENDENCYPART_ARC
(13,30),-3.04951 # DEPENDENCYPART_ARC
(13,31),-4.04717 # DEPENDENCYPART_ARC
(13,32),-3.70219 # DEPENDENCYPART_ARC
(14,1),2.18223 # DEPENDENCYPART_ARC
(14,2),-1.34041 # DEPENDENCYPART_ARC
(14,3),0.246208 # DEPENDENCYPART_ARC
(14,4),0.222367 # DEPENDENCYPART_ARC
(14,5),-0.632244 # DEPENDENCYPART_ARC
(14,6),0.741676 # DEPENDENCYPART_ARC
(14,7),-1.7027 # DEPENDENCYPART_ARC
(14,8),0.631986 # DEPENDENCYPART_ARC
(14,9),1.51359 # DEPENDENCYPART_ARC
(14,10),2.7686 # DEPENDENCYPART_ARC
(14,11),1.22547 # DEPENDENCYPART_ARC
(14,12),4.66187 # DEPENDENCYPART_ARC
(14,13),3.41296 # DEPENDENCYPART_ARC
(14,15),0.373277 # DEPENDENCYPART_ARC
(14,16),0.654185 # DEPENDENCYPART_ARC
(14,17),0.0116958 # DEPENDENCYPART_ARC
(14,18),-1.6785 # DEPENDENCYPART_ARC
(14,19),-1.88335 # DEPENDENCYPART_ARC
(14,20),0.543357 # DEPENDENCYPART_ARC
(14,21),-0.649081 # DEPENDENCYPART_ARC
(14,22),-1.8196 # DEPENDENCYPART_ARC
(14,23),-0.983691 # DEPENDENCYPART_ARC
(14,24),-2.45086 # DEPENDENCYPART_ARC
(14,25),-1.20315 # DEPENDENCYPART_ARC
(14,26),-5.1342 # DEPENDENCYPART_ARC
(14,27),-0.180925 # DEPENDENCYPART_ARC
(14,28),-2.40537 # DEPENDENCYPART_ARC
(14,29),-1.54915 # DEPENDENCYPART_ARC
(14,30),-3.20197 # DEPENDENCYPART_ARC
(14,31),-7.40714 # DEPENDENCYPART_ARC
(14,32),-1.22839 # DEPENDENCYPART_ARC
(15,1),-0.906058 # DEPENDENCYPART_ARC
(15,2),0.435818 # DEPENDENCYPART_ARC
(15,3),-0.580773 # DEPENDENCYPART_ARC
(15,4),0.644221 # DEPENDENCYPART_ARC
(15,5),0.28406 # DEPENDENCYPART_ARC
(15,6),-0.092761 # DEPENDENCYPART_ARC
(15,7),-0.00112256 # DEPENDENCYPART_ARC
(15,8),-0.292284 # DEPENDENCYPART_ARC
(15,9),0.865673 # DEPENDENCYPART_ARC
(15,10),0.738409 # DEPENDENCYPART_ARC
(15,11),0.816509 # DEPENDENCYPART_ARC
(15,12),1.03788 # DEPENDENCYPART_ARC
(15,13),0.45245 # DEPENDENCYPART_ARC
(15,14),0.8987 # DEPENDENCYPART_ARC
(15,16),1.05995 # DEPENDENCYPART_ARC
(15,17),0.130342 # DEPENDENCYPART_ARC
(15,18),-0.00446445 # DEPENDENCYPART_ARC
(15,19),-0.0126295 # DEPENDENCYPART_ARC
(15,20),-0.11546 # DEPENDENCYPART_ARC
(15,21),0.0431618 # DEPENDENCYPART_ARC
(15,22),0.249748 # DEPENDENCYPART_ARC
(15,23),-0.725269 # DEPENDENCYPART_ARC
(15,24),-1.94512 # DEPENDENCYPART_ARC
(15,25),-0.779018 # DEPENDENCYPART_ARC
(15,26),-2.19954 # DEPENDENCYPART_ARC
(15,27),-0.678391 # DEPENDENCYPART_ARC
(15,28),-1.17046 # DEPENDENCYPART_ARC
(15,29),-1.50373 # DEPENDENCYPART_ARC
(15,30),-2.41428 # DEPENDENCYPART_ARC
(15,31),-3.30444 # DEPENDENCYPART_ARC
(15,32),-1.02827 # DEPENDENCYPART_ARC
(16,1),-4.97439 # DEPENDENCYPART_ARC
(16,2),-3.48075 # DEPENDENCYPART_ARC
(16,3),-2.80125 # DEPENDENCYPART_ARC
(16,4),-3.71087 # DEPENDENCYPART_ARC
(16,5),-2.06723 # DEPENDENCYPART_ARC
(16,6),-3.59293 # DEPENDENCYPART_ARC
(16,7),-2.87694 # DEPENDENCYPART_ARC
