# _root_ Světová návrhářská smetánka se totiž rozhodla všem , které jsou nevšímavé vůči kouzlu negližé , vyhlásit nelítostný boj a ve svých kolekcích povýšit prádlo do řad oficiálního svrchního ošacení .
#goldHeads=3,3,6,6,6,0,16,10,10,7,10,11,12,13,10,19,18,16,6,23,22,20,19,23,23,25,29,29,26,0,
#predictedHeads=3,3,6,6,6,0,6,10,10,7,10,11,12,13,10,19,18,16,10,23,22,20,19,23,23,25,29,29,26,0,
(3,5),0.0449746 # DEPENDENCYPART_ARC
(3,6),-0.853578 # DEPENDENCYPART_ARC
(3,7),-0.665304 # DEPENDENCYPART_ARC
(3,8),-0.799529 # DEPENDENCYPART_ARC
(3,9),-0.423932 # DEPENDENCYPART_ARC
(3,10),-1.58601 # DEPENDENCYPART_ARC
(3,11),-1.89565 # DEPENDENCYPART_ARC
(3,12),-1.08511 # DEPENDENCYPART_ARC
(3,13),-4.35393 # DEPENDENCYPART_ARC
(3,14),-2.4714 # DEPENDENCYPART_ARC
(3,15),-1.08886 # DEPENDENCYPART_ARC
(3,16),-1.73776 # DEPENDENCYPART_ARC
(3,17),-5.57419 # DEPENDENCYPART_ARC
(3,18),-5.97823 # DEPENDENCYPART_ARC
(3,19),-0.981816 # DEPENDENCYPART_ARC
(3,20),-3.52112 # DEPENDENCYPART_ARC
(3,21),-2.3763 # DEPENDENCYPART_ARC
(3,22),-4.78363 # DEPENDENCYPART_ARC
(3,23),-3.11696 # DEPENDENCYPART_ARC
(3,24),-9.22965 # DEPENDENCYPART_ARC
(3,25),-2.99077 # DEPENDENCYPART_ARC
(3,26),-6.22487 # DEPENDENCYPART_ARC
(3,27),-5.047 # DEPENDENCYPART_ARC
(3,28),-5.54471 # DEPENDENCYPART_ARC
(3,29),-5.40151 # DEPENDENCYPART_ARC
(3,30),-10.7094 # DEPENDENCYPART_ARC
(4,1),-3.13057 # DEPENDENCYPART_ARC
(4,2),-2.56921 # DEPENDENCYPART_ARC
(4,3),-1.53183 # DEPENDENCYPART_ARC
(4,5),-0.892632 # DEPENDENCYPART_ARC
(4,6),-3.3411 # DEPENDENCYPART_ARC
(4,7),-1.07287 # DEPENDENCYPART_ARC
(4,8),-1.92508 # DEPENDENCYPART_ARC
(4,9),-2.67002 # DEPENDENCYPART_ARC
(4,10),-3.76159 # DEPENDENCYPART_ARC
(4,11),-3.33767 # DEPENDENCYPART_ARC
(4,12),-2.87603 # DEPENDENCYPART_ARC
(4,13),-2.79911 # DEPENDENCYPART_ARC
(4,14),-3.1754 # DEPENDENCYPART_ARC
(4,15),-2.23046 # DEPENDENCYPART_ARC
(4,16),-4.8253 # DEPENDENCYPART_ARC
(4,17),-3.13392 # DEPENDENCYPART_ARC
(4,18),-2.51788 # DEPENDENCYPART_ARC
(4,19),-2.47381 # DEPENDENCYPART_ARC
(4,20),-3.37724 # DEPENDENCYPART_ARC
(4,21),-2.80179 # DEPENDENCYPART_ARC
(4,22),-3.05433 # DEPENDENCYPART_ARC
(4,23),-5.95357 # DEPENDENCYPART_ARC
(4,24),-2.69333 # DEPENDENCYPART_ARC
(4,25),-3.73249 # DEPENDENCYPART_ARC
(4,26),-2.84809 # DEPENDENCYPART_ARC
(4,27),-4.26804 # DEPENDENCYPART_ARC
(4,28),-4.23798 # DEPENDENCYPART_ARC
(4,29),-3.04478 # DEPENDENCYPART_ARC
(4,30),-3.42251 # DEPENDENCYPART_ARC
(5,1),-1.08233 # DEPENDENCYPART_ARC
(5,2),-0.854031 # DEPENDENCYPART_ARC
(5,3),-1.11323 # DEPENDENCYPART_ARC
(5,4),-0.199899 # DEPENDENCYPART_ARC
(5,6),-0.715015 # DEPENDENCYPART_ARC
(5,7),-1.06098 # DEPENDENCYPART_ARC
(5,8),-1.01039 # DEPENDENCYPART_ARC
(5,9),-1.7256 # DEPENDENCYPART_ARC
(5,10),-1.50007 # DEPENDENCYPART_ARC
(5,11),-2.00054 # DEPENDENCYPART_ARC
(5,12),-1.94044 # DEPENDENCYPART_ARC
(5,13),-3.22613 # DEPENDENCYPART_ARC
(5,14),-3.35448 # DEPENDENCYPART_ARC
(5,15),-1.23875 # DEPENDENCYPART_ARC
(5,16),-2.24137 # DEPENDENCYPART_ARC
(5,17),-2.40984 # DEPENDENCYPART_ARC
(5,18),-3.97532 # DEPENDENCYPART_ARC
(5,19),-2.67051 # DEPENDENCYPART_ARC
(5,20),-2.82525 # DEPENDENCYPART_ARC
(5,21),-2.88819 # DEPENDENCYPART_ARC
(5,22),-4.92734 # DEPENDENCYPART_ARC
(5,23),-2.78574 # DEPENDENCYPART_ARC
(5,24),-5.44163 # DEPENDENCYPART_ARC
(5,25),-3.30309 # DEPENDENCYPART_ARC
(5,26),-5.66029 # DEPENDENCYPART_ARC
(5,27),-2.80263 # DEPENDENCYPART_ARC
(5,28),-2.97968 # DEPENDENCYPART_ARC
(5,29),-6.10989 # DEPENDENCYPART_ARC
(5,30),-4.81903 # DEPENDENCYPART_ARC
(6,1),0.116182 # DEPENDENCYPART_ARC
(6,2),-0.28327 # DEPENDENCYPART_ARC
(6,3),2.41592 # DEPENDENCYPART_ARC
(6,4),4.55064 # DEPENDENCYPART_ARC
(6,5),2.98965 # DEPENDENCYPART_ARC
(6,7),2.60658 # DEPENDENCYPART_ARC
(6,8),0.575231 # DEPENDENCYPART_ARC
(6,9),-0.74401 # DEPENDENCYPART_ARC
(6,10),-0.834328 # DEPENDENCYPART_ARC
(6,11),-1.28079 # DEPENDENCYPART_ARC
(6,12),0.517643 # DEPENDENCYPART_ARC
(6,13),-1.36179 # DEPENDENCYPART_ARC
(6,14),-1.05544 # DEPENDENCYPART_ARC
(6,15),0.859118 # DEPENDENCYPART_ARC
(6,16),0.546391 # DEPENDENCYPART_ARC
(6,17),-5.9879 # DEPENDENCYPART_ARC
(6,18),-0.845689 # DEPENDENCYPART_ARC
(6,19),-0.326759 # DEPENDENCYPART_ARC
(6,20),-1.82652 # DEPENDENCYPART_ARC
(6,21),-4.70143 # DEPENDENCYPART_ARC
(6,22),-3.58076 # DEPENDENCYPART_ARC
(6,23),-0.0901722 # DEPENDENCYPART_ARC
(6,24),-2.87571 # DEPENDENCYPART_ARC
(6,25),-1.36595 # DEPENDENCYPART_ARC
(6,26),-6.91503 # DEPENDENCYPART_ARC
(6,27),-6.84497 # DEPENDENCYPART_ARC
(6,28),-7.76461 # DEPENDENCYPART_ARC
(6,29),-5.6751 # DEPENDENCYPART_ARC
(6,30),-0.904406 # DEPENDENCYPART_ARC
(7,1),-3.59281 # DEPENDENCYPART_ARC
(7,2),-3.24808 # DEPENDENCYPART_ARC
(7,3),-2.66391 # DEPENDENCYPART_ARC
(7,4),-1.59293 # DEPENDENCYPART_ARC
(7,5),-0.27767 # DEPENDENCYPART_ARC
(7,6),-2.78162 # DEPENDENCYPART_ARC
(7,8),0.243022 # DEPENDENCYPART_ARC
(7,9),-1.10223 # DEPENDENCYPART_ARC
(7,10),2.68041 # DEPENDENCYPART_ARC
(7,11),-1.11242 # DEPENDENCYPART_ARC
(7,12),-0.642433 # DEPENDENCYPART_ARC
(7,13),-1.5487 # DEPENDENCYPART_ARC
(7,14),-1.90832 # DEPENDENCYPART_ARC
(7,15),-0.0555176 # DEPENDENCYPART_ARC
(7,16),-0.798142 # DEPENDENCYPART_ARC
(7,17),-1.57876 # DEPENDENCYPART_ARC
(7,18),-1.96095 # DEPENDENCYPART_ARC
(7,19),-0.0515694 # DEPENDENCYPART_ARC
(7,20),-0.981881 # DEPENDENCYPART_ARC
(7,21),-1.45281 # DEPENDENCYPART_ARC
(7,22),-2.27532 # DEPENDENCYPART_ARC
(7,23),-1.59493 # DEPENDENCYPART_ARC
(7,24),-2.71678 # DEPENDENCYPART_ARC
(7,25),-0.989728 # DEPENDENCYPART_ARC
(7,26),-2.70489 # DEPENDENCYPART_ARC
(7,27),-2.98675 # DEPENDENCYPART_ARC
(7,28),-2.98117 # DEPENDENCYPART_ARC
(7,29),-2.85536 # DEPENDENCYPART_ARC
(7,30),-1.72862 # DEPENDENCYPART_ARC
(8,1),-2.36584 # DEPENDENCYPART_ARC
(8,2),-2.33766 # DEPENDENCYPART_ARC
(8,3),-2.2291 # DEPENDENCYPART_ARC
(8,4),-1.17322 # DEPENDENCYPART_ARC
(8,5),-1.8626 # DEPENDENCYPART_ARC
(8,6),-0.963632 # DEPENDENCYPART_ARC
(8,7),-0.6336 # DEPENDENCYPART_ARC
(8,9),-0.640116 # DEPENDENCYPART_ARC
(8,10),0.148417 # DEPENDENCYPART_ARC
(8,11),-1.14485 # DEPENDENCYPART_ARC
(8,12),-1.66697 # DEPENDENCYPART_ARC
(8,13),-2.0708 # DEPENDENCYPART_ARC
(8,14),-2.08978 # DEPENDENCYPART_ARC
(8,15),-0.887567 # DEPENDENCYPART_ARC
(8,16),-1.09353 # DEPENDENCYPART_ARC
(8,17),-1.91574 # DEPENDENCYPART_ARC
(8,18),-3.4801 # DEPENDENCYPART_ARC
(8,19),-1.72576 # DEPENDENCYPART_ARC
(8,20),-3.25708 # DEPENDENCYPART_ARC
(8,21),-2.48243 # DEPENDENCYPART_ARC
(8,22),-4.3069 # DEPENDENCYPART_ARC
(8,23),-2.34103 # DEPENDENCYPART_ARC
(8,24),-5.06628 # DEPENDENCYPART_ARC
(8,25),-4.15499 # DEPENDENCYPART_ARC
(8,26),-5.51912 # DEPENDENCYPART_ARC
(8,27),-3.31507 # DEPENDENCYPART_ARC
(8,28),-3.11996 # DEPENDENCYPART_ARC
(8,29),-5.30556 # DEPENDENCYPART_ARC
(8,30),-2.77939 # DEPENDENCYPART_ARC
(9,1),-2.93149 # DEPENDENCYPART_ARC
(9,2),-2.84752 # DEPENDENCYPART_ARC
(9,3),-3.20927 # DEPENDENCYPART_ARC
(9,4),-2.00072 # DEPENDENCYPART_ARC
(9,5),-0.894557 # DEPENDENCYPART_ARC
(9,6),-3.22851 # DEPENDENCYPART_ARC
(9,7),-1.15471 # DEPENDENCYPART_ARC
(9,8),-0.305526 # DEPENDENCYPART_ARC
(9,10),-0.334009 # DEPENDENCYPART_ARC
(9,11),-0.189996 # DEPENDENCYPART_ARC
(9,12),-1.03442 # DEPENDENCYPART_ARC
(9,13),-1.7948 # DEPENDENCYPART_ARC
(9,14),-2.05335 # DEPENDENCYPART_ARC
(9,15),-0.5851 # DEPENDENCYPART_ARC
(9,16),-2.79064 # DEPENDENCYPART_ARC
(9,17),-3.30977 # DEPENDENCYPART_ARC
(9,18),-2.58252 # DEPENDENCYPART_ARC
(9,19),-1.16318 # DEPENDENCYPART_ARC
(9,20),-1.62531 # DEPENDENCYPART_ARC
(9,21),-0.665535 # DEPENDENCYPART_ARC
(9,22),-2.34486 # DEPENDENCYPART_ARC
(9,23),-4.1467 # DEPENDENCYPART_ARC
(9,24),-3.15456 # DEPENDENCYPART_ARC
(9,25),-1.54671 # DEPENDENCYPART_ARC
(9,26),-2.80521 # DEPENDENCYPART_ARC
(9,27),-4.51699 # DEPENDENCYPART_ARC
(9,28),-4.6052 # DEPENDENCYPART_ARC
(9,29),-3.03361 # DEPENDENCYPART_ARC
(9,30),-1.99436 # DEPENDENCYPART_ARC
(10,1),-1.31287 # DEPENDENCYPART_ARC
(10,2),-1.82706 # DEPENDENCYPART_ARC
(10,3),-0.81278 # DEPENDENCYPART_ARC
(10,4),-0.108639 # DEPENDENCYPART_ARC
(10,5),0.34299 # DEPENDENCYPART_ARC
(10,6),-2.52432 # DEPENDENCYPART_ARC
(10,7),-0.593541 # DEPENDENCYPART_ARC
(10,8),2.46744 # DEPENDENCYPART_ARC
(10,9),3.33914 # DEPENDENCYPART_ARC
(10,11),3.30634 # DEPENDENCYPART_ARC
(10,12),1.69525 # DEPENDENCYPART_ARC
(10,13),0.521167 # DEPENDENCYPART_ARC
(10,14),0.900737 # DEPENDENCYPART_ARC
(10,15),1.59266 # DEPENDENCYPART_ARC
(10,16),0.570801 # DEPENDENCYPART_ARC
(10,17),-2.97085 # DEPENDENCYPART_ARC
(10,18),0.335539 # DEPENDENCYPART_ARC
(10,19),0.464726 # DEPENDENCYPART_ARC
(10,20),-1.0596 # DEPENDENCYPART_ARC
(10,21),-4.12531 # DEPENDENCYPART_ARC
(10,22),-1.81875 # DEPENDENCYPART_ARC
(10,23),-0.359652 # DEPENDENCYPART_ARC
(10,24),-1.41719 # DEPENDENCYPART_ARC
(10,25),-0.294322 # DEPENDENCYPART_ARC
(10,26),-4.17172 # DEPENDENCYPART_ARC
(10,27),-4.61122 # DEPENDENCYPART_ARC
(10,28),-5.69431 # DEPENDENCYPART_ARC
(10,29),-3.87189 # DEPENDENCYPART_ARC
(10,30),-0.79825 # DEPENDENCYPART_ARC
(11,1),-2.53792 # DEPENDENCYPART_ARC
(11,2),-2.56958 # DEPENDENCYPART_ARC
(11,3),-2.81218 # DEPENDENCYPART_ARC
(11,4),-0.967702 # DEPENDENCYPART_ARC
(11,5),-1.39634 # DEPENDENCYPART_ARC
(11,6),-2.11006 # DEPENDENCYPART_ARC
(11,7),-1.38792 # DEPENDENCYPART_ARC
(11,8),-0.148256 # DEPENDENCYPART_ARC
(11,9),-0.758919 # DEPENDENCYPART_ARC
(11,10),-1.28607 # DEPENDENCYPART_ARC
(11,12),1.77858 # DEPENDENCYPART_ARC
(11,13),1.50554 # DEPENDENCYPART_ARC
(11,14),-0.750411 # DEPENDENCYPART_ARC
(11,15),0.38199 # DEPENDENCYPART_ARC
(11,16),0.575724 # DEPENDENCYPART_ARC
(11,17),-2.50612 # DEPENDENCYPART_ARC
(11,18),-2.6508 # DEPENDENCYPART_ARC
(11,19),0.216658 # DEPENDENCYPART_ARC
(11,20),-0.740044 # DEPENDENCYPART_ARC
(11,21),-1.86193 # DEPENDENCYPART_ARC
(11,22),-3.629 # DEPENDENCYPART_ARC
(11,23),-0.317141 # DEPENDENCYPART_ARC
(11,24),-5.16637 # DEPENDENCYPART_ARC
(11,25),-1.10723 # DEPENDENCYPART_ARC
(11,26),-5.77465 # DEPENDENCYPART_ARC
(11,27),-5.14208 # DEPENDENCYPART_ARC
(11,28),-5.24677 # DEPENDENCYPART_ARC
(11,29),-5.5303 # DEPENDENCYPART_ARC
(11,30),-3.14009 # DEPENDENCYPART_ARC
(12,1),-2.94179 # DEPENDENCYPART_ARC
(12,2),-2.95767 # DEPENDENCYPART_ARC
(12,3),-3.43083 # DEPENDENCYPART_ARC
(12,4),-2.19767 # DEPENDENCYPART_ARC
(12,5),-1.75806 # DEPENDENCYPART_ARC
(12,6),-2.39448 # DEPENDENCYPART_ARC
(12,7),-2.01129 # DEPENDENCYPART_ARC
(12,8),-0.605824 # DEPENDENCYPART_ARC
(12,9),-2.16792 # DEPENDENCYPART_ARC
(12,10),-1.32629 # DEPENDENCYPART_ARC
(12,11),-1.0399 # DEPENDENCYPART_ARC
(12,13),4.31194 # DEPENDENCYPART_ARC
(12,14),0.788485 # DEPENDENCYPART_ARC
(12,15),0.0877211 # DEPENDENCYPART_ARC
(12,16),-1.1177 # DEPENDENCYPART_ARC
(12,17),-1.96765 # DEPENDENCYPART_ARC
(12,18),-3.3245 # DEPENDENCYPART_ARC
(12,19),-1.50523 # DEPENDENCYPART_ARC
(12,20),-2.01554 # DEPENDENCYPART_ARC
(12,21),-2.61504 # DEPENDENCYPART_ARC
(12,22),-3.06689 # DEPENDENCYPART_ARC
(12,23),-2.10898 # DEPENDENCYPART_ARC
(12,24),-6.98037 # DEPENDENCYPART_ARC
(12,25),-2.22614 # DEPENDENCYPART_ARC
(12,26),-7.84792 # DEPENDENCYPART_ARC
(12,27),-3.49504 # DEPENDENCYPART_ARC
(12,28),-3.46978 # DEPENDENCYPART_ARC
(12,29),-9.55951 # DEPENDENCYPART_ARC
(12,30),-3.19893 # DEPENDENCYPART_ARC
(13,1),-5.64656 # DEPENDENCYPART_ARC
(13,2),-5.47479 # DEPENDENCYPART_ARC
(13,3),-7.27357 # DEPENDENCYPART_ARC
(13,4),-3.71512 # DEPENDENCYPART_ARC
(13,5),-2.16102 # DEPENDENCYPART_ARC
(13,6),-5.27246 # DEPENDENCYPART_ARC
(13,7),-0.338005 # DEPENDENCYPART_ARC
(13,8),-1.29252 # DEPENDENCYPART_ARC
(13,9),-3.46829 # DEPENDENCYPART_ARC
(13,10),-2.80042 # DEPENDENCYPART_ARC
(13,11),-5.25736 # DEPENDENCYPART_ARC
(13,12),0.618034 # DEPENDENCYPART_ARC
(13,14),2.75972 # DEPENDENCYPART_ARC
(13,15),-0.386785 # DEPENDENCYPART_ARC
(13,16),0.564905 # DEPENDENCYPART_ARC
(13,17),-1.89986 # DEPENDENCYPART_ARC
(13,18),-2.73286 # DEPENDENCYPART_ARC
(13,19),-0.0106847 # DEPENDENCYPART_ARC
(13,20),-0.931899 # DEPENDENCYPART_ARC
(13,21),-2.05312 # DEPENDENCYPART_ARC
(13,22),-2.11127 # DEPENDENCYPART_ARC
(13,23),-0.537606 # DEPENDENCYPART_ARC
(13,24),-5.45397 # DEPENDENCYPART_ARC
(13,25),-0.425612 # DEPENDENCYPART_ARC
(13,26),-2.95622 # DEPENDENCYPART_ARC
(13,27),-1.44527 # DEPENDENCYPART_ARC
(13,28),-1.99584 # DEPENDENCYPART_ARC
(13,29),-2.72787 # DEPENDENCYPART_ARC
(13,30),-7.00025 # DEPENDENCYPART_ARC
(14,1),-2.71723 # DEPENDENCYPART_ARC
(14,2),-2.35281 # DEPENDENCYPART_ARC
(14,3),-4.66941 # DEPENDENCYPART_ARC
(14,4),-3.04835 # DEPENDENCYPART_ARC
(14,5),-1.97915 # DEPENDENCYPART_ARC
(14,6),-3.79383 # DEPENDENCYPART_ARC
(14,7),-0.649255 # DEPENDENCYPART_ARC
(14,8),-1.32789 # DEPENDENCYPART_ARC
(14,9),-1.37801 # DEPENDENCYPART_ARC
(14,10),-1.41103 # DEPENDENCYPART_ARC
(14,11),-1.52811 # DEPENDENCYPART_ARC
(14,12),0.142455 # DEPENDENCYPART_ARC
(14,13),1.81032 # DEPENDENCYPART_ARC
(14,15),-0.0669793 # DEPENDENCYPART_ARC
(14,16),-0.46055 # DEPENDENCYPART_ARC
(14,17),-2.43874 # DEPENDENCYPART_ARC
(14,18),-2.4451 # DEPENDENCYPART_ARC
(14,19),0.0299792 # DEPENDENCYPART_ARC
(14,20),-1.90458 # DEPENDENCYPART_ARC
(14,21),-1.76762 # DEPENDENCYPART_ARC
(14,22),-3.26762 # DEPENDENCYPART_ARC
(14,23),-1.17872 # DEPENDENCYPART_ARC
(14,24),-5.94429 # DEPENDENCYPART_ARC
(14,25),-1.87344 # DEPENDENCYPART_ARC
(14,26),-4.40623 # DEPENDENCYPART_ARC
(14,27),-2.30817 # DEPENDENCYPART_ARC
(14,28),-2.90465 # DEPENDENCYPART_ARC
(14,29),-3.93125 # DEPENDENCYPART_ARC
(14,30),-6.79743 # DEPENDENCYPART_ARC
(15,1),-1.4297 # DEPENDENCYPART_ARC
(15,2),-1.45378 # DEPENDENCYPART_ARC
(15,3),-1.11515 # DEPENDENCYPART_ARC
(15,4),-0.276275 # DEPENDENCYPART_ARC
(15,5),-0.929617 # DEPENDENCYPART_ARC
(15,6),0.801749 # DEPENDENCYPART_ARC
(15,7),-0.209985 # DEPENDENCYPART_ARC
(15,8),0.363211 # DEPENDENCYPART_ARC
(15,9),0.442903 # DEPENDENCYPART_ARC
(15,10),0.522609 # DEPENDENCYPART_ARC
(15,11),-0.0861389 # DEPENDENCYPART_ARC
(15,12),0.280348 # DEPENDENCYPART_ARC
(15,13),1.05853 # DEPENDENCYPART_ARC
(15,14),0.292792 # DEPENDENCYPART_ARC
(15,16),0.543778 # DEPENDENCYPART_ARC
(15,17),-0.420149 # DEPENDENCYPART_ARC
(15,18),-0.272108 # DEPENDENCYPART_ARC
(15,19),-0.130851 # DEPENDENCYPART_ARC
(15,20),-0.861395 # DEPENDENCYPART_ARC
(15,21),-1.0441 # DEPENDENCYPART_ARC
(15,22),-1.90339 # DEPENDENCYPART_ARC
(15,23),-0.875713 # DEPENDENCYPART_ARC
(15,24),-2.69264 # DEPENDENCYPART_ARC
(15,25),-1.57034 # DEPENDENCYPART_ARC
(15,26),-2.99443 # DEPENDENCYPART_ARC
(15,27),-2.2861 # DEPENDENCYPART_ARC
(15,28),-2.3084 # DEPENDENCYPART_ARC
(15,29),-2.89355 # DEPENDENCYPART_ARC
(15,30),-0.908513 # DEPENDENCYPART_ARC
(16,1),-2.11402 # DEPENDENCYPART_ARC
(16,2),-2.58936 # DEPENDENCYPART_ARC
(16,3),-1.75759 # DEPENDENCYPART_ARC
(16,4),0.487717 # DEPENDENCYPART_ARC
(16,5),-0.363508 # DEPENDENCYPART_ARC
(16,6),-2.59705 # DEPENDENCYPART_ARC
(16,7),-0.154923 # DEPENDENCYPART_ARC
(16,8),0.21787 # DEPENDENCYPART_ARC
(16,9),-0.0413808 # DEPENDENCYPART_ARC
(16,10),-1.08021 # DEPENDENCYPART_ARC
(16,11),-1.278 # DEPENDENCYPART_ARC
(16,12),0.534215 # DEPENDENCYPART_ARC
(16,13),1.20311 # DEPENDENCYPART_ARC
(16,14),-0.542338 # DEPENDENCYPART_ARC
(16,15),-0.312135 # DEPENDENCYPART_ARC
(16,17),0.427202 # DEPENDENCYPART_ARC
(16,18),3.63042 # DEPENDENCYPART_ARC
(16,19),0.696838 # DEPENDENCYPART_ARC
(16,20),0.665474 # DEPENDENCYPART_ARC
(16,21),-0.659074 # DEPENDENCYPART_ARC
(16,22),-0.0921488 # DEPENDENCYPART_ARC
(16,23),0.249069 # DEPENDENCYPART_ARC
(16,24),0.623874 # DEPENDENCYPART_ARC
(16,25),0.751829 # DEPENDENCYPART_ARC
(16,26),-2.66068 # DEPENDENCYPART_ARC
(16,27),-2.30519 # DEPENDENCYPART_ARC
(16,28),-3.38808 # DEPENDENCYPART_ARC
(16,29),-1.2294 # DEPENDENCYPART_ARC
(16,30),-0.69046 # DEPENDENCYPART_ARC
(17,1),-6.1764 # DEPENDENCYPART_ARC
(17,2),-6.26425 # DEPENDENCYPART_ARC
(17,3),-6.4706 # DEPENDENCYPART_ARC
(17,4),-1.54692 # DEPENDENCYPART_ARC
(17,5),-3.16428 # DEPENDENCYPART_ARC
(17,6),-6.00549 # DEPENDENCYPART_ARC
(17,7),-2.86752 # DEPENDENCYPART_ARC
(17,8),-2.41811 # DEPENDENCYPART_ARC
