# _root_ Místo toho jsou jen profesionálně velmi slušně odvedeným , poutavým , leč značně konfekčním řemeslem .
#goldHeads=3,1,0,8,8,7,8,12,12,12,12,15,14,12,3,0,
#predictedHeads=3,1,0,5,3,7,8,9,12,9,12,3,14,15,12,0,
(5,9),-0.900465 # DEPENDENCYPART_ARC
(5,10),-2.19305 # DEPENDENCYPART_ARC
(5,11),-0.970198 # DEPENDENCYPART_ARC
(5,12),-0.950358 # DEPENDENCYPART_ARC
(5,13),-1.46112 # DEPENDENCYPART_ARC
(5,14),-2.79219 # DEPENDENCYPART_ARC
(5,15),-2.45599 # DEPENDENCYPART_ARC
(5,16),-1.81562 # DEPENDENCYPART_ARC
(6,1),-1.03267 # DEPENDENCYPART_ARC
(6,2),-1.02094 # DEPENDENCYPART_ARC
(6,3),-0.857877 # DEPENDENCYPART_ARC
(6,4),0.223222 # DEPENDENCYPART_ARC
(6,5),0.81952 # DEPENDENCYPART_ARC
(6,7),0.0953599 # DEPENDENCYPART_ARC
(6,8),-0.877773 # DEPENDENCYPART_ARC
(6,9),-0.917114 # DEPENDENCYPART_ARC
(6,10),-1.35357 # DEPENDENCYPART_ARC
(6,11),-1.30692 # DEPENDENCYPART_ARC
(6,12),-0.846597 # DEPENDENCYPART_ARC
(6,13),-1.42464 # DEPENDENCYPART_ARC
(6,14),-2.0368 # DEPENDENCYPART_ARC
(6,15),-2.40499 # DEPENDENCYPART_ARC
(6,16),-1.82906 # DEPENDENCYPART_ARC
(7,1),-1.06649 # DEPENDENCYPART_ARC
(7,2),0.208584 # DEPENDENCYPART_ARC
(7,3),-1.14342 # DEPENDENCYPART_ARC
(7,4),0.248334 # DEPENDENCYPART_ARC
(7,5),0.940516 # DEPENDENCYPART_ARC
(7,6),1.79915 # DEPENDENCYPART_ARC
(7,8),-1.33345 # DEPENDENCYPART_ARC
(7,9),-0.592863 # DEPENDENCYPART_ARC
(7,10),-2.10106 # DEPENDENCYPART_ARC
(7,11),-0.768453 # DEPENDENCYPART_ARC
(7,12),-0.646825 # DEPENDENCYPART_ARC
(7,13),-1.48593 # DEPENDENCYPART_ARC
(7,14),-2.97865 # DEPENDENCYPART_ARC
(7,15),-2.18795 # DEPENDENCYPART_ARC
(7,16),-1.34772 # DEPENDENCYPART_ARC
(8,1),-0.385172 # DEPENDENCYPART_ARC
(8,2),-2.21491 # DEPENDENCYPART_ARC
(8,3),-4.01507 # DEPENDENCYPART_ARC
(8,4),0.0100054 # DEPENDENCYPART_ARC
(8,5),0.596202 # DEPENDENCYPART_ARC
(8,6),1.12134 # DEPENDENCYPART_ARC
(8,7),2.28346 # DEPENDENCYPART_ARC
(8,9),0.373474 # DEPENDENCYPART_ARC
(8,10),-1.65239 # DEPENDENCYPART_ARC
(8,11),-0.515796 # DEPENDENCYPART_ARC
(8,12),0.344012 # DEPENDENCYPART_ARC
(8,13),-1.0569 # DEPENDENCYPART_ARC
(8,14),-3.04146 # DEPENDENCYPART_ARC
(8,15),-2.4619 # DEPENDENCYPART_ARC
(8,16),-1.40592 # DEPENDENCYPART_ARC
(9,1),-0.155215 # DEPENDENCYPART_ARC
(9,2),0.188337 # DEPENDENCYPART_ARC
(9,3),0.948218 # DEPENDENCYPART_ARC
(9,4),-0.180381 # DEPENDENCYPART_ARC
(9,5),0.253379 # DEPENDENCYPART_ARC
(9,6),0.54625 # DEPENDENCYPART_ARC
(9,7),0.723078 # DEPENDENCYPART_ARC
(9,8),1.92191 # DEPENDENCYPART_ARC
(9,10),2.09806 # DEPENDENCYPART_ARC
(9,11),0.791468 # DEPENDENCYPART_ARC
(9,12),0.565406 # DEPENDENCYPART_ARC
(9,13),-0.00281666 # DEPENDENCYPART_ARC
(9,14),1.80029 # DEPENDENCYPART_ARC
(9,15),-0.35924 # DEPENDENCYPART_ARC
(9,16),-0.0702095 # DEPENDENCYPART_ARC
(10,1),-0.940313 # DEPENDENCYPART_ARC
(10,2),-2.77282 # DEPENDENCYPART_ARC
(10,3),-4.61932 # DEPENDENCYPART_ARC
(10,4),-0.607906 # DEPENDENCYPART_ARC
(10,5),-0.188777 # DEPENDENCYPART_ARC
(10,6),-0.154533 # DEPENDENCYPART_ARC
(10,7),0.34948 # DEPENDENCYPART_ARC
(10,8),-0.490623 # DEPENDENCYPART_ARC
(10,9),1.16494 # DEPENDENCYPART_ARC
(10,11),0.777429 # DEPENDENCYPART_ARC
(10,12),0.280772 # DEPENDENCYPART_ARC
(10,13),-0.687067 # DEPENDENCYPART_ARC
(10,14),-2.45159 # DEPENDENCYPART_ARC
(10,15),-1.726 # DEPENDENCYPART_ARC
(10,16),-0.882874 # DEPENDENCYPART_ARC
(11,1),-0.822881 # DEPENDENCYPART_ARC
(11,2),-0.610445 # DEPENDENCYPART_ARC
(11,3),0.239534 # DEPENDENCYPART_ARC
(11,4),-1.0031 # DEPENDENCYPART_ARC
(11,5),-0.445482 # DEPENDENCYPART_ARC
(11,6),-0.420477 # DEPENDENCYPART_ARC
(11,7),-0.196024 # DEPENDENCYPART_ARC
(11,8),-0.283525 # DEPENDENCYPART_ARC
(11,9),0.661446 # DEPENDENCYPART_ARC
(11,10),0.0852568 # DEPENDENCYPART_ARC
(11,12),0.355379 # DEPENDENCYPART_ARC
(11,13),-0.191376 # DEPENDENCYPART_ARC
(11,14),1.36893 # DEPENDENCYPART_ARC
(11,15),-1.1161 # DEPENDENCYPART_ARC
(11,16),-0.830259 # DEPENDENCYPART_ARC
(12,1),-1.18842 # DEPENDENCYPART_ARC
(12,2),-1.16888 # DEPENDENCYPART_ARC
(12,3),-0.0632307 # DEPENDENCYPART_ARC
(12,4),-0.928912 # DEPENDENCYPART_ARC
(12,5),-0.329465 # DEPENDENCYPART_ARC
(12,6),-0.264727 # DEPENDENCYPART_ARC
(12,7),-0.368137 # DEPENDENCYPART_ARC
(12,8),0.886451 # DEPENDENCYPART_ARC
(12,9),1.07469 # DEPENDENCYPART_ARC
(12,10),1.21132 # DEPENDENCYPART_ARC
(12,11),2.32448 # DEPENDENCYPART_ARC
(12,13),0.52051 # DEPENDENCYPART_ARC
(12,14),1.74674 # DEPENDENCYPART_ARC
(12,15),0.430709 # DEPENDENCYPART_ARC
(12,16),0.142454 # DEPENDENCYPART_ARC
(13,1),-2.26393 # DEPENDENCYPART_ARC
(13,2),-0.865568 # DEPENDENCYPART_ARC
(13,3),-1.89385 # DEPENDENCYPART_ARC
(13,4),-1.19817 # DEPENDENCYPART_ARC
(13,5),-0.953218 # DEPENDENCYPART_ARC
(13,6),-0.623624 # DEPENDENCYPART_ARC
(13,7),-0.565682 # DEPENDENCYPART_ARC
(13,8),-1.74626 # DEPENDENCYPART_ARC
(13,9),-0.664744 # DEPENDENCYPART_ARC
(13,10),-1.38939 # DEPENDENCYPART_ARC
(13,11),-0.266826 # DEPENDENCYPART_ARC
(13,12),0.197222 # DEPENDENCYPART_ARC
(13,14),-0.979288 # DEPENDENCYPART_ARC
(13,15),-0.73952 # DEPENDENCYPART_ARC
(13,16),-0.321128 # DEPENDENCYPART_ARC
(14,1),-1.76356 # DEPENDENCYPART_ARC
(14,2),-3.87132 # DEPENDENCYPART_ARC
(14,3),-5.42586 # DEPENDENCYPART_ARC
(14,4),-1.29362 # DEPENDENCYPART_ARC
(14,5),-1.19401 # DEPENDENCYPART_ARC
(14,6),-1.38948 # DEPENDENCYPART_ARC
(14,7),-0.832762 # DEPENDENCYPART_ARC
(14,8),-2.67971 # DEPENDENCYPART_ARC
(14,9),-0.682407 # DEPENDENCYPART_ARC
(14,10),-2.05632 # DEPENDENCYPART_ARC
(14,11),-0.0339442 # DEPENDENCYPART_ARC
(14,12),0.403234 # DEPENDENCYPART_ARC
(14,13),2.27812 # DEPENDENCYPART_ARC
(14,15),0.297304 # DEPENDENCYPART_ARC
(14,16),-0.164358 # DEPENDENCYPART_ARC
(15,1),-1.99565 # DEPENDENCYPART_ARC
(15,2),0.350365 # DEPENDENCYPART_ARC
(15,3),-2.30777 # DEPENDENCYPART_ARC
(15,4),-0.503777 # DEPENDENCYPART_ARC
(15,5),-1.44544 # DEPENDENCYPART_ARC
(15,6),-1.09239 # DEPENDENCYPART_ARC
(15,7),-1.05147 # DEPENDENCYPART_ARC
(15,8),-0.191637 # DEPENDENCYPART_ARC
(15,9),0.975827 # DEPENDENCYPART_ARC
(15,10),0.60073 # DEPENDENCYPART_ARC
(15,11),1.04764 # DEPENDENCYPART_ARC
(15,12),1.188 # DEPENDENCYPART_ARC
(15,13),0.87318 # DEPENDENCYPART_ARC
(15,14),4.09578 # DEPENDENCYPART_ARC
(15,16),0.530008 # DEPENDENCYPART_ARC
(16,1),-4.83155 # DEPENDENCYPART_ARC
(16,2),-4.09513 # DEPENDENCYPART_ARC
(16,3),-4.48412 # DEPENDENCYPART_ARC
(16,4),-4.36085 # DEPENDENCYPART_ARC
(16,5),-3.89223 # DEPENDENCYPART_ARC
(16,6),-3.73687 # DEPENDENCYPART_ARC
(16,7),-3.63044 # DEPENDENCYPART_ARC
(16,8),-3.859 # DEPENDENCYPART_ARC
(16,9),-2.73074 # DEPENDENCYPART_ARC
(16,10),-3.59024 # DEPENDENCYPART_ARC
(16,11),-3.25198 # DEPENDENCYPART_ARC
(16,12),-3.4445 # DEPENDENCYPART_ARC
(16,13),-2.9644 # DEPENDENCYPART_ARC
(16,14),-3.13953 # DEPENDENCYPART_ARC
(16,15),-3.41863 # DEPENDENCYPART_ARC
