# _root_ Obecně ve světě platí , že takovéto osoby požívají zvláštní důstojnosti a nedotknutelnosti , uvedl Dobal .
#goldHeads=4,4,2,15,6,4,8,9,6,12,12,9,12,4,0,15,0,
#predictedHeads=4,4,2,0,6,4,8,9,6,11,12,9,12,6,0,15,0,
(7,9),-0.321418 # DEPENDENCYPART_ARC
(7,10),-1.46039 # DEPENDENCYPART_ARC
(7,11),-1.30046 # DEPENDENCYPART_ARC
(7,12),-0.310025 # DEPENDENCYPART_ARC
(7,13),-1.6248 # DEPENDENCYPART_ARC
(7,14),-0.659323 # DEPENDENCYPART_ARC
(7,15),-2.74949 # DEPENDENCYPART_ARC
(7,16),-2.24271 # DEPENDENCYPART_ARC
(7,17),-0.942223 # DEPENDENCYPART_ARC
(8,1),-1.49036 # DEPENDENCYPART_ARC
(8,2),-2.03782 # DEPENDENCYPART_ARC
(8,3),-5.03691 # DEPENDENCYPART_ARC
(8,4),-2.27057 # DEPENDENCYPART_ARC
(8,5),-0.0906628 # DEPENDENCYPART_ARC
(8,6),-0.18987 # DEPENDENCYPART_ARC
(8,7),5.22552 # DEPENDENCYPART_ARC
(8,9),-0.190865 # DEPENDENCYPART_ARC
(8,10),-2.03436 # DEPENDENCYPART_ARC
(8,11),0.338358 # DEPENDENCYPART_ARC
(8,12),-0.535083 # DEPENDENCYPART_ARC
(8,13),-1.56262 # DEPENDENCYPART_ARC
(8,14),-1.13257 # DEPENDENCYPART_ARC
(8,15),-4.18733 # DEPENDENCYPART_ARC
(8,16),-4.16541 # DEPENDENCYPART_ARC
(8,17),-3.61618 # DEPENDENCYPART_ARC
(9,1),0.327869 # DEPENDENCYPART_ARC
(9,2),-0.344484 # DEPENDENCYPART_ARC
(9,3),-1.51055 # DEPENDENCYPART_ARC
(9,4),-1.94069 # DEPENDENCYPART_ARC
(9,5),0.349668 # DEPENDENCYPART_ARC
(9,6),-0.0889277 # DEPENDENCYPART_ARC
(9,7),2.46226 # DEPENDENCYPART_ARC
(9,8),3.80803 # DEPENDENCYPART_ARC
(9,10),-2.70845 # DEPENDENCYPART_ARC
(9,11),0.834802 # DEPENDENCYPART_ARC
(9,12),0.99169 # DEPENDENCYPART_ARC
(9,13),-1.93288 # DEPENDENCYPART_ARC
(9,14),0.490044 # DEPENDENCYPART_ARC
(9,15),-3.16055 # DEPENDENCYPART_ARC
(9,16),-1.32839 # DEPENDENCYPART_ARC
(9,17),-1.06285 # DEPENDENCYPART_ARC
(10,1),-2.41307 # DEPENDENCYPART_ARC
(10,2),-2.53164 # DEPENDENCYPART_ARC
(10,3),-5.41055 # DEPENDENCYPART_ARC
(10,4),-4.87471 # DEPENDENCYPART_ARC
(10,5),-1.73709 # DEPENDENCYPART_ARC
(10,6),-1.58108 # DEPENDENCYPART_ARC
(10,7),-2.99688 # DEPENDENCYPART_ARC
(10,8),-3.65187 # DEPENDENCYPART_ARC
(10,9),-4.31672 # DEPENDENCYPART_ARC
(10,11),-0.457822 # DEPENDENCYPART_ARC
(10,12),0.18422 # DEPENDENCYPART_ARC
(10,13),-2.20316 # DEPENDENCYPART_ARC
(10,14),-0.952398 # DEPENDENCYPART_ARC
(10,15),-3.52181 # DEPENDENCYPART_ARC
(10,16),-3.34741 # DEPENDENCYPART_ARC
(10,17),-2.07816 # DEPENDENCYPART_ARC
(11,1),-3.15023 # DEPENDENCYPART_ARC
(11,2),-2.80624 # DEPENDENCYPART_ARC
(11,3),-6.52156 # DEPENDENCYPART_ARC
(11,4),-3.20603 # DEPENDENCYPART_ARC
(11,5),-1.83702 # DEPENDENCYPART_ARC
(11,6),-2.57316 # DEPENDENCYPART_ARC
(11,7),-3.05879 # DEPENDENCYPART_ARC
(11,8),-4.67225 # DEPENDENCYPART_ARC
(11,9),-2.16627 # DEPENDENCYPART_ARC
(11,10),4.04906 # DEPENDENCYPART_ARC
(11,12),-0.38501 # DEPENDENCYPART_ARC
(11,13),-0.439964 # DEPENDENCYPART_ARC
(11,14),-1.5046 # DEPENDENCYPART_ARC
(11,15),-3.0511 # DEPENDENCYPART_ARC
(11,16),-4.29 # DEPENDENCYPART_ARC
(11,17),-2.81539 # DEPENDENCYPART_ARC
(12,1),-0.674454 # DEPENDENCYPART_ARC
(12,2),-0.650997 # DEPENDENCYPART_ARC
(12,3),0.207208 # DEPENDENCYPART_ARC
(12,4),-0.0441317 # DEPENDENCYPART_ARC
(12,5),0.900741 # DEPENDENCYPART_ARC
(12,6),0.670037 # DEPENDENCYPART_ARC
(12,7),1.59456 # DEPENDENCYPART_ARC
(12,8),0.82345 # DEPENDENCYPART_ARC
(12,9),1.33769 # DEPENDENCYPART_ARC
(12,10),2.57352 # DEPENDENCYPART_ARC
(12,11),3.91083 # DEPENDENCYPART_ARC
(12,13),3.67445 # DEPENDENCYPART_ARC
(12,14),0.248151 # DEPENDENCYPART_ARC
(12,15),0.485599 # DEPENDENCYPART_ARC
(12,16),-0.0108976 # DEPENDENCYPART_ARC
(12,17),-0.697106 # DEPENDENCYPART_ARC
(13,1),-3.96723 # DEPENDENCYPART_ARC
(13,2),-4.04755 # DEPENDENCYPART_ARC
(13,3),-8.33524 # DEPENDENCYPART_ARC
(13,4),-3.71749 # DEPENDENCYPART_ARC
(13,5),-2.23481 # DEPENDENCYPART_ARC
(13,6),-3.84937 # DEPENDENCYPART_ARC
(13,7),-4.3347 # DEPENDENCYPART_ARC
(13,8),-6.23197 # DEPENDENCYPART_ARC
(13,9),-3.31025 # DEPENDENCYPART_ARC
(13,10),0.743317 # DEPENDENCYPART_ARC
(13,11),-2.57933 # DEPENDENCYPART_ARC
(13,12),-0.574007 # DEPENDENCYPART_ARC
(13,14),-0.969235 # DEPENDENCYPART_ARC
(13,15),-2.28481 # DEPENDENCYPART_ARC
(13,16),-3.01405 # DEPENDENCYPART_ARC
(13,17),-1.77979 # DEPENDENCYPART_ARC
(14,1),-1.51655 # DEPENDENCYPART_ARC
(14,2),-2.19248 # DEPENDENCYPART_ARC
(14,3),-0.709988 # DEPENDENCYPART_ARC
(14,4),-0.226824 # DEPENDENCYPART_ARC
(14,5),-0.241683 # DEPENDENCYPART_ARC
(14,6),-0.265408 # DEPENDENCYPART_ARC
(14,7),-0.500302 # DEPENDENCYPART_ARC
(14,8),-0.172679 # DEPENDENCYPART_ARC
(14,9),0.39976 # DEPENDENCYPART_ARC
(14,10),-0.238965 # DEPENDENCYPART_ARC
(14,11),0.542386 # DEPENDENCYPART_ARC
(14,12),-0.37957 # DEPENDENCYPART_ARC
(14,13),-0.190408 # DEPENDENCYPART_ARC
(14,15),0.370512 # DEPENDENCYPART_ARC
(14,16),-0.297895 # DEPENDENCYPART_ARC
(14,17),-0.0518942 # DEPENDENCYPART_ARC
(15,1),-0.41932 # DEPENDENCYPART_ARC
(15,2),-1.61061 # DEPENDENCYPART_ARC
(15,3),-3.07255 # DEPENDENCYPART_ARC
(15,4),-1.14277 # DEPENDENCYPART_ARC
(15,5),-0.488266 # DEPENDENCYPART_ARC
(15,6),-0.643697 # DEPENDENCYPART_ARC
(15,7),-1.13562 # DEPENDENCYPART_ARC
(15,8),-0.977847 # DEPENDENCYPART_ARC
(15,9),-0.442635 # DEPENDENCYPART_ARC
(15,10),-4.03774 # DEPENDENCYPART_ARC
(15,11),-2.63882 # DEPENDENCYPART_ARC
(15,12),0.274867 # DEPENDENCYPART_ARC
(15,13),-1.88977 # DEPENDENCYPART_ARC
(15,14),-0.204047 # DEPENDENCYPART_ARC
(15,16),3.89623 # DEPENDENCYPART_ARC
(15,17),0.281329 # DEPENDENCYPART_ARC
(16,1),-4.81114 # DEPENDENCYPART_ARC
(16,2),-3.15121 # DEPENDENCYPART_ARC
(16,3),-7.91409 # DEPENDENCYPART_ARC
(16,4),-4.25187 # DEPENDENCYPART_ARC
(16,5),-2.05188 # DEPENDENCYPART_ARC
(16,6),-3.63226 # DEPENDENCYPART_ARC
(16,7),-3.55274 # DEPENDENCYPART_ARC
(16,8),-5.77872 # DEPENDENCYPART_ARC
(16,9),-3.70731 # DEPENDENCYPART_ARC
(16,10),-3.63861 # DEPENDENCYPART_ARC
(16,11),-4.0062 # DEPENDENCYPART_ARC
(16,12),-1.27123 # DEPENDENCYPART_ARC
(16,13),-3.79545 # DEPENDENCYPART_ARC
(16,14),-1.09872 # DEPENDENCYPART_ARC
(16,15),-3.27877 # DEPENDENCYPART_ARC
(16,17),0.730401 # DEPENDENCYPART_ARC
(17,1),-4.32141 # DEPENDENCYPART_ARC
(17,2),-5.6355 # DEPENDENCYPART_ARC
(17,3),-4.76338 # DEPENDENCYPART_ARC
(17,4),-4.48046 # DEPENDENCYPART_ARC
(17,5),-4.16415 # DEPENDENCYPART_ARC
(17,6),-3.84125 # DEPENDENCYPART_ARC
(17,7),-3.47698 # DEPENDENCYPART_ARC
(17,8),-4.21435 # DEPENDENCYPART_ARC
(17,9),-3.73998 # DEPENDENCYPART_ARC
(17,10),-3.39291 # DEPENDENCYPART_ARC
(17,11),-3.2657 # DEPENDENCYPART_ARC
(17,12),-4.04119 # DEPENDENCYPART_ARC
(17,13),-2.94366 # DEPENDENCYPART_ARC
(17,14),-2.36573 # DEPENDENCYPART_ARC
(17,15),-3.04223 # DEPENDENCYPART_ARC
(17,16),-2.57088 # DEPENDENCYPART_ARC
