# _root_ Program třítýdenní přehlídky , jejíž hlavní část začne v úterý vypuštěním balónu České spořitelny , je zaměřen především na hudbu a výtvarné umění .
#goldHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
#predictedHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,19,19,23,21,0,
(7,9),-1.12606 # DEPENDENCYPART_ARC
(7,10),-4.44089 # DEPENDENCYPART_ARC
(7,11),-2.8063 # DEPENDENCYPART_ARC
(7,12),-0.910901 # DEPENDENCYPART_ARC
(7,13),-1.69735 # DEPENDENCYPART_ARC
(7,14),-1.72401 # DEPENDENCYPART_ARC
(7,15),-1.56719 # DEPENDENCYPART_ARC
(7,16),-3.68581 # DEPENDENCYPART_ARC
(7,17),-3.3359 # DEPENDENCYPART_ARC
(7,18),-1.7816 # DEPENDENCYPART_ARC
(7,19),-2.73296 # DEPENDENCYPART_ARC
(7,20),-7.90735 # DEPENDENCYPART_ARC
(7,21),-1.35344 # DEPENDENCYPART_ARC
(7,22),-5.83203 # DEPENDENCYPART_ARC
(7,23),-8.22099 # DEPENDENCYPART_ARC
(7,24),-7.78486 # DEPENDENCYPART_ARC
(8,1),2.38331 # DEPENDENCYPART_ARC
(8,2),-4.46388 # DEPENDENCYPART_ARC
(8,3),-2.29246 # DEPENDENCYPART_ARC
(8,4),1.85356 # DEPENDENCYPART_ARC
(8,5),0.260416 # DEPENDENCYPART_ARC
(8,6),0.446859 # DEPENDENCYPART_ARC
(8,7),2.96784 # DEPENDENCYPART_ARC
(8,9),2.80297 # DEPENDENCYPART_ARC
(8,10),1.48572 # DEPENDENCYPART_ARC
(8,11),2.71436 # DEPENDENCYPART_ARC
(8,12),0.981241 # DEPENDENCYPART_ARC
(8,13),-2.75399 # DEPENDENCYPART_ARC
(8,14),-0.409535 # DEPENDENCYPART_ARC
(8,15),1.13521 # DEPENDENCYPART_ARC
(8,16),-1.81301 # DEPENDENCYPART_ARC
(8,17),0.110332 # DEPENDENCYPART_ARC
(8,18),-1.52137 # DEPENDENCYPART_ARC
(8,19),0.0117931 # DEPENDENCYPART_ARC
(8,20),-1.51198 # DEPENDENCYPART_ARC
(8,21),-0.799982 # DEPENDENCYPART_ARC
(8,22),-4.83659 # DEPENDENCYPART_ARC
(8,23),-1.04001 # DEPENDENCYPART_ARC
(8,24),-0.245831 # DEPENDENCYPART_ARC
(9,1),-4.2262 # DEPENDENCYPART_ARC
(9,2),-3.73541 # DEPENDENCYPART_ARC
(9,3),-4.04314 # DEPENDENCYPART_ARC
(9,4),-1.83846 # DEPENDENCYPART_ARC
(9,6),-3.17873 # DEPENDENCYPART_ARC
(9,7),-3.43877 # DEPENDENCYPART_ARC
(9,8),-2.07706 # DEPENDENCYPART_ARC
(9,10),3.64593 # DEPENDENCYPART_ARC
(9,11),-1.06237 # DEPENDENCYPART_ARC
(9,12),-4.46125 # DEPENDENCYPART_ARC
(9,13),-2.6457 # DEPENDENCYPART_ARC
(9,14),-5.88338 # DEPENDENCYPART_ARC
(9,15),-0.376508 # DEPENDENCYPART_ARC
(9,16),-1.90399 # DEPENDENCYPART_ARC
(9,18),-1.52733 # DEPENDENCYPART_ARC
(9,19),-2.52805 # DEPENDENCYPART_ARC
(9,20),-5.69509 # DEPENDENCYPART_ARC
(9,21),-2.50907 # DEPENDENCYPART_ARC
(9,22),-2.10929 # DEPENDENCYPART_ARC
(9,23),-7.41988 # DEPENDENCYPART_ARC
(9,24),-3.27588 # DEPENDENCYPART_ARC
(10,1),-6.1603 # DEPENDENCYPART_ARC
(10,2),-5.03966 # DEPENDENCYPART_ARC
(10,3),-6.40225 # DEPENDENCYPART_ARC
(10,4),-1.85561 # DEPENDENCYPART_ARC
(10,5),-0.692628 # DEPENDENCYPART_ARC
(10,6),-4.20697 # DEPENDENCYPART_ARC
(10,7),-5.8738 # DEPENDENCYPART_ARC
(10,8),-1.97531 # DEPENDENCYPART_ARC
(10,9),1.33163 # DEPENDENCYPART_ARC
(10,11),1.60763 # DEPENDENCYPART_ARC
(10,12),1.76801 # DEPENDENCYPART_ARC
(10,13),-2.1663 # DEPENDENCYPART_ARC
(10,14),-0.00597295 # DEPENDENCYPART_ARC
(10,15),-1.46909 # DEPENDENCYPART_ARC
(10,16),-2.44039 # DEPENDENCYPART_ARC
(10,17),-1.86597 # DEPENDENCYPART_ARC
(10,18),-1.6849 # DEPENDENCYPART_ARC
(10,19),-2.14228 # DEPENDENCYPART_ARC
(10,20),-4.82406 # DEPENDENCYPART_ARC
(10,21),-0.962159 # DEPENDENCYPART_ARC
(10,22),-2.21479 # DEPENDENCYPART_ARC
(10,23),-4.76301 # DEPENDENCYPART_ARC
(10,24),-6.60799 # DEPENDENCYPART_ARC
(11,1),-4.67304 # DEPENDENCYPART_ARC
(11,2),-5.21312 # DEPENDENCYPART_ARC
(11,3),-6.04567 # DEPENDENCYPART_ARC
(11,4),-1.29582 # DEPENDENCYPART_ARC
(11,5),-0.00556056 # DEPENDENCYPART_ARC
(11,6),-4.52329 # DEPENDENCYPART_ARC
(11,7),-5.03378 # DEPENDENCYPART_ARC
(11,8),-1.41745 # DEPENDENCYPART_ARC
(11,9),0.560302 # DEPENDENCYPART_ARC
(11,10),0.0617018 # DEPENDENCYPART_ARC
(11,12),3.77466 # DEPENDENCYPART_ARC
(11,13),-0.286161 # DEPENDENCYPART_ARC
(11,14),1.4 # DEPENDENCYPART_ARC
(11,15),-0.0239923 # DEPENDENCYPART_ARC
(11,16),-1.3559 # DEPENDENCYPART_ARC
(11,17),-1.11413 # DEPENDENCYPART_ARC
(11,18),-0.501682 # DEPENDENCYPART_ARC
(11,19),-0.740649 # DEPENDENCYPART_ARC
(11,20),-4.74882 # DEPENDENCYPART_ARC
(11,21),0.0889764 # DEPENDENCYPART_ARC
(11,22),-2.28769 # DEPENDENCYPART_ARC
(11,23),-4.71707 # DEPENDENCYPART_ARC
(11,24),-4.69925 # DEPENDENCYPART_ARC
(12,1),-4.29776 # DEPENDENCYPART_ARC
(12,2),-1.67726 # DEPENDENCYPART_ARC
(12,3),-4.01665 # DEPENDENCYPART_ARC
(12,4),-1.29684 # DEPENDENCYPART_ARC
(12,5),-1.17915 # DEPENDENCYPART_ARC
(12,6),-3.71451 # DEPENDENCYPART_ARC
(12,7),-4.08798 # DEPENDENCYPART_ARC
(12,8),-1.83222 # DEPENDENCYPART_ARC
(12,9),0.387775 # DEPENDENCYPART_ARC
(12,10),-1.12236 # DEPENDENCYPART_ARC
(12,11),-1.85542 # DEPENDENCYPART_ARC
(12,13),0.85809 # DEPENDENCYPART_ARC
(12,14),3.27612 # DEPENDENCYPART_ARC
(12,15),-0.0545214 # DEPENDENCYPART_ARC
(12,16),-1.17061 # DEPENDENCYPART_ARC
(12,17),-0.448962 # DEPENDENCYPART_ARC
(12,18),-0.498792 # DEPENDENCYPART_ARC
(12,19),-1.08532 # DEPENDENCYPART_ARC
(12,20),-5.19139 # DEPENDENCYPART_ARC
(12,21),0.225256 # DEPENDENCYPART_ARC
(12,22),-4.3155 # DEPENDENCYPART_ARC
(12,23),-4.63754 # DEPENDENCYPART_ARC
(12,24),-3.95723 # DEPENDENCYPART_ARC
(13,1),-4.27424 # DEPENDENCYPART_ARC
(13,2),-3.2827 # DEPENDENCYPART_ARC
(13,3),-3.65274 # DEPENDENCYPART_ARC
(13,4),-2.03362 # DEPENDENCYPART_ARC
(13,6),-4.39281 # DEPENDENCYPART_ARC
(13,7),-4.29795 # DEPENDENCYPART_ARC
(13,8),-4.1376 # DEPENDENCYPART_ARC
(13,9),-0.573103 # DEPENDENCYPART_ARC
(13,10),-1.65711 # DEPENDENCYPART_ARC
(13,11),-0.51824 # DEPENDENCYPART_ARC
(13,12),-0.273615 # DEPENDENCYPART_ARC
(13,14),0.655199 # DEPENDENCYPART_ARC
(13,15),-0.847844 # DEPENDENCYPART_ARC
(13,16),-2.76725 # DEPENDENCYPART_ARC
(13,17),-3.42403 # DEPENDENCYPART_ARC
(13,18),-1.25153 # DEPENDENCYPART_ARC
(13,19),-1.69905 # DEPENDENCYPART_ARC
(13,20),-5.35191 # DEPENDENCYPART_ARC
(13,21),-1.33613 # DEPENDENCYPART_ARC
(13,22),-5.24537 # DEPENDENCYPART_ARC
(13,23),-4.63082 # DEPENDENCYPART_ARC
(13,24),-2.51283 # DEPENDENCYPART_ARC
(14,1),-5.4771 # DEPENDENCYPART_ARC
(14,2),-0.107962 # DEPENDENCYPART_ARC
(14,3),-4.42967 # DEPENDENCYPART_ARC
(14,4),-2.00465 # DEPENDENCYPART_ARC
(14,5),0.21833 # DEPENDENCYPART_ARC
(14,6),-2.45627 # DEPENDENCYPART_ARC
(14,7),-4.558 # DEPENDENCYPART_ARC
(14,8),-2.28204 # DEPENDENCYPART_ARC
(14,9),-1.36238 # DEPENDENCYPART_ARC
(14,10),-2.69115 # DEPENDENCYPART_ARC
(14,11),-3.21178 # DEPENDENCYPART_ARC
(14,12),-0.425993 # DEPENDENCYPART_ARC
(14,13),5.31684 # DEPENDENCYPART_ARC
(14,15),-0.606085 # DEPENDENCYPART_ARC
(14,16),-1.53186 # DEPENDENCYPART_ARC
(14,17),-0.568759 # DEPENDENCYPART_ARC
(14,18),-1.36588 # DEPENDENCYPART_ARC
(14,19),-2.18087 # DEPENDENCYPART_ARC
(14,20),-6.59782 # DEPENDENCYPART_ARC
(14,21),-0.980836 # DEPENDENCYPART_ARC
(14,22),-5.19204 # DEPENDENCYPART_ARC
(14,23),-6.75763 # DEPENDENCYPART_ARC
(14,24),-3.89103 # DEPENDENCYPART_ARC
(15,1),-1.43061 # DEPENDENCYPART_ARC
(15,2),-1.52127 # DEPENDENCYPART_ARC
(15,3),-0.996569 # DEPENDENCYPART_ARC
(15,4),-0.296096 # DEPENDENCYPART_ARC
(15,6),-1.35686 # DEPENDENCYPART_ARC
(15,7),-0.214865 # DEPENDENCYPART_ARC
(15,8),0.271499 # DEPENDENCYPART_ARC
(15,9),-0.162168 # DEPENDENCYPART_ARC
(15,10),0.811105 # DEPENDENCYPART_ARC
(15,11),0.349809 # DEPENDENCYPART_ARC
(15,12),0.252554 # DEPENDENCYPART_ARC
(15,13),-0.213733 # DEPENDENCYPART_ARC
(15,14),-0.202892 # DEPENDENCYPART_ARC
(15,16),0.00535371 # DEPENDENCYPART_ARC
(15,17),-0.31338 # DEPENDENCYPART_ARC
(15,18),-0.748407 # DEPENDENCYPART_ARC
(15,19),-1.22249 # DEPENDENCYPART_ARC
(15,20),-1.82459 # DEPENDENCYPART_ARC
(15,21),-0.461296 # DEPENDENCYPART_ARC
(15,22),-1.8181 # DEPENDENCYPART_ARC
(15,23),-2.32668 # DEPENDENCYPART_ARC
(15,24),-0.306089 # DEPENDENCYPART_ARC
(16,1),1.66512 # DEPENDENCYPART_ARC
(16,2),-6.0093 # DEPENDENCYPART_ARC
(16,3),-2.78993 # DEPENDENCYPART_ARC
(16,4),-0.0916908 # DEPENDENCYPART_ARC
(16,5),-2.71502 # DEPENDENCYPART_ARC
(16,6),-2.28361 # DEPENDENCYPART_ARC
(16,7),1.04063 # DEPENDENCYPART_ARC
(16,8),-1.08747 # DEPENDENCYPART_ARC
(16,9),-1.19462 # DEPENDENCYPART_ARC
(16,10),0.106308 # DEPENDENCYPART_ARC
(16,11),0.699948 # DEPENDENCYPART_ARC
(16,12),-1.65554 # DEPENDENCYPART_ARC
(16,13),-3.1522 # DEPENDENCYPART_ARC
(16,14),-1.87718 # DEPENDENCYPART_ARC
(16,15),-0.0221113 # DEPENDENCYPART_ARC
(16,17),3.77371 # DEPENDENCYPART_ARC
(16,18),0.48721 # DEPENDENCYPART_ARC
(16,19),1.01272 # DEPENDENCYPART_ARC
(16,20),0.0815977 # DEPENDENCYPART_ARC
(16,21),0.215404 # DEPENDENCYPART_ARC
(16,22),-2.25694 # DEPENDENCYPART_ARC
(16,23),-0.0892017 # DEPENDENCYPART_ARC
(16,24),-0.207602 # DEPENDENCYPART_ARC
(17,1),0.13524 # DEPENDENCYPART_ARC
(17,2),-8.08923 # DEPENDENCYPART_ARC
(17,3),-4.18015 # DEPENDENCYPART_ARC
(17,4),-0.908831 # DEPENDENCYPART_ARC
(17,6),-4.632 # DEPENDENCYPART_ARC
(17,7),-0.306689 # DEPENDENCYPART_ARC
(17,8),-2.49699 # DEPENDENCYPART_ARC
(17,9),-0.886385 # DEPENDENCYPART_ARC
(17,10),-2.77895 # DEPENDENCYPART_ARC
(17,11),-1.08987 # DEPENDENCYPART_ARC
(17,12),-2.25566 # DEPENDENCYPART_ARC
(17,13),-5.76269 # DEPENDENCYPART_ARC
(17,14),-3.20626 # DEPENDENCYPART_ARC
(17,15),-1.12236 # DEPENDENCYPART_ARC
(17,16),1.65729 # DEPENDENCYPART_ARC
(17,18),0.378344 # DEPENDENCYPART_ARC
(17,19),1.64959 # DEPENDENCYPART_ARC
(17,20),-0.712293 # DEPENDENCYPART_ARC
(17,21),0.349658 # DEPENDENCYPART_ARC
(17,22),-4.17532 # DEPENDENCYPART_ARC
(17,23),-0.658218 # DEPENDENCYPART_ARC
(17,24),-0.301305 # DEPENDENCYPART_ARC
(18,1),-3.187 # DEPENDENCYPART_ARC
(18,2),-2.88804 # DEPENDENCYPART_ARC
(18,3),-3.0592 # DEPENDENCYPART_ARC
(18,4),-2.61298 # DEPENDENCYPART_ARC
(18,6),-2.67062 # DEPENDENCYPART_ARC
(18,7),-2.87453 # DEPENDENCYPART_ARC
(18,8),-1.93613 # DEPENDENCYPART_ARC
(18,9),-1.72524 # DEPENDENCYPART_ARC
(18,10),-2.21417 # DEPENDENCYPART_ARC
(18,11),-2.28296 # DEPENDENCYPART_ARC
(18,12),-2.02417 # DEPENDENCYPART_ARC
(18,13),-1.56476 # DEPENDENCYPART_ARC
(18,14),-1.84044 # DEPENDENCYPART_ARC
(18,15),-1.2146 # DEPENDENCYPART_ARC
(18,16),-0.65039 # DEPENDENCYPART_ARC
(18,17),-0.697869 # DEPENDENCYPART_ARC
(18,19),-0.11139 # DEPENDENCYPART_ARC
(18,20),-0.574852 # DEPENDENCYPART_ARC
(18,21),-0.536782 # DEPENDENCYPART_ARC
(18,22),-1.32561 # DEPENDENCYPART_ARC
(18,23),-1.76551 # DEPENDENCYPART_ARC
(18,24),-0.915849 # DEPENDENCYPART_ARC
(19,1),-4.33177 # DEPENDENCYPART_ARC
(19,2),-3.45704 # DEPENDENCYPART_ARC
(19,3),-4.16269 # DEPENDENCYPART_ARC
(19,4),-3.50515 # DEPENDENCYPART_ARC
(19,6),-3.58565 # DEPENDENCYPART_ARC
(19,7),-4.46616 # DEPENDENCYPART_ARC
(19,8),-3.27814 # DEPENDENCYPART_ARC
(19,9),-1.85782 # DEPENDENCYPART_ARC
(19,10),-2.38964 # DEPENDENCYPART_ARC
(19,11),-2.12575 # DEPENDENCYPART_ARC
(19,12),-1.99318 # DEPENDENCYPART_ARC
(19,13),-2.80022 # DEPENDENCYPART_ARC
(19,14),-2.48417 # DEPENDENCYPART_ARC
(19,15),-0.866607 # DEPENDENCYPART_ARC
(19,16),-2.19068 # DEPENDENCYPART_ARC
(19,18),0.234587 # DEPENDENCYPART_ARC
(19,20),4.14183 # DEPENDENCYPART_ARC
(19,21),1.66766 # DEPENDENCYPART_ARC
(19,22),0.197341 # DEPENDENCYPART_ARC
(19,23),0.53237 # DEPENDENCYPART_ARC
(19,24),-0.251718 # DEPENDENCYPART_ARC
(20,1),-7.0242 # DEPENDENCYPART_ARC
(20,2),-5.64733 # DEPENDENCYPART_ARC
(20,3),-6.64285 # DEPENDENCYPART_ARC
(20,4),-3.41198 # DEPENDENCYPART_ARC
(20,5),-2.23703 # DEPENDENCYPART_ARC
(20,6),-6.21943 # DEPENDENCYPART_ARC
(20,7),-6.37929 # DEPENDENCYPART_ARC
(20,8),-2.98773 # DEPENDENCYPART_ARC
(20,9),-2.39224 # DEPENDENCYPART_ARC
(20,10),-2.3437 # DEPENDENCYPART_ARC
(20,11),-4.46962 # DEPENDENCYPART_ARC
(20,12),-4.12731 # DEPENDENCYPART_ARC
(20,13),-2.82408 # DEPENDENCYPART_ARC
(20,14),-4.44146 # DEPENDENCYPART_ARC
(20,15),-1.96715 # DEPENDENCYPART_ARC
(20,16),-1.67116 # DEPENDENCYPART_ARC
(20,17),-0.971626 # DEPENDENCYPART_ARC
(20,18),1.42764 # DEPENDENCYPART_ARC
(20,19),0.273574 # DEPENDENCYPART_ARC
(20,21),-0.221256 # DEPENDENCYPART_ARC
(20,22),-1.0593 # DEPENDENCYPART_ARC
(20,23),-1.45087 # DEPENDENCYPART_ARC
(20,24),-1.44326 # DEPENDENCYPART_ARC
(21,1),-0.144646 # DEPENDENCYPART_ARC
(21,2),-1.97907 # DEPENDENCYPART_ARC
(21,3),0.426475 # DEPENDENCYPART_ARC
(21,4),-0.0739091 # DEPENDENCYPART_ARC
(21,5),-0.267174 # DEPENDENCYPART_ARC
(21,6),-1.41141 # DEPENDENCYPART_ARC
(21,7),-0.276247 # DEPENDENCYPART_ARC
(21,8),-0.676073 # DEPENDENCYPART_ARC
(21,9),-0.259371 # DEPENDENCYPART_ARC
(21,10),1.19587 # DEPENDENCYPART_ARC
(21,11),0.689432 # DEPENDENCYPART_ARC
(21,12),0.294403 # DEPENDENCYPART_ARC
(21,13),-0.345909 # DEPENDENCYPART_ARC
(21,14),1.27496 # DEPENDENCYPART_ARC
(21,15),0.388702 # DEPENDENCYPART_ARC
(21,16),0.922256 # DEPENDENCYPART_ARC
(21,17),1.17647 # DEPENDENCYPART_ARC
(21,18),1.679 # DEPENDENCYPART_ARC
(21,19),0.936058 # DEPENDENCYPART_ARC
(21,20),4.10674 # DEPENDENCYPART_ARC
(21,22),0.976055 # DEPENDENCYPART_ARC
(21,23),3.16987 # DEPENDENCYPART_ARC
(21,24),0.055024 # DEPENDENCYPART_ARC
(22,1),-7.19982 # DEPENDENCYPART_ARC
(22,2),-6.98217 # DEPENDENCYPART_ARC
(22,3),-7.25666 # DEPENDENCYPART_ARC
(22,4),-4.82755 # DEPENDENCYPART_ARC
(22,6),-7.13117 # DEPENDENCYPART_ARC
(22,7),-7.55397 # DEPENDENCYPART_ARC
(22,8),-5.64029 # DEPENDENCYPART_ARC
(22,9),-3.75475 # DEPENDENCYPART_ARC
(22,10),-4.52757 # DEPENDENCYPART_ARC
(22,11),-3.46352 # DEPENDENCYPART_ARC
(22,12),-5.52895 # DEPENDENCYPART_ARC
(22,13),-5.89264 # DEPENDENCYPART_ARC
(22,14),-6.17793 # DEPENDENCYPART_ARC
(22,15),-3.1178 # DEPENDENCYPART_ARC
(22,16),-5.04756 # DEPENDENCYPART_ARC
(22,17),-4.76671 # DEPENDENCYPART_ARC
(22,18),-2.86994 # DEPENDENCYPART_ARC
(22,19),-1.76962 # DEPENDENCYPART_ARC
(22,20),-2.75007 # DEPENDENCYPART_ARC
(22,21),-1.34178 # DEPENDENCYPART_ARC
(22,23),-0.975887 # DEPENDENCYPART_ARC
(22,24),-0.207532 # DEPENDENCYPART_ARC
(23,1),-7.61612 # DEPENDENCYPART_ARC
(23,2),-6.61366 # DEPENDENCYPART_ARC
(23,3),-8.41919 # DEPENDENCYPART_ARC
(23,4),-2.93456 # DEPENDENCYPART_ARC
(23,5),-2.34704 # DEPENDENCYPART_ARC
(23,6),-6.78256 # DEPENDENCYPART_ARC
(23,7),-8.12299 # DEPENDENCYPART_ARC
(23,8),-2.50649 # DEPENDENCYPART_ARC
(23,9),-2.94575 # DEPENDENCYPART_ARC
(23,10),-2.49196 # DEPENDENCYPART_ARC
(23,11),-4.49249 # DEPENDENCYPART_ARC
(23,12),-4.22425 # DEPENDENCYPART_ARC
(23,13),-3.74248 # DEPENDENCYPART_ARC
