# _root_ " I když se Taliban dostal těsně ke Kábulu , nevěříme , že na něj zaútočí .
#goldHeads=3,3,11,6,6,3,6,7,8,3,0,13,11,16,14,13,0,
#predictedHeads=6,3,11,6,6,3,6,6,8,3,0,13,11,16,14,13,0,
(5,9),-1.93586 # DEPENDENCYPART_ARC
(5,10),-1.50948 # DEPENDENCYPART_ARC
(5,11),-4.60536 # DEPENDENCYPART_ARC
(5,12),-1.57934 # DEPENDENCYPART_ARC
(5,13),-2.24171 # DEPENDENCYPART_ARC
(5,14),-3.86784 # DEPENDENCYPART_ARC
(5,16),-5.82255 # DEPENDENCYPART_ARC
(5,17),-3.84191 # DEPENDENCYPART_ARC
(6,1),0.775574 # DEPENDENCYPART_ARC
(6,2),0.105311 # DEPENDENCYPART_ARC
(6,3),1.13357 # DEPENDENCYPART_ARC
(6,4),3.86995 # DEPENDENCYPART_ARC
(6,5),2.63055 # DEPENDENCYPART_ARC
(6,7),1.82871 # DEPENDENCYPART_ARC
(6,8),2.43811 # DEPENDENCYPART_ARC
(6,9),0.883697 # DEPENDENCYPART_ARC
(6,10),1.15215 # DEPENDENCYPART_ARC
(6,11),-0.322429 # DEPENDENCYPART_ARC
(6,12),0.339104 # DEPENDENCYPART_ARC
(6,13),0.403977 # DEPENDENCYPART_ARC
(6,14),-1.072 # DEPENDENCYPART_ARC
(6,16),-2.09399 # DEPENDENCYPART_ARC
(6,17),-0.354241 # DEPENDENCYPART_ARC
(7,1),-1.53097 # DEPENDENCYPART_ARC
(7,2),-0.952629 # DEPENDENCYPART_ARC
(7,3),-0.862876 # DEPENDENCYPART_ARC
(7,5),-1.84967 # DEPENDENCYPART_ARC
(7,6),-1.46136 # DEPENDENCYPART_ARC
(7,8),1.40542 # DEPENDENCYPART_ARC
(7,9),0.053894 # DEPENDENCYPART_ARC
(7,10),-0.0738823 # DEPENDENCYPART_ARC
(7,11),-1.76804 # DEPENDENCYPART_ARC
(7,12),-0.665642 # DEPENDENCYPART_ARC
(7,13),-0.614595 # DEPENDENCYPART_ARC
(7,14),-1.22863 # DEPENDENCYPART_ARC
(7,16),-1.72255 # DEPENDENCYPART_ARC
(7,17),-1.08024 # DEPENDENCYPART_ARC
(8,1),-0.656519 # DEPENDENCYPART_ARC
(8,2),-1.78016 # DEPENDENCYPART_ARC
(8,5),-1.39643 # DEPENDENCYPART_ARC
(8,7),-0.159875 # DEPENDENCYPART_ARC
(8,9),4.83396 # DEPENDENCYPART_ARC
(8,10),0.470325 # DEPENDENCYPART_ARC
(8,12),-0.437135 # DEPENDENCYPART_ARC
(8,14),-1.796 # DEPENDENCYPART_ARC
(8,17),-1.76738 # DEPENDENCYPART_ARC
(9,1),-1.76859 # DEPENDENCYPART_ARC
(9,2),-1.27329 # DEPENDENCYPART_ARC
(9,3),-1.70903 # DEPENDENCYPART_ARC
(9,4),-3.48902 # DEPENDENCYPART_ARC
(9,5),-3.74432 # DEPENDENCYPART_ARC
(9,6),-4.70785 # DEPENDENCYPART_ARC
(9,7),0.349278 # DEPENDENCYPART_ARC
(9,8),-0.750445 # DEPENDENCYPART_ARC
(9,10),-1.21284 # DEPENDENCYPART_ARC
(9,11),-2.44349 # DEPENDENCYPART_ARC
(9,12),-1.11474 # DEPENDENCYPART_ARC
(9,13),-0.442302 # DEPENDENCYPART_ARC
(9,14),-3.93923 # DEPENDENCYPART_ARC
(9,16),-2.96002 # DEPENDENCYPART_ARC
(9,17),-2.52752 # DEPENDENCYPART_ARC
(10,1),0.231797 # DEPENDENCYPART_ARC
(10,2),-0.443678 # DEPENDENCYPART_ARC
(10,3),0.162093 # DEPENDENCYPART_ARC
(10,4),-0.531195 # DEPENDENCYPART_ARC
(10,5),-0.188624 # DEPENDENCYPART_ARC
(10,6),0.871771 # DEPENDENCYPART_ARC
(10,7),0.293092 # DEPENDENCYPART_ARC
(10,8),0.100995 # DEPENDENCYPART_ARC
(10,9),0.906743 # DEPENDENCYPART_ARC
(10,11),0.401058 # DEPENDENCYPART_ARC
(10,12),0.0577529 # DEPENDENCYPART_ARC
(10,13),-0.0464116 # DEPENDENCYPART_ARC
(10,14),-1.31364 # DEPENDENCYPART_ARC
(10,16),-1.0901 # DEPENDENCYPART_ARC
(10,17),0.0874526 # DEPENDENCYPART_ARC
(11,1),0.598866 # DEPENDENCYPART_ARC
(11,2),-0.294893 # DEPENDENCYPART_ARC
(11,3),2.21909 # DEPENDENCYPART_ARC
(11,4),1.14006 # DEPENDENCYPART_ARC
(11,5),-1.41385 # DEPENDENCYPART_ARC
(11,6),-1.76967 # DEPENDENCYPART_ARC
(11,7),0.90085 # DEPENDENCYPART_ARC
(11,8),0.640444 # DEPENDENCYPART_ARC
(11,9),-0.421856 # DEPENDENCYPART_ARC
(11,10),0.77836 # DEPENDENCYPART_ARC
(11,12),1.05134 # DEPENDENCYPART_ARC
(11,13),1.90986 # DEPENDENCYPART_ARC
(11,14),-1.00386 # DEPENDENCYPART_ARC
(11,16),-0.787468 # DEPENDENCYPART_ARC
(11,17),-0.577106 # DEPENDENCYPART_ARC
(12,1),-0.437121 # DEPENDENCYPART_ARC
(12,2),-0.630525 # DEPENDENCYPART_ARC
(12,3),-0.0429482 # DEPENDENCYPART_ARC
(12,4),-1.08429 # DEPENDENCYPART_ARC
(12,5),-1.29076 # DEPENDENCYPART_ARC
(12,6),-0.331157 # DEPENDENCYPART_ARC
(12,7),-0.766198 # DEPENDENCYPART_ARC
(12,8),-0.447327 # DEPENDENCYPART_ARC
(12,9),0.108116 # DEPENDENCYPART_ARC
(12,10),-0.345658 # DEPENDENCYPART_ARC
(12,11),-0.193554 # DEPENDENCYPART_ARC
(12,13),0.167494 # DEPENDENCYPART_ARC
(12,14),-1.19912 # DEPENDENCYPART_ARC
(12,16),-0.550766 # DEPENDENCYPART_ARC
(12,17),-0.673204 # DEPENDENCYPART_ARC
(13,1),-1.91951 # DEPENDENCYPART_ARC
(13,2),-2.1054 # DEPENDENCYPART_ARC
(13,3),-0.865331 # DEPENDENCYPART_ARC
(13,5),-2.42147 # DEPENDENCYPART_ARC
(13,6),-1.87399 # DEPENDENCYPART_ARC
(13,7),-0.884475 # DEPENDENCYPART_ARC
(13,8),-0.466688 # DEPENDENCYPART_ARC
(13,9),-1.31172 # DEPENDENCYPART_ARC
(13,10),0.349144 # DEPENDENCYPART_ARC
(13,11),-0.740088 # DEPENDENCYPART_ARC
(13,12),2.7838 # DEPENDENCYPART_ARC
(13,14),-0.549214 # DEPENDENCYPART_ARC
(13,16),2.03648 # DEPENDENCYPART_ARC
(13,17),-0.0443076 # DEPENDENCYPART_ARC
(14,1),-2.91022 # DEPENDENCYPART_ARC
(14,2),-3.17909 # DEPENDENCYPART_ARC
(14,3),-3.38323 # DEPENDENCYPART_ARC
(14,5),-4.53693 # DEPENDENCYPART_ARC
(14,6),-4.36126 # DEPENDENCYPART_ARC
(14,7),-3.83607 # DEPENDENCYPART_ARC
(14,8),-3.12167 # DEPENDENCYPART_ARC
(14,9),-2.77465 # DEPENDENCYPART_ARC
(14,10),-2.09994 # DEPENDENCYPART_ARC
(14,11),-3.49723 # DEPENDENCYPART_ARC
(14,12),-0.697139 # DEPENDENCYPART_ARC
(14,13),-0.75704 # DEPENDENCYPART_ARC
(14,15),3.55739 # DEPENDENCYPART_ARC
(14,16),-0.852433 # DEPENDENCYPART_ARC
(14,17),-0.749041 # DEPENDENCYPART_ARC
(15,2),-1.59162 # DEPENDENCYPART_ARC
(15,5),-3.17652 # DEPENDENCYPART_ARC
(15,9),-2.31638 # DEPENDENCYPART_ARC
(15,14),0.293317 # DEPENDENCYPART_ARC
(16,1),-0.3894 # DEPENDENCYPART_ARC
(16,2),-2.05451 # DEPENDENCYPART_ARC
(16,3),0.590329 # DEPENDENCYPART_ARC
(16,4),0.0442113 # DEPENDENCYPART_ARC
(16,5),0.036919 # DEPENDENCYPART_ARC
(16,6),-2.80698 # DEPENDENCYPART_ARC
(16,7),-0.42662 # DEPENDENCYPART_ARC
(16,8),-0.948135 # DEPENDENCYPART_ARC
(16,9),-2.02924 # DEPENDENCYPART_ARC
(16,10),-0.636515 # DEPENDENCYPART_ARC
(16,11),-1.12345 # DEPENDENCYPART_ARC
(16,12),0.208805 # DEPENDENCYPART_ARC
(16,13),0.0327439 # DEPENDENCYPART_ARC
(16,14),2.80814 # DEPENDENCYPART_ARC
(16,17),-0.00399674 # DEPENDENCYPART_ARC
(17,1),-3.90062 # DEPENDENCYPART_ARC
(17,2),-4.58465 # DEPENDENCYPART_ARC
(17,3),-4.24149 # DEPENDENCYPART_ARC
(17,4),-4.75346 # DEPENDENCYPART_ARC
(17,5),-5.27018 # DEPENDENCYPART_ARC
(17,6),-4.51846 # DEPENDENCYPART_ARC
(17,7),-4.13624 # DEPENDENCYPART_ARC
(17,8),-4.40706 # DEPENDENCYPART_ARC
(17,9),-3.4676 # DEPENDENCYPART_ARC
(17,10),-3.17406 # DEPENDENCYPART_ARC
(17,11),-4.34627 # DEPENDENCYPART_ARC
(17,12),-3.08854 # DEPENDENCYPART_ARC
(17,13),-3.54347 # DEPENDENCYPART_ARC
(17,14),-2.91057 # DEPENDENCYPART_ARC
(17,16),-3.83928 # DEPENDENCYPART_ARC
