# _root_ Cigarety v nákupní hodnotě asi 6 miliónů korun budou pravděpodobně dodatečně procleny , čímž se jejich prodejní cena zvýší asi o jeden milión korun , a prodány v Praze a Bratislavě .
#goldHeads=26,1,4,2,6,4,6,7,26,26,12,26,19,19,19,18,18,19,12,23,19,23,21,23,19,0,26,27,30,28,30,0,
#predictedHeads=12,1,4,2,6,4,6,7,12,12,12,13,19,19,19,18,18,19,26,23,19,23,21,23,26,0,26,27,30,28,30,0,
(12,26),-0.339669 # DEPENDENCYPART_ARC
(12,27),-3.07487 # DEPENDENCYPART_ARC
(12,28),-2.1354 # DEPENDENCYPART_ARC
(12,29),-6.00893 # DEPENDENCYPART_ARC
(12,30),-0.96578 # DEPENDENCYPART_ARC
(12,31),-5.74706 # DEPENDENCYPART_ARC
(12,32),-1.73856 # DEPENDENCYPART_ARC
(13,1),-0.283533 # DEPENDENCYPART_ARC
(13,2),0.583888 # DEPENDENCYPART_ARC
(13,3),-0.319257 # DEPENDENCYPART_ARC
(13,4),0.0285161 # DEPENDENCYPART_ARC
(13,5),1.08558 # DEPENDENCYPART_ARC
(13,6),0.365747 # DEPENDENCYPART_ARC
(13,7),0.49479 # DEPENDENCYPART_ARC
(13,8),0.288542 # DEPENDENCYPART_ARC
(13,9),1.88354 # DEPENDENCYPART_ARC
(13,10),1.10986 # DEPENDENCYPART_ARC
(13,11),1.02575 # DEPENDENCYPART_ARC
(13,12),1.78954 # DEPENDENCYPART_ARC
(13,14),0.823942 # DEPENDENCYPART_ARC
(13,15),0.502617 # DEPENDENCYPART_ARC
(13,16),0.401066 # DEPENDENCYPART_ARC
(13,17),1.20229 # DEPENDENCYPART_ARC
(13,18),-0.150805 # DEPENDENCYPART_ARC
(13,19),1.36733 # DEPENDENCYPART_ARC
(13,20),0.127343 # DEPENDENCYPART_ARC
(13,21),-0.296926 # DEPENDENCYPART_ARC
(13,22),0.0923644 # DEPENDENCYPART_ARC
(13,23),-0.973223 # DEPENDENCYPART_ARC
(13,24),-0.777093 # DEPENDENCYPART_ARC
(13,25),0.464498 # DEPENDENCYPART_ARC
(13,26),0.250861 # DEPENDENCYPART_ARC
(13,27),-0.373096 # DEPENDENCYPART_ARC
(13,28),-1.64485 # DEPENDENCYPART_ARC
(13,29),-2.34186 # DEPENDENCYPART_ARC
(13,30),-0.346252 # DEPENDENCYPART_ARC
(13,31),-2.57325 # DEPENDENCYPART_ARC
(13,32),-0.491022 # DEPENDENCYPART_ARC
(14,1),-2.8927 # DEPENDENCYPART_ARC
(14,2),-1.41799 # DEPENDENCYPART_ARC
(14,3),-2.34985 # DEPENDENCYPART_ARC
(14,4),-1.6374 # DEPENDENCYPART_ARC
(14,5),-1.38858 # DEPENDENCYPART_ARC
(14,6),-1.65167 # DEPENDENCYPART_ARC
(14,7),-2.25767 # DEPENDENCYPART_ARC
(14,8),-2.16293 # DEPENDENCYPART_ARC
(14,9),-1.45491 # DEPENDENCYPART_ARC
(14,10),-0.62097 # DEPENDENCYPART_ARC
(14,11),-0.47162 # DEPENDENCYPART_ARC
(14,12),-0.710718 # DEPENDENCYPART_ARC
(14,13),-0.198056 # DEPENDENCYPART_ARC
(14,15),0.541656 # DEPENDENCYPART_ARC
(14,16),0.238578 # DEPENDENCYPART_ARC
(14,17),0.113184 # DEPENDENCYPART_ARC
(14,18),-1.2936 # DEPENDENCYPART_ARC
(14,19),0.152243 # DEPENDENCYPART_ARC
(14,20),-0.845214 # DEPENDENCYPART_ARC
(14,21),-0.864267 # DEPENDENCYPART_ARC
(14,22),-1.10996 # DEPENDENCYPART_ARC
(14,23),-1.87386 # DEPENDENCYPART_ARC
(14,24),-2.01386 # DEPENDENCYPART_ARC
(14,25),-0.983888 # DEPENDENCYPART_ARC
(14,26),-0.726462 # DEPENDENCYPART_ARC
(14,27),-2.12051 # DEPENDENCYPART_ARC
(14,28),-1.77353 # DEPENDENCYPART_ARC
(14,29),-2.22161 # DEPENDENCYPART_ARC
(14,30),-1.27265 # DEPENDENCYPART_ARC
(14,31),-1.78052 # DEPENDENCYPART_ARC
(14,32),-1.74976 # DEPENDENCYPART_ARC
(15,1),-4.58885 # DEPENDENCYPART_ARC
(15,2),-2.5708 # DEPENDENCYPART_ARC
(15,3),-4.93734 # DEPENDENCYPART_ARC
(15,4),-4.04777 # DEPENDENCYPART_ARC
(15,5),-2.70403 # DEPENDENCYPART_ARC
(15,6),-2.89763 # DEPENDENCYPART_ARC
(15,7),-3.58981 # DEPENDENCYPART_ARC
(15,8),-3.61716 # DEPENDENCYPART_ARC
(15,9),-3.15286 # DEPENDENCYPART_ARC
(15,10),-2.44788 # DEPENDENCYPART_ARC
(15,11),-2.38077 # DEPENDENCYPART_ARC
(15,12),-2.55498 # DEPENDENCYPART_ARC
(15,13),-1.67963 # DEPENDENCYPART_ARC
(15,14),-0.656242 # DEPENDENCYPART_ARC
(15,16),0.239884 # DEPENDENCYPART_ARC
(15,17),-1.61841 # DEPENDENCYPART_ARC
(15,18),-1.42389 # DEPENDENCYPART_ARC
(15,19),-2.38345 # DEPENDENCYPART_ARC
(15,20),-1.72639 # DEPENDENCYPART_ARC
(15,21),-1.7722 # DEPENDENCYPART_ARC
(15,22),-1.53621 # DEPENDENCYPART_ARC
(15,23),-1.3595 # DEPENDENCYPART_ARC
(15,24),-2.02218 # DEPENDENCYPART_ARC
(15,25),-1.51537 # DEPENDENCYPART_ARC
(15,26),-1.59806 # DEPENDENCYPART_ARC
(15,27),-4.89964 # DEPENDENCYPART_ARC
(15,28),-2.7456 # DEPENDENCYPART_ARC
(15,29),-1.90697 # DEPENDENCYPART_ARC
(15,30),-1.89519 # DEPENDENCYPART_ARC
(15,31),-1.45967 # DEPENDENCYPART_ARC
(15,32),-2.32827 # DEPENDENCYPART_ARC
(16,1),-3.81057 # DEPENDENCYPART_ARC
(16,2),-3.45143 # DEPENDENCYPART_ARC
(16,3),-4.13148 # DEPENDENCYPART_ARC
(16,4),-3.55284 # DEPENDENCYPART_ARC
(16,5),-2.69571 # DEPENDENCYPART_ARC
(16,6),-2.85928 # DEPENDENCYPART_ARC
