# _root_ Havel se vyslovil pro to , co si myslí většina na obou stranách : Měli bychom hledět do budoucnosti , aniž by se zapomnělo poučení minulosti .
#goldHeads=3,3,0,3,14,9,9,9,5,9,10,13,11,4,14,15,15,17,18,21,17,24,24,21,24,25,0,
#predictedHeads=3,3,0,3,4,9,9,9,5,9,10,13,11,9,5,15,15,17,18,21,15,24,24,21,24,25,0,
(1,13),-5.63057 # DEPENDENCYPART_ARC
(1,14),-1.3232 # DEPENDENCYPART_ARC
(1,15),-3.37965 # DEPENDENCYPART_ARC
(1,16),-3.75732 # DEPENDENCYPART_ARC
(1,17),-4.18152 # DEPENDENCYPART_ARC
(1,18),-4.94547 # DEPENDENCYPART_ARC
(1,19),-7.48235 # DEPENDENCYPART_ARC
(1,20),-1.85993 # DEPENDENCYPART_ARC
(1,21),-3.13003 # DEPENDENCYPART_ARC
(1,22),-8.07783 # DEPENDENCYPART_ARC
(1,23),-3.79626 # DEPENDENCYPART_ARC
(1,24),-8.94952 # DEPENDENCYPART_ARC
(1,25),-9.11339 # DEPENDENCYPART_ARC
(1,26),-8.6648 # DEPENDENCYPART_ARC
(1,27),-9.15234 # DEPENDENCYPART_ARC
(2,1),-2.60489 # DEPENDENCYPART_ARC
(2,3),-2.82425 # DEPENDENCYPART_ARC
(2,4),-2.35705 # DEPENDENCYPART_ARC
(2,5),-2.04503 # DEPENDENCYPART_ARC
(2,6),-2.29138 # DEPENDENCYPART_ARC
(2,7),-2.94026 # DEPENDENCYPART_ARC
(2,8),-3.0507 # DEPENDENCYPART_ARC
(2,9),-4.02517 # DEPENDENCYPART_ARC
(2,10),-3.1026 # DEPENDENCYPART_ARC
(2,11),-3.18818 # DEPENDENCYPART_ARC
(2,12),-2.79349 # DEPENDENCYPART_ARC
(2,13),-3.05924 # DEPENDENCYPART_ARC
(2,14),-2.95712 # DEPENDENCYPART_ARC
(2,15),-5.8114 # DEPENDENCYPART_ARC
(2,16),-6.03549 # DEPENDENCYPART_ARC
(2,17),-6.38844 # DEPENDENCYPART_ARC
(2,18),-3.97899 # DEPENDENCYPART_ARC
(2,19),-3.41567 # DEPENDENCYPART_ARC
(2,20),-2.66121 # DEPENDENCYPART_ARC
(2,21),-4.37357 # DEPENDENCYPART_ARC
(2,22),-9.10703 # DEPENDENCYPART_ARC
(2,23),-4.46533 # DEPENDENCYPART_ARC
(2,24),-10.5215 # DEPENDENCYPART_ARC
(2,25),-3.72601 # DEPENDENCYPART_ARC
(2,26),-3.11312 # DEPENDENCYPART_ARC
(2,27),-4.07031 # DEPENDENCYPART_ARC
(3,1),3.52189 # DEPENDENCYPART_ARC
(3,2),4.44744 # DEPENDENCYPART_ARC
(3,4),2.4231 # DEPENDENCYPART_ARC
(3,5),1.20492 # DEPENDENCYPART_ARC
(3,6),0.528279 # DEPENDENCYPART_ARC
(3,7),-1.7435 # DEPENDENCYPART_ARC
(3,8),0.290408 # DEPENDENCYPART_ARC
(3,9),-0.647146 # DEPENDENCYPART_ARC
(3,10),-0.149077 # DEPENDENCYPART_ARC
(3,11),0.341599 # DEPENDENCYPART_ARC
(3,12),-2.8021 # DEPENDENCYPART_ARC
(3,13),-2.08191 # DEPENDENCYPART_ARC
(3,14),1.03016 # DEPENDENCYPART_ARC
(3,15),-2.66868 # DEPENDENCYPART_ARC
(3,16),-1.48612 # DEPENDENCYPART_ARC
(3,17),-1.7782 # DEPENDENCYPART_ARC
(3,18),-1.55527 # DEPENDENCYPART_ARC
(3,19),-6.32695 # DEPENDENCYPART_ARC
(3,20),-0.531706 # DEPENDENCYPART_ARC
(3,21),-1.09141 # DEPENDENCYPART_ARC
(3,22),-3.915 # DEPENDENCYPART_ARC
(3,23),-4.18429 # DEPENDENCYPART_ARC
(3,24),-6.67141 # DEPENDENCYPART_ARC
(3,25),-6.07994 # DEPENDENCYPART_ARC
(3,26),-8.09085 # DEPENDENCYPART_ARC
(3,27),-1.46292 # DEPENDENCYPART_ARC
(4,1),-3.64321 # DEPENDENCYPART_ARC
(4,2),-1.37711 # DEPENDENCYPART_ARC
(4,3),-1.87458 # DEPENDENCYPART_ARC
(4,5),4.37276 # DEPENDENCYPART_ARC
(4,6),0.477918 # DEPENDENCYPART_ARC
(4,7),0.266362 # DEPENDENCYPART_ARC
(4,8),-0.128056 # DEPENDENCYPART_ARC
(4,9),-0.771704 # DEPENDENCYPART_ARC
(4,10),-4.06606 # DEPENDENCYPART_ARC
(4,11),-1.18851 # DEPENDENCYPART_ARC
(4,12),-1.53672 # DEPENDENCYPART_ARC
(4,13),-3.53881 # DEPENDENCYPART_ARC
(4,14),-1.31585 # DEPENDENCYPART_ARC
(4,15),-1.67676 # DEPENDENCYPART_ARC
(4,16),-1.21626 # DEPENDENCYPART_ARC
(4,17),-1.34209 # DEPENDENCYPART_ARC
(4,18),-1.67135 # DEPENDENCYPART_ARC
(4,19),-8.45492 # DEPENDENCYPART_ARC
(4,20),-2.99779 # DEPENDENCYPART_ARC
(4,21),-3.77845 # DEPENDENCYPART_ARC
(4,22),-1.40788 # DEPENDENCYPART_ARC
(4,23),-2.9454 # DEPENDENCYPART_ARC
(4,24),-2.38078 # DEPENDENCYPART_ARC
(4,25),-12.2209 # DEPENDENCYPART_ARC
(4,26),-12.9915 # DEPENDENCYPART_ARC
(4,27),-5.3836 # DEPENDENCYPART_ARC
(5,1),-1.8888 # DEPENDENCYPART_ARC
(5,2),0.14611 # DEPENDENCYPART_ARC
(5,3),-0.769466 # DEPENDENCYPART_ARC
(5,4),1.2002 # DEPENDENCYPART_ARC
(5,6),0.434113 # DEPENDENCYPART_ARC
(5,7),0.418807 # DEPENDENCYPART_ARC
(5,8),0.0253002 # DEPENDENCYPART_ARC
(5,9),2.96402 # DEPENDENCYPART_ARC
(5,10),-0.856135 # DEPENDENCYPART_ARC
(5,11),-0.663679 # DEPENDENCYPART_ARC
(5,12),-0.461946 # DEPENDENCYPART_ARC
(5,13),-1.00139 # DEPENDENCYPART_ARC
(5,14),0.403255 # DEPENDENCYPART_ARC
(5,15),0.688523 # DEPENDENCYPART_ARC
(5,16),-0.709042 # DEPENDENCYPART_ARC
(5,17),-0.196761 # DEPENDENCYPART_ARC
(5,18),-1.27057 # DEPENDENCYPART_ARC
(5,19),-1.57993 # DEPENDENCYPART_ARC
(5,20),1.06507 # DEPENDENCYPART_ARC
(5,21),-0.963142 # DEPENDENCYPART_ARC
(5,22),-4.07814 # DEPENDENCYPART_ARC
(5,23),-1.86226 # DEPENDENCYPART_ARC
(5,24),-3.64226 # DEPENDENCYPART_ARC
(5,25),-2.73077 # DEPENDENCYPART_ARC
(5,26),-1.96747 # DEPENDENCYPART_ARC
(5,27),-0.74329 # DEPENDENCYPART_ARC
(6,1),-0.668039 # DEPENDENCYPART_ARC
(6,2),-0.10904 # DEPENDENCYPART_ARC
(6,3),0.590997 # DEPENDENCYPART_ARC
(6,4),-0.0119079 # DEPENDENCYPART_ARC
(6,5),0.656306 # DEPENDENCYPART_ARC
(6,7),0.290056 # DEPENDENCYPART_ARC
(6,8),0.0626805 # DEPENDENCYPART_ARC
(6,9),0.960492 # DEPENDENCYPART_ARC
(6,10),-1.01325 # DEPENDENCYPART_ARC
(6,11),-0.858343 # DEPENDENCYPART_ARC
(6,12),-0.617158 # DEPENDENCYPART_ARC
(6,13),-1.09328 # DEPENDENCYPART_ARC
(6,14),0.352233 # DEPENDENCYPART_ARC
(6,15),-0.0876255 # DEPENDENCYPART_ARC
(6,16),-0.426277 # DEPENDENCYPART_ARC
(6,17),-1.1393 # DEPENDENCYPART_ARC
(6,18),-2.29074 # DEPENDENCYPART_ARC
(6,19),-3.70844 # DEPENDENCYPART_ARC
(6,20),-0.211393 # DEPENDENCYPART_ARC
(6,21),-1.29523 # DEPENDENCYPART_ARC
(6,22),-2.63694 # DEPENDENCYPART_ARC
(6,23),-2.27539 # DEPENDENCYPART_ARC
(6,24),-2.6797 # DEPENDENCYPART_ARC
(6,25),-6.10102 # DEPENDENCYPART_ARC
(6,26),-6.03654 # DEPENDENCYPART_ARC
(6,27),-0.853809 # DEPENDENCYPART_ARC
(7,1),-2.62895 # DEPENDENCYPART_ARC
(7,2),-1.28189 # DEPENDENCYPART_ARC
(7,3),-1.69789 # DEPENDENCYPART_ARC
(7,4),-0.088427 # DEPENDENCYPART_ARC
(7,5),-0.526559 # DEPENDENCYPART_ARC
(7,6),0.217146 # DEPENDENCYPART_ARC
(7,8),0.570346 # DEPENDENCYPART_ARC
(7,9),-0.702849 # DEPENDENCYPART_ARC
(7,10),-1.22546 # DEPENDENCYPART_ARC
(7,11),-0.643909 # DEPENDENCYPART_ARC
(7,12),-1.21301 # DEPENDENCYPART_ARC
(7,13),-1.5131 # DEPENDENCYPART_ARC
(7,14),-0.736926 # DEPENDENCYPART_ARC
(7,15),-2.3776 # DEPENDENCYPART_ARC
(7,16),-2.85583 # DEPENDENCYPART_ARC
(7,17),-3.42881 # DEPENDENCYPART_ARC
(7,18),-1.62857 # DEPENDENCYPART_ARC
(7,19),-2.10795 # DEPENDENCYPART_ARC
(7,20),-0.449625 # DEPENDENCYPART_ARC
(7,21),-2.4634 # DEPENDENCYPART_ARC
(7,22),-6.17284 # DEPENDENCYPART_ARC
(7,23),-1.80924 # DEPENDENCYPART_ARC
(7,24),-6.73813 # DEPENDENCYPART_ARC
(7,25),-2.60771 # DEPENDENCYPART_ARC
(7,26),-2.47622 # DEPENDENCYPART_ARC
(7,27),-1.78308 # DEPENDENCYPART_ARC
(8,1),-3.88372 # DEPENDENCYPART_ARC
(8,2),-2.18371 # DEPENDENCYPART_ARC
(8,3),-2.90294 # DEPENDENCYPART_ARC
(8,4),-0.694211 # DEPENDENCYPART_ARC
(8,5),-1.42981 # DEPENDENCYPART_ARC
(8,6),-0.870264 # DEPENDENCYPART_ARC
(8,7),-0.368779 # DEPENDENCYPART_ARC
(8,9),-2.95476 # DEPENDENCYPART_ARC
(8,10),-2.80844 # DEPENDENCYPART_ARC
(8,11),-2.12152 # DEPENDENCYPART_ARC
(8,12),-2.07818 # DEPENDENCYPART_ARC
(8,13),-3.61932 # DEPENDENCYPART_ARC
(8,14),-2.03262 # DEPENDENCYPART_ARC
(8,15),-5.16229 # DEPENDENCYPART_ARC
(8,16),-5.18483 # DEPENDENCYPART_ARC
(8,17),-5.4888 # DEPENDENCYPART_ARC
(8,18),-2.85641 # DEPENDENCYPART_ARC
(8,19),-4.28226 # DEPENDENCYPART_ARC
(8,20),-2.16773 # DEPENDENCYPART_ARC
(8,21),-4.03786 # DEPENDENCYPART_ARC
(8,22),-8.08843 # DEPENDENCYPART_ARC
(8,23),-3.52455 # DEPENDENCYPART_ARC
(8,24),-9.75587 # DEPENDENCYPART_ARC
(8,25),-4.88928 # DEPENDENCYPART_ARC
(8,26),-4.69701 # DEPENDENCYPART_ARC
(8,27),-3.2313 # DEPENDENCYPART_ARC
(9,1),1.32473 # DEPENDENCYPART_ARC
(9,2),0.891389 # DEPENDENCYPART_ARC
(9,3),-1.23023 # DEPENDENCYPART_ARC
(9,4),0.638189 # DEPENDENCYPART_ARC
(9,5),-1.09819 # DEPENDENCYPART_ARC
(9,6),2.46112 # DEPENDENCYPART_ARC
(9,7),2.31363 # DEPENDENCYPART_ARC
(9,8),3.7723 # DEPENDENCYPART_ARC
(9,10),4.17447 # DEPENDENCYPART_ARC
(9,11),1.73678 # DEPENDENCYPART_ARC
(9,12),-2.0567 # DEPENDENCYPART_ARC
(9,13),0.0708639 # DEPENDENCYPART_ARC
(9,14),1.23402 # DEPENDENCYPART_ARC
(9,15),-1.96999 # DEPENDENCYPART_ARC
(9,16),-0.929002 # DEPENDENCYPART_ARC
(9,17),-1.07871 # DEPENDENCYPART_ARC
(9,18),-0.543336 # DEPENDENCYPART_ARC
(9,19),-4.28003 # DEPENDENCYPART_ARC
(9,20),0.0270298 # DEPENDENCYPART_ARC
(9,21),0.11327 # DEPENDENCYPART_ARC
(9,22),-3.36816 # DEPENDENCYPART_ARC
(9,23),-2.62285 # DEPENDENCYPART_ARC
(9,24),-5.7427 # DEPENDENCYPART_ARC
(9,25),-4.77109 # DEPENDENCYPART_ARC
(9,26),-7.02475 # DEPENDENCYPART_ARC
(9,27),-1.07943 # DEPENDENCYPART_ARC
(10,1),-2.68739 # DEPENDENCYPART_ARC
(10,2),-4.6577 # DEPENDENCYPART_ARC
(10,3),-4.37849 # DEPENDENCYPART_ARC
(10,4),-0.211192 # DEPENDENCYPART_ARC
(10,5),-4.15949 # DEPENDENCYPART_ARC
(10,6),-1.05513 # DEPENDENCYPART_ARC
(10,7),-3.02314 # DEPENDENCYPART_ARC
(10,8),-2.61341 # DEPENDENCYPART_ARC
(10,9),-0.947419 # DEPENDENCYPART_ARC
(10,11),2.1507 # DEPENDENCYPART_ARC
(10,12),-0.759618 # DEPENDENCYPART_ARC
(10,13),-0.664304 # DEPENDENCYPART_ARC
(10,14),-0.285784 # DEPENDENCYPART_ARC
(10,15),-1.30307 # DEPENDENCYPART_ARC
(10,16),-1.18012 # DEPENDENCYPART_ARC
(10,17),-1.28764 # DEPENDENCYPART_ARC
(10,18),-1.38667 # DEPENDENCYPART_ARC
(10,19),-3.2364 # DEPENDENCYPART_ARC
(10,20),-1.10229 # DEPENDENCYPART_ARC
(10,21),-1.31322 # DEPENDENCYPART_ARC
(10,22),-6.10576 # DEPENDENCYPART_ARC
(10,23),-2.63435 # DEPENDENCYPART_ARC
(10,24),-6.57164 # DEPENDENCYPART_ARC
(10,25),-5.02457 # DEPENDENCYPART_ARC
(10,26),-3.87788 # DEPENDENCYPART_ARC
(10,27),-6.43634 # DEPENDENCYPART_ARC
(11,1),-4.0796 # DEPENDENCYPART_ARC
(11,2),-2.24689 # DEPENDENCYPART_ARC
(11,3),-2.68542 # DEPENDENCYPART_ARC
(11,4),-2.2393 # DEPENDENCYPART_ARC
(11,5),-1.62185 # DEPENDENCYPART_ARC
(11,6),-0.961229 # DEPENDENCYPART_ARC
(11,7),-1.79439 # DEPENDENCYPART_ARC
(11,8),-1.40409 # DEPENDENCYPART_ARC
(11,9),-1.54577 # DEPENDENCYPART_ARC
(11,10),-1.25686 # DEPENDENCYPART_ARC
(11,12),2.06283 # DEPENDENCYPART_ARC
(11,13),4.54181 # DEPENDENCYPART_ARC
(11,14),0.32724 # DEPENDENCYPART_ARC
(11,15),-1.63777 # DEPENDENCYPART_ARC
(11,16),-0.979964 # DEPENDENCYPART_ARC
(11,17),-1.27216 # DEPENDENCYPART_ARC
(11,18),-1.30833 # DEPENDENCYPART_ARC
(11,19),-4.23254 # DEPENDENCYPART_ARC
(11,20),-2.07391 # DEPENDENCYPART_ARC
(11,21),-2.76418 # DEPENDENCYPART_ARC
(11,22),-1.41539 # DEPENDENCYPART_ARC
(11,23),-2.73687 # DEPENDENCYPART_ARC
(11,24),-2.53428 # DEPENDENCYPART_ARC
(11,25),-8.54386 # DEPENDENCYPART_ARC
(11,26),-8.98854 # DEPENDENCYPART_ARC
(11,27),-3.26705 # DEPENDENCYPART_ARC
(12,1),-3.3325 # DEPENDENCYPART_ARC
(12,2),-2.62961 # DEPENDENCYPART_ARC
(12,3),-4.07975 # DEPENDENCYPART_ARC
(12,4),-2.05083 # DEPENDENCYPART_ARC
(12,5),-2.64561 # DEPENDENCYPART_ARC
(12,6),-1.68664 # DEPENDENCYPART_ARC
(12,7),-1.58205 # DEPENDENCYPART_ARC
(12,8),-1.96301 # DEPENDENCYPART_ARC
(12,9),-2.71419 # DEPENDENCYPART_ARC
(12,10),-1.68383 # DEPENDENCYPART_ARC
(12,11),-0.612293 # DEPENDENCYPART_ARC
(12,13),2.66027 # DEPENDENCYPART_ARC
(12,14),-1.55521 # DEPENDENCYPART_ARC
(12,15),-3.68184 # DEPENDENCYPART_ARC
(12,16),-2.65081 # DEPENDENCYPART_ARC
(12,17),-2.49739 # DEPENDENCYPART_ARC
(12,18),-2.06616 # DEPENDENCYPART_ARC
(12,19),-1.08739 # DEPENDENCYPART_ARC
(12,20),-2.49111 # DEPENDENCYPART_ARC
(12,21),-2.05467 # DEPENDENCYPART_ARC
(12,22),-2.90398 # DEPENDENCYPART_ARC
(12,23),-3.32953 # DEPENDENCYPART_ARC
(12,24),-5.14586 # DEPENDENCYPART_ARC
(12,25),-3.93348 # DEPENDENCYPART_ARC
(12,26),-2.96264 # DEPENDENCYPART_ARC
(12,27),-3.89919 # DEPENDENCYPART_ARC
(13,1),-3.97582 # DEPENDENCYPART_ARC
(13,2),-4.07505 # DEPENDENCYPART_ARC
(13,3),-4.75628 # DEPENDENCYPART_ARC
(13,4),-0.712634 # DEPENDENCYPART_ARC
(13,5),-2.73355 # DEPENDENCYPART_ARC
(13,6),-0.813809 # DEPENDENCYPART_ARC
(13,7),-3.10388 # DEPENDENCYPART_ARC
(13,8),-2.66213 # DEPENDENCYPART_ARC
(13,9),-1.14703 # DEPENDENCYPART_ARC
(13,10),-0.499006 # DEPENDENCYPART_ARC
(13,11),0.0169763 # DEPENDENCYPART_ARC
(13,12),4.38665 # DEPENDENCYPART_ARC
(13,14),-0.45143 # DEPENDENCYPART_ARC
(13,15),-1.0299 # DEPENDENCYPART_ARC
(13,16),-1.0878 # DEPENDENCYPART_ARC
(13,17),-2.10955 # DEPENDENCYPART_ARC
(13,18),-2.53485 # DEPENDENCYPART_ARC
(13,19),-3.27297 # DEPENDENCYPART_ARC
(13,20),-1.8883 # DEPENDENCYPART_ARC
(13,21),-1.73821 # DEPENDENCYPART_ARC
(13,22),-6.20763 # DEPENDENCYPART_ARC
(13,23),-4.43 # DEPENDENCYPART_ARC
(13,24),-6.82081 # DEPENDENCYPART_ARC
(13,25),-7.03246 # DEPENDENCYPART_ARC
(13,26),-4.14247 # DEPENDENCYPART_ARC
(13,27),-5.91287 # DEPENDENCYPART_ARC
(14,1),-0.545746 # DEPENDENCYPART_ARC
(14,2),-0.486088 # DEPENDENCYPART_ARC
(14,3),0.0474598 # DEPENDENCYPART_ARC
(14,4),-0.756185 # DEPENDENCYPART_ARC
(14,5),0.417973 # DEPENDENCYPART_ARC
(14,6),-0.721014 # DEPENDENCYPART_ARC
(14,7),0.34666 # DEPENDENCYPART_ARC
(14,8),0.139447 # DEPENDENCYPART_ARC
(14,9),0.472089 # DEPENDENCYPART_ARC
(14,10),0.697712 # DEPENDENCYPART_ARC
(14,11),0.35463 # DEPENDENCYPART_ARC
(14,12),0.965117 # DEPENDENCYPART_ARC
(14,13),0.549801 # DEPENDENCYPART_ARC
(14,15),0.482585 # DEPENDENCYPART_ARC
(14,16),0.296788 # DEPENDENCYPART_ARC
(14,17),-0.0662075 # DEPENDENCYPART_ARC
(14,18),-0.948194 # DEPENDENCYPART_ARC
(14,19),-1.48612 # DEPENDENCYPART_ARC
(14,20),0.809317 # DEPENDENCYPART_ARC
(14,21),0.11275 # DEPENDENCYPART_ARC
(14,22),-1.21838 # DEPENDENCYPART_ARC
(14,23),-1.77908 # DEPENDENCYPART_ARC
(14,24),-1.24162 # DEPENDENCYPART_ARC
(14,25),-3.57363 # DEPENDENCYPART_ARC
(14,26),-3.04971 # DEPENDENCYPART_ARC
(14,27),-0.203942 # DEPENDENCYPART_ARC
(15,1),-0.402274 # DEPENDENCYPART_ARC
(15,2),-0.997755 # DEPENDENCYPART_ARC
(15,3),-3.5291 # DEPENDENCYPART_ARC
(15,4),-1.44033 # DEPENDENCYPART_ARC
(15,5),-1.1644 # DEPENDENCYPART_ARC
(15,6),0.609373 # DEPENDENCYPART_ARC
(15,7),0.437903 # DEPENDENCYPART_ARC
(15,8),0.885585 # DEPENDENCYPART_ARC
(15,9),-1.75436 # DEPENDENCYPART_ARC
(15,10),-0.39165 # DEPENDENCYPART_ARC
(15,11),0.112575 # DEPENDENCYPART_ARC
(15,12),-0.928177 # DEPENDENCYPART_ARC
(15,13),-0.574292 # DEPENDENCYPART_ARC
(15,14),0.581015 # DEPENDENCYPART_ARC
(15,16),3.8927 # DEPENDENCYPART_ARC
(15,17),3.42766 # DEPENDENCYPART_ARC
(15,18),1.80909 # DEPENDENCYPART_ARC
(15,19),-1.49811 # DEPENDENCYPART_ARC
(15,20),0.794304 # DEPENDENCYPART_ARC
(15,21),1.66377 # DEPENDENCYPART_ARC
(15,22),-0.445484 # DEPENDENCYPART_ARC
(15,23),-0.80752 # DEPENDENCYPART_ARC
(15,24),-3.9001 # DEPENDENCYPART_ARC
(15,25),-3.44116 # DEPENDENCYPART_ARC
(15,26),-4.21361 # DEPENDENCYPART_ARC
(15,27),0.15553 # DEPENDENCYPART_ARC
(16,1),-3.77191 # DEPENDENCYPART_ARC
(16,2),-3.33849 # DEPENDENCYPART_ARC
(16,3),-5.83845 # DEPENDENCYPART_ARC
(16,4),-3.2526 # DEPENDENCYPART_ARC
(16,5),-3.03346 # DEPENDENCYPART_ARC
(16,6),-0.531426 # DEPENDENCYPART_ARC
(16,7),-0.48712 # DEPENDENCYPART_ARC
(16,8),-1.05064 # DEPENDENCYPART_ARC
(16,9),-3.69133 # DEPENDENCYPART_ARC
(16,10),-3.12781 # DEPENDENCYPART_ARC
(16,11),-2.31404 # DEPENDENCYPART_ARC
(16,12),-1.68927 # DEPENDENCYPART_ARC
(16,13),-2.71325 # DEPENDENCYPART_ARC
(16,14),-0.616606 # DEPENDENCYPART_ARC
(16,15),-0.661921 # DEPENDENCYPART_ARC
(16,17),1.07144 # DEPENDENCYPART_ARC
(16,18),-0.640252 # DEPENDENCYPART_ARC
(16,19),-3.10454 # DEPENDENCYPART_ARC
(16,20),-1.30806 # DEPENDENCYPART_ARC
(16,21),-0.141184 # DEPENDENCYPART_ARC
(16,22),-2.1963 # DEPENDENCYPART_ARC
(16,23),-3.39849 # DEPENDENCYPART_ARC
(16,24),-3.81024 # DEPENDENCYPART_ARC
(16,25),-6.54536 # DEPENDENCYPART_ARC
(16,26),-6.76378 # DEPENDENCYPART_ARC
(16,27),-2.16174 # DEPENDENCYPART_ARC
(17,1),-1.18561 # DEPENDENCYPART_ARC
(17,2),-0.170817 # DEPENDENCYPART_ARC
(17,3),-4.62884 # DEPENDENCYPART_ARC
(17,4),-0.884915 # DEPENDENCYPART_ARC
(17,5),0.0112918 # DEPENDENCYPART_ARC
(17,6),-0.226727 # DEPENDENCYPART_ARC
(17,7),1.83099 # DEPENDENCYPART_ARC
(17,8),2.61216 # DEPENDENCYPART_ARC
(17,9),-3.65803 # DEPENDENCYPART_ARC
(17,10),-0.384387 # DEPENDENCYPART_ARC
(17,11),-1.28051 # DEPENDENCYPART_ARC
(17,12),-0.0859966 # DEPENDENCYPART_ARC
(17,13),-0.902065 # DEPENDENCYPART_ARC
(17,14),0.123107 # DEPENDENCYPART_ARC
(17,15),-0.666979 # DEPENDENCYPART_ARC
(17,16),2.46609 # DEPENDENCYPART_ARC
(17,18),2.71812 # DEPENDENCYPART_ARC
(17,19),-0.0378833 # DEPENDENCYPART_ARC
(17,20),0.366144 # DEPENDENCYPART_ARC
(17,21),1.20927 # DEPENDENCYPART_ARC
(17,22),0.0988416 # DEPENDENCYPART_ARC
(17,23),-0.672535 # DEPENDENCYPART_ARC
(17,24),-2.08238 # DEPENDENCYPART_ARC
(17,25),-3.86728 # DEPENDENCYPART_ARC
(17,26),-3.44525 # DEPENDENCYPART_ARC
(17,27),-0.826397 # DEPENDENCYPART_ARC
(18,1),-5.03538 # DEPENDENCYPART_ARC
(18,2),-2.86471 # DEPENDENCYPART_ARC
(18,3),-3.70856 # DEPENDENCYPART_ARC
(18,4),-3.04753 # DEPENDENCYPART_ARC
(18,5),-2.42858 # DEPENDENCYPART_ARC
(18,6),-2.87734 # DEPENDENCYPART_ARC
(18,7),-2.41627 # DEPENDENCYPART_ARC
(18,8),-2.55031 # DEPENDENCYPART_ARC
(18,9),-3.38835 # DEPENDENCYPART_ARC
(18,10),-3.71407 # DEPENDENCYPART_ARC
(18,11),-2.70839 # DEPENDENCYPART_ARC
(18,12),-2.58956 # DEPENDENCYPART_ARC
(18,13),-2.73279 # DEPENDENCYPART_ARC
(18,14),-1.10023 # DEPENDENCYPART_ARC
(18,15),-2.71422 # DEPENDENCYPART_ARC
(18,16),-1.27011 # DEPENDENCYPART_ARC
(18,17),-0.757811 # DEPENDENCYPART_ARC
(18,19),4.08041 # DEPENDENCYPART_ARC
(18,20),0.0747608 # DEPENDENCYPART_ARC
(18,21),-0.875018 # DEPENDENCYPART_ARC
(18,22),-0.649502 # DEPENDENCYPART_ARC
(18,23),-1.5258 # DEPENDENCYPART_ARC
(18,24),-1.76426 # DEPENDENCYPART_ARC
(18,25),-5.43235 # DEPENDENCYPART_ARC
(18,26),-3.75249 # DEPENDENCYPART_ARC
(18,27),-2.19919 # DEPENDENCYPART_ARC
(19,1),-7.13658 # DEPENDENCYPART_ARC
(19,2),-6.39607 # DEPENDENCYPART_ARC
(19,3),-4.08285 # DEPENDENCYPART_ARC
(19,4),-0.833243 # DEPENDENCYPART_ARC
(19,5),-4.42547 # DEPENDENCYPART_ARC
(19,6),-3.60245 # DEPENDENCYPART_ARC
(19,7),-5.93555 # DEPENDENCYPART_ARC
(19,8),-5.83296 # DEPENDENCYPART_ARC
(19,9),-2.31984 # DEPENDENCYPART_ARC
(19,10),-4.75249 # DEPENDENCYPART_ARC
(19,11),-0.766535 # DEPENDENCYPART_ARC
