# _root_ jiná , určená k setí přímo do země , se mohou prodávat i později .
#goldHeads=2,11,2,3,4,8,5,7,2,11,0,11,14,12,0,
#predictedHeads=2,9,2,3,4,8,3,7,11,12,0,11,14,12,0,
(5,13),-1.58827 # DEPENDENCYPART_ARC
(5,14),-1.70638 # DEPENDENCYPART_ARC
(5,15),-2.34249 # DEPENDENCYPART_ARC
(6,1),-1.81968 # DEPENDENCYPART_ARC
(6,2),-0.49036 # DEPENDENCYPART_ARC
(6,3),-1.63045 # DEPENDENCYPART_ARC
(6,4),0.376697 # DEPENDENCYPART_ARC
(6,5),-0.600354 # DEPENDENCYPART_ARC
(6,7),0.44763 # DEPENDENCYPART_ARC
(6,8),-0.089269 # DEPENDENCYPART_ARC
(6,9),-0.804832 # DEPENDENCYPART_ARC
(6,11),-2.23667 # DEPENDENCYPART_ARC
(6,12),-1.36032 # DEPENDENCYPART_ARC
(6,13),-1.83313 # DEPENDENCYPART_ARC
(6,14),-1.80249 # DEPENDENCYPART_ARC
(6,15),-1.06502 # DEPENDENCYPART_ARC
(7,1),-3.02068 # DEPENDENCYPART_ARC
(7,2),-0.418825 # DEPENDENCYPART_ARC
(7,3),-2.47394 # DEPENDENCYPART_ARC
(7,4),-0.993108 # DEPENDENCYPART_ARC
(7,5),-0.352 # DEPENDENCYPART_ARC
(7,6),0.235584 # DEPENDENCYPART_ARC
(7,8),3.84991 # DEPENDENCYPART_ARC
(7,9),0.238106 # DEPENDENCYPART_ARC
(7,11),-1.1969 # DEPENDENCYPART_ARC
(7,13),-2.10859 # DEPENDENCYPART_ARC
(7,14),-1.89309 # DEPENDENCYPART_ARC
(7,15),-1.64632 # DEPENDENCYPART_ARC
(8,1),-7.66942 # DEPENDENCYPART_ARC
(8,2),-0.399003 # DEPENDENCYPART_ARC
(8,3),-7.00739 # DEPENDENCYPART_ARC
(8,4),-0.29768 # DEPENDENCYPART_ARC
(8,5),-2.8814 # DEPENDENCYPART_ARC
(8,6),1.65631 # DEPENDENCYPART_ARC
(8,7),0.363913 # DEPENDENCYPART_ARC
(8,9),-0.584233 # DEPENDENCYPART_ARC
(8,10),-1.95933 # DEPENDENCYPART_ARC
(8,11),0.300018 # DEPENDENCYPART_ARC
(8,12),0.599272 # DEPENDENCYPART_ARC
(8,13),-0.716437 # DEPENDENCYPART_ARC
(8,14),-0.946496 # DEPENDENCYPART_ARC
(8,15),-1.06481 # DEPENDENCYPART_ARC
(9,1),-1.05761 # DEPENDENCYPART_ARC
(9,2),-0.115228 # DEPENDENCYPART_ARC
(9,3),-1.24752 # DEPENDENCYPART_ARC
(9,4),-0.534893 # DEPENDENCYPART_ARC
(9,5),-0.0525821 # DEPENDENCYPART_ARC
(9,6),-0.332057 # DEPENDENCYPART_ARC
(9,7),-0.609425 # DEPENDENCYPART_ARC
(9,8),0.58803 # DEPENDENCYPART_ARC
(9,10),0.388498 # DEPENDENCYPART_ARC
(9,11),0.791537 # DEPENDENCYPART_ARC
(9,12),-0.260138 # DEPENDENCYPART_ARC
(9,13),-1.09268 # DEPENDENCYPART_ARC
(9,14),-0.574434 # DEPENDENCYPART_ARC
(9,15),-0.0106907 # DEPENDENCYPART_ARC
(11,1),-2.19385 # DEPENDENCYPART_ARC
(11,2),-0.495206 # DEPENDENCYPART_ARC
(11,3),-1.25585 # DEPENDENCYPART_ARC
(11,4),-1.2312 # DEPENDENCYPART_ARC
(11,5),-1.96809 # DEPENDENCYPART_ARC
(11,6),0.0357908 # DEPENDENCYPART_ARC
(11,7),0.510649 # DEPENDENCYPART_ARC
(11,8),-4.20265 # DEPENDENCYPART_ARC
(11,9),2.01715 # DEPENDENCYPART_ARC
(11,10),2.46799 # DEPENDENCYPART_ARC
(11,12),3.3917 # DEPENDENCYPART_ARC
(11,13),0.160386 # DEPENDENCYPART_ARC
(11,14),0.366591 # DEPENDENCYPART_ARC
(11,15),0.216622 # DEPENDENCYPART_ARC
(12,1),-1.35498 # DEPENDENCYPART_ARC
(12,2),-0.979026 # DEPENDENCYPART_ARC
(12,3),-0.790396 # DEPENDENCYPART_ARC
(12,4),0.223509 # DEPENDENCYPART_ARC
(12,5),0.279606 # DEPENDENCYPART_ARC
(12,6),0.189642 # DEPENDENCYPART_ARC
(12,7),0.619606 # DEPENDENCYPART_ARC
(12,8),-1.92287 # DEPENDENCYPART_ARC
(12,9),0.876737 # DEPENDENCYPART_ARC
(12,10),3.41876 # DEPENDENCYPART_ARC
(12,11),-0.185993 # DEPENDENCYPART_ARC
(12,13),-0.0468874 # DEPENDENCYPART_ARC
(12,14),1.44407 # DEPENDENCYPART_ARC
(12,15),-0.244666 # DEPENDENCYPART_ARC
(13,1),-1.62983 # DEPENDENCYPART_ARC
(13,2),-1.59738 # DEPENDENCYPART_ARC
(13,3),-1.99708 # DEPENDENCYPART_ARC
(13,4),-0.959115 # DEPENDENCYPART_ARC
(13,5),-1.47426 # DEPENDENCYPART_ARC
(13,6),-0.70473 # DEPENDENCYPART_ARC
(13,7),-0.307444 # DEPENDENCYPART_ARC
(13,8),-1.17685 # DEPENDENCYPART_ARC
(13,9),-0.592155 # DEPENDENCYPART_ARC
(13,10),0.494396 # DEPENDENCYPART_ARC
(13,11),-0.567722 # DEPENDENCYPART_ARC
(13,12),0.0673315 # DEPENDENCYPART_ARC
(13,14),0.856325 # DEPENDENCYPART_ARC
(13,15),0.437656 # DEPENDENCYPART_ARC
(14,1),-2.31684 # DEPENDENCYPART_ARC
(14,2),-0.936892 # DEPENDENCYPART_ARC
(14,3),-2.31873 # DEPENDENCYPART_ARC
(14,4),-0.251539 # DEPENDENCYPART_ARC
(14,5),-1.084 # DEPENDENCYPART_ARC
(14,6),0.589695 # DEPENDENCYPART_ARC
(14,7),-0.188941 # DEPENDENCYPART_ARC
(14,8),0.200827 # DEPENDENCYPART_ARC
(14,9),0.00595991 # DEPENDENCYPART_ARC
(14,11),-0.394135 # DEPENDENCYPART_ARC
(14,12),0.719382 # DEPENDENCYPART_ARC
(14,13),2.18619 # DEPENDENCYPART_ARC
(14,15),1.31464 # DEPENDENCYPART_ARC
(15,1),-4.66088 # DEPENDENCYPART_ARC
(15,2),-4.66843 # DEPENDENCYPART_ARC
(15,3),-4.81255 # DEPENDENCYPART_ARC
(15,4),-4.46895 # DEPENDENCYPART_ARC
(15,5),-4.62625 # DEPENDENCYPART_ARC
(15,6),-4.03743 # DEPENDENCYPART_ARC
(15,7),-4.18103 # DEPENDENCYPART_ARC
(15,8),-3.63973 # DEPENDENCYPART_ARC
(15,9),-3.25389 # DEPENDENCYPART_ARC
(15,10),-3.19268 # DEPENDENCYPART_ARC
(15,11),-3.7474 # DEPENDENCYPART_ARC
(15,12),-3.48622 # DEPENDENCYPART_ARC
(15,13),-3.27975 # DEPENDENCYPART_ARC
(15,14),-3.06832 # DEPENDENCYPART_ARC
