# _root_ Celý film připomíná spíš několik samostatných , volně řazených epizod , v nichž se vždycky jedna z hrdinek octne v nesnázích a zbývající tři ji společně zachraňují .
#goldHeads=2,3,0,3,3,7,10,9,7,5,22,22,12,19,19,19,16,17,22,19,20,10,27,27,27,27,22,0,
#predictedHeads=2,3,0,5,3,7,10,9,10,5,19,27,12,19,19,19,16,17,10,19,20,20,27,27,27,27,22,0,
(2,3),-0.635026 # DEPENDENCYPART_ARC
(2,4),-0.630766 # DEPENDENCYPART_ARC
(2,5),-1.47884 # DEPENDENCYPART_ARC
(2,6),-3.82467 # DEPENDENCYPART_ARC
(2,7),-0.877457 # DEPENDENCYPART_ARC
(2,8),-0.79932 # DEPENDENCYPART_ARC
(2,9),-4.2656 # DEPENDENCYPART_ARC
(2,10),-0.970036 # DEPENDENCYPART_ARC
(2,11),-0.764028 # DEPENDENCYPART_ARC
(2,12),-1.60394 # DEPENDENCYPART_ARC
(2,13),-2.21086 # DEPENDENCYPART_ARC
(2,14),-3.09145 # DEPENDENCYPART_ARC
(2,15),-1.32326 # DEPENDENCYPART_ARC
(2,16),-2.1778 # DEPENDENCYPART_ARC
(2,17),-1.63804 # DEPENDENCYPART_ARC
(2,18),-2.78257 # DEPENDENCYPART_ARC
(2,19),-1.97035 # DEPENDENCYPART_ARC
(2,20),-3.51473 # DEPENDENCYPART_ARC
(2,21),-4.86538 # DEPENDENCYPART_ARC
(2,22),-1.53575 # DEPENDENCYPART_ARC
(2,23),-4.52667 # DEPENDENCYPART_ARC
(2,24),-3.60615 # DEPENDENCYPART_ARC
(2,25),-4.54999 # DEPENDENCYPART_ARC
(2,26),-2.32224 # DEPENDENCYPART_ARC
(2,27),-4.08605 # DEPENDENCYPART_ARC
(2,28),-8.69365 # DEPENDENCYPART_ARC
(3,1),0.828517 # DEPENDENCYPART_ARC
(3,2),3.14634 # DEPENDENCYPART_ARC
(3,4),1.8937 # DEPENDENCYPART_ARC
(3,5),2.0576 # DEPENDENCYPART_ARC
(3,6),-2.16289 # DEPENDENCYPART_ARC
(3,7),0.0866847 # DEPENDENCYPART_ARC
(3,8),0.306961 # DEPENDENCYPART_ARC
(3,9),-4.73322 # DEPENDENCYPART_ARC
(3,10),-0.542628 # DEPENDENCYPART_ARC
(3,11),0.380382 # DEPENDENCYPART_ARC
(3,12),-0.485614 # DEPENDENCYPART_ARC
(3,13),-3.71561 # DEPENDENCYPART_ARC
(3,14),-0.74531 # DEPENDENCYPART_ARC
(3,15),-0.344522 # DEPENDENCYPART_ARC
(3,16),-0.0472186 # DEPENDENCYPART_ARC
(3,17),-0.609828 # DEPENDENCYPART_ARC
(3,18),-3.24881 # DEPENDENCYPART_ARC
(3,19),-0.991197 # DEPENDENCYPART_ARC
(3,20),-1.08884 # DEPENDENCYPART_ARC
(3,21),-2.98273 # DEPENDENCYPART_ARC
(3,22),0.22861 # DEPENDENCYPART_ARC
(3,23),-3.93869 # DEPENDENCYPART_ARC
(3,24),-2.42559 # DEPENDENCYPART_ARC
(3,25),-3.99389 # DEPENDENCYPART_ARC
(3,26),-1.93653 # DEPENDENCYPART_ARC
(3,27),-1.79757 # DEPENDENCYPART_ARC
(3,28),0.126061 # DEPENDENCYPART_ARC
(4,1),-2.47277 # DEPENDENCYPART_ARC
(4,2),-1.4076 # DEPENDENCYPART_ARC
(4,3),-0.961287 # DEPENDENCYPART_ARC
(4,5),0.0726202 # DEPENDENCYPART_ARC
(4,6),-0.140394 # DEPENDENCYPART_ARC
(4,7),-0.272944 # DEPENDENCYPART_ARC
(4,8),-0.503462 # DEPENDENCYPART_ARC
(4,9),-0.800519 # DEPENDENCYPART_ARC
(4,10),0.440744 # DEPENDENCYPART_ARC
(4,11),-0.576045 # DEPENDENCYPART_ARC
(4,12),-2.15315 # DEPENDENCYPART_ARC
(4,13),-1.26407 # DEPENDENCYPART_ARC
(4,14),-1.85053 # DEPENDENCYPART_ARC
(4,15),-1.34461 # DEPENDENCYPART_ARC
(4,16),-1.93835 # DEPENDENCYPART_ARC
(4,17),-1.75547 # DEPENDENCYPART_ARC
(4,18),-0.722556 # DEPENDENCYPART_ARC
(4,19),-2.03285 # DEPENDENCYPART_ARC
(4,20),-2.67127 # DEPENDENCYPART_ARC
(4,21),-2.61929 # DEPENDENCYPART_ARC
(4,22),-1.78537 # DEPENDENCYPART_ARC
(4,23),-2.48029 # DEPENDENCYPART_ARC
(4,24),-1.85858 # DEPENDENCYPART_ARC
(4,25),-2.9033 # DEPENDENCYPART_ARC
(4,26),-2.0687 # DEPENDENCYPART_ARC
(4,27),-2.96647 # DEPENDENCYPART_ARC
(4,28),-3.46321 # DEPENDENCYPART_ARC
(5,1),-0.829446 # DEPENDENCYPART_ARC
(5,2),-0.252506 # DEPENDENCYPART_ARC
(5,3),-1.01705 # DEPENDENCYPART_ARC
(5,4),2.03552 # DEPENDENCYPART_ARC
(5,6),1.30062 # DEPENDENCYPART_ARC
(5,7),-0.309115 # DEPENDENCYPART_ARC
(5,8),-0.242168 # DEPENDENCYPART_ARC
(5,9),-0.426772 # DEPENDENCYPART_ARC
(5,10),2.19235 # DEPENDENCYPART_ARC
(5,11),-0.882101 # DEPENDENCYPART_ARC
(5,12),-0.9363 # DEPENDENCYPART_ARC
(5,13),-1.08213 # DEPENDENCYPART_ARC
(5,14),-0.986104 # DEPENDENCYPART_ARC
(5,15),-0.957874 # DEPENDENCYPART_ARC
(5,16),-2.50181 # DEPENDENCYPART_ARC
(5,17),-1.38047 # DEPENDENCYPART_ARC
(5,18),-0.234203 # DEPENDENCYPART_ARC
(5,19),-1.31138 # DEPENDENCYPART_ARC
(5,20),-1.90238 # DEPENDENCYPART_ARC
(5,21),-1.20007 # DEPENDENCYPART_ARC
(5,22),-0.911836 # DEPENDENCYPART_ARC
(5,23),-2.94401 # DEPENDENCYPART_ARC
(5,24),-3.52978 # DEPENDENCYPART_ARC
(5,25),-1.29128 # DEPENDENCYPART_ARC
(5,26),-1.66371 # DEPENDENCYPART_ARC
(5,27),-1.74973 # DEPENDENCYPART_ARC
(5,28),-3.39817 # DEPENDENCYPART_ARC
(6,1),-4.31385 # DEPENDENCYPART_ARC
(6,2),-3.05996 # DEPENDENCYPART_ARC
(6,3),-2.19149 # DEPENDENCYPART_ARC
(6,4),0.421539 # DEPENDENCYPART_ARC
(6,5),0.0675176 # DEPENDENCYPART_ARC
(6,7),0.0906673 # DEPENDENCYPART_ARC
(6,8),0.140796 # DEPENDENCYPART_ARC
(6,9),-2.20794 # DEPENDENCYPART_ARC
(6,10),-2.05744 # DEPENDENCYPART_ARC
(6,11),-0.713172 # DEPENDENCYPART_ARC
(6,12),-0.923386 # DEPENDENCYPART_ARC
(6,13),-2.2476 # DEPENDENCYPART_ARC
(6,14),-1.38139 # DEPENDENCYPART_ARC
(6,15),-0.862013 # DEPENDENCYPART_ARC
(6,16),-3.23451 # DEPENDENCYPART_ARC
(6,17),-1.00363 # DEPENDENCYPART_ARC
(6,18),-3.94382 # DEPENDENCYPART_ARC
(6,19),-2.15832 # DEPENDENCYPART_ARC
(6,20),-1.5307 # DEPENDENCYPART_ARC
(6,21),-4.36771 # DEPENDENCYPART_ARC
(6,22),-1.77787 # DEPENDENCYPART_ARC
(6,23),-3.81638 # DEPENDENCYPART_ARC
(6,24),-3.54927 # DEPENDENCYPART_ARC
(6,25),-5.35402 # DEPENDENCYPART_ARC
(6,26),-1.69297 # DEPENDENCYPART_ARC
(6,27),-2.43142 # DEPENDENCYPART_ARC
(6,28),-3.39614 # DEPENDENCYPART_ARC
(7,1),-0.0256273 # DEPENDENCYPART_ARC
(7,2),-0.464793 # DEPENDENCYPART_ARC
(7,3),1.09062 # DEPENDENCYPART_ARC
(7,4),0.844661 # DEPENDENCYPART_ARC
(7,5),0.369644 # DEPENDENCYPART_ARC
(7,6),1.32669 # DEPENDENCYPART_ARC
(7,8),0.495004 # DEPENDENCYPART_ARC
(7,9),3.23506 # DEPENDENCYPART_ARC
(7,10),0.245618 # DEPENDENCYPART_ARC
(7,11),-0.013847 # DEPENDENCYPART_ARC
(7,12),-0.471395 # DEPENDENCYPART_ARC
(7,13),-0.525713 # DEPENDENCYPART_ARC
(7,14),-0.834675 # DEPENDENCYPART_ARC
(7,15),-0.246752 # DEPENDENCYPART_ARC
(7,16),-0.308593 # DEPENDENCYPART_ARC
(7,17),-0.487495 # DEPENDENCYPART_ARC
(7,18),-1.45974 # DEPENDENCYPART_ARC
(7,19),-0.220745 # DEPENDENCYPART_ARC
(7,20),-1.5016 # DEPENDENCYPART_ARC
(7,21),-2.10214 # DEPENDENCYPART_ARC
(7,22),-0.189642 # DEPENDENCYPART_ARC
(7,23),-0.316427 # DEPENDENCYPART_ARC
(7,24),-1.16975 # DEPENDENCYPART_ARC
(7,25),-1.14306 # DEPENDENCYPART_ARC
(7,26),-1.0735 # DEPENDENCYPART_ARC
(7,27),-1.06308 # DEPENDENCYPART_ARC
(7,28),-0.879031 # DEPENDENCYPART_ARC
(8,1),-2.01014 # DEPENDENCYPART_ARC
(8,2),-1.29904 # DEPENDENCYPART_ARC
(8,3),-0.995609 # DEPENDENCYPART_ARC
(8,4),0.451326 # DEPENDENCYPART_ARC
(8,5),-0.195899 # DEPENDENCYPART_ARC
(8,6),0.334478 # DEPENDENCYPART_ARC
(8,7),0.627691 # DEPENDENCYPART_ARC
(8,9),1.03141 # DEPENDENCYPART_ARC
(8,10),1.76748 # DEPENDENCYPART_ARC
(8,11),0.212545 # DEPENDENCYPART_ARC
(8,12),-0.214068 # DEPENDENCYPART_ARC
(8,13),-0.50376 # DEPENDENCYPART_ARC
(8,14),-1.11182 # DEPENDENCYPART_ARC
(8,15),-0.609396 # DEPENDENCYPART_ARC
(8,16),-1.33464 # DEPENDENCYPART_ARC
(8,17),-0.735804 # DEPENDENCYPART_ARC
(8,18),-1.03787 # DEPENDENCYPART_ARC
(8,19),-0.780307 # DEPENDENCYPART_ARC
(8,20),-1.04777 # DEPENDENCYPART_ARC
(8,21),-2.30741 # DEPENDENCYPART_ARC
(8,22),-1.15993 # DEPENDENCYPART_ARC
(8,23),-1.7594 # DEPENDENCYPART_ARC
(8,24),-1.68903 # DEPENDENCYPART_ARC
(8,25),-2.14774 # DEPENDENCYPART_ARC
(8,26),-1.71261 # DEPENDENCYPART_ARC
(8,27),-1.52074 # DEPENDENCYPART_ARC
(8,28),-2.23123 # DEPENDENCYPART_ARC
(9,1),-5.05544 # DEPENDENCYPART_ARC
(9,2),-4.09144 # DEPENDENCYPART_ARC
(9,3),-2.73423 # DEPENDENCYPART_ARC
(9,4),-0.583325 # DEPENDENCYPART_ARC
(9,5),-1.34705 # DEPENDENCYPART_ARC
(9,6),-2.62693 # DEPENDENCYPART_ARC
(9,7),0.567063 # DEPENDENCYPART_ARC
(9,8),2.13078 # DEPENDENCYPART_ARC
(9,10),-0.076293 # DEPENDENCYPART_ARC
(9,11),-0.109273 # DEPENDENCYPART_ARC
(9,12),-0.630226 # DEPENDENCYPART_ARC
(9,13),-1.79591 # DEPENDENCYPART_ARC
(9,14),-0.984916 # DEPENDENCYPART_ARC
(9,15),-0.942101 # DEPENDENCYPART_ARC
(9,16),-3.20421 # DEPENDENCYPART_ARC
(9,17),-0.783228 # DEPENDENCYPART_ARC
(9,18),-3.78444 # DEPENDENCYPART_ARC
(9,19),-2.55658 # DEPENDENCYPART_ARC
(9,20),-1.47085 # DEPENDENCYPART_ARC
(9,21),-4.04179 # DEPENDENCYPART_ARC
(9,22),-1.10215 # DEPENDENCYPART_ARC
(9,23),-3.91351 # DEPENDENCYPART_ARC
(9,24),-3.45733 # DEPENDENCYPART_ARC
(9,25),-5.31332 # DEPENDENCYPART_ARC
(9,26),-1.79457 # DEPENDENCYPART_ARC
(9,27),-3.1013 # DEPENDENCYPART_ARC
(9,28),-2.64231 # DEPENDENCYPART_ARC
(10,1),-4.12919 # DEPENDENCYPART_ARC
(10,2),-4.40303 # DEPENDENCYPART_ARC
(10,3),-1.68601 # DEPENDENCYPART_ARC
(10,4),-0.331836 # DEPENDENCYPART_ARC
(10,5),-1.22356 # DEPENDENCYPART_ARC
(10,6),1.23026 # DEPENDENCYPART_ARC
(10,7),1.39221 # DEPENDENCYPART_ARC
(10,8),0.455432 # DEPENDENCYPART_ARC
(10,9),3.90789 # DEPENDENCYPART_ARC
(10,11),-0.332237 # DEPENDENCYPART_ARC
(10,12),-0.385665 # DEPENDENCYPART_ARC
(10,13),-1.19764 # DEPENDENCYPART_ARC
(10,14),-2.27481 # DEPENDENCYPART_ARC
(10,15),-0.147287 # DEPENDENCYPART_ARC
(10,16),-1.56734 # DEPENDENCYPART_ARC
(10,17),-0.754508 # DEPENDENCYPART_ARC
(10,18),-1.21039 # DEPENDENCYPART_ARC
(10,19),1.14747 # DEPENDENCYPART_ARC
(10,20),-2.19235 # DEPENDENCYPART_ARC
(10,21),-3.88863 # DEPENDENCYPART_ARC
(10,22),-0.0352315 # DEPENDENCYPART_ARC
(10,23),-2.85616 # DEPENDENCYPART_ARC
(10,24),-2.99294 # DEPENDENCYPART_ARC
(10,25),-4.19978 # DEPENDENCYPART_ARC
(10,26),-1.30861 # DEPENDENCYPART_ARC
(10,27),-0.162548 # DEPENDENCYPART_ARC
(10,28),-5.07315 # DEPENDENCYPART_ARC
(11,1),-0.805905 # DEPENDENCYPART_ARC
(11,2),-1.37046 # DEPENDENCYPART_ARC
(11,3),0.129753 # DEPENDENCYPART_ARC
(11,4),-0.0925091 # DEPENDENCYPART_ARC
(11,5),-0.706018 # DEPENDENCYPART_ARC
(11,6),-0.224304 # DEPENDENCYPART_ARC
(11,7),0.144874 # DEPENDENCYPART_ARC
(11,8),0.151026 # DEPENDENCYPART_ARC
(11,9),-0.245903 # DEPENDENCYPART_ARC
(11,10),-0.455247 # DEPENDENCYPART_ARC
(11,12),0.476416 # DEPENDENCYPART_ARC
(11,13),-0.0950563 # DEPENDENCYPART_ARC
(11,14),-0.394105 # DEPENDENCYPART_ARC
(11,15),-0.0234073 # DEPENDENCYPART_ARC
(11,16),-0.20804 # DEPENDENCYPART_ARC
(11,17),-0.49033 # DEPENDENCYPART_ARC
(11,18),-1.17304 # DEPENDENCYPART_ARC
(11,19),0.540919 # DEPENDENCYPART_ARC
(11,20),-1.13197 # DEPENDENCYPART_ARC
(11,21),-1.70671 # DEPENDENCYPART_ARC
(11,22),-0.822647 # DEPENDENCYPART_ARC
(11,23),-1.25393 # DEPENDENCYPART_ARC
(11,24),-1.11643 # DEPENDENCYPART_ARC
(11,25),-1.24453 # DEPENDENCYPART_ARC
(11,26),-1.01927 # DEPENDENCYPART_ARC
(11,27),-0.978024 # DEPENDENCYPART_ARC
(11,28),-0.718713 # DEPENDENCYPART_ARC
(12,1),-3.95831 # DEPENDENCYPART_ARC
(12,2),-4.64948 # DEPENDENCYPART_ARC
(12,3),-3.69329 # DEPENDENCYPART_ARC
(12,4),-3.15946 # DEPENDENCYPART_ARC
(12,5),-3.2362 # DEPENDENCYPART_ARC
(12,6),-3.6883 # DEPENDENCYPART_ARC
(12,7),-1.52318 # DEPENDENCYPART_ARC
(12,8),-2.69271 # DEPENDENCYPART_ARC
(12,9),-2.90921 # DEPENDENCYPART_ARC
(12,10),-3.19951 # DEPENDENCYPART_ARC
(12,11),-0.606863 # DEPENDENCYPART_ARC
(12,13),3.20164 # DEPENDENCYPART_ARC
(12,14),0.10811 # DEPENDENCYPART_ARC
(12,15),-0.8319 # DEPENDENCYPART_ARC
(12,16),-2.00609 # DEPENDENCYPART_ARC
(12,17),-1.4649 # DEPENDENCYPART_ARC
(12,18),-0.833375 # DEPENDENCYPART_ARC
(12,19),-1.87674 # DEPENDENCYPART_ARC
(12,20),-2.03616 # DEPENDENCYPART_ARC
(12,21),-1.66424 # DEPENDENCYPART_ARC
(12,22),-1.6285 # DEPENDENCYPART_ARC
(12,23),-4.14394 # DEPENDENCYPART_ARC
(12,24),-4.27814 # DEPENDENCYPART_ARC
(12,25),-3.10181 # DEPENDENCYPART_ARC
(12,26),-2.95397 # DEPENDENCYPART_ARC
(12,27),-2.46763 # DEPENDENCYPART_ARC
(12,28),-3.20395 # DEPENDENCYPART_ARC
(13,1),-4.08838 # DEPENDENCYPART_ARC
(13,2),-3.48061 # DEPENDENCYPART_ARC
(13,3),-2.94494 # DEPENDENCYPART_ARC
(13,4),-1.90819 # DEPENDENCYPART_ARC
(13,5),-2.34343 # DEPENDENCYPART_ARC
(13,6),-3.03436 # DEPENDENCYPART_ARC
(13,7),-1.59595 # DEPENDENCYPART_ARC
(13,8),-1.64278 # DEPENDENCYPART_ARC
(13,9),-2.35418 # DEPENDENCYPART_ARC
(13,10),-1.52214 # DEPENDENCYPART_ARC
(13,11),-0.781295 # DEPENDENCYPART_ARC
(13,12),-0.828944 # DEPENDENCYPART_ARC
(13,14),-1.48933 # DEPENDENCYPART_ARC
(13,15),-1.22439 # DEPENDENCYPART_ARC
(13,16),-1.2157 # DEPENDENCYPART_ARC
(13,17),-0.83235 # DEPENDENCYPART_ARC
(13,18),-2.23342 # DEPENDENCYPART_ARC
(13,19),-1.71772 # DEPENDENCYPART_ARC
(13,20),-1.73772 # DEPENDENCYPART_ARC
(13,21),-2.34916 # DEPENDENCYPART_ARC
(13,22),-1.02598 # DEPENDENCYPART_ARC
(13,23),-3.29476 # DEPENDENCYPART_ARC
(13,24),-2.54853 # DEPENDENCYPART_ARC
(13,25),-4.88551 # DEPENDENCYPART_ARC
(13,26),-2.65037 # DEPENDENCYPART_ARC
(13,27),-3.01671 # DEPENDENCYPART_ARC
(13,28),-2.19494 # DEPENDENCYPART_ARC
(14,1),-4.73529 # DEPENDENCYPART_ARC
(14,2),-3.72971 # DEPENDENCYPART_ARC
(14,3),-2.48511 # DEPENDENCYPART_ARC
(14,4),-2.26995 # DEPENDENCYPART_ARC
(14,5),-2.55374 # DEPENDENCYPART_ARC
(14,6),-4.14952 # DEPENDENCYPART_ARC
(14,7),-2.20143 # DEPENDENCYPART_ARC
(14,8),-2.05025 # DEPENDENCYPART_ARC
(14,9),-3.53678 # DEPENDENCYPART_ARC
(14,10),-2.3856 # DEPENDENCYPART_ARC
(14,11),-1.57523 # DEPENDENCYPART_ARC
(14,12),-0.937386 # DEPENDENCYPART_ARC
(14,13),-0.746582 # DEPENDENCYPART_ARC
(14,15),-1.11272 # DEPENDENCYPART_ARC
(14,16),-1.43752 # DEPENDENCYPART_ARC
(14,17),-1.64102 # DEPENDENCYPART_ARC
(14,18),-2.06962 # DEPENDENCYPART_ARC
(14,19),-3.17893 # DEPENDENCYPART_ARC
(14,20),-2.53594 # DEPENDENCYPART_ARC
(14,21),-2.31869 # DEPENDENCYPART_ARC
(14,22),-1.78029 # DEPENDENCYPART_ARC
(14,23),-3.61 # DEPENDENCYPART_ARC
(14,24),-2.55835 # DEPENDENCYPART_ARC
(14,25),-3.42909 # DEPENDENCYPART_ARC
(14,26),-2.1461 # DEPENDENCYPART_ARC
(14,27),-5.41856 # DEPENDENCYPART_ARC
(14,28),-2.68993 # DEPENDENCYPART_ARC
(15,1),-2.26555 # DEPENDENCYPART_ARC
(15,2),-2.71463 # DEPENDENCYPART_ARC
(15,3),-2.18958 # DEPENDENCYPART_ARC
(15,4),-1.96004 # DEPENDENCYPART_ARC
(15,5),-1.64472 # DEPENDENCYPART_ARC
(15,6),-1.76971 # DEPENDENCYPART_ARC
(15,7),-1.20844 # DEPENDENCYPART_ARC
(15,8),-1.5196 # DEPENDENCYPART_ARC
(15,9),-1.66261 # DEPENDENCYPART_ARC
(15,10),-1.37129 # DEPENDENCYPART_ARC
(15,11),-0.651721 # DEPENDENCYPART_ARC
(15,12),-0.733763 # DEPENDENCYPART_ARC
(15,13),-0.765707 # DEPENDENCYPART_ARC
(15,14),-0.330496 # DEPENDENCYPART_ARC
(15,16),-0.528313 # DEPENDENCYPART_ARC
(15,17),-1.02458 # DEPENDENCYPART_ARC
(15,18),-1.03854 # DEPENDENCYPART_ARC
(15,19),-1.09807 # DEPENDENCYPART_ARC
(15,20),-1.51171 # DEPENDENCYPART_ARC
(15,21),-2.24 # DEPENDENCYPART_ARC
(15,22),-1.19234 # DEPENDENCYPART_ARC
(15,23),-1.8991 # DEPENDENCYPART_ARC
(15,24),-1.89721 # DEPENDENCYPART_ARC
(15,25),-2.30548 # DEPENDENCYPART_ARC
(15,26),-1.77321 # DEPENDENCYPART_ARC
(15,27),-1.96169 # DEPENDENCYPART_ARC
(15,28),-1.89918 # DEPENDENCYPART_ARC
(16,1),-1.90426 # DEPENDENCYPART_ARC
(16,2),-1.76725 # DEPENDENCYPART_ARC
(16,3),-3.33098 # DEPENDENCYPART_ARC
(16,4),-0.684214 # DEPENDENCYPART_ARC
(16,5),-2.35144 # DEPENDENCYPART_ARC
(16,6),-1.19931 # DEPENDENCYPART_ARC
(16,7),-1.05716 # DEPENDENCYPART_ARC
(16,8),-0.70653 # DEPENDENCYPART_ARC
(16,9),-0.956463 # DEPENDENCYPART_ARC
(16,10),-1.91803 # DEPENDENCYPART_ARC
(16,11),-0.128845 # DEPENDENCYPART_ARC
(16,12),0.437976 # DEPENDENCYPART_ARC
(16,13),-1.00244 # DEPENDENCYPART_ARC
(16,14),0.354302 # DEPENDENCYPART_ARC
(16,15),1.4347 # DEPENDENCYPART_ARC
(16,17),2.89583 # DEPENDENCYPART_ARC
(16,18),1.5736 # DEPENDENCYPART_ARC
(16,19),-0.777587 # DEPENDENCYPART_ARC
(16,20),0.476314 # DEPENDENCYPART_ARC
(16,21),-0.831034 # DEPENDENCYPART_ARC
(16,22),-0.55889 # DEPENDENCYPART_ARC
(16,23),-1.43744 # DEPENDENCYPART_ARC
(16,24),-1.57145 # DEPENDENCYPART_ARC
(16,25),-0.346533 # DEPENDENCYPART_ARC
(16,26),-1.47351 # DEPENDENCYPART_ARC
(16,27),-1.95266 # DEPENDENCYPART_ARC
(16,28),-1.19873 # DEPENDENCYPART_ARC
(17,1),-3.52116 # DEPENDENCYPART_ARC
(17,2),-3.90092 # DEPENDENCYPART_ARC
(17,3),-3.6519 # DEPENDENCYPART_ARC
(17,4),-2.64766 # DEPENDENCYPART_ARC
(17,5),-2.88044 # DEPENDENCYPART_ARC
(17,6),-3.50648 # DEPENDENCYPART_ARC
(17,7),-0.937002 # DEPENDENCYPART_ARC
(17,8),-2.59718 # DEPENDENCYPART_ARC
(17,9),-3.36041 # DEPENDENCYPART_ARC
(17,10),-3.83104 # DEPENDENCYPART_ARC
(17,11),-0.336023 # DEPENDENCYPART_ARC
(17,12),-1.99362 # DEPENDENCYPART_ARC
(17,13),-1.86777 # DEPENDENCYPART_ARC
(17,14),-1.61701 # DEPENDENCYPART_ARC
(17,15),-0.752869 # DEPENDENCYPART_ARC
(17,16),-1.3727 # DEPENDENCYPART_ARC
(17,18),4.96414 # DEPENDENCYPART_ARC
(17,19),-0.731909 # DEPENDENCYPART_ARC
(17,20),-1.38029 # DEPENDENCYPART_ARC
(17,21),-1.31777 # DEPENDENCYPART_ARC
(17,22),-0.300439 # DEPENDENCYPART_ARC
(17,23),-3.54846 # DEPENDENCYPART_ARC
(17,24),-2.8396 # DEPENDENCYPART_ARC
(17,25),-2.3868 # DEPENDENCYPART_ARC
(17,26),-1.94908 # DEPENDENCYPART_ARC
(17,27),-1.77365 # DEPENDENCYPART_ARC
(17,28),-2.38882 # DEPENDENCYPART_ARC
(18,1),-7.29881 # DEPENDENCYPART_ARC
(18,2),-6.8504 # DEPENDENCYPART_ARC
(18,3),-3.06566 # DEPENDENCYPART_ARC
(18,4),-2.5479 # DEPENDENCYPART_ARC
(18,5),-4.79635 # DEPENDENCYPART_ARC
(18,6),-2.03051 # DEPENDENCYPART_ARC
(18,7),-1.19514 # DEPENDENCYPART_ARC
(18,8),-2.24329 # DEPENDENCYPART_ARC
(18,9),-0.882738 # DEPENDENCYPART_ARC
(18,10),-3.66131 # DEPENDENCYPART_ARC
(18,11),-1.4708 # DEPENDENCYPART_ARC
(18,12),-1.90207 # DEPENDENCYPART_ARC
(18,13),-0.647045 # DEPENDENCYPART_ARC
(18,14),-2.24804 # DEPENDENCYPART_ARC
(18,15),-0.140775 # DEPENDENCYPART_ARC
(18,16),-0.94048 # DEPENDENCYPART_ARC
(18,17),0.752961 # DEPENDENCYPART_ARC
(18,19),-0.76719 # DEPENDENCYPART_ARC
