# _root_ Významnou funkcionalistickou stavbu , která vyhořela v roce 1974 , rekonstruovala Národní galerie v letech 1987 až 1993 .
#goldHeads=3,3,11,6,6,3,6,7,8,6,0,13,11,11,14,17,15,17,0,
#predictedHeads=3,3,11,6,6,3,6,7,8,6,0,13,11,13,14,17,15,17,0,
(10,1),-0.864559 # DEPENDENCYPART_ARC
(10,2),-0.914423 # DEPENDENCYPART_ARC
(10,3),-0.740934 # DEPENDENCYPART_ARC
(10,4),-0.0426339 # DEPENDENCYPART_ARC
(10,5),0.078351 # DEPENDENCYPART_ARC
(10,6),0.536401 # DEPENDENCYPART_ARC
(10,7),0.259411 # DEPENDENCYPART_ARC
(10,8),0.770899 # DEPENDENCYPART_ARC
(10,9),-0.344565 # DEPENDENCYPART_ARC
(10,11),0.458553 # DEPENDENCYPART_ARC
(10,12),-0.0817328 # DEPENDENCYPART_ARC
(10,13),-0.998731 # DEPENDENCYPART_ARC
(10,14),-0.663251 # DEPENDENCYPART_ARC
(10,15),-1.41647 # DEPENDENCYPART_ARC
(10,16),-0.763961 # DEPENDENCYPART_ARC
(10,17),-1.06578 # DEPENDENCYPART_ARC
(10,18),-1.29577 # DEPENDENCYPART_ARC
(10,19),-0.940082 # DEPENDENCYPART_ARC
(11,1),-1.94598 # DEPENDENCYPART_ARC
(11,2),-2.40937 # DEPENDENCYPART_ARC
(11,3),0.125371 # DEPENDENCYPART_ARC
(11,4),0.890665 # DEPENDENCYPART_ARC
(11,5),1.74305 # DEPENDENCYPART_ARC
(11,6),-1.27343 # DEPENDENCYPART_ARC
(11,7),0.919734 # DEPENDENCYPART_ARC
(11,8),0.350096 # DEPENDENCYPART_ARC
(11,9),0.441452 # DEPENDENCYPART_ARC
(11,10),0.323814 # DEPENDENCYPART_ARC
(11,12),1.62032 # DEPENDENCYPART_ARC
(11,13),3.86098 # DEPENDENCYPART_ARC
(11,14),1.65315 # DEPENDENCYPART_ARC
(11,15),-0.475731 # DEPENDENCYPART_ARC
(11,16),0.609811 # DEPENDENCYPART_ARC
(11,17),0.410317 # DEPENDENCYPART_ARC
(11,18),-0.344612 # DEPENDENCYPART_ARC
(11,19),0.0101612 # DEPENDENCYPART_ARC
(12,1),-3.57761 # DEPENDENCYPART_ARC
(12,2),-3.62562 # DEPENDENCYPART_ARC
(12,3),-3.51845 # DEPENDENCYPART_ARC
(12,4),-2.2108 # DEPENDENCYPART_ARC
(12,5),-2.08857 # DEPENDENCYPART_ARC
(12,6),-3.8613 # DEPENDENCYPART_ARC
(12,7),-0.730536 # DEPENDENCYPART_ARC
(12,8),-2.91074 # DEPENDENCYPART_ARC
(12,9),-0.6402 # DEPENDENCYPART_ARC
(12,10),-0.638473 # DEPENDENCYPART_ARC
(12,11),-2.32162 # DEPENDENCYPART_ARC
(12,13),-0.102262 # DEPENDENCYPART_ARC
(12,14),0.030518 # DEPENDENCYPART_ARC
(12,15),-1.00553 # DEPENDENCYPART_ARC
(12,16),-0.918391 # DEPENDENCYPART_ARC
(12,17),-0.250642 # DEPENDENCYPART_ARC
(12,18),-1.20798 # DEPENDENCYPART_ARC
(12,19),-1.21497 # DEPENDENCYPART_ARC
(13,1),-2.55282 # DEPENDENCYPART_ARC
(13,2),-2.3924 # DEPENDENCYPART_ARC
(13,3),-5.32023 # DEPENDENCYPART_ARC
(13,4),-2.22075 # DEPENDENCYPART_ARC
(13,5),-0.316333 # DEPENDENCYPART_ARC
(13,6),-3.81891 # DEPENDENCYPART_ARC
(13,7),-1.1029 # DEPENDENCYPART_ARC
(13,8),-3.52013 # DEPENDENCYPART_ARC
(13,9),0.231432 # DEPENDENCYPART_ARC
(13,10),-0.890196 # DEPENDENCYPART_ARC
(13,11),-2.7127 # DEPENDENCYPART_ARC
(13,12),5.04568 # DEPENDENCYPART_ARC
(13,14),2.18471 # DEPENDENCYPART_ARC
(13,15),0.180229 # DEPENDENCYPART_ARC
(13,16),0.362665 # DEPENDENCYPART_ARC
(13,17),0.107022 # DEPENDENCYPART_ARC
(13,18),0.0246038 # DEPENDENCYPART_ARC
(13,19),-0.793688 # DEPENDENCYPART_ARC
(14,1),-3.52582 # DEPENDENCYPART_ARC
(14,2),-3.47597 # DEPENDENCYPART_ARC
(14,3),-4.29342 # DEPENDENCYPART_ARC
(14,4),-3.02857 # DEPENDENCYPART_ARC
(14,5),-2.79067 # DEPENDENCYPART_ARC
(14,6),-3.37726 # DEPENDENCYPART_ARC
(14,7),-2.50072 # DEPENDENCYPART_ARC
(14,8),-1.79201 # DEPENDENCYPART_ARC
(14,9),-2.45112 # DEPENDENCYPART_ARC
(14,10),-1.92288 # DEPENDENCYPART_ARC
(14,11),-2.52439 # DEPENDENCYPART_ARC
(14,12),-1.89274 # DEPENDENCYPART_ARC
(14,13),-2.67601 # DEPENDENCYPART_ARC
(14,15),4.49556 # DEPENDENCYPART_ARC
(14,16),-0.486412 # DEPENDENCYPART_ARC
(14,17),-0.584913 # DEPENDENCYPART_ARC
(14,18),-1.37314 # DEPENDENCYPART_ARC
(14,19),-0.917148 # DEPENDENCYPART_ARC
(15,1),-6.84997 # DEPENDENCYPART_ARC
(15,2),-6.67038 # DEPENDENCYPART_ARC
(15,3),-6.46833 # DEPENDENCYPART_ARC
(15,4),-2.78217 # DEPENDENCYPART_ARC
(15,5),-4.81677 # DEPENDENCYPART_ARC
(15,6),-5.26052 # DEPENDENCYPART_ARC
(15,7),-1.78429 # DEPENDENCYPART_ARC
(15,8),-1.86633 # DEPENDENCYPART_ARC
(15,9),-1.77533 # DEPENDENCYPART_ARC
(15,10),-1.64133 # DEPENDENCYPART_ARC
(15,11),-4.64284 # DEPENDENCYPART_ARC
(15,12),-3.13374 # DEPENDENCYPART_ARC
(15,13),-3.33163 # DEPENDENCYPART_ARC
(15,14),0.77841 # DEPENDENCYPART_ARC
(15,16),1.85192 # DEPENDENCYPART_ARC
(15,17),1.59543 # DEPENDENCYPART_ARC
(15,18),0.237937 # DEPENDENCYPART_ARC
(15,19),-0.16591 # DEPENDENCYPART_ARC
(16,1),-1.74297 # DEPENDENCYPART_ARC
(16,2),-1.82493 # DEPENDENCYPART_ARC
(16,3),-1.99655 # DEPENDENCYPART_ARC
(16,4),-2.5244 # DEPENDENCYPART_ARC
(16,5),-1.33353 # DEPENDENCYPART_ARC
(16,6),-2.41142 # DEPENDENCYPART_ARC
(16,7),-1.66085 # DEPENDENCYPART_ARC
(16,8),-1.32447 # DEPENDENCYPART_ARC
(16,9),-1.97297 # DEPENDENCYPART_ARC
(16,10),-1.43854 # DEPENDENCYPART_ARC
(16,11),-1.86812 # DEPENDENCYPART_ARC
(16,12),-0.702375 # DEPENDENCYPART_ARC
(16,13),-1.1257 # DEPENDENCYPART_ARC
(16,14),-0.617194 # DEPENDENCYPART_ARC
(16,15),0.233538 # DEPENDENCYPART_ARC
(16,17),-0.359843 # DEPENDENCYPART_ARC
(16,18),0.572096 # DEPENDENCYPART_ARC
(16,19),-0.271331 # DEPENDENCYPART_ARC
(17,1),-1.98155 # DEPENDENCYPART_ARC
(17,2),-1.99962 # DEPENDENCYPART_ARC
(17,3),-1.48143 # DEPENDENCYPART_ARC
(17,4),-2.8232 # DEPENDENCYPART_ARC
(17,5),0.012357 # DEPENDENCYPART_ARC
(17,6),-1.71059 # DEPENDENCYPART_ARC
(17,7),-1.10511 # DEPENDENCYPART_ARC
(17,8),-0.494767 # DEPENDENCYPART_ARC
(17,9),0.988781 # DEPENDENCYPART_ARC
(17,10),-0.689001 # DEPENDENCYPART_ARC
(17,11),-0.574928 # DEPENDENCYPART_ARC
(17,12),-0.460147 # DEPENDENCYPART_ARC
(17,13),0.152434 # DEPENDENCYPART_ARC
(17,14),0.161374 # DEPENDENCYPART_ARC
(17,15),0.686638 # DEPENDENCYPART_ARC
(17,16),3.8805 # DEPENDENCYPART_ARC
(17,18),3.09672 # DEPENDENCYPART_ARC
(17,19),0.801353 # DEPENDENCYPART_ARC
(18,1),-1.13638 # DEPENDENCYPART_ARC
(18,2),-1.16406 # DEPENDENCYPART_ARC
(18,3),-1.75565 # DEPENDENCYPART_ARC
(18,4),-2.1282 # DEPENDENCYPART_ARC
(18,5),-0.792595 # DEPENDENCYPART_ARC
(18,6),-2.03135 # DEPENDENCYPART_ARC
(18,7),-1.22239 # DEPENDENCYPART_ARC
(18,8),-1.34409 # DEPENDENCYPART_ARC
(18,9),-1.16378 # DEPENDENCYPART_ARC
(18,10),-1.13019 # DEPENDENCYPART_ARC
(18,11),-1.60314 # DEPENDENCYPART_ARC
(18,12),-0.359885 # DEPENDENCYPART_ARC
(18,13),-1.02621 # DEPENDENCYPART_ARC
(18,14),-0.504682 # DEPENDENCYPART_ARC
(18,15),-0.568873 # DEPENDENCYPART_ARC
(18,16),0.521232 # DEPENDENCYPART_ARC
(18,17),1.19129 # DEPENDENCYPART_ARC
(18,19),0.029829 # DEPENDENCYPART_ARC
(19,1),-4.2866 # DEPENDENCYPART_ARC
(19,2),-4.23089 # DEPENDENCYPART_ARC
(19,3),-6.06747 # DEPENDENCYPART_ARC
(19,4),-5.41817 # DEPENDENCYPART_ARC
(19,5),-3.69351 # DEPENDENCYPART_ARC
(19,6),-4.35857 # DEPENDENCYPART_ARC
(19,7),-3.77 # DEPENDENCYPART_ARC
(19,8),-4.45186 # DEPENDENCYPART_ARC
(19,9),-4.5045 # DEPENDENCYPART_ARC
(19,10),-4.40276 # DEPENDENCYPART_ARC
(19,11),-3.69678 # DEPENDENCYPART_ARC
(19,12),-3.14153 # DEPENDENCYPART_ARC
(19,13),-4.14209 # DEPENDENCYPART_ARC
(19,14),-3.28674 # DEPENDENCYPART_ARC
(19,15),-2.82702 # DEPENDENCYPART_ARC
(19,16),-2.80357 # DEPENDENCYPART_ARC
(19,17),-2.56532 # DEPENDENCYPART_ARC
(19,18),-2.0458 # DEPENDENCYPART_ARC
