# _root_ Mají - li totiž mít nějaký smysl , je ho do nich třeba vnést z vnějšku , to jest z historikovy současnosti .
#goldHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,19,15,19,19,14,19,22,20,0,
#predictedHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,14,15,19,19,16,19,22,20,0,
(3,5),1.54006 # DEPENDENCYPART_ARC
(3,6),-0.185138 # DEPENDENCYPART_ARC
(3,7),-0.231919 # DEPENDENCYPART_ARC
(3,8),2.13376 # DEPENDENCYPART_ARC
(3,9),0.15234 # DEPENDENCYPART_ARC
(3,10),-0.849176 # DEPENDENCYPART_ARC
(3,11),-0.354277 # DEPENDENCYPART_ARC
(3,12),-0.941817 # DEPENDENCYPART_ARC
(3,13),-0.841348 # DEPENDENCYPART_ARC
(3,14),-0.456406 # DEPENDENCYPART_ARC
(3,15),-0.838661 # DEPENDENCYPART_ARC
(3,16),-1.02743 # DEPENDENCYPART_ARC
(3,17),0.785062 # DEPENDENCYPART_ARC
(3,18),-1.34392 # DEPENDENCYPART_ARC
(3,19),-1.00624 # DEPENDENCYPART_ARC
(3,20),-1.22268 # DEPENDENCYPART_ARC
(3,21),-1.57473 # DEPENDENCYPART_ARC
(3,22),-1.3871 # DEPENDENCYPART_ARC
(3,23),-1.1761 # DEPENDENCYPART_ARC
(4,1),-0.595935 # DEPENDENCYPART_ARC
(4,2),-0.343727 # DEPENDENCYPART_ARC
(4,3),0.81034 # DEPENDENCYPART_ARC
(4,5),-0.384807 # DEPENDENCYPART_ARC
(4,6),-0.867449 # DEPENDENCYPART_ARC
(4,7),-1.54274 # DEPENDENCYPART_ARC
(4,8),-0.592006 # DEPENDENCYPART_ARC
(4,9),-1.60562 # DEPENDENCYPART_ARC
(4,10),-1.82475 # DEPENDENCYPART_ARC
(4,11),-1.50753 # DEPENDENCYPART_ARC
(4,12),-2.01795 # DEPENDENCYPART_ARC
(4,13),-1.86908 # DEPENDENCYPART_ARC
(4,14),-1.78336 # DEPENDENCYPART_ARC
(4,15),-2.20895 # DEPENDENCYPART_ARC
(4,16),-3.71352 # DEPENDENCYPART_ARC
(4,17),-1.51955 # DEPENDENCYPART_ARC
(4,18),-2.5029 # DEPENDENCYPART_ARC
(4,19),-2.24536 # DEPENDENCYPART_ARC
(4,20),-2.58148 # DEPENDENCYPART_ARC
(4,21),-2.41014 # DEPENDENCYPART_ARC
(4,22),-4.93866 # DEPENDENCYPART_ARC
(4,23),-3.05667 # DEPENDENCYPART_ARC
(5,1),-1.43823 # DEPENDENCYPART_ARC
(5,2),-0.40881 # DEPENDENCYPART_ARC
(5,3),1.42285 # DEPENDENCYPART_ARC
(5,4),1.89063 # DEPENDENCYPART_ARC
(5,6),2.04205 # DEPENDENCYPART_ARC
(5,7),4.08378 # DEPENDENCYPART_ARC
(5,8),0.83942 # DEPENDENCYPART_ARC
(5,9),-0.612087 # DEPENDENCYPART_ARC
(5,10),0.892563 # DEPENDENCYPART_ARC
(5,11),0.112854 # DEPENDENCYPART_ARC
(5,12),-1.42582 # DEPENDENCYPART_ARC
(5,13),-0.973641 # DEPENDENCYPART_ARC
(5,14),0.0157394 # DEPENDENCYPART_ARC
(5,15),-1.01686 # DEPENDENCYPART_ARC
(5,16),-2.15336 # DEPENDENCYPART_ARC
(5,17),-0.475483 # DEPENDENCYPART_ARC
(5,18),-2.78713 # DEPENDENCYPART_ARC
(5,19),-2.35497 # DEPENDENCYPART_ARC
(5,20),-1.72842 # DEPENDENCYPART_ARC
(5,21),-5.66292 # DEPENDENCYPART_ARC
(5,22),-2.28352 # DEPENDENCYPART_ARC
(5,23),-1.74973 # DEPENDENCYPART_ARC
(6,1),-2.6591 # DEPENDENCYPART_ARC
(6,2),-1.4034 # DEPENDENCYPART_ARC
(6,3),-1.09935 # DEPENDENCYPART_ARC
(6,4),-0.623258 # DEPENDENCYPART_ARC
(6,5),-0.14382 # DEPENDENCYPART_ARC
(6,7),0.596232 # DEPENDENCYPART_ARC
(6,8),-0.869903 # DEPENDENCYPART_ARC
(6,9),-2.26838 # DEPENDENCYPART_ARC
(6,10),-2.63703 # DEPENDENCYPART_ARC
(6,11),-0.823991 # DEPENDENCYPART_ARC
(6,12),-3.57996 # DEPENDENCYPART_ARC
(6,13),-1.6863 # DEPENDENCYPART_ARC
(6,14),-1.03925 # DEPENDENCYPART_ARC
(6,15),-0.807007 # DEPENDENCYPART_ARC
(6,16),-2.06988 # DEPENDENCYPART_ARC
(6,17),-1.06516 # DEPENDENCYPART_ARC
(6,18),-3.31159 # DEPENDENCYPART_ARC
(6,19),-3.92301 # DEPENDENCYPART_ARC
(6,20),-1.63062 # DEPENDENCYPART_ARC
(6,21),-3.68368 # DEPENDENCYPART_ARC
(6,22),-2.78127 # DEPENDENCYPART_ARC
(6,23),-1.85006 # DEPENDENCYPART_ARC
(7,1),-2.29613 # DEPENDENCYPART_ARC
(7,2),-0.323771 # DEPENDENCYPART_ARC
(7,3),-0.383911 # DEPENDENCYPART_ARC
(7,4),-0.249433 # DEPENDENCYPART_ARC
(7,5),0.167716 # DEPENDENCYPART_ARC
(7,6),4.39946 # DEPENDENCYPART_ARC
(7,8),-0.472183 # DEPENDENCYPART_ARC
(7,9),-1.08009 # DEPENDENCYPART_ARC
(7,10),-1.59656 # DEPENDENCYPART_ARC
(7,11),-1.52917 # DEPENDENCYPART_ARC
(7,12),-2.23553 # DEPENDENCYPART_ARC
(7,13),-2.36972 # DEPENDENCYPART_ARC
(7,14),1.23983 # DEPENDENCYPART_ARC
(7,15),-2.34323 # DEPENDENCYPART_ARC
(7,16),-3.06048 # DEPENDENCYPART_ARC
(7,17),-1.34597 # DEPENDENCYPART_ARC
(7,18),-4.8412 # DEPENDENCYPART_ARC
(7,19),-2.16017 # DEPENDENCYPART_ARC
(7,20),-3.82657 # DEPENDENCYPART_ARC
(7,21),-5.59208 # DEPENDENCYPART_ARC
(7,22),-3.95474 # DEPENDENCYPART_ARC
(7,23),-5.43228 # DEPENDENCYPART_ARC
(8,1),0.396557 # DEPENDENCYPART_ARC
(8,2),0.074377 # DEPENDENCYPART_ARC
(8,3),0.254475 # DEPENDENCYPART_ARC
(8,4),-0.318069 # DEPENDENCYPART_ARC
(8,5),0.891203 # DEPENDENCYPART_ARC
(8,6),0.550711 # DEPENDENCYPART_ARC
(8,7),0.0879364 # DEPENDENCYPART_ARC
(8,9),0.469931 # DEPENDENCYPART_ARC
(8,10),-0.350296 # DEPENDENCYPART_ARC
(8,11),-0.640389 # DEPENDENCYPART_ARC
(8,12),-0.692315 # DEPENDENCYPART_ARC
(8,13),-0.899162 # DEPENDENCYPART_ARC
(8,14),-0.439802 # DEPENDENCYPART_ARC
(8,15),-1.66847 # DEPENDENCYPART_ARC
(8,16),-2.08971 # DEPENDENCYPART_ARC
(8,17),-0.00372442 # DEPENDENCYPART_ARC
(8,18),-0.910933 # DEPENDENCYPART_ARC
(8,19),-1.50868 # DEPENDENCYPART_ARC
(8,20),-2.70124 # DEPENDENCYPART_ARC
(8,21),-2.21207 # DEPENDENCYPART_ARC
(8,22),-3.11503 # DEPENDENCYPART_ARC
(8,23),0.0290591 # DEPENDENCYPART_ARC
(9,1),-1.67749 # DEPENDENCYPART_ARC
(9,2),0.0638514 # DEPENDENCYPART_ARC
(9,3),2.52359 # DEPENDENCYPART_ARC
(9,4),0.599943 # DEPENDENCYPART_ARC
(9,5),1.41425 # DEPENDENCYPART_ARC
(9,6),-0.201721 # DEPENDENCYPART_ARC
(9,7),0.537943 # DEPENDENCYPART_ARC
(9,8),0.619511 # DEPENDENCYPART_ARC
(9,10),2.76979 # DEPENDENCYPART_ARC
(9,11),1.92922 # DEPENDENCYPART_ARC
(9,12),-0.756956 # DEPENDENCYPART_ARC
(9,13),3.14446 # DEPENDENCYPART_ARC
(9,14),2.5711 # DEPENDENCYPART_ARC
(9,15),0.29144 # DEPENDENCYPART_ARC
(9,16),-1.84368 # DEPENDENCYPART_ARC
(9,17),0.0426373 # DEPENDENCYPART_ARC
(9,18),-0.654239 # DEPENDENCYPART_ARC
(9,19),-0.675131 # DEPENDENCYPART_ARC
(9,20),0.00318509 # DEPENDENCYPART_ARC
(9,21),-4.61516 # DEPENDENCYPART_ARC
(9,22),-2.12721 # DEPENDENCYPART_ARC
(9,23),-0.948869 # DEPENDENCYPART_ARC
(10,1),-2.5667 # DEPENDENCYPART_ARC
(10,2),-1.77519 # DEPENDENCYPART_ARC
(10,3),-1.57576 # DEPENDENCYPART_ARC
(10,4),-1.36284 # DEPENDENCYPART_ARC
(10,5),-0.84237 # DEPENDENCYPART_ARC
(10,6),-0.0639261 # DEPENDENCYPART_ARC
(10,7),-0.323137 # DEPENDENCYPART_ARC
(10,8),-0.675177 # DEPENDENCYPART_ARC
(10,9),-0.680399 # DEPENDENCYPART_ARC
(10,11),-0.373599 # DEPENDENCYPART_ARC
(10,12),-3.18892 # DEPENDENCYPART_ARC
(10,13),-0.67511 # DEPENDENCYPART_ARC
(10,14),-0.535529 # DEPENDENCYPART_ARC
(10,15),-1.36426 # DEPENDENCYPART_ARC
(10,16),-1.68196 # DEPENDENCYPART_ARC
(10,17),-1.24144 # DEPENDENCYPART_ARC
(10,18),-2.97051 # DEPENDENCYPART_ARC
(10,19),-4.11187 # DEPENDENCYPART_ARC
(10,20),-1.98001 # DEPENDENCYPART_ARC
(10,21),-3.34729 # DEPENDENCYPART_ARC
(10,22),-2.66361 # DEPENDENCYPART_ARC
(10,23),-2.01915 # DEPENDENCYPART_ARC
(11,1),-3.19718 # DEPENDENCYPART_ARC
(11,2),-1.04907 # DEPENDENCYPART_ARC
(11,3),-1.85708 # DEPENDENCYPART_ARC
(11,4),-1.94937 # DEPENDENCYPART_ARC
(11,5),-2.1045 # DEPENDENCYPART_ARC
(11,6),-1.46846 # DEPENDENCYPART_ARC
(11,7),-1.22506 # DEPENDENCYPART_ARC
(11,8),-0.344218 # DEPENDENCYPART_ARC
(11,9),-1.84075 # DEPENDENCYPART_ARC
(11,10),-0.439063 # DEPENDENCYPART_ARC
(11,12),2.70224 # DEPENDENCYPART_ARC
(11,13),-0.0744631 # DEPENDENCYPART_ARC
(11,14),-0.939798 # DEPENDENCYPART_ARC
(11,15),-1.0935 # DEPENDENCYPART_ARC
(11,16),0.813582 # DEPENDENCYPART_ARC
(11,17),-1.02369 # DEPENDENCYPART_ARC
(11,18),-2.46648 # DEPENDENCYPART_ARC
(11,19),-1.93002 # DEPENDENCYPART_ARC
(11,20),-1.69865 # DEPENDENCYPART_ARC
(11,21),-1.948 # DEPENDENCYPART_ARC
(11,22),-2.04398 # DEPENDENCYPART_ARC
(11,23),-2.57722 # DEPENDENCYPART_ARC
(12,1),-3.13129 # DEPENDENCYPART_ARC
(12,2),-1.43774 # DEPENDENCYPART_ARC
(12,3),-1.03916 # DEPENDENCYPART_ARC
(12,4),-0.956882 # DEPENDENCYPART_ARC
(12,5),-0.92514 # DEPENDENCYPART_ARC
(12,6),-1.94952 # DEPENDENCYPART_ARC
(12,7),-1.8129 # DEPENDENCYPART_ARC
(12,8),-0.682745 # DEPENDENCYPART_ARC
(12,9),-2.27004 # DEPENDENCYPART_ARC
(12,10),-1.1905 # DEPENDENCYPART_ARC
(12,11),0.232023 # DEPENDENCYPART_ARC
(12,13),-0.132648 # DEPENDENCYPART_ARC
(12,14),-1.22992 # DEPENDENCYPART_ARC
(12,15),-0.611643 # DEPENDENCYPART_ARC
(12,16),-1.82252 # DEPENDENCYPART_ARC
(12,17),-1.25416 # DEPENDENCYPART_ARC
(12,18),-2.87997 # DEPENDENCYPART_ARC
(12,19),-3.13585 # DEPENDENCYPART_ARC
(12,20),-1.56764 # DEPENDENCYPART_ARC
(12,21),-2.75532 # DEPENDENCYPART_ARC
(12,22),-2.93737 # DEPENDENCYPART_ARC
(12,23),-1.79333 # DEPENDENCYPART_ARC
(13,1),-3.35026 # DEPENDENCYPART_ARC
(13,2),-1.94756 # DEPENDENCYPART_ARC
(13,3),-1.06269 # DEPENDENCYPART_ARC
(13,4),-1.88663 # DEPENDENCYPART_ARC
(13,5),-1.09763 # DEPENDENCYPART_ARC
(13,6),-1.58771 # DEPENDENCYPART_ARC
(13,7),-1.91887 # DEPENDENCYPART_ARC
(13,8),-0.837081 # DEPENDENCYPART_ARC
(13,9),-1.31405 # DEPENDENCYPART_ARC
(13,10),-0.286198 # DEPENDENCYPART_ARC
(13,11),1.08126 # DEPENDENCYPART_ARC
(13,12),0.795037 # DEPENDENCYPART_ARC
(13,14),0.445928 # DEPENDENCYPART_ARC
(13,15),-0.802712 # DEPENDENCYPART_ARC
(13,16),-1.59669 # DEPENDENCYPART_ARC
(13,17),-1.11822 # DEPENDENCYPART_ARC
(13,18),-2.83767 # DEPENDENCYPART_ARC
(13,19),-3.58463 # DEPENDENCYPART_ARC
(13,20),-2.4916 # DEPENDENCYPART_ARC
(13,21),-2.32038 # DEPENDENCYPART_ARC
(13,22),-3.51925 # DEPENDENCYPART_ARC
(13,23),-1.85585 # DEPENDENCYPART_ARC
(14,1),-2.98698 # DEPENDENCYPART_ARC
(14,2),-1.38244 # DEPENDENCYPART_ARC
(14,3),0.78343 # DEPENDENCYPART_ARC
(14,4),-0.559337 # DEPENDENCYPART_ARC
(14,5),-1.79169 # DEPENDENCYPART_ARC
(14,6),0.939038 # DEPENDENCYPART_ARC
(14,7),0.909945 # DEPENDENCYPART_ARC
(14,8),-0.654414 # DEPENDENCYPART_ARC
(14,9),-1.08255 # DEPENDENCYPART_ARC
(14,10),3.71415 # DEPENDENCYPART_ARC
(14,11),2.17351 # DEPENDENCYPART_ARC
(14,12),1.0055 # DEPENDENCYPART_ARC
(14,13),-0.0133074 # DEPENDENCYPART_ARC
(14,15),2.73252 # DEPENDENCYPART_ARC
(14,16),0.330492 # DEPENDENCYPART_ARC
(14,17),0.725349 # DEPENDENCYPART_ARC
(14,18),-0.10569 # DEPENDENCYPART_ARC
(14,19),-0.00468269 # DEPENDENCYPART_ARC
(14,20),0.897119 # DEPENDENCYPART_ARC
(14,21),-3.36247 # DEPENDENCYPART_ARC
(14,22),-1.391 # DEPENDENCYPART_ARC
(14,23),-0.493519 # DEPENDENCYPART_ARC
(15,1),-3.68115 # DEPENDENCYPART_ARC
(15,2),-1.72254 # DEPENDENCYPART_ARC
(15,3),-2.27403 # DEPENDENCYPART_ARC
(15,4),-2.48661 # DEPENDENCYPART_ARC
(15,5),-2.68261 # DEPENDENCYPART_ARC
(15,6),-2.12683 # DEPENDENCYPART_ARC
(15,7),-2.2233 # DEPENDENCYPART_ARC
(15,8),-1.38284 # DEPENDENCYPART_ARC
(15,9),-3.27108 # DEPENDENCYPART_ARC
(15,10),-1.9499 # DEPENDENCYPART_ARC
(15,11),-1.92342 # DEPENDENCYPART_ARC
(15,12),-2.06479 # DEPENDENCYPART_ARC
(15,13),-1.15934 # DEPENDENCYPART_ARC
(15,14),-0.839648 # DEPENDENCYPART_ARC
(15,16),3.85481 # DEPENDENCYPART_ARC
(15,17),0.175346 # DEPENDENCYPART_ARC
(15,18),-1.50119 # DEPENDENCYPART_ARC
(15,19),-0.924347 # DEPENDENCYPART_ARC
(15,20),-1.06959 # DEPENDENCYPART_ARC
(15,21),-1.14142 # DEPENDENCYPART_ARC
(15,22),-1.77795 # DEPENDENCYPART_ARC
(15,23),-1.25991 # DEPENDENCYPART_ARC
(16,1),-3.26142 # DEPENDENCYPART_ARC
(16,2),-2.37935 # DEPENDENCYPART_ARC
(16,3),-2.41488 # DEPENDENCYPART_ARC
(16,4),-3.11947 # DEPENDENCYPART_ARC
(16,5),-1.69074 # DEPENDENCYPART_ARC
(16,6),-2.19948 # DEPENDENCYPART_ARC
(16,7),-6.1462 # DEPENDENCYPART_ARC
(16,8),-2.69031 # DEPENDENCYPART_ARC
(16,9),-2.29322 # DEPENDENCYPART_ARC
(16,10),-2.66993 # DEPENDENCYPART_ARC
(16,11),-0.425438 # DEPENDENCYPART_ARC
(16,12),-1.15081 # DEPENDENCYPART_ARC
(16,13),-2.38978 # DEPENDENCYPART_ARC
(16,14),-0.180501 # DEPENDENCYPART_ARC
(16,15),0.640247 # DEPENDENCYPART_ARC
(16,17),-0.149185 # DEPENDENCYPART_ARC
(16,18),-1.96527 # DEPENDENCYPART_ARC
(16,19),0.31142 # DEPENDENCYPART_ARC
(16,20),-0.511985 # DEPENDENCYPART_ARC
(16,21),-1.18964 # DEPENDENCYPART_ARC
(16,22),0.0955571 # DEPENDENCYPART_ARC
(16,23),-1.36877 # DEPENDENCYPART_ARC
(17,1),-0.818567 # DEPENDENCYPART_ARC
(17,2),-1.06292 # DEPENDENCYPART_ARC
(17,3),0.107315 # DEPENDENCYPART_ARC
(17,4),-2.06807 # DEPENDENCYPART_ARC
(17,5),-0.699828 # DEPENDENCYPART_ARC
(17,6),-1.10782 # DEPENDENCYPART_ARC
(17,7),-1.74606 # DEPENDENCYPART_ARC
(17,8),-0.594539 # DEPENDENCYPART_ARC
(17,9),0.378704 # DEPENDENCYPART_ARC
(17,10),-0.886822 # DEPENDENCYPART_ARC
(17,11),-1.10747 # DEPENDENCYPART_ARC
(17,12),-0.204903 # DEPENDENCYPART_ARC
(17,13),-0.831666 # DEPENDENCYPART_ARC
(17,14),0.56201 # DEPENDENCYPART_ARC
(17,15),-0.68109 # DEPENDENCYPART_ARC
(17,16),0.519907 # DEPENDENCYPART_ARC
(17,18),0.722348 # DEPENDENCYPART_ARC
(17,19),0.895358 # DEPENDENCYPART_ARC
(17,20),-0.902084 # DEPENDENCYPART_ARC
(17,21),-0.822242 # DEPENDENCYPART_ARC
(17,22),-0.683237 # DEPENDENCYPART_ARC
(17,23),-0.265873 # DEPENDENCYPART_ARC
(18,1),-2.36761 # DEPENDENCYPART_ARC
(18,2),-2.22521 # DEPENDENCYPART_ARC
(18,3),-1.32033 # DEPENDENCYPART_ARC
(18,4),-0.744685 # DEPENDENCYPART_ARC
(18,5),-0.677837 # DEPENDENCYPART_ARC
(18,6),-2.31906 # DEPENDENCYPART_ARC
(18,7),-2.49905 # DEPENDENCYPART_ARC
(18,8),-1.28894 # DEPENDENCYPART_ARC
(18,9),-1.32373 # DEPENDENCYPART_ARC
(18,10),-2.26476 # DEPENDENCYPART_ARC
(18,11),-0.407284 # DEPENDENCYPART_ARC
(18,12),-2.16144 # DEPENDENCYPART_ARC
(18,13),-0.759468 # DEPENDENCYPART_ARC
(18,14),0.518798 # DEPENDENCYPART_ARC
(18,15),0.163761 # DEPENDENCYPART_ARC
(18,16),-0.215389 # DEPENDENCYPART_ARC
(18,17),0.38869 # DEPENDENCYPART_ARC
(18,19),0.412611 # DEPENDENCYPART_ARC
(18,20),-0.678732 # DEPENDENCYPART_ARC
(18,21),-1.05073 # DEPENDENCYPART_ARC
(18,22),-0.787586 # DEPENDENCYPART_ARC
(18,23),-0.363346 # DEPENDENCYPART_ARC
(19,1),-3.48806 # DEPENDENCYPART_ARC
(19,2),-1.4442 # DEPENDENCYPART_ARC
(19,3),1.26088 # DEPENDENCYPART_ARC
(19,4),-0.215894 # DEPENDENCYPART_ARC
(19,5),-0.984386 # DEPENDENCYPART_ARC
(19,6),-1.80485 # DEPENDENCYPART_ARC
(19,7),-0.511592 # DEPENDENCYPART_ARC
(19,8),-0.753243 # DEPENDENCYPART_ARC
(19,9),-1.49787 # DEPENDENCYPART_ARC
(19,10),1.09956 # DEPENDENCYPART_ARC
(19,11),0.694294 # DEPENDENCYPART_ARC
(19,12),-3.93836 # DEPENDENCYPART_ARC
(19,13),0.800768 # DEPENDENCYPART_ARC
(19,14),0.629453 # DEPENDENCYPART_ARC
(19,15),0.258144 # DEPENDENCYPART_ARC
(19,16),-2.2416 # DEPENDENCYPART_ARC
(19,17),2.43553 # DEPENDENCYPART_ARC
(19,18),4.42991 # DEPENDENCYPART_ARC
(19,20),2.65397 # DEPENDENCYPART_ARC
(19,21),-3.49247 # DEPENDENCYPART_ARC
(19,22),-0.423044 # DEPENDENCYPART_ARC
(19,23),0.314673 # DEPENDENCYPART_ARC
(20,1),-3.9186 # DEPENDENCYPART_ARC
(20,2),-2.20933 # DEPENDENCYPART_ARC
(20,3),-2.57432 # DEPENDENCYPART_ARC
(20,4),-2.74182 # DEPENDENCYPART_ARC
(20,5),-2.90199 # DEPENDENCYPART_ARC
(20,6),-2.38028 # DEPENDENCYPART_ARC
(20,7),-2.5843 # DEPENDENCYPART_ARC
(20,8),-2.15236 # DEPENDENCYPART_ARC
(20,9),-3.58243 # DEPENDENCYPART_ARC
(20,10),-2.53904 # DEPENDENCYPART_ARC
(20,11),-2.90986 # DEPENDENCYPART_ARC
(20,12),-2.84055 # DEPENDENCYPART_ARC
(20,13),-2.65441 # DEPENDENCYPART_ARC
(20,14),-2.41874 # DEPENDENCYPART_ARC
(20,15),-2.08945 # DEPENDENCYPART_ARC
(20,16),-1.4952 # DEPENDENCYPART_ARC
(20,17),-0.640052 # DEPENDENCYPART_ARC
(20,18),-1.45278 # DEPENDENCYPART_ARC
(20,19),-1.78283 # DEPENDENCYPART_ARC
(20,21),1.43698 # DEPENDENCYPART_ARC
(20,22),4.00848 # DEPENDENCYPART_ARC
(20,23),-0.199521 # DEPENDENCYPART_ARC
(21,1),-6.11609 # DEPENDENCYPART_ARC
(21,2),-3.99023 # DEPENDENCYPART_ARC
(21,3),-2.34481 # DEPENDENCYPART_ARC
(21,4),-4.12253 # DEPENDENCYPART_ARC
(21,5),-2.78531 # DEPENDENCYPART_ARC
(21,6),-4.22474 # DEPENDENCYPART_ARC
(21,7),-5.10002 # DEPENDENCYPART_ARC
(21,8),-3.83115 # DEPENDENCYPART_ARC
(21,9),-4.74066 # DEPENDENCYPART_ARC
(21,10),-3.88497 # DEPENDENCYPART_ARC
(21,11),-2.15349 # DEPENDENCYPART_ARC
(21,12),-3.1766 # DEPENDENCYPART_ARC
(21,13),-4.35841 # DEPENDENCYPART_ARC
(21,14),-2.1396 # DEPENDENCYPART_ARC
(21,15),-1.98339 # DEPENDENCYPART_ARC
(21,16),-3.46685 # DEPENDENCYPART_ARC
(21,17),-1.74907 # DEPENDENCYPART_ARC
(21,18),-3.03007 # DEPENDENCYPART_ARC
(21,19),-2.3264 # DEPENDENCYPART_ARC
(21,20),-0.42948 # DEPENDENCYPART_ARC
(21,22),-0.668891 # DEPENDENCYPART_ARC
(21,23),-0.769504 # DEPENDENCYPART_ARC
(22,1),-3.16094 # DEPENDENCYPART_ARC
(22,2),-3.04616 # DEPENDENCYPART_ARC
(22,3),-3.14898 # DEPENDENCYPART_ARC
(22,4),-4.39363 # DEPENDENCYPART_ARC
(22,5),-1.62369 # DEPENDENCYPART_ARC
(22,6),-3.97626 # DEPENDENCYPART_ARC
(22,7),-7.41142 # DEPENDENCYPART_ARC
(22,8),-3.63362 # DEPENDENCYPART_ARC
(22,9),-2.17574 # DEPENDENCYPART_ARC
(22,10),-4.37124 # DEPENDENCYPART_ARC
(22,11),-1.08749 # DEPENDENCYPART_ARC
(22,12),-2.523 # DEPENDENCYPART_ARC
(22,13),-4.01203 # DEPENDENCYPART_ARC
(22,14),-0.893346 # DEPENDENCYPART_ARC
(22,15),-0.572167 # DEPENDENCYPART_ARC
(22,16),-3.51766 # DEPENDENCYPART_ARC
(22,17),-1.30012 # DEPENDENCYPART_ARC
(22,18),-1.76472 # DEPENDENCYPART_ARC
(22,19),-1.03734 # DEPENDENCYPART_ARC
(22,20),0.417672 # DEPENDENCYPART_ARC
(22,21),6.2753 # DEPENDENCYPART_ARC
(22,23),-0.426735 # DEPENDENCYPART_ARC
(23,1),-4.96592 # DEPENDENCYPART_ARC
(23,2),-4.92347 # DEPENDENCYPART_ARC
