# _root_ Cigarety Camel , které se v pátek pokusila z Turecka do ČSFR propašovat skupina patnácti osob , byly podle našich informací určeny k prodeji v Praze .
#goldHeads=18,1,8,13,8,8,6,1,13,9,13,11,8,8,16,14,8,0,18,21,19,18,22,23,24,25,0,
#predictedHeads=8,1,8,8,8,8,6,0,8,9,8,11,8,13,16,14,8,22,18,21,19,16,22,23,24,25,0,
(10,9),-0.351111 # DEPENDENCYPART_ARC
(10,11),0.494863 # DEPENDENCYPART_ARC
(10,12),-0.690379 # DEPENDENCYPART_ARC
(10,13),-0.757989 # DEPENDENCYPART_ARC
(10,14),-3.51788 # DEPENDENCYPART_ARC
(10,15),-2.00716 # DEPENDENCYPART_ARC
(10,16),-3.43799 # DEPENDENCYPART_ARC
(10,17),-1.73817 # DEPENDENCYPART_ARC
(10,18),-4.88175 # DEPENDENCYPART_ARC
(10,19),-3.23443 # DEPENDENCYPART_ARC
(10,20),-4.69114 # DEPENDENCYPART_ARC
(10,21),-4.05264 # DEPENDENCYPART_ARC
(10,22),-4.29411 # DEPENDENCYPART_ARC
(10,23),-4.52849 # DEPENDENCYPART_ARC
(10,24),-7.77854 # DEPENDENCYPART_ARC
(10,25),-3.31015 # DEPENDENCYPART_ARC
(10,26),-7.24857 # DEPENDENCYPART_ARC
(10,27),-7.75397 # DEPENDENCYPART_ARC
(11,1),-4.82948 # DEPENDENCYPART_ARC
(11,2),-2.88664 # DEPENDENCYPART_ARC
(11,3),-1.20861 # DEPENDENCYPART_ARC
(11,4),-2.28855 # DEPENDENCYPART_ARC
(11,6),-1.20139 # DEPENDENCYPART_ARC
(11,7),-0.390302 # DEPENDENCYPART_ARC
(11,8),-1.82488 # DEPENDENCYPART_ARC
(11,9),-0.439502 # DEPENDENCYPART_ARC
(11,10),0.881419 # DEPENDENCYPART_ARC
(11,12),5.50984 # DEPENDENCYPART_ARC
(11,14),-3.66461 # DEPENDENCYPART_ARC
(11,15),-1.16431 # DEPENDENCYPART_ARC
(11,16),-1.86705 # DEPENDENCYPART_ARC
(11,17),-1.21873 # DEPENDENCYPART_ARC
(11,18),-2.98502 # DEPENDENCYPART_ARC
(11,19),-1.93312 # DEPENDENCYPART_ARC
(11,20),-4.11701 # DEPENDENCYPART_ARC
(11,21),-4.0932 # DEPENDENCYPART_ARC
(11,23),-2.69925 # DEPENDENCYPART_ARC
(11,24),-8.49477 # DEPENDENCYPART_ARC
(11,25),-3.04581 # DEPENDENCYPART_ARC
(11,26),-9.5332 # DEPENDENCYPART_ARC
(11,27),-3.59251 # DEPENDENCYPART_ARC
(12,1),-6.83716 # DEPENDENCYPART_ARC
(12,2),-3.30885 # DEPENDENCYPART_ARC
(12,3),-2.96816 # DEPENDENCYPART_ARC
(12,4),-3.86408 # DEPENDENCYPART_ARC
(12,5),-5.59059 # DEPENDENCYPART_ARC
(12,6),-2.33494 # DEPENDENCYPART_ARC
(12,7),-3.63394 # DEPENDENCYPART_ARC
(12,8),-5.23256 # DEPENDENCYPART_ARC
(12,9),-0.483483 # DEPENDENCYPART_ARC
(12,10),-2.50678 # DEPENDENCYPART_ARC
(12,11),0.0272456 # DEPENDENCYPART_ARC
(12,13),-0.75097 # DEPENDENCYPART_ARC
(12,14),-3.19846 # DEPENDENCYPART_ARC
(12,15),-2.3299 # DEPENDENCYPART_ARC
(12,16),-3.57156 # DEPENDENCYPART_ARC
(12,17),-1.5539 # DEPENDENCYPART_ARC
(12,18),-5.8374 # DEPENDENCYPART_ARC
(12,19),-3.86148 # DEPENDENCYPART_ARC
(12,20),-5.15522 # DEPENDENCYPART_ARC
(12,21),-5.04399 # DEPENDENCYPART_ARC
(12,22),-5.00114 # DEPENDENCYPART_ARC
(12,23),-5.21073 # DEPENDENCYPART_ARC
(12,24),-8.85969 # DEPENDENCYPART_ARC
(12,25),-3.83433 # DEPENDENCYPART_ARC
(12,26),-7.74753 # DEPENDENCYPART_ARC
(12,27),-6.73792 # DEPENDENCYPART_ARC
(13,1),0.0414211 # DEPENDENCYPART_ARC
(13,2),-2.17453 # DEPENDENCYPART_ARC
(13,3),0.926697 # DEPENDENCYPART_ARC
(13,4),2.91113 # DEPENDENCYPART_ARC
(13,5),2.73688 # DEPENDENCYPART_ARC
(13,6),1.72353 # DEPENDENCYPART_ARC
(13,7),1.51328 # DEPENDENCYPART_ARC
(13,8),-1.01572 # DEPENDENCYPART_ARC
(13,9),1.48684 # DEPENDENCYPART_ARC
(13,10),-0.0581715 # DEPENDENCYPART_ARC
(13,11),1.35544 # DEPENDENCYPART_ARC
(13,12),0.618761 # DEPENDENCYPART_ARC
(13,14),2.23389 # DEPENDENCYPART_ARC
(13,15),0.770621 # DEPENDENCYPART_ARC
(13,16),0.687128 # DEPENDENCYPART_ARC
(13,17),0.883443 # DEPENDENCYPART_ARC
(13,18),-0.86443 # DEPENDENCYPART_ARC
(13,19),1.09623 # DEPENDENCYPART_ARC
(13,21),-2.28638 # DEPENDENCYPART_ARC
(13,22),-0.872725 # DEPENDENCYPART_ARC
(13,23),-0.347414 # DEPENDENCYPART_ARC
(13,24),-1.24852 # DEPENDENCYPART_ARC
(13,25),-0.087204 # DEPENDENCYPART_ARC
(13,26),-2.81153 # DEPENDENCYPART_ARC
(13,27),-1.07538 # DEPENDENCYPART_ARC
(14,1),-4.79109 # DEPENDENCYPART_ARC
(14,2),-3.62119 # DEPENDENCYPART_ARC
(14,3),-3.27583 # DEPENDENCYPART_ARC
(14,4),-5.57444 # DEPENDENCYPART_ARC
(14,5),-5.63698 # DEPENDENCYPART_ARC
(14,6),-1.36228 # DEPENDENCYPART_ARC
(14,7),-4.96154 # DEPENDENCYPART_ARC
(14,8),-4.19069 # DEPENDENCYPART_ARC
(14,9),-0.0766144 # DEPENDENCYPART_ARC
(14,10),-3.81778 # DEPENDENCYPART_ARC
(14,11),-0.0422846 # DEPENDENCYPART_ARC
(14,12),-0.708083 # DEPENDENCYPART_ARC
(14,13),-0.269544 # DEPENDENCYPART_ARC
(14,15),0.278996 # DEPENDENCYPART_ARC
(14,16),2.21955 # DEPENDENCYPART_ARC
(14,17),-0.124773 # DEPENDENCYPART_ARC
(14,18),-1.43681 # DEPENDENCYPART_ARC
(14,19),-0.726938 # DEPENDENCYPART_ARC
(14,20),-3.1403 # DEPENDENCYPART_ARC
(14,21),-0.345599 # DEPENDENCYPART_ARC
(14,22),-0.64993 # DEPENDENCYPART_ARC
(14,23),-1.25831 # DEPENDENCYPART_ARC
(14,24),-4.2924 # DEPENDENCYPART_ARC
(14,25),-0.634196 # DEPENDENCYPART_ARC
(14,26),-2.76116 # DEPENDENCYPART_ARC
(14,27),-4.63473 # DEPENDENCYPART_ARC
(15,1),-3.09775 # DEPENDENCYPART_ARC
(15,2),-2.89223 # DEPENDENCYPART_ARC
(15,3),-2.71372 # DEPENDENCYPART_ARC
(15,6),-2.0741 # DEPENDENCYPART_ARC
(15,7),-2.3303 # DEPENDENCYPART_ARC
(15,8),-3.86845 # DEPENDENCYPART_ARC
(15,9),-1.02438 # DEPENDENCYPART_ARC
(15,10),-1.88099 # DEPENDENCYPART_ARC
(15,11),-1.07179 # DEPENDENCYPART_ARC
(15,12),-2.05981 # DEPENDENCYPART_ARC
(15,14),-0.960341 # DEPENDENCYPART_ARC
(15,16),1.26772 # DEPENDENCYPART_ARC
(15,17),-1.13494 # DEPENDENCYPART_ARC
(15,18),-2.32837 # DEPENDENCYPART_ARC
(15,19),-1.0236 # DEPENDENCYPART_ARC
(15,21),-2.44994 # DEPENDENCYPART_ARC
(15,23),-1.9167 # DEPENDENCYPART_ARC
(15,24),-4.43044 # DEPENDENCYPART_ARC
(15,25),-0.918491 # DEPENDENCYPART_ARC
(15,26),-4.85912 # DEPENDENCYPART_ARC
(15,27),-2.5313 # DEPENDENCYPART_ARC
(16,1),-5.80163 # DEPENDENCYPART_ARC
(16,2),-3.26939 # DEPENDENCYPART_ARC
(16,3),-3.1563 # DEPENDENCYPART_ARC
(16,4),-4.06965 # DEPENDENCYPART_ARC
(16,5),-5.61869 # DEPENDENCYPART_ARC
(16,6),-2.90156 # DEPENDENCYPART_ARC
(16,7),-4.40925 # DEPENDENCYPART_ARC
(16,8),-3.8222 # DEPENDENCYPART_ARC
(16,9),-0.522956 # DEPENDENCYPART_ARC
(16,10),-1.94712 # DEPENDENCYPART_ARC
(16,11),-0.89066 # DEPENDENCYPART_ARC
(16,12),-0.616544 # DEPENDENCYPART_ARC
(16,13),-0.989449 # DEPENDENCYPART_ARC
(16,14),-1.64039 # DEPENDENCYPART_ARC
(16,15),2.38045 # DEPENDENCYPART_ARC
(16,17),-0.651617 # DEPENDENCYPART_ARC
(16,18),-0.946651 # DEPENDENCYPART_ARC
(16,19),-2.48703 # DEPENDENCYPART_ARC
(16,20),-3.51581 # DEPENDENCYPART_ARC
(16,21),-1.32251 # DEPENDENCYPART_ARC
(16,22),0.343209 # DEPENDENCYPART_ARC
(16,23),-3.05271 # DEPENDENCYPART_ARC
(16,24),-6.39386 # DEPENDENCYPART_ARC
(16,25),-2.52002 # DEPENDENCYPART_ARC
(16,26),-5.08647 # DEPENDENCYPART_ARC
(16,27),-4.52001 # DEPENDENCYPART_ARC
(17,1),-1.17929 # DEPENDENCYPART_ARC
(17,2),-1.75103 # DEPENDENCYPART_ARC
(17,3),-0.639994 # DEPENDENCYPART_ARC
(17,4),-0.530401 # DEPENDENCYPART_ARC
(17,5),-1.59786 # DEPENDENCYPART_ARC
(17,6),-0.668406 # DEPENDENCYPART_ARC
(17,7),-0.211357 # DEPENDENCYPART_ARC
(17,8),0.502139 # DEPENDENCYPART_ARC
(17,9),-0.653081 # DEPENDENCYPART_ARC
(17,10),0.248259 # DEPENDENCYPART_ARC
(17,11),-0.94739 # DEPENDENCYPART_ARC
(17,12),0.587032 # DEPENDENCYPART_ARC
(17,13),0.819016 # DEPENDENCYPART_ARC
(17,14),0.862032 # DEPENDENCYPART_ARC
(17,15),-0.208725 # DEPENDENCYPART_ARC
(17,16),0.0911659 # DEPENDENCYPART_ARC
(17,18),0.0430485 # DEPENDENCYPART_ARC
(17,19),-0.464255 # DEPENDENCYPART_ARC
(17,20),-0.562543 # DEPENDENCYPART_ARC
(17,21),-1.21124 # DEPENDENCYPART_ARC
(17,22),-0.411482 # DEPENDENCYPART_ARC
(17,23),-1.11468 # DEPENDENCYPART_ARC
(17,24),-2.55806 # DEPENDENCYPART_ARC
(17,25),-1.44621 # DEPENDENCYPART_ARC
(17,26),-2.67942 # DEPENDENCYPART_ARC
(17,27),-0.0452744 # DEPENDENCYPART_ARC
(18,1),1.10026 # DEPENDENCYPART_ARC
(18,2),-3.11578 # DEPENDENCYPART_ARC
(18,3),-0.267411 # DEPENDENCYPART_ARC
(18,4),-0.561752 # DEPENDENCYPART_ARC
(18,5),0.502309 # DEPENDENCYPART_ARC
(18,6),-0.657002 # DEPENDENCYPART_ARC
(18,7),-1.2051 # DEPENDENCYPART_ARC
(18,8),-3.68133 # DEPENDENCYPART_ARC
(18,9),-1.54483 # DEPENDENCYPART_ARC
(18,10),-4.41741 # DEPENDENCYPART_ARC
(18,11),-1.54899 # DEPENDENCYPART_ARC
(18,12),-2.11494 # DEPENDENCYPART_ARC
(18,13),-0.24439 # DEPENDENCYPART_ARC
(18,14),-0.298404 # DEPENDENCYPART_ARC
(18,15),-1.83634 # DEPENDENCYPART_ARC
(18,16),-1.9379 # DEPENDENCYPART_ARC
(18,17),-0.770422 # DEPENDENCYPART_ARC
(18,19),3.18145 # DEPENDENCYPART_ARC
(18,20),-2.49956 # DEPENDENCYPART_ARC
(18,21),-0.357223 # DEPENDENCYPART_ARC
(18,22),1.11338 # DEPENDENCYPART_ARC
(18,23),0.413453 # DEPENDENCYPART_ARC
(18,24),-1.58277 # DEPENDENCYPART_ARC
(18,25),0.551779 # DEPENDENCYPART_ARC
(18,26),-4.37605 # DEPENDENCYPART_ARC
(18,27),-0.474979 # DEPENDENCYPART_ARC
(19,1),-5.31936 # DEPENDENCYPART_ARC
(19,2),-3.62779 # DEPENDENCYPART_ARC
(19,3),-3.06219 # DEPENDENCYPART_ARC
(19,4),-2.52805 # DEPENDENCYPART_ARC
(19,6),-2.87523 # DEPENDENCYPART_ARC
(19,7),-1.97665 # DEPENDENCYPART_ARC
(19,8),-2.69806 # DEPENDENCYPART_ARC
(19,9),-3.19801 # DEPENDENCYPART_ARC
(19,10),-2.53611 # DEPENDENCYPART_ARC
(19,11),-2.59824 # DEPENDENCYPART_ARC
(19,12),-2.67105 # DEPENDENCYPART_ARC
(19,14),-2.82048 # DEPENDENCYPART_ARC
(19,15),-1.59017 # DEPENDENCYPART_ARC
(19,16),-2.38309 # DEPENDENCYPART_ARC
(19,17),0.0560037 # DEPENDENCYPART_ARC
(19,18),-0.77309 # DEPENDENCYPART_ARC
(19,20),1.41361 # DEPENDENCYPART_ARC
(19,21),4.73533 # DEPENDENCYPART_ARC
(19,23),-0.760547 # DEPENDENCYPART_ARC
(19,24),-0.813258 # DEPENDENCYPART_ARC
(19,25),-1.28172 # DEPENDENCYPART_ARC
(19,26),-0.909502 # DEPENDENCYPART_ARC
(19,27),-0.714344 # DEPENDENCYPART_ARC
(20,3),-2.47891 # DEPENDENCYPART_ARC
(20,17),-1.31883 # DEPENDENCYPART_ARC
(20,27),-1.44318 # DEPENDENCYPART_ARC
(21,1),-6.72901 # DEPENDENCYPART_ARC
(21,2),-4.48484 # DEPENDENCYPART_ARC
(21,3),-4.12974 # DEPENDENCYPART_ARC
(21,4),-4.99245 # DEPENDENCYPART_ARC
(21,5),-6.4663 # DEPENDENCYPART_ARC
(21,6),-3.65741 # DEPENDENCYPART_ARC
(21,7),-5.62582 # DEPENDENCYPART_ARC
(21,8),-4.06255 # DEPENDENCYPART_ARC
(21,9),-1.03553 # DEPENDENCYPART_ARC
(21,10),-3.30287 # DEPENDENCYPART_ARC
(21,11),-1.15618 # DEPENDENCYPART_ARC
(21,12),-2.27555 # DEPENDENCYPART_ARC
(21,13),-1.66809 # DEPENDENCYPART_ARC
(21,14),-4.21099 # DEPENDENCYPART_ARC
(21,15),-0.421838 # DEPENDENCYPART_ARC
(21,16),-2.5755 # DEPENDENCYPART_ARC
(21,17),-1.42576 # DEPENDENCYPART_ARC
(21,18),-1.85801 # DEPENDENCYPART_ARC
(21,19),-0.105317 # DEPENDENCYPART_ARC
(21,20),4.44465 # DEPENDENCYPART_ARC
(21,22),0.455945 # DEPENDENCYPART_ARC
(21,23),-0.9997 # DEPENDENCYPART_ARC
(21,24),-3.64884 # DEPENDENCYPART_ARC
(21,25),-0.790266 # DEPENDENCYPART_ARC
(21,26),-3.16526 # DEPENDENCYPART_ARC
(21,27),-1.91605 # DEPENDENCYPART_ARC
(22,1),0.570553 # DEPENDENCYPART_ARC
(22,2),-4.34566 # DEPENDENCYPART_ARC
(22,3),0.3214 # DEPENDENCYPART_ARC
(22,4),-0.0259504 # DEPENDENCYPART_ARC
(22,6),-0.246389 # DEPENDENCYPART_ARC
(22,7),-2.22402 # DEPENDENCYPART_ARC
