# _root_ Regulované a centrálně stanovené ceny se zjišťují na příslušných orgánech ( tisk , energie , pojištění aj . ) .
#goldHeads=2,5,4,2,7,7,0,7,10,8,17,17,17,17,17,17,10,17,17,0,
#predictedHeads=2,5,4,2,7,7,0,7,10,8,13,15,17,15,7,15,16,17,17,0,
(2,13),-0.211295 # DEPENDENCYPART_ARC
(2,14),-2.09781 # DEPENDENCYPART_ARC
(2,15),-0.66229 # DEPENDENCYPART_ARC
(2,16),-2.39593 # DEPENDENCYPART_ARC
(2,17),-0.123065 # DEPENDENCYPART_ARC
(2,18),-2.23013 # DEPENDENCYPART_ARC
(2,19),-1.01681 # DEPENDENCYPART_ARC
(2,20),-2.52131 # DEPENDENCYPART_ARC
(3,1),-1.82629 # DEPENDENCYPART_ARC
(3,2),-0.514761 # DEPENDENCYPART_ARC
(3,4),-0.555026 # DEPENDENCYPART_ARC
(3,5),-1.21824 # DEPENDENCYPART_ARC
(3,6),-1.31089 # DEPENDENCYPART_ARC
(3,7),-1.29955 # DEPENDENCYPART_ARC
(3,8),-0.933674 # DEPENDENCYPART_ARC
(3,9),-1.70826 # DEPENDENCYPART_ARC
(3,10),-2.26945 # DEPENDENCYPART_ARC
(3,11),-1.07783 # DEPENDENCYPART_ARC
(3,12),-3.76212 # DEPENDENCYPART_ARC
(3,13),-1.02029 # DEPENDENCYPART_ARC
(3,14),-4.03289 # DEPENDENCYPART_ARC
(3,15),-1.36943 # DEPENDENCYPART_ARC
(3,16),-4.08387 # DEPENDENCYPART_ARC
(3,17),-2.76161 # DEPENDENCYPART_ARC
(3,18),-3.25463 # DEPENDENCYPART_ARC
(3,19),-1.37281 # DEPENDENCYPART_ARC
(3,20),-4.30538 # DEPENDENCYPART_ARC
(4,1),-1.80744 # DEPENDENCYPART_ARC
(4,2),0.797217 # DEPENDENCYPART_ARC
(4,3),2.88278 # DEPENDENCYPART_ARC
(4,5),0.0843547 # DEPENDENCYPART_ARC
(4,6),-0.120522 # DEPENDENCYPART_ARC
(4,7),-2.17434 # DEPENDENCYPART_ARC
(4,8),-0.826521 # DEPENDENCYPART_ARC
(4,9),-2.77699 # DEPENDENCYPART_ARC
(4,10),-1.11722 # DEPENDENCYPART_ARC
(4,11),-0.616968 # DEPENDENCYPART_ARC
(4,12),-3.52576 # DEPENDENCYPART_ARC
(4,13),-0.2832 # DEPENDENCYPART_ARC
(4,14),-5.11061 # DEPENDENCYPART_ARC
(4,15),-0.515264 # DEPENDENCYPART_ARC
(4,16),-5.53616 # DEPENDENCYPART_ARC
(4,17),-4.1495 # DEPENDENCYPART_ARC
(4,18),-2.73226 # DEPENDENCYPART_ARC
(4,19),-0.749357 # DEPENDENCYPART_ARC
(4,20),-3.70738 # DEPENDENCYPART_ARC
(5,1),1.05274 # DEPENDENCYPART_ARC
(5,2),2.29342 # DEPENDENCYPART_ARC
(5,3),0.857285 # DEPENDENCYPART_ARC
(5,4),4.30013 # DEPENDENCYPART_ARC
(5,6),0.468443 # DEPENDENCYPART_ARC
(5,7),-0.400864 # DEPENDENCYPART_ARC
(5,8),-0.12216 # DEPENDENCYPART_ARC
(5,9),-1.38905 # DEPENDENCYPART_ARC
(5,10),-0.0126033 # DEPENDENCYPART_ARC
(5,11),0.0718407 # DEPENDENCYPART_ARC
(5,12),-2.09072 # DEPENDENCYPART_ARC
(5,13),-0.2162 # DEPENDENCYPART_ARC
(5,14),-2.73554 # DEPENDENCYPART_ARC
(5,15),-0.274732 # DEPENDENCYPART_ARC
(5,16),-2.81244 # DEPENDENCYPART_ARC
(5,17),-2.45147 # DEPENDENCYPART_ARC
(5,18),-5.08739 # DEPENDENCYPART_ARC
(5,19),-1.23288 # DEPENDENCYPART_ARC
(5,20),-6.39812 # DEPENDENCYPART_ARC
(6,1),-3.89431 # DEPENDENCYPART_ARC
(6,2),-2.41497 # DEPENDENCYPART_ARC
(6,3),-1.47584 # DEPENDENCYPART_ARC
(6,4),-2.96087 # DEPENDENCYPART_ARC
(6,5),-1.93471 # DEPENDENCYPART_ARC
(6,7),-2.88736 # DEPENDENCYPART_ARC
(6,8),-2.08946 # DEPENDENCYPART_ARC
(6,9),-2.51157 # DEPENDENCYPART_ARC
(6,10),-1.94552 # DEPENDENCYPART_ARC
(6,11),-1.98451 # DEPENDENCYPART_ARC
(6,12),-2.6758 # DEPENDENCYPART_ARC
(6,13),-1.96928 # DEPENDENCYPART_ARC
(6,14),-3.10423 # DEPENDENCYPART_ARC
(6,15),-2.11925 # DEPENDENCYPART_ARC
(6,16),-3.5391 # DEPENDENCYPART_ARC
(6,17),-3.84186 # DEPENDENCYPART_ARC
(6,18),-2.74551 # DEPENDENCYPART_ARC
(6,19),-2.55068 # DEPENDENCYPART_ARC
(6,20),-3.23436 # DEPENDENCYPART_ARC
(7,1),0.0429398 # DEPENDENCYPART_ARC
(7,2),0.191853 # DEPENDENCYPART_ARC
(7,3),1.15727 # DEPENDENCYPART_ARC
(7,4),0.0516544 # DEPENDENCYPART_ARC
(7,5),2.77581 # DEPENDENCYPART_ARC
(7,6),4.18927 # DEPENDENCYPART_ARC
(7,8),2.65401 # DEPENDENCYPART_ARC
(7,9),-3.26833 # DEPENDENCYPART_ARC
(7,10),1.24261 # DEPENDENCYPART_ARC
(7,11),0.494172 # DEPENDENCYPART_ARC
(7,12),0.662709 # DEPENDENCYPART_ARC
(7,13),0.501716 # DEPENDENCYPART_ARC
(7,14),-0.34882 # DEPENDENCYPART_ARC
(7,15),0.328944 # DEPENDENCYPART_ARC
(7,16),-1.1352 # DEPENDENCYPART_ARC
(7,17),-3.27176 # DEPENDENCYPART_ARC
(7,18),-1.04981 # DEPENDENCYPART_ARC
(7,19),-0.430297 # DEPENDENCYPART_ARC
(7,20),-1.39692 # DEPENDENCYPART_ARC
(8,1),-3.51614 # DEPENDENCYPART_ARC
(8,2),-2.13388 # DEPENDENCYPART_ARC
(8,3),-2.27076 # DEPENDENCYPART_ARC
(8,4),-2.84362 # DEPENDENCYPART_ARC
(8,5),-3.32868 # DEPENDENCYPART_ARC
(8,6),-1.12875 # DEPENDENCYPART_ARC
(8,7),-1.45449 # DEPENDENCYPART_ARC
(8,9),0.66484 # DEPENDENCYPART_ARC
(8,10),4.41577 # DEPENDENCYPART_ARC
(8,11),0.603117 # DEPENDENCYPART_ARC
(8,12),-2.20019 # DEPENDENCYPART_ARC
(8,13),0.322237 # DEPENDENCYPART_ARC
(8,14),-3.92136 # DEPENDENCYPART_ARC
(8,15),0.214811 # DEPENDENCYPART_ARC
(8,16),-4.9998 # DEPENDENCYPART_ARC
(8,17),-1.22582 # DEPENDENCYPART_ARC
(8,18),-0.870902 # DEPENDENCYPART_ARC
(8,19),-1.36327 # DEPENDENCYPART_ARC
(8,20),-1.12299 # DEPENDENCYPART_ARC
(9,1),-6.14933 # DEPENDENCYPART_ARC
(9,2),-1.68921 # DEPENDENCYPART_ARC
(9,3),-0.838793 # DEPENDENCYPART_ARC
(9,4),-5.5 # DEPENDENCYPART_ARC
(9,5),-3.76134 # DEPENDENCYPART_ARC
(9,6),-1.32774 # DEPENDENCYPART_ARC
(9,7),-3.02981 # DEPENDENCYPART_ARC
(9,8),-0.694123 # DEPENDENCYPART_ARC
(9,10),0.487874 # DEPENDENCYPART_ARC
(9,11),-0.775105 # DEPENDENCYPART_ARC
(9,12),-2.97264 # DEPENDENCYPART_ARC
(9,13),-0.908299 # DEPENDENCYPART_ARC
(9,14),-3.49334 # DEPENDENCYPART_ARC
(9,15),-1.02958 # DEPENDENCYPART_ARC
(9,16),-5.16583 # DEPENDENCYPART_ARC
(9,17),-4.56386 # DEPENDENCYPART_ARC
(9,18),-2.55662 # DEPENDENCYPART_ARC
(9,19),-1.21692 # DEPENDENCYPART_ARC
(9,20),-3.75418 # DEPENDENCYPART_ARC
(10,1),-5.71471 # DEPENDENCYPART_ARC
(10,2),-0.518581 # DEPENDENCYPART_ARC
(10,3),-1.47841 # DEPENDENCYPART_ARC
(10,4),-3.60277 # DEPENDENCYPART_ARC
(10,5),-3.00663 # DEPENDENCYPART_ARC
(10,6),-2.48188 # DEPENDENCYPART_ARC
(10,7),-1.41456 # DEPENDENCYPART_ARC
(10,8),0.0772798 # DEPENDENCYPART_ARC
(10,9),4.1448 # DEPENDENCYPART_ARC
(10,11),0.541445 # DEPENDENCYPART_ARC
(10,12),-0.993955 # DEPENDENCYPART_ARC
(10,13),-0.125351 # DEPENDENCYPART_ARC
(10,14),-2.5584 # DEPENDENCYPART_ARC
(10,15),-0.340872 # DEPENDENCYPART_ARC
(10,16),-3.16988 # DEPENDENCYPART_ARC
(10,17),-1.76622 # DEPENDENCYPART_ARC
(10,18),-2.58665 # DEPENDENCYPART_ARC
(10,19),-0.027292 # DEPENDENCYPART_ARC
(10,20),-4.29829 # DEPENDENCYPART_ARC
(11,1),-0.726428 # DEPENDENCYPART_ARC
(11,2),-0.847994 # DEPENDENCYPART_ARC
(11,3),-0.763048 # DEPENDENCYPART_ARC
(11,4),-0.509846 # DEPENDENCYPART_ARC
(11,5),-0.0321558 # DEPENDENCYPART_ARC
(11,6),-0.0834167 # DEPENDENCYPART_ARC
(11,7),-0.560882 # DEPENDENCYPART_ARC
(11,8),-0.208684 # DEPENDENCYPART_ARC
(11,9),0.915633 # DEPENDENCYPART_ARC
(11,10),1.77374 # DEPENDENCYPART_ARC
(11,12),1.67144 # DEPENDENCYPART_ARC
(11,13),0.25817 # DEPENDENCYPART_ARC
(11,14),0.495137 # DEPENDENCYPART_ARC
(11,15),0.175127 # DEPENDENCYPART_ARC
(11,16),-0.298281 # DEPENDENCYPART_ARC
(11,17),-0.358555 # DEPENDENCYPART_ARC
(11,18),-0.517646 # DEPENDENCYPART_ARC
(11,19),0.78269 # DEPENDENCYPART_ARC
(11,20),-0.596621 # DEPENDENCYPART_ARC
(12,1),-5.68164 # DEPENDENCYPART_ARC
(12,2),-1.63709 # DEPENDENCYPART_ARC
(12,3),-2.41351 # DEPENDENCYPART_ARC
(12,4),-3.87794 # DEPENDENCYPART_ARC
(12,5),-3.46775 # DEPENDENCYPART_ARC
(12,6),-3.40651 # DEPENDENCYPART_ARC
(12,7),-2.41222 # DEPENDENCYPART_ARC
(12,8),-0.237375 # DEPENDENCYPART_ARC
(12,9),-2.08355 # DEPENDENCYPART_ARC
(12,10),-4.37294 # DEPENDENCYPART_ARC
(12,11),-0.125941 # DEPENDENCYPART_ARC
(12,13),0.437234 # DEPENDENCYPART_ARC
(12,14),0.738185 # DEPENDENCYPART_ARC
(12,15),-0.240901 # DEPENDENCYPART_ARC
(12,16),-0.562548 # DEPENDENCYPART_ARC
(12,17),-0.12481 # DEPENDENCYPART_ARC
(12,18),-1.43864 # DEPENDENCYPART_ARC
(12,19),-0.236313 # DEPENDENCYPART_ARC
(12,20),-3.42742 # DEPENDENCYPART_ARC
(13,1),-0.660359 # DEPENDENCYPART_ARC
(13,2),-0.279377 # DEPENDENCYPART_ARC
(13,3),-0.451994 # DEPENDENCYPART_ARC
(13,4),-0.552115 # DEPENDENCYPART_ARC
(13,5),-0.00595487 # DEPENDENCYPART_ARC
(13,6),0.0782097 # DEPENDENCYPART_ARC
(13,7),0.33826 # DEPENDENCYPART_ARC
(13,8),0.287117 # DEPENDENCYPART_ARC
(13,9),0.75516 # DEPENDENCYPART_ARC
(13,10),1.9851 # DEPENDENCYPART_ARC
(13,11),1.22017 # DEPENDENCYPART_ARC
(13,12),2.19571 # DEPENDENCYPART_ARC
(13,14),2.10788 # DEPENDENCYPART_ARC
(13,15),0.478243 # DEPENDENCYPART_ARC
(13,16),0.385099 # DEPENDENCYPART_ARC
(13,17),0.0281441 # DEPENDENCYPART_ARC
(13,18),-0.479787 # DEPENDENCYPART_ARC
(13,19),0.41818 # DEPENDENCYPART_ARC
(13,20),-0.630384 # DEPENDENCYPART_ARC
(14,1),-4.25149 # DEPENDENCYPART_ARC
(14,2),-1.50339 # DEPENDENCYPART_ARC
(14,3),-2.82324 # DEPENDENCYPART_ARC
(14,4),-2.47989 # DEPENDENCYPART_ARC
(14,5),-3.89426 # DEPENDENCYPART_ARC
(14,6),-3.93219 # DEPENDENCYPART_ARC
(14,7),-2.58272 # DEPENDENCYPART_ARC
(14,8),-0.770348 # DEPENDENCYPART_ARC
(14,9),-4.42856 # DEPENDENCYPART_ARC
(14,10),-6.00287 # DEPENDENCYPART_ARC
(14,11),-1.03623 # DEPENDENCYPART_ARC
(14,12),-1.67926 # DEPENDENCYPART_ARC
(14,13),0.193519 # DEPENDENCYPART_ARC
(14,15),-0.00374079 # DEPENDENCYPART_ARC
(14,16),0.33304 # DEPENDENCYPART_ARC
(14,17),-0.748469 # DEPENDENCYPART_ARC
(14,18),-0.692765 # DEPENDENCYPART_ARC
(14,19),-0.586331 # DEPENDENCYPART_ARC
(14,20),-2.65619 # DEPENDENCYPART_ARC
(15,1),-0.581466 # DEPENDENCYPART_ARC
(15,2),-0.446759 # DEPENDENCYPART_ARC
(15,3),-0.560212 # DEPENDENCYPART_ARC
(15,4),-0.586965 # DEPENDENCYPART_ARC
(15,5),0.00265205 # DEPENDENCYPART_ARC
(15,6),-0.0180369 # DEPENDENCYPART_ARC
(15,7),0.170625 # DEPENDENCYPART_ARC
(15,8),0.386381 # DEPENDENCYPART_ARC
(15,9),0.530253 # DEPENDENCYPART_ARC
(15,10),1.90369 # DEPENDENCYPART_ARC
(15,11),0.893659 # DEPENDENCYPART_ARC
(15,12),2.22539 # DEPENDENCYPART_ARC
(15,13),1.35959 # DEPENDENCYPART_ARC
(15,14),2.27963 # DEPENDENCYPART_ARC
(15,16),1.7283 # DEPENDENCYPART_ARC
(15,17),0.579569 # DEPENDENCYPART_ARC
(15,18),0.0244572 # DEPENDENCYPART_ARC
(15,19),0.752277 # DEPENDENCYPART_ARC
(15,20),-0.385544 # DEPENDENCYPART_ARC
(16,1),-5.55191 # DEPENDENCYPART_ARC
(16,2),-1.51237 # DEPENDENCYPART_ARC
(16,3),-2.93513 # DEPENDENCYPART_ARC
(16,4),-3.96505 # DEPENDENCYPART_ARC
(16,5),-4.95393 # DEPENDENCYPART_ARC
(16,6),-4.54289 # DEPENDENCYPART_ARC
(16,7),-3.03561 # DEPENDENCYPART_ARC
(16,8),-1.15342 # DEPENDENCYPART_ARC
(16,9),-4.44771 # DEPENDENCYPART_ARC
(16,10),-5.72278 # DEPENDENCYPART_ARC
(16,11),-0.950325 # DEPENDENCYPART_ARC
(16,12),-2.45792 # DEPENDENCYPART_ARC
(16,13),-0.322569 # DEPENDENCYPART_ARC
(16,14),-1.91155 # DEPENDENCYPART_ARC
(16,15),0.636733 # DEPENDENCYPART_ARC
(16,17),1.90415 # DEPENDENCYPART_ARC
(16,18),1.20248 # DEPENDENCYPART_ARC
(16,19),0.631525 # DEPENDENCYPART_ARC
(16,20),-0.233083 # DEPENDENCYPART_ARC
(17,1),-2.25854 # DEPENDENCYPART_ARC
(17,2),-0.196983 # DEPENDENCYPART_ARC
(17,3),-1.11103 # DEPENDENCYPART_ARC
(17,4),-2.02439 # DEPENDENCYPART_ARC
(17,5),-1.18036 # DEPENDENCYPART_ARC
(17,6),0.258833 # DEPENDENCYPART_ARC
(17,7),-2.63791 # DEPENDENCYPART_ARC
(17,8),-0.186671 # DEPENDENCYPART_ARC
(17,9),-1.95649 # DEPENDENCYPART_ARC
(17,10),-1.21357 # DEPENDENCYPART_ARC
(17,11),1.06803 # DEPENDENCYPART_ARC
(17,12),0.810571 # DEPENDENCYPART_ARC
(17,13),1.36077 # DEPENDENCYPART_ARC
(17,14),0.828728 # DEPENDENCYPART_ARC
(17,15),1.87122 # DEPENDENCYPART_ARC
(17,16),2.08852 # DEPENDENCYPART_ARC
(17,18),2.62961 # DEPENDENCYPART_ARC
(17,19),1.26195 # DEPENDENCYPART_ARC
(17,20),0.7917 # DEPENDENCYPART_ARC
(18,1),-2.76292 # DEPENDENCYPART_ARC
(18,2),-3.40766 # DEPENDENCYPART_ARC
(18,3),-2.28298 # DEPENDENCYPART_ARC
(18,4),-2.72899 # DEPENDENCYPART_ARC
(18,5),-2.98647 # DEPENDENCYPART_ARC
(18,6),-2.35115 # DEPENDENCYPART_ARC
(18,7),-2.51795 # DEPENDENCYPART_ARC
(18,8),-2.83141 # DEPENDENCYPART_ARC
(18,9),-1.50932 # DEPENDENCYPART_ARC
(18,10),-1.34229 # DEPENDENCYPART_ARC
(18,11),-1.7799 # DEPENDENCYPART_ARC
(18,12),-1.1477 # DEPENDENCYPART_ARC
(18,13),-1.4438 # DEPENDENCYPART_ARC
(18,14),-1.1565 # DEPENDENCYPART_ARC
(18,15),-1.26418 # DEPENDENCYPART_ARC
(18,16),-1.41821 # DEPENDENCYPART_ARC
(18,17),-0.920201 # DEPENDENCYPART_ARC
(18,19),-0.443524 # DEPENDENCYPART_ARC
(18,20),-2.23398 # DEPENDENCYPART_ARC
(19,1),-2.75329 # DEPENDENCYPART_ARC
(19,2),-3.54009 # DEPENDENCYPART_ARC
(19,3),-3.04485 # DEPENDENCYPART_ARC
(19,4),-2.68586 # DEPENDENCYPART_ARC
(19,5),-4.31098 # DEPENDENCYPART_ARC
(19,6),-2.37521 # DEPENDENCYPART_ARC
(19,7),-2.49805 # DEPENDENCYPART_ARC
(19,8),-2.59118 # DEPENDENCYPART_ARC
(19,9),-1.71568 # DEPENDENCYPART_ARC
(19,10),-2.76957 # DEPENDENCYPART_ARC
(19,11),-3.11239 # DEPENDENCYPART_ARC
(19,12),-2.31303 # DEPENDENCYPART_ARC
(19,13),-2.14288 # DEPENDENCYPART_ARC
(19,14),-1.99523 # DEPENDENCYPART_ARC
(19,15),-2.12841 # DEPENDENCYPART_ARC
(19,16),-1.73328 # DEPENDENCYPART_ARC
(19,17),-1.33261 # DEPENDENCYPART_ARC
(19,18),-1.19084 # DEPENDENCYPART_ARC
(19,20),-1.34036 # DEPENDENCYPART_ARC
(20,1),-3.5967 # DEPENDENCYPART_ARC
(20,2),-4.74833 # DEPENDENCYPART_ARC
(20,3),-3.3507 # DEPENDENCYPART_ARC
(20,4),-3.56182 # DEPENDENCYPART_ARC
(20,5),-3.41054 # DEPENDENCYPART_ARC
(20,6),-3.43453 # DEPENDENCYPART_ARC
(20,7),-3.48556 # DEPENDENCYPART_ARC
(20,8),-3.82153 # DEPENDENCYPART_ARC
(20,9),-2.57213 # DEPENDENCYPART_ARC
(20,10),-1.47963 # DEPENDENCYPART_ARC
(20,11),-2.36408 # DEPENDENCYPART_ARC
(20,12),-1.07319 # DEPENDENCYPART_ARC
(20,13),-1.03115 # DEPENDENCYPART_ARC
(20,14),-1.0714 # DEPENDENCYPART_ARC
(20,15),-1.25761 # DEPENDENCYPART_ARC
(20,16),-1.69746 # DEPENDENCYPART_ARC
(20,17),-2.22503 # DEPENDENCYPART_ARC
(20,18),-1.27255 # DEPENDENCYPART_ARC
(20,19),-1.66493 # DEPENDENCYPART_ARC
