# _root_ Přestože je chemická struktura molekuly známa již od let sedmdesátých , nenašli chemici levný způsob , jak tuto molekulu syntetizovat .
#goldHeads=12,1,4,2,4,2,9,2,8,9,1,0,12,15,12,20,20,19,20,15,0,
#predictedHeads=12,1,4,2,4,2,9,12,8,9,1,0,12,15,12,1,20,19,20,15,0,
(7,5),-1.15768 # DEPENDENCYPART_ARC
(7,6),-0.490162 # DEPENDENCYPART_ARC
(7,8),0.0958668 # DEPENDENCYPART_ARC
(7,9),-0.741509 # DEPENDENCYPART_ARC
(7,11),-0.558603 # DEPENDENCYPART_ARC
(7,12),-1.33639 # DEPENDENCYPART_ARC
(7,13),-2.31791 # DEPENDENCYPART_ARC
(7,14),-1.6469 # DEPENDENCYPART_ARC
(7,15),-2.59004 # DEPENDENCYPART_ARC
(7,16),-1.08109 # DEPENDENCYPART_ARC
(7,17),-1.27796 # DEPENDENCYPART_ARC
(7,18),-2.39166 # DEPENDENCYPART_ARC
(7,19),-3.22553 # DEPENDENCYPART_ARC
(7,20),-2.00527 # DEPENDENCYPART_ARC
(7,21),-2.52001 # DEPENDENCYPART_ARC
(8,1),-1.45699 # DEPENDENCYPART_ARC
(8,2),-2.2231 # DEPENDENCYPART_ARC
(8,3),-2.45509 # DEPENDENCYPART_ARC
(8,4),-2.60799 # DEPENDENCYPART_ARC
(8,5),-1.54815 # DEPENDENCYPART_ARC
(8,6),-0.647911 # DEPENDENCYPART_ARC
(8,7),0.303858 # DEPENDENCYPART_ARC
(8,9),3.88464 # DEPENDENCYPART_ARC
(8,10),-0.00484045 # DEPENDENCYPART_ARC
(8,11),-0.0151196 # DEPENDENCYPART_ARC
(8,12),-1.85403 # DEPENDENCYPART_ARC
(8,13),-4.57273 # DEPENDENCYPART_ARC
(8,14),-2.89257 # DEPENDENCYPART_ARC
(8,15),-5.04098 # DEPENDENCYPART_ARC
(8,16),-1.46716 # DEPENDENCYPART_ARC
(8,17),-1.31548 # DEPENDENCYPART_ARC
(8,18),-4.40817 # DEPENDENCYPART_ARC
(8,19),-5.29866 # DEPENDENCYPART_ARC
(8,21),-2.88709 # DEPENDENCYPART_ARC
(9,1),-2.15444 # DEPENDENCYPART_ARC
(9,2),-2.81766 # DEPENDENCYPART_ARC
(9,3),-5.31482 # DEPENDENCYPART_ARC
(9,4),-5.35957 # DEPENDENCYPART_ARC
(9,5),-3.28739 # DEPENDENCYPART_ARC
(9,6),-3.49317 # DEPENDENCYPART_ARC
(9,7),1.80897 # DEPENDENCYPART_ARC
(9,8),0.318005 # DEPENDENCYPART_ARC
(9,10),2.62857 # DEPENDENCYPART_ARC
(9,11),-0.326734 # DEPENDENCYPART_ARC
(9,12),-0.89785 # DEPENDENCYPART_ARC
(9,13),-3.27129 # DEPENDENCYPART_ARC
(9,14),-3.72709 # DEPENDENCYPART_ARC
(9,15),-4.06131 # DEPENDENCYPART_ARC
(9,16),-0.546515 # DEPENDENCYPART_ARC
(9,17),-0.691789 # DEPENDENCYPART_ARC
(9,18),-3.51617 # DEPENDENCYPART_ARC
(9,19),-5.01558 # DEPENDENCYPART_ARC
(9,20),-1.93088 # DEPENDENCYPART_ARC
(9,21),-4.32843 # DEPENDENCYPART_ARC
(10,1),-1.29385 # DEPENDENCYPART_ARC
(10,3),-3.80021 # DEPENDENCYPART_ARC
(10,4),-3.88084 # DEPENDENCYPART_ARC
(10,5),-2.15113 # DEPENDENCYPART_ARC
(10,7),0.0741804 # DEPENDENCYPART_ARC
(10,8),0.0735656 # DEPENDENCYPART_ARC
(10,9),-0.0237365 # DEPENDENCYPART_ARC
(10,11),-0.582372 # DEPENDENCYPART_ARC
(10,12),-1.59388 # DEPENDENCYPART_ARC
(10,13),-3.09715 # DEPENDENCYPART_ARC
(10,14),-4.22041 # DEPENDENCYPART_ARC
(10,15),-4.20002 # DEPENDENCYPART_ARC
(10,16),-1.73651 # DEPENDENCYPART_ARC
(10,17),-1.59529 # DEPENDENCYPART_ARC
(10,18),-2.87638 # DEPENDENCYPART_ARC
(10,19),-5.81493 # DEPENDENCYPART_ARC
(10,21),-3.09898 # DEPENDENCYPART_ARC
(11,1),-0.0902715 # DEPENDENCYPART_ARC
(11,2),0.17356 # DEPENDENCYPART_ARC
(11,3),-0.644232 # DEPENDENCYPART_ARC
(11,4),-0.119017 # DEPENDENCYPART_ARC
(11,5),-0.426374 # DEPENDENCYPART_ARC
(11,6),-0.613049 # DEPENDENCYPART_ARC
(11,7),-0.0874636 # DEPENDENCYPART_ARC
(11,8),-0.118658 # DEPENDENCYPART_ARC
(11,9),0.485265 # DEPENDENCYPART_ARC
(11,10),-0.280619 # DEPENDENCYPART_ARC
(11,12),0.15629 # DEPENDENCYPART_ARC
(11,13),-0.99241 # DEPENDENCYPART_ARC
(11,14),-0.727458 # DEPENDENCYPART_ARC
(11,15),-1.47088 # DEPENDENCYPART_ARC
(11,16),-0.693057 # DEPENDENCYPART_ARC
(11,17),-1.42983 # DEPENDENCYPART_ARC
(11,18),-1.89567 # DEPENDENCYPART_ARC
(11,19),-2.59201 # DEPENDENCYPART_ARC
(11,20),-1.58324 # DEPENDENCYPART_ARC
(11,21),-0.995396 # DEPENDENCYPART_ARC
(12,1),2.95635 # DEPENDENCYPART_ARC
(12,2),-1.87927 # DEPENDENCYPART_ARC
(12,3),-3.51968 # DEPENDENCYPART_ARC
(12,4),-0.460346 # DEPENDENCYPART_ARC
(12,5),-2.79446 # DEPENDENCYPART_ARC
(12,6),-2.22706 # DEPENDENCYPART_ARC
(12,7),0.304452 # DEPENDENCYPART_ARC
(12,8),1.53115 # DEPENDENCYPART_ARC
(12,9),-1.69645 # DEPENDENCYPART_ARC
(12,10),-1.77161 # DEPENDENCYPART_ARC
(12,11),0.347501 # DEPENDENCYPART_ARC
(12,13),3.00007 # DEPENDENCYPART_ARC
(12,14),-0.847911 # DEPENDENCYPART_ARC
(12,15),2.1556 # DEPENDENCYPART_ARC
(12,16),0.683359 # DEPENDENCYPART_ARC
(12,17),0.131219 # DEPENDENCYPART_ARC
(12,18),-2.2916 # DEPENDENCYPART_ARC
(12,19),0.265483 # DEPENDENCYPART_ARC
(12,20),2.10818 # DEPENDENCYPART_ARC
(12,21),-0.0684169 # DEPENDENCYPART_ARC
(13,1),-3.62162 # DEPENDENCYPART_ARC
(13,2),-3.41917 # DEPENDENCYPART_ARC
(13,3),-4.24748 # DEPENDENCYPART_ARC
(13,4),-5.2451 # DEPENDENCYPART_ARC
(13,5),-6.67703 # DEPENDENCYPART_ARC
(13,6),-5.16258 # DEPENDENCYPART_ARC
(13,7),-0.505855 # DEPENDENCYPART_ARC
(13,8),-0.927441 # DEPENDENCYPART_ARC
(13,9),-4.49219 # DEPENDENCYPART_ARC
(13,10),-0.999388 # DEPENDENCYPART_ARC
(13,11),-1.06613 # DEPENDENCYPART_ARC
(13,12),-1.71228 # DEPENDENCYPART_ARC
(13,14),-2.0409 # DEPENDENCYPART_ARC
(13,15),-0.772407 # DEPENDENCYPART_ARC
(13,16),-0.0229732 # DEPENDENCYPART_ARC
(13,17),-0.0117347 # DEPENDENCYPART_ARC
(13,18),-2.55003 # DEPENDENCYPART_ARC
(13,19),-3.25518 # DEPENDENCYPART_ARC
(13,20),-0.195099 # DEPENDENCYPART_ARC
(13,21),-2.07097 # DEPENDENCYPART_ARC
(14,1),-1.63835 # DEPENDENCYPART_ARC
(14,2),-4.56453 # DEPENDENCYPART_ARC
(14,3),-5.34088 # DEPENDENCYPART_ARC
(14,4),-4.28033 # DEPENDENCYPART_ARC
(14,5),-3.42268 # DEPENDENCYPART_ARC
(14,7),-1.35292 # DEPENDENCYPART_ARC
(14,8),-0.377129 # DEPENDENCYPART_ARC
(14,9),-3.12727 # DEPENDENCYPART_ARC
(14,10),-3.06722 # DEPENDENCYPART_ARC
(14,11),-0.555884 # DEPENDENCYPART_ARC
(14,12),-4.00581 # DEPENDENCYPART_ARC
(14,13),-1.51621 # DEPENDENCYPART_ARC
(14,15),0.79822 # DEPENDENCYPART_ARC
(14,16),-0.868165 # DEPENDENCYPART_ARC
(14,17),-0.590259 # DEPENDENCYPART_ARC
(14,18),-3.3476 # DEPENDENCYPART_ARC
(14,19),-2.08066 # DEPENDENCYPART_ARC
(14,20),-0.778308 # DEPENDENCYPART_ARC
(14,21),-1.60703 # DEPENDENCYPART_ARC
(15,1),-3.15853 # DEPENDENCYPART_ARC
(15,2),-2.3836 # DEPENDENCYPART_ARC
(15,3),-3.89149 # DEPENDENCYPART_ARC
(15,4),-4.66414 # DEPENDENCYPART_ARC
(15,5),-3.49088 # DEPENDENCYPART_ARC
(15,6),-3.89099 # DEPENDENCYPART_ARC
(15,7),-0.188957 # DEPENDENCYPART_ARC
(15,8),-0.248124 # DEPENDENCYPART_ARC
(15,9),-3.88552 # DEPENDENCYPART_ARC
(15,10),-0.994617 # DEPENDENCYPART_ARC
(15,11),-0.676263 # DEPENDENCYPART_ARC
(15,12),-2.58246 # DEPENDENCYPART_ARC
(15,13),-1.45225 # DEPENDENCYPART_ARC
(15,14),5.81415 # DEPENDENCYPART_ARC
(15,16),-0.0318723 # DEPENDENCYPART_ARC
(15,17),0.0873757 # DEPENDENCYPART_ARC
(15,18),-0.614684 # DEPENDENCYPART_ARC
(15,19),-0.725654 # DEPENDENCYPART_ARC
(15,20),3.4535 # DEPENDENCYPART_ARC
(15,21),-0.60314 # DEPENDENCYPART_ARC
(16,1),-0.917503 # DEPENDENCYPART_ARC
(16,2),-1.10742 # DEPENDENCYPART_ARC
(16,3),-1.03102 # DEPENDENCYPART_ARC
(16,4),-1.07104 # DEPENDENCYPART_ARC
(16,5),-1.71354 # DEPENDENCYPART_ARC
(16,6),-1.37108 # DEPENDENCYPART_ARC
(16,7),-0.502509 # DEPENDENCYPART_ARC
(16,8),-1.11934 # DEPENDENCYPART_ARC
(16,9),-0.707231 # DEPENDENCYPART_ARC
(16,10),-0.913671 # DEPENDENCYPART_ARC
(16,11),-0.466813 # DEPENDENCYPART_ARC
(16,12),0.209049 # DEPENDENCYPART_ARC
(16,13),0.132378 # DEPENDENCYPART_ARC
(16,14),-0.215568 # DEPENDENCYPART_ARC
(16,15),-0.2474 # DEPENDENCYPART_ARC
(16,17),-0.325279 # DEPENDENCYPART_ARC
(16,18),-0.261803 # DEPENDENCYPART_ARC
(16,19),-0.258243 # DEPENDENCYPART_ARC
(16,20),0.221909 # DEPENDENCYPART_ARC
(16,21),-0.234784 # DEPENDENCYPART_ARC
(17,1),-1.54844 # DEPENDENCYPART_ARC
(17,2),-2.14635 # DEPENDENCYPART_ARC
(17,3),-2.03419 # DEPENDENCYPART_ARC
(17,4),-1.97995 # DEPENDENCYPART_ARC
(17,5),-1.60882 # DEPENDENCYPART_ARC
(17,6),-1.88422 # DEPENDENCYPART_ARC
(17,7),-1.06192 # DEPENDENCYPART_ARC
(17,8),-1.29428 # DEPENDENCYPART_ARC
(17,9),-1.22016 # DEPENDENCYPART_ARC
(17,11),-0.876859 # DEPENDENCYPART_ARC
(17,12),-0.988926 # DEPENDENCYPART_ARC
(17,13),-0.218676 # DEPENDENCYPART_ARC
(17,14),-0.538148 # DEPENDENCYPART_ARC
(17,15),-0.0635966 # DEPENDENCYPART_ARC
(17,16),0.219944 # DEPENDENCYPART_ARC
(17,18),0.559165 # DEPENDENCYPART_ARC
(17,19),0.260014 # DEPENDENCYPART_ARC
(17,20),0.896957 # DEPENDENCYPART_ARC
(17,21),0.415882 # DEPENDENCYPART_ARC
(18,1),-3.1384 # DEPENDENCYPART_ARC
(18,2),-2.79871 # DEPENDENCYPART_ARC
(18,3),-4.14206 # DEPENDENCYPART_ARC
(18,4),-3.58233 # DEPENDENCYPART_ARC
(18,5),-3.00802 # DEPENDENCYPART_ARC
(18,6),-3.37302 # DEPENDENCYPART_ARC
(18,7),-1.42563 # DEPENDENCYPART_ARC
(18,8),-1.45254 # DEPENDENCYPART_ARC
(18,9),-3.34111 # DEPENDENCYPART_ARC
(18,10),-2.5638 # DEPENDENCYPART_ARC
(18,11),-1.52366 # DEPENDENCYPART_ARC
(18,12),-2.66414 # DEPENDENCYPART_ARC
(18,13),-3.9715 # DEPENDENCYPART_ARC
(18,14),-2.87956 # DEPENDENCYPART_ARC
(18,15),-1.18917 # DEPENDENCYPART_ARC
(18,16),-0.395866 # DEPENDENCYPART_ARC
(18,17),-0.0787675 # DEPENDENCYPART_ARC
(18,19),0.346019 # DEPENDENCYPART_ARC
(18,20),0.203071 # DEPENDENCYPART_ARC
(18,21),-0.772363 # DEPENDENCYPART_ARC
(19,1),-3.80523 # DEPENDENCYPART_ARC
(19,2),-2.57117 # DEPENDENCYPART_ARC
(19,3),-3.76126 # DEPENDENCYPART_ARC
(19,4),-4.97944 # DEPENDENCYPART_ARC
(19,5),-4.24567 # DEPENDENCYPART_ARC
(19,6),-5.14953 # DEPENDENCYPART_ARC
(19,7),-0.981383 # DEPENDENCYPART_ARC
(19,8),-0.782279 # DEPENDENCYPART_ARC
(19,9),-5.3106 # DEPENDENCYPART_ARC
(19,10),-2.37043 # DEPENDENCYPART_ARC
(19,11),-1.10338 # DEPENDENCYPART_ARC
(19,12),-3.64837 # DEPENDENCYPART_ARC
(19,13),-4.54318 # DEPENDENCYPART_ARC
(19,14),0.431009 # DEPENDENCYPART_ARC
(19,15),-1.17634 # DEPENDENCYPART_ARC
(19,16),0.181006 # DEPENDENCYPART_ARC
(19,17),0.407426 # DEPENDENCYPART_ARC
(19,18),4.99405 # DEPENDENCYPART_ARC
(19,20),0.704672 # DEPENDENCYPART_ARC
(19,21),-0.575366 # DEPENDENCYPART_ARC
(20,1),1.91135 # DEPENDENCYPART_ARC
(20,2),-2.3081 # DEPENDENCYPART_ARC
(20,3),-4.2952 # DEPENDENCYPART_ARC
(20,4),-0.905235 # DEPENDENCYPART_ARC
(20,5),-1.50178 # DEPENDENCYPART_ARC
(20,6),-3.17768 # DEPENDENCYPART_ARC
(20,7),-1.23907 # DEPENDENCYPART_ARC
(20,8),0.936622 # DEPENDENCYPART_ARC
(20,9),-1.25414 # DEPENDENCYPART_ARC
(20,10),-1.04737 # DEPENDENCYPART_ARC
(20,11),-1.27129 # DEPENDENCYPART_ARC
(20,12),-1.70076 # DEPENDENCYPART_ARC
(20,13),-0.0764645 # DEPENDENCYPART_ARC
(20,14),-1.97757 # DEPENDENCYPART_ARC
(20,15),0.894308 # DEPENDENCYPART_ARC
(20,16),1.16315 # DEPENDENCYPART_ARC
(20,17),1.80916 # DEPENDENCYPART_ARC
(20,18),3.07409 # DEPENDENCYPART_ARC
(20,19),4.05827 # DEPENDENCYPART_ARC
(20,21),-0.317728 # DEPENDENCYPART_ARC
(21,1),-4.52705 # DEPENDENCYPART_ARC
(21,2),-6.10153 # DEPENDENCYPART_ARC
(21,3),-4.7321 # DEPENDENCYPART_ARC
(21,4),-5.57123 # DEPENDENCYPART_ARC
(21,5),-5.81915 # DEPENDENCYPART_ARC
(21,6),-4.76106 # DEPENDENCYPART_ARC
(21,7),-4.0396 # DEPENDENCYPART_ARC
(21,8),-4.74944 # DEPENDENCYPART_ARC
(21,9),-4.97315 # DEPENDENCYPART_ARC
(21,10),-4.87645 # DEPENDENCYPART_ARC
(21,11),-3.93347 # DEPENDENCYPART_ARC
(21,12),-3.98688 # DEPENDENCYPART_ARC
(21,13),-3.70045 # DEPENDENCYPART_ARC
(21,14),-3.92147 # DEPENDENCYPART_ARC
(21,15),-3.38892 # DEPENDENCYPART_ARC
(21,16),-3.2125 # DEPENDENCYPART_ARC
(21,17),-3.46846 # DEPENDENCYPART_ARC
(21,18),-2.80276 # DEPENDENCYPART_ARC
(21,19),-3.32207 # DEPENDENCYPART_ARC
(21,20),-3.83663 # DEPENDENCYPART_ARC
