# _root_ Tuto sumu obdržely dvakrát : jednorázově po volbách a pak , na základě roční zprávy o hospodaření , rozdělenou do čtyřletých částek .
#goldHeads=2,3,0,5,3,8,9,7,5,9,13,13,19,15,13,15,16,13,10,19,22,20,0,
#predictedHeads=2,3,9,5,0,9,9,7,5,9,13,13,9,15,13,15,16,19,15,19,22,20,0,
(1,15),-2.78344 # DEPENDENCYPART_ARC
(1,16),-1.86413 # DEPENDENCYPART_ARC
(1,17),-2.77169 # DEPENDENCYPART_ARC
(1,18),-2.31389 # DEPENDENCYPART_ARC
(1,19),-3.19881 # DEPENDENCYPART_ARC
(1,20),-1.96359 # DEPENDENCYPART_ARC
(1,21),-5.15957 # DEPENDENCYPART_ARC
(1,22),-3.91739 # DEPENDENCYPART_ARC
(1,23),-3.00504 # DEPENDENCYPART_ARC
(2,1),5.38648 # DEPENDENCYPART_ARC
(2,3),-1.23305 # DEPENDENCYPART_ARC
(2,4),-1.00885 # DEPENDENCYPART_ARC
(2,5),-1.02561 # DEPENDENCYPART_ARC
(2,6),-1.85147 # DEPENDENCYPART_ARC
(2,7),-1.62615 # DEPENDENCYPART_ARC
(2,8),-2.94072 # DEPENDENCYPART_ARC
(2,9),-1.51947 # DEPENDENCYPART_ARC
(2,10),-1.67094 # DEPENDENCYPART_ARC
(2,11),-1.8424 # DEPENDENCYPART_ARC
(2,12),-2.51527 # DEPENDENCYPART_ARC
(2,13),-3.8774 # DEPENDENCYPART_ARC
(2,14),-2.99851 # DEPENDENCYPART_ARC
(2,15),-2.75797 # DEPENDENCYPART_ARC
(2,16),-2.41323 # DEPENDENCYPART_ARC
(2,17),-5.1195 # DEPENDENCYPART_ARC
(2,18),-2.17291 # DEPENDENCYPART_ARC
(2,19),-1.53638 # DEPENDENCYPART_ARC
(2,20),-2.50238 # DEPENDENCYPART_ARC
(2,21),-4.90371 # DEPENDENCYPART_ARC
(2,22),-4.68985 # DEPENDENCYPART_ARC
(2,23),-9.14431 # DEPENDENCYPART_ARC
(3,1),2.0545 # DEPENDENCYPART_ARC
(3,2),2.89888 # DEPENDENCYPART_ARC
(3,4),1.42928 # DEPENDENCYPART_ARC
(3,5),0.595702 # DEPENDENCYPART_ARC
(3,6),1.05179 # DEPENDENCYPART_ARC
(3,7),1.26088 # DEPENDENCYPART_ARC
(3,8),-0.122584 # DEPENDENCYPART_ARC
(3,9),0.403275 # DEPENDENCYPART_ARC
(3,10),0.155406 # DEPENDENCYPART_ARC
(3,11),0.127305 # DEPENDENCYPART_ARC
(3,12),-0.158527 # DEPENDENCYPART_ARC
(3,13),-0.509149 # DEPENDENCYPART_ARC
(3,14),-4.73789 # DEPENDENCYPART_ARC
(3,15),-1.90242 # DEPENDENCYPART_ARC
(3,16),-0.0811049 # DEPENDENCYPART_ARC
(3,17),-2.63044 # DEPENDENCYPART_ARC
(3,18),-0.00692004 # DEPENDENCYPART_ARC
(3,19),-4.9061 # DEPENDENCYPART_ARC
(3,20),-0.251714 # DEPENDENCYPART_ARC
(3,21),-5.9271 # DEPENDENCYPART_ARC
(3,22),-3.1032 # DEPENDENCYPART_ARC
(3,23),-1.03083 # DEPENDENCYPART_ARC
(4,1),0.219663 # DEPENDENCYPART_ARC
(4,2),-0.393442 # DEPENDENCYPART_ARC
(4,3),-0.80886 # DEPENDENCYPART_ARC
(4,5),0.537036 # DEPENDENCYPART_ARC
(4,6),0.101217 # DEPENDENCYPART_ARC
(4,7),-0.349881 # DEPENDENCYPART_ARC
(4,8),-0.0932853 # DEPENDENCYPART_ARC
(4,9),-0.189233 # DEPENDENCYPART_ARC
(4,10),-0.546845 # DEPENDENCYPART_ARC
(4,11),-1.11106 # DEPENDENCYPART_ARC
(4,12),-1.46826 # DEPENDENCYPART_ARC
(4,13),-1.99402 # DEPENDENCYPART_ARC
(4,14),-1.86936 # DEPENDENCYPART_ARC
(4,15),-2.38315 # DEPENDENCYPART_ARC
(4,16),-2.04442 # DEPENDENCYPART_ARC
(4,17),-2.81355 # DEPENDENCYPART_ARC
(4,18),-1.24048 # DEPENDENCYPART_ARC
(4,19),-2.38834 # DEPENDENCYPART_ARC
(4,20),-2.71022 # DEPENDENCYPART_ARC
(4,21),-2.58068 # DEPENDENCYPART_ARC
(4,22),-3.84653 # DEPENDENCYPART_ARC
(4,23),-3.25731 # DEPENDENCYPART_ARC
(5,1),0.811332 # DEPENDENCYPART_ARC
(5,2),0.788063 # DEPENDENCYPART_ARC
(5,3),0.666421 # DEPENDENCYPART_ARC
(5,4),2.29268 # DEPENDENCYPART_ARC
(5,6),0.72201 # DEPENDENCYPART_ARC
(5,7),0.898772 # DEPENDENCYPART_ARC
(5,8),0.602657 # DEPENDENCYPART_ARC
(5,9),1.14803 # DEPENDENCYPART_ARC
(5,10),0.489293 # DEPENDENCYPART_ARC
(5,11),0.423592 # DEPENDENCYPART_ARC
(5,12),-0.184423 # DEPENDENCYPART_ARC
(5,13),-0.490973 # DEPENDENCYPART_ARC
(5,14),0.0195745 # DEPENDENCYPART_ARC
(5,15),-0.852169 # DEPENDENCYPART_ARC
(5,16),-0.324876 # DEPENDENCYPART_ARC
(5,17),-0.668963 # DEPENDENCYPART_ARC
(5,18),-0.112798 # DEPENDENCYPART_ARC
(5,19),-1.55224 # DEPENDENCYPART_ARC
(5,20),-1.55185 # DEPENDENCYPART_ARC
(5,21),-1.07683 # DEPENDENCYPART_ARC
(5,22),-1.10133 # DEPENDENCYPART_ARC
(5,23),-1.71091 # DEPENDENCYPART_ARC
(6,1),-1.36669 # DEPENDENCYPART_ARC
(6,2),-1.6412 # DEPENDENCYPART_ARC
(6,3),-1.19198 # DEPENDENCYPART_ARC
(6,4),0.290058 # DEPENDENCYPART_ARC
(6,5),0.356346 # DEPENDENCYPART_ARC
(6,7),0.954981 # DEPENDENCYPART_ARC
(6,8),0.214922 # DEPENDENCYPART_ARC
(6,9),0.438393 # DEPENDENCYPART_ARC
(6,10),-0.409033 # DEPENDENCYPART_ARC
(6,11),-0.162945 # DEPENDENCYPART_ARC
(6,12),-0.611251 # DEPENDENCYPART_ARC
(6,13),-1.55298 # DEPENDENCYPART_ARC
(6,14),-0.977068 # DEPENDENCYPART_ARC
(6,15),-0.739137 # DEPENDENCYPART_ARC
(6,16),-1.22577 # DEPENDENCYPART_ARC
(6,17),-1.5486 # DEPENDENCYPART_ARC
(6,18),-0.638838 # DEPENDENCYPART_ARC
(6,19),-2.29011 # DEPENDENCYPART_ARC
(6,20),-1.36757 # DEPENDENCYPART_ARC
(6,21),-1.37533 # DEPENDENCYPART_ARC
(6,22),-1.86942 # DEPENDENCYPART_ARC
(6,23),-2.60865 # DEPENDENCYPART_ARC
(7,1),-1.74206 # DEPENDENCYPART_ARC
(7,2),-2.57558 # DEPENDENCYPART_ARC
(7,3),-2.55767 # DEPENDENCYPART_ARC
(7,4),-1.67331 # DEPENDENCYPART_ARC
(7,5),-0.0676817 # DEPENDENCYPART_ARC
(7,6),-0.788849 # DEPENDENCYPART_ARC
(7,8),4.56373 # DEPENDENCYPART_ARC
(7,9),0.97572 # DEPENDENCYPART_ARC
(7,10),-0.339146 # DEPENDENCYPART_ARC
(7,11),-0.0176342 # DEPENDENCYPART_ARC
(7,12),-1.58312 # DEPENDENCYPART_ARC
(7,13),-0.278904 # DEPENDENCYPART_ARC
(7,14),-2.9756 # DEPENDENCYPART_ARC
(7,15),-3.72486 # DEPENDENCYPART_ARC
(7,16),-1.96007 # DEPENDENCYPART_ARC
(7,17),-1.42197 # DEPENDENCYPART_ARC
(7,18),-0.499448 # DEPENDENCYPART_ARC
(7,19),-3.22033 # DEPENDENCYPART_ARC
(7,20),-2.19149 # DEPENDENCYPART_ARC
(7,21),-4.01188 # DEPENDENCYPART_ARC
(7,22),-6.20905 # DEPENDENCYPART_ARC
(7,23),-2.1899 # DEPENDENCYPART_ARC
(8,1),-2.29444 # DEPENDENCYPART_ARC
(8,2),-2.70196 # DEPENDENCYPART_ARC
(8,3),-3.22162 # DEPENDENCYPART_ARC
(8,4),-0.573036 # DEPENDENCYPART_ARC
(8,5),0.0501741 # DEPENDENCYPART_ARC
(8,6),0.378439 # DEPENDENCYPART_ARC
(8,7),0.197365 # DEPENDENCYPART_ARC
(8,9),-0.280863 # DEPENDENCYPART_ARC
(8,10),-0.907523 # DEPENDENCYPART_ARC
(8,11),-1.22552 # DEPENDENCYPART_ARC
(8,12),-0.974004 # DEPENDENCYPART_ARC
(8,13),-2.15733 # DEPENDENCYPART_ARC
(8,14),-3.29059 # DEPENDENCYPART_ARC
(8,15),-1.54203 # DEPENDENCYPART_ARC
(8,16),-0.969007 # DEPENDENCYPART_ARC
(8,17),-3.96754 # DEPENDENCYPART_ARC
(8,18),-1.5712 # DEPENDENCYPART_ARC
(8,19),-4.19143 # DEPENDENCYPART_ARC
(8,20),-1.06749 # DEPENDENCYPART_ARC
(8,21),-3.34451 # DEPENDENCYPART_ARC
(8,22),-2.95637 # DEPENDENCYPART_ARC
(8,23),-6.73382 # DEPENDENCYPART_ARC
(9,1),1.36711 # DEPENDENCYPART_ARC
(9,2),1.1596 # DEPENDENCYPART_ARC
(9,3),2.0367 # DEPENDENCYPART_ARC
(9,4),0.343703 # DEPENDENCYPART_ARC
(9,5),0.715485 # DEPENDENCYPART_ARC
(9,6),1.3978 # DEPENDENCYPART_ARC
(9,7),1.39781 # DEPENDENCYPART_ARC
(9,8),2.3596 # DEPENDENCYPART_ARC
(9,10),2.122 # DEPENDENCYPART_ARC
(9,11),0.253194 # DEPENDENCYPART_ARC
(9,12),0.61264 # DEPENDENCYPART_ARC
(9,13),1.10528 # DEPENDENCYPART_ARC
(9,14),0.980324 # DEPENDENCYPART_ARC
(9,15),1.06212 # DEPENDENCYPART_ARC
(9,16),-0.0378173 # DEPENDENCYPART_ARC
(9,17),-0.266408 # DEPENDENCYPART_ARC
(9,18),-0.307183 # DEPENDENCYPART_ARC
(9,19),-0.0395359 # DEPENDENCYPART_ARC
(9,20),-0.0257108 # DEPENDENCYPART_ARC
(9,21),-1.066 # DEPENDENCYPART_ARC
(9,22),-0.301412 # DEPENDENCYPART_ARC
(9,23),-1.36825 # DEPENDENCYPART_ARC
(10,1),-2.54605 # DEPENDENCYPART_ARC
(10,2),-2.94934 # DEPENDENCYPART_ARC
(10,3),-2.43135 # DEPENDENCYPART_ARC
(10,4),-2.24378 # DEPENDENCYPART_ARC
(10,5),-1.85472 # DEPENDENCYPART_ARC
(10,6),-1.84609 # DEPENDENCYPART_ARC
(10,7),-1.63012 # DEPENDENCYPART_ARC
(10,8),-1.51373 # DEPENDENCYPART_ARC
(10,9),-0.554261 # DEPENDENCYPART_ARC
(10,11),-0.376009 # DEPENDENCYPART_ARC
(10,12),-0.936817 # DEPENDENCYPART_ARC
(10,13),-1.50993 # DEPENDENCYPART_ARC
(10,14),-1.28354 # DEPENDENCYPART_ARC
(10,15),-1.77494 # DEPENDENCYPART_ARC
(10,16),-1.81137 # DEPENDENCYPART_ARC
(10,17),-2.7475 # DEPENDENCYPART_ARC
(10,18),-1.87858 # DEPENDENCYPART_ARC
(10,19),-2.12683 # DEPENDENCYPART_ARC
(10,20),-2.18362 # DEPENDENCYPART_ARC
(10,21),-2.29306 # DEPENDENCYPART_ARC
(10,22),-3.3235 # DEPENDENCYPART_ARC
(10,23),-3.41148 # DEPENDENCYPART_ARC
(11,1),-0.10784 # DEPENDENCYPART_ARC
(11,2),-0.874047 # DEPENDENCYPART_ARC
(11,3),1.27121 # DEPENDENCYPART_ARC
(11,4),-0.59794 # DEPENDENCYPART_ARC
(11,5),0.0223424 # DEPENDENCYPART_ARC
(11,6),0.131485 # DEPENDENCYPART_ARC
(11,7),1.12582 # DEPENDENCYPART_ARC
(11,8),0.830351 # DEPENDENCYPART_ARC
(11,9),0.240808 # DEPENDENCYPART_ARC
(11,10),1.04009 # DEPENDENCYPART_ARC
(11,12),1.28952 # DEPENDENCYPART_ARC
(11,13),0.420887 # DEPENDENCYPART_ARC
(11,14),0.78291 # DEPENDENCYPART_ARC
(11,15),-0.306223 # DEPENDENCYPART_ARC
(11,16),0.545698 # DEPENDENCYPART_ARC
(11,17),-0.586547 # DEPENDENCYPART_ARC
(11,18),0.482243 # DEPENDENCYPART_ARC
(11,19),-0.659319 # DEPENDENCYPART_ARC
(11,20),-0.638589 # DEPENDENCYPART_ARC
(11,21),-0.498409 # DEPENDENCYPART_ARC
(11,22),-1.00129 # DEPENDENCYPART_ARC
(11,23),-0.481036 # DEPENDENCYPART_ARC
(12,1),-2.03332 # DEPENDENCYPART_ARC
(12,2),-2.88045 # DEPENDENCYPART_ARC
(12,3),-3.02827 # DEPENDENCYPART_ARC
(12,4),-2.39828 # DEPENDENCYPART_ARC
(12,5),-1.25997 # DEPENDENCYPART_ARC
(12,6),-2.27369 # DEPENDENCYPART_ARC
(12,7),-1.22906 # DEPENDENCYPART_ARC
(12,8),-1.14761 # DEPENDENCYPART_ARC
(12,9),-1.37789 # DEPENDENCYPART_ARC
(12,10),-0.77681 # DEPENDENCYPART_ARC
(12,11),0.607001 # DEPENDENCYPART_ARC
(12,13),1.42001 # DEPENDENCYPART_ARC
(12,14),-2.54416 # DEPENDENCYPART_ARC
(12,15),-3.28638 # DEPENDENCYPART_ARC
(12,16),-2.70185 # DEPENDENCYPART_ARC
(12,17),-1.65488 # DEPENDENCYPART_ARC
(12,18),-1.15625 # DEPENDENCYPART_ARC
(12,19),-4.09085 # DEPENDENCYPART_ARC
(12,20),-3.03198 # DEPENDENCYPART_ARC
(12,21),-4.6477 # DEPENDENCYPART_ARC
(12,22),-7.14418 # DEPENDENCYPART_ARC
(12,23),-2.17905 # DEPENDENCYPART_ARC
(13,1),-2.22922 # DEPENDENCYPART_ARC
(13,2),-4.68488 # DEPENDENCYPART_ARC
(13,3),-4.43395 # DEPENDENCYPART_ARC
(13,4),-1.6154 # DEPENDENCYPART_ARC
(13,5),-0.2029 # DEPENDENCYPART_ARC
(13,6),-0.894777 # DEPENDENCYPART_ARC
(13,7),0.206774 # DEPENDENCYPART_ARC
(13,8),-3.17887 # DEPENDENCYPART_ARC
(13,9),-0.29576 # DEPENDENCYPART_ARC
(13,10),0.485525 # DEPENDENCYPART_ARC
(13,11),0.68116 # DEPENDENCYPART_ARC
(13,12),3.41829 # DEPENDENCYPART_ARC
(13,14),-0.213657 # DEPENDENCYPART_ARC
(13,15),2.97718 # DEPENDENCYPART_ARC
(13,16),1.0879 # DEPENDENCYPART_ARC
(13,17),-0.378144 # DEPENDENCYPART_ARC
(13,18),0.486849 # DEPENDENCYPART_ARC
(13,19),-2.15556 # DEPENDENCYPART_ARC
(13,20),0.367945 # DEPENDENCYPART_ARC
(13,21),-4.17116 # DEPENDENCYPART_ARC
(13,22),0.126293 # DEPENDENCYPART_ARC
(13,23),-3.18019 # DEPENDENCYPART_ARC
(14,1),-2.99161 # DEPENDENCYPART_ARC
(14,2),-3.63697 # DEPENDENCYPART_ARC
(14,3),-4.76649 # DEPENDENCYPART_ARC
(14,4),-1.38276 # DEPENDENCYPART_ARC
(14,5),-1.45926 # DEPENDENCYPART_ARC
(14,6),-1.11527 # DEPENDENCYPART_ARC
(14,7),-1.14713 # DEPENDENCYPART_ARC
(14,8),-4.11274 # DEPENDENCYPART_ARC
(14,9),-0.881935 # DEPENDENCYPART_ARC
(14,10),-0.959982 # DEPENDENCYPART_ARC
(14,11),-0.297968 # DEPENDENCYPART_ARC
(14,12),0.301448 # DEPENDENCYPART_ARC
(14,13),-1.43028 # DEPENDENCYPART_ARC
(14,15),1.39973 # DEPENDENCYPART_ARC
(14,16),0.629054 # DEPENDENCYPART_ARC
(14,17),-1.23992 # DEPENDENCYPART_ARC
(14,18),-0.302526 # DEPENDENCYPART_ARC
(14,19),-3.07406 # DEPENDENCYPART_ARC
(14,20),-0.194155 # DEPENDENCYPART_ARC
(14,21),-4.0441 # DEPENDENCYPART_ARC
(14,22),-2.8693 # DEPENDENCYPART_ARC
(14,23),-1.48886 # DEPENDENCYPART_ARC
(15,1),-2.26259 # DEPENDENCYPART_ARC
(15,2),-6.03585 # DEPENDENCYPART_ARC
(15,3),-4.23803 # DEPENDENCYPART_ARC
(15,4),-2.36349 # DEPENDENCYPART_ARC
(15,5),-1.35407 # DEPENDENCYPART_ARC
(15,6),-1.87387 # DEPENDENCYPART_ARC
(15,7),-2.47392 # DEPENDENCYPART_ARC
(15,8),-6.53905 # DEPENDENCYPART_ARC
(15,9),-1.25662 # DEPENDENCYPART_ARC
(15,10),-0.705223 # DEPENDENCYPART_ARC
(15,11),-0.839928 # DEPENDENCYPART_ARC
(15,12),-0.548962 # DEPENDENCYPART_ARC
(15,13),-1.85552 # DEPENDENCYPART_ARC
(15,14),5.25131 # DEPENDENCYPART_ARC
(15,16),2.77112 # DEPENDENCYPART_ARC
(15,17),-0.598946 # DEPENDENCYPART_ARC
(15,18),-0.152831 # DEPENDENCYPART_ARC
(15,19),0.129582 # DEPENDENCYPART_ARC
(15,20),0.506864 # DEPENDENCYPART_ARC
(15,21),-1.16891 # DEPENDENCYPART_ARC
(15,22),-0.843377 # DEPENDENCYPART_ARC
(15,23),-2.50119 # DEPENDENCYPART_ARC
(16,1),-2.30408 # DEPENDENCYPART_ARC
(16,2),-3.97261 # DEPENDENCYPART_ARC
(16,3),-3.69698 # DEPENDENCYPART_ARC
(16,4),-3.03813 # DEPENDENCYPART_ARC
(16,5),-2.18409 # DEPENDENCYPART_ARC
(16,6),-2.86685 # DEPENDENCYPART_ARC
(16,7),-3.1627 # DEPENDENCYPART_ARC
(16,8),-2.08692 # DEPENDENCYPART_ARC
(16,9),-2.26323 # DEPENDENCYPART_ARC
(16,10),-2.1828 # DEPENDENCYPART_ARC
(16,11),-1.21804 # DEPENDENCYPART_ARC
(16,12),-1.78293 # DEPENDENCYPART_ARC
(16,13),-0.662958 # DEPENDENCYPART_ARC
(16,14),-1.34919 # DEPENDENCYPART_ARC
(16,15),-1.97663 # DEPENDENCYPART_ARC
(16,17),4.03099 # DEPENDENCYPART_ARC
(16,18),0.237244 # DEPENDENCYPART_ARC
(16,19),-2.28736 # DEPENDENCYPART_ARC
(16,20),-1.42564 # DEPENDENCYPART_ARC
(16,21),-3.33924 # DEPENDENCYPART_ARC
(16,22),-3.30979 # DEPENDENCYPART_ARC
(16,23),-0.996018 # DEPENDENCYPART_ARC
(17,1),-4.6075 # DEPENDENCYPART_ARC
(17,2),-7.0241 # DEPENDENCYPART_ARC
(17,3),-6.08637 # DEPENDENCYPART_ARC
(17,4),-3.80629 # DEPENDENCYPART_ARC
(17,5),-2.32358 # DEPENDENCYPART_ARC
(17,6),-2.69231 # DEPENDENCYPART_ARC
(17,7),-2.54323 # DEPENDENCYPART_ARC
(17,8),-5.71799 # DEPENDENCYPART_ARC
(17,9),-2.42001 # DEPENDENCYPART_ARC
(17,10),-1.87775 # DEPENDENCYPART_ARC
(17,11),-1.81911 # DEPENDENCYPART_ARC
(17,12),-0.850842 # DEPENDENCYPART_ARC
(17,13),-1.08751 # DEPENDENCYPART_ARC
(17,14),-2.13546 # DEPENDENCYPART_ARC
(17,15),-2.77106 # DEPENDENCYPART_ARC
(17,16),-0.0915833 # DEPENDENCYPART_ARC
(17,18),-0.133325 # DEPENDENCYPART_ARC
(17,19),-0.461157 # DEPENDENCYPART_ARC
(17,20),0.863903 # DEPENDENCYPART_ARC
(17,21),-3.03343 # DEPENDENCYPART_ARC
(17,22),0.706064 # DEPENDENCYPART_ARC
(17,23),-1.55278 # DEPENDENCYPART_ARC
(18,1),-1.37115 # DEPENDENCYPART_ARC
(18,2),-1.50577 # DEPENDENCYPART_ARC
(18,3),0.0714853 # DEPENDENCYPART_ARC
(18,4),-1.4894 # DEPENDENCYPART_ARC
(18,5),-1.2377 # DEPENDENCYPART_ARC
(18,6),-0.609707 # DEPENDENCYPART_ARC
(18,7),0.236161 # DEPENDENCYPART_ARC
(18,8),0.564652 # DEPENDENCYPART_ARC
(18,9),-0.47938 # DEPENDENCYPART_ARC
(18,10),-0.460017 # DEPENDENCYPART_ARC
(18,11),-0.0151594 # DEPENDENCYPART_ARC
(18,12),-0.0593397 # DEPENDENCYPART_ARC
(18,13),0.408407 # DEPENDENCYPART_ARC
(18,14),0.356874 # DEPENDENCYPART_ARC
(18,15),0.662028 # DEPENDENCYPART_ARC
(18,16),-0.172799 # DEPENDENCYPART_ARC
(18,17),1.7542 # DEPENDENCYPART_ARC
(18,19),0.143719 # DEPENDENCYPART_ARC
(18,20),0.734308 # DEPENDENCYPART_ARC
(18,21),0.176017 # DEPENDENCYPART_ARC
(18,22),1.28706 # DEPENDENCYPART_ARC
(18,23),0.107534 # DEPENDENCYPART_ARC
(19,1),-2.09267 # DEPENDENCYPART_ARC
(19,2),-3.38224 # DEPENDENCYPART_ARC
(19,3),-4.23124 # DEPENDENCYPART_ARC
(19,4),-1.98013 # DEPENDENCYPART_ARC
(19,5),-1.13513 # DEPENDENCYPART_ARC
(19,6),-1.76726 # DEPENDENCYPART_ARC
(19,7),-1.66514 # DEPENDENCYPART_ARC
(19,8),-4.82801 # DEPENDENCYPART_ARC
(19,9),-1.0168 # DEPENDENCYPART_ARC
(19,10),-1.76657 # DEPENDENCYPART_ARC
(19,11),-0.597282 # DEPENDENCYPART_ARC
(19,12),-0.983235 # DEPENDENCYPART_ARC
(19,13),-3.50742 # DEPENDENCYPART_ARC
(19,14),-2.61571 # DEPENDENCYPART_ARC
(19,15),-3.07266 # DEPENDENCYPART_ARC
(19,16),0.0999211 # DEPENDENCYPART_ARC
(19,17),-2.64741 # DEPENDENCYPART_ARC
(19,18),2.23361 # DEPENDENCYPART_ARC
(19,20),2.36294 # DEPENDENCYPART_ARC
(19,21),-1.29561 # DEPENDENCYPART_ARC
(19,22),0.015712 # DEPENDENCYPART_ARC
(19,23),0.896874 # DEPENDENCYPART_ARC
(20,1),-2.84738 # DEPENDENCYPART_ARC
(20,2),-3.57554 # DEPENDENCYPART_ARC
(20,3),-3.7875 # DEPENDENCYPART_ARC
(20,4),-2.96196 # DEPENDENCYPART_ARC
(20,5),-2.1449 # DEPENDENCYPART_ARC
(20,6),-2.85586 # DEPENDENCYPART_ARC
(20,7),-4.15539 # DEPENDENCYPART_ARC
(20,8),-2.99101 # DEPENDENCYPART_ARC
(20,9),-2.11133 # DEPENDENCYPART_ARC
(20,10),-2.24625 # DEPENDENCYPART_ARC
(20,11),-1.73883 # DEPENDENCYPART_ARC
(20,12),-3.36209 # DEPENDENCYPART_ARC
(20,13),-1.48465 # DEPENDENCYPART_ARC
(20,14),-2.86856 # DEPENDENCYPART_ARC
(20,15),-2.74505 # DEPENDENCYPART_ARC
(20,16),-2.1451 # DEPENDENCYPART_ARC
(20,17),-0.935997 # DEPENDENCYPART_ARC
(20,18),-0.0802906 # DEPENDENCYPART_ARC
(20,19),-0.611379 # DEPENDENCYPART_ARC
(20,21),0.558168 # DEPENDENCYPART_ARC
(20,22),3.92816 # DEPENDENCYPART_ARC
(20,23),-0.375462 # DEPENDENCYPART_ARC
(21,1),-3.98095 # DEPENDENCYPART_ARC
(21,2),-4.67566 # DEPENDENCYPART_ARC
(21,3),-4.20619 # DEPENDENCYPART_ARC
(21,4),-2.81851 # DEPENDENCYPART_ARC
(21,5),-2.67003 # DEPENDENCYPART_ARC
(21,6),-3.16405 # DEPENDENCYPART_ARC
(21,7),-2.81635 # DEPENDENCYPART_ARC
(21,8),-5.54789 # DEPENDENCYPART_ARC
(21,9),-2.35214 # DEPENDENCYPART_ARC
(21,10),-3.0925 # DEPENDENCYPART_ARC
(21,11),-2.11194 # DEPENDENCYPART_ARC
(21,12),-2.33619 # DEPENDENCYPART_ARC
(21,13),-4.27411 # DEPENDENCYPART_ARC
(21,14),-4.01804 # DEPENDENCYPART_ARC
(21,15),-3.92493 # DEPENDENCYPART_ARC
(21,16),-1.52248 # DEPENDENCYPART_ARC
(21,17),-3.91789 # DEPENDENCYPART_ARC
(21,18),-0.933213 # DEPENDENCYPART_ARC
(21,19),-2.56381 # DEPENDENCYPART_ARC
(21,20),-0.0132731 # DEPENDENCYPART_ARC
(21,22),-0.557073 # DEPENDENCYPART_ARC
(21,23),-0.486827 # DEPENDENCYPART_ARC
(22,1),-4.7225 # DEPENDENCYPART_ARC
(22,2),-7.73471 # DEPENDENCYPART_ARC
(22,3),-3.3445 # DEPENDENCYPART_ARC
(22,4),-3.58097 # DEPENDENCYPART_ARC
(22,5),-2.51157 # DEPENDENCYPART_ARC
(22,6),-2.82239 # DEPENDENCYPART_ARC
(22,7),-3.49888 # DEPENDENCYPART_ARC
(22,8),-7.06262 # DEPENDENCYPART_ARC
(22,9),-2.5658 # DEPENDENCYPART_ARC
(22,10),-2.36415 # DEPENDENCYPART_ARC
(22,11),-2.00953 # DEPENDENCYPART_ARC
(22,12),-1.8584 # DEPENDENCYPART_ARC
(22,13),-4.6645 # DEPENDENCYPART_ARC
(22,14),0.0571469 # DEPENDENCYPART_ARC
(22,15),-3.27711 # DEPENDENCYPART_ARC
(22,16),-1.84651 # DEPENDENCYPART_ARC
(22,17),-5.13276 # DEPENDENCYPART_ARC
(22,18),-0.510903 # DEPENDENCYPART_ARC
(22,19),-2.17279 # DEPENDENCYPART_ARC
(22,20),-0.260191 # DEPENDENCYPART_ARC
(22,21),5.15595 # DEPENDENCYPART_ARC
(22,23),0.387047 # DEPENDENCYPART_ARC
(23,1),-4.92011 # DEPENDENCYPART_ARC
