# _root_ Do oblasti Plitvických jezer , kde působí náš prapor jako součást ochranných sil OSN , se začnou přesunovat autobusy 10 . října .
#goldHeads=17,1,4,2,7,7,2,9,7,11,9,13,11,13,7,18,0,17,17,22,20,17,0,
#predictedHeads=7,1,4,2,7,7,0,9,7,11,9,13,11,13,17,18,13,17,18,22,20,19,0,
(9,17),-2.20879 # DEPENDENCYPART_ARC
(9,18),-1.53746 # DEPENDENCYPART_ARC
(9,19),-4.60487 # DEPENDENCYPART_ARC
(9,20),-2.65666 # DEPENDENCYPART_ARC
(9,21),-4.15584 # DEPENDENCYPART_ARC
(9,22),-2.70526 # DEPENDENCYPART_ARC
(9,23),-5.99926 # DEPENDENCYPART_ARC
(10,1),-2.89832 # DEPENDENCYPART_ARC
(10,2),-2.26173 # DEPENDENCYPART_ARC
(10,3),-2.27453 # DEPENDENCYPART_ARC
(10,4),-1.80457 # DEPENDENCYPART_ARC
(10,5),-1.20434 # DEPENDENCYPART_ARC
(10,6),-1.32009 # DEPENDENCYPART_ARC
(10,7),-1.7764 # DEPENDENCYPART_ARC
(10,9),1.08698 # DEPENDENCYPART_ARC
(10,11),2.28542 # DEPENDENCYPART_ARC
(10,12),-0.481159 # DEPENDENCYPART_ARC
(10,13),0.268813 # DEPENDENCYPART_ARC
(10,14),0.144397 # DEPENDENCYPART_ARC
(10,15),-0.261509 # DEPENDENCYPART_ARC
(10,17),-1.75423 # DEPENDENCYPART_ARC
(10,18),-1.8505 # DEPENDENCYPART_ARC
(10,19),-2.34499 # DEPENDENCYPART_ARC
(10,20),-1.51842 # DEPENDENCYPART_ARC
(10,21),-1.32024 # DEPENDENCYPART_ARC
(10,22),-2.16928 # DEPENDENCYPART_ARC
(10,23),-2.0505 # DEPENDENCYPART_ARC
(11,1),-1.6754 # DEPENDENCYPART_ARC
(11,2),-4.85486 # DEPENDENCYPART_ARC
(11,3),-6.12344 # DEPENDENCYPART_ARC
(11,4),-7.8528 # DEPENDENCYPART_ARC
(11,5),-0.69094 # DEPENDENCYPART_ARC
(11,6),-1.11347 # DEPENDENCYPART_ARC
(11,7),-2.06495 # DEPENDENCYPART_ARC
(11,8),0.817653 # DEPENDENCYPART_ARC
(11,9),-1.66671 # DEPENDENCYPART_ARC
(11,10),2.30637 # DEPENDENCYPART_ARC
(11,12),-0.132511 # DEPENDENCYPART_ARC
(11,13),2.28051 # DEPENDENCYPART_ARC
(11,14),0.636089 # DEPENDENCYPART_ARC
(11,15),-0.727851 # DEPENDENCYPART_ARC
(11,16),-2.4228 # DEPENDENCYPART_ARC
(11,17),-0.981054 # DEPENDENCYPART_ARC
(11,18),-0.481943 # DEPENDENCYPART_ARC
(11,19),-4.49312 # DEPENDENCYPART_ARC
(11,20),-1.95666 # DEPENDENCYPART_ARC
(11,21),-3.15625 # DEPENDENCYPART_ARC
(11,22),-2.50691 # DEPENDENCYPART_ARC
(11,23),-5.20603 # DEPENDENCYPART_ARC
(12,1),-1.91815 # DEPENDENCYPART_ARC
(12,2),-3.26514 # DEPENDENCYPART_ARC
(12,3),-5.1043 # DEPENDENCYPART_ARC
(12,4),-4.60529 # DEPENDENCYPART_ARC
(12,5),-1.67995 # DEPENDENCYPART_ARC
(12,6),-2.00821 # DEPENDENCYPART_ARC
(12,7),-3.35753 # DEPENDENCYPART_ARC
(12,8),-2.89265 # DEPENDENCYPART_ARC
(12,9),-2.974 # DEPENDENCYPART_ARC
(12,10),-0.038235 # DEPENDENCYPART_ARC
(12,11),-1.15364 # DEPENDENCYPART_ARC
(12,13),0.657643 # DEPENDENCYPART_ARC
(12,14),-0.366017 # DEPENDENCYPART_ARC
(12,15),-0.619859 # DEPENDENCYPART_ARC
(12,16),-1.64347 # DEPENDENCYPART_ARC
(12,17),-2.5063 # DEPENDENCYPART_ARC
(12,18),-1.08812 # DEPENDENCYPART_ARC
(12,19),-2.16686 # DEPENDENCYPART_ARC
(12,20),-1.4534 # DEPENDENCYPART_ARC
(12,21),-1.52162 # DEPENDENCYPART_ARC
(12,22),-4.28905 # DEPENDENCYPART_ARC
(12,23),-2.80111 # DEPENDENCYPART_ARC
(13,1),-2.21301 # DEPENDENCYPART_ARC
(13,2),-4.13861 # DEPENDENCYPART_ARC
(13,3),-2.16601 # DEPENDENCYPART_ARC
(13,4),-5.6294 # DEPENDENCYPART_ARC
(13,5),-1.01857 # DEPENDENCYPART_ARC
(13,6),-2.13763 # DEPENDENCYPART_ARC
(13,7),-2.89058 # DEPENDENCYPART_ARC
(13,8),-3.63432 # DEPENDENCYPART_ARC
(13,9),-5.21249 # DEPENDENCYPART_ARC
(13,10),-0.200225 # DEPENDENCYPART_ARC
(13,11),-2.32559 # DEPENDENCYPART_ARC
(13,12),4.14775 # DEPENDENCYPART_ARC
(13,14),2.8819 # DEPENDENCYPART_ARC
(13,15),-0.395297 # DEPENDENCYPART_ARC
(13,16),-2.68144 # DEPENDENCYPART_ARC
(13,17),0.88363 # DEPENDENCYPART_ARC
(13,18),-0.301325 # DEPENDENCYPART_ARC
(13,19),-5.3941 # DEPENDENCYPART_ARC
(13,20),-1.45922 # DEPENDENCYPART_ARC
(13,21),-1.593 # DEPENDENCYPART_ARC
(13,22),-2.3919 # DEPENDENCYPART_ARC
(13,23),-3.68718 # DEPENDENCYPART_ARC
(14,1),-3.23393 # DEPENDENCYPART_ARC
(14,2),-5.52033 # DEPENDENCYPART_ARC
(14,3),-3.92828 # DEPENDENCYPART_ARC
(14,4),-8.56961 # DEPENDENCYPART_ARC
(14,5),-1.16272 # DEPENDENCYPART_ARC
(14,6),-2.33174 # DEPENDENCYPART_ARC
(14,7),-2.72502 # DEPENDENCYPART_ARC
(14,8),-2.87518 # DEPENDENCYPART_ARC
(14,9),-4.4222 # DEPENDENCYPART_ARC
(14,10),-0.050785 # DEPENDENCYPART_ARC
(14,11),-2.40351 # DEPENDENCYPART_ARC
(14,12),0.921248 # DEPENDENCYPART_ARC
(14,13),-2.71899 # DEPENDENCYPART_ARC
(14,15),-0.572096 # DEPENDENCYPART_ARC
(14,16),-2.90761 # DEPENDENCYPART_ARC
(14,17),-1.1992 # DEPENDENCYPART_ARC
(14,18),-0.285996 # DEPENDENCYPART_ARC
(14,19),-5.05373 # DEPENDENCYPART_ARC
(14,20),-0.807328 # DEPENDENCYPART_ARC
(14,21),-0.727595 # DEPENDENCYPART_ARC
(14,22),-3.64635 # DEPENDENCYPART_ARC
(14,23),-3.15295 # DEPENDENCYPART_ARC
(15,1),-2.23355 # DEPENDENCYPART_ARC
(15,2),-1.08664 # DEPENDENCYPART_ARC
(15,3),-1.92697 # DEPENDENCYPART_ARC
(15,4),-1.30838 # DEPENDENCYPART_ARC
(15,5),-0.1299 # DEPENDENCYPART_ARC
(15,6),-1.23921 # DEPENDENCYPART_ARC
(15,7),0.13655 # DEPENDENCYPART_ARC
(15,8),-0.922625 # DEPENDENCYPART_ARC
(15,9),-0.329533 # DEPENDENCYPART_ARC
(15,10),-0.435772 # DEPENDENCYPART_ARC
(15,11),-0.114396 # DEPENDENCYPART_ARC
(15,12),-0.303472 # DEPENDENCYPART_ARC
(15,13),-0.0880854 # DEPENDENCYPART_ARC
(15,14),-0.0881063 # DEPENDENCYPART_ARC
(15,16),0.441872 # DEPENDENCYPART_ARC
(15,17),0.784945 # DEPENDENCYPART_ARC
(15,18),0.115196 # DEPENDENCYPART_ARC
(15,19),-1.68558 # DEPENDENCYPART_ARC
(15,20),-1.52257 # DEPENDENCYPART_ARC
(15,21),-0.563209 # DEPENDENCYPART_ARC
(15,22),-1.70728 # DEPENDENCYPART_ARC
(15,23),-0.806996 # DEPENDENCYPART_ARC
(17,1),-2.03688 # DEPENDENCYPART_ARC
(17,2),-4.85661 # DEPENDENCYPART_ARC
(17,3),-7.2657 # DEPENDENCYPART_ARC
(17,4),-4.86011 # DEPENDENCYPART_ARC
(17,5),-0.584025 # DEPENDENCYPART_ARC
(17,6),0.684782 # DEPENDENCYPART_ARC
(17,7),-3.03907 # DEPENDENCYPART_ARC
(17,8),-4.84401 # DEPENDENCYPART_ARC
(17,9),-1.11164 # DEPENDENCYPART_ARC
(17,10),-0.235381 # DEPENDENCYPART_ARC
(17,11),-0.194679 # DEPENDENCYPART_ARC
(17,12),-4.89855 # DEPENDENCYPART_ARC
(17,13),-1.93328 # DEPENDENCYPART_ARC
(17,14),-3.18564 # DEPENDENCYPART_ARC
(17,15),1.79198 # DEPENDENCYPART_ARC
(17,16),3.40006 # DEPENDENCYPART_ARC
(17,18),3.59657 # DEPENDENCYPART_ARC
(17,19),2.30646 # DEPENDENCYPART_ARC
(17,20),0.387394 # DEPENDENCYPART_ARC
(17,21),-0.0654754 # DEPENDENCYPART_ARC
(17,22),-1.33237 # DEPENDENCYPART_ARC
(17,23),-0.00862193 # DEPENDENCYPART_ARC
(18,1),-1.73694 # DEPENDENCYPART_ARC
(18,2),-3.38195 # DEPENDENCYPART_ARC
(18,3),-4.82016 # DEPENDENCYPART_ARC
(18,4),-3.75069 # DEPENDENCYPART_ARC
(18,5),-0.765868 # DEPENDENCYPART_ARC
(18,6),-0.338869 # DEPENDENCYPART_ARC
(18,7),-4.16237 # DEPENDENCYPART_ARC
(18,9),-1.58673 # DEPENDENCYPART_ARC
(18,10),-0.816738 # DEPENDENCYPART_ARC
(18,11),-0.458547 # DEPENDENCYPART_ARC
(18,12),-2.84875 # DEPENDENCYPART_ARC
(18,13),-1.40316 # DEPENDENCYPART_ARC
(18,14),-2.19239 # DEPENDENCYPART_ARC
(18,15),0.944097 # DEPENDENCYPART_ARC
(18,16),3.57483 # DEPENDENCYPART_ARC
(18,17),0.133385 # DEPENDENCYPART_ARC
(18,19),3.72672 # DEPENDENCYPART_ARC
(18,20),0.447153 # DEPENDENCYPART_ARC
(18,21),-0.0559995 # DEPENDENCYPART_ARC
(18,22),-0.288206 # DEPENDENCYPART_ARC
(18,23),-0.727011 # DEPENDENCYPART_ARC
(19,1),-2.53613 # DEPENDENCYPART_ARC
(19,2),-7.44977 # DEPENDENCYPART_ARC
(19,3),-7.15747 # DEPENDENCYPART_ARC
(19,4),-7.39123 # DEPENDENCYPART_ARC
(19,5),-2.55634 # DEPENDENCYPART_ARC
(19,6),-3.82261 # DEPENDENCYPART_ARC
(19,7),-3.32629 # DEPENDENCYPART_ARC
(19,8),-4.54847 # DEPENDENCYPART_ARC
(19,9),-6.20545 # DEPENDENCYPART_ARC
(19,10),-2.85019 # DEPENDENCYPART_ARC
(19,11),-4.92129 # DEPENDENCYPART_ARC
(19,12),-5.63841 # DEPENDENCYPART_ARC
(19,13),-4.14309 # DEPENDENCYPART_ARC
(19,14),-3.84992 # DEPENDENCYPART_ARC
(19,15),-1.58658 # DEPENDENCYPART_ARC
(19,16),-3.45801 # DEPENDENCYPART_ARC
(19,17),-1.26714 # DEPENDENCYPART_ARC
(19,18),-0.247378 # DEPENDENCYPART_ARC
(19,20),1.22254 # DEPENDENCYPART_ARC
(19,21),1.07245 # DEPENDENCYPART_ARC
(19,22),1.17782 # DEPENDENCYPART_ARC
(19,23),-0.553053 # DEPENDENCYPART_ARC
(20,1),-2.05462 # DEPENDENCYPART_ARC
(20,2),-1.97419 # DEPENDENCYPART_ARC
(20,3),-2.19303 # DEPENDENCYPART_ARC
(20,4),-2.19752 # DEPENDENCYPART_ARC
(20,5),-3.08677 # DEPENDENCYPART_ARC
(20,6),-2.58872 # DEPENDENCYPART_ARC
(20,7),-2.62273 # DEPENDENCYPART_ARC
(20,8),-1.63013 # DEPENDENCYPART_ARC
(20,9),-1.94297 # DEPENDENCYPART_ARC
(20,10),-1.35465 # DEPENDENCYPART_ARC
(20,11),-1.29197 # DEPENDENCYPART_ARC
(20,12),-1.21302 # DEPENDENCYPART_ARC
(20,13),-1.45996 # DEPENDENCYPART_ARC
(20,14),-1.12011 # DEPENDENCYPART_ARC
(20,15),-0.871402 # DEPENDENCYPART_ARC
(20,17),-1.36733 # DEPENDENCYPART_ARC
(20,19),-0.22602 # DEPENDENCYPART_ARC
(20,21),2.72396 # DEPENDENCYPART_ARC
(20,22),0.0609027 # DEPENDENCYPART_ARC
(20,23),-0.415708 # DEPENDENCYPART_ARC
(21,1),-4.60891 # DEPENDENCYPART_ARC
(21,2),-4.04489 # DEPENDENCYPART_ARC
(21,3),-3.40756 # DEPENDENCYPART_ARC
(21,4),-3.88729 # DEPENDENCYPART_ARC
(21,5),-4.44302 # DEPENDENCYPART_ARC
(21,6),-2.91521 # DEPENDENCYPART_ARC
(21,7),-2.82994 # DEPENDENCYPART_ARC
(21,8),-2.31616 # DEPENDENCYPART_ARC
(21,9),-3.46156 # DEPENDENCYPART_ARC
(21,10),-2.07451 # DEPENDENCYPART_ARC
(21,11),-2.42093 # DEPENDENCYPART_ARC
(21,12),-2.21683 # DEPENDENCYPART_ARC
(21,13),-2.28975 # DEPENDENCYPART_ARC
(21,14),-1.66584 # DEPENDENCYPART_ARC
(21,15),-2.14986 # DEPENDENCYPART_ARC
(21,16),-1.39405 # DEPENDENCYPART_ARC
(21,17),-2.23531 # DEPENDENCYPART_ARC
(21,18),-1.87345 # DEPENDENCYPART_ARC
(21,19),-0.344508 # DEPENDENCYPART_ARC
(21,20),-1.38294 # DEPENDENCYPART_ARC
(21,22),-0.76905 # DEPENDENCYPART_ARC
(21,23),-0.949117 # DEPENDENCYPART_ARC
(22,1),-2.22697 # DEPENDENCYPART_ARC
(22,2),-4.33916 # DEPENDENCYPART_ARC
(22,3),-5.1299 # DEPENDENCYPART_ARC
(22,4),-6.49939 # DEPENDENCYPART_ARC
(22,5),-1.73963 # DEPENDENCYPART_ARC
(22,6),-3.07671 # DEPENDENCYPART_ARC
(22,7),-2.28421 # DEPENDENCYPART_ARC
(22,8),-2.59714 # DEPENDENCYPART_ARC
(22,9),-5.27564 # DEPENDENCYPART_ARC
(22,10),-1.95851 # DEPENDENCYPART_ARC
(22,11),-3.48467 # DEPENDENCYPART_ARC
(22,12),-3.14755 # DEPENDENCYPART_ARC
(22,13),-2.71226 # DEPENDENCYPART_ARC
(22,14),-2.15888 # DEPENDENCYPART_ARC
(22,15),-0.881752 # DEPENDENCYPART_ARC
(22,16),-2.51073 # DEPENDENCYPART_ARC
(22,17),-1.17273 # DEPENDENCYPART_ARC
(22,18),0.0337334 # DEPENDENCYPART_ARC
(22,19),-2.58961 # DEPENDENCYPART_ARC
(22,20),2.80165 # DEPENDENCYPART_ARC
(22,21),1.11822 # DEPENDENCYPART_ARC
(22,23),0.668051 # DEPENDENCYPART_ARC
(23,1),-6.62174 # DEPENDENCYPART_ARC
(23,2),-6.50971 # DEPENDENCYPART_ARC
(23,3),-5.09332 # DEPENDENCYPART_ARC
(23,4),-6.20453 # DEPENDENCYPART_ARC
(23,5),-5.25302 # DEPENDENCYPART_ARC
(23,6),-4.4846 # DEPENDENCYPART_ARC
(23,7),-4.52545 # DEPENDENCYPART_ARC
(23,8),-4.14203 # DEPENDENCYPART_ARC
(23,9),-5.3682 # DEPENDENCYPART_ARC
(23,10),-4.09896 # DEPENDENCYPART_ARC
(23,11),-5.04405 # DEPENDENCYPART_ARC
(23,12),-4.01929 # DEPENDENCYPART_ARC
(23,13),-4.30157 # DEPENDENCYPART_ARC
(23,14),-4.06234 # DEPENDENCYPART_ARC
(23,15),-3.03032 # DEPENDENCYPART_ARC
(23,16),-3.37776 # DEPENDENCYPART_ARC
(23,17),-3.62776 # DEPENDENCYPART_ARC
(23,18),-3.67319 # DEPENDENCYPART_ARC
(23,19),-2.67797 # DEPENDENCYPART_ARC
(23,20),-3.19724 # DEPENDENCYPART_ARC
(23,21),-2.03929 # DEPENDENCYPART_ARC
(23,22),-2.38889 # DEPENDENCYPART_ARC
