# _root_ Na setkání vedoucích pracovníků firem , které se na jeho výstavbě podílejí , se členy městské rady to uvedl ředitel společnosti Inženýring dopravních staveb Bohumil Kvasnička .
#goldHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,2,14,17,15,19,0,26,20,21,24,22,26,19,0,
#predictedHeads=19,1,4,2,4,12,12,12,12,11,9,5,19,19,14,17,15,19,0,26,20,21,24,22,26,19,0,
(11,12),-1.564 # DEPENDENCYPART_ARC
(11,13),-1.42866 # DEPENDENCYPART_ARC
(11,14),-0.907161 # DEPENDENCYPART_ARC
(11,15),-4.54479 # DEPENDENCYPART_ARC
(11,16),-1.62687 # DEPENDENCYPART_ARC
(11,17),-1.47906 # DEPENDENCYPART_ARC
(11,18),-3.72615 # DEPENDENCYPART_ARC
(11,19),-2.63997 # DEPENDENCYPART_ARC
(11,20),-6.01357 # DEPENDENCYPART_ARC
(11,21),-3.04782 # DEPENDENCYPART_ARC
(11,22),-4.82724 # DEPENDENCYPART_ARC
(11,23),-3.73725 # DEPENDENCYPART_ARC
(11,24),-3.74377 # DEPENDENCYPART_ARC
(11,25),-6.44117 # DEPENDENCYPART_ARC
(11,26),-6.12327 # DEPENDENCYPART_ARC
(11,27),-8.5236 # DEPENDENCYPART_ARC
(12,1),1.86363 # DEPENDENCYPART_ARC
(12,2),-1.67406 # DEPENDENCYPART_ARC
(12,3),-3.81858 # DEPENDENCYPART_ARC
(12,4),-1.60386 # DEPENDENCYPART_ARC
(12,5),-2.40055 # DEPENDENCYPART_ARC
(12,6),2.04043 # DEPENDENCYPART_ARC
(12,7),3.07311 # DEPENDENCYPART_ARC
(12,8),3.14395 # DEPENDENCYPART_ARC
(12,9),2.9811 # DEPENDENCYPART_ARC
(12,10),-0.294787 # DEPENDENCYPART_ARC
(12,11),2.09001 # DEPENDENCYPART_ARC
(12,13),0.854653 # DEPENDENCYPART_ARC
(12,14),0.91165 # DEPENDENCYPART_ARC
(12,15),0.335518 # DEPENDENCYPART_ARC
(12,16),-4.21354 # DEPENDENCYPART_ARC
(12,17),-1.46506 # DEPENDENCYPART_ARC
(12,18),-1.24835 # DEPENDENCYPART_ARC
(12,19),-1.66728 # DEPENDENCYPART_ARC
(12,20),-1.56855 # DEPENDENCYPART_ARC
(12,21),-2.34343 # DEPENDENCYPART_ARC
(12,22),-0.633105 # DEPENDENCYPART_ARC
(12,23),-5.24807 # DEPENDENCYPART_ARC
(12,24),-2.4913 # DEPENDENCYPART_ARC
(12,25),-1.53363 # DEPENDENCYPART_ARC
(12,26),-1.56093 # DEPENDENCYPART_ARC
(12,27),-1.63974 # DEPENDENCYPART_ARC
(13,1),0.683494 # DEPENDENCYPART_ARC
(13,2),-0.601781 # DEPENDENCYPART_ARC
(13,3),-1.00259 # DEPENDENCYPART_ARC
(13,4),-0.234826 # DEPENDENCYPART_ARC
(13,5),-0.58432 # DEPENDENCYPART_ARC
(13,6),0.573515 # DEPENDENCYPART_ARC
(13,7),0.0705247 # DEPENDENCYPART_ARC
(13,8),-0.285497 # DEPENDENCYPART_ARC
(13,9),0.727279 # DEPENDENCYPART_ARC
(13,10),0.844777 # DEPENDENCYPART_ARC
(13,11),0.00015661 # DEPENDENCYPART_ARC
(13,12),0.403766 # DEPENDENCYPART_ARC
(13,14),0.898219 # DEPENDENCYPART_ARC
(13,15),0.0516284 # DEPENDENCYPART_ARC
(13,16),0.267091 # DEPENDENCYPART_ARC
(13,17),-0.480933 # DEPENDENCYPART_ARC
(13,18),-0.159871 # DEPENDENCYPART_ARC
(13,19),0.113099 # DEPENDENCYPART_ARC
(13,20),-1.24754 # DEPENDENCYPART_ARC
(13,21),-1.7781 # DEPENDENCYPART_ARC
(13,22),-2.14491 # DEPENDENCYPART_ARC
(13,23),-1.13271 # DEPENDENCYPART_ARC
(13,24),-2.35913 # DEPENDENCYPART_ARC
(13,25),-2.47162 # DEPENDENCYPART_ARC
(13,26),-2.60422 # DEPENDENCYPART_ARC
(13,27),-1.54653 # DEPENDENCYPART_ARC
(14,1),-2.44528 # DEPENDENCYPART_ARC
(14,2),-1.21342 # DEPENDENCYPART_ARC
(14,4),-5.3473 # DEPENDENCYPART_ARC
(14,5),-4.61669 # DEPENDENCYPART_ARC
(14,6),-1.22643 # DEPENDENCYPART_ARC
(14,7),-3.14021 # DEPENDENCYPART_ARC
(14,9),-0.94228 # DEPENDENCYPART_ARC
(14,11),-0.671471 # DEPENDENCYPART_ARC
(14,13),0.725122 # DEPENDENCYPART_ARC
(14,15),3.40736 # DEPENDENCYPART_ARC
(14,16),-1.0116 # DEPENDENCYPART_ARC
(14,17),-1.6217 # DEPENDENCYPART_ARC
(14,18),-1.57049 # DEPENDENCYPART_ARC
(14,20),-5.0722 # DEPENDENCYPART_ARC
(14,21),-5.04259 # DEPENDENCYPART_ARC
(14,22),-6.48779 # DEPENDENCYPART_ARC
(14,23),-2.78111 # DEPENDENCYPART_ARC
(14,24),-6.55047 # DEPENDENCYPART_ARC
(14,25),-7.70574 # DEPENDENCYPART_ARC
(14,26),-7.71409 # DEPENDENCYPART_ARC
(14,27),-1.00793 # DEPENDENCYPART_ARC
(15,1),-1.8561 # DEPENDENCYPART_ARC
(15,2),-7.12069 # DEPENDENCYPART_ARC
(15,3),-5.03844 # DEPENDENCYPART_ARC
(15,4),-5.12912 # DEPENDENCYPART_ARC
(15,5),-9.20883 # DEPENDENCYPART_ARC
(15,6),-2.19251 # DEPENDENCYPART_ARC
(15,7),-5.03764 # DEPENDENCYPART_ARC
(15,8),-5.36624 # DEPENDENCYPART_ARC
(15,9),-1.30103 # DEPENDENCYPART_ARC
(15,10),1.13658 # DEPENDENCYPART_ARC
(15,11),-6.68293 # DEPENDENCYPART_ARC
(15,12),-1.75488 # DEPENDENCYPART_ARC
(15,13),-0.520342 # DEPENDENCYPART_ARC
(15,14),0.248309 # DEPENDENCYPART_ARC
(15,16),-1.26622 # DEPENDENCYPART_ARC
(15,17),3.41001 # DEPENDENCYPART_ARC
(15,18),-1.87093 # DEPENDENCYPART_ARC
(15,19),-0.14438 # DEPENDENCYPART_ARC
(15,20),-3.32673 # DEPENDENCYPART_ARC
(15,21),0.304961 # DEPENDENCYPART_ARC
(15,22),-2.85988 # DEPENDENCYPART_ARC
(15,23),-2.02596 # DEPENDENCYPART_ARC
(15,24),-0.795759 # DEPENDENCYPART_ARC
(15,25),-4.0429 # DEPENDENCYPART_ARC
(15,26),-3.83545 # DEPENDENCYPART_ARC
(15,27),-5.54618 # DEPENDENCYPART_ARC
(16,1),-2.21604 # DEPENDENCYPART_ARC
(16,2),-4.97544 # DEPENDENCYPART_ARC
(16,3),-5.38283 # DEPENDENCYPART_ARC
(16,4),-3.90531 # DEPENDENCYPART_ARC
(16,5),-3.92542 # DEPENDENCYPART_ARC
(16,6),-1.92526 # DEPENDENCYPART_ARC
(16,8),-1.57407 # DEPENDENCYPART_ARC
(16,9),-1.06384 # DEPENDENCYPART_ARC
(16,10),-1.48261 # DEPENDENCYPART_ARC
(16,11),-3.90469 # DEPENDENCYPART_ARC
(16,12),-5.15887 # DEPENDENCYPART_ARC
(16,13),-0.31446 # DEPENDENCYPART_ARC
(16,14),1.01813 # DEPENDENCYPART_ARC
(16,15),0.697576 # DEPENDENCYPART_ARC
(16,17),0.866072 # DEPENDENCYPART_ARC
(16,18),-2.58485 # DEPENDENCYPART_ARC
(16,19),-2.90779 # DEPENDENCYPART_ARC
(16,20),-3.16553 # DEPENDENCYPART_ARC
(16,21),-3.80533 # DEPENDENCYPART_ARC
(16,22),-4.05432 # DEPENDENCYPART_ARC
(16,23),-4.83354 # DEPENDENCYPART_ARC
(16,24),-4.19471 # DEPENDENCYPART_ARC
(16,25),-5.73413 # DEPENDENCYPART_ARC
(16,26),-4.8901 # DEPENDENCYPART_ARC
(16,27),-3.068 # DEPENDENCYPART_ARC
(17,1),-1.27006 # DEPENDENCYPART_ARC
(17,2),-6.74702 # DEPENDENCYPART_ARC
(17,3),-5.2107 # DEPENDENCYPART_ARC
(17,4),-4.76127 # DEPENDENCYPART_ARC
(17,5),-6.31259 # DEPENDENCYPART_ARC
(17,6),-2.67951 # DEPENDENCYPART_ARC
(17,7),-4.9291 # DEPENDENCYPART_ARC
(17,8),-4.55551 # DEPENDENCYPART_ARC
(17,9),-1.11378 # DEPENDENCYPART_ARC
(17,10),0.680885 # DEPENDENCYPART_ARC
(17,11),-4.8542 # DEPENDENCYPART_ARC
(17,12),-2.40612 # DEPENDENCYPART_ARC
(17,13),-1.33066 # DEPENDENCYPART_ARC
(17,14),0.375117 # DEPENDENCYPART_ARC
(17,15),-1.99756 # DEPENDENCYPART_ARC
(17,16),4.85706 # DEPENDENCYPART_ARC
(17,18),-1.14181 # DEPENDENCYPART_ARC
(17,19),-1.10397 # DEPENDENCYPART_ARC
(17,20),-2.27128 # DEPENDENCYPART_ARC
(17,21),0.570677 # DEPENDENCYPART_ARC
(17,22),-1.45106 # DEPENDENCYPART_ARC
(17,23),-1.18069 # DEPENDENCYPART_ARC
(17,24),-0.502655 # DEPENDENCYPART_ARC
(17,25),-3.8319 # DEPENDENCYPART_ARC
(17,26),-3.16971 # DEPENDENCYPART_ARC
(17,27),-5.10285 # DEPENDENCYPART_ARC
(18,1),-1.70886 # DEPENDENCYPART_ARC
(18,2),-2.03303 # DEPENDENCYPART_ARC
(18,4),-2.46271 # DEPENDENCYPART_ARC
(18,5),-1.94436 # DEPENDENCYPART_ARC
(18,6),-1.53587 # DEPENDENCYPART_ARC
(18,7),-2.44325 # DEPENDENCYPART_ARC
(18,9),-1.23702 # DEPENDENCYPART_ARC
(18,10),0.00262682 # DEPENDENCYPART_ARC
(18,11),-1.46342 # DEPENDENCYPART_ARC
(18,12),-1.26016 # DEPENDENCYPART_ARC
(18,13),-0.956075 # DEPENDENCYPART_ARC
(18,15),-1.42455 # DEPENDENCYPART_ARC
(18,16),-1.21823 # DEPENDENCYPART_ARC
(18,17),0.432294 # DEPENDENCYPART_ARC
(18,19),-0.376427 # DEPENDENCYPART_ARC
(18,20),-0.774134 # DEPENDENCYPART_ARC
(18,21),-0.751436 # DEPENDENCYPART_ARC
(18,22),-1.5096 # DEPENDENCYPART_ARC
(18,23),-3.1768 # DEPENDENCYPART_ARC
(18,24),-1.81129 # DEPENDENCYPART_ARC
(18,25),-2.55511 # DEPENDENCYPART_ARC
(18,26),-2.65558 # DEPENDENCYPART_ARC
(18,27),-0.80755 # DEPENDENCYPART_ARC
(19,1),1.17167 # DEPENDENCYPART_ARC
(19,2),-3.50193 # DEPENDENCYPART_ARC
(19,3),-5.399 # DEPENDENCYPART_ARC
(19,4),-4.44105 # DEPENDENCYPART_ARC
(19,5),-5.86151 # DEPENDENCYPART_ARC
(19,6),1.59343 # DEPENDENCYPART_ARC
(19,7),-0.74738 # DEPENDENCYPART_ARC
(19,8),0.248777 # DEPENDENCYPART_ARC
(19,9),0.915695 # DEPENDENCYPART_ARC
(19,10),-5.18879 # DEPENDENCYPART_ARC
(19,11),-1.98378 # DEPENDENCYPART_ARC
(19,12),-1.84207 # DEPENDENCYPART_ARC
(19,13),0.860171 # DEPENDENCYPART_ARC
(19,14),1.56972 # DEPENDENCYPART_ARC
(19,15),-0.714542 # DEPENDENCYPART_ARC
(19,16),-3.5666 # DEPENDENCYPART_ARC
(19,17),-1.51261 # DEPENDENCYPART_ARC
(19,18),2.50563 # DEPENDENCYPART_ARC
(19,20),2.28962 # DEPENDENCYPART_ARC
(19,21),0.0386421 # DEPENDENCYPART_ARC
(19,22),1.55928 # DEPENDENCYPART_ARC
(19,23),-4.40927 # DEPENDENCYPART_ARC
(19,24),-1.52901 # DEPENDENCYPART_ARC
(19,25),0.0826632 # DEPENDENCYPART_ARC
(19,26),1.16455 # DEPENDENCYPART_ARC
(19,27),-0.629313 # DEPENDENCYPART_ARC
(20,1),-1.47777 # DEPENDENCYPART_ARC
(20,2),-9.33923 # DEPENDENCYPART_ARC
(20,3),-8.71203 # DEPENDENCYPART_ARC
(20,4),-7.62771 # DEPENDENCYPART_ARC
(20,5),-12.0597 # DEPENDENCYPART_ARC
(20,6),-3.97909 # DEPENDENCYPART_ARC
(20,7),-6.22416 # DEPENDENCYPART_ARC
(20,8),-7.23545 # DEPENDENCYPART_ARC
(20,9),-1.05227 # DEPENDENCYPART_ARC
(20,10),-1.52583 # DEPENDENCYPART_ARC
(20,11),-8.8673 # DEPENDENCYPART_ARC
(20,12),-3.92301 # DEPENDENCYPART_ARC
(20,13),-2.89657 # DEPENDENCYPART_ARC
(20,14),-1.27899 # DEPENDENCYPART_ARC
(20,15),-4.30425 # DEPENDENCYPART_ARC
(20,16),-4.17242 # DEPENDENCYPART_ARC
(20,17),-5.98629 # DEPENDENCYPART_ARC
(20,18),-3.72294 # DEPENDENCYPART_ARC
(20,19),-3.44676 # DEPENDENCYPART_ARC
(20,21),3.96716 # DEPENDENCYPART_ARC
(20,22),1.12443 # DEPENDENCYPART_ARC
(20,23),-2.05519 # DEPENDENCYPART_ARC
(20,24),0.524476 # DEPENDENCYPART_ARC
(20,25),-1.23211 # DEPENDENCYPART_ARC
(20,26),-1.73529 # DEPENDENCYPART_ARC
(20,27),-3.38938 # DEPENDENCYPART_ARC
(21,1),-1.58554 # DEPENDENCYPART_ARC
(21,2),-7.60899 # DEPENDENCYPART_ARC
(21,3),-7.43701 # DEPENDENCYPART_ARC
(21,4),-6.1265 # DEPENDENCYPART_ARC
(21,5),-7.62454 # DEPENDENCYPART_ARC
(21,6),-2.99227 # DEPENDENCYPART_ARC
(21,7),-6.73569 # DEPENDENCYPART_ARC
(21,8),-6.26002 # DEPENDENCYPART_ARC
(21,9),-0.891651 # DEPENDENCYPART_ARC
(21,10),-1.52291 # DEPENDENCYPART_ARC
(21,11),-5.95431 # DEPENDENCYPART_ARC
(21,12),-3.38734 # DEPENDENCYPART_ARC
(21,13),-1.98463 # DEPENDENCYPART_ARC
(21,14),-0.45115 # DEPENDENCYPART_ARC
(21,15),-3.87073 # DEPENDENCYPART_ARC
(21,16),0.741968 # DEPENDENCYPART_ARC
(21,17),-2.09345 # DEPENDENCYPART_ARC
(21,18),-2.47252 # DEPENDENCYPART_ARC
(21,19),-3.00882 # DEPENDENCYPART_ARC
(21,20),-0.0817612 # DEPENDENCYPART_ARC
(21,22),1.9153 # DEPENDENCYPART_ARC
(21,23),0.572958 # DEPENDENCYPART_ARC
(21,24),1.0457 # DEPENDENCYPART_ARC
(21,25),-1.44347 # DEPENDENCYPART_ARC
(21,26),-1.16729 # DEPENDENCYPART_ARC
(21,27),-2.18436 # DEPENDENCYPART_ARC
(22,1),-0.76116 # DEPENDENCYPART_ARC
(22,2),-6.85212 # DEPENDENCYPART_ARC
