# _root_ Je to ale otázka úhlu pohledu : nejde o žádné zničení - jde o směr , směřování , které se - je - li upřímné a zásadní - brzy ztratí z dohledu .
#goldHeads=7,1,0,1,4,5,3,12,8,11,9,7,12,13,16,14,16,30,30,30,24,24,24,30,26,22,26,24,30,17,30,31,0,
#predictedHeads=7,1,0,1,4,5,3,16,8,11,9,8,16,13,14,24,16,24,22,22,24,24,24,1,26,17,26,24,30,28,30,31,0,
(2,23),-3.20513 # DEPENDENCYPART_ARC
(2,24),-2.69437 # DEPENDENCYPART_ARC
(2,25),-4.61819 # DEPENDENCYPART_ARC
(2,26),-4.01847 # DEPENDENCYPART_ARC
(2,27),-4.73136 # DEPENDENCYPART_ARC
(2,28),-3.55315 # DEPENDENCYPART_ARC
(2,29),-4.34786 # DEPENDENCYPART_ARC
(2,30),-6.09677 # DEPENDENCYPART_ARC
(2,31),-5.59703 # DEPENDENCYPART_ARC
(2,32),-7.03721 # DEPENDENCYPART_ARC
(2,33),-4.50978 # DEPENDENCYPART_ARC
(3,1),1.58514 # DEPENDENCYPART_ARC
(3,2),1.21455 # DEPENDENCYPART_ARC
(3,4),0.983635 # DEPENDENCYPART_ARC
(3,5),0.631747 # DEPENDENCYPART_ARC
(3,6),-0.10916 # DEPENDENCYPART_ARC
(3,7),0.60145 # DEPENDENCYPART_ARC
(3,8),0.792447 # DEPENDENCYPART_ARC
(3,9),-1.40368 # DEPENDENCYPART_ARC
(3,10),-1.14255 # DEPENDENCYPART_ARC
(3,11),-1.96945 # DEPENDENCYPART_ARC
(3,12),-0.0156764 # DEPENDENCYPART_ARC
(3,13),-0.286554 # DEPENDENCYPART_ARC
(3,14),-2.52112 # DEPENDENCYPART_ARC
(3,15),-2.61308 # DEPENDENCYPART_ARC
(3,16),-0.641068 # DEPENDENCYPART_ARC
(3,17),-2.75925 # DEPENDENCYPART_ARC
(3,18),-1.25117 # DEPENDENCYPART_ARC
(3,19),-2.3698 # DEPENDENCYPART_ARC
(3,20),-2.17377 # DEPENDENCYPART_ARC
(3,21),-1.12362 # DEPENDENCYPART_ARC
(3,22),-0.919224 # DEPENDENCYPART_ARC
(3,23),-1.66686 # DEPENDENCYPART_ARC
(3,24),-1.44171 # DEPENDENCYPART_ARC
(3,25),-3.66243 # DEPENDENCYPART_ARC
(3,26),-2.67241 # DEPENDENCYPART_ARC
(3,27),-4.27576 # DEPENDENCYPART_ARC
(3,28),-2.58297 # DEPENDENCYPART_ARC
(3,29),-2.79088 # DEPENDENCYPART_ARC
(3,30),-3.54955 # DEPENDENCYPART_ARC
(3,31),-4.75864 # DEPENDENCYPART_ARC
(3,32),-4.75974 # DEPENDENCYPART_ARC
(3,33),-3.328 # DEPENDENCYPART_ARC
(4,1),-2.43762 # DEPENDENCYPART_ARC
(4,2),-0.901022 # DEPENDENCYPART_ARC
(4,3),0.541044 # DEPENDENCYPART_ARC
(4,5),3.38639 # DEPENDENCYPART_ARC
(4,6),2.57563 # DEPENDENCYPART_ARC
(4,7),0.0779341 # DEPENDENCYPART_ARC
(4,8),-0.881862 # DEPENDENCYPART_ARC
(4,9),-0.970883 # DEPENDENCYPART_ARC
(4,10),-2.5667 # DEPENDENCYPART_ARC
(4,11),-4.99215 # DEPENDENCYPART_ARC
(4,12),-0.823736 # DEPENDENCYPART_ARC
(4,13),-1.21816 # DEPENDENCYPART_ARC
(4,14),-1.80653 # DEPENDENCYPART_ARC
(4,15),-6.18892 # DEPENDENCYPART_ARC
(4,16),-0.568849 # DEPENDENCYPART_ARC
(4,17),-6.10463 # DEPENDENCYPART_ARC
(4,18),-1.1438 # DEPENDENCYPART_ARC
(4,19),-3.40483 # DEPENDENCYPART_ARC
(4,20),-4.08859 # DEPENDENCYPART_ARC
(4,21),-2.83957 # DEPENDENCYPART_ARC
(4,22),-1.60753 # DEPENDENCYPART_ARC
(4,23),-2.74971 # DEPENDENCYPART_ARC
(4,24),-0.549192 # DEPENDENCYPART_ARC
(4,25),-3.54346 # DEPENDENCYPART_ARC
(4,26),-0.131877 # DEPENDENCYPART_ARC
(4,27),-4.36111 # DEPENDENCYPART_ARC
(4,28),-3.67301 # DEPENDENCYPART_ARC
(4,29),-2.08454 # DEPENDENCYPART_ARC
(4,30),-2.11284 # DEPENDENCYPART_ARC
(4,31),-5.81047 # DEPENDENCYPART_ARC
(4,32),-6.61288 # DEPENDENCYPART_ARC
(4,33),-11.0629 # DEPENDENCYPART_ARC
(5,1),-2.72142 # DEPENDENCYPART_ARC
(5,2),-2.64377 # DEPENDENCYPART_ARC
(5,3),-0.00194923 # DEPENDENCYPART_ARC
(5,4),-1.99368 # DEPENDENCYPART_ARC
(5,6),4.19738 # DEPENDENCYPART_ARC
(5,7),-0.0295245 # DEPENDENCYPART_ARC
(5,8),-1.4511 # DEPENDENCYPART_ARC
(5,9),-0.562666 # DEPENDENCYPART_ARC
(5,10),-2.7101 # DEPENDENCYPART_ARC
(5,11),-4.54895 # DEPENDENCYPART_ARC
(5,12),-0.642052 # DEPENDENCYPART_ARC
(5,13),-1.76756 # DEPENDENCYPART_ARC
(5,14),-1.34954 # DEPENDENCYPART_ARC
(5,15),-6.52888 # DEPENDENCYPART_ARC
(5,16),-0.356032 # DEPENDENCYPART_ARC
(5,17),-5.96151 # DEPENDENCYPART_ARC
(5,18),-0.913872 # DEPENDENCYPART_ARC
(5,19),-4.897 # DEPENDENCYPART_ARC
(5,20),-4.42982 # DEPENDENCYPART_ARC
(5,21),-2.47285 # DEPENDENCYPART_ARC
(5,22),-2.43167 # DEPENDENCYPART_ARC
(5,23),-2.53942 # DEPENDENCYPART_ARC
(5,24),-0.455691 # DEPENDENCYPART_ARC
(5,25),-5.04305 # DEPENDENCYPART_ARC
(5,26),-1.04604 # DEPENDENCYPART_ARC
(5,27),-5.83971 # DEPENDENCYPART_ARC
(5,28),-3.45297 # DEPENDENCYPART_ARC
(5,29),-1.66678 # DEPENDENCYPART_ARC
(5,30),-3.33626 # DEPENDENCYPART_ARC
(5,31),-5.08501 # DEPENDENCYPART_ARC
(5,32),-6.58647 # DEPENDENCYPART_ARC
(5,33),-10.3857 # DEPENDENCYPART_ARC
(6,1),-1.77723 # DEPENDENCYPART_ARC
(6,2),-2.14197 # DEPENDENCYPART_ARC
(6,3),0.126629 # DEPENDENCYPART_ARC
(6,4),-1.70746 # DEPENDENCYPART_ARC
(6,5),1.31533 # DEPENDENCYPART_ARC
(6,7),-0.264658 # DEPENDENCYPART_ARC
(6,8),-1.93834 # DEPENDENCYPART_ARC
(6,9),-1.33768 # DEPENDENCYPART_ARC
(6,10),-3.55137 # DEPENDENCYPART_ARC
(6,11),-4.87849 # DEPENDENCYPART_ARC
(6,12),-1.19067 # DEPENDENCYPART_ARC
(6,13),-2.14574 # DEPENDENCYPART_ARC
(6,14),-2.23555 # DEPENDENCYPART_ARC
(6,15),-7.26236 # DEPENDENCYPART_ARC
(6,16),-1.29423 # DEPENDENCYPART_ARC
(6,17),-6.50995 # DEPENDENCYPART_ARC
(6,18),-2.0611 # DEPENDENCYPART_ARC
(6,19),-6.15354 # DEPENDENCYPART_ARC
(6,20),-5.28761 # DEPENDENCYPART_ARC
(6,21),-3.11812 # DEPENDENCYPART_ARC
(6,22),-2.49167 # DEPENDENCYPART_ARC
(6,23),-3.30644 # DEPENDENCYPART_ARC
(6,24),-1.22658 # DEPENDENCYPART_ARC
(6,25),-5.77322 # DEPENDENCYPART_ARC
(6,26),-1.39022 # DEPENDENCYPART_ARC
(6,27),-6.47824 # DEPENDENCYPART_ARC
(6,28),-4.11488 # DEPENDENCYPART_ARC
(6,29),-2.8434 # DEPENDENCYPART_ARC
(6,30),-3.59098 # DEPENDENCYPART_ARC
(6,31),-6.06027 # DEPENDENCYPART_ARC
(6,32),-7.23659 # DEPENDENCYPART_ARC
(6,33),-10.9383 # DEPENDENCYPART_ARC
(7,1),1.9605 # DEPENDENCYPART_ARC
(7,2),0.22152 # DEPENDENCYPART_ARC
(7,3),0.0863956 # DEPENDENCYPART_ARC
(7,4),1.27431 # DEPENDENCYPART_ARC
(7,5),0.654042 # DEPENDENCYPART_ARC
(7,6),0.404098 # DEPENDENCYPART_ARC
(7,8),0.360686 # DEPENDENCYPART_ARC
(7,9),-0.453934 # DEPENDENCYPART_ARC
(7,10),-0.800974 # DEPENDENCYPART_ARC
(7,11),-0.789977 # DEPENDENCYPART_ARC
(7,12),-0.0332872 # DEPENDENCYPART_ARC
(7,13),-0.420555 # DEPENDENCYPART_ARC
(7,14),-1.39462 # DEPENDENCYPART_ARC
(7,15),-2.12688 # DEPENDENCYPART_ARC
(7,16),0.418575 # DEPENDENCYPART_ARC
(7,17),-2.32785 # DEPENDENCYPART_ARC
(7,18),0.281251 # DEPENDENCYPART_ARC
(7,19),-2.0924 # DEPENDENCYPART_ARC
(7,20),-2.38767 # DEPENDENCYPART_ARC
(7,21),-1.07966 # DEPENDENCYPART_ARC
(7,22),-2.24374 # DEPENDENCYPART_ARC
(7,23),-1.48146 # DEPENDENCYPART_ARC
(7,24),-1.89021 # DEPENDENCYPART_ARC
(7,25),-3.49278 # DEPENDENCYPART_ARC
(7,26),-0.925143 # DEPENDENCYPART_ARC
(7,27),-3.63749 # DEPENDENCYPART_ARC
(7,28),-2.03172 # DEPENDENCYPART_ARC
(7,29),-2.68968 # DEPENDENCYPART_ARC
(7,30),-2.40719 # DEPENDENCYPART_ARC
(7,31),-3.61213 # DEPENDENCYPART_ARC
(7,32),-4.36846 # DEPENDENCYPART_ARC
(7,33),-1.77888 # DEPENDENCYPART_ARC
(8,1),-0.177758 # DEPENDENCYPART_ARC
(8,2),0.269302 # DEPENDENCYPART_ARC
(8,3),0.149799 # DEPENDENCYPART_ARC
(8,4),1.91294 # DEPENDENCYPART_ARC
(8,5),-1.30455 # DEPENDENCYPART_ARC
(8,6),-1.51897 # DEPENDENCYPART_ARC
(8,7),0.0193468 # DEPENDENCYPART_ARC
(8,9),2.3896 # DEPENDENCYPART_ARC
(8,10),0.035997 # DEPENDENCYPART_ARC
(8,11),1.5673 # DEPENDENCYPART_ARC
(8,12),0.678921 # DEPENDENCYPART_ARC
(8,13),-1.17866 # DEPENDENCYPART_ARC
(8,14),0.0311462 # DEPENDENCYPART_ARC
(8,15),-1.87017 # DEPENDENCYPART_ARC
(8,16),0.522181 # DEPENDENCYPART_ARC
(8,17),-1.66149 # DEPENDENCYPART_ARC
(8,18),0.251455 # DEPENDENCYPART_ARC
(8,19),-2.35311 # DEPENDENCYPART_ARC
(8,20),-0.909201 # DEPENDENCYPART_ARC
(8,21),-0.730708 # DEPENDENCYPART_ARC
(8,22),-2.09776 # DEPENDENCYPART_ARC
(8,23),-1.0455 # DEPENDENCYPART_ARC
(8,24),0.351418 # DEPENDENCYPART_ARC
(8,25),-2.83913 # DEPENDENCYPART_ARC
(8,26),-0.451085 # DEPENDENCYPART_ARC
(8,27),-3.17045 # DEPENDENCYPART_ARC
(8,28),-1.95622 # DEPENDENCYPART_ARC
(8,29),-2.43052 # DEPENDENCYPART_ARC
(8,30),-4.43822 # DEPENDENCYPART_ARC
(8,31),-2.56273 # DEPENDENCYPART_ARC
(8,32),-7.68698 # DEPENDENCYPART_ARC
(8,33),-1.25721 # DEPENDENCYPART_ARC
(9,1),-3.33963 # DEPENDENCYPART_ARC
(9,2),-2.33555 # DEPENDENCYPART_ARC
(9,3),-1.62898 # DEPENDENCYPART_ARC
(9,4),-3.63097 # DEPENDENCYPART_ARC
(9,5),-1.93216 # DEPENDENCYPART_ARC
(9,6),-1.58809 # DEPENDENCYPART_ARC
(9,7),-0.222965 # DEPENDENCYPART_ARC
(9,8),-1.38381 # DEPENDENCYPART_ARC
(9,10),3.09792 # DEPENDENCYPART_ARC
(9,11),3.48201 # DEPENDENCYPART_ARC
(9,12),-0.0331296 # DEPENDENCYPART_ARC
(9,13),-1.18544 # DEPENDENCYPART_ARC
(9,14),-1.30632 # DEPENDENCYPART_ARC
(9,15),-0.794373 # DEPENDENCYPART_ARC
(9,16),-0.673822 # DEPENDENCYPART_ARC
(9,17),-2.15419 # DEPENDENCYPART_ARC
(9,18),-0.879972 # DEPENDENCYPART_ARC
(9,19),-3.40612 # DEPENDENCYPART_ARC
(9,21),-1.2012 # DEPENDENCYPART_ARC
(9,22),-2.14456 # DEPENDENCYPART_ARC
(9,23),-1.8968 # DEPENDENCYPART_ARC
(9,24),-1.42666 # DEPENDENCYPART_ARC
(9,25),-3.88571 # DEPENDENCYPART_ARC
(9,26),-1.96379 # DEPENDENCYPART_ARC
(9,27),-4.32937 # DEPENDENCYPART_ARC
(9,28),-2.08743 # DEPENDENCYPART_ARC
(9,29),-1.73443 # DEPENDENCYPART_ARC
(9,30),-2.87265 # DEPENDENCYPART_ARC
(9,31),-3.23116 # DEPENDENCYPART_ARC
(9,32),-9.71482 # DEPENDENCYPART_ARC
(9,33),-3.78089 # DEPENDENCYPART_ARC
(10,1),-2.20861 # DEPENDENCYPART_ARC
(10,2),-1.64258 # DEPENDENCYPART_ARC
(10,3),-2.30289 # DEPENDENCYPART_ARC
(10,7),-0.986319 # DEPENDENCYPART_ARC
(10,8),-1.16164 # DEPENDENCYPART_ARC
(10,9),-0.146389 # DEPENDENCYPART_ARC
(10,12),-0.511824 # DEPENDENCYPART_ARC
(10,13),-1.18016 # DEPENDENCYPART_ARC
(10,14),-0.690683 # DEPENDENCYPART_ARC
(10,16),-0.572241 # DEPENDENCYPART_ARC
(10,18),-0.892155 # DEPENDENCYPART_ARC
(10,21),-1.85704 # DEPENDENCYPART_ARC
(10,22),-3.66223 # DEPENDENCYPART_ARC
(10,23),-1.88713 # DEPENDENCYPART_ARC
(10,24),-1.38452 # DEPENDENCYPART_ARC
(10,25),-3.96158 # DEPENDENCYPART_ARC
(10,26),-2.26667 # DEPENDENCYPART_ARC
(10,27),-4.09791 # DEPENDENCYPART_ARC
(10,28),-2.27977 # DEPENDENCYPART_ARC
(10,29),-2.73943 # DEPENDENCYPART_ARC
(10,30),-4.52658 # DEPENDENCYPART_ARC
(10,31),-3.02297 # DEPENDENCYPART_ARC
(10,33),-2.95781 # DEPENDENCYPART_ARC
(11,1),-2.19733 # DEPENDENCYPART_ARC
(11,2),-2.75983 # DEPENDENCYPART_ARC
(11,3),-1.85972 # DEPENDENCYPART_ARC
(11,4),-5.40394 # DEPENDENCYPART_ARC
(11,5),-3.0937 # DEPENDENCYPART_ARC
(11,6),-3.62645 # DEPENDENCYPART_ARC
(11,7),-0.629016 # DEPENDENCYPART_ARC
(11,8),-1.36139 # DEPENDENCYPART_ARC
(11,9),0.544165 # DEPENDENCYPART_ARC
(11,10),5.19605 # DEPENDENCYPART_ARC
(11,12),-0.293155 # DEPENDENCYPART_ARC
(11,13),-1.2087 # DEPENDENCYPART_ARC
(11,14),-0.894311 # DEPENDENCYPART_ARC
(11,15),-2.63926 # DEPENDENCYPART_ARC
(11,16),-1.02708 # DEPENDENCYPART_ARC
(11,17),-3.18215 # DEPENDENCYPART_ARC
(11,18),-1.39259 # DEPENDENCYPART_ARC
(11,19),-4.99731 # DEPENDENCYPART_ARC
(11,20),-2.88839 # DEPENDENCYPART_ARC
(11,21),-2.02732 # DEPENDENCYPART_ARC
(11,22),-1.77464 # DEPENDENCYPART_ARC
(11,23),-2.24965 # DEPENDENCYPART_ARC
(11,24),-1.04515 # DEPENDENCYPART_ARC
(11,25),-3.72675 # DEPENDENCYPART_ARC
(11,26),-1.16731 # DEPENDENCYPART_ARC
(11,27),-4.38305 # DEPENDENCYPART_ARC
(11,28),-2.8942 # DEPENDENCYPART_ARC
(11,29),-2.97426 # DEPENDENCYPART_ARC
(11,30),-2.38214 # DEPENDENCYPART_ARC
(11,31),-4.69235 # DEPENDENCYPART_ARC
(11,32),-5.45098 # DEPENDENCYPART_ARC
(11,33),-8.4166 # DEPENDENCYPART_ARC
(12,1),-0.303567 # DEPENDENCYPART_ARC
(12,2),-0.684298 # DEPENDENCYPART_ARC
(12,3),-0.214803 # DEPENDENCYPART_ARC
(12,4),-0.862093 # DEPENDENCYPART_ARC
(12,5),-0.585658 # DEPENDENCYPART_ARC
(12,6),-0.570351 # DEPENDENCYPART_ARC
(12,7),0.0205436 # DEPENDENCYPART_ARC
(12,8),1.02186 # DEPENDENCYPART_ARC
(12,9),-0.112394 # DEPENDENCYPART_ARC
(12,10),0.272886 # DEPENDENCYPART_ARC
(12,11),0.600804 # DEPENDENCYPART_ARC
(12,13),0.242866 # DEPENDENCYPART_ARC
(12,14),-0.791115 # DEPENDENCYPART_ARC
(12,15),-0.0493545 # DEPENDENCYPART_ARC
(12,16),-0.2732 # DEPENDENCYPART_ARC
(12,17),-0.463501 # DEPENDENCYPART_ARC
(12,18),-0.169267 # DEPENDENCYPART_ARC
(12,19),-1.36085 # DEPENDENCYPART_ARC
(12,20),-1.46619 # DEPENDENCYPART_ARC
(12,21),-0.0253885 # DEPENDENCYPART_ARC
(12,22),-1.25344 # DEPENDENCYPART_ARC
(12,23),-0.681334 # DEPENDENCYPART_ARC
(12,24),-1.4369 # DEPENDENCYPART_ARC
(12,25),-2.21805 # DEPENDENCYPART_ARC
(12,26),-0.370918 # DEPENDENCYPART_ARC
(12,27),-2.47451 # DEPENDENCYPART_ARC
(12,28),-0.68968 # DEPENDENCYPART_ARC
(12,29),-2.11978 # DEPENDENCYPART_ARC
(12,30),-2.30629 # DEPENDENCYPART_ARC
(12,31),-2.57725 # DEPENDENCYPART_ARC
(12,32),-3.93973 # DEPENDENCYPART_ARC
(12,33),-1.58936 # DEPENDENCYPART_ARC
(13,1),-0.976973 # DEPENDENCYPART_ARC
(13,2),-0.451091 # DEPENDENCYPART_ARC
(13,3),0.699801 # DEPENDENCYPART_ARC
(13,4),1.17083 # DEPENDENCYPART_ARC
(13,5),-2.45303 # DEPENDENCYPART_ARC
(13,6),-2.74003 # DEPENDENCYPART_ARC
(13,7),-0.420989 # DEPENDENCYPART_ARC
(13,8),0.171573 # DEPENDENCYPART_ARC
(13,9),0.110614 # DEPENDENCYPART_ARC
(13,10),0.158089 # DEPENDENCYPART_ARC
(13,11),0.756376 # DEPENDENCYPART_ARC
(13,12),-0.140814 # DEPENDENCYPART_ARC
(13,14),2.43782 # DEPENDENCYPART_ARC
(13,15),0.414259 # DEPENDENCYPART_ARC
(13,16),0.481104 # DEPENDENCYPART_ARC
(13,17),0.256222 # DEPENDENCYPART_ARC
(13,18),-0.079312 # DEPENDENCYPART_ARC
(13,19),-1.25425 # DEPENDENCYPART_ARC
(13,20),-0.067725 # DEPENDENCYPART_ARC
(13,21),-0.493858 # DEPENDENCYPART_ARC
(13,22),-1.72849 # DEPENDENCYPART_ARC
(13,23),-0.676662 # DEPENDENCYPART_ARC
(13,24),0.684926 # DEPENDENCYPART_ARC
(13,25),-2.57611 # DEPENDENCYPART_ARC
(13,26),-1.3518 # DEPENDENCYPART_ARC
(13,27),-3.0032 # DEPENDENCYPART_ARC
(13,28),-1.31817 # DEPENDENCYPART_ARC
(13,29),-2.60589 # DEPENDENCYPART_ARC
(13,30),-4.09777 # DEPENDENCYPART_ARC
(13,31),-2.97221 # DEPENDENCYPART_ARC
(13,32),-8.0355 # DEPENDENCYPART_ARC
(13,33),-1.27428 # DEPENDENCYPART_ARC
(14,1),-3.87053 # DEPENDENCYPART_ARC
(14,2),-2.78712 # DEPENDENCYPART_ARC
(14,3),-2.15568 # DEPENDENCYPART_ARC
(14,4),-4.69399 # DEPENDENCYPART_ARC
(14,5),-3.0427 # DEPENDENCYPART_ARC
(14,6),-2.84441 # DEPENDENCYPART_ARC
(14,7),-1.72081 # DEPENDENCYPART_ARC
(14,8),-3.2445 # DEPENDENCYPART_ARC
(14,9),-2.32798 # DEPENDENCYPART_ARC
(14,10),-1.61033 # DEPENDENCYPART_ARC
(14,11),-2.48688 # DEPENDENCYPART_ARC
(14,12),-0.0953935 # DEPENDENCYPART_ARC
(14,13),-1.65024 # DEPENDENCYPART_ARC
(14,15),3.52524 # DEPENDENCYPART_ARC
(14,16),0.656656 # DEPENDENCYPART_ARC
(14,17),0.388507 # DEPENDENCYPART_ARC
(14,18),0.105631 # DEPENDENCYPART_ARC
(14,19),-2.58143 # DEPENDENCYPART_ARC
(14,21),-0.182962 # DEPENDENCYPART_ARC
(14,22),-1.63046 # DEPENDENCYPART_ARC
(14,23),-0.881292 # DEPENDENCYPART_ARC
(14,24),-1.01847 # DEPENDENCYPART_ARC
(14,25),-3.53036 # DEPENDENCYPART_ARC
(14,26),-0.638835 # DEPENDENCYPART_ARC
(14,27),-3.92521 # DEPENDENCYPART_ARC
(14,28),-1.27006 # DEPENDENCYPART_ARC
(14,29),-1.15936 # DEPENDENCYPART_ARC
(14,30),-2.5425 # DEPENDENCYPART_ARC
(14,31),-2.96837 # DEPENDENCYPART_ARC
(14,32),-7.64723 # DEPENDENCYPART_ARC
(14,33),-2.69359 # DEPENDENCYPART_ARC
(15,1),-3.4497 # DEPENDENCYPART_ARC
(15,2),-6.53911 # DEPENDENCYPART_ARC
(15,3),-4.59601 # DEPENDENCYPART_ARC
(15,4),-6.76329 # DEPENDENCYPART_ARC
(15,5),-5.28799 # DEPENDENCYPART_ARC
(15,6),-6.17897 # DEPENDENCYPART_ARC
(15,7),-2.90524 # DEPENDENCYPART_ARC
(15,8),-3.31839 # DEPENDENCYPART_ARC
(15,9),-0.26091 # DEPENDENCYPART_ARC
(15,10),-0.41347 # DEPENDENCYPART_ARC
(15,11),-2.99462 # DEPENDENCYPART_ARC
(15,12),-1.49436 # DEPENDENCYPART_ARC
(15,13),-1.72605 # DEPENDENCYPART_ARC
(15,14),0.239707 # DEPENDENCYPART_ARC
(15,16),0.0144467 # DEPENDENCYPART_ARC
(15,17),0.433989 # DEPENDENCYPART_ARC
(15,18),-0.685903 # DEPENDENCYPART_ARC
(15,19),-4.38106 # DEPENDENCYPART_ARC
(15,20),-2.7323 # DEPENDENCYPART_ARC
(15,21),-0.91158 # DEPENDENCYPART_ARC
(15,22),0.183291 # DEPENDENCYPART_ARC
(15,23),-1.06482 # DEPENDENCYPART_ARC
(15,24),-0.39471 # DEPENDENCYPART_ARC
(15,25),-3.81608 # DEPENDENCYPART_ARC
(15,26),-0.421893 # DEPENDENCYPART_ARC
(15,27),-4.61344 # DEPENDENCYPART_ARC
(15,28),-1.93506 # DEPENDENCYPART_ARC
(15,29),-1.8677 # DEPENDENCYPART_ARC
(15,30),-0.859926 # DEPENDENCYPART_ARC
(15,31),-3.45045 # DEPENDENCYPART_ARC
(15,32),-3.9655 # DEPENDENCYPART_ARC
(15,33),-6.30565 # DEPENDENCYPART_ARC
(16,1),-0.607617 # DEPENDENCYPART_ARC
(16,2),-0.0204851 # DEPENDENCYPART_ARC
(16,3),0.60468 # DEPENDENCYPART_ARC
(16,4),-0.326352 # DEPENDENCYPART_ARC
(16,5),0.128286 # DEPENDENCYPART_ARC
