# _root_ Sociální demokraté namítají , že vláda se školným přichází v době , kdy rostou náklady na základní životní potřeby .
#goldHeads=2,3,0,5,3,9,9,7,5,9,10,14,14,11,14,15,19,19,16,0,
#predictedHeads=2,3,0,5,3,9,6,7,5,9,10,14,14,11,14,15,19,19,16,0,
(2,17),-6.37691 # DEPENDENCYPART_ARC
(2,18),-6.07868 # DEPENDENCYPART_ARC
(2,19),-7.79336 # DEPENDENCYPART_ARC
(2,20),-7.9131 # DEPENDENCYPART_ARC
(3,1),0.860377 # DEPENDENCYPART_ARC
(3,2),3.45964 # DEPENDENCYPART_ARC
(3,4),0.957104 # DEPENDENCYPART_ARC
(3,5),2.02719 # DEPENDENCYPART_ARC
(3,6),-0.83855 # DEPENDENCYPART_ARC
(3,7),-0.0578041 # DEPENDENCYPART_ARC
(3,8),-2.70483 # DEPENDENCYPART_ARC
(3,9),-1.70471 # DEPENDENCYPART_ARC
(3,10),-0.663103 # DEPENDENCYPART_ARC
(3,11),-3.56061 # DEPENDENCYPART_ARC
(3,12),-0.282045 # DEPENDENCYPART_ARC
(3,13),-1.75928 # DEPENDENCYPART_ARC
(3,14),-3.45088 # DEPENDENCYPART_ARC
(3,15),-3.02921 # DEPENDENCYPART_ARC
(3,16),-1.52 # DEPENDENCYPART_ARC
(3,17),-5.77673 # DEPENDENCYPART_ARC
(3,18),-6.21581 # DEPENDENCYPART_ARC
(3,19),-3.3267 # DEPENDENCYPART_ARC
(3,20),-1.28438 # DEPENDENCYPART_ARC
(4,1),-0.552622 # DEPENDENCYPART_ARC
(4,2),-0.569522 # DEPENDENCYPART_ARC
(4,3),-0.553109 # DEPENDENCYPART_ARC
(4,5),0.106644 # DEPENDENCYPART_ARC
(4,6),-1.16236 # DEPENDENCYPART_ARC
(4,7),-0.954892 # DEPENDENCYPART_ARC
(4,8),-2.04771 # DEPENDENCYPART_ARC
(4,9),-0.638325 # DEPENDENCYPART_ARC
(4,10),-1.78227 # DEPENDENCYPART_ARC
(4,11),-3.07883 # DEPENDENCYPART_ARC
(4,12),-1.22203 # DEPENDENCYPART_ARC
(4,13),-1.7473 # DEPENDENCYPART_ARC
(4,14),-1.23432 # DEPENDENCYPART_ARC
(4,15),-4.34743 # DEPENDENCYPART_ARC
(4,16),-2.79227 # DEPENDENCYPART_ARC
(4,17),-3.08215 # DEPENDENCYPART_ARC
(4,18),-2.79253 # DEPENDENCYPART_ARC
(4,19),-4.38072 # DEPENDENCYPART_ARC
(4,20),-2.08428 # DEPENDENCYPART_ARC
(5,1),-0.350205 # DEPENDENCYPART_ARC
(5,2),-1.37272 # DEPENDENCYPART_ARC
(5,3),-1.19516 # DEPENDENCYPART_ARC
(5,4),2.82651 # DEPENDENCYPART_ARC
(5,6),-0.749333 # DEPENDENCYPART_ARC
(5,7),-0.982425 # DEPENDENCYPART_ARC
(5,8),-2.19312 # DEPENDENCYPART_ARC
(5,9),1.79755 # DEPENDENCYPART_ARC
(5,10),-2.29633 # DEPENDENCYPART_ARC
(5,11),-2.83659 # DEPENDENCYPART_ARC
(5,12),0.101285 # DEPENDENCYPART_ARC
(5,13),-1.38917 # DEPENDENCYPART_ARC
(5,14),-0.00584032 # DEPENDENCYPART_ARC
(5,15),-4.58412 # DEPENDENCYPART_ARC
(5,16),-2.677 # DEPENDENCYPART_ARC
(5,17),-3.03636 # DEPENDENCYPART_ARC
(5,18),-2.88953 # DEPENDENCYPART_ARC
(5,19),-4.20337 # DEPENDENCYPART_ARC
(5,20),-1.50777 # DEPENDENCYPART_ARC
(6,1),-5.11488 # DEPENDENCYPART_ARC
(6,2),-5.02744 # DEPENDENCYPART_ARC
(6,3),-4.02533 # DEPENDENCYPART_ARC
(6,4),-1.41792 # DEPENDENCYPART_ARC
(6,5),-1.60847 # DEPENDENCYPART_ARC
(6,7),2.18372 # DEPENDENCYPART_ARC
(6,8),-0.763168 # DEPENDENCYPART_ARC
(6,9),-0.646371 # DEPENDENCYPART_ARC
(6,10),-0.975261 # DEPENDENCYPART_ARC
(6,11),-2.45063 # DEPENDENCYPART_ARC
(6,12),-0.734949 # DEPENDENCYPART_ARC
(6,13),-0.460918 # DEPENDENCYPART_ARC
(6,14),-2.60456 # DEPENDENCYPART_ARC
(6,15),-3.87923 # DEPENDENCYPART_ARC
(6,16),-1.43569 # DEPENDENCYPART_ARC
(6,17),-3.77969 # DEPENDENCYPART_ARC
(6,18),-3.48164 # DEPENDENCYPART_ARC
(6,19),-6.93463 # DEPENDENCYPART_ARC
(6,20),-5.2286 # DEPENDENCYPART_ARC
(7,1),-4.24081 # DEPENDENCYPART_ARC
(7,2),-5.01304 # DEPENDENCYPART_ARC
(7,3),-2.68614 # DEPENDENCYPART_ARC
(7,4),-0.380353 # DEPENDENCYPART_ARC
(7,5),-0.773399 # DEPENDENCYPART_ARC
(7,6),-1.61796 # DEPENDENCYPART_ARC
(7,8),5.51479 # DEPENDENCYPART_ARC
(7,9),-1.00191 # DEPENDENCYPART_ARC
(7,10),-1.60103 # DEPENDENCYPART_ARC
(7,11),-0.801152 # DEPENDENCYPART_ARC
(7,12),-0.677037 # DEPENDENCYPART_ARC
(7,13),-1.00513 # DEPENDENCYPART_ARC
(7,14),-1.82793 # DEPENDENCYPART_ARC
(7,15),-5.30177 # DEPENDENCYPART_ARC
(7,16),-2.32238 # DEPENDENCYPART_ARC
(7,17),-3.04882 # DEPENDENCYPART_ARC
(7,18),-3.2716 # DEPENDENCYPART_ARC
(7,19),-5.68405 # DEPENDENCYPART_ARC
(7,20),-2.32948 # DEPENDENCYPART_ARC
(8,1),-7.66347 # DEPENDENCYPART_ARC
(8,2),-6.0979 # DEPENDENCYPART_ARC
(8,3),-2.69203 # DEPENDENCYPART_ARC
(8,4),-0.817694 # DEPENDENCYPART_ARC
(8,5),-1.48176 # DEPENDENCYPART_ARC
(8,6),-4.01954 # DEPENDENCYPART_ARC
(8,7),0.959414 # DEPENDENCYPART_ARC
(8,9),-0.441786 # DEPENDENCYPART_ARC
(8,10),-0.573083 # DEPENDENCYPART_ARC
(8,11),-1.57263 # DEPENDENCYPART_ARC
(8,12),-0.8727 # DEPENDENCYPART_ARC
(8,13),-0.529003 # DEPENDENCYPART_ARC
(8,14),-2.26802 # DEPENDENCYPART_ARC
(8,15),-4.28178 # DEPENDENCYPART_ARC
(8,16),-0.911438 # DEPENDENCYPART_ARC
(8,17),-4.63976 # DEPENDENCYPART_ARC
(8,18),-4.48481 # DEPENDENCYPART_ARC
(8,19),-4.95634 # DEPENDENCYPART_ARC
(8,20),-4.5989 # DEPENDENCYPART_ARC
(9,1),-1.67136 # DEPENDENCYPART_ARC
(9,2),-0.368639 # DEPENDENCYPART_ARC
(9,3),-2.92044 # DEPENDENCYPART_ARC
(9,4),-0.319111 # DEPENDENCYPART_ARC
(9,5),-0.977621 # DEPENDENCYPART_ARC
(9,6),3.0821 # DEPENDENCYPART_ARC
(9,7),1.02409 # DEPENDENCYPART_ARC
(9,8),1.45589 # DEPENDENCYPART_ARC
(9,10),3.07174 # DEPENDENCYPART_ARC
(9,11),0.634118 # DEPENDENCYPART_ARC
(9,12),0.768286 # DEPENDENCYPART_ARC
(9,13),0.497647 # DEPENDENCYPART_ARC
(9,14),-0.715312 # DEPENDENCYPART_ARC
(9,15),0.457435 # DEPENDENCYPART_ARC
(9,16),1.44303 # DEPENDENCYPART_ARC
(9,17),-4.12731 # DEPENDENCYPART_ARC
(9,18),-4.58006 # DEPENDENCYPART_ARC
(9,19),-0.58212 # DEPENDENCYPART_ARC
(9,20),-0.10623 # DEPENDENCYPART_ARC
(10,1),-4.37143 # DEPENDENCYPART_ARC
(10,2),-5.57828 # DEPENDENCYPART_ARC
(10,3),-3.63023 # DEPENDENCYPART_ARC
(10,4),-1.89127 # DEPENDENCYPART_ARC
(10,5),-2.07288 # DEPENDENCYPART_ARC
(10,6),-3.333 # DEPENDENCYPART_ARC
(10,7),-1.64635 # DEPENDENCYPART_ARC
(10,8),-1.12765 # DEPENDENCYPART_ARC
(10,9),-1.65082 # DEPENDENCYPART_ARC
(10,11),4.34147 # DEPENDENCYPART_ARC
(10,12),-0.141815 # DEPENDENCYPART_ARC
(10,13),-0.0464388 # DEPENDENCYPART_ARC
(10,14),-1.10933 # DEPENDENCYPART_ARC
(10,15),-4.07591 # DEPENDENCYPART_ARC
(10,16),-1.84665 # DEPENDENCYPART_ARC
(10,17),-3.53588 # DEPENDENCYPART_ARC
(10,18),-3.68158 # DEPENDENCYPART_ARC
(10,19),-5.34357 # DEPENDENCYPART_ARC
(10,20),-1.77554 # DEPENDENCYPART_ARC
(11,1),-8.92463 # DEPENDENCYPART_ARC
(11,2),-6.94359 # DEPENDENCYPART_ARC
(11,3),-3.13533 # DEPENDENCYPART_ARC
(11,4),-2.05336 # DEPENDENCYPART_ARC
(11,5),-3.405 # DEPENDENCYPART_ARC
(11,6),-3.1027 # DEPENDENCYPART_ARC
(11,7),-0.43918 # DEPENDENCYPART_ARC
(11,8),-1.90627 # DEPENDENCYPART_ARC
(11,9),-1.04197 # DEPENDENCYPART_ARC
(11,10),0.998516 # DEPENDENCYPART_ARC
(11,12),-0.359709 # DEPENDENCYPART_ARC
(11,13),0.0553386 # DEPENDENCYPART_ARC
(11,14),1.07453 # DEPENDENCYPART_ARC
(11,15),-2.78175 # DEPENDENCYPART_ARC
(11,16),-0.191199 # DEPENDENCYPART_ARC
(11,17),-2.72392 # DEPENDENCYPART_ARC
(11,18),-2.69551 # DEPENDENCYPART_ARC
(11,19),-5.05629 # DEPENDENCYPART_ARC
(11,20),-2.72484 # DEPENDENCYPART_ARC
(12,1),-2.1265 # DEPENDENCYPART_ARC
(12,2),-1.83144 # DEPENDENCYPART_ARC
(12,3),-0.789773 # DEPENDENCYPART_ARC
(12,4),-0.727914 # DEPENDENCYPART_ARC
(12,5),-1.24183 # DEPENDENCYPART_ARC
(12,6),-0.898203 # DEPENDENCYPART_ARC
(12,7),-1.04899 # DEPENDENCYPART_ARC
(12,8),-0.172949 # DEPENDENCYPART_ARC
(12,9),0.390392 # DEPENDENCYPART_ARC
(12,10),-0.188686 # DEPENDENCYPART_ARC
(12,11),0.678065 # DEPENDENCYPART_ARC
(12,13),-0.453087 # DEPENDENCYPART_ARC
(12,14),0.272389 # DEPENDENCYPART_ARC
(12,15),-0.793061 # DEPENDENCYPART_ARC
(12,16),-0.592789 # DEPENDENCYPART_ARC
(12,17),-0.957019 # DEPENDENCYPART_ARC
(12,18),-0.810922 # DEPENDENCYPART_ARC
(12,19),-1.15738 # DEPENDENCYPART_ARC
(12,20),-0.781359 # DEPENDENCYPART_ARC
(13,1),-2.55273 # DEPENDENCYPART_ARC
(13,2),-2.70783 # DEPENDENCYPART_ARC
(13,3),-1.74775 # DEPENDENCYPART_ARC
(13,4),-2.2144 # DEPENDENCYPART_ARC
(13,5),-1.57682 # DEPENDENCYPART_ARC
(13,6),-1.34501 # DEPENDENCYPART_ARC
(13,7),-1.08767 # DEPENDENCYPART_ARC
(13,8),-1.09295 # DEPENDENCYPART_ARC
(13,9),-0.808471 # DEPENDENCYPART_ARC
(13,10),-0.174613 # DEPENDENCYPART_ARC
(13,11),0.00277246 # DEPENDENCYPART_ARC
(13,12),-0.506583 # DEPENDENCYPART_ARC
(13,14),0.0844579 # DEPENDENCYPART_ARC
(13,15),-0.565029 # DEPENDENCYPART_ARC
(13,16),-1.12413 # DEPENDENCYPART_ARC
(13,17),-1.03225 # DEPENDENCYPART_ARC
(13,18),-1.07845 # DEPENDENCYPART_ARC
(13,19),-1.94012 # DEPENDENCYPART_ARC
(13,20),-1.16654 # DEPENDENCYPART_ARC
(14,1),-1.64234 # DEPENDENCYPART_ARC
(14,2),-0.0190191 # DEPENDENCYPART_ARC
(14,3),-4.45371 # DEPENDENCYPART_ARC
(14,4),-0.765443 # DEPENDENCYPART_ARC
(14,5),-1.1589 # DEPENDENCYPART_ARC
(14,6),0.776454 # DEPENDENCYPART_ARC
(14,7),-0.49914 # DEPENDENCYPART_ARC
(14,8),-0.216741 # DEPENDENCYPART_ARC
(14,9),-0.806402 # DEPENDENCYPART_ARC
(14,10),0.752798 # DEPENDENCYPART_ARC
(14,11),-1.399 # DEPENDENCYPART_ARC
(14,12),1.58413 # DEPENDENCYPART_ARC
(14,13),2.93415 # DEPENDENCYPART_ARC
(14,15),4.35767 # DEPENDENCYPART_ARC
(14,16),1.9527 # DEPENDENCYPART_ARC
(14,17),-1.55214 # DEPENDENCYPART_ARC
(14,18),-2.08279 # DEPENDENCYPART_ARC
(14,19),1.82435 # DEPENDENCYPART_ARC
(14,20),0.0557039 # DEPENDENCYPART_ARC
(15,1),-5.20942 # DEPENDENCYPART_ARC
(15,2),-5.34115 # DEPENDENCYPART_ARC
(15,3),-3.85349 # DEPENDENCYPART_ARC
(15,4),-3.02724 # DEPENDENCYPART_ARC
(15,5),-4.45801 # DEPENDENCYPART_ARC
(15,6),-3.93301 # DEPENDENCYPART_ARC
(15,7),-1.49908 # DEPENDENCYPART_ARC
(15,8),-5.74131 # DEPENDENCYPART_ARC
(15,9),-3.06663 # DEPENDENCYPART_ARC
(15,10),-1.26991 # DEPENDENCYPART_ARC
(15,11),-4.54187 # DEPENDENCYPART_ARC
(15,12),-1.03394 # DEPENDENCYPART_ARC
(15,13),-0.584815 # DEPENDENCYPART_ARC
(15,14),-1.3135 # DEPENDENCYPART_ARC
(15,16),2.67094 # DEPENDENCYPART_ARC
(15,17),-2.41552 # DEPENDENCYPART_ARC
(15,18),-2.50727 # DEPENDENCYPART_ARC
(15,19),-3.04834 # DEPENDENCYPART_ARC
(15,20),-0.742663 # DEPENDENCYPART_ARC
(16,1),-4.22546 # DEPENDENCYPART_ARC
(16,2),-5.20513 # DEPENDENCYPART_ARC
(16,3),-3.73068 # DEPENDENCYPART_ARC
(16,4),-2.42708 # DEPENDENCYPART_ARC
(16,5),-1.96967 # DEPENDENCYPART_ARC
(16,6),-3.46347 # DEPENDENCYPART_ARC
(16,7),-1.46344 # DEPENDENCYPART_ARC
(16,8),-1.00072 # DEPENDENCYPART_ARC
(16,9),-3.03338 # DEPENDENCYPART_ARC
(16,10),-1.2426 # DEPENDENCYPART_ARC
(16,11),-1.0442 # DEPENDENCYPART_ARC
(16,12),-0.538744 # DEPENDENCYPART_ARC
(16,13),-1.11056 # DEPENDENCYPART_ARC
(16,14),-1.67211 # DEPENDENCYPART_ARC
(16,15),-0.93322 # DEPENDENCYPART_ARC
(16,17),1.15318 # DEPENDENCYPART_ARC
(16,18),0.846289 # DEPENDENCYPART_ARC
(16,19),3.1875 # DEPENDENCYPART_ARC
(16,20),0.0441911 # DEPENDENCYPART_ARC
(17,1),-7.44362 # DEPENDENCYPART_ARC
(17,2),-7.27417 # DEPENDENCYPART_ARC
(17,3),-5.51209 # DEPENDENCYPART_ARC
(17,4),-3.36526 # DEPENDENCYPART_ARC
(17,5),-2.71619 # DEPENDENCYPART_ARC
(17,6),-5.60214 # DEPENDENCYPART_ARC
(17,7),-1.39156 # DEPENDENCYPART_ARC
(17,8),-2.39014 # DEPENDENCYPART_ARC
(17,9),-3.36349 # DEPENDENCYPART_ARC
(17,10),-1.92965 # DEPENDENCYPART_ARC
(17,11),-4.45995 # DEPENDENCYPART_ARC
(17,12),-1.40333 # DEPENDENCYPART_ARC
(17,13),-1.59759 # DEPENDENCYPART_ARC
(17,14),-3.81852 # DEPENDENCYPART_ARC
(17,15),-3.82263 # DEPENDENCYPART_ARC
(17,16),-0.291027 # DEPENDENCYPART_ARC
(17,18),-0.462791 # DEPENDENCYPART_ARC
(17,19),-0.853569 # DEPENDENCYPART_ARC
(17,20),-0.369238 # DEPENDENCYPART_ARC
(18,1),-6.72993 # DEPENDENCYPART_ARC
(18,2),-6.72092 # DEPENDENCYPART_ARC
(18,3),-4.79982 # DEPENDENCYPART_ARC
(18,4),-2.75005 # DEPENDENCYPART_ARC
(18,5),-2.09033 # DEPENDENCYPART_ARC
(18,6),-4.93764 # DEPENDENCYPART_ARC
(18,7),-0.640786 # DEPENDENCYPART_ARC
(18,8),-1.74519 # DEPENDENCYPART_ARC
(18,9),-2.64193 # DEPENDENCYPART_ARC
(18,10),-1.17331 # DEPENDENCYPART_ARC
(18,11),-3.7787 # DEPENDENCYPART_ARC
(18,12),-1.0608 # DEPENDENCYPART_ARC
(18,13),-1.14805 # DEPENDENCYPART_ARC
(18,14),-3.26616 # DEPENDENCYPART_ARC
(18,15),-3.52945 # DEPENDENCYPART_ARC
(18,16),0.247387 # DEPENDENCYPART_ARC
(18,17),-0.726654 # DEPENDENCYPART_ARC
(18,19),-0.706052 # DEPENDENCYPART_ARC
(18,20),-0.292658 # DEPENDENCYPART_ARC
(19,1),-7.02445 # DEPENDENCYPART_ARC
(19,2),-8.52966 # DEPENDENCYPART_ARC
(19,3),-2.33533 # DEPENDENCYPART_ARC
(19,4),-2.29895 # DEPENDENCYPART_ARC
(19,5),-4.71008 # DEPENDENCYPART_ARC
(19,6),-6.2743 # DEPENDENCYPART_ARC
(19,7),-0.583898 # DEPENDENCYPART_ARC
(19,8),-4.55514 # DEPENDENCYPART_ARC
(19,9),-1.6993 # DEPENDENCYPART_ARC
(19,10),-1.63593 # DEPENDENCYPART_ARC
(19,11),-4.50698 # DEPENDENCYPART_ARC
(19,12),-0.393209 # DEPENDENCYPART_ARC
(19,13),-0.708112 # DEPENDENCYPART_ARC
(19,14),-0.891532 # DEPENDENCYPART_ARC
(19,15),-2.90295 # DEPENDENCYPART_ARC
(19,16),-0.229664 # DEPENDENCYPART_ARC
(19,17),5.44912 # DEPENDENCYPART_ARC
(19,18),5.4833 # DEPENDENCYPART_ARC
(19,20),0.45281 # DEPENDENCYPART_ARC
(20,1),-5.43989 # DEPENDENCYPART_ARC
(20,2),-6.39541 # DEPENDENCYPART_ARC
(20,3),-5.13642 # DEPENDENCYPART_ARC
(20,4),-5.55357 # DEPENDENCYPART_ARC
(20,5),-4.74189 # DEPENDENCYPART_ARC
(20,6),-5.43153 # DEPENDENCYPART_ARC
(20,7),-4.63942 # DEPENDENCYPART_ARC
(20,8),-4.56154 # DEPENDENCYPART_ARC
(20,9),-4.1696 # DEPENDENCYPART_ARC
(20,10),-3.5855 # DEPENDENCYPART_ARC
(20,11),-3.227 # DEPENDENCYPART_ARC
(20,12),-3.37383 # DEPENDENCYPART_ARC
(20,13),-3.30834 # DEPENDENCYPART_ARC
(20,14),-3.73781 # DEPENDENCYPART_ARC
(20,15),-3.15168 # DEPENDENCYPART_ARC
(20,16),-3.36181 # DEPENDENCYPART_ARC
(20,17),-2.589 # DEPENDENCYPART_ARC
(20,18),-2.82351 # DEPENDENCYPART_ARC
(20,19),-3.24901 # DEPENDENCYPART_ARC
