# _root_ " Chtěl jsem víc , ale v posledních třech závodech ME se mi motor Porsche rozsypával , " říká Bartoš .
#goldHeads=6,6,2,2,6,19,16,10,10,7,10,16,16,16,14,6,6,6,0,19,0,
#predictedHeads=2,6,2,2,6,19,16,10,10,7,10,16,16,16,14,6,2,2,0,19,0,
(5,10),-0.814512 # DEPENDENCYPART_ARC
(5,11),-1.33777 # DEPENDENCYPART_ARC
(5,12),-2.0218 # DEPENDENCYPART_ARC
(5,14),-2.00059 # DEPENDENCYPART_ARC
(5,15),-2.42541 # DEPENDENCYPART_ARC
(5,16),-0.700847 # DEPENDENCYPART_ARC
(5,17),-0.693698 # DEPENDENCYPART_ARC
(5,18),-0.478186 # DEPENDENCYPART_ARC
(5,19),-1.77143 # DEPENDENCYPART_ARC
(5,20),-3.71679 # DEPENDENCYPART_ARC
(5,21),-1.56195 # DEPENDENCYPART_ARC
(6,1),1.34443 # DEPENDENCYPART_ARC
(6,2),1.50879 # DEPENDENCYPART_ARC
(6,3),1.1256 # DEPENDENCYPART_ARC
(6,4),0.982557 # DEPENDENCYPART_ARC
(6,5),2.59666 # DEPENDENCYPART_ARC
(6,7),1.14238 # DEPENDENCYPART_ARC
(6,8),0.756683 # DEPENDENCYPART_ARC
(6,9),0.452801 # DEPENDENCYPART_ARC
(6,10),0.426186 # DEPENDENCYPART_ARC
(6,11),-0.0375279 # DEPENDENCYPART_ARC
(6,12),-0.763208 # DEPENDENCYPART_ARC
(6,13),-0.676213 # DEPENDENCYPART_ARC
(6,14),-1.21678 # DEPENDENCYPART_ARC
(6,15),-1.42923 # DEPENDENCYPART_ARC
(6,16),2.24259 # DEPENDENCYPART_ARC
(6,17),0.15928 # DEPENDENCYPART_ARC
(6,18),1.37758 # DEPENDENCYPART_ARC
(6,19),0.893632 # DEPENDENCYPART_ARC
(6,20),-2.22926 # DEPENDENCYPART_ARC
(6,21),-0.954317 # DEPENDENCYPART_ARC
(7,1),-1.67878 # DEPENDENCYPART_ARC
(7,2),-2.75858 # DEPENDENCYPART_ARC
(7,3),-2.87794 # DEPENDENCYPART_ARC
(7,4),-2.29476 # DEPENDENCYPART_ARC
(7,5),0.200488 # DEPENDENCYPART_ARC
(7,6),-0.475377 # DEPENDENCYPART_ARC
(7,8),0.773871 # DEPENDENCYPART_ARC
(7,9),0.925948 # DEPENDENCYPART_ARC
(7,10),2.69248 # DEPENDENCYPART_ARC
(7,11),1.61967 # DEPENDENCYPART_ARC
(7,13),-2.22893 # DEPENDENCYPART_ARC
(7,14),-4.47686 # DEPENDENCYPART_ARC
(7,15),-1.40216 # DEPENDENCYPART_ARC
(7,16),-2.39882 # DEPENDENCYPART_ARC
(7,17),-1.38065 # DEPENDENCYPART_ARC
(7,18),-1.44475 # DEPENDENCYPART_ARC
(7,19),-2.01836 # DEPENDENCYPART_ARC
(7,20),-8.41416 # DEPENDENCYPART_ARC
(7,21),-2.75234 # DEPENDENCYPART_ARC
(8,1),-1.88458 # DEPENDENCYPART_ARC
(8,2),-3.54832 # DEPENDENCYPART_ARC
(8,3),-1.85701 # DEPENDENCYPART_ARC
(8,4),-0.463024 # DEPENDENCYPART_ARC
(8,5),-0.329491 # DEPENDENCYPART_ARC
(8,6),-0.360983 # DEPENDENCYPART_ARC
(8,7),-0.767967 # DEPENDENCYPART_ARC
(8,9),-0.751179 # DEPENDENCYPART_ARC
(8,10),0.484012 # DEPENDENCYPART_ARC
(8,11),-1.01606 # DEPENDENCYPART_ARC
(8,12),-2.32683 # DEPENDENCYPART_ARC
(8,13),-2.61145 # DEPENDENCYPART_ARC
(8,14),-3.02554 # DEPENDENCYPART_ARC
(8,15),-2.78277 # DEPENDENCYPART_ARC
(8,16),-3.51514 # DEPENDENCYPART_ARC
(8,17),-0.856163 # DEPENDENCYPART_ARC
(8,18),-1.41596 # DEPENDENCYPART_ARC
(8,19),-3.66511 # DEPENDENCYPART_ARC
(8,20),-3.86228 # DEPENDENCYPART_ARC
(8,21),-2.77795 # DEPENDENCYPART_ARC
(9,1),-2.21616 # DEPENDENCYPART_ARC
(9,2),-4.18373 # DEPENDENCYPART_ARC
(9,4),-0.729036 # DEPENDENCYPART_ARC
(9,5),-0.910861 # DEPENDENCYPART_ARC
(9,6),-0.675955 # DEPENDENCYPART_ARC
(9,7),-0.537491 # DEPENDENCYPART_ARC
(9,8),1.21007 # DEPENDENCYPART_ARC
(9,10),2.1793 # DEPENDENCYPART_ARC
(9,11),-0.262629 # DEPENDENCYPART_ARC
(9,14),-2.17583 # DEPENDENCYPART_ARC
(9,15),-1.92805 # DEPENDENCYPART_ARC
(9,16),-3.2635 # DEPENDENCYPART_ARC
(9,17),-2.59204 # DEPENDENCYPART_ARC
(9,18),-2.33234 # DEPENDENCYPART_ARC
(9,20),-4.08145 # DEPENDENCYPART_ARC
(9,21),-3.77676 # DEPENDENCYPART_ARC
(10,1),-1.22774 # DEPENDENCYPART_ARC
(10,2),-4.30045 # DEPENDENCYPART_ARC
(10,3),-1.81489 # DEPENDENCYPART_ARC
(10,4),0.00654972 # DEPENDENCYPART_ARC
(10,5),0.367585 # DEPENDENCYPART_ARC
(10,6),0.283727 # DEPENDENCYPART_ARC
(10,7),0.482609 # DEPENDENCYPART_ARC
(10,8),2.71406 # DEPENDENCYPART_ARC
(10,9),3.46166 # DEPENDENCYPART_ARC
(10,11),3.02513 # DEPENDENCYPART_ARC
(10,12),-1.67107 # DEPENDENCYPART_ARC
(10,13),-1.85531 # DEPENDENCYPART_ARC
(10,14),-2.17567 # DEPENDENCYPART_ARC
(10,15),0.114012 # DEPENDENCYPART_ARC
(10,16),-0.410443 # DEPENDENCYPART_ARC
(10,17),-0.863408 # DEPENDENCYPART_ARC
(10,18),-0.73465 # DEPENDENCYPART_ARC
(10,19),-2.22198 # DEPENDENCYPART_ARC
(10,20),-4.90155 # DEPENDENCYPART_ARC
(10,21),-4.17257 # DEPENDENCYPART_ARC
(11,1),-2.37239 # DEPENDENCYPART_ARC
(11,2),-6.17428 # DEPENDENCYPART_ARC
(11,3),-2.6497 # DEPENDENCYPART_ARC
(11,4),-1.86831 # DEPENDENCYPART_ARC
(11,5),-0.759523 # DEPENDENCYPART_ARC
(11,6),-0.678271 # DEPENDENCYPART_ARC
(11,7),-1.2097 # DEPENDENCYPART_ARC
(11,8),-1.57943 # DEPENDENCYPART_ARC
(11,9),0.199074 # DEPENDENCYPART_ARC
(11,10),-1.64142 # DEPENDENCYPART_ARC
(11,12),0.776054 # DEPENDENCYPART_ARC
(11,13),-0.251801 # DEPENDENCYPART_ARC
(11,14),-0.365765 # DEPENDENCYPART_ARC
(11,15),0.0511164 # DEPENDENCYPART_ARC
(11,16),-1.89859 # DEPENDENCYPART_ARC
(11,17),-0.510581 # DEPENDENCYPART_ARC
(11,18),-0.396969 # DEPENDENCYPART_ARC
(11,19),-3.62869 # DEPENDENCYPART_ARC
(11,20),-4.84952 # DEPENDENCYPART_ARC
(11,21),-3.45994 # DEPENDENCYPART_ARC
(13,8),-1.78515 # DEPENDENCYPART_ARC
(13,10),-2.09081 # DEPENDENCYPART_ARC
(13,11),-1.69165 # DEPENDENCYPART_ARC
(13,14),-1.08818 # DEPENDENCYPART_ARC
(13,15),-1.70294 # DEPENDENCYPART_ARC
(13,20),-3.57715 # DEPENDENCYPART_ARC
(14,1),-2.82297 # DEPENDENCYPART_ARC
(14,2),-4.65062 # DEPENDENCYPART_ARC
(14,3),-3.17524 # DEPENDENCYPART_ARC
(14,4),-2.39827 # DEPENDENCYPART_ARC
(14,5),-0.646744 # DEPENDENCYPART_ARC
(14,6),-1.49183 # DEPENDENCYPART_ARC
(14,7),-1.59535 # DEPENDENCYPART_ARC
(14,8),-3.71313 # DEPENDENCYPART_ARC
(14,9),-2.7929 # DEPENDENCYPART_ARC
(14,10),-4.75437 # DEPENDENCYPART_ARC
(14,11),-1.82925 # DEPENDENCYPART_ARC
(14,12),-1.09948 # DEPENDENCYPART_ARC
(14,13),-0.490151 # DEPENDENCYPART_ARC
(14,15),3.1649 # DEPENDENCYPART_ARC
(14,16),-0.70532 # DEPENDENCYPART_ARC
(14,17),-1.01038 # DEPENDENCYPART_ARC
(14,18),-0.709456 # DEPENDENCYPART_ARC
(14,19),-2.40014 # DEPENDENCYPART_ARC
(14,20),-3.1363 # DEPENDENCYPART_ARC
(14,21),-2.52903 # DEPENDENCYPART_ARC
(15,1),-3.55549 # DEPENDENCYPART_ARC
(15,2),-5.51204 # DEPENDENCYPART_ARC
(15,3),-3.16341 # DEPENDENCYPART_ARC
(15,4),-2.58086 # DEPENDENCYPART_ARC
(15,5),-1.30635 # DEPENDENCYPART_ARC
(15,6),-2.46033 # DEPENDENCYPART_ARC
(15,7),-2.58699 # DEPENDENCYPART_ARC
(15,8),-1.56894 # DEPENDENCYPART_ARC
(15,9),-1.96596 # DEPENDENCYPART_ARC
(15,10),-2.30347 # DEPENDENCYPART_ARC
(15,11),0.401854 # DEPENDENCYPART_ARC
(15,12),-2.62949 # DEPENDENCYPART_ARC
(15,13),-1.05717 # DEPENDENCYPART_ARC
(15,14),2.61964 # DEPENDENCYPART_ARC
(15,16),-2.3346 # DEPENDENCYPART_ARC
(15,17),-1.5035 # DEPENDENCYPART_ARC
(15,18),-0.821936 # DEPENDENCYPART_ARC
(15,19),-5.00475 # DEPENDENCYPART_ARC
(15,20),-4.43297 # DEPENDENCYPART_ARC
(15,21),-2.36345 # DEPENDENCYPART_ARC
(16,1),0.616911 # DEPENDENCYPART_ARC
(16,2),-1.02255 # DEPENDENCYPART_ARC
(16,3),1.12614 # DEPENDENCYPART_ARC
(16,4),0.0836369 # DEPENDENCYPART_ARC
(16,5),0.831428 # DEPENDENCYPART_ARC
(16,6),-0.0381267 # DEPENDENCYPART_ARC
(16,7),2.14641 # DEPENDENCYPART_ARC
(16,8),-3.79964 # DEPENDENCYPART_ARC
(16,9),-1.36224 # DEPENDENCYPART_ARC
(16,10),-0.334791 # DEPENDENCYPART_ARC
(16,11),0.312929 # DEPENDENCYPART_ARC
(16,12),3.82925 # DEPENDENCYPART_ARC
(16,13),2.50139 # DEPENDENCYPART_ARC
(16,14),3.54747 # DEPENDENCYPART_ARC
(16,15),1.5948 # DEPENDENCYPART_ARC
(16,17),0.914245 # DEPENDENCYPART_ARC
(16,18),0.687664 # DEPENDENCYPART_ARC
(16,19),-0.616024 # DEPENDENCYPART_ARC
(16,20),0.672965 # DEPENDENCYPART_ARC
(16,21),-1.0275 # DEPENDENCYPART_ARC
(17,1),0.0136817 # DEPENDENCYPART_ARC
(17,2),-1.26569 # DEPENDENCYPART_ARC
(17,3),-0.751606 # DEPENDENCYPART_ARC
(17,4),-1.51317 # DEPENDENCYPART_ARC
(17,5),-0.708104 # DEPENDENCYPART_ARC
(17,6),-0.420053 # DEPENDENCYPART_ARC
(17,7),-1.1734 # DEPENDENCYPART_ARC
(17,8),-1.21529 # DEPENDENCYPART_ARC
(17,9),-0.691117 # DEPENDENCYPART_ARC
(17,10),-0.566356 # DEPENDENCYPART_ARC
(17,11),-0.739153 # DEPENDENCYPART_ARC
(17,12),-0.725377 # DEPENDENCYPART_ARC
(17,14),-0.0965579 # DEPENDENCYPART_ARC
(17,15),-0.427988 # DEPENDENCYPART_ARC
(17,16),-0.622908 # DEPENDENCYPART_ARC
(17,18),-0.259898 # DEPENDENCYPART_ARC
(17,19),-0.888036 # DEPENDENCYPART_ARC
(17,20),-0.97821 # DEPENDENCYPART_ARC
(17,21),-0.949898 # DEPENDENCYPART_ARC
(18,1),-2.79072 # DEPENDENCYPART_ARC
(18,2),-2.94339 # DEPENDENCYPART_ARC
(18,3),-2.78835 # DEPENDENCYPART_ARC
(18,4),-3.69857 # DEPENDENCYPART_ARC
(18,5),-3.70997 # DEPENDENCYPART_ARC
(18,6),-2.64337 # DEPENDENCYPART_ARC
(18,7),-3.71091 # DEPENDENCYPART_ARC
(18,8),-3.37149 # DEPENDENCYPART_ARC
(18,9),-3.35693 # DEPENDENCYPART_ARC
(18,10),-3.70657 # DEPENDENCYPART_ARC
(18,11),-3.28175 # DEPENDENCYPART_ARC
(18,12),-2.64478 # DEPENDENCYPART_ARC
(18,14),-2.90626 # DEPENDENCYPART_ARC
(18,15),-2.17515 # DEPENDENCYPART_ARC
(18,16),-2.17055 # DEPENDENCYPART_ARC
(18,17),-1.87587 # DEPENDENCYPART_ARC
(18,19),-1.8533 # DEPENDENCYPART_ARC
(18,20),-2.70061 # DEPENDENCYPART_ARC
(18,21),-2.34274 # DEPENDENCYPART_ARC
(19,1),-0.405342 # DEPENDENCYPART_ARC
(19,2),1.37034 # DEPENDENCYPART_ARC
(19,3),0.510675 # DEPENDENCYPART_ARC
(19,4),-1.11432 # DEPENDENCYPART_ARC
(19,5),0.756037 # DEPENDENCYPART_ARC
(19,6),1.21727 # DEPENDENCYPART_ARC
(19,7),0.216495 # DEPENDENCYPART_ARC
(19,8),-4.52777 # DEPENDENCYPART_ARC
(19,9),-2.49105 # DEPENDENCYPART_ARC
(19,10),-2.14557 # DEPENDENCYPART_ARC
(19,11),-1.84188 # DEPENDENCYPART_ARC
(19,12),1.1927 # DEPENDENCYPART_ARC
(19,13),-0.133514 # DEPENDENCYPART_ARC
(19,14),0.866027 # DEPENDENCYPART_ARC
(19,15),-1.2072 # DEPENDENCYPART_ARC
(19,16),0.110878 # DEPENDENCYPART_ARC
(19,17),0.210365 # DEPENDENCYPART_ARC
(19,18),-0.132455 # DEPENDENCYPART_ARC
(19,20),3.15584 # DEPENDENCYPART_ARC
(19,21),-0.0256957 # DEPENDENCYPART_ARC
(20,1),-5.41144 # DEPENDENCYPART_ARC
(20,2),-5.88299 # DEPENDENCYPART_ARC
(20,3),-3.86201 # DEPENDENCYPART_ARC
(20,4),-5.0471 # DEPENDENCYPART_ARC
(20,5),-2.58757 # DEPENDENCYPART_ARC
(20,6),-3.62192 # DEPENDENCYPART_ARC
(20,7),-3.53731 # DEPENDENCYPART_ARC
(20,8),-9.35444 # DEPENDENCYPART_ARC
(20,9),-5.77309 # DEPENDENCYPART_ARC
(20,10),-8.72164 # DEPENDENCYPART_ARC
(20,11),-3.18979 # DEPENDENCYPART_ARC
(20,12),-5.7584 # DEPENDENCYPART_ARC
(20,13),-6.26522 # DEPENDENCYPART_ARC
(20,14),-2.48287 # DEPENDENCYPART_ARC
(20,15),-2.17335 # DEPENDENCYPART_ARC
(20,16),-4.70553 # DEPENDENCYPART_ARC
(20,17),-1.27019 # DEPENDENCYPART_ARC
(20,18),-0.335101 # DEPENDENCYPART_ARC
(20,19),-1.50393 # DEPENDENCYPART_ARC
(20,21),0.475762 # DEPENDENCYPART_ARC
(21,1),-3.39438 # DEPENDENCYPART_ARC
(21,2),-4.90914 # DEPENDENCYPART_ARC
(21,3),-4.97319 # DEPENDENCYPART_ARC
(21,4),-4.21175 # DEPENDENCYPART_ARC
(21,5),-5.0406 # DEPENDENCYPART_ARC
(21,6),-4.08 # DEPENDENCYPART_ARC
(21,7),-5.13228 # DEPENDENCYPART_ARC
(21,8),-4.12436 # DEPENDENCYPART_ARC
(21,9),-5.11637 # DEPENDENCYPART_ARC
(21,10),-4.72697 # DEPENDENCYPART_ARC
(21,11),-4.39955 # DEPENDENCYPART_ARC
(21,12),-3.74485 # DEPENDENCYPART_ARC
(21,14),-3.64842 # DEPENDENCYPART_ARC
(21,15),-3.50397 # DEPENDENCYPART_ARC
(21,16),-3.95873 # DEPENDENCYPART_ARC
(21,17),-2.15505 # DEPENDENCYPART_ARC
(21,18),-2.25009 # DEPENDENCYPART_ARC
(21,19),-3.186 # DEPENDENCYPART_ARC
(21,20),-2.69021 # DEPENDENCYPART_ARC
