# _root_ Inkasovaly se také " zkušební taxy " , které šly přímo do kapes zkoušejících učitelů , a rovněž poplatky za promoce .
#goldHeads=0,1,1,6,6,17,6,10,10,6,10,10,12,15,13,10,1,19,17,19,20,0,
#predictedHeads=0,1,1,6,6,1,6,10,10,6,13,10,12,15,13,17,10,19,17,19,20,0,
(3,22),-4.36922 # DEPENDENCYPART_ARC
(4,1),-1.41184 # DEPENDENCYPART_ARC
(4,2),-1.09103 # DEPENDENCYPART_ARC
(4,3),-0.805108 # DEPENDENCYPART_ARC
(4,5),-0.199696 # DEPENDENCYPART_ARC
(4,6),-1.16763 # DEPENDENCYPART_ARC
(4,7),-1.17009 # DEPENDENCYPART_ARC
(4,8),-1.30699 # DEPENDENCYPART_ARC
(4,9),-2.31455 # DEPENDENCYPART_ARC
(4,10),-1.53018 # DEPENDENCYPART_ARC
(4,11),-2.17363 # DEPENDENCYPART_ARC
(4,12),-2.4535 # DEPENDENCYPART_ARC
(4,13),-3.57694 # DEPENDENCYPART_ARC
(4,14),-2.45903 # DEPENDENCYPART_ARC
(4,15),-3.32633 # DEPENDENCYPART_ARC
(4,16),-1.70127 # DEPENDENCYPART_ARC
(4,17),-2.63601 # DEPENDENCYPART_ARC
(4,18),-2.48499 # DEPENDENCYPART_ARC
(4,19),-4.17926 # DEPENDENCYPART_ARC
(4,20),-2.94639 # DEPENDENCYPART_ARC
(4,21),-4.33977 # DEPENDENCYPART_ARC
(4,22),-2.63965 # DEPENDENCYPART_ARC
(5,1),-2.75575 # DEPENDENCYPART_ARC
(5,2),-1.15393 # DEPENDENCYPART_ARC
(5,3),-0.420862 # DEPENDENCYPART_ARC
(5,4),0.591766 # DEPENDENCYPART_ARC
(5,6),-0.123657 # DEPENDENCYPART_ARC
(5,7),-0.0107253 # DEPENDENCYPART_ARC
(5,8),-0.329181 # DEPENDENCYPART_ARC
(5,10),-2.37998 # DEPENDENCYPART_ARC
(5,11),-0.743163 # DEPENDENCYPART_ARC
(5,12),-0.654904 # DEPENDENCYPART_ARC
(5,13),-3.50141 # DEPENDENCYPART_ARC
(5,14),-2.0272 # DEPENDENCYPART_ARC
(5,15),-3.3851 # DEPENDENCYPART_ARC
(5,16),-0.689057 # DEPENDENCYPART_ARC
(5,17),-1.23931 # DEPENDENCYPART_ARC
(5,18),-1.45554 # DEPENDENCYPART_ARC
(5,19),-4.64584 # DEPENDENCYPART_ARC
(5,20),-1.46115 # DEPENDENCYPART_ARC
(5,21),-6.36589 # DEPENDENCYPART_ARC
(5,22),-2.91976 # DEPENDENCYPART_ARC
(6,1),-2.40398 # DEPENDENCYPART_ARC
(6,2),-1.34463 # DEPENDENCYPART_ARC
(6,3),1.65147 # DEPENDENCYPART_ARC
(6,4),2.02292 # DEPENDENCYPART_ARC
(6,5),5.0407 # DEPENDENCYPART_ARC
(6,7),1.04965 # DEPENDENCYPART_ARC
(6,8),-0.564016 # DEPENDENCYPART_ARC
(6,9),-1.40851 # DEPENDENCYPART_ARC
(6,10),1.46118 # DEPENDENCYPART_ARC
(6,11),-1.05159 # DEPENDENCYPART_ARC
(6,12),-1.01422 # DEPENDENCYPART_ARC
(6,13),-2.12981 # DEPENDENCYPART_ARC
(6,14),-0.915998 # DEPENDENCYPART_ARC
(6,15),-1.65563 # DEPENDENCYPART_ARC
(6,16),-0.321914 # DEPENDENCYPART_ARC
(6,17),-0.331441 # DEPENDENCYPART_ARC
(6,18),-1.25859 # DEPENDENCYPART_ARC
(6,19),-4.63797 # DEPENDENCYPART_ARC
(6,20),-1.32535 # DEPENDENCYPART_ARC
(6,21),-7.37896 # DEPENDENCYPART_ARC
(6,22),-5.84184 # DEPENDENCYPART_ARC
(7,1),-2.52137 # DEPENDENCYPART_ARC
(7,2),-2.06379 # DEPENDENCYPART_ARC
(7,3),-2.19227 # DEPENDENCYPART_ARC
(7,4),-1.7564 # DEPENDENCYPART_ARC
(7,5),-1.65418 # DEPENDENCYPART_ARC
(7,6),-1.94859 # DEPENDENCYPART_ARC
(7,8),-1.75023 # DEPENDENCYPART_ARC
(7,9),-2.01691 # DEPENDENCYPART_ARC
(7,10),-1.76116 # DEPENDENCYPART_ARC
(7,11),-2.4123 # DEPENDENCYPART_ARC
(7,12),-2.66849 # DEPENDENCYPART_ARC
(7,13),-3.41615 # DEPENDENCYPART_ARC
(7,14),-3.13762 # DEPENDENCYPART_ARC
(7,15),-3.24008 # DEPENDENCYPART_ARC
(7,16),-2.12634 # DEPENDENCYPART_ARC
(7,17),-2.64098 # DEPENDENCYPART_ARC
(7,18),-2.92738 # DEPENDENCYPART_ARC
(7,19),-3.99901 # DEPENDENCYPART_ARC
(7,20),-3.27204 # DEPENDENCYPART_ARC
(7,21),-4.3026 # DEPENDENCYPART_ARC
(7,22),-3.18483 # DEPENDENCYPART_ARC
(8,1),-1.0618 # DEPENDENCYPART_ARC
(8,2),-1.53996 # DEPENDENCYPART_ARC
(8,3),-1.6052 # DEPENDENCYPART_ARC
(8,4),-1.51195 # DEPENDENCYPART_ARC
(8,5),-0.885592 # DEPENDENCYPART_ARC
(8,6),-1.16955 # DEPENDENCYPART_ARC
(8,7),-1.01475 # DEPENDENCYPART_ARC
(8,9),-0.500848 # DEPENDENCYPART_ARC
(8,10),0.0375341 # DEPENDENCYPART_ARC
(8,11),-1.40104 # DEPENDENCYPART_ARC
(8,12),-1.86633 # DEPENDENCYPART_ARC
(8,13),-2.37684 # DEPENDENCYPART_ARC
(8,14),-1.55454 # DEPENDENCYPART_ARC
(8,15),-2.63896 # DEPENDENCYPART_ARC
(8,16),-1.28671 # DEPENDENCYPART_ARC
(8,17),-1.48687 # DEPENDENCYPART_ARC
(8,18),-2.18292 # DEPENDENCYPART_ARC
(8,19),-3.4305 # DEPENDENCYPART_ARC
(8,20),-2.82237 # DEPENDENCYPART_ARC
(8,21),-3.71328 # DEPENDENCYPART_ARC
(8,22),-2.34868 # DEPENDENCYPART_ARC
(9,1),-3.85739 # DEPENDENCYPART_ARC
(9,3),-1.09864 # DEPENDENCYPART_ARC
(9,4),-1.79791 # DEPENDENCYPART_ARC
(9,5),-1.7278 # DEPENDENCYPART_ARC
(9,6),-2.44791 # DEPENDENCYPART_ARC
(9,7),-1.13636 # DEPENDENCYPART_ARC
(9,8),-0.614212 # DEPENDENCYPART_ARC
(9,10),-1.08154 # DEPENDENCYPART_ARC
(9,12),-0.431536 # DEPENDENCYPART_ARC
(9,13),-1.73046 # DEPENDENCYPART_ARC
(9,15),-1.36657 # DEPENDENCYPART_ARC
(9,16),-0.76424 # DEPENDENCYPART_ARC
(9,17),-1.01041 # DEPENDENCYPART_ARC
(9,18),-1.56623 # DEPENDENCYPART_ARC
(9,19),-1.71202 # DEPENDENCYPART_ARC
(9,20),-1.98846 # DEPENDENCYPART_ARC
(9,21),-2.88793 # DEPENDENCYPART_ARC
(9,22),-1.71438 # DEPENDENCYPART_ARC
(10,1),-2.08397 # DEPENDENCYPART_ARC
(10,2),-0.851544 # DEPENDENCYPART_ARC
(10,3),-1.5577 # DEPENDENCYPART_ARC
(10,4),-0.660891 # DEPENDENCYPART_ARC
(10,5),-2.05474 # DEPENDENCYPART_ARC
(10,6),-0.679241 # DEPENDENCYPART_ARC
(10,7),0.17425 # DEPENDENCYPART_ARC
(10,8),1.63742 # DEPENDENCYPART_ARC
(10,9),2.73338 # DEPENDENCYPART_ARC
(10,11),1.09372 # DEPENDENCYPART_ARC
(10,12),2.36659 # DEPENDENCYPART_ARC
(10,13),-0.771949 # DEPENDENCYPART_ARC
(10,14),-2.47129 # DEPENDENCYPART_ARC
(10,15),-0.473622 # DEPENDENCYPART_ARC
(10,16),0.720935 # DEPENDENCYPART_ARC
(10,17),0.609754 # DEPENDENCYPART_ARC
(10,18),0.255546 # DEPENDENCYPART_ARC
(10,19),0.682552 # DEPENDENCYPART_ARC
(10,20),0.23765 # DEPENDENCYPART_ARC
(10,21),-0.478845 # DEPENDENCYPART_ARC
(10,22),-0.16398 # DEPENDENCYPART_ARC
(11,1),-2.48069 # DEPENDENCYPART_ARC
(11,3),-1.62987 # DEPENDENCYPART_ARC
(11,4),-1.48782 # DEPENDENCYPART_ARC
(11,5),-2.58323 # DEPENDENCYPART_ARC
(11,6),-1.86974 # DEPENDENCYPART_ARC
(11,7),-1.19633 # DEPENDENCYPART_ARC
(11,8),-0.675159 # DEPENDENCYPART_ARC
(11,9),-1.33358 # DEPENDENCYPART_ARC
(11,10),-1.31616 # DEPENDENCYPART_ARC
(11,12),0.121397 # DEPENDENCYPART_ARC
(11,13),-0.424923 # DEPENDENCYPART_ARC
(11,15),-1.09942 # DEPENDENCYPART_ARC
(11,16),-0.973842 # DEPENDENCYPART_ARC
(11,17),-1.18443 # DEPENDENCYPART_ARC
(11,18),-1.62234 # DEPENDENCYPART_ARC
(11,19),-3.65595 # DEPENDENCYPART_ARC
(11,20),-2.32084 # DEPENDENCYPART_ARC
(11,21),-3.69208 # DEPENDENCYPART_ARC
(11,22),-2.06073 # DEPENDENCYPART_ARC
(12,1),-2.94043 # DEPENDENCYPART_ARC
(12,3),-1.8874 # DEPENDENCYPART_ARC
(12,4),-1.03697 # DEPENDENCYPART_ARC
(12,5),-3.60112 # DEPENDENCYPART_ARC
(12,6),-4.02748 # DEPENDENCYPART_ARC
(12,7),-0.233942 # DEPENDENCYPART_ARC
(12,8),-0.554419 # DEPENDENCYPART_ARC
(12,9),-2.18549 # DEPENDENCYPART_ARC
(12,10),-1.39138 # DEPENDENCYPART_ARC
(12,11),-0.0923375 # DEPENDENCYPART_ARC
(12,13),3.57352 # DEPENDENCYPART_ARC
(12,14),-0.519889 # DEPENDENCYPART_ARC
(12,15),-0.184741 # DEPENDENCYPART_ARC
(12,16),-0.0574227 # DEPENDENCYPART_ARC
(12,17),-0.888914 # DEPENDENCYPART_ARC
(12,18),-0.968414 # DEPENDENCYPART_ARC
(12,19),-5.44349 # DEPENDENCYPART_ARC
(12,20),-2.28808 # DEPENDENCYPART_ARC
(12,21),-6.0829 # DEPENDENCYPART_ARC
(12,22),-1.6406 # DEPENDENCYPART_ARC
(13,1),-3.43743 # DEPENDENCYPART_ARC
(13,2),-4.65241 # DEPENDENCYPART_ARC
(13,3),-1.14182 # DEPENDENCYPART_ARC
(13,4),-1.7291 # DEPENDENCYPART_ARC
(13,5),-3.49646 # DEPENDENCYPART_ARC
(13,6),-6.12321 # DEPENDENCYPART_ARC
(13,7),-1.19167 # DEPENDENCYPART_ARC
(13,8),-1.42925 # DEPENDENCYPART_ARC
(13,9),-2.08588 # DEPENDENCYPART_ARC
(13,10),-2.11635 # DEPENDENCYPART_ARC
(13,11),1.2238 # DEPENDENCYPART_ARC
(13,12),0.741704 # DEPENDENCYPART_ARC
(13,14),1.77082 # DEPENDENCYPART_ARC
(13,15),2.41063 # DEPENDENCYPART_ARC
(13,16),-0.315023 # DEPENDENCYPART_ARC
(13,17),0.166828 # DEPENDENCYPART_ARC
(13,18),-0.613732 # DEPENDENCYPART_ARC
(13,19),-2.88136 # DEPENDENCYPART_ARC
(13,20),0.0609485 # DEPENDENCYPART_ARC
(13,21),-5.77509 # DEPENDENCYPART_ARC
(13,22),-3.122 # DEPENDENCYPART_ARC
(14,1),-2.90344 # DEPENDENCYPART_ARC
(14,2),-0.792022 # DEPENDENCYPART_ARC
(14,3),-2.69588 # DEPENDENCYPART_ARC
(14,4),-1.32477 # DEPENDENCYPART_ARC
(14,5),-3.71092 # DEPENDENCYPART_ARC
(14,6),-4.08793 # DEPENDENCYPART_ARC
(14,7),-1.01534 # DEPENDENCYPART_ARC
(14,8),-0.9299 # DEPENDENCYPART_ARC
(14,10),-1.85332 # DEPENDENCYPART_ARC
(14,11),0.278569 # DEPENDENCYPART_ARC
(14,12),1.12632 # DEPENDENCYPART_ARC
(14,13),-0.416592 # DEPENDENCYPART_ARC
(14,15),1.31749 # DEPENDENCYPART_ARC
(14,16),-0.521843 # DEPENDENCYPART_ARC
(14,17),-0.0260782 # DEPENDENCYPART_ARC
(14,18),-0.761499 # DEPENDENCYPART_ARC
(14,19),-1.71164 # DEPENDENCYPART_ARC
(14,20),-0.458468 # DEPENDENCYPART_ARC
(14,21),-1.72928 # DEPENDENCYPART_ARC
(14,22),-1.37443 # DEPENDENCYPART_ARC
(15,1),-2.99783 # DEPENDENCYPART_ARC
(15,2),-3.91024 # DEPENDENCYPART_ARC
(15,3),-1.01908 # DEPENDENCYPART_ARC
(15,4),-1.39452 # DEPENDENCYPART_ARC
(15,5),-4.70124 # DEPENDENCYPART_ARC
(15,6),-8.95664 # DEPENDENCYPART_ARC
(15,7),-1.2271 # DEPENDENCYPART_ARC
(15,8),-1.27067 # DEPENDENCYPART_ARC
(15,9),-3.28178 # DEPENDENCYPART_ARC
(15,10),-1.89558 # DEPENDENCYPART_ARC
(15,11),0.851143 # DEPENDENCYPART_ARC
(15,12),-0.462363 # DEPENDENCYPART_ARC
(15,13),-1.95066 # DEPENDENCYPART_ARC
(15,14),5.55307 # DEPENDENCYPART_ARC
(15,16),-0.30678 # DEPENDENCYPART_ARC
(15,17),0.280699 # DEPENDENCYPART_ARC
(15,18),-0.928233 # DEPENDENCYPART_ARC
(15,19),-3.82472 # DEPENDENCYPART_ARC
(15,20),-1.30549 # DEPENDENCYPART_ARC
(15,21),-5.91576 # DEPENDENCYPART_ARC
(15,22),-2.59196 # DEPENDENCYPART_ARC
(16,1),-1.09859 # DEPENDENCYPART_ARC
(16,2),-1.42403 # DEPENDENCYPART_ARC
(16,3),-1.04792 # DEPENDENCYPART_ARC
(16,4),-1.07996 # DEPENDENCYPART_ARC
(16,5),-1.26042 # DEPENDENCYPART_ARC
(16,6),-1.23582 # DEPENDENCYPART_ARC
(16,7),-0.440359 # DEPENDENCYPART_ARC
(16,8),-0.313953 # DEPENDENCYPART_ARC
(16,9),-0.395401 # DEPENDENCYPART_ARC
(16,10),-0.223425 # DEPENDENCYPART_ARC
(16,11),-0.395297 # DEPENDENCYPART_ARC
(16,12),-0.467275 # DEPENDENCYPART_ARC
(16,13),0.344557 # DEPENDENCYPART_ARC
(16,14),-0.419747 # DEPENDENCYPART_ARC
(16,15),-0.368539 # DEPENDENCYPART_ARC
(16,17),-0.81007 # DEPENDENCYPART_ARC
(16,18),-1.14466 # DEPENDENCYPART_ARC
(16,19),-1.22009 # DEPENDENCYPART_ARC
(16,20),-1.32458 # DEPENDENCYPART_ARC
(16,21),-1.8129 # DEPENDENCYPART_ARC
(16,22),-1.60045 # DEPENDENCYPART_ARC
(17,1),0.196925 # DEPENDENCYPART_ARC
(17,2),-0.711643 # DEPENDENCYPART_ARC
(17,3),0.633412 # DEPENDENCYPART_ARC
(17,4),-0.29022 # DEPENDENCYPART_ARC
(17,5),-0.00744539 # DEPENDENCYPART_ARC
(17,6),0.249369 # DEPENDENCYPART_ARC
(17,7),0.130281 # DEPENDENCYPART_ARC
(17,8),1.45439 # DEPENDENCYPART_ARC
(17,9),1.5803 # DEPENDENCYPART_ARC
(17,10),1.80171 # DEPENDENCYPART_ARC
(17,11),0.622415 # DEPENDENCYPART_ARC
(17,12),0.720141 # DEPENDENCYPART_ARC
(17,13),1.86255 # DEPENDENCYPART_ARC
(17,14),1.39519 # DEPENDENCYPART_ARC
(17,15),1.74118 # DEPENDENCYPART_ARC
(17,16),2.33895 # DEPENDENCYPART_ARC
(17,18),0.988545 # DEPENDENCYPART_ARC
(17,19),1.80799 # DEPENDENCYPART_ARC
(17,20),0.97807 # DEPENDENCYPART_ARC
(17,21),0.921539 # DEPENDENCYPART_ARC
(17,22),0.251666 # DEPENDENCYPART_ARC
(18,1),-3.13668 # DEPENDENCYPART_ARC
(18,3),-3.20705 # DEPENDENCYPART_ARC
(18,4),-3.25337 # DEPENDENCYPART_ARC
(18,5),-2.91891 # DEPENDENCYPART_ARC
(18,6),-2.05321 # DEPENDENCYPART_ARC
(18,7),-2.9242 # DEPENDENCYPART_ARC
(18,8),-2.59155 # DEPENDENCYPART_ARC
(18,9),-2.25557 # DEPENDENCYPART_ARC
(18,10),-2.64268 # DEPENDENCYPART_ARC
(18,11),-1.64383 # DEPENDENCYPART_ARC
(18,12),-2.39047 # DEPENDENCYPART_ARC
(18,13),-1.43088 # DEPENDENCYPART_ARC
(18,14),-1.85861 # DEPENDENCYPART_ARC
(18,15),-0.77098 # DEPENDENCYPART_ARC
(18,16),-1.09682 # DEPENDENCYPART_ARC
(18,17),-0.291991 # DEPENDENCYPART_ARC
(18,19),-0.00507948 # DEPENDENCYPART_ARC
(18,20),-0.77533 # DEPENDENCYPART_ARC
(18,21),-1.64093 # DEPENDENCYPART_ARC
(18,22),-0.879616 # DEPENDENCYPART_ARC
(19,1),-5.53227 # DEPENDENCYPART_ARC
(19,2),-5.97105 # DEPENDENCYPART_ARC
(19,3),-2.14735 # DEPENDENCYPART_ARC
(19,4),-3.15623 # DEPENDENCYPART_ARC
(19,5),-4.24511 # DEPENDENCYPART_ARC
(19,6),-5.08243 # DEPENDENCYPART_ARC
(19,7),-2.73344 # DEPENDENCYPART_ARC
(19,8),-2.06222 # DEPENDENCYPART_ARC
(19,9),-2.19999 # DEPENDENCYPART_ARC
(19,10),-4.80725 # DEPENDENCYPART_ARC
(19,11),-1.39624 # DEPENDENCYPART_ARC
(19,12),-2.70818 # DEPENDENCYPART_ARC
(19,13),-4.04937 # DEPENDENCYPART_ARC
(19,14),-3.28625 # DEPENDENCYPART_ARC
(19,15),-4.55687 # DEPENDENCYPART_ARC
(19,16),-0.17749 # DEPENDENCYPART_ARC
(19,17),0.00420172 # DEPENDENCYPART_ARC
(19,18),1.07766 # DEPENDENCYPART_ARC
(19,20),2.86019 # DEPENDENCYPART_ARC
(19,21),-2.64328 # DEPENDENCYPART_ARC
(19,22),0.268922 # DEPENDENCYPART_ARC
(20,1),-4.08911 # DEPENDENCYPART_ARC
(20,3),-2.91899 # DEPENDENCYPART_ARC
(20,4),-2.39771 # DEPENDENCYPART_ARC
(20,5),-4.34899 # DEPENDENCYPART_ARC
(20,6),-5.89484 # DEPENDENCYPART_ARC
(20,7),-1.88778 # DEPENDENCYPART_ARC
(20,8),-1.9541 # DEPENDENCYPART_ARC
(20,9),-3.33901 # DEPENDENCYPART_ARC
(20,10),-3.58141 # DEPENDENCYPART_ARC
(20,11),-2.71429 # DEPENDENCYPART_ARC
(20,12),-2.39241 # DEPENDENCYPART_ARC
(20,13),-3.15822 # DEPENDENCYPART_ARC
(20,14),-3.34569 # DEPENDENCYPART_ARC
(20,15),-4.03816 # DEPENDENCYPART_ARC
(20,16),0.1366 # DEPENDENCYPART_ARC
(20,17),-1.31737 # DEPENDENCYPART_ARC
(20,18),-0.854408 # DEPENDENCYPART_ARC
(20,19),-1.89188 # DEPENDENCYPART_ARC
(20,21),3.83433 # DEPENDENCYPART_ARC
(20,22),-0.296701 # DEPENDENCYPART_ARC
(21,1),-3.25904 # DEPENDENCYPART_ARC
(21,2),-5.83828 # DEPENDENCYPART_ARC
(21,3),-2.28195 # DEPENDENCYPART_ARC
(21,4),-3.34318 # DEPENDENCYPART_ARC
(21,5),-5.52547 # DEPENDENCYPART_ARC
(21,6),-8.4106 # DEPENDENCYPART_ARC
(21,7),-3.06919 # DEPENDENCYPART_ARC
(21,8),-2.06591 # DEPENDENCYPART_ARC
(21,9),-4.00455 # DEPENDENCYPART_ARC
(21,10),-2.40718 # DEPENDENCYPART_ARC
(21,11),-1.01962 # DEPENDENCYPART_ARC
(21,12),-1.60818 # DEPENDENCYPART_ARC
(21,13),-4.04611 # DEPENDENCYPART_ARC
(21,14),-4.89945 # DEPENDENCYPART_ARC
(21,15),-5.64476 # DEPENDENCYPART_ARC
(21,16),-0.542659 # DEPENDENCYPART_ARC
(21,17),-0.859887 # DEPENDENCYPART_ARC
(21,18),0.180696 # DEPENDENCYPART_ARC
(21,19),-3.22095 # DEPENDENCYPART_ARC
(21,20),-0.0998738 # DEPENDENCYPART_ARC
(21,22),0.415338 # DEPENDENCYPART_ARC
(22,1),-5.3829 # DEPENDENCYPART_ARC
(22,2),-4.94558 # DEPENDENCYPART_ARC
(22,3),-4.0202 # DEPENDENCYPART_ARC
(22,4),-4.10561 # DEPENDENCYPART_ARC
(22,5),-4.52194 # DEPENDENCYPART_ARC
(22,6),-4.71638 # DEPENDENCYPART_ARC
(22,7),-3.53467 # DEPENDENCYPART_ARC
(22,8),-4.98138 # DEPENDENCYPART_ARC
(22,9),-4.11502 # DEPENDENCYPART_ARC
(22,10),-4.34926 # DEPENDENCYPART_ARC
(22,11),-3.66041 # DEPENDENCYPART_ARC
(22,12),-4.28017 # DEPENDENCYPART_ARC
(22,13),-3.278 # DEPENDENCYPART_ARC
(22,14),-3.94508 # DEPENDENCYPART_ARC
(22,15),-3.51091 # DEPENDENCYPART_ARC
(22,16),-3.12026 # DEPENDENCYPART_ARC
(22,17),-3.80546 # DEPENDENCYPART_ARC
(22,18),-3.38744 # DEPENDENCYPART_ARC
(22,19),-3.01183 # DEPENDENCYPART_ARC
(22,20),-3.59388 # DEPENDENCYPART_ARC
(22,21),-2.50587 # DEPENDENCYPART_ARC
