# _root_ Ruští zástupci na jednáních navrhli , že by splátky mohly tvořit dodávky zbraní , což česká strana odmítla .
#goldHeads=2,5,5,3,14,7,5,10,11,7,10,10,12,0,18,17,18,14,0,
#predictedHeads=2,5,5,3,0,7,5,10,10,14,10,10,12,7,18,17,18,14,0,
(2,4),-0.0868208 # DEPENDENCYPART_ARC
(2,5),-0.560833 # DEPENDENCYPART_ARC
(2,6),-0.57061 # DEPENDENCYPART_ARC
(2,7),-0.433767 # DEPENDENCYPART_ARC
(2,8),-3.11836 # DEPENDENCYPART_ARC
(2,9),-5.60164 # DEPENDENCYPART_ARC
(2,10),-4.88169 # DEPENDENCYPART_ARC
(2,11),-5.01758 # DEPENDENCYPART_ARC
(2,12),-5.44938 # DEPENDENCYPART_ARC
(2,13),-2.88897 # DEPENDENCYPART_ARC
(2,14),-1.71107 # DEPENDENCYPART_ARC
(2,15),-3.6301 # DEPENDENCYPART_ARC
(2,16),-5.87402 # DEPENDENCYPART_ARC
(2,17),-5.14121 # DEPENDENCYPART_ARC
(2,18),-8.84669 # DEPENDENCYPART_ARC
(2,19),-6.83826 # DEPENDENCYPART_ARC
(3,1),-2.66458 # DEPENDENCYPART_ARC
(3,2),-3.5221 # DEPENDENCYPART_ARC
(3,4),5.77753 # DEPENDENCYPART_ARC
(3,5),-2.12422 # DEPENDENCYPART_ARC
(3,6),-1.13082 # DEPENDENCYPART_ARC
(3,7),-2.42704 # DEPENDENCYPART_ARC
(3,9),-4.09613 # DEPENDENCYPART_ARC
(3,10),-3.27618 # DEPENDENCYPART_ARC
(3,12),-8.36138 # DEPENDENCYPART_ARC
(3,13),-8.98399 # DEPENDENCYPART_ARC
(3,14),-3.58404 # DEPENDENCYPART_ARC
(3,15),-4.68112 # DEPENDENCYPART_ARC
(3,16),-5.12464 # DEPENDENCYPART_ARC
(3,17),-9.78963 # DEPENDENCYPART_ARC
(3,18),-3.79854 # DEPENDENCYPART_ARC
(3,19),-4.20103 # DEPENDENCYPART_ARC
(4,1),-2.13642 # DEPENDENCYPART_ARC
(4,2),-2.05707 # DEPENDENCYPART_ARC
(4,3),0.422482 # DEPENDENCYPART_ARC
(4,5),-0.529721 # DEPENDENCYPART_ARC
(4,6),-1.24208 # DEPENDENCYPART_ARC
(4,7),-0.309845 # DEPENDENCYPART_ARC
(4,8),-3.49484 # DEPENDENCYPART_ARC
(4,9),-4.6492 # DEPENDENCYPART_ARC
(4,10),-4.65657 # DEPENDENCYPART_ARC
(4,11),-5.48552 # DEPENDENCYPART_ARC
(4,12),-6.04416 # DEPENDENCYPART_ARC
(4,13),-3.03478 # DEPENDENCYPART_ARC
(4,14),-2.04253 # DEPENDENCYPART_ARC
(4,15),-3.19836 # DEPENDENCYPART_ARC
(4,16),-7.71996 # DEPENDENCYPART_ARC
(4,17),-5.32077 # DEPENDENCYPART_ARC
(4,18),-8.45766 # DEPENDENCYPART_ARC
(4,19),-6.57636 # DEPENDENCYPART_ARC
(5,1),1.05946 # DEPENDENCYPART_ARC
(5,2),2.62957 # DEPENDENCYPART_ARC
(5,3),2.06212 # DEPENDENCYPART_ARC
(5,4),1.23518 # DEPENDENCYPART_ARC
(5,6),0.631648 # DEPENDENCYPART_ARC
(5,7),1.78618 # DEPENDENCYPART_ARC
(5,8),0.546786 # DEPENDENCYPART_ARC
(5,9),-1.84781 # DEPENDENCYPART_ARC
(5,10),-3.76809 # DEPENDENCYPART_ARC
(5,11),-0.966892 # DEPENDENCYPART_ARC
(5,12),-3.37176 # DEPENDENCYPART_ARC
(5,13),-4.98355 # DEPENDENCYPART_ARC
(5,14),-0.917984 # DEPENDENCYPART_ARC
(5,15),-4.78075 # DEPENDENCYPART_ARC
(5,16),-6.97725 # DEPENDENCYPART_ARC
(5,17),-5.21295 # DEPENDENCYPART_ARC
(5,18),-7.84632 # DEPENDENCYPART_ARC
(5,19),-1.75812 # DEPENDENCYPART_ARC
(6,1),-1.30723 # DEPENDENCYPART_ARC
(6,2),-0.781291 # DEPENDENCYPART_ARC
(6,3),-0.518277 # DEPENDENCYPART_ARC
(6,4),-0.457197 # DEPENDENCYPART_ARC
(6,5),-0.770003 # DEPENDENCYPART_ARC
(6,7),0.324982 # DEPENDENCYPART_ARC
(6,9),-2.14211 # DEPENDENCYPART_ARC
(6,10),-0.906367 # DEPENDENCYPART_ARC
(6,11),-1.62262 # DEPENDENCYPART_ARC
(6,12),-3.90963 # DEPENDENCYPART_ARC
(6,13),-3.91066 # DEPENDENCYPART_ARC
(6,14),-1.05175 # DEPENDENCYPART_ARC
(6,16),-2.57451 # DEPENDENCYPART_ARC
(6,17),-4.74898 # DEPENDENCYPART_ARC
(6,18),-2.57183 # DEPENDENCYPART_ARC
(6,19),-1.27848 # DEPENDENCYPART_ARC
(7,1),-2.48172 # DEPENDENCYPART_ARC
(7,2),-1.42141 # DEPENDENCYPART_ARC
(7,3),-1.64023 # DEPENDENCYPART_ARC
(7,4),0.0907357 # DEPENDENCYPART_ARC
(7,5),-0.61962 # DEPENDENCYPART_ARC
(7,6),2.66069 # DEPENDENCYPART_ARC
(7,8),2.0045 # DEPENDENCYPART_ARC
(7,9),-1.15263 # DEPENDENCYPART_ARC
(7,10),1.56687 # DEPENDENCYPART_ARC
(7,11),1.50594 # DEPENDENCYPART_ARC
(7,12),-2.71329 # DEPENDENCYPART_ARC
(7,13),-2.82056 # DEPENDENCYPART_ARC
(7,14),1.05752 # DEPENDENCYPART_ARC
(7,16),-2.17103 # DEPENDENCYPART_ARC
(7,17),-4.28083 # DEPENDENCYPART_ARC
(7,18),-0.175256 # DEPENDENCYPART_ARC
(7,19),-0.861616 # DEPENDENCYPART_ARC
(9,1),-5.76746 # DEPENDENCYPART_ARC
(9,2),-6.91196 # DEPENDENCYPART_ARC
(9,3),-1.68871 # DEPENDENCYPART_ARC
(9,4),-5.23309 # DEPENDENCYPART_ARC
(9,5),-3.78899 # DEPENDENCYPART_ARC
(9,6),-1.06934 # DEPENDENCYPART_ARC
(9,7),-1.0072 # DEPENDENCYPART_ARC
(9,8),0.578094 # DEPENDENCYPART_ARC
(9,10),0.287998 # DEPENDENCYPART_ARC
(9,11),-1.00394 # DEPENDENCYPART_ARC
(9,12),-3.87437 # DEPENDENCYPART_ARC
(9,13),-1.17841 # DEPENDENCYPART_ARC
(9,14),-1.583 # DEPENDENCYPART_ARC
(9,15),-2.82505 # DEPENDENCYPART_ARC
(9,16),-4.68923 # DEPENDENCYPART_ARC
(9,17),-4.33074 # DEPENDENCYPART_ARC
(9,18),-4.5601 # DEPENDENCYPART_ARC
(9,19),-4.27842 # DEPENDENCYPART_ARC
(10,1),-2.16029 # DEPENDENCYPART_ARC
(10,2),0.117631 # DEPENDENCYPART_ARC
(10,3),-1.58157 # DEPENDENCYPART_ARC
(10,4),-0.86927 # DEPENDENCYPART_ARC
(10,5),-3.99933 # DEPENDENCYPART_ARC
(10,6),-0.0221101 # DEPENDENCYPART_ARC
(10,7),-0.0851094 # DEPENDENCYPART_ARC
(10,8),4.42802 # DEPENDENCYPART_ARC
(10,9),2.97838 # DEPENDENCYPART_ARC
(10,11),3.04498 # DEPENDENCYPART_ARC
(10,12),2.14122 # DEPENDENCYPART_ARC
(10,13),-0.317292 # DEPENDENCYPART_ARC
(10,14),-0.155966 # DEPENDENCYPART_ARC
(10,15),-1.94281 # DEPENDENCYPART_ARC
(10,16),-3.00265 # DEPENDENCYPART_ARC
(10,17),-0.959725 # DEPENDENCYPART_ARC
(10,18),-4.25812 # DEPENDENCYPART_ARC
(10,19),-0.628822 # DEPENDENCYPART_ARC
(11,1),-1.56808 # DEPENDENCYPART_ARC
(11,2),-1.16406 # DEPENDENCYPART_ARC
(11,3),-1.82295 # DEPENDENCYPART_ARC
(11,4),-1.10321 # DEPENDENCYPART_ARC
(11,5),-5.1342 # DEPENDENCYPART_ARC
(11,6),-0.70267 # DEPENDENCYPART_ARC
(11,7),-0.451799 # DEPENDENCYPART_ARC
(11,8),2.74546 # DEPENDENCYPART_ARC
(11,9),2.13811 # DEPENDENCYPART_ARC
(11,10),0.204895 # DEPENDENCYPART_ARC
(11,12),1.56952 # DEPENDENCYPART_ARC
(11,13),0.675526 # DEPENDENCYPART_ARC
(11,14),-0.0538078 # DEPENDENCYPART_ARC
(11,15),-1.03618 # DEPENDENCYPART_ARC
(11,16),-1.75474 # DEPENDENCYPART_ARC
(11,17),-2.19897 # DEPENDENCYPART_ARC
(11,18),-1.53101 # DEPENDENCYPART_ARC
(11,19),-1.25256 # DEPENDENCYPART_ARC
(12,1),-5.01535 # DEPENDENCYPART_ARC
(12,2),-5.30724 # DEPENDENCYPART_ARC
(12,3),-1.27904 # DEPENDENCYPART_ARC
(12,4),-6.81126 # DEPENDENCYPART_ARC
(12,5),-5.82962 # DEPENDENCYPART_ARC
(12,6),-2.21735 # DEPENDENCYPART_ARC
(12,7),-2.85389 # DEPENDENCYPART_ARC
(12,8),-0.828328 # DEPENDENCYPART_ARC
(12,9),-3.08474 # DEPENDENCYPART_ARC
(12,10),-3.11079 # DEPENDENCYPART_ARC
(12,11),-0.448518 # DEPENDENCYPART_ARC
(12,13),3.33543 # DEPENDENCYPART_ARC
(12,14),-0.0153042 # DEPENDENCYPART_ARC
(12,15),-1.42534 # DEPENDENCYPART_ARC
(12,16),-0.892837 # DEPENDENCYPART_ARC
(12,17),-0.524481 # DEPENDENCYPART_ARC
(12,18),-0.655327 # DEPENDENCYPART_ARC
(12,19),-1.84439 # DEPENDENCYPART_ARC
(13,1),-7.28068 # DEPENDENCYPART_ARC
(13,2),-6.60793 # DEPENDENCYPART_ARC
(13,3),-1.87684 # DEPENDENCYPART_ARC
(13,4),-6.56378 # DEPENDENCYPART_ARC
(13,5),-4.35347 # DEPENDENCYPART_ARC
(13,6),-2.19208 # DEPENDENCYPART_ARC
(13,7),-2.87883 # DEPENDENCYPART_ARC
(13,8),-0.583359 # DEPENDENCYPART_ARC
(13,9),-2.43599 # DEPENDENCYPART_ARC
(13,10),-2.20213 # DEPENDENCYPART_ARC
(13,11),-0.330106 # DEPENDENCYPART_ARC
(13,12),0.154208 # DEPENDENCYPART_ARC
(13,14),-0.357064 # DEPENDENCYPART_ARC
(13,15),-1.52732 # DEPENDENCYPART_ARC
(13,16),-2.46544 # DEPENDENCYPART_ARC
(13,17),-1.17285 # DEPENDENCYPART_ARC
(13,18),0.743701 # DEPENDENCYPART_ARC
(13,19),-1.1353 # DEPENDENCYPART_ARC
(14,1),-1.78572 # DEPENDENCYPART_ARC
(14,2),-1.18082 # DEPENDENCYPART_ARC
(14,3),-1.5975 # DEPENDENCYPART_ARC
(14,4),-0.565817 # DEPENDENCYPART_ARC
(14,5),0.459511 # DEPENDENCYPART_ARC
(14,6),1.02899 # DEPENDENCYPART_ARC
(14,7),0.807914 # DEPENDENCYPART_ARC
(14,9),0.289561 # DEPENDENCYPART_ARC
(14,10),1.71949 # DEPENDENCYPART_ARC
(14,11),1.21939 # DEPENDENCYPART_ARC
(14,12),1.19154 # DEPENDENCYPART_ARC
(14,13),0.907262 # DEPENDENCYPART_ARC
(14,16),1.51644 # DEPENDENCYPART_ARC
(14,17),1.24007 # DEPENDENCYPART_ARC
(14,18),1.88356 # DEPENDENCYPART_ARC
(14,19),1.06155 # DEPENDENCYPART_ARC
(16,1),-7.79488 # DEPENDENCYPART_ARC
(16,2),-6.5369 # DEPENDENCYPART_ARC
(16,3),-4.31493 # DEPENDENCYPART_ARC
(16,4),-7.91015 # DEPENDENCYPART_ARC
(16,5),-7.9024 # DEPENDENCYPART_ARC
(16,6),-4.7237 # DEPENDENCYPART_ARC
(16,7),-3.98512 # DEPENDENCYPART_ARC
(16,9),-5.2833 # DEPENDENCYPART_ARC
(16,10),-6.65537 # DEPENDENCYPART_ARC
(16,11),-3.0934 # DEPENDENCYPART_ARC
(16,12),-4.18571 # DEPENDENCYPART_ARC
(16,13),-4.8869 # DEPENDENCYPART_ARC
(16,14),-1.88212 # DEPENDENCYPART_ARC
(16,17),-0.866285 # DEPENDENCYPART_ARC
(16,18),-2.7691 # DEPENDENCYPART_ARC
(16,19),-1.02083 # DEPENDENCYPART_ARC
(17,1),-6.40156 # DEPENDENCYPART_ARC
(17,2),-6.40495 # DEPENDENCYPART_ARC
(17,3),-1.21366 # DEPENDENCYPART_ARC
(17,4),-8.6062 # DEPENDENCYPART_ARC
(17,5),-6.34091 # DEPENDENCYPART_ARC
(17,6),-2.64549 # DEPENDENCYPART_ARC
(17,7),-3.86373 # DEPENDENCYPART_ARC
(17,8),-1.13008 # DEPENDENCYPART_ARC
(17,9),-5.31386 # DEPENDENCYPART_ARC
(17,10),-4.88479 # DEPENDENCYPART_ARC
(17,11),-1.50744 # DEPENDENCYPART_ARC
(17,12),-1.51237 # DEPENDENCYPART_ARC
(17,13),-4.79111 # DEPENDENCYPART_ARC
(17,14),-0.532075 # DEPENDENCYPART_ARC
(17,15),-0.702488 # DEPENDENCYPART_ARC
(17,16),5.04804 # DEPENDENCYPART_ARC
(17,18),-1.43697 # DEPENDENCYPART_ARC
(17,19),-0.65775 # DEPENDENCYPART_ARC
(18,1),-2.55433 # DEPENDENCYPART_ARC
(18,2),-0.0919623 # DEPENDENCYPART_ARC
(18,3),-1.19144 # DEPENDENCYPART_ARC
(18,4),-2.03747 # DEPENDENCYPART_ARC
(18,5),-6.46221 # DEPENDENCYPART_ARC
(18,6),-1.52964 # DEPENDENCYPART_ARC
(18,7),-1.55268 # DEPENDENCYPART_ARC
(18,8),2.4328 # DEPENDENCYPART_ARC
(18,9),1.30589 # DEPENDENCYPART_ARC
(18,10),-3.58196 # DEPENDENCYPART_ARC
(18,11),-0.135246 # DEPENDENCYPART_ARC
(18,12),1.8626 # DEPENDENCYPART_ARC
(18,13),-2.51329 # DEPENDENCYPART_ARC
(18,14),1.97585 # DEPENDENCYPART_ARC
(18,15),2.80575 # DEPENDENCYPART_ARC
(18,16),-0.330288 # DEPENDENCYPART_ARC
(18,17),3.68184 # DEPENDENCYPART_ARC
(18,19),-0.303867 # DEPENDENCYPART_ARC
(19,1),-5.82579 # DEPENDENCYPART_ARC
(19,2),-6.80405 # DEPENDENCYPART_ARC
(19,3),-5.76277 # DEPENDENCYPART_ARC
(19,4),-5.80137 # DEPENDENCYPART_ARC
(19,5),-5.56912 # DEPENDENCYPART_ARC
(19,6),-4.77179 # DEPENDENCYPART_ARC
(19,7),-4.17371 # DEPENDENCYPART_ARC
(19,9),-4.63441 # DEPENDENCYPART_ARC
(19,10),-4.44916 # DEPENDENCYPART_ARC
(19,11),-4.40846 # DEPENDENCYPART_ARC
(19,12),-3.51717 # DEPENDENCYPART_ARC
(19,13),-3.40544 # DEPENDENCYPART_ARC
(19,14),-2.92812 # DEPENDENCYPART_ARC
(19,16),-3.22167 # DEPENDENCYPART_ARC
(19,17),-3.45046 # DEPENDENCYPART_ARC
(19,18),-3.94694 # DEPENDENCYPART_ARC
