# _root_ zeptali jsme se JÁNA LANGOŠE , bývalého ministra vnitra ČSFR : Jaký je váš názor na policejní zákrok , k němuž došlo minulou středu na fotbalovém stadiónu Slovanu v Bratislavě ?
#goldHeads=0,1,1,5,6,1,8,6,8,8,13,13,1,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,27,29,0,
#predictedHeads=0,1,1,5,6,1,8,6,8,8,13,13,6,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,28,29,0,
(5,4),7.46354 # DEPENDENCYPART_ARC
(5,6),-0.39308 # DEPENDENCYPART_ARC
(5,7),0.957013 # DEPENDENCYPART_ARC
(5,8),-0.436255 # DEPENDENCYPART_ARC
(5,9),-0.533023 # DEPENDENCYPART_ARC
(5,10),0.806275 # DEPENDENCYPART_ARC
(5,11),-0.992192 # DEPENDENCYPART_ARC
(5,12),-4.18696 # DEPENDENCYPART_ARC
(5,13),-0.635922 # DEPENDENCYPART_ARC
(5,14),-4.85896 # DEPENDENCYPART_ARC
(5,15),-4.74578 # DEPENDENCYPART_ARC
(5,16),-3.45248 # DEPENDENCYPART_ARC
(5,17),-4.72208 # DEPENDENCYPART_ARC
(5,18),-7.08581 # DEPENDENCYPART_ARC
(5,19),-0.997737 # DEPENDENCYPART_ARC
(5,20),-5.83368 # DEPENDENCYPART_ARC
(5,21),-5.94075 # DEPENDENCYPART_ARC
(5,22),-0.198286 # DEPENDENCYPART_ARC
(5,23),-5.76272 # DEPENDENCYPART_ARC
(5,24),-8.5736 # DEPENDENCYPART_ARC
(5,25),-4.41397 # DEPENDENCYPART_ARC
(5,26),-5.13363 # DEPENDENCYPART_ARC
(5,27),-7.42682 # DEPENDENCYPART_ARC
(5,28),-5.33262 # DEPENDENCYPART_ARC
(5,29),-4.81641 # DEPENDENCYPART_ARC
(5,30),-7.70085 # DEPENDENCYPART_ARC
(5,31),-3.73766 # DEPENDENCYPART_ARC
(6,1),0.115553 # DEPENDENCYPART_ARC
(6,2),0.780167 # DEPENDENCYPART_ARC
(6,3),0.495405 # DEPENDENCYPART_ARC
(6,4),0.964954 # DEPENDENCYPART_ARC
(6,5),1.75694 # DEPENDENCYPART_ARC
(6,7),0.471839 # DEPENDENCYPART_ARC
(6,8),1.23616 # DEPENDENCYPART_ARC
(6,9),0.679009 # DEPENDENCYPART_ARC
(6,10),0.791978 # DEPENDENCYPART_ARC
(6,11),0.0392723 # DEPENDENCYPART_ARC
(6,12),-0.795453 # DEPENDENCYPART_ARC
(6,13),0.479593 # DEPENDENCYPART_ARC
(6,14),-1.19844 # DEPENDENCYPART_ARC
(6,15),-1.55348 # DEPENDENCYPART_ARC
(6,16),-0.952593 # DEPENDENCYPART_ARC
(6,17),-1.62197 # DEPENDENCYPART_ARC
(6,18),-1.14521 # DEPENDENCYPART_ARC
(6,19),0.110641 # DEPENDENCYPART_ARC
(6,20),-1.38135 # DEPENDENCYPART_ARC
(6,22),-1.01104 # DEPENDENCYPART_ARC
(6,23),-2.22075 # DEPENDENCYPART_ARC
(6,24),-3.08681 # DEPENDENCYPART_ARC
(6,25),-2.51986 # DEPENDENCYPART_ARC
(6,26),-2.53217 # DEPENDENCYPART_ARC
(6,27),-3.0546 # DEPENDENCYPART_ARC
(6,28),-3.4503 # DEPENDENCYPART_ARC
(6,29),-3.44096 # DEPENDENCYPART_ARC
(6,30),-3.81289 # DEPENDENCYPART_ARC
(6,31),-1.4473 # DEPENDENCYPART_ARC
(7,1),-5.04957 # DEPENDENCYPART_ARC
(7,2),-4.42469 # DEPENDENCYPART_ARC
(7,3),-1.63301 # DEPENDENCYPART_ARC
(7,4),-0.178096 # DEPENDENCYPART_ARC
(7,5),-2.79878 # DEPENDENCYPART_ARC
(7,6),0.121198 # DEPENDENCYPART_ARC
(7,8),0.0235643 # DEPENDENCYPART_ARC
(7,9),-0.779774 # DEPENDENCYPART_ARC
(7,10),-2.27537 # DEPENDENCYPART_ARC
(7,11),-0.0201981 # DEPENDENCYPART_ARC
(7,13),-1.41204 # DEPENDENCYPART_ARC
(7,14),-3.87816 # DEPENDENCYPART_ARC
(7,15),-4.03326 # DEPENDENCYPART_ARC
(7,16),-0.943536 # DEPENDENCYPART_ARC
(7,17),-4.79434 # DEPENDENCYPART_ARC
(7,18),-5.02042 # DEPENDENCYPART_ARC
(7,19),-0.372062 # DEPENDENCYPART_ARC
(7,20),-2.92044 # DEPENDENCYPART_ARC
(7,22),-2.49597 # DEPENDENCYPART_ARC
(7,23),-5.54802 # DEPENDENCYPART_ARC
(7,24),-6.62986 # DEPENDENCYPART_ARC
(7,25),-2.30926 # DEPENDENCYPART_ARC
(7,26),-5.6043 # DEPENDENCYPART_ARC
(7,27),-6.15175 # DEPENDENCYPART_ARC
(7,28),-6.99308 # DEPENDENCYPART_ARC
(7,29),-2.60192 # DEPENDENCYPART_ARC
(7,30),-8.02853 # DEPENDENCYPART_ARC
(7,31),-2.65043 # DEPENDENCYPART_ARC
(8,1),-3.20647 # DEPENDENCYPART_ARC
(8,2),-2.18768 # DEPENDENCYPART_ARC
(8,3),-3.04308 # DEPENDENCYPART_ARC
(8,4),2.56617 # DEPENDENCYPART_ARC
(8,5),-0.348991 # DEPENDENCYPART_ARC
(8,6),0.336032 # DEPENDENCYPART_ARC
(8,7),4.58236 # DEPENDENCYPART_ARC
(8,9),4.44774 # DEPENDENCYPART_ARC
(8,10),3.47817 # DEPENDENCYPART_ARC
(8,11),0.403881 # DEPENDENCYPART_ARC
(8,12),-1.84873 # DEPENDENCYPART_ARC
(8,13),0.184831 # DEPENDENCYPART_ARC
(8,14),-2.58591 # DEPENDENCYPART_ARC
(8,15),-2.69865 # DEPENDENCYPART_ARC
(8,16),-0.591158 # DEPENDENCYPART_ARC
(8,17),-3.60415 # DEPENDENCYPART_ARC
(8,18),-5.2695 # DEPENDENCYPART_ARC
(8,19),-0.284307 # DEPENDENCYPART_ARC
(8,20),-3.56512 # DEPENDENCYPART_ARC
(8,21),-3.67277 # DEPENDENCYPART_ARC
(8,22),0.172691 # DEPENDENCYPART_ARC
(8,23),-4.76557 # DEPENDENCYPART_ARC
(8,24),-6.43709 # DEPENDENCYPART_ARC
(8,25),-2.26021 # DEPENDENCYPART_ARC
(8,26),-4.13188 # DEPENDENCYPART_ARC
(8,27),-5.45445 # DEPENDENCYPART_ARC
(8,28),-1.87168 # DEPENDENCYPART_ARC
(8,29),-2.76744 # DEPENDENCYPART_ARC
(8,30),-5.85191 # DEPENDENCYPART_ARC
(8,31),-2.64469 # DEPENDENCYPART_ARC
(9,1),-5.41815 # DEPENDENCYPART_ARC
(9,2),-3.8937 # DEPENDENCYPART_ARC
(9,3),-4.05321 # DEPENDENCYPART_ARC
(9,4),0.508483 # DEPENDENCYPART_ARC
(9,5),-1.86296 # DEPENDENCYPART_ARC
(9,6),-0.541607 # DEPENDENCYPART_ARC
(9,7),0.997631 # DEPENDENCYPART_ARC
(9,8),0.344485 # DEPENDENCYPART_ARC
(9,10),3.10224 # DEPENDENCYPART_ARC
(9,11),-0.969877 # DEPENDENCYPART_ARC
(9,12),-3.07459 # DEPENDENCYPART_ARC
(9,13),-0.709241 # DEPENDENCYPART_ARC
(9,14),-3.35264 # DEPENDENCYPART_ARC
(9,15),-3.18397 # DEPENDENCYPART_ARC
(9,16),-1.25105 # DEPENDENCYPART_ARC
(9,17),-4.48523 # DEPENDENCYPART_ARC
(9,18),-6.13893 # DEPENDENCYPART_ARC
(9,19),-1.25387 # DEPENDENCYPART_ARC
(9,20),-3.14413 # DEPENDENCYPART_ARC
(9,21),-4.11086 # DEPENDENCYPART_ARC
(9,22),-0.280561 # DEPENDENCYPART_ARC
(9,23),-5.64592 # DEPENDENCYPART_ARC
(9,24),-7.26972 # DEPENDENCYPART_ARC
(9,25),-2.91305 # DEPENDENCYPART_ARC
(9,26),-4.91406 # DEPENDENCYPART_ARC
(9,27),-6.03466 # DEPENDENCYPART_ARC
(9,28),-2.71126 # DEPENDENCYPART_ARC
(9,29),-3.25689 # DEPENDENCYPART_ARC
(9,30),-6.92686 # DEPENDENCYPART_ARC
(9,31),-3.65814 # DEPENDENCYPART_ARC
(10,1),-6.53739 # DEPENDENCYPART_ARC
(10,2),-2.76724 # DEPENDENCYPART_ARC
(10,3),-4.43417 # DEPENDENCYPART_ARC
(10,4),-1.69221 # DEPENDENCYPART_ARC
(10,5),-3.69448 # DEPENDENCYPART_ARC
(10,6),-0.0928273 # DEPENDENCYPART_ARC
(10,7),-0.737412 # DEPENDENCYPART_ARC
(10,8),-1.43051 # DEPENDENCYPART_ARC
(10,9),-0.621524 # DEPENDENCYPART_ARC
(10,11),-0.390543 # DEPENDENCYPART_ARC
(10,12),-2.41036 # DEPENDENCYPART_ARC
(10,13),-1.07774 # DEPENDENCYPART_ARC
(10,14),-3.17745 # DEPENDENCYPART_ARC
(10,15),-4.14534 # DEPENDENCYPART_ARC
(10,16),-2.4048 # DEPENDENCYPART_ARC
(10,17),-4.78755 # DEPENDENCYPART_ARC
(10,18),-7.30038 # DEPENDENCYPART_ARC
(10,19),-0.559285 # DEPENDENCYPART_ARC
(10,20),-4.16762 # DEPENDENCYPART_ARC
(10,21),-4.1226 # DEPENDENCYPART_ARC
(10,22),-0.776757 # DEPENDENCYPART_ARC
(10,23),-4.07154 # DEPENDENCYPART_ARC
(10,24),-8.51254 # DEPENDENCYPART_ARC
(10,25),-3.39316 # DEPENDENCYPART_ARC
(10,26),-5.26202 # DEPENDENCYPART_ARC
(10,27),-6.96705 # DEPENDENCYPART_ARC
(10,28),-5.78991 # DEPENDENCYPART_ARC
(10,29),-3.82495 # DEPENDENCYPART_ARC
(10,30),-8.05166 # DEPENDENCYPART_ARC
(10,31),-2.99379 # DEPENDENCYPART_ARC
(11,1),0.236015 # DEPENDENCYPART_ARC
(11,2),0.415041 # DEPENDENCYPART_ARC
(11,3),-1.1976 # DEPENDENCYPART_ARC
(11,4),-0.018269 # DEPENDENCYPART_ARC
(11,5),-0.206512 # DEPENDENCYPART_ARC
(11,6),-0.720832 # DEPENDENCYPART_ARC
(11,7),-0.431085 # DEPENDENCYPART_ARC
(11,8),0.330816 # DEPENDENCYPART_ARC
(11,9),-0.118336 # DEPENDENCYPART_ARC
(11,10),0.110683 # DEPENDENCYPART_ARC
(11,12),0.486066 # DEPENDENCYPART_ARC
(11,13),0.700221 # DEPENDENCYPART_ARC
(11,14),-0.98203 # DEPENDENCYPART_ARC
(11,15),-1.149 # DEPENDENCYPART_ARC
(11,16),-1.13326 # DEPENDENCYPART_ARC
(11,17),-1.72964 # DEPENDENCYPART_ARC
(11,18),-1.3586 # DEPENDENCYPART_ARC
(11,19),-0.327739 # DEPENDENCYPART_ARC
(11,20),-1.88567 # DEPENDENCYPART_ARC
(11,22),-0.0182691 # DEPENDENCYPART_ARC
(11,23),-2.68141 # DEPENDENCYPART_ARC
(11,24),-2.69493 # DEPENDENCYPART_ARC
(11,25),-2.78265 # DEPENDENCYPART_ARC
(11,26),-3.09714 # DEPENDENCYPART_ARC
(11,27),-3.02018 # DEPENDENCYPART_ARC
(11,28),-2.95921 # DEPENDENCYPART_ARC
(11,29),-3.42197 # DEPENDENCYPART_ARC
(11,30),-3.26467 # DEPENDENCYPART_ARC
(11,31),-1.26341 # DEPENDENCYPART_ARC
(12,1),-2.17526 # DEPENDENCYPART_ARC
(12,2),-1.371 # DEPENDENCYPART_ARC
(12,4),-2.91064 # DEPENDENCYPART_ARC
(12,5),-3.97592 # DEPENDENCYPART_ARC
(12,6),-1.45161 # DEPENDENCYPART_ARC
(12,7),-2.74517 # DEPENDENCYPART_ARC
(12,8),-2.91041 # DEPENDENCYPART_ARC
(12,9),-2.82796 # DEPENDENCYPART_ARC
(12,10),-2.48985 # DEPENDENCYPART_ARC
(12,11),-0.393486 # DEPENDENCYPART_ARC
(12,13),-1.05146 # DEPENDENCYPART_ARC
(12,15),-0.595099 # DEPENDENCYPART_ARC
(12,16),-1.58741 # DEPENDENCYPART_ARC
(12,17),-1.8053 # DEPENDENCYPART_ARC
(12,18),-2.13008 # DEPENDENCYPART_ARC
(12,19),-1.12218 # DEPENDENCYPART_ARC
(12,20),-2.12242 # DEPENDENCYPART_ARC
(12,22),-2.75858 # DEPENDENCYPART_ARC
(12,23),-3.15871 # DEPENDENCYPART_ARC
(12,24),-2.81512 # DEPENDENCYPART_ARC
(12,25),-1.99002 # DEPENDENCYPART_ARC
(12,26),-2.99873 # DEPENDENCYPART_ARC
(12,27),-3.14149 # DEPENDENCYPART_ARC
(12,28),-2.91028 # DEPENDENCYPART_ARC
(12,29),-2.11824 # DEPENDENCYPART_ARC
(12,30),-3.49138 # DEPENDENCYPART_ARC
(12,31),-2.35003 # DEPENDENCYPART_ARC
(13,1),-2.09335 # DEPENDENCYPART_ARC
(13,2),-1.14887 # DEPENDENCYPART_ARC
(13,3),-1.67057 # DEPENDENCYPART_ARC
(13,4),-2.60457 # DEPENDENCYPART_ARC
(13,5),-3.9739 # DEPENDENCYPART_ARC
(13,6),0.170115 # DEPENDENCYPART_ARC
(13,7),-3.73379 # DEPENDENCYPART_ARC
(13,8),-2.46755 # DEPENDENCYPART_ARC
(13,9),-2.38467 # DEPENDENCYPART_ARC
(13,10),-1.47973 # DEPENDENCYPART_ARC
(13,11),2.53678 # DEPENDENCYPART_ARC
(13,12),2.9309 # DEPENDENCYPART_ARC
(13,14),0.420567 # DEPENDENCYPART_ARC
(13,15),3.81722 # DEPENDENCYPART_ARC
(13,16),1.48947 # DEPENDENCYPART_ARC
(13,17),-0.745445 # DEPENDENCYPART_ARC
(13,18),2.05473 # DEPENDENCYPART_ARC
(13,19),0.801602 # DEPENDENCYPART_ARC
(13,20),-0.34795 # DEPENDENCYPART_ARC
(13,22),-0.764764 # DEPENDENCYPART_ARC
(13,23),-2.73963 # DEPENDENCYPART_ARC
(13,24),0.275084 # DEPENDENCYPART_ARC
(13,25),-0.193783 # DEPENDENCYPART_ARC
(13,26),-4.29206 # DEPENDENCYPART_ARC
(13,27),-1.18985 # DEPENDENCYPART_ARC
(13,28),-3.04604 # DEPENDENCYPART_ARC
(13,29),-1.11501 # DEPENDENCYPART_ARC
(13,30),-3.46615 # DEPENDENCYPART_ARC
(13,31),0.676544 # DEPENDENCYPART_ARC
(14,6),-2.0285 # DEPENDENCYPART_ARC
(14,11),-1.56872 # DEPENDENCYPART_ARC
(14,19),-1.53191 # DEPENDENCYPART_ARC
(14,31),-2.60653 # DEPENDENCYPART_ARC
(15,1),-7.13041 # DEPENDENCYPART_ARC
(15,2),-4.39634 # DEPENDENCYPART_ARC
(15,3),-5.68383 # DEPENDENCYPART_ARC
(15,4),-3.65644 # DEPENDENCYPART_ARC
(15,5),-5.465 # DEPENDENCYPART_ARC
(15,6),-2.02503 # DEPENDENCYPART_ARC
(15,7),-3.7883 # DEPENDENCYPART_ARC
(15,8),-4.39842 # DEPENDENCYPART_ARC
(15,9),-4.82319 # DEPENDENCYPART_ARC
(15,10),-3.15349 # DEPENDENCYPART_ARC
(15,11),-1.25488 # DEPENDENCYPART_ARC
(15,12),0.809397 # DEPENDENCYPART_ARC
(15,13),-2.07897 # DEPENDENCYPART_ARC
(15,14),4.19572 # DEPENDENCYPART_ARC
(15,16),1.81329 # DEPENDENCYPART_ARC
(15,17),-0.632366 # DEPENDENCYPART_ARC
(15,18),-2.92919 # DEPENDENCYPART_ARC
(15,19),0.119113 # DEPENDENCYPART_ARC
(15,20),0.0150681 # DEPENDENCYPART_ARC
(15,21),-1.88965 # DEPENDENCYPART_ARC
(15,22),0.475648 # DEPENDENCYPART_ARC
(15,23),-3.9109 # DEPENDENCYPART_ARC
(15,24),-5.01221 # DEPENDENCYPART_ARC
(15,25),-0.653702 # DEPENDENCYPART_ARC
(15,26),-1.75756 # DEPENDENCYPART_ARC
(15,27),-2.67414 # DEPENDENCYPART_ARC
(15,28),-1.6627 # DEPENDENCYPART_ARC
(15,29),-1.04643 # DEPENDENCYPART_ARC
(15,30),-3.85538 # DEPENDENCYPART_ARC
(15,31),-1.5195 # DEPENDENCYPART_ARC
(16,1),-4.02115 # DEPENDENCYPART_ARC
(16,2),-3.65682 # DEPENDENCYPART_ARC
(16,4),-4.16652 # DEPENDENCYPART_ARC
(16,5),-3.92154 # DEPENDENCYPART_ARC
(16,6),-2.51388 # DEPENDENCYPART_ARC
(16,7),-3.38514 # DEPENDENCYPART_ARC
(16,8),-3.71526 # DEPENDENCYPART_ARC
(16,9),-2.75874 # DEPENDENCYPART_ARC
(16,10),-3.64521 # DEPENDENCYPART_ARC
(16,11),-1.47566 # DEPENDENCYPART_ARC
(16,12),-2.25306 # DEPENDENCYPART_ARC
(16,13),-2.57064 # DEPENDENCYPART_ARC
(16,14),-1.45028 # DEPENDENCYPART_ARC
(16,15),-0.834715 # DEPENDENCYPART_ARC
(16,17),1.01423 # DEPENDENCYPART_ARC
(16,18),3.83408 # DEPENDENCYPART_ARC
(16,19),-0.035365 # DEPENDENCYPART_ARC
(16,20),-1.47395 # DEPENDENCYPART_ARC
(16,21),-1.43661 # DEPENDENCYPART_ARC
(16,22),-1.927 # DEPENDENCYPART_ARC
(16,23),-1.30432 # DEPENDENCYPART_ARC
(16,24),-0.380047 # DEPENDENCYPART_ARC
(16,25),-2.22621 # DEPENDENCYPART_ARC
(16,26),-2.11493 # DEPENDENCYPART_ARC
(16,27),-3.0535 # DEPENDENCYPART_ARC
(16,28),-6.03678 # DEPENDENCYPART_ARC
(16,29),-2.67505 # DEPENDENCYPART_ARC
(16,30),-6.32782 # DEPENDENCYPART_ARC
(16,31),-2.28949 # DEPENDENCYPART_ARC
(17,1),-6.95025 # DEPENDENCYPART_ARC
(17,2),-6.45806 # DEPENDENCYPART_ARC
(17,3),-2.05355 # DEPENDENCYPART_ARC
(17,4),-4.23653 # DEPENDENCYPART_ARC
(17,5),-5.89083 # DEPENDENCYPART_ARC
(17,6),-2.92055 # DEPENDENCYPART_ARC
(17,7),-5.49892 # DEPENDENCYPART_ARC
(17,8),-5.17906 # DEPENDENCYPART_ARC
(17,9),-4.89879 # DEPENDENCYPART_ARC
(17,10),-4.16513 # DEPENDENCYPART_ARC
(17,11),-2.32422 # DEPENDENCYPART_ARC
(17,13),-4.59241 # DEPENDENCYPART_ARC
(17,14),-2.80857 # DEPENDENCYPART_ARC
(17,15),-3.61912 # DEPENDENCYPART_ARC
(17,16),-0.439209 # DEPENDENCYPART_ARC
(17,18),-0.458441 # DEPENDENCYPART_ARC
(17,19),-0.724932 # DEPENDENCYPART_ARC
(17,20),-0.868501 # DEPENDENCYPART_ARC
(17,22),-1.88125 # DEPENDENCYPART_ARC
(17,23),-3.79279 # DEPENDENCYPART_ARC
(17,24),-3.66106 # DEPENDENCYPART_ARC
(17,25),-1.89676 # DEPENDENCYPART_ARC
(17,26),-4.21479 # DEPENDENCYPART_ARC
(17,27),-3.69438 # DEPENDENCYPART_ARC
(17,28),-5.36819 # DEPENDENCYPART_ARC
(17,29),-2.10932 # DEPENDENCYPART_ARC
(17,30),-5.08052 # DEPENDENCYPART_ARC
(17,31),-2.2259 # DEPENDENCYPART_ARC
(18,1),-5.10937 # DEPENDENCYPART_ARC
(18,2),-3.42425 # DEPENDENCYPART_ARC
(18,3),-5.63668 # DEPENDENCYPART_ARC
(18,4),-3.39759 # DEPENDENCYPART_ARC
(18,5),-4.81061 # DEPENDENCYPART_ARC
(18,6),-1.71896 # DEPENDENCYPART_ARC
(18,7),-2.66342 # DEPENDENCYPART_ARC
(18,8),-3.7347 # DEPENDENCYPART_ARC
(18,9),-4.0395 # DEPENDENCYPART_ARC
(18,10),-4.56135 # DEPENDENCYPART_ARC
(18,11),-1.2419 # DEPENDENCYPART_ARC
(18,12),-2.00566 # DEPENDENCYPART_ARC
(18,13),-1.66267 # DEPENDENCYPART_ARC
(18,14),-0.412603 # DEPENDENCYPART_ARC
(18,15),-3.06085 # DEPENDENCYPART_ARC
(18,16),0.155969 # DEPENDENCYPART_ARC
(18,17),5.70449 # DEPENDENCYPART_ARC
(18,19),-0.305449 # DEPENDENCYPART_ARC
(18,20),0.232784 # DEPENDENCYPART_ARC
(18,21),-2.15223 # DEPENDENCYPART_ARC
(18,22),1.58843 # DEPENDENCYPART_ARC
(18,23),-1.23059 # DEPENDENCYPART_ARC
(18,24),-2.10382 # DEPENDENCYPART_ARC
(18,25),-0.601164 # DEPENDENCYPART_ARC
(18,26),-1.39604 # DEPENDENCYPART_ARC
(18,27),-1.93213 # DEPENDENCYPART_ARC
(18,28),-1.13417 # DEPENDENCYPART_ARC
(18,29),-1.19311 # DEPENDENCYPART_ARC
(18,30),-2.39309 # DEPENDENCYPART_ARC
(18,31),-1.55881 # DEPENDENCYPART_ARC
(19,1),-1.56286 # DEPENDENCYPART_ARC
(19,2),-0.419517 # DEPENDENCYPART_ARC
(19,3),-2.46801 # DEPENDENCYPART_ARC
