# _root_ Přestože soupeř v závěru již nehrál v nejsilnější sestavě , považuji výhru za náš úspěch , " konstatoval olomoucký trenér Jiří Teplý .
#goldHeads=11,6,6,3,6,1,6,9,7,1,18,11,11,15,13,11,11,0,20,22,22,18,0,
#predictedHeads=18,6,6,3,6,1,6,9,7,1,0,11,12,15,13,11,11,0,20,21,22,18,0,
(3,18),-3.6944 # DEPENDENCYPART_ARC
(3,19),-4.55106 # DEPENDENCYPART_ARC
(3,20),-11.9189 # DEPENDENCYPART_ARC
(3,21),-13.0968 # DEPENDENCYPART_ARC
(3,22),-4.48663 # DEPENDENCYPART_ARC
(3,23),-4.80477 # DEPENDENCYPART_ARC
(4,1),-0.404151 # DEPENDENCYPART_ARC
(4,2),-0.638829 # DEPENDENCYPART_ARC
(4,3),2.34256 # DEPENDENCYPART_ARC
(4,5),0.535822 # DEPENDENCYPART_ARC
(4,6),-1.16101 # DEPENDENCYPART_ARC
(4,7),-0.684825 # DEPENDENCYPART_ARC
(4,8),-1.78543 # DEPENDENCYPART_ARC
(4,9),-0.776894 # DEPENDENCYPART_ARC
(4,10),-0.909441 # DEPENDENCYPART_ARC
(4,11),-3.02695 # DEPENDENCYPART_ARC
(4,12),-5.72832 # DEPENDENCYPART_ARC
(4,13),-1.112 # DEPENDENCYPART_ARC
(4,14),-4.27393 # DEPENDENCYPART_ARC
(4,15),-5.90057 # DEPENDENCYPART_ARC
(4,16),-1.53322 # DEPENDENCYPART_ARC
(4,17),-2.06599 # DEPENDENCYPART_ARC
(4,18),-3.33631 # DEPENDENCYPART_ARC
(4,19),-4.37742 # DEPENDENCYPART_ARC
(4,20),-5.62424 # DEPENDENCYPART_ARC
(4,21),-5.84497 # DEPENDENCYPART_ARC
(4,22),-3.94813 # DEPENDENCYPART_ARC
(4,23),-7.87412 # DEPENDENCYPART_ARC
(5,1),-0.948575 # DEPENDENCYPART_ARC
(5,2),-1.02036 # DEPENDENCYPART_ARC
(5,3),-0.520658 # DEPENDENCYPART_ARC
(5,4),-0.767602 # DEPENDENCYPART_ARC
(5,6),-1.14546 # DEPENDENCYPART_ARC
(5,7),-1.52369 # DEPENDENCYPART_ARC
(5,8),-1.71159 # DEPENDENCYPART_ARC
(5,9),-2.17859 # DEPENDENCYPART_ARC
(5,10),-1.74634 # DEPENDENCYPART_ARC
(5,11),-2.28496 # DEPENDENCYPART_ARC
(5,12),-3.42104 # DEPENDENCYPART_ARC
(5,13),-2.56211 # DEPENDENCYPART_ARC
(5,14),-2.75279 # DEPENDENCYPART_ARC
(5,15),-4.04159 # DEPENDENCYPART_ARC
(5,16),-2.51415 # DEPENDENCYPART_ARC
(5,17),-2.96761 # DEPENDENCYPART_ARC
(5,18),-2.84509 # DEPENDENCYPART_ARC
(5,19),-2.94339 # DEPENDENCYPART_ARC
(5,20),-4.78717 # DEPENDENCYPART_ARC
(5,21),-5.0342 # DEPENDENCYPART_ARC
(5,22),-3.13821 # DEPENDENCYPART_ARC
(5,23),-4.72583 # DEPENDENCYPART_ARC
(6,1),1.91098 # DEPENDENCYPART_ARC
(6,2),2.80419 # DEPENDENCYPART_ARC
(6,3),1.67289 # DEPENDENCYPART_ARC
(6,4),0.956637 # DEPENDENCYPART_ARC
(6,5),2.66861 # DEPENDENCYPART_ARC
(6,7),2.6845 # DEPENDENCYPART_ARC
(6,8),-2.83913 # DEPENDENCYPART_ARC
(6,9),0.718982 # DEPENDENCYPART_ARC
(6,10),1.07652 # DEPENDENCYPART_ARC
(6,11),-0.268816 # DEPENDENCYPART_ARC
(6,12),0.693736 # DEPENDENCYPART_ARC
(6,13),0.290245 # DEPENDENCYPART_ARC
(6,14),-4.29095 # DEPENDENCYPART_ARC
(6,15),0.110783 # DEPENDENCYPART_ARC
(6,16),0.536728 # DEPENDENCYPART_ARC
(6,17),0.495749 # DEPENDENCYPART_ARC
(6,18),-4.12747 # DEPENDENCYPART_ARC
(6,19),-3.27016 # DEPENDENCYPART_ARC
(6,20),-2.42925 # DEPENDENCYPART_ARC
(6,21),-2.09621 # DEPENDENCYPART_ARC
(6,22),-1.78962 # DEPENDENCYPART_ARC
(6,23),-1.45802 # DEPENDENCYPART_ARC
(7,1),-2.26438 # DEPENDENCYPART_ARC
(7,2),-3.69506 # DEPENDENCYPART_ARC
(7,3),-1.84457 # DEPENDENCYPART_ARC
(7,4),-1.24409 # DEPENDENCYPART_ARC
(7,5),-1.28195 # DEPENDENCYPART_ARC
(7,6),-1.38976 # DEPENDENCYPART_ARC
(7,8),1.50506 # DEPENDENCYPART_ARC
(7,9),4.42319 # DEPENDENCYPART_ARC
(7,10),-0.0217102 # DEPENDENCYPART_ARC
(7,11),-0.996157 # DEPENDENCYPART_ARC
(7,12),-2.89964 # DEPENDENCYPART_ARC
(7,13),-1.70685 # DEPENDENCYPART_ARC
(7,14),-3.59524 # DEPENDENCYPART_ARC
(7,15),-5.04223 # DEPENDENCYPART_ARC
(7,16),-1.19948 # DEPENDENCYPART_ARC
(7,17),-1.79655 # DEPENDENCYPART_ARC
(7,18),-2.5265 # DEPENDENCYPART_ARC
(7,19),-3.41454 # DEPENDENCYPART_ARC
(7,20),-7.74823 # DEPENDENCYPART_ARC
(7,21),-8.95681 # DEPENDENCYPART_ARC
(7,22),-3.49662 # DEPENDENCYPART_ARC
(7,23),-3.46014 # DEPENDENCYPART_ARC
(8,1),-1.71782 # DEPENDENCYPART_ARC
(8,2),-4.10899 # DEPENDENCYPART_ARC
(8,3),-1.92476 # DEPENDENCYPART_ARC
(8,4),-3.15622 # DEPENDENCYPART_ARC
(8,5),-0.949745 # DEPENDENCYPART_ARC
(8,6),-3.01305 # DEPENDENCYPART_ARC
(8,7),-0.823928 # DEPENDENCYPART_ARC
(8,9),0.356072 # DEPENDENCYPART_ARC
(8,10),-0.64423 # DEPENDENCYPART_ARC
(8,11),-1.96914 # DEPENDENCYPART_ARC
(8,12),-3.6361 # DEPENDENCYPART_ARC
(8,13),-1.36142 # DEPENDENCYPART_ARC
(8,14),-5.04928 # DEPENDENCYPART_ARC
(8,15),-4.26947 # DEPENDENCYPART_ARC
(8,16),-1.49606 # DEPENDENCYPART_ARC
(8,17),-1.9287 # DEPENDENCYPART_ARC
(8,18),-3.85259 # DEPENDENCYPART_ARC
(8,19),-4.85182 # DEPENDENCYPART_ARC
(8,20),-6.2382 # DEPENDENCYPART_ARC
(8,21),-7.10425 # DEPENDENCYPART_ARC
(8,22),-5.29243 # DEPENDENCYPART_ARC
(8,23),-3.97737 # DEPENDENCYPART_ARC
(9,1),-2.26585 # DEPENDENCYPART_ARC
(9,2),-2.8777 # DEPENDENCYPART_ARC
(9,3),-0.871846 # DEPENDENCYPART_ARC
(9,4),-1.22935 # DEPENDENCYPART_ARC
(9,5),0.665152 # DEPENDENCYPART_ARC
(9,6),-2.31901 # DEPENDENCYPART_ARC
(9,7),0.899218 # DEPENDENCYPART_ARC
(9,8),4.82099 # DEPENDENCYPART_ARC
(9,10),-0.576917 # DEPENDENCYPART_ARC
(9,11),-1.94523 # DEPENDENCYPART_ARC
(9,12),-5.13621 # DEPENDENCYPART_ARC
(9,13),-1.46266 # DEPENDENCYPART_ARC
(9,14),-5.56782 # DEPENDENCYPART_ARC
(9,15),-5.73428 # DEPENDENCYPART_ARC
(9,16),-1.28067 # DEPENDENCYPART_ARC
(9,17),-1.64723 # DEPENDENCYPART_ARC
(9,18),-1.84794 # DEPENDENCYPART_ARC
(9,19),-3.7452 # DEPENDENCYPART_ARC
(9,20),-5.03726 # DEPENDENCYPART_ARC
(9,21),-5.67418 # DEPENDENCYPART_ARC
(9,22),-3.60219 # DEPENDENCYPART_ARC
(9,23),-6.3459 # DEPENDENCYPART_ARC
(10,1),-0.558857 # DEPENDENCYPART_ARC
(10,2),-0.563515 # DEPENDENCYPART_ARC
(10,3),-0.336534 # DEPENDENCYPART_ARC
(10,4),0.00250102 # DEPENDENCYPART_ARC
(10,5),-0.0940852 # DEPENDENCYPART_ARC
(10,6),0.781884 # DEPENDENCYPART_ARC
(10,7),0.343643 # DEPENDENCYPART_ARC
(10,8),0.24522 # DEPENDENCYPART_ARC
(10,9),-0.0748561 # DEPENDENCYPART_ARC
(10,11),0.499657 # DEPENDENCYPART_ARC
(10,12),-0.617925 # DEPENDENCYPART_ARC
(10,13),-0.597347 # DEPENDENCYPART_ARC
(10,14),-0.839614 # DEPENDENCYPART_ARC
(10,15),-1.23536 # DEPENDENCYPART_ARC
(10,16),0.196075 # DEPENDENCYPART_ARC
(10,17),0.135781 # DEPENDENCYPART_ARC
(10,18),-1.33447 # DEPENDENCYPART_ARC
(10,19),-2.03596 # DEPENDENCYPART_ARC
(10,20),-2.4562 # DEPENDENCYPART_ARC
(10,21),-2.67254 # DEPENDENCYPART_ARC
(10,22),-2.47772 # DEPENDENCYPART_ARC
(10,23),-1.09049 # DEPENDENCYPART_ARC
(11,1),2.83388 # DEPENDENCYPART_ARC
(11,2),0.670856 # DEPENDENCYPART_ARC
(11,3),0.228466 # DEPENDENCYPART_ARC
(11,4),-1.41114 # DEPENDENCYPART_ARC
(11,5),0.310258 # DEPENDENCYPART_ARC
(11,6),-0.65118 # DEPENDENCYPART_ARC
(11,7),1.27361 # DEPENDENCYPART_ARC
(11,8),-2.66483 # DEPENDENCYPART_ARC
(11,9),-0.935435 # DEPENDENCYPART_ARC
(11,10),0.587995 # DEPENDENCYPART_ARC
(11,12),3.21962 # DEPENDENCYPART_ARC
(11,13),1.57931 # DEPENDENCYPART_ARC
(11,14),-3.18125 # DEPENDENCYPART_ARC
(11,15),1.26166 # DEPENDENCYPART_ARC
(11,16),1.96497 # DEPENDENCYPART_ARC
(11,17),1.60403 # DEPENDENCYPART_ARC
(11,18),-1.80971 # DEPENDENCYPART_ARC
(11,19),-3.11447 # DEPENDENCYPART_ARC
(11,20),-0.935053 # DEPENDENCYPART_ARC
(11,21),-1.4422 # DEPENDENCYPART_ARC
(11,22),-1.9879 # DEPENDENCYPART_ARC
(11,23),-0.052651 # DEPENDENCYPART_ARC
(12,1),-3.63716 # DEPENDENCYPART_ARC
(12,2),-5.47858 # DEPENDENCYPART_ARC
(12,3),-2.37702 # DEPENDENCYPART_ARC
(12,4),-4.78344 # DEPENDENCYPART_ARC
(12,5),-1.28179 # DEPENDENCYPART_ARC
(12,6),-2.98357 # DEPENDENCYPART_ARC
(12,7),-1.03199 # DEPENDENCYPART_ARC
(12,8),-1.54399 # DEPENDENCYPART_ARC
(12,9),-3.60723 # DEPENDENCYPART_ARC
(12,10),-1.02862 # DEPENDENCYPART_ARC
(12,11),-0.527978 # DEPENDENCYPART_ARC
(12,13),2.17947 # DEPENDENCYPART_ARC
(12,14),-2.3717 # DEPENDENCYPART_ARC
(12,15),-0.916785 # DEPENDENCYPART_ARC
(12,16),-0.385964 # DEPENDENCYPART_ARC
(12,17),0.0323534 # DEPENDENCYPART_ARC
(12,18),0.0994583 # DEPENDENCYPART_ARC
(12,19),-1.90517 # DEPENDENCYPART_ARC
(12,20),-2.85372 # DEPENDENCYPART_ARC
(12,21),-3.5455 # DEPENDENCYPART_ARC
(12,22),-1.64733 # DEPENDENCYPART_ARC
(12,23),-3.80211 # DEPENDENCYPART_ARC
(13,1),-2.31532 # DEPENDENCYPART_ARC
(13,2),-4.05787 # DEPENDENCYPART_ARC
(13,3),-3.31313 # DEPENDENCYPART_ARC
(13,4),-1.41472 # DEPENDENCYPART_ARC
(13,5),-2.26475 # DEPENDENCYPART_ARC
(13,6),-3.05835 # DEPENDENCYPART_ARC
(13,7),-2.65258 # DEPENDENCYPART_ARC
(13,8),-2.46995 # DEPENDENCYPART_ARC
(13,9),-2.79518 # DEPENDENCYPART_ARC
(13,10),-1.16671 # DEPENDENCYPART_ARC
(13,11),-2.11639 # DEPENDENCYPART_ARC
(13,12),-1.37654 # DEPENDENCYPART_ARC
(13,14),2.06309 # DEPENDENCYPART_ARC
(13,15),4.19417 # DEPENDENCYPART_ARC
(13,16),0.147727 # DEPENDENCYPART_ARC
(13,17),-0.413008 # DEPENDENCYPART_ARC
(13,18),-1.16388 # DEPENDENCYPART_ARC
(13,19),-1.19147 # DEPENDENCYPART_ARC
(13,20),-3.9654 # DEPENDENCYPART_ARC
(13,21),-5.14189 # DEPENDENCYPART_ARC
(13,22),-1.27705 # DEPENDENCYPART_ARC
(13,23),-1.63863 # DEPENDENCYPART_ARC
(14,1),-2.46921 # DEPENDENCYPART_ARC
(14,2),-4.76198 # DEPENDENCYPART_ARC
(14,3),-2.58661 # DEPENDENCYPART_ARC
(14,4),-2.92217 # DEPENDENCYPART_ARC
(14,5),-1.42906 # DEPENDENCYPART_ARC
(14,6),-4.50927 # DEPENDENCYPART_ARC
(14,7),-2.25978 # DEPENDENCYPART_ARC
(14,8),-4.70859 # DEPENDENCYPART_ARC
(14,9),-2.34227 # DEPENDENCYPART_ARC
(14,10),-1.24253 # DEPENDENCYPART_ARC
(14,11),-2.47607 # DEPENDENCYPART_ARC
(14,12),-1.01805 # DEPENDENCYPART_ARC
(14,13),-0.240346 # DEPENDENCYPART_ARC
(14,15),-0.00447788 # DEPENDENCYPART_ARC
(14,16),-1.33358 # DEPENDENCYPART_ARC
(14,17),-1.36812 # DEPENDENCYPART_ARC
(14,18),-2.85098 # DEPENDENCYPART_ARC
(14,19),-4.36874 # DEPENDENCYPART_ARC
(14,20),-2.94189 # DEPENDENCYPART_ARC
(14,21),-3.35726 # DEPENDENCYPART_ARC
(14,22),-4.92179 # DEPENDENCYPART_ARC
(14,23),-1.79728 # DEPENDENCYPART_ARC
(15,1),-4.24359 # DEPENDENCYPART_ARC
(15,2),-6.0882 # DEPENDENCYPART_ARC
(15,3),-3.09132 # DEPENDENCYPART_ARC
(15,4),-5.59117 # DEPENDENCYPART_ARC
(15,5),-1.37691 # DEPENDENCYPART_ARC
(15,6),-2.56233 # DEPENDENCYPART_ARC
(15,7),-1.63844 # DEPENDENCYPART_ARC
(15,8),-3.47483 # DEPENDENCYPART_ARC
(15,9),-5.76181 # DEPENDENCYPART_ARC
(15,10),-1.52497 # DEPENDENCYPART_ARC
(15,11),-1.81903 # DEPENDENCYPART_ARC
(15,12),-1.22921 # DEPENDENCYPART_ARC
(15,13),0.0646764 # DEPENDENCYPART_ARC
(15,14),5.63838 # DEPENDENCYPART_ARC
(15,16),-0.967157 # DEPENDENCYPART_ARC
(15,17),-0.505342 # DEPENDENCYPART_ARC
(15,18),-0.242605 # DEPENDENCYPART_ARC
(15,19),-2.26149 # DEPENDENCYPART_ARC
(15,20),-2.47874 # DEPENDENCYPART_ARC
(15,21),-3.19074 # DEPENDENCYPART_ARC
(15,22),-2.47881 # DEPENDENCYPART_ARC
(15,23),-3.31254 # DEPENDENCYPART_ARC
(16,1),-1.23127 # DEPENDENCYPART_ARC
(16,2),-1.73175 # DEPENDENCYPART_ARC
(16,3),-1.03002 # DEPENDENCYPART_ARC
(16,4),-1.47317 # DEPENDENCYPART_ARC
(16,5),-1.14606 # DEPENDENCYPART_ARC
(16,6),-0.543971 # DEPENDENCYPART_ARC
(16,7),-0.565189 # DEPENDENCYPART_ARC
(16,8),-0.802293 # DEPENDENCYPART_ARC
(16,9),-0.704993 # DEPENDENCYPART_ARC
(16,10),-0.165069 # DEPENDENCYPART_ARC
(16,11),0.197771 # DEPENDENCYPART_ARC
(16,12),-0.0294271 # DEPENDENCYPART_ARC
(16,13),-0.429072 # DEPENDENCYPART_ARC
(16,14),0.238504 # DEPENDENCYPART_ARC
(16,15),0.208479 # DEPENDENCYPART_ARC
(16,17),-0.354431 # DEPENDENCYPART_ARC
(16,18),-0.0831722 # DEPENDENCYPART_ARC
(16,19),-0.709605 # DEPENDENCYPART_ARC
(16,20),-0.264513 # DEPENDENCYPART_ARC
(16,21),-0.739296 # DEPENDENCYPART_ARC
(16,22),-1.30333 # DEPENDENCYPART_ARC
(16,23),-0.99398 # DEPENDENCYPART_ARC
(17,1),-2.59676 # DEPENDENCYPART_ARC
(17,2),-4.72053 # DEPENDENCYPART_ARC
(17,3),-2.96189 # DEPENDENCYPART_ARC
(17,4),-4.14721 # DEPENDENCYPART_ARC
(17,5),-2.80046 # DEPENDENCYPART_ARC
(17,6),-1.97015 # DEPENDENCYPART_ARC
(17,7),-2.6565 # DEPENDENCYPART_ARC
(17,8),-2.56345 # DEPENDENCYPART_ARC
(17,9),-3.22141 # DEPENDENCYPART_ARC
(17,10),-2.38558 # DEPENDENCYPART_ARC
(17,11),-1.08766 # DEPENDENCYPART_ARC
(17,12),-2.44403 # DEPENDENCYPART_ARC
(17,13),-2.03995 # DEPENDENCYPART_ARC
(17,14),-1.06796 # DEPENDENCYPART_ARC
(17,15),-1.97922 # DEPENDENCYPART_ARC
(17,16),-1.6413 # DEPENDENCYPART_ARC
(17,18),-1.41336 # DEPENDENCYPART_ARC
(17,19),-1.91898 # DEPENDENCYPART_ARC
(17,20),-2.76556 # DEPENDENCYPART_ARC
(17,21),-3.10263 # DEPENDENCYPART_ARC
(17,22),-2.78957 # DEPENDENCYPART_ARC
(17,23),-2.33216 # DEPENDENCYPART_ARC
(18,1),3.18476 # DEPENDENCYPART_ARC
(18,2),0.385198 # DEPENDENCYPART_ARC
(18,3),-1.65371 # DEPENDENCYPART_ARC
(18,4),-1.2635 # DEPENDENCYPART_ARC
(18,5),-1.80652 # DEPENDENCYPART_ARC
(18,6),-0.784123 # DEPENDENCYPART_ARC
(18,7),-1.12284 # DEPENDENCYPART_ARC
(18,8),-3.8878 # DEPENDENCYPART_ARC
(18,9),-2.7613 # DEPENDENCYPART_ARC
(18,10),-1.16625 # DEPENDENCYPART_ARC
(18,11),0.945396 # DEPENDENCYPART_ARC
(18,12),-0.606933 # DEPENDENCYPART_ARC
(18,13),0.115085 # DEPENDENCYPART_ARC
(18,14),-1.02307 # DEPENDENCYPART_ARC
(18,15),1.04956 # DEPENDENCYPART_ARC
(18,16),0.375784 # DEPENDENCYPART_ARC
(18,17),0.110053 # DEPENDENCYPART_ARC
(18,19),1.45305 # DEPENDENCYPART_ARC
(18,20),2.29698 # DEPENDENCYPART_ARC
(18,21),1.31335 # DEPENDENCYPART_ARC
(18,22),1.56236 # DEPENDENCYPART_ARC
(18,23),-0.182534 # DEPENDENCYPART_ARC
(19,1),-2.96119 # DEPENDENCYPART_ARC
(19,2),-3.21122 # DEPENDENCYPART_ARC
(19,3),-2.73445 # DEPENDENCYPART_ARC
(19,4),-5.54121 # DEPENDENCYPART_ARC
(19,5),-3.29555 # DEPENDENCYPART_ARC
(19,6),-4.03969 # DEPENDENCYPART_ARC
(19,7),-2.38394 # DEPENDENCYPART_ARC
(19,8),-4.34346 # DEPENDENCYPART_ARC
(19,9),-5.62509 # DEPENDENCYPART_ARC
(19,10),-2.83252 # DEPENDENCYPART_ARC
(19,11),-2.55705 # DEPENDENCYPART_ARC
(19,12),-4.07929 # DEPENDENCYPART_ARC
(19,13),-1.1163 # DEPENDENCYPART_ARC
(19,14),-3.11836 # DEPENDENCYPART_ARC
(19,15),-2.88662 # DEPENDENCYPART_ARC
(19,16),-1.27861 # DEPENDENCYPART_ARC
(19,17),-0.757786 # DEPENDENCYPART_ARC
(19,18),-2.14171 # DEPENDENCYPART_ARC
(19,20),-0.405795 # DEPENDENCYPART_ARC
(19,21),-1.86378 # DEPENDENCYPART_ARC
(19,22),-1.02799 # DEPENDENCYPART_ARC
(19,23),-1.01632 # DEPENDENCYPART_ARC
(20,1),-6.01868 # DEPENDENCYPART_ARC
(20,2),-4.2742 # DEPENDENCYPART_ARC
(20,3),-4.0997 # DEPENDENCYPART_ARC
(20,4),-8.48924 # DEPENDENCYPART_ARC
(20,5),-3.06841 # DEPENDENCYPART_ARC
(20,6),-3.86855 # DEPENDENCYPART_ARC
(20,7),-3.33708 # DEPENDENCYPART_ARC
(20,8),-4.77653 # DEPENDENCYPART_ARC
(20,9),-9.25557 # DEPENDENCYPART_ARC
(20,10),-2.79644 # DEPENDENCYPART_ARC
(20,11),-2.84516 # DEPENDENCYPART_ARC
(20,12),-7.63586 # DEPENDENCYPART_ARC
(20,13),-1.57973 # DEPENDENCYPART_ARC
(20,14),-1.95532 # DEPENDENCYPART_ARC
(20,15),-5.94274 # DEPENDENCYPART_ARC
(20,16),-1.36072 # DEPENDENCYPART_ARC
(20,17),-0.37336 # DEPENDENCYPART_ARC
(20,18),-2.93323 # DEPENDENCYPART_ARC
(20,19),5.14981 # DEPENDENCYPART_ARC
(20,21),0.969787 # DEPENDENCYPART_ARC
(20,22),1.33964 # DEPENDENCYPART_ARC
(20,23),-0.544396 # DEPENDENCYPART_ARC
(21,1),-6.20616 # DEPENDENCYPART_ARC
(21,2),-4.55336 # DEPENDENCYPART_ARC
(21,3),-5.23075 # DEPENDENCYPART_ARC
(21,4),-8.27099 # DEPENDENCYPART_ARC
(21,5),-3.63194 # DEPENDENCYPART_ARC
(21,6),-4.87994 # DEPENDENCYPART_ARC
(21,7),-4.03862 # DEPENDENCYPART_ARC
(21,8),-7.27382 # DEPENDENCYPART_ARC
(21,9),-8.60606 # DEPENDENCYPART_ARC
(21,10),-3.27163 # DEPENDENCYPART_ARC
(21,11),-3.67565 # DEPENDENCYPART_ARC
(21,12),-6.55726 # DEPENDENCYPART_ARC
(21,13),-2.21084 # DEPENDENCYPART_ARC
(21,14),-3.39489 # DEPENDENCYPART_ARC
(21,15),-5.83546 # DEPENDENCYPART_ARC
(21,16),-1.89817 # DEPENDENCYPART_ARC
(21,17),-1.23908 # DEPENDENCYPART_ARC
(21,18),-4.4343 # DEPENDENCYPART_ARC
(21,19),1.07967 # DEPENDENCYPART_ARC
(21,20),2.36919 # DEPENDENCYPART_ARC
(21,22),0.894504 # DEPENDENCYPART_ARC
(21,23),-0.29062 # DEPENDENCYPART_ARC
(22,1),-1.94747 # DEPENDENCYPART_ARC
(22,2),-1.3659 # DEPENDENCYPART_ARC
(22,3),-1.37906 # DEPENDENCYPART_ARC
(22,4),-3.81895 # DEPENDENCYPART_ARC
(22,5),-2.16208 # DEPENDENCYPART_ARC
(22,6),-2.74383 # DEPENDENCYPART_ARC
(22,7),-0.833864 # DEPENDENCYPART_ARC
(22,8),-2.72689 # DEPENDENCYPART_ARC
(22,9),-3.75222 # DEPENDENCYPART_ARC
(22,10),-1.88236 # DEPENDENCYPART_ARC
(22,11),-1.43243 # DEPENDENCYPART_ARC
(22,12),-2.33409 # DEPENDENCYPART_ARC
(22,13),0.430226 # DEPENDENCYPART_ARC
(22,14),-2.2009 # DEPENDENCYPART_ARC
(22,15),-1.49931 # DEPENDENCYPART_ARC
(22,16),-0.572218 # DEPENDENCYPART_ARC
(22,17),-0.271568 # DEPENDENCYPART_ARC
(22,18),-1.84504 # DEPENDENCYPART_ARC
(22,19),1.30175 # DEPENDENCYPART_ARC
(22,20),1.89061 # DEPENDENCYPART_ARC
(22,21),4.09946 # DEPENDENCYPART_ARC
(22,23),1.00443 # DEPENDENCYPART_ARC
(23,1),-5.23045 # DEPENDENCYPART_ARC
