# _root_ Situace na jazzové scéně , byť se v létě konal první ročník nového Agharta Jazz Festivalu , je téměř horší než za socialismu .
#goldHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,16,16,12,6,0,20,18,20,21,22,0,
#predictedHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,15,12,15,6,0,20,18,20,21,22,0,
(8,4),-2.58588 # DEPENDENCYPART_ARC
(8,5),0.219934 # DEPENDENCYPART_ARC
(8,6),-1.06061 # DEPENDENCYPART_ARC
(8,9),5.4633 # DEPENDENCYPART_ARC
(8,10),-1.55668 # DEPENDENCYPART_ARC
(8,11),-2.3265 # DEPENDENCYPART_ARC
(8,12),-3.80684 # DEPENDENCYPART_ARC
(8,13),-2.7069 # DEPENDENCYPART_ARC
(8,14),-1.23812 # DEPENDENCYPART_ARC
(8,15),-4.63149 # DEPENDENCYPART_ARC
(8,16),-6.21794 # DEPENDENCYPART_ARC
(8,17),-1.13092 # DEPENDENCYPART_ARC
(8,18),-1.9703 # DEPENDENCYPART_ARC
(8,19),-1.81635 # DEPENDENCYPART_ARC
(8,20),-3.65337 # DEPENDENCYPART_ARC
(8,21),-4.00168 # DEPENDENCYPART_ARC
(8,22),-2.90914 # DEPENDENCYPART_ARC
(8,23),-8.56059 # DEPENDENCYPART_ARC
(8,24),-3.58116 # DEPENDENCYPART_ARC
(9,1),-6.69721 # DEPENDENCYPART_ARC
(9,2),-2.234 # DEPENDENCYPART_ARC
(9,3),-2.10228 # DEPENDENCYPART_ARC
(9,4),-4.56565 # DEPENDENCYPART_ARC
(9,5),-1.15172 # DEPENDENCYPART_ARC
(9,6),-1.32485 # DEPENDENCYPART_ARC
(9,7),-1.77597 # DEPENDENCYPART_ARC
(9,8),0.934875 # DEPENDENCYPART_ARC
(9,10),-1.37614 # DEPENDENCYPART_ARC
(9,11),-2.08278 # DEPENDENCYPART_ARC
(9,12),-2.66931 # DEPENDENCYPART_ARC
(9,13),-2.45492 # DEPENDENCYPART_ARC
(9,14),-2.21212 # DEPENDENCYPART_ARC
(9,15),-2.25833 # DEPENDENCYPART_ARC
(9,16),-1.53313 # DEPENDENCYPART_ARC
(9,17),-1.93754 # DEPENDENCYPART_ARC
(9,18),-4.65421 # DEPENDENCYPART_ARC
(9,19),-1.835 # DEPENDENCYPART_ARC
(9,20),-5.21074 # DEPENDENCYPART_ARC
(9,21),-3.32615 # DEPENDENCYPART_ARC
(9,22),-2.73955 # DEPENDENCYPART_ARC
(9,23),-3.07586 # DEPENDENCYPART_ARC
(9,24),-6.86285 # DEPENDENCYPART_ARC
(10,1),1.30557 # DEPENDENCYPART_ARC
(10,2),-0.44403 # DEPENDENCYPART_ARC
(10,3),-4.22341 # DEPENDENCYPART_ARC
(10,4),-2.87873 # DEPENDENCYPART_ARC
(10,5),0.484051 # DEPENDENCYPART_ARC
(10,6),0.492184 # DEPENDENCYPART_ARC
(10,7),4.09601 # DEPENDENCYPART_ARC
(10,8),2.90031 # DEPENDENCYPART_ARC
(10,9),0.213189 # DEPENDENCYPART_ARC
(10,11),1.20437 # DEPENDENCYPART_ARC
(10,12),2.94384 # DEPENDENCYPART_ARC
(10,13),-1.69884 # DEPENDENCYPART_ARC
(10,14),-1.98781 # DEPENDENCYPART_ARC
(10,15),0.878399 # DEPENDENCYPART_ARC
(10,16),-0.0735507 # DEPENDENCYPART_ARC
(10,17),0.795606 # DEPENDENCYPART_ARC
(10,18),-1.41714 # DEPENDENCYPART_ARC
(10,19),-1.27411 # DEPENDENCYPART_ARC
(10,20),-2.22648 # DEPENDENCYPART_ARC
(10,21),-1.31957 # DEPENDENCYPART_ARC
(10,22),-0.825699 # DEPENDENCYPART_ARC
(10,23),-4.23607 # DEPENDENCYPART_ARC
(10,24),-0.464356 # DEPENDENCYPART_ARC
(11,1),-2.60958 # DEPENDENCYPART_ARC
(11,2),-1.37398 # DEPENDENCYPART_ARC
(11,3),-3.61268 # DEPENDENCYPART_ARC
(11,4),-3.43 # DEPENDENCYPART_ARC
(11,5),-1.73633 # DEPENDENCYPART_ARC
(11,6),-0.98776 # DEPENDENCYPART_ARC
(11,8),-0.379758 # DEPENDENCYPART_ARC
(11,9),-1.74943 # DEPENDENCYPART_ARC
(11,10),-3.19515 # DEPENDENCYPART_ARC
(11,12),0.283043 # DEPENDENCYPART_ARC
(11,13),-0.793929 # DEPENDENCYPART_ARC
(11,14),-1.56462 # DEPENDENCYPART_ARC
(11,15),-2.98567 # DEPENDENCYPART_ARC
(11,16),-2.16715 # DEPENDENCYPART_ARC
(11,17),-1.32288 # DEPENDENCYPART_ARC
(11,19),-0.932631 # DEPENDENCYPART_ARC
(11,20),-2.81189 # DEPENDENCYPART_ARC
(11,21),-0.793258 # DEPENDENCYPART_ARC
(11,22),-0.441139 # DEPENDENCYPART_ARC
(11,23),-3.34358 # DEPENDENCYPART_ARC
(11,24),-2.51069 # DEPENDENCYPART_ARC
(12,1),-3.56811 # DEPENDENCYPART_ARC
(12,2),-0.988035 # DEPENDENCYPART_ARC
(12,3),-3.2093 # DEPENDENCYPART_ARC
(12,4),-5.73323 # DEPENDENCYPART_ARC
(12,5),-0.510195 # DEPENDENCYPART_ARC
(12,6),-1.2907 # DEPENDENCYPART_ARC
(12,7),-2.83859 # DEPENDENCYPART_ARC
(12,8),0.779062 # DEPENDENCYPART_ARC
(12,9),-2.41256 # DEPENDENCYPART_ARC
(12,10),-2.49454 # DEPENDENCYPART_ARC
(12,11),4.64325 # DEPENDENCYPART_ARC
(12,13),1.34482 # DEPENDENCYPART_ARC
(12,14),0.998932 # DEPENDENCYPART_ARC
(12,15),1.73842 # DEPENDENCYPART_ARC
(12,16),1.71081 # DEPENDENCYPART_ARC
(12,17),-0.305788 # DEPENDENCYPART_ARC
(12,18),-1.35328 # DEPENDENCYPART_ARC
(12,19),-0.217489 # DEPENDENCYPART_ARC
(12,20),-1.82161 # DEPENDENCYPART_ARC
(12,21),-1.18767 # DEPENDENCYPART_ARC
(12,22),-0.796649 # DEPENDENCYPART_ARC
(12,23),-0.236892 # DEPENDENCYPART_ARC
(12,24),-3.69582 # DEPENDENCYPART_ARC
(13,1),-4.89051 # DEPENDENCYPART_ARC
(13,2),-2.26616 # DEPENDENCYPART_ARC
(13,3),-5.16345 # DEPENDENCYPART_ARC
(13,4),-4.91991 # DEPENDENCYPART_ARC
(13,5),-1.5123 # DEPENDENCYPART_ARC
(13,6),-1.46597 # DEPENDENCYPART_ARC
(13,7),-1.09233 # DEPENDENCYPART_ARC
(13,8),-0.824713 # DEPENDENCYPART_ARC
(13,9),-3.6435 # DEPENDENCYPART_ARC
(13,10),-4.4546 # DEPENDENCYPART_ARC
(13,11),-1.866 # DEPENDENCYPART_ARC
(13,12),-1.54486 # DEPENDENCYPART_ARC
(13,14),-1.88371 # DEPENDENCYPART_ARC
(13,15),0.287509 # DEPENDENCYPART_ARC
(13,16),-1.70535 # DEPENDENCYPART_ARC
(13,17),-0.24218 # DEPENDENCYPART_ARC
(13,18),-2.14657 # DEPENDENCYPART_ARC
(13,19),-0.722141 # DEPENDENCYPART_ARC
(13,20),-4.97143 # DEPENDENCYPART_ARC
(13,21),0.42979 # DEPENDENCYPART_ARC
(13,22),-1.37153 # DEPENDENCYPART_ARC
(13,23),-4.15038 # DEPENDENCYPART_ARC
(13,24),-1.87962 # DEPENDENCYPART_ARC
(14,1),-3.96443 # DEPENDENCYPART_ARC
(14,2),-3.26857 # DEPENDENCYPART_ARC
(14,3),-3.51413 # DEPENDENCYPART_ARC
(14,4),-4.88287 # DEPENDENCYPART_ARC
(14,5),-2.23225 # DEPENDENCYPART_ARC
(14,6),-1.99958 # DEPENDENCYPART_ARC
(14,7),-1.1458 # DEPENDENCYPART_ARC
(14,8),-1.91559 # DEPENDENCYPART_ARC
(14,9),-3.18206 # DEPENDENCYPART_ARC
(14,10),-3.25283 # DEPENDENCYPART_ARC
(14,11),-1.41967 # DEPENDENCYPART_ARC
(14,12),-0.956026 # DEPENDENCYPART_ARC
(14,13),-0.273627 # DEPENDENCYPART_ARC
(14,15),1.22798 # DEPENDENCYPART_ARC
(14,16),-1.42268 # DEPENDENCYPART_ARC
(14,17),-0.185306 # DEPENDENCYPART_ARC
(14,18),-3.00793 # DEPENDENCYPART_ARC
(14,19),-1.06837 # DEPENDENCYPART_ARC
(14,20),-2.59883 # DEPENDENCYPART_ARC
(14,21),0.253061 # DEPENDENCYPART_ARC
(14,22),-3.04035 # DEPENDENCYPART_ARC
(14,23),-4.43115 # DEPENDENCYPART_ARC
(14,24),-1.67063 # DEPENDENCYPART_ARC
(15,1),-4.52537 # DEPENDENCYPART_ARC
(15,2),-2.28456 # DEPENDENCYPART_ARC
(15,3),-3.52146 # DEPENDENCYPART_ARC
(15,4),-7.29064 # DEPENDENCYPART_ARC
(15,5),-1.37893 # DEPENDENCYPART_ARC
(15,6),-2.14889 # DEPENDENCYPART_ARC
(15,7),-4.33977 # DEPENDENCYPART_ARC
(15,8),-1.19793 # DEPENDENCYPART_ARC
(15,9),-4.09342 # DEPENDENCYPART_ARC
(15,10),-4.88074 # DEPENDENCYPART_ARC
(15,11),2.70089 # DEPENDENCYPART_ARC
(15,12),0.19072 # DEPENDENCYPART_ARC
(15,13),2.23202 # DEPENDENCYPART_ARC
(15,14),4.00735 # DEPENDENCYPART_ARC
(15,16),3.07342 # DEPENDENCYPART_ARC
(15,17),-0.555427 # DEPENDENCYPART_ARC
(15,18),-2.23422 # DEPENDENCYPART_ARC
(15,19),-0.221639 # DEPENDENCYPART_ARC
(15,20),-1.36225 # DEPENDENCYPART_ARC
(15,21),-1.30788 # DEPENDENCYPART_ARC
(15,22),-1.82503 # DEPENDENCYPART_ARC
(15,23),-0.965256 # DEPENDENCYPART_ARC
(15,24),-2.50645 # DEPENDENCYPART_ARC
(16,1),-7.03784 # DEPENDENCYPART_ARC
(16,2),-1.79632 # DEPENDENCYPART_ARC
(16,3),-4.11045 # DEPENDENCYPART_ARC
(16,4),-7.42766 # DEPENDENCYPART_ARC
(16,5),-1.60994 # DEPENDENCYPART_ARC
(16,6),-2.39907 # DEPENDENCYPART_ARC
(16,7),-3.64559 # DEPENDENCYPART_ARC
(16,8),-1.81136 # DEPENDENCYPART_ARC
(16,9),-4.10226 # DEPENDENCYPART_ARC
(16,10),-3.4447 # DEPENDENCYPART_ARC
(16,11),-0.0268546 # DEPENDENCYPART_ARC
(16,12),-2.17972 # DEPENDENCYPART_ARC
(16,13),2.81999 # DEPENDENCYPART_ARC
(16,14),3.10017 # DEPENDENCYPART_ARC
(16,15),-0.114166 # DEPENDENCYPART_ARC
(16,17),-0.486155 # DEPENDENCYPART_ARC
(16,18),-1.28345 # DEPENDENCYPART_ARC
(16,19),-0.617789 # DEPENDENCYPART_ARC
(16,20),-3.32526 # DEPENDENCYPART_ARC
(16,21),-0.925366 # DEPENDENCYPART_ARC
(16,22),-1.75244 # DEPENDENCYPART_ARC
(16,23),-1.06757 # DEPENDENCYPART_ARC
(16,24),-2.51036 # DEPENDENCYPART_ARC
(17,1),-1.48632 # DEPENDENCYPART_ARC
(17,2),-1.74494 # DEPENDENCYPART_ARC
(17,3),-1.48664 # DEPENDENCYPART_ARC
(17,4),-1.6858 # DEPENDENCYPART_ARC
(17,5),-0.868888 # DEPENDENCYPART_ARC
(17,6),-0.473729 # DEPENDENCYPART_ARC
(17,7),-1.61372 # DEPENDENCYPART_ARC
(17,8),-0.961202 # DEPENDENCYPART_ARC
(17,9),0.0873879 # DEPENDENCYPART_ARC
(17,10),0.473786 # DEPENDENCYPART_ARC
(17,11),-0.747856 # DEPENDENCYPART_ARC
(17,12),-0.202808 # DEPENDENCYPART_ARC
(17,13),-0.546696 # DEPENDENCYPART_ARC
(17,14),-0.30312 # DEPENDENCYPART_ARC
(17,15),0.10933 # DEPENDENCYPART_ARC
(17,16),-0.158829 # DEPENDENCYPART_ARC
(17,18),0.0288158 # DEPENDENCYPART_ARC
(17,19),-0.58192 # DEPENDENCYPART_ARC
(17,20),-0.907734 # DEPENDENCYPART_ARC
(17,21),-0.536524 # DEPENDENCYPART_ARC
(17,22),-1.44594 # DEPENDENCYPART_ARC
(17,23),-1.90991 # DEPENDENCYPART_ARC
(17,24),-0.309759 # DEPENDENCYPART_ARC
(18,1),2.80585 # DEPENDENCYPART_ARC
(18,2),-1.72462 # DEPENDENCYPART_ARC
(18,3),-4.83153 # DEPENDENCYPART_ARC
(18,4),-1.69809 # DEPENDENCYPART_ARC
(18,5),-0.595655 # DEPENDENCYPART_ARC
(18,6),1.50588 # DEPENDENCYPART_ARC
(18,7),1.08888 # DEPENDENCYPART_ARC
(18,8),0.317517 # DEPENDENCYPART_ARC
(18,9),-0.94141 # DEPENDENCYPART_ARC
(18,10),-0.707191 # DEPENDENCYPART_ARC
(18,11),-0.297162 # DEPENDENCYPART_ARC
(18,12),1.93135 # DEPENDENCYPART_ARC
(18,13),-3.94784 # DEPENDENCYPART_ARC
(18,14),-2.22341 # DEPENDENCYPART_ARC
(18,15),1.43427 # DEPENDENCYPART_ARC
(18,16),-1.2243 # DEPENDENCYPART_ARC
(18,17),0.251698 # DEPENDENCYPART_ARC
(18,19),1.28394 # DEPENDENCYPART_ARC
(18,20),3.40585 # DEPENDENCYPART_ARC
(18,21),0.474373 # DEPENDENCYPART_ARC
(18,22),-0.190168 # DEPENDENCYPART_ARC
(18,23),-2.41968 # DEPENDENCYPART_ARC
(18,24),0.20616 # DEPENDENCYPART_ARC
(19,1),-3.47399 # DEPENDENCYPART_ARC
(19,2),-3.69974 # DEPENDENCYPART_ARC
(19,3),-3.03164 # DEPENDENCYPART_ARC
(19,4),-2.96189 # DEPENDENCYPART_ARC
(19,5),-2.58936 # DEPENDENCYPART_ARC
(19,6),-1.96775 # DEPENDENCYPART_ARC
(19,8),-2.52876 # DEPENDENCYPART_ARC
(19,9),-2.19118 # DEPENDENCYPART_ARC
(19,10),-2.05066 # DEPENDENCYPART_ARC
(19,12),-1.6364 # DEPENDENCYPART_ARC
(19,13),-1.7878 # DEPENDENCYPART_ARC
(19,14),-1.48795 # DEPENDENCYPART_ARC
(19,15),-1.63207 # DEPENDENCYPART_ARC
(19,16),-0.881393 # DEPENDENCYPART_ARC
(19,17),-0.859437 # DEPENDENCYPART_ARC
(19,18),-0.566576 # DEPENDENCYPART_ARC
(19,20),-0.461499 # DEPENDENCYPART_ARC
(19,21),1.03016 # DEPENDENCYPART_ARC
(19,22),-1.40076 # DEPENDENCYPART_ARC
(19,23),-1.2301 # DEPENDENCYPART_ARC
(19,24),-0.568464 # DEPENDENCYPART_ARC
(20,1),-4.51807 # DEPENDENCYPART_ARC
(20,2),-2.14982 # DEPENDENCYPART_ARC
(20,3),-4.1547 # DEPENDENCYPART_ARC
(20,4),-5.36865 # DEPENDENCYPART_ARC
(20,5),-2.00859 # DEPENDENCYPART_ARC
(20,6),-1.44102 # DEPENDENCYPART_ARC
(20,7),0.146769 # DEPENDENCYPART_ARC
(20,8),-0.946293 # DEPENDENCYPART_ARC
(20,9),-4.83515 # DEPENDENCYPART_ARC
(20,10),-2.9812 # DEPENDENCYPART_ARC
(20,11),-2.4769 # DEPENDENCYPART_ARC
(20,12),-2.76229 # DEPENDENCYPART_ARC
(20,13),-3.59917 # DEPENDENCYPART_ARC
(20,14),-1.61919 # DEPENDENCYPART_ARC
(20,15),-2.27722 # DEPENDENCYPART_ARC
(20,16),-2.82008 # DEPENDENCYPART_ARC
(20,17),0.0855743 # DEPENDENCYPART_ARC
(20,18),-1.10369 # DEPENDENCYPART_ARC
(20,19),2.38773 # DEPENDENCYPART_ARC
(20,21),2.70884 # DEPENDENCYPART_ARC
(20,22),-0.0688065 # DEPENDENCYPART_ARC
(20,23),-0.268605 # DEPENDENCYPART_ARC
(20,24),0.299875 # DEPENDENCYPART_ARC
(21,1),-4.08877 # DEPENDENCYPART_ARC
(21,2),-3.17314 # DEPENDENCYPART_ARC
(21,3),-5.03337 # DEPENDENCYPART_ARC
(21,4),-4.55079 # DEPENDENCYPART_ARC
(21,5),-3.57117 # DEPENDENCYPART_ARC
(21,6),-2.3566 # DEPENDENCYPART_ARC
(21,8),-2.64641 # DEPENDENCYPART_ARC
(21,9),-2.67071 # DEPENDENCYPART_ARC
(21,10),-2.28015 # DEPENDENCYPART_ARC
(21,11),-2.85987 # DEPENDENCYPART_ARC
(21,12),-3.2621 # DEPENDENCYPART_ARC
(21,13),-3.46914 # DEPENDENCYPART_ARC
(21,14),-3.15268 # DEPENDENCYPART_ARC
(21,15),-3.05049 # DEPENDENCYPART_ARC
(21,16),-2.90629 # DEPENDENCYPART_ARC
(21,17),-0.311954 # DEPENDENCYPART_ARC
(21,18),-0.915028 # DEPENDENCYPART_ARC
(21,19),-0.852207 # DEPENDENCYPART_ARC
(21,20),-1.31065 # DEPENDENCYPART_ARC
(21,22),1.47707 # DEPENDENCYPART_ARC
(21,23),1.18559 # DEPENDENCYPART_ARC
(21,24),0.448896 # DEPENDENCYPART_ARC
(22,1),-5.96325 # DEPENDENCYPART_ARC
(22,2),-5.6266 # DEPENDENCYPART_ARC
(22,3),-4.30603 # DEPENDENCYPART_ARC
(22,4),-4.85091 # DEPENDENCYPART_ARC
(22,5),-2.68335 # DEPENDENCYPART_ARC
(22,6),-3.00179 # DEPENDENCYPART_ARC
(22,8),-4.77347 # DEPENDENCYPART_ARC
(22,9),-3.38765 # DEPENDENCYPART_ARC
(22,10),-3.77923 # DEPENDENCYPART_ARC
(22,11),-4.0129 # DEPENDENCYPART_ARC
(22,12),-4.19927 # DEPENDENCYPART_ARC
(22,13),-3.87683 # DEPENDENCYPART_ARC
(22,14),-4.06891 # DEPENDENCYPART_ARC
(22,15),-4.18413 # DEPENDENCYPART_ARC
(22,16),-3.15687 # DEPENDENCYPART_ARC
(22,17),-1.42748 # DEPENDENCYPART_ARC
(22,18),-3.04389 # DEPENDENCYPART_ARC
(22,19),-1.91315 # DEPENDENCYPART_ARC
(22,20),-2.61997 # DEPENDENCYPART_ARC
(22,21),-0.672671 # DEPENDENCYPART_ARC
(22,23),3.76969 # DEPENDENCYPART_ARC
(22,24),-0.396941 # DEPENDENCYPART_ARC
(23,1),-9.56222 # DEPENDENCYPART_ARC
(23,2),-2.6931 # DEPENDENCYPART_ARC
(23,3),-6.55077 # DEPENDENCYPART_ARC
(23,4),-9.56254 # DEPENDENCYPART_ARC
(23,5),-2.37362 # DEPENDENCYPART_ARC
(23,6),-4.75203 # DEPENDENCYPART_ARC
(23,7),-5.18511 # DEPENDENCYPART_ARC
(23,8),-3.75283 # DEPENDENCYPART_ARC
(23,9),-7.05714 # DEPENDENCYPART_ARC
(23,10),-4.28438 # DEPENDENCYPART_ARC
(23,11),-2.55395 # DEPENDENCYPART_ARC
