# _root_ Ve Francii mi říkali , že kdyby moje auto šlapalo tak jako mistru Evropy Dubourgovi , koukali by se mi všichni na záda s kilometrovým odstupem .
#goldHeads=4,1,4,0,6,4,17,9,10,7,10,11,15,15,12,7,6,17,17,17,17,17,22,17,26,24,0,
#predictedHeads=4,1,4,0,6,4,17,9,10,7,10,13,15,13,16,7,6,17,17,17,17,17,22,23,26,24,0,
(2,18),-7.15603 # DEPENDENCYPART_ARC
(2,19),-4.0471 # DEPENDENCYPART_ARC
(2,20),-3.31089 # DEPENDENCYPART_ARC
(2,21),-4.19281 # DEPENDENCYPART_ARC
(2,22),-5.98027 # DEPENDENCYPART_ARC
(2,23),-11.4462 # DEPENDENCYPART_ARC
(2,24),-4.78064 # DEPENDENCYPART_ARC
(2,25),-8.303 # DEPENDENCYPART_ARC
(2,26),-9.16712 # DEPENDENCYPART_ARC
(2,27),-9.65356 # DEPENDENCYPART_ARC
(3,2),-0.858096 # DEPENDENCYPART_ARC
(3,9),-2.65741 # DEPENDENCYPART_ARC
(3,13),-2.32972 # DEPENDENCYPART_ARC
(3,14),-3.36673 # DEPENDENCYPART_ARC
(3,15),-2.99605 # DEPENDENCYPART_ARC
(3,23),-3.70893 # DEPENDENCYPART_ARC
(3,25),-4.01205 # DEPENDENCYPART_ARC
(3,26),-4.28017 # DEPENDENCYPART_ARC
(4,1),2.72482 # DEPENDENCYPART_ARC
(4,2),-0.977771 # DEPENDENCYPART_ARC
(4,3),3.06524 # DEPENDENCYPART_ARC
(4,5),0.400494 # DEPENDENCYPART_ARC
(4,6),1.74569 # DEPENDENCYPART_ARC
(4,7),0.306692 # DEPENDENCYPART_ARC
(4,8),-3.82537 # DEPENDENCYPART_ARC
(4,9),-2.29848 # DEPENDENCYPART_ARC
(4,10),-3.09426 # DEPENDENCYPART_ARC
(4,11),-1.02543 # DEPENDENCYPART_ARC
(4,12),-1.18262 # DEPENDENCYPART_ARC
(4,13),-3.82922 # DEPENDENCYPART_ARC
(4,14),-5.65412 # DEPENDENCYPART_ARC
(4,15),-3.47105 # DEPENDENCYPART_ARC
(4,16),0.0999281 # DEPENDENCYPART_ARC
(4,17),-5.48991 # DEPENDENCYPART_ARC
(4,18),-3.328 # DEPENDENCYPART_ARC
(4,19),-4.72386 # DEPENDENCYPART_ARC
(4,20),-4.77048 # DEPENDENCYPART_ARC
(4,21),-4.80111 # DEPENDENCYPART_ARC
(4,22),-3.74816 # DEPENDENCYPART_ARC
(4,23),-5.85896 # DEPENDENCYPART_ARC
(4,24),-3.02157 # DEPENDENCYPART_ARC
(4,25),-7.10844 # DEPENDENCYPART_ARC
(4,26),-6.08222 # DEPENDENCYPART_ARC
(4,27),-1.9517 # DEPENDENCYPART_ARC
(5,1),-0.872361 # DEPENDENCYPART_ARC
(5,2),-0.40678 # DEPENDENCYPART_ARC
(5,4),-0.918252 # DEPENDENCYPART_ARC
(5,6),0.162277 # DEPENDENCYPART_ARC
(5,7),-1.0297 # DEPENDENCYPART_ARC
(5,8),-1.58402 # DEPENDENCYPART_ARC
(5,9),-1.77375 # DEPENDENCYPART_ARC
(5,10),-0.943237 # DEPENDENCYPART_ARC
(5,11),-1.84622 # DEPENDENCYPART_ARC
(5,12),-1.97694 # DEPENDENCYPART_ARC
(5,13),-3.17619 # DEPENDENCYPART_ARC
(5,14),-3.41312 # DEPENDENCYPART_ARC
(5,15),-3.3934 # DEPENDENCYPART_ARC
(5,16),-1.64277 # DEPENDENCYPART_ARC
(5,17),-2.49174 # DEPENDENCYPART_ARC
(5,19),-3.75281 # DEPENDENCYPART_ARC
(5,21),-2.82039 # DEPENDENCYPART_ARC
(5,22),-4.89983 # DEPENDENCYPART_ARC
(5,23),-6.03937 # DEPENDENCYPART_ARC
(5,24),-5.34116 # DEPENDENCYPART_ARC
(5,25),-3.32766 # DEPENDENCYPART_ARC
(5,26),-5.81024 # DEPENDENCYPART_ARC
(5,27),-2.19791 # DEPENDENCYPART_ARC
(6,1),-0.966358 # DEPENDENCYPART_ARC
(6,2),-0.875633 # DEPENDENCYPART_ARC
(6,4),-1.59531 # DEPENDENCYPART_ARC
(6,5),3.727 # DEPENDENCYPART_ARC
(6,7),0.720171 # DEPENDENCYPART_ARC
(6,9),-2.62456 # DEPENDENCYPART_ARC
(6,10),2.0026 # DEPENDENCYPART_ARC
(6,11),-0.726287 # DEPENDENCYPART_ARC
(6,12),-0.688364 # DEPENDENCYPART_ARC
(6,13),-2.78972 # DEPENDENCYPART_ARC
(6,14),-2.93485 # DEPENDENCYPART_ARC
(6,15),-2.91332 # DEPENDENCYPART_ARC
(6,16),0.691438 # DEPENDENCYPART_ARC
(6,17),1.47609 # DEPENDENCYPART_ARC
(6,18),-1.20112 # DEPENDENCYPART_ARC
(6,22),-2.71466 # DEPENDENCYPART_ARC
(6,23),-5.73605 # DEPENDENCYPART_ARC
(6,24),-3.80863 # DEPENDENCYPART_ARC
(6,25),-4.1693 # DEPENDENCYPART_ARC
(6,26),-5.43529 # DEPENDENCYPART_ARC
(6,27),-1.92635 # DEPENDENCYPART_ARC
(7,1),-2.63662 # DEPENDENCYPART_ARC
(7,2),-1.87782 # DEPENDENCYPART_ARC
(7,4),-2.16705 # DEPENDENCYPART_ARC
(7,5),1.09734 # DEPENDENCYPART_ARC
(7,6),-0.11306 # DEPENDENCYPART_ARC
(7,9),0.739529 # DEPENDENCYPART_ARC
(7,10),3.21127 # DEPENDENCYPART_ARC
(7,11),-0.0557064 # DEPENDENCYPART_ARC
(7,12),-0.370302 # DEPENDENCYPART_ARC
(7,13),-1.65755 # DEPENDENCYPART_ARC
(7,14),-1.75991 # DEPENDENCYPART_ARC
(7,15),-1.72986 # DEPENDENCYPART_ARC
(7,16),2.54517 # DEPENDENCYPART_ARC
(7,17),0.853462 # DEPENDENCYPART_ARC
(7,18),-0.716819 # DEPENDENCYPART_ARC
(7,22),-2.67013 # DEPENDENCYPART_ARC
(7,23),-4.09297 # DEPENDENCYPART_ARC
(7,24),-3.34955 # DEPENDENCYPART_ARC
(7,25),-3.48854 # DEPENDENCYPART_ARC
(7,26),-4.44881 # DEPENDENCYPART_ARC
(7,27),-1.8233 # DEPENDENCYPART_ARC
(8,5),-1.30992 # DEPENDENCYPART_ARC
(8,16),-1.01447 # DEPENDENCYPART_ARC
(8,27),-2.12117 # DEPENDENCYPART_ARC
(9,1),-2.17488 # DEPENDENCYPART_ARC
(9,2),-6.0318 # DEPENDENCYPART_ARC
(9,3),-4.19094 # DEPENDENCYPART_ARC
(9,4),-5.59977 # DEPENDENCYPART_ARC
(9,5),-0.157913 # DEPENDENCYPART_ARC
(9,6),-1.25879 # DEPENDENCYPART_ARC
(9,7),0.839161 # DEPENDENCYPART_ARC
(9,8),5.22098 # DEPENDENCYPART_ARC
(9,10),-0.547094 # DEPENDENCYPART_ARC
(9,11),-0.570955 # DEPENDENCYPART_ARC
(9,12),-1.28834 # DEPENDENCYPART_ARC
(9,13),-1.44518 # DEPENDENCYPART_ARC
(9,14),0.560297 # DEPENDENCYPART_ARC
(9,15),-1.97602 # DEPENDENCYPART_ARC
(9,16),-1.24465 # DEPENDENCYPART_ARC
(9,17),-4.62786 # DEPENDENCYPART_ARC
(9,18),-4.69058 # DEPENDENCYPART_ARC
(9,19),-1.12215 # DEPENDENCYPART_ARC
(9,20),-1.54255 # DEPENDENCYPART_ARC
(9,21),-1.29892 # DEPENDENCYPART_ARC
(9,22),-2.95265 # DEPENDENCYPART_ARC
(9,23),-7.1524 # DEPENDENCYPART_ARC
(9,24),-2.50093 # DEPENDENCYPART_ARC
(9,25),-4.70628 # DEPENDENCYPART_ARC
(9,26),-5.18545 # DEPENDENCYPART_ARC
(9,27),-6.74541 # DEPENDENCYPART_ARC
(10,1),0.436797 # DEPENDENCYPART_ARC
(10,2),-2.66676 # DEPENDENCYPART_ARC
(10,3),0.868542 # DEPENDENCYPART_ARC
(10,4),-3.36056 # DEPENDENCYPART_ARC
(10,5),0.19469 # DEPENDENCYPART_ARC
(10,6),-0.525158 # DEPENDENCYPART_ARC
(10,7),1.25374 # DEPENDENCYPART_ARC
(10,8),0.971764 # DEPENDENCYPART_ARC
(10,9),3.45508 # DEPENDENCYPART_ARC
(10,11),1.75654 # DEPENDENCYPART_ARC
(10,12),0.983478 # DEPENDENCYPART_ARC
(10,13),-0.897603 # DEPENDENCYPART_ARC
(10,14),-2.18507 # DEPENDENCYPART_ARC
(10,15),-0.185835 # DEPENDENCYPART_ARC
(10,16),1.13009 # DEPENDENCYPART_ARC
(10,17),-4.48612 # DEPENDENCYPART_ARC
(10,18),-1.34734 # DEPENDENCYPART_ARC
(10,19),-1.38246 # DEPENDENCYPART_ARC
(10,20),-1.48291 # DEPENDENCYPART_ARC
(10,21),-3.37283 # DEPENDENCYPART_ARC
(10,22),-1.45998 # DEPENDENCYPART_ARC
(10,23),-3.99521 # DEPENDENCYPART_ARC
(10,24),-1.03176 # DEPENDENCYPART_ARC
(10,25),-4.47813 # DEPENDENCYPART_ARC
(10,26),-3.26104 # DEPENDENCYPART_ARC
(10,27),-0.624037 # DEPENDENCYPART_ARC
(11,1),-1.18021 # DEPENDENCYPART_ARC
(11,2),-1.53251 # DEPENDENCYPART_ARC
(11,4),-0.563324 # DEPENDENCYPART_ARC
(11,5),0.131522 # DEPENDENCYPART_ARC
(11,6),-0.968388 # DEPENDENCYPART_ARC
(11,7),-0.141602 # DEPENDENCYPART_ARC
(11,8),0.0169037 # DEPENDENCYPART_ARC
(11,9),-0.17627 # DEPENDENCYPART_ARC
(11,10),0.05401 # DEPENDENCYPART_ARC
(11,12),0.832252 # DEPENDENCYPART_ARC
(11,13),0.0497062 # DEPENDENCYPART_ARC
(11,14),-0.33297 # DEPENDENCYPART_ARC
(11,15),-0.352862 # DEPENDENCYPART_ARC
(11,16),-0.376314 # DEPENDENCYPART_ARC
(11,17),-1.71535 # DEPENDENCYPART_ARC
(11,21),-1.9477 # DEPENDENCYPART_ARC
(11,22),-1.55052 # DEPENDENCYPART_ARC
(11,23),-2.97233 # DEPENDENCYPART_ARC
(11,24),-1.94596 # DEPENDENCYPART_ARC
(11,25),-1.64766 # DEPENDENCYPART_ARC
(11,26),-3.24749 # DEPENDENCYPART_ARC
(11,27),-2.34554 # DEPENDENCYPART_ARC
(12,1),-4.12028 # DEPENDENCYPART_ARC
(12,2),-3.39989 # DEPENDENCYPART_ARC
(12,4),-3.87841 # DEPENDENCYPART_ARC
(12,5),-1.23608 # DEPENDENCYPART_ARC
(12,6),-2.57605 # DEPENDENCYPART_ARC
(12,7),-1.85382 # DEPENDENCYPART_ARC
(12,9),-2.81153 # DEPENDENCYPART_ARC
(12,10),-1.94262 # DEPENDENCYPART_ARC
(12,11),-1.54613 # DEPENDENCYPART_ARC
(12,13),1.26075 # DEPENDENCYPART_ARC
(12,14),0.611679 # DEPENDENCYPART_ARC
(12,15),-0.126114 # DEPENDENCYPART_ARC
(12,16),0.421933 # DEPENDENCYPART_ARC
(12,17),-0.854704 # DEPENDENCYPART_ARC
(12,18),-2.26809 # DEPENDENCYPART_ARC
(12,22),-1.92065 # DEPENDENCYPART_ARC
(12,23),-2.82681 # DEPENDENCYPART_ARC
(12,24),-3.28002 # DEPENDENCYPART_ARC
(12,25),-3.60002 # DEPENDENCYPART_ARC
(12,26),-3.10732 # DEPENDENCYPART_ARC
(12,27),-2.26064 # DEPENDENCYPART_ARC
(13,1),-2.59162 # DEPENDENCYPART_ARC
(13,2),-9.40544 # DEPENDENCYPART_ARC
(13,3),-5.75349 # DEPENDENCYPART_ARC
(13,4),-5.10637 # DEPENDENCYPART_ARC
(13,5),-0.149969 # DEPENDENCYPART_ARC
(13,6),-2.33772 # DEPENDENCYPART_ARC
(13,7),-1.36327 # DEPENDENCYPART_ARC
(13,8),0.267359 # DEPENDENCYPART_ARC
(13,9),-5.62943 # DEPENDENCYPART_ARC
(13,10),-3.46085 # DEPENDENCYPART_ARC
(13,11),0.542274 # DEPENDENCYPART_ARC
(13,12),2.45773 # DEPENDENCYPART_ARC
(13,14),4.70831 # DEPENDENCYPART_ARC
(13,15),-0.584275 # DEPENDENCYPART_ARC
(13,16),0.0862194 # DEPENDENCYPART_ARC
(13,17),-0.564234 # DEPENDENCYPART_ARC
(13,18),-1.43846 # DEPENDENCYPART_ARC
(13,19),-1.97471 # DEPENDENCYPART_ARC
(13,20),-2.29547 # DEPENDENCYPART_ARC
(13,21),-2.29522 # DEPENDENCYPART_ARC
(13,22),-2.46934 # DEPENDENCYPART_ARC
(13,23),-6.89162 # DEPENDENCYPART_ARC
(13,24),-1.13771 # DEPENDENCYPART_ARC
(13,25),-3.18231 # DEPENDENCYPART_ARC
(13,26),-5.67251 # DEPENDENCYPART_ARC
(13,27),-4.42955 # DEPENDENCYPART_ARC
(14,1),-3.84874 # DEPENDENCYPART_ARC
(14,2),-6.92745 # DEPENDENCYPART_ARC
(14,3),-7.78363 # DEPENDENCYPART_ARC
(14,4),-6.44994 # DEPENDENCYPART_ARC
(14,5),-0.967938 # DEPENDENCYPART_ARC
(14,6),-3.06787 # DEPENDENCYPART_ARC
(14,7),-2.34995 # DEPENDENCYPART_ARC
(14,8),-2.75756 # DEPENDENCYPART_ARC
(14,9),-5.44719 # DEPENDENCYPART_ARC
(14,10),-4.29572 # DEPENDENCYPART_ARC
(14,11),-0.716113 # DEPENDENCYPART_ARC
(14,12),0.785581 # DEPENDENCYPART_ARC
(14,13),0.0619982 # DEPENDENCYPART_ARC
(14,15),-1.96494 # DEPENDENCYPART_ARC
(14,16),-1.19178 # DEPENDENCYPART_ARC
(14,17),-1.99882 # DEPENDENCYPART_ARC
(14,18),-1.98414 # DEPENDENCYPART_ARC
(14,19),-2.63925 # DEPENDENCYPART_ARC
(14,20),-2.80574 # DEPENDENCYPART_ARC
(14,21),-3.50589 # DEPENDENCYPART_ARC
(14,22),-3.69065 # DEPENDENCYPART_ARC
(14,23),-8.79752 # DEPENDENCYPART_ARC
(14,24),-1.85368 # DEPENDENCYPART_ARC
(14,25),-6.38391 # DEPENDENCYPART_ARC
(14,26),-7.21548 # DEPENDENCYPART_ARC
(14,27),-4.9168 # DEPENDENCYPART_ARC
(15,1),-3.1917 # DEPENDENCYPART_ARC
(15,2),-6.52765 # DEPENDENCYPART_ARC
(15,3),-6.17422 # DEPENDENCYPART_ARC
(15,4),-5.41035 # DEPENDENCYPART_ARC
(15,5),-0.110628 # DEPENDENCYPART_ARC
(15,6),-1.9969 # DEPENDENCYPART_ARC
(15,7),-1.29046 # DEPENDENCYPART_ARC
(15,8),-0.47001 # DEPENDENCYPART_ARC
(15,9),-3.71166 # DEPENDENCYPART_ARC
(15,10),-3.43434 # DEPENDENCYPART_ARC
(15,11),-0.0188918 # DEPENDENCYPART_ARC
(15,12),0.997634 # DEPENDENCYPART_ARC
(15,13),4.71834 # DEPENDENCYPART_ARC
(15,14),0.714514 # DEPENDENCYPART_ARC
(15,16),-0.407581 # DEPENDENCYPART_ARC
(15,17),-1.00976 # DEPENDENCYPART_ARC
(15,18),-0.925839 # DEPENDENCYPART_ARC
(15,19),-3.03722 # DEPENDENCYPART_ARC
(15,20),-3.40896 # DEPENDENCYPART_ARC
(15,21),-3.65196 # DEPENDENCYPART_ARC
(15,22),-4.55751 # DEPENDENCYPART_ARC
(15,23),-8.02985 # DEPENDENCYPART_ARC
(15,24),-2.80037 # DEPENDENCYPART_ARC
(15,25),-3.94168 # DEPENDENCYPART_ARC
(15,26),-6.65032 # DEPENDENCYPART_ARC
(15,27),-4.07861 # DEPENDENCYPART_ARC
(16,1),-2.25118 # DEPENDENCYPART_ARC
(16,2),-0.622507 # DEPENDENCYPART_ARC
(16,4),-0.363888 # DEPENDENCYPART_ARC
(16,5),-0.266759 # DEPENDENCYPART_ARC
(16,6),-0.795578 # DEPENDENCYPART_ARC
(16,7),-0.418998 # DEPENDENCYPART_ARC
(16,8),-0.872699 # DEPENDENCYPART_ARC
(16,9),-0.589855 # DEPENDENCYPART_ARC
(16,10),0.165231 # DEPENDENCYPART_ARC
(16,11),-1.28672 # DEPENDENCYPART_ARC
(16,12),-0.442903 # DEPENDENCYPART_ARC
(16,13),0.483311 # DEPENDENCYPART_ARC
(16,14),0.0766554 # DEPENDENCYPART_ARC
(16,15),-0.101372 # DEPENDENCYPART_ARC
(16,17),-0.105549 # DEPENDENCYPART_ARC
(16,19),-1.37659 # DEPENDENCYPART_ARC
(16,21),-1.48075 # DEPENDENCYPART_ARC
(16,22),-2.07313 # DEPENDENCYPART_ARC
(16,23),-2.84424 # DEPENDENCYPART_ARC
(16,24),-2.44021 # DEPENDENCYPART_ARC
(16,25),-2.07748 # DEPENDENCYPART_ARC
(16,26),-2.79944 # DEPENDENCYPART_ARC
(16,27),-0.352757 # DEPENDENCYPART_ARC
(17,1),-0.326033 # DEPENDENCYPART_ARC
(17,2),-4.44282 # DEPENDENCYPART_ARC
(17,3),-1.97343 # DEPENDENCYPART_ARC
(17,4),-3.82806 # DEPENDENCYPART_ARC
(17,5),-0.685943 # DEPENDENCYPART_ARC
(17,6),-1.52098 # DEPENDENCYPART_ARC
(17,7),1.79613 # DEPENDENCYPART_ARC
(17,8),-3.15539 # DEPENDENCYPART_ARC
(17,9),-1.3387 # DEPENDENCYPART_ARC
(17,10),-2.35509 # DEPENDENCYPART_ARC
(17,11),-0.456635 # DEPENDENCYPART_ARC
(17,12),0.504465 # DEPENDENCYPART_ARC
(17,13),1.39644 # DEPENDENCYPART_ARC
(17,14),-3.16961 # DEPENDENCYPART_ARC
(17,15),-1.15269 # DEPENDENCYPART_ARC
(17,16),0.281444 # DEPENDENCYPART_ARC
(17,18),4.60805 # DEPENDENCYPART_ARC
(17,19),2.96568 # DEPENDENCYPART_ARC
(17,20),1.6769 # DEPENDENCYPART_ARC
(17,21),1.26307 # DEPENDENCYPART_ARC
(17,22),1.44121 # DEPENDENCYPART_ARC
(17,23),0.417764 # DEPENDENCYPART_ARC
(17,24),1.4124 # DEPENDENCYPART_ARC
(17,25),-2.45033 # DEPENDENCYPART_ARC
(17,26),-0.14238 # DEPENDENCYPART_ARC
(17,27),0.489147 # DEPENDENCYPART_ARC
(20,2),-3.27859 # DEPENDENCYPART_ARC
(20,9),-2.8964 # DEPENDENCYPART_ARC
(20,13),-2.91989 # DEPENDENCYPART_ARC
(20,14),-2.05359 # DEPENDENCYPART_ARC
(20,15),-2.68696 # DEPENDENCYPART_ARC
(20,23),-1.65911 # DEPENDENCYPART_ARC
(20,25),-1.3358 # DEPENDENCYPART_ARC
(20,26),-2.4876 # DEPENDENCYPART_ARC
(21,2),-5.31448 # DEPENDENCYPART_ARC
(21,4),-3.34037 # DEPENDENCYPART_ARC
(21,5),-1.29204 # DEPENDENCYPART_ARC
(21,9),-4.0127 # DEPENDENCYPART_ARC
(21,10),-4.15237 # DEPENDENCYPART_ARC
(21,11),-1.40887 # DEPENDENCYPART_ARC
(21,13),-3.25426 # DEPENDENCYPART_ARC
(21,14),-4.21586 # DEPENDENCYPART_ARC
(21,15),-4.14752 # DEPENDENCYPART_ARC
(21,16),-0.630174 # DEPENDENCYPART_ARC
(21,17),-2.03493 # DEPENDENCYPART_ARC
(21,22),-0.115045 # DEPENDENCYPART_ARC
(21,23),-1.47227 # DEPENDENCYPART_ARC
(21,24),-0.905949 # DEPENDENCYPART_ARC
(21,25),-1.58609 # DEPENDENCYPART_ARC
(21,26),-2.29462 # DEPENDENCYPART_ARC
(21,27),-0.752801 # DEPENDENCYPART_ARC
(22,1),-3.03005 # DEPENDENCYPART_ARC
(22,2),-3.95229 # DEPENDENCYPART_ARC
(22,3),-3.17008 # DEPENDENCYPART_ARC
(22,4),-4.23845 # DEPENDENCYPART_ARC
(22,5),-1.09598 # DEPENDENCYPART_ARC
(22,6),-2.40195 # DEPENDENCYPART_ARC
(22,7),-2.52482 # DEPENDENCYPART_ARC
(22,8),-3.22296 # DEPENDENCYPART_ARC
(22,9),-4.36275 # DEPENDENCYPART_ARC
(22,10),-3.54652 # DEPENDENCYPART_ARC
(22,11),-2.60847 # DEPENDENCYPART_ARC
(22,12),-2.03542 # DEPENDENCYPART_ARC
(22,13),-3.55294 # DEPENDENCYPART_ARC
(22,14),-3.28556 # DEPENDENCYPART_ARC
(22,15),-3.21432 # DEPENDENCYPART_ARC
(22,16),-0.86503 # DEPENDENCYPART_ARC
(22,17),-2.93352 # DEPENDENCYPART_ARC
(22,20),-0.972753 # DEPENDENCYPART_ARC
(22,21),-1.29163 # DEPENDENCYPART_ARC
(22,23),4.11446 # DEPENDENCYPART_ARC
(22,24),-0.544199 # DEPENDENCYPART_ARC
(22,25),-1.347 # DEPENDENCYPART_ARC
(22,26),-1.71928 # DEPENDENCYPART_ARC
(22,27),-0.21998 # DEPENDENCYPART_ARC
(23,1),-5.23997 # DEPENDENCYPART_ARC
(23,2),-9.99957 # DEPENDENCYPART_ARC
(23,3),-8.52697 # DEPENDENCYPART_ARC
(23,4),-5.56436 # DEPENDENCYPART_ARC
(23,5),-2.66231 # DEPENDENCYPART_ARC
(23,6),-5.73778 # DEPENDENCYPART_ARC
(23,7),-5.1042 # DEPENDENCYPART_ARC
(23,8),-5.73728 # DEPENDENCYPART_ARC
(23,9),-7.69753 # DEPENDENCYPART_ARC
(23,10),-4.6736 # DEPENDENCYPART_ARC
(23,11),-3.80699 # DEPENDENCYPART_ARC
(23,12),-3.77188 # DEPENDENCYPART_ARC
(23,13),-5.63916 # DEPENDENCYPART_ARC
(23,14),-5.03536 # DEPENDENCYPART_ARC
(23,15),-5.2687 # DEPENDENCYPART_ARC
(23,16),-2.48744 # DEPENDENCYPART_ARC
(23,17),-4.37821 # DEPENDENCYPART_ARC
(23,18),-1.16149 # DEPENDENCYPART_ARC
(23,19),-3.47848 # DEPENDENCYPART_ARC
(23,20),-3.03923 # DEPENDENCYPART_ARC
(23,21),-1.05469 # DEPENDENCYPART_ARC
(23,22),-0.349314 # DEPENDENCYPART_ARC
(23,24),2.60593 # DEPENDENCYPART_ARC
(23,25),-1.78412 # DEPENDENCYPART_ARC
(23,26),-0.744325 # DEPENDENCYPART_ARC
(23,27),-0.535353 # DEPENDENCYPART_ARC
(24,1),-1.4851 # DEPENDENCYPART_ARC
(24,2),-2.45033 # DEPENDENCYPART_ARC
(24,3),-2.64026 # DEPENDENCYPART_ARC
(24,4),-3.76543 # DEPENDENCYPART_ARC
(24,5),-2.11364 # DEPENDENCYPART_ARC
(24,6),-2.28621 # DEPENDENCYPART_ARC
(24,7),-2.38746 # DEPENDENCYPART_ARC
(24,8),-2.9376 # DEPENDENCYPART_ARC
(24,9),-3.99719 # DEPENDENCYPART_ARC
(24,10),-2.61615 # DEPENDENCYPART_ARC
(24,11),-2.10254 # DEPENDENCYPART_ARC
(24,12),-1.88408 # DEPENDENCYPART_ARC
(24,13),-3.53794 # DEPENDENCYPART_ARC
(24,14),-3.71834 # DEPENDENCYPART_ARC
(24,15),-3.06878 # DEPENDENCYPART_ARC
(24,16),-0.798043 # DEPENDENCYPART_ARC
(24,17),-2.66096 # DEPENDENCYPART_ARC
(24,20),-1.17934 # DEPENDENCYPART_ARC
(24,21),-2.00242 # DEPENDENCYPART_ARC
(24,22),0.43327 # DEPENDENCYPART_ARC
(24,23),0.987191 # DEPENDENCYPART_ARC
(24,25),0.725808 # DEPENDENCYPART_ARC
(24,26),3.72983 # DEPENDENCYPART_ARC
(24,27),-0.103706 # DEPENDENCYPART_ARC
(25,1),-4.60245 # DEPENDENCYPART_ARC
(25,2),-8.02252 # DEPENDENCYPART_ARC
(25,3),-3.53687 # DEPENDENCYPART_ARC
(25,4),-7.81083 # DEPENDENCYPART_ARC
(25,5),-3.90072 # DEPENDENCYPART_ARC
(25,6),-3.92733 # DEPENDENCYPART_ARC
(25,7),-3.31049 # DEPENDENCYPART_ARC
(25,8),-6.30215 # DEPENDENCYPART_ARC
(25,9),-7.4056 # DEPENDENCYPART_ARC
(25,10),-7.62697 # DEPENDENCYPART_ARC
(25,11),-3.83091 # DEPENDENCYPART_ARC
(25,12),-2.1874 # DEPENDENCYPART_ARC
(25,13),-4.72571 # DEPENDENCYPART_ARC
(25,14),-6.36387 # DEPENDENCYPART_ARC
(25,15),-5.40499 # DEPENDENCYPART_ARC
(25,16),-2.71849 # DEPENDENCYPART_ARC
