# _root_ Pravděpodobnost , že pracovník úřadu bude kontrolovat právě " svého " taxikáře , je však malá .
#goldHeads=14,3,1,7,4,7,3,12,10,12,10,7,3,15,0,14,0,
#predictedHeads=14,3,1,7,4,7,3,10,10,12,12,7,15,15,0,14,0,
(3,5),-0.754551 # DEPENDENCYPART_ARC
(3,6),2.2361 # DEPENDENCYPART_ARC
(3,7),1.79541 # DEPENDENCYPART_ARC
(3,8),-0.918739 # DEPENDENCYPART_ARC
(3,9),-0.754121 # DEPENDENCYPART_ARC
(3,10),-1.63295 # DEPENDENCYPART_ARC
(3,11),-0.898507 # DEPENDENCYPART_ARC
(3,12),-2.96129 # DEPENDENCYPART_ARC
(3,13),0.369156 # DEPENDENCYPART_ARC
(3,14),0.101788 # DEPENDENCYPART_ARC
(3,15),0.877645 # DEPENDENCYPART_ARC
(3,16),-2.55339 # DEPENDENCYPART_ARC
(3,17),-0.902564 # DEPENDENCYPART_ARC
(4,1),-6.14583 # DEPENDENCYPART_ARC
(4,2),-1.10143 # DEPENDENCYPART_ARC
(4,3),-1.63229 # DEPENDENCYPART_ARC
(4,5),4.57929 # DEPENDENCYPART_ARC
(4,6),-1.16511 # DEPENDENCYPART_ARC
(4,7),-0.760491 # DEPENDENCYPART_ARC
(4,8),-0.4473 # DEPENDENCYPART_ARC
(4,9),-0.137378 # DEPENDENCYPART_ARC
(4,10),-2.02303 # DEPENDENCYPART_ARC
(4,11),-0.329687 # DEPENDENCYPART_ARC
(4,12),-5.60204 # DEPENDENCYPART_ARC
(4,13),-0.698691 # DEPENDENCYPART_ARC
(4,14),-3.69228 # DEPENDENCYPART_ARC
(4,15),-1.77445 # DEPENDENCYPART_ARC
(4,16),-3.96081 # DEPENDENCYPART_ARC
(4,17),-4.29359 # DEPENDENCYPART_ARC
(5,1),-4.51659 # DEPENDENCYPART_ARC
(5,2),-0.338005 # DEPENDENCYPART_ARC
(5,3),-0.475823 # DEPENDENCYPART_ARC
(5,4),1.11012 # DEPENDENCYPART_ARC
(5,6),-0.888965 # DEPENDENCYPART_ARC
(5,7),-1.09838 # DEPENDENCYPART_ARC
(5,8),-0.288399 # DEPENDENCYPART_ARC
(5,9),-0.032886 # DEPENDENCYPART_ARC
(5,10),-2.43334 # DEPENDENCYPART_ARC
(5,11),-0.61657 # DEPENDENCYPART_ARC
(5,12),-5.74471 # DEPENDENCYPART_ARC
(5,13),-0.897438 # DEPENDENCYPART_ARC
(5,14),-4.16544 # DEPENDENCYPART_ARC
(5,15),-1.97779 # DEPENDENCYPART_ARC
(5,16),-5.44508 # DEPENDENCYPART_ARC
(5,17),-3.82728 # DEPENDENCYPART_ARC
(6,1),-1.35621 # DEPENDENCYPART_ARC
(6,2),-0.178539 # DEPENDENCYPART_ARC
(6,3),-0.45515 # DEPENDENCYPART_ARC
(6,4),0.701781 # DEPENDENCYPART_ARC
(6,5),-1.16653 # DEPENDENCYPART_ARC
(6,7),1.8906 # DEPENDENCYPART_ARC
(6,8),0.0599663 # DEPENDENCYPART_ARC
(6,9),-0.14203 # DEPENDENCYPART_ARC
(6,10),-0.996764 # DEPENDENCYPART_ARC
(6,11),-0.166077 # DEPENDENCYPART_ARC
(6,12),-1.40976 # DEPENDENCYPART_ARC
(6,13),0.344004 # DEPENDENCYPART_ARC
(6,14),-2.08389 # DEPENDENCYPART_ARC
(6,15),-0.551261 # DEPENDENCYPART_ARC
(6,16),-2.15732 # DEPENDENCYPART_ARC
(6,17),-0.835799 # DEPENDENCYPART_ARC
(7,1),-0.146918 # DEPENDENCYPART_ARC
(7,2),0.348097 # DEPENDENCYPART_ARC
(7,3),-0.150178 # DEPENDENCYPART_ARC
(7,4),1.47186 # DEPENDENCYPART_ARC
(7,5),0.724984 # DEPENDENCYPART_ARC
(7,6),5.0261 # DEPENDENCYPART_ARC
(7,8),1.4647 # DEPENDENCYPART_ARC
(7,9),0.14807 # DEPENDENCYPART_ARC
(7,10),0.249454 # DEPENDENCYPART_ARC
(7,11),0.0309391 # DEPENDENCYPART_ARC
(7,12),0.942722 # DEPENDENCYPART_ARC
(7,13),0.540539 # DEPENDENCYPART_ARC
(7,14),-0.792343 # DEPENDENCYPART_ARC
(7,15),0.269507 # DEPENDENCYPART_ARC
(7,16),-2.40725 # DEPENDENCYPART_ARC
(7,17),-0.70086 # DEPENDENCYPART_ARC
(8,1),-1.38173 # DEPENDENCYPART_ARC
(8,2),-0.882392 # DEPENDENCYPART_ARC
(8,3),-0.897045 # DEPENDENCYPART_ARC
(8,4),-1.02755 # DEPENDENCYPART_ARC
(8,5),-0.763045 # DEPENDENCYPART_ARC
(8,6),-0.461919 # DEPENDENCYPART_ARC
(8,7),-0.120629 # DEPENDENCYPART_ARC
(8,9),0.705824 # DEPENDENCYPART_ARC
(8,10),-0.301353 # DEPENDENCYPART_ARC
(8,11),-0.491383 # DEPENDENCYPART_ARC
(8,12),-0.730319 # DEPENDENCYPART_ARC
(8,13),-1.21779 # DEPENDENCYPART_ARC
(8,14),-0.713348 # DEPENDENCYPART_ARC
(8,15),-0.561154 # DEPENDENCYPART_ARC
(8,16),-1.41545 # DEPENDENCYPART_ARC
(8,17),-1.5869 # DEPENDENCYPART_ARC
(9,1),-2.62315 # DEPENDENCYPART_ARC
(9,2),-1.76039 # DEPENDENCYPART_ARC
(9,3),-1.52569 # DEPENDENCYPART_ARC
(9,4),-2.08762 # DEPENDENCYPART_ARC
(9,5),-2.11638 # DEPENDENCYPART_ARC
(9,6),0.0363723 # DEPENDENCYPART_ARC
(9,7),-0.820482 # DEPENDENCYPART_ARC
(9,8),-0.494566 # DEPENDENCYPART_ARC
(9,10),-0.859547 # DEPENDENCYPART_ARC
(9,11),-1.25489 # DEPENDENCYPART_ARC
(9,12),-1.72887 # DEPENDENCYPART_ARC
(9,13),-0.845992 # DEPENDENCYPART_ARC
(9,14),-1.46953 # DEPENDENCYPART_ARC
(9,15),-1.3983 # DEPENDENCYPART_ARC
(9,16),-2.2909 # DEPENDENCYPART_ARC
(9,17),-1.49846 # DEPENDENCYPART_ARC
(10,1),-2.7412 # DEPENDENCYPART_ARC
(10,2),-0.471454 # DEPENDENCYPART_ARC
(10,3),-1.15809 # DEPENDENCYPART_ARC
(10,4),-1.04259 # DEPENDENCYPART_ARC
(10,5),-0.440953 # DEPENDENCYPART_ARC
(10,6),-0.0677681 # DEPENDENCYPART_ARC
(10,7),0.961109 # DEPENDENCYPART_ARC
(10,8),1.74447 # DEPENDENCYPART_ARC
(10,9),1.21484 # DEPENDENCYPART_ARC
(10,11),0.798086 # DEPENDENCYPART_ARC
(10,12),1.18752 # DEPENDENCYPART_ARC
(10,13),0.184251 # DEPENDENCYPART_ARC
(10,14),-0.310492 # DEPENDENCYPART_ARC
(10,15),0.118986 # DEPENDENCYPART_ARC
(10,16),-1.12915 # DEPENDENCYPART_ARC
(10,17),-0.022423 # DEPENDENCYPART_ARC
(11,1),-2.57337 # DEPENDENCYPART_ARC
(11,2),-1.89007 # DEPENDENCYPART_ARC
(11,3),-1.51119 # DEPENDENCYPART_ARC
(11,4),-1.75116 # DEPENDENCYPART_ARC
(11,5),-1.80734 # DEPENDENCYPART_ARC
(11,6),-1.48649 # DEPENDENCYPART_ARC
(11,7),-1.51138 # DEPENDENCYPART_ARC
(11,8),-1.32395 # DEPENDENCYPART_ARC
(11,9),-0.997204 # DEPENDENCYPART_ARC
(11,10),0.152602 # DEPENDENCYPART_ARC
(11,12),-0.608037 # DEPENDENCYPART_ARC
(11,13),-0.814806 # DEPENDENCYPART_ARC
(11,14),-1.717 # DEPENDENCYPART_ARC
(11,15),-1.33994 # DEPENDENCYPART_ARC
(11,16),-1.98888 # DEPENDENCYPART_ARC
(11,17),-1.83531 # DEPENDENCYPART_ARC
(12,1),-9.67413 # DEPENDENCYPART_ARC
(12,2),-1.28693 # DEPENDENCYPART_ARC
(12,3),-2.20976 # DEPENDENCYPART_ARC
(12,4),-2.01762 # DEPENDENCYPART_ARC
(12,5),-3.98913 # DEPENDENCYPART_ARC
(12,6),-2.07747 # DEPENDENCYPART_ARC
(12,7),-0.0530042 # DEPENDENCYPART_ARC
(12,8),1.35289 # DEPENDENCYPART_ARC
(12,9),0.746575 # DEPENDENCYPART_ARC
(12,10),3.77891 # DEPENDENCYPART_ARC
(12,11),2.06475 # DEPENDENCYPART_ARC
(12,13),0.841267 # DEPENDENCYPART_ARC
(12,14),-0.842312 # DEPENDENCYPART_ARC
(12,15),0.164617 # DEPENDENCYPART_ARC
(12,16),-2.99652 # DEPENDENCYPART_ARC
(12,17),-0.363193 # DEPENDENCYPART_ARC
(13,1),-0.743348 # DEPENDENCYPART_ARC
(13,2),-0.110161 # DEPENDENCYPART_ARC
(13,3),-0.580206 # DEPENDENCYPART_ARC
(13,4),-0.0556817 # DEPENDENCYPART_ARC
(13,5),-0.306622 # DEPENDENCYPART_ARC
(13,6),1.1938 # DEPENDENCYPART_ARC
(13,7),0.670392 # DEPENDENCYPART_ARC
(13,8),-0.700654 # DEPENDENCYPART_ARC
(13,9),-0.0244361 # DEPENDENCYPART_ARC
(13,10),0.637515 # DEPENDENCYPART_ARC
(13,11),0.483223 # DEPENDENCYPART_ARC
(13,12),0.267078 # DEPENDENCYPART_ARC
(13,14),0.318853 # DEPENDENCYPART_ARC
(13,15),-0.357262 # DEPENDENCYPART_ARC
(13,16),-0.577248 # DEPENDENCYPART_ARC
(13,17),0.0311588 # DEPENDENCYPART_ARC
(14,1),0.830161 # DEPENDENCYPART_ARC
(14,2),-1.93928 # DEPENDENCYPART_ARC
(14,3),-1.67228 # DEPENDENCYPART_ARC
(14,4),0.318396 # DEPENDENCYPART_ARC
(14,5),-2.2481 # DEPENDENCYPART_ARC
(14,6),-1.25243 # DEPENDENCYPART_ARC
(14,7),-0.425317 # DEPENDENCYPART_ARC
(14,8),-1.89544 # DEPENDENCYPART_ARC
(14,9),0.562409 # DEPENDENCYPART_ARC
(14,10),0.361908 # DEPENDENCYPART_ARC
(14,11),0.830506 # DEPENDENCYPART_ARC
(14,12),0.113495 # DEPENDENCYPART_ARC
(14,13),0.0431221 # DEPENDENCYPART_ARC
(14,15),1.01161 # DEPENDENCYPART_ARC
(14,16),3.00868 # DEPENDENCYPART_ARC
(14,17),0.271774 # DEPENDENCYPART_ARC
(15,1),0.472382 # DEPENDENCYPART_ARC
(15,2),-1.64486 # DEPENDENCYPART_ARC
(15,3),-0.705364 # DEPENDENCYPART_ARC
(15,4),0.438981 # DEPENDENCYPART_ARC
(15,5),-0.0933849 # DEPENDENCYPART_ARC
(15,6),1.44348 # DEPENDENCYPART_ARC
(15,7),0.631903 # DEPENDENCYPART_ARC
(15,8),0.279509 # DEPENDENCYPART_ARC
(15,9),0.299141 # DEPENDENCYPART_ARC
(15,10),-0.193788 # DEPENDENCYPART_ARC
(15,11),1.0253 # DEPENDENCYPART_ARC
(15,12),0.629019 # DEPENDENCYPART_ARC
(15,13),1.22323 # DEPENDENCYPART_ARC
(15,14),2.19055 # DEPENDENCYPART_ARC
(15,16),0.270573 # DEPENDENCYPART_ARC
(15,17),0.591073 # DEPENDENCYPART_ARC
(16,1),-3.4958 # DEPENDENCYPART_ARC
(16,2),-2.6305 # DEPENDENCYPART_ARC
(16,3),-2.18675 # DEPENDENCYPART_ARC
(16,4),-2.36521 # DEPENDENCYPART_ARC
(16,5),-3.72122 # DEPENDENCYPART_ARC
(16,6),-2.19856 # DEPENDENCYPART_ARC
(16,7),-1.4518 # DEPENDENCYPART_ARC
(16,8),-1.68687 # DEPENDENCYPART_ARC
(16,9),-0.963677 # DEPENDENCYPART_ARC
(16,10),-3.29403 # DEPENDENCYPART_ARC
(16,11),-0.691104 # DEPENDENCYPART_ARC
(16,12),-0.939142 # DEPENDENCYPART_ARC
(16,13),-0.353484 # DEPENDENCYPART_ARC
(16,14),-1.64498 # DEPENDENCYPART_ARC
(16,15),0.862559 # DEPENDENCYPART_ARC
(16,17),0.560417 # DEPENDENCYPART_ARC
(17,1),-4.74017 # DEPENDENCYPART_ARC
(17,2),-3.64135 # DEPENDENCYPART_ARC
(17,3),-4.35791 # DEPENDENCYPART_ARC
(17,4),-4.06471 # DEPENDENCYPART_ARC
(17,5),-4.26873 # DEPENDENCYPART_ARC
(17,6),-3.80966 # DEPENDENCYPART_ARC
(17,7),-3.92625 # DEPENDENCYPART_ARC
(17,8),-3.4658 # DEPENDENCYPART_ARC
(17,9),-2.24851 # DEPENDENCYPART_ARC
(17,10),-3.08421 # DEPENDENCYPART_ARC
(17,11),-2.10206 # DEPENDENCYPART_ARC
(17,12),-2.7866 # DEPENDENCYPART_ARC
(17,13),-2.63669 # DEPENDENCYPART_ARC
(17,14),-2.94655 # DEPENDENCYPART_ARC
(17,15),-3.37519 # DEPENDENCYPART_ARC
(17,16),-2.5903 # DEPENDENCYPART_ARC
