# _root_ Erica Cantonu , francouzského fotbalového reprezentanta a hráče Manchesteru United , čeká v tomto týdnu velmi nepříjemný program .
#goldHeads=2,3,12,6,6,7,3,7,8,9,3,0,12,15,13,17,18,12,0,
#predictedHeads=2,7,7,6,6,7,12,7,8,9,4,0,12,15,13,17,18,12,0,
(3,12),-0.490117 # DEPENDENCYPART_ARC
(3,13),-1.40861 # DEPENDENCYPART_ARC
(3,14),-1.57147 # DEPENDENCYPART_ARC
(3,15),-1.4823 # DEPENDENCYPART_ARC
(3,16),-0.923746 # DEPENDENCYPART_ARC
(3,17),-1.79052 # DEPENDENCYPART_ARC
(3,18),-1.36214 # DEPENDENCYPART_ARC
(3,19),-0.802981 # DEPENDENCYPART_ARC
(4,1),0.213135 # DEPENDENCYPART_ARC
(4,2),-1.68156 # DEPENDENCYPART_ARC
(4,3),1.13799 # DEPENDENCYPART_ARC
(4,5),0.627639 # DEPENDENCYPART_ARC
(4,6),-0.269113 # DEPENDENCYPART_ARC
(4,7),0.822664 # DEPENDENCYPART_ARC
(4,8),-1.94144 # DEPENDENCYPART_ARC
(4,9),-0.826429 # DEPENDENCYPART_ARC
(4,10),-2.75198 # DEPENDENCYPART_ARC
(4,11),0.827364 # DEPENDENCYPART_ARC
(4,12),-1.97001 # DEPENDENCYPART_ARC
(4,13),-1.45554 # DEPENDENCYPART_ARC
(4,14),-2.36502 # DEPENDENCYPART_ARC
(4,15),-3.28033 # DEPENDENCYPART_ARC
(4,16),-0.874336 # DEPENDENCYPART_ARC
(4,17),-2.89419 # DEPENDENCYPART_ARC
(4,18),-3.82928 # DEPENDENCYPART_ARC
(4,19),-2.02267 # DEPENDENCYPART_ARC
(5,1),-0.160667 # DEPENDENCYPART_ARC
(5,2),-2.22719 # DEPENDENCYPART_ARC
(5,3),-0.0589996 # DEPENDENCYPART_ARC
(5,4),0.938863 # DEPENDENCYPART_ARC
(5,6),-1.31995 # DEPENDENCYPART_ARC
(5,7),-0.340729 # DEPENDENCYPART_ARC
(5,8),-3.51748 # DEPENDENCYPART_ARC
(5,9),-2.489 # DEPENDENCYPART_ARC
(5,10),-3.55035 # DEPENDENCYPART_ARC
(5,11),-0.850738 # DEPENDENCYPART_ARC
(5,12),-3.27191 # DEPENDENCYPART_ARC
(5,13),-2.87223 # DEPENDENCYPART_ARC
(5,14),-3.63043 # DEPENDENCYPART_ARC
(5,15),-4.99125 # DEPENDENCYPART_ARC
(5,16),-2.29547 # DEPENDENCYPART_ARC
(5,17),-3.94471 # DEPENDENCYPART_ARC
(5,18),-5.75976 # DEPENDENCYPART_ARC
(5,19),-3.20551 # DEPENDENCYPART_ARC
(6,1),1.95829 # DEPENDENCYPART_ARC
(6,2),-0.369974 # DEPENDENCYPART_ARC
(6,3),-0.34288 # DEPENDENCYPART_ARC
(6,4),4.02861 # DEPENDENCYPART_ARC
(6,5),4.74823 # DEPENDENCYPART_ARC
(6,7),-0.308109 # DEPENDENCYPART_ARC
(6,8),-1.56638 # DEPENDENCYPART_ARC
(6,9),0.706084 # DEPENDENCYPART_ARC
(6,10),-0.213719 # DEPENDENCYPART_ARC
(6,11),-1.71132 # DEPENDENCYPART_ARC
(6,12),-3.46679 # DEPENDENCYPART_ARC
(6,13),-2.85039 # DEPENDENCYPART_ARC
(6,14),-3.65688 # DEPENDENCYPART_ARC
(6,15),-3.35145 # DEPENDENCYPART_ARC
(6,16),-1.73982 # DEPENDENCYPART_ARC
(6,17),-4.96518 # DEPENDENCYPART_ARC
(6,18),-4.16377 # DEPENDENCYPART_ARC
(6,19),-5.74712 # DEPENDENCYPART_ARC
(7,1),1.22783 # DEPENDENCYPART_ARC
(7,2),2.52291 # DEPENDENCYPART_ARC
(7,3),1.57264 # DEPENDENCYPART_ARC
(7,4),1.494 # DEPENDENCYPART_ARC
(7,5),2.38388 # DEPENDENCYPART_ARC
(7,6),3.91867 # DEPENDENCYPART_ARC
(7,8),3.47737 # DEPENDENCYPART_ARC
(7,9),1.9611 # DEPENDENCYPART_ARC
(7,10),0.0528007 # DEPENDENCYPART_ARC
(7,11),0.452521 # DEPENDENCYPART_ARC
(7,12),0.236291 # DEPENDENCYPART_ARC
(7,13),-0.839041 # DEPENDENCYPART_ARC
(7,14),-1.12427 # DEPENDENCYPART_ARC
(7,15),-0.987204 # DEPENDENCYPART_ARC
(7,16),-0.915448 # DEPENDENCYPART_ARC
(7,17),-1.48579 # DEPENDENCYPART_ARC
(7,18),-1.0019 # DEPENDENCYPART_ARC
(7,19),-1.30724 # DEPENDENCYPART_ARC
(8,1),-1.40519 # DEPENDENCYPART_ARC
(8,2),-3.0616 # DEPENDENCYPART_ARC
(8,3),-1.58659 # DEPENDENCYPART_ARC
(8,4),0.314878 # DEPENDENCYPART_ARC
(8,5),0.605136 # DEPENDENCYPART_ARC
(8,6),-0.397407 # DEPENDENCYPART_ARC
(8,7),-0.593242 # DEPENDENCYPART_ARC
(8,9),3.5258 # DEPENDENCYPART_ARC
(8,10),1.19365 # DEPENDENCYPART_ARC
(8,11),-0.880521 # DEPENDENCYPART_ARC
(8,12),-1.84935 # DEPENDENCYPART_ARC
(8,13),-2.45023 # DEPENDENCYPART_ARC
(8,14),-2.66257 # DEPENDENCYPART_ARC
(8,15),-2.50292 # DEPENDENCYPART_ARC
(8,16),-1.00981 # DEPENDENCYPART_ARC
(8,17),-4.18003 # DEPENDENCYPART_ARC
(8,18),-4.18579 # DEPENDENCYPART_ARC
(8,19),-4.15482 # DEPENDENCYPART_ARC
(9,1),-1.88803 # DEPENDENCYPART_ARC
(9,2),-4.57086 # DEPENDENCYPART_ARC
(9,3),-0.929255 # DEPENDENCYPART_ARC
(9,4),-2.36941 # DEPENDENCYPART_ARC
(9,5),-2.13564 # DEPENDENCYPART_ARC
(9,6),-3.08212 # DEPENDENCYPART_ARC
(9,7),0.211212 # DEPENDENCYPART_ARC
(9,8),-0.118797 # DEPENDENCYPART_ARC
(9,10),2.17715 # DEPENDENCYPART_ARC
(9,11),-0.745968 # DEPENDENCYPART_ARC
(9,12),-2.05529 # DEPENDENCYPART_ARC
(9,13),-2.06783 # DEPENDENCYPART_ARC
(9,14),-1.53516 # DEPENDENCYPART_ARC
(9,15),-2.49351 # DEPENDENCYPART_ARC
(9,16),-0.757627 # DEPENDENCYPART_ARC
(9,17),-3.68924 # DEPENDENCYPART_ARC
(9,18),-2.65406 # DEPENDENCYPART_ARC
(9,19),-3.08682 # DEPENDENCYPART_ARC
(10,1),0.191203 # DEPENDENCYPART_ARC
(10,2),-1.32175 # DEPENDENCYPART_ARC
(10,3),-0.442057 # DEPENDENCYPART_ARC
(10,4),-0.340795 # DEPENDENCYPART_ARC
(10,5),0.347566 # DEPENDENCYPART_ARC
(10,6),-0.300997 # DEPENDENCYPART_ARC
(10,7),0.248505 # DEPENDENCYPART_ARC
(10,8),0.775082 # DEPENDENCYPART_ARC
(10,9),0.709104 # DEPENDENCYPART_ARC
(10,11),-0.245351 # DEPENDENCYPART_ARC
(10,12),-1.5736 # DEPENDENCYPART_ARC
(10,13),-2.13464 # DEPENDENCYPART_ARC
(10,14),-1.8431 # DEPENDENCYPART_ARC
(10,15),-2.50444 # DEPENDENCYPART_ARC
(10,16),-0.902175 # DEPENDENCYPART_ARC
(10,17),-2.2241 # DEPENDENCYPART_ARC
(10,18),-2.10323 # DEPENDENCYPART_ARC
(10,19),-1.93376 # DEPENDENCYPART_ARC
(11,1),0.661377 # DEPENDENCYPART_ARC
(11,2),-0.0131558 # DEPENDENCYPART_ARC
(11,3),0.346095 # DEPENDENCYPART_ARC
(11,4),-0.329241 # DEPENDENCYPART_ARC
(11,5),-0.511062 # DEPENDENCYPART_ARC
(11,6),0.291903 # DEPENDENCYPART_ARC
(11,7),-0.2207 # DEPENDENCYPART_ARC
(11,8),0.709573 # DEPENDENCYPART_ARC
(11,9),0.171786 # DEPENDENCYPART_ARC
(11,10),0.16938 # DEPENDENCYPART_ARC
(11,12),0.596442 # DEPENDENCYPART_ARC
(11,13),-0.54582 # DEPENDENCYPART_ARC
(11,14),-0.50863 # DEPENDENCYPART_ARC
(11,15),-1.37026 # DEPENDENCYPART_ARC
(11,16),-0.17786 # DEPENDENCYPART_ARC
(11,17),0.770207 # DEPENDENCYPART_ARC
(11,18),-2.2294 # DEPENDENCYPART_ARC
(11,19),-0.36311 # DEPENDENCYPART_ARC
(12,1),1.1488 # DEPENDENCYPART_ARC
(12,2),-0.640368 # DEPENDENCYPART_ARC
(12,3),-0.342655 # DEPENDENCYPART_ARC
(12,4),-2.7017 # DEPENDENCYPART_ARC
(12,5),-2.9781 # DEPENDENCYPART_ARC
(12,6),-0.701298 # DEPENDENCYPART_ARC
(12,7),-0.137138 # DEPENDENCYPART_ARC
(12,8),1.02604 # DEPENDENCYPART_ARC
(12,9),-1.5424 # DEPENDENCYPART_ARC
(12,10),-0.987546 # DEPENDENCYPART_ARC
(12,11),0.183914 # DEPENDENCYPART_ARC
(12,13),2.99206 # DEPENDENCYPART_ARC
(12,14),-0.153642 # DEPENDENCYPART_ARC
(12,15),1.56711 # DEPENDENCYPART_ARC
(12,16),0.455785 # DEPENDENCYPART_ARC
(12,17),0.522245 # DEPENDENCYPART_ARC
(12,18),1.83413 # DEPENDENCYPART_ARC
(12,19),0.369657 # DEPENDENCYPART_ARC
(13,1),-5.09367 # DEPENDENCYPART_ARC
(13,2),-4.86714 # DEPENDENCYPART_ARC
(13,3),-3.18745 # DEPENDENCYPART_ARC
(13,4),-3.70653 # DEPENDENCYPART_ARC
(13,5),-3.64076 # DEPENDENCYPART_ARC
(13,6),-4.30033 # DEPENDENCYPART_ARC
(13,7),-2.31706 # DEPENDENCYPART_ARC
(13,8),-3.61009 # DEPENDENCYPART_ARC
(13,9),-3.51691 # DEPENDENCYPART_ARC
(13,10),-2.86794 # DEPENDENCYPART_ARC
(13,11),-1.03263 # DEPENDENCYPART_ARC
(13,12),-1.7783 # DEPENDENCYPART_ARC
(13,14),2.65735 # DEPENDENCYPART_ARC
(13,15),4.79064 # DEPENDENCYPART_ARC
(13,16),-0.539094 # DEPENDENCYPART_ARC
(13,17),-2.61702 # DEPENDENCYPART_ARC
(13,18),-1.86123 # DEPENDENCYPART_ARC
(13,19),-0.795198 # DEPENDENCYPART_ARC
(14,1),-2.60504 # DEPENDENCYPART_ARC
(14,2),-3.69275 # DEPENDENCYPART_ARC
(14,3),-1.86638 # DEPENDENCYPART_ARC
(14,4),-3.35954 # DEPENDENCYPART_ARC
(14,5),-3.28332 # DEPENDENCYPART_ARC
(14,6),-2.64284 # DEPENDENCYPART_ARC
(14,7),-2.32008 # DEPENDENCYPART_ARC
(14,8),-2.57853 # DEPENDENCYPART_ARC
(14,9),-1.70252 # DEPENDENCYPART_ARC
(14,10),-2.03058 # DEPENDENCYPART_ARC
(14,11),-1.15806 # DEPENDENCYPART_ARC
(14,12),-0.888118 # DEPENDENCYPART_ARC
(14,13),-0.787196 # DEPENDENCYPART_ARC
(14,15),-0.839483 # DEPENDENCYPART_ARC
(14,16),-1.1631 # DEPENDENCYPART_ARC
(14,17),-2.57227 # DEPENDENCYPART_ARC
(14,18),-2.70149 # DEPENDENCYPART_ARC
(14,19),-1.42931 # DEPENDENCYPART_ARC
(15,1),-2.64319 # DEPENDENCYPART_ARC
(15,2),-4.19806 # DEPENDENCYPART_ARC
(15,3),-1.55887 # DEPENDENCYPART_ARC
(15,4),-3.50686 # DEPENDENCYPART_ARC
(15,5),-3.43708 # DEPENDENCYPART_ARC
(15,6),-3.62337 # DEPENDENCYPART_ARC
(15,7),-2.12794 # DEPENDENCYPART_ARC
(15,8),-1.86491 # DEPENDENCYPART_ARC
(15,9),-1.77589 # DEPENDENCYPART_ARC
(15,10),-0.13014 # DEPENDENCYPART_ARC
(15,11),-0.794378 # DEPENDENCYPART_ARC
(15,12),-1.26134 # DEPENDENCYPART_ARC
(15,13),0.820892 # DEPENDENCYPART_ARC
(15,14),5.74443 # DEPENDENCYPART_ARC
(15,16),-0.443586 # DEPENDENCYPART_ARC
(15,17),-2.00989 # DEPENDENCYPART_ARC
(15,18),-1.29319 # DEPENDENCYPART_ARC
(15,19),-1.16482 # DEPENDENCYPART_ARC
(16,1),-2.48671 # DEPENDENCYPART_ARC
(16,2),-1.46436 # DEPENDENCYPART_ARC
(16,3),-1.36045 # DEPENDENCYPART_ARC
(16,4),-1.98379 # DEPENDENCYPART_ARC
(16,5),-1.89967 # DEPENDENCYPART_ARC
(16,6),-2.06385 # DEPENDENCYPART_ARC
(16,7),-1.39014 # DEPENDENCYPART_ARC
(16,8),-1.61558 # DEPENDENCYPART_ARC
(16,9),-1.44803 # DEPENDENCYPART_ARC
(16,10),-1.20866 # DEPENDENCYPART_ARC
(16,11),-1.06505 # DEPENDENCYPART_ARC
(16,12),-0.987723 # DEPENDENCYPART_ARC
(16,13),-0.434717 # DEPENDENCYPART_ARC
(16,14),-0.459428 # DEPENDENCYPART_ARC
(16,15),-0.678335 # DEPENDENCYPART_ARC
(16,17),-0.273175 # DEPENDENCYPART_ARC
(16,18),-0.334063 # DEPENDENCYPART_ARC
(16,19),-0.272334 # DEPENDENCYPART_ARC
(17,1),-1.51005 # DEPENDENCYPART_ARC
(17,2),-3.45119 # DEPENDENCYPART_ARC
(17,3),-1.6915 # DEPENDENCYPART_ARC
(17,4),-3.24827 # DEPENDENCYPART_ARC
(17,5),-3.29033 # DEPENDENCYPART_ARC
(17,6),-2.97181 # DEPENDENCYPART_ARC
(17,7),-1.30326 # DEPENDENCYPART_ARC
(17,8),-2.22722 # DEPENDENCYPART_ARC
(17,9),-3.06214 # DEPENDENCYPART_ARC
(17,10),-1.54412 # DEPENDENCYPART_ARC
(17,11),-0.882261 # DEPENDENCYPART_ARC
(17,12),-3.2028 # DEPENDENCYPART_ARC
(17,13),0.277521 # DEPENDENCYPART_ARC
(17,14),-2.29599 # DEPENDENCYPART_ARC
(17,15),-2.17899 # DEPENDENCYPART_ARC
(17,16),2.16875 # DEPENDENCYPART_ARC
(17,18),-0.807742 # DEPENDENCYPART_ARC
(17,19),-0.49098 # DEPENDENCYPART_ARC
(18,1),-4.66004 # DEPENDENCYPART_ARC
(18,2),-6.41456 # DEPENDENCYPART_ARC
(18,3),-1.35664 # DEPENDENCYPART_ARC
(18,4),-3.94941 # DEPENDENCYPART_ARC
(18,5),-3.67825 # DEPENDENCYPART_ARC
(18,6),-5.95019 # DEPENDENCYPART_ARC
(18,7),-2.33921 # DEPENDENCYPART_ARC
(18,8),-3.96201 # DEPENDENCYPART_ARC
(18,9),-3.49451 # DEPENDENCYPART_ARC
(18,10),-0.661522 # DEPENDENCYPART_ARC
(18,11),-0.600481 # DEPENDENCYPART_ARC
(18,12),-1.71863 # DEPENDENCYPART_ARC
(18,13),0.079463 # DEPENDENCYPART_ARC
(18,14),-0.0374461 # DEPENDENCYPART_ARC
(18,15),-2.95671 # DEPENDENCYPART_ARC
(18,16),0.801145 # DEPENDENCYPART_ARC
(18,17),3.93763 # DEPENDENCYPART_ARC
(18,19),0.696397 # DEPENDENCYPART_ARC
(19,1),-5.44981 # DEPENDENCYPART_ARC
(19,2),-4.94493 # DEPENDENCYPART_ARC
(19,3),-4.53036 # DEPENDENCYPART_ARC
(19,4),-4.38205 # DEPENDENCYPART_ARC
(19,5),-4.40207 # DEPENDENCYPART_ARC
(19,6),-4.91776 # DEPENDENCYPART_ARC
(19,7),-4.50083 # DEPENDENCYPART_ARC
(19,8),-4.77292 # DEPENDENCYPART_ARC
(19,9),-4.47779 # DEPENDENCYPART_ARC
(19,10),-4.14208 # DEPENDENCYPART_ARC
(19,11),-3.90763 # DEPENDENCYPART_ARC
(19,12),-3.44624 # DEPENDENCYPART_ARC
(19,13),-3.48653 # DEPENDENCYPART_ARC
(19,14),-2.99148 # DEPENDENCYPART_ARC
(19,15),-3.56224 # DEPENDENCYPART_ARC
(19,16),-2.89982 # DEPENDENCYPART_ARC
(19,17),-3.10907 # DEPENDENCYPART_ARC
(19,18),-3.40414 # DEPENDENCYPART_ARC
