# _root_ Poslanec FS Aleš Mucha ( LSU ) nevidí důvod , proč by stahoval svůj návrh kandidatury Jiřího Kotase na funkci prezidenta ČSFR , přestože se v minulých dnech LSU od kandidatury J . Kotase distancovala .
#goldHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,16,19,20,21,24,8,35,35,28,26,35,35,30,34,32,31,24,0,
#predictedHeads=4,1,4,5,8,4,5,0,8,13,13,13,9,15,13,15,18,16,15,19,20,21,24,13,35,35,28,26,28,35,30,34,32,31,24,0,
(1,31),-6.83022 # DEPENDENCYPART_ARC
(1,32),-7.83542 # DEPENDENCYPART_ARC
(1,33),-15.9144 # DEPENDENCYPART_ARC
(1,34),-7.61034 # DEPENDENCYPART_ARC
(1,35),-6.64732 # DEPENDENCYPART_ARC
(1,36),-17.9189 # DEPENDENCYPART_ARC
(2,1),-1.66018 # DEPENDENCYPART_ARC
(2,3),0.847205 # DEPENDENCYPART_ARC
(2,4),-0.867622 # DEPENDENCYPART_ARC
(2,5),0.343528 # DEPENDENCYPART_ARC
(2,6),-1.01139 # DEPENDENCYPART_ARC
(2,7),-0.0139409 # DEPENDENCYPART_ARC
(2,8),-3.79603 # DEPENDENCYPART_ARC
(2,9),-6.0098 # DEPENDENCYPART_ARC
(2,10),-0.728 # DEPENDENCYPART_ARC
(2,11),-0.922533 # DEPENDENCYPART_ARC
(2,12),-2.44136 # DEPENDENCYPART_ARC
(2,13),-5.01323 # DEPENDENCYPART_ARC
(2,14),-3.3098 # DEPENDENCYPART_ARC
(2,15),-7.29729 # DEPENDENCYPART_ARC
(2,16),-4.09824 # DEPENDENCYPART_ARC
(2,17),-5.92612 # DEPENDENCYPART_ARC
(2,18),-5.80061 # DEPENDENCYPART_ARC
(2,19),-3.66838 # DEPENDENCYPART_ARC
(2,20),-8.8576 # DEPENDENCYPART_ARC
(2,21),-6.96849 # DEPENDENCYPART_ARC
(2,22),-4.37258 # DEPENDENCYPART_ARC
(2,23),-1.93023 # DEPENDENCYPART_ARC
(2,24),-3.73331 # DEPENDENCYPART_ARC
(2,25),-4.5376 # DEPENDENCYPART_ARC
(2,26),-4.53767 # DEPENDENCYPART_ARC
(2,27),-5.98017 # DEPENDENCYPART_ARC
(2,28),-7.8928 # DEPENDENCYPART_ARC
(2,29),-6.35674 # DEPENDENCYPART_ARC
(2,30),-4.09505 # DEPENDENCYPART_ARC
(2,31),-8.06309 # DEPENDENCYPART_ARC
(2,32),-9.20205 # DEPENDENCYPART_ARC
(2,33),-15.3503 # DEPENDENCYPART_ARC
(2,34),-9.50407 # DEPENDENCYPART_ARC
(2,35),-8.65888 # DEPENDENCYPART_ARC
(2,36),-17.8697 # DEPENDENCYPART_ARC
(3,1),2.4649 # DEPENDENCYPART_ARC
(3,2),-2.3876 # DEPENDENCYPART_ARC
(3,4),0.916953 # DEPENDENCYPART_ARC
(3,5),0.341399 # DEPENDENCYPART_ARC
(3,6),-0.364701 # DEPENDENCYPART_ARC
(3,7),0.283877 # DEPENDENCYPART_ARC
(3,8),-2.1529 # DEPENDENCYPART_ARC
(3,9),-5.82991 # DEPENDENCYPART_ARC
(3,10),-0.526883 # DEPENDENCYPART_ARC
(3,11),-0.668082 # DEPENDENCYPART_ARC
(3,12),-2.15117 # DEPENDENCYPART_ARC
(3,13),-3.01562 # DEPENDENCYPART_ARC
(3,14),-3.53843 # DEPENDENCYPART_ARC
(3,15),-7.18735 # DEPENDENCYPART_ARC
(3,16),-3.70164 # DEPENDENCYPART_ARC
(3,17),-4.45773 # DEPENDENCYPART_ARC
(3,18),-4.59502 # DEPENDENCYPART_ARC
(3,19),-2.47471 # DEPENDENCYPART_ARC
(3,20),-9.38009 # DEPENDENCYPART_ARC
(3,21),-5.34448 # DEPENDENCYPART_ARC
(3,22),-4.66697 # DEPENDENCYPART_ARC
(3,23),-1.58823 # DEPENDENCYPART_ARC
(3,24),-3.19194 # DEPENDENCYPART_ARC
(3,25),-4.5395 # DEPENDENCYPART_ARC
(3,26),-4.33516 # DEPENDENCYPART_ARC
(3,27),-6.64608 # DEPENDENCYPART_ARC
(3,28),-7.07793 # DEPENDENCYPART_ARC
(3,29),-5.7103 # DEPENDENCYPART_ARC
(3,30),-2.87281 # DEPENDENCYPART_ARC
(3,31),-7.75454 # DEPENDENCYPART_ARC
(3,32),-7.28837 # DEPENDENCYPART_ARC
(3,33),-13.8029 # DEPENDENCYPART_ARC
(3,34),-8.51834 # DEPENDENCYPART_ARC
(3,35),-6.94385 # DEPENDENCYPART_ARC
(3,36),-16.9875 # DEPENDENCYPART_ARC
(4,1),4.04411 # DEPENDENCYPART_ARC
(4,2),-0.380756 # DEPENDENCYPART_ARC
(4,3),6.48814 # DEPENDENCYPART_ARC
(4,5),1.49474 # DEPENDENCYPART_ARC
(4,6),2.25028 # DEPENDENCYPART_ARC
(4,7),0.90074 # DEPENDENCYPART_ARC
(4,8),-0.781542 # DEPENDENCYPART_ARC
(4,9),-5.20677 # DEPENDENCYPART_ARC
(4,10),-0.517221 # DEPENDENCYPART_ARC
(4,11),-0.514201 # DEPENDENCYPART_ARC
(4,12),-0.97865 # DEPENDENCYPART_ARC
(4,13),-1.42368 # DEPENDENCYPART_ARC
(4,14),-3.97591 # DEPENDENCYPART_ARC
(4,15),-6.83351 # DEPENDENCYPART_ARC
(4,16),-3.54259 # DEPENDENCYPART_ARC
(4,17),-4.3082 # DEPENDENCYPART_ARC
(4,18),-4.85503 # DEPENDENCYPART_ARC
(4,19),-3.72741 # DEPENDENCYPART_ARC
(4,20),-8.65388 # DEPENDENCYPART_ARC
(4,21),-5.02435 # DEPENDENCYPART_ARC
(4,22),-3.54455 # DEPENDENCYPART_ARC
(4,23),-1.86001 # DEPENDENCYPART_ARC
(4,24),-2.10153 # DEPENDENCYPART_ARC
(4,25),-4.77394 # DEPENDENCYPART_ARC
(4,26),-4.86311 # DEPENDENCYPART_ARC
(4,27),-5.59357 # DEPENDENCYPART_ARC
(4,28),-7.0097 # DEPENDENCYPART_ARC
(4,29),-4.76169 # DEPENDENCYPART_ARC
(4,30),-3.03203 # DEPENDENCYPART_ARC
(4,31),-7.39983 # DEPENDENCYPART_ARC
(4,32),-5.84993 # DEPENDENCYPART_ARC
(4,33),-13.6896 # DEPENDENCYPART_ARC
(4,34),-8.06382 # DEPENDENCYPART_ARC
(4,35),-5.15777 # DEPENDENCYPART_ARC
(4,36),-16.8385 # DEPENDENCYPART_ARC
(5,1),0.312814 # DEPENDENCYPART_ARC
(5,2),1.18877 # DEPENDENCYPART_ARC
(5,3),0.829317 # DEPENDENCYPART_ARC
(5,4),1.61257 # DEPENDENCYPART_ARC
(5,6),1.60297 # DEPENDENCYPART_ARC
(5,7),1.53497 # DEPENDENCYPART_ARC
(5,8),0.0254024 # DEPENDENCYPART_ARC
(5,9),-0.372144 # DEPENDENCYPART_ARC
(5,10),-0.112381 # DEPENDENCYPART_ARC
(5,11),-0.971041 # DEPENDENCYPART_ARC
(5,12),-0.536848 # DEPENDENCYPART_ARC
(5,13),-0.856559 # DEPENDENCYPART_ARC
(5,14),-1.57965 # DEPENDENCYPART_ARC
(5,15),-2.58434 # DEPENDENCYPART_ARC
(5,16),-2.38366 # DEPENDENCYPART_ARC
(5,17),-2.46741 # DEPENDENCYPART_ARC
(5,18),-2.64518 # DEPENDENCYPART_ARC
(5,19),-1.97285 # DEPENDENCYPART_ARC
(5,20),-3.15917 # DEPENDENCYPART_ARC
(5,21),-2.86664 # DEPENDENCYPART_ARC
(5,22),-2.47376 # DEPENDENCYPART_ARC
(5,23),-1.14347 # DEPENDENCYPART_ARC
(5,24),-1.53168 # DEPENDENCYPART_ARC
(5,25),-3.39321 # DEPENDENCYPART_ARC
(5,26),-3.31596 # DEPENDENCYPART_ARC
(5,27),-3.12151 # DEPENDENCYPART_ARC
(5,28),-4.08057 # DEPENDENCYPART_ARC
(5,29),-3.77698 # DEPENDENCYPART_ARC
(5,30),-2.35596 # DEPENDENCYPART_ARC
(5,31),-4.39231 # DEPENDENCYPART_ARC
(5,32),-4.37906 # DEPENDENCYPART_ARC
(5,33),-3.0497 # DEPENDENCYPART_ARC
(5,34),-4.77809 # DEPENDENCYPART_ARC
(5,35),-2.56367 # DEPENDENCYPART_ARC
(5,36),-3.87897 # DEPENDENCYPART_ARC
(6,1),-2.5697 # DEPENDENCYPART_ARC
(6,2),-2.45924 # DEPENDENCYPART_ARC
(6,3),-0.636559 # DEPENDENCYPART_ARC
(6,4),-2.0782 # DEPENDENCYPART_ARC
(6,5),0.279134 # DEPENDENCYPART_ARC
(6,7),0.382575 # DEPENDENCYPART_ARC
(6,8),-3.84482 # DEPENDENCYPART_ARC
(6,9),-5.77931 # DEPENDENCYPART_ARC
(6,10),-1.48073 # DEPENDENCYPART_ARC
(6,11),-1.77433 # DEPENDENCYPART_ARC
(6,12),-2.08625 # DEPENDENCYPART_ARC
(6,13),-4.85131 # DEPENDENCYPART_ARC
(6,14),-3.98717 # DEPENDENCYPART_ARC
(6,15),-8.22307 # DEPENDENCYPART_ARC
(6,16),-4.80591 # DEPENDENCYPART_ARC
(6,17),-6.23421 # DEPENDENCYPART_ARC
(6,18),-6.75879 # DEPENDENCYPART_ARC
(6,19),-5.1164 # DEPENDENCYPART_ARC
(6,20),-8.99883 # DEPENDENCYPART_ARC
(6,21),-7.06961 # DEPENDENCYPART_ARC
(6,22),-4.51145 # DEPENDENCYPART_ARC
(6,23),-2.07397 # DEPENDENCYPART_ARC
(6,24),-3.36378 # DEPENDENCYPART_ARC
(6,25),-5.64517 # DEPENDENCYPART_ARC
(6,26),-5.77755 # DEPENDENCYPART_ARC
(6,27),-6.94404 # DEPENDENCYPART_ARC
(6,28),-7.98664 # DEPENDENCYPART_ARC
(6,29),-6.67362 # DEPENDENCYPART_ARC
(6,30),-5.60317 # DEPENDENCYPART_ARC
(6,31),-7.93325 # DEPENDENCYPART_ARC
(6,32),-8.99121 # DEPENDENCYPART_ARC
(6,33),-13.2845 # DEPENDENCYPART_ARC
(6,34),-10.0766 # DEPENDENCYPART_ARC
(6,35),-7.76018 # DEPENDENCYPART_ARC
(6,36),-15.4221 # DEPENDENCYPART_ARC
(7,1),-1.55825 # DEPENDENCYPART_ARC
(7,2),-1.66334 # DEPENDENCYPART_ARC
(7,3),-1.45077 # DEPENDENCYPART_ARC
(7,4),-1.32251 # DEPENDENCYPART_ARC
(7,5),-1.27897 # DEPENDENCYPART_ARC
(7,6),-1.52965 # DEPENDENCYPART_ARC
(7,8),-1.43864 # DEPENDENCYPART_ARC
(7,9),-2.01902 # DEPENDENCYPART_ARC
(7,10),-1.81766 # DEPENDENCYPART_ARC
(7,11),-2.5853 # DEPENDENCYPART_ARC
(7,12),-2.5815 # DEPENDENCYPART_ARC
(7,13),-2.65268 # DEPENDENCYPART_ARC
(7,14),-3.09777 # DEPENDENCYPART_ARC
(7,15),-4.45593 # DEPENDENCYPART_ARC
(7,16),-4.36137 # DEPENDENCYPART_ARC
(7,17),-4.57359 # DEPENDENCYPART_ARC
(7,18),-4.65769 # DEPENDENCYPART_ARC
(7,19),-3.69652 # DEPENDENCYPART_ARC
(7,20),-5.45171 # DEPENDENCYPART_ARC
(7,21),-5.17876 # DEPENDENCYPART_ARC
(7,22),-5.07338 # DEPENDENCYPART_ARC
(7,23),-2.74207 # DEPENDENCYPART_ARC
(7,24),-3.56903 # DEPENDENCYPART_ARC
(7,25),-4.82269 # DEPENDENCYPART_ARC
(7,26),-4.79439 # DEPENDENCYPART_ARC
(7,27),-5.45828 # DEPENDENCYPART_ARC
(7,28),-6.46919 # DEPENDENCYPART_ARC
(7,29),-6.43288 # DEPENDENCYPART_ARC
(7,30),-4.6686 # DEPENDENCYPART_ARC
(7,31),-7.2343 # DEPENDENCYPART_ARC
(7,32),-7.31641 # DEPENDENCYPART_ARC
(7,33),-4.61341 # DEPENDENCYPART_ARC
(7,34),-7.76004 # DEPENDENCYPART_ARC
(7,35),-4.19602 # DEPENDENCYPART_ARC
(7,36),-4.85169 # DEPENDENCYPART_ARC
(8,1),1.99045 # DEPENDENCYPART_ARC
(8,2),0.23975 # DEPENDENCYPART_ARC
(8,3),0.780601 # DEPENDENCYPART_ARC
(8,4),0.945068 # DEPENDENCYPART_ARC
(8,5),1.42711 # DEPENDENCYPART_ARC
(8,6),0.623015 # DEPENDENCYPART_ARC
(8,7),0.272325 # DEPENDENCYPART_ARC
(8,9),3.44048 # DEPENDENCYPART_ARC
(8,10),0.257839 # DEPENDENCYPART_ARC
(8,11),0.129562 # DEPENDENCYPART_ARC
(8,12),1.29722 # DEPENDENCYPART_ARC
(8,13),-1.18638 # DEPENDENCYPART_ARC
(8,14),-2.46536 # DEPENDENCYPART_ARC
(8,15),-0.831165 # DEPENDENCYPART_ARC
(8,16),-2.19826 # DEPENDENCYPART_ARC
(8,17),-3.1344 # DEPENDENCYPART_ARC
(8,18),-2.42314 # DEPENDENCYPART_ARC
(8,19),-0.71807 # DEPENDENCYPART_ARC
(8,20),-2.4084 # DEPENDENCYPART_ARC
(8,21),-3.23521 # DEPENDENCYPART_ARC
(8,22),-3.86777 # DEPENDENCYPART_ARC
(8,23),-0.59776 # DEPENDENCYPART_ARC
(8,24),0.65454 # DEPENDENCYPART_ARC
(8,25),-3.61601 # DEPENDENCYPART_ARC
(8,26),-2.40753 # DEPENDENCYPART_ARC
(8,27),-8.00659 # DEPENDENCYPART_ARC
(8,28),-6.14552 # DEPENDENCYPART_ARC
(8,29),-5.4051 # DEPENDENCYPART_ARC
(8,30),-1.78613 # DEPENDENCYPART_ARC
(8,31),-6.92384 # DEPENDENCYPART_ARC
(8,32),-6.5519 # DEPENDENCYPART_ARC
(8,33),-1.59999 # DEPENDENCYPART_ARC
(8,34),-7.63753 # DEPENDENCYPART_ARC
(8,35),-4.43407 # DEPENDENCYPART_ARC
(8,36),-2.13111 # DEPENDENCYPART_ARC
(9,1),-3.62642 # DEPENDENCYPART_ARC
(9,2),-3.70223 # DEPENDENCYPART_ARC
(9,3),-2.67856 # DEPENDENCYPART_ARC
(9,4),-3.52558 # DEPENDENCYPART_ARC
(9,5),-1.08429 # DEPENDENCYPART_ARC
(9,6),-3.8891 # DEPENDENCYPART_ARC
(9,7),-0.782736 # DEPENDENCYPART_ARC
(9,8),-0.841921 # DEPENDENCYPART_ARC
(9,10),0.513882 # DEPENDENCYPART_ARC
(9,11),0.82475 # DEPENDENCYPART_ARC
(9,12),1.96881 # DEPENDENCYPART_ARC
(9,13),1.02286 # DEPENDENCYPART_ARC
(9,14),0.1453 # DEPENDENCYPART_ARC
(9,15),-1.56646 # DEPENDENCYPART_ARC
(9,16),-0.0775391 # DEPENDENCYPART_ARC
(9,17),-0.712987 # DEPENDENCYPART_ARC
(9,18),-0.613456 # DEPENDENCYPART_ARC
(9,19),-0.536483 # DEPENDENCYPART_ARC
(9,20),-3.15732 # DEPENDENCYPART_ARC
(9,21),-1.34194 # DEPENDENCYPART_ARC
(9,22),-1.52615 # DEPENDENCYPART_ARC
(9,23),-0.201579 # DEPENDENCYPART_ARC
(9,24),-0.344585 # DEPENDENCYPART_ARC
(9,25),-2.24473 # DEPENDENCYPART_ARC
(9,26),-3.01024 # DEPENDENCYPART_ARC
(9,27),-2.64481 # DEPENDENCYPART_ARC
(9,28),-2.96197 # DEPENDENCYPART_ARC
(9,29),-3.51832 # DEPENDENCYPART_ARC
(9,30),-2.54887 # DEPENDENCYPART_ARC
(9,31),-3.40159 # DEPENDENCYPART_ARC
(9,32),-4.02707 # DEPENDENCYPART_ARC
(9,33),-9.71439 # DEPENDENCYPART_ARC
(9,34),-3.45853 # DEPENDENCYPART_ARC
(9,35),0.0837671 # DEPENDENCYPART_ARC
(9,36),-12.1334 # DEPENDENCYPART_ARC
(10,1),0.428806 # DEPENDENCYPART_ARC
(10,2),0.47217 # DEPENDENCYPART_ARC
(10,3),0.438041 # DEPENDENCYPART_ARC
(10,4),1.01097 # DEPENDENCYPART_ARC
(10,5),0.123549 # DEPENDENCYPART_ARC
(10,6),0.592465 # DEPENDENCYPART_ARC
(10,7),-0.267603 # DEPENDENCYPART_ARC
(10,8),0.851647 # DEPENDENCYPART_ARC
(10,9),0.948888 # DEPENDENCYPART_ARC
(10,11),0.409504 # DEPENDENCYPART_ARC
(10,12),0.885263 # DEPENDENCYPART_ARC
(10,13),0.523856 # DEPENDENCYPART_ARC
(10,14),-0.153347 # DEPENDENCYPART_ARC
(10,15),-1.01796 # DEPENDENCYPART_ARC
(10,16),-1.16632 # DEPENDENCYPART_ARC
(10,17),-1.48773 # DEPENDENCYPART_ARC
(10,18),-1.71089 # DEPENDENCYPART_ARC
(10,19),-0.404822 # DEPENDENCYPART_ARC
(10,20),-2.53259 # DEPENDENCYPART_ARC
(10,21),-2.1483 # DEPENDENCYPART_ARC
(10,22),-2.1676 # DEPENDENCYPART_ARC
(10,23),0.369192 # DEPENDENCYPART_ARC
(10,24),-0.77017 # DEPENDENCYPART_ARC
(10,25),-2.19238 # DEPENDENCYPART_ARC
(10,26),-2.12551 # DEPENDENCYPART_ARC
(10,27),-2.01906 # DEPENDENCYPART_ARC
(10,28),-3.83273 # DEPENDENCYPART_ARC
(10,29),-3.799 # DEPENDENCYPART_ARC
(10,30),-1.51582 # DEPENDENCYPART_ARC
(10,31),-4.43277 # DEPENDENCYPART_ARC
(10,32),-4.51533 # DEPENDENCYPART_ARC
(10,33),-2.02906 # DEPENDENCYPART_ARC
(10,34),-4.93279 # DEPENDENCYPART_ARC
(10,35),-1.58969 # DEPENDENCYPART_ARC
(10,36),-1.98001 # DEPENDENCYPART_ARC
(11,1),-1.40491 # DEPENDENCYPART_ARC
(11,2),-1.14128 # DEPENDENCYPART_ARC
(11,3),-1.05771 # DEPENDENCYPART_ARC
(11,4),-0.629417 # DEPENDENCYPART_ARC
(11,5),-0.948926 # DEPENDENCYPART_ARC
(11,6),-0.581038 # DEPENDENCYPART_ARC
(11,7),-1.24067 # DEPENDENCYPART_ARC
(11,8),0.0974056 # DEPENDENCYPART_ARC
(11,9),0.398075 # DEPENDENCYPART_ARC
(11,10),-0.0301484 # DEPENDENCYPART_ARC
(11,12),0.901197 # DEPENDENCYPART_ARC
(11,13),0.0378304 # DEPENDENCYPART_ARC
(11,14),-0.303914 # DEPENDENCYPART_ARC
(11,15),-1.01743 # DEPENDENCYPART_ARC
(11,16),-1.10241 # DEPENDENCYPART_ARC
(11,17),-1.69188 # DEPENDENCYPART_ARC
(11,18),-1.84463 # DEPENDENCYPART_ARC
(11,19),-1.07836 # DEPENDENCYPART_ARC
(11,20),-2.563 # DEPENDENCYPART_ARC
(11,21),-2.78659 # DEPENDENCYPART_ARC
(11,22),-2.74426 # DEPENDENCYPART_ARC
(11,23),-0.380442 # DEPENDENCYPART_ARC
(11,24),-1.10346 # DEPENDENCYPART_ARC
(11,25),-1.87357 # DEPENDENCYPART_ARC
(11,26),-1.54812 # DEPENDENCYPART_ARC
(11,27),-1.34434 # DEPENDENCYPART_ARC
(11,28),-3.87088 # DEPENDENCYPART_ARC
(11,29),-4.12592 # DEPENDENCYPART_ARC
(11,30),-2.54962 # DEPENDENCYPART_ARC
(11,31),-4.82711 # DEPENDENCYPART_ARC
(11,32),-4.52075 # DEPENDENCYPART_ARC
(11,33),-3.80362 # DEPENDENCYPART_ARC
(11,34),-5.25933 # DEPENDENCYPART_ARC
(11,35),-1.5961 # DEPENDENCYPART_ARC
(11,36),-4.97465 # DEPENDENCYPART_ARC
(12,1),-3.19536 # DEPENDENCYPART_ARC
(12,2),-4.29451 # DEPENDENCYPART_ARC
(12,3),-4.21534 # DEPENDENCYPART_ARC
(12,4),-4.91503 # DEPENDENCYPART_ARC
(12,5),-3.35799 # DEPENDENCYPART_ARC
(12,6),-3.94008 # DEPENDENCYPART_ARC
(12,7),-3.7985 # DEPENDENCYPART_ARC
(12,8),-1.89965 # DEPENDENCYPART_ARC
(12,9),-3.60574 # DEPENDENCYPART_ARC
(12,10),-1.42443 # DEPENDENCYPART_ARC
(12,11),-0.530611 # DEPENDENCYPART_ARC
(12,13),0.187001 # DEPENDENCYPART_ARC
(12,14),-1.37709 # DEPENDENCYPART_ARC
(12,15),-1.71583 # DEPENDENCYPART_ARC
(12,16),-2.139 # DEPENDENCYPART_ARC
(12,17),-2.36762 # DEPENDENCYPART_ARC
(12,18),-2.76013 # DEPENDENCYPART_ARC
(12,19),-2.23644 # DEPENDENCYPART_ARC
(12,20),-4.26707 # DEPENDENCYPART_ARC
(12,21),-3.51822 # DEPENDENCYPART_ARC
(12,22),-3.72052 # DEPENDENCYPART_ARC
(12,23),-2.07089 # DEPENDENCYPART_ARC
(12,24),-1.11096 # DEPENDENCYPART_ARC
(12,25),-5.73926 # DEPENDENCYPART_ARC
(12,26),-3.63429 # DEPENDENCYPART_ARC
(12,27),-5.79543 # DEPENDENCYPART_ARC
(12,28),-6.21905 # DEPENDENCYPART_ARC
(12,29),-6.19326 # DEPENDENCYPART_ARC
(12,30),-3.11257 # DEPENDENCYPART_ARC
(12,31),-7.4996 # DEPENDENCYPART_ARC
(12,32),-6.655 # DEPENDENCYPART_ARC
(12,33),-3.27968 # DEPENDENCYPART_ARC
(12,34),-7.53126 # DEPENDENCYPART_ARC
(12,35),-4.27605 # DEPENDENCYPART_ARC
(12,36),-3.35972 # DEPENDENCYPART_ARC
(13,1),0.168646 # DEPENDENCYPART_ARC
(13,2),-3.11619 # DEPENDENCYPART_ARC
(13,3),-0.808878 # DEPENDENCYPART_ARC
(13,4),-0.7878 # DEPENDENCYPART_ARC
(13,5),-0.00603766 # DEPENDENCYPART_ARC
(13,6),-2.95459 # DEPENDENCYPART_ARC
(13,7),-0.393952 # DEPENDENCYPART_ARC
(13,8),-0.947759 # DEPENDENCYPART_ARC
(13,9),0.238294 # DEPENDENCYPART_ARC
(13,10),1.40487 # DEPENDENCYPART_ARC
(13,11),2.29277 # DEPENDENCYPART_ARC
(13,12),4.47324 # DEPENDENCYPART_ARC
(13,14),1.45665 # DEPENDENCYPART_ARC
(13,15),3.62776 # DEPENDENCYPART_ARC
(13,16),0.0414543 # DEPENDENCYPART_ARC
(13,17),-0.664554 # DEPENDENCYPART_ARC
(13,18),0.613317 # DEPENDENCYPART_ARC
(13,19),1.2604 # DEPENDENCYPART_ARC
(13,20),0.0901507 # DEPENDENCYPART_ARC
(13,21),-1.55345 # DEPENDENCYPART_ARC
(13,22),-2.10461 # DEPENDENCYPART_ARC
(13,23),0.414177 # DEPENDENCYPART_ARC
(13,24),1.40349 # DEPENDENCYPART_ARC
(13,25),-2.10521 # DEPENDENCYPART_ARC
(13,26),-0.377276 # DEPENDENCYPART_ARC
(13,27),-5.45741 # DEPENDENCYPART_ARC
(13,28),-2.86388 # DEPENDENCYPART_ARC
(13,29),-4.02299 # DEPENDENCYPART_ARC
(13,30),0.353273 # DEPENDENCYPART_ARC
(13,31),-5.40194 # DEPENDENCYPART_ARC
(13,32),-4.66819 # DEPENDENCYPART_ARC
(13,33),-1.06052 # DEPENDENCYPART_ARC
(13,34),-4.53747 # DEPENDENCYPART_ARC
(13,35),-2.39409 # DEPENDENCYPART_ARC
(13,36),-1.30966 # DEPENDENCYPART_ARC
(14,1),-4.08876 # DEPENDENCYPART_ARC
(14,2),-3.47725 # DEPENDENCYPART_ARC
(14,3),-3.51903 # DEPENDENCYPART_ARC
(14,4),-4.11506 # DEPENDENCYPART_ARC
(14,5),-1.86341 # DEPENDENCYPART_ARC
(14,6),-2.85281 # DEPENDENCYPART_ARC
(14,7),-1.78951 # DEPENDENCYPART_ARC
(14,8),-2.58022 # DEPENDENCYPART_ARC
(14,9),-1.30598 # DEPENDENCYPART_ARC
(14,10),-1.21036 # DEPENDENCYPART_ARC
