# _root_ Za karty bude chybět Novotný a o tom , zda nastoupí Chovanec , rozhodne lékař až po dnešním tréninku .
#goldHeads=4,1,4,6,4,0,14,7,10,8,10,11,10,6,14,19,14,19,17,0,
#predictedHeads=4,1,4,6,4,0,6,7,10,8,10,11,10,10,14,19,14,19,17,0,
(3,9),-0.840868 # DEPENDENCYPART_ARC
(3,10),-0.289164 # DEPENDENCYPART_ARC
(3,11),-4.19985 # DEPENDENCYPART_ARC
(3,12),-4.76725 # DEPENDENCYPART_ARC
(3,13),-0.282371 # DEPENDENCYPART_ARC
(3,14),-5.64689 # DEPENDENCYPART_ARC
(3,15),-5.34352 # DEPENDENCYPART_ARC
(3,16),-2.04535 # DEPENDENCYPART_ARC
(3,17),-2.9763 # DEPENDENCYPART_ARC
(3,18),-7.00802 # DEPENDENCYPART_ARC
(3,19),-5.77608 # DEPENDENCYPART_ARC
(3,20),-1.86233 # DEPENDENCYPART_ARC
(4,1),3.34414 # DEPENDENCYPART_ARC
(4,2),2.68873 # DEPENDENCYPART_ARC
(4,3),5.10636 # DEPENDENCYPART_ARC
(4,5),1.96225 # DEPENDENCYPART_ARC
(4,6),1.13214 # DEPENDENCYPART_ARC
(4,7),0.323408 # DEPENDENCYPART_ARC
(4,8),0.112698 # DEPENDENCYPART_ARC
(4,9),0.162324 # DEPENDENCYPART_ARC
(4,10),0.96439 # DEPENDENCYPART_ARC
(4,11),-2.18026 # DEPENDENCYPART_ARC
(4,12),-3.87547 # DEPENDENCYPART_ARC
(4,13),0.517959 # DEPENDENCYPART_ARC
(4,14),-3.46126 # DEPENDENCYPART_ARC
(4,15),-4.64371 # DEPENDENCYPART_ARC
(4,16),-1.61908 # DEPENDENCYPART_ARC
(4,17),-1.71754 # DEPENDENCYPART_ARC
(4,18),-5.39261 # DEPENDENCYPART_ARC
(4,19),-3.83617 # DEPENDENCYPART_ARC
(4,20),-1.19852 # DEPENDENCYPART_ARC
(5,1),0.292319 # DEPENDENCYPART_ARC
(5,2),-4.70721 # DEPENDENCYPART_ARC
(5,3),-2.66515 # DEPENDENCYPART_ARC
(5,4),0.0354178 # DEPENDENCYPART_ARC
(5,6),-0.507106 # DEPENDENCYPART_ARC
(5,7),-1.68001 # DEPENDENCYPART_ARC
(5,8),-2.33457 # DEPENDENCYPART_ARC
(5,9),-1.18386 # DEPENDENCYPART_ARC
(5,10),-1.00385 # DEPENDENCYPART_ARC
(5,11),-3.14611 # DEPENDENCYPART_ARC
(5,12),-3.78459 # DEPENDENCYPART_ARC
(5,13),-1.63541 # DEPENDENCYPART_ARC
(5,14),-4.67341 # DEPENDENCYPART_ARC
(5,15),-4.74142 # DEPENDENCYPART_ARC
(5,16),-2.16407 # DEPENDENCYPART_ARC
(5,17),-3.99154 # DEPENDENCYPART_ARC
(5,18),-5.40822 # DEPENDENCYPART_ARC
(5,19),-4.8697 # DEPENDENCYPART_ARC
(5,20),-5.44635 # DEPENDENCYPART_ARC
(6,1),0.89173 # DEPENDENCYPART_ARC
(6,2),0.912769 # DEPENDENCYPART_ARC
(6,3),2.07208 # DEPENDENCYPART_ARC
(6,4),2.21127 # DEPENDENCYPART_ARC
(6,5),1.20604 # DEPENDENCYPART_ARC
(6,7),1.66632 # DEPENDENCYPART_ARC
(6,8),0.590193 # DEPENDENCYPART_ARC
(6,9),0.0654706 # DEPENDENCYPART_ARC
(6,10),0.623435 # DEPENDENCYPART_ARC
(6,11),0.777727 # DEPENDENCYPART_ARC
(6,12),-0.944913 # DEPENDENCYPART_ARC
(6,13),0.409621 # DEPENDENCYPART_ARC
(6,14),-0.428285 # DEPENDENCYPART_ARC
(6,15),-2.40933 # DEPENDENCYPART_ARC
(6,16),-1.15767 # DEPENDENCYPART_ARC
(6,17),-1.00699 # DEPENDENCYPART_ARC
(6,18),-2.53243 # DEPENDENCYPART_ARC
(6,19),-2.10139 # DEPENDENCYPART_ARC
(6,20),-1.59051 # DEPENDENCYPART_ARC
(7,1),-3.84463 # DEPENDENCYPART_ARC
(7,2),-3.9169 # DEPENDENCYPART_ARC
(7,3),-3.58226 # DEPENDENCYPART_ARC
(7,5),-4.0344 # DEPENDENCYPART_ARC
(7,6),-1.45382 # DEPENDENCYPART_ARC
(7,8),3.55761 # DEPENDENCYPART_ARC
(7,9),-0.128963 # DEPENDENCYPART_ARC
(7,10),-0.625598 # DEPENDENCYPART_ARC
(7,11),-0.924246 # DEPENDENCYPART_ARC
(7,12),-3.43299 # DEPENDENCYPART_ARC
(7,13),-1.1226 # DEPENDENCYPART_ARC
(7,14),-1.65183 # DEPENDENCYPART_ARC
(7,15),-5.72056 # DEPENDENCYPART_ARC
(7,16),-1.06607 # DEPENDENCYPART_ARC
(7,17),-2.21987 # DEPENDENCYPART_ARC
(7,18),-2.46747 # DEPENDENCYPART_ARC
(7,19),-2.2667 # DEPENDENCYPART_ARC
(7,20),-2.55482 # DEPENDENCYPART_ARC
(8,1),-0.910825 # DEPENDENCYPART_ARC
(8,2),-1.44799 # DEPENDENCYPART_ARC
(8,3),-0.722094 # DEPENDENCYPART_ARC
(8,4),0.28119 # DEPENDENCYPART_ARC
(8,5),-1.28036 # DEPENDENCYPART_ARC
(8,6),0.50078 # DEPENDENCYPART_ARC
(8,7),0.135889 # DEPENDENCYPART_ARC
(8,9),0.210953 # DEPENDENCYPART_ARC
(8,10),2.1603 # DEPENDENCYPART_ARC
(8,11),-0.00350931 # DEPENDENCYPART_ARC
(8,12),-0.775822 # DEPENDENCYPART_ARC
(8,13),0.362477 # DEPENDENCYPART_ARC
(8,14),-1.92583 # DEPENDENCYPART_ARC
(8,15),-1.53026 # DEPENDENCYPART_ARC
(8,16),-0.263358 # DEPENDENCYPART_ARC
(8,17),-1.10229 # DEPENDENCYPART_ARC
(8,18),-1.0729 # DEPENDENCYPART_ARC
(8,19),-1.2742 # DEPENDENCYPART_ARC
(8,20),-0.511469 # DEPENDENCYPART_ARC
(9,1),-1.66232 # DEPENDENCYPART_ARC
(9,2),-1.44531 # DEPENDENCYPART_ARC
(9,3),-0.367614 # DEPENDENCYPART_ARC
(9,4),-0.67057 # DEPENDENCYPART_ARC
(9,5),-0.501939 # DEPENDENCYPART_ARC
(9,6),-0.264884 # DEPENDENCYPART_ARC
(9,7),-0.615668 # DEPENDENCYPART_ARC
(9,8),0.279201 # DEPENDENCYPART_ARC
(9,10),0.233277 # DEPENDENCYPART_ARC
(9,11),0.0802361 # DEPENDENCYPART_ARC
(9,12),-1.04804 # DEPENDENCYPART_ARC
(9,13),-0.238218 # DEPENDENCYPART_ARC
(9,14),-0.714931 # DEPENDENCYPART_ARC
(9,15),-2.6699 # DEPENDENCYPART_ARC
(9,16),-1.24254 # DEPENDENCYPART_ARC
(9,17),-1.50371 # DEPENDENCYPART_ARC
(9,18),-1.83465 # DEPENDENCYPART_ARC
(9,19),-2.94833 # DEPENDENCYPART_ARC
(9,20),-1.01139 # DEPENDENCYPART_ARC
(10,1),-1.54698 # DEPENDENCYPART_ARC
(10,2),-0.664653 # DEPENDENCYPART_ARC
(10,3),-0.409721 # DEPENDENCYPART_ARC
(10,4),-0.374558 # DEPENDENCYPART_ARC
(10,5),-1.23867 # DEPENDENCYPART_ARC
(10,6),-0.924924 # DEPENDENCYPART_ARC
(10,7),-0.143845 # DEPENDENCYPART_ARC
(10,8),0.124737 # DEPENDENCYPART_ARC
(10,9),2.1165 # DEPENDENCYPART_ARC
(10,11),2.45474 # DEPENDENCYPART_ARC
(10,12),0.211151 # DEPENDENCYPART_ARC
(10,13),1.86427 # DEPENDENCYPART_ARC
(10,14),0.798265 # DEPENDENCYPART_ARC
(10,15),-1.74277 # DEPENDENCYPART_ARC
(10,16),-0.693479 # DEPENDENCYPART_ARC
(10,17),-0.73907 # DEPENDENCYPART_ARC
(10,18),-1.36576 # DEPENDENCYPART_ARC
(10,19),-2.17697 # DEPENDENCYPART_ARC
(10,20),-0.232869 # DEPENDENCYPART_ARC
(11,1),-0.662776 # DEPENDENCYPART_ARC
(11,2),-2.40551 # DEPENDENCYPART_ARC
(11,3),-2.62234 # DEPENDENCYPART_ARC
(11,4),-1.8929 # DEPENDENCYPART_ARC
(11,5),-1.46982 # DEPENDENCYPART_ARC
(11,6),-1.70024 # DEPENDENCYPART_ARC
(11,7),-0.21474 # DEPENDENCYPART_ARC
(11,8),-2.85415 # DEPENDENCYPART_ARC
(11,9),0.0985863 # DEPENDENCYPART_ARC
(11,10),0.231721 # DEPENDENCYPART_ARC
(11,12),3.05447 # DEPENDENCYPART_ARC
(11,13),0.364088 # DEPENDENCYPART_ARC
(11,14),-1.04899 # DEPENDENCYPART_ARC
(11,15),0.461526 # DEPENDENCYPART_ARC
(11,16),-0.380171 # DEPENDENCYPART_ARC
(11,17),0.279504 # DEPENDENCYPART_ARC
(11,18),-5.40406 # DEPENDENCYPART_ARC
(11,19),-1.48778 # DEPENDENCYPART_ARC
(11,20),-1.19992 # DEPENDENCYPART_ARC
(12,1),-1.51937 # DEPENDENCYPART_ARC
(12,2),-10.2985 # DEPENDENCYPART_ARC
(12,3),-3.7875 # DEPENDENCYPART_ARC
(12,4),-2.00339 # DEPENDENCYPART_ARC
(12,5),-3.29196 # DEPENDENCYPART_ARC
(12,6),-2.6262 # DEPENDENCYPART_ARC
(12,7),-0.409082 # DEPENDENCYPART_ARC
(12,8),-2.26223 # DEPENDENCYPART_ARC
(12,9),-0.496202 # DEPENDENCYPART_ARC
(12,10),-0.0470071 # DEPENDENCYPART_ARC
(12,11),-0.768573 # DEPENDENCYPART_ARC
(12,13),-0.697558 # DEPENDENCYPART_ARC
(12,14),-0.999284 # DEPENDENCYPART_ARC
(12,15),-2.30258 # DEPENDENCYPART_ARC
(12,16),-0.584013 # DEPENDENCYPART_ARC
(12,17),-1.31859 # DEPENDENCYPART_ARC
(12,18),-3.04384 # DEPENDENCYPART_ARC
(12,19),-2.16987 # DEPENDENCYPART_ARC
(12,20),-2.82279 # DEPENDENCYPART_ARC
(13,1),-2.2283 # DEPENDENCYPART_ARC
(13,2),-0.96737 # DEPENDENCYPART_ARC
(13,3),0.314621 # DEPENDENCYPART_ARC
(13,4),-0.0212463 # DEPENDENCYPART_ARC
(13,5),-0.0449979 # DEPENDENCYPART_ARC
(13,6),-0.462969 # DEPENDENCYPART_ARC
(13,7),-1.2376 # DEPENDENCYPART_ARC
(13,8),-0.197038 # DEPENDENCYPART_ARC
(13,9),0.0783169 # DEPENDENCYPART_ARC
(13,10),0.583424 # DEPENDENCYPART_ARC
(13,11),0.598532 # DEPENDENCYPART_ARC
(13,12),0.0928308 # DEPENDENCYPART_ARC
(13,14),0.290576 # DEPENDENCYPART_ARC
(13,15),-0.661588 # DEPENDENCYPART_ARC
(13,16),-0.652509 # DEPENDENCYPART_ARC
(13,17),-0.553054 # DEPENDENCYPART_ARC
(13,18),-1.48294 # DEPENDENCYPART_ARC
(13,19),-1.28106 # DEPENDENCYPART_ARC
(13,20),-0.412712 # DEPENDENCYPART_ARC
(14,1),1.23805 # DEPENDENCYPART_ARC
(14,2),-2.73859 # DEPENDENCYPART_ARC
(14,3),-1.71399 # DEPENDENCYPART_ARC
(14,4),-1.30844 # DEPENDENCYPART_ARC
(14,5),-1.77748 # DEPENDENCYPART_ARC
(14,6),-0.664381 # DEPENDENCYPART_ARC
(14,7),0.662425 # DEPENDENCYPART_ARC
(14,8),-2.65884 # DEPENDENCYPART_ARC
(14,9),-0.350894 # DEPENDENCYPART_ARC
(14,10),0.788032 # DEPENDENCYPART_ARC
(14,11),0.409819 # DEPENDENCYPART_ARC
(14,12),0.227745 # DEPENDENCYPART_ARC
(14,13),-0.13065 # DEPENDENCYPART_ARC
(14,15),3.46193 # DEPENDENCYPART_ARC
(14,16),0.157118 # DEPENDENCYPART_ARC
(14,17),1.90628 # DEPENDENCYPART_ARC
(14,18),-3.281 # DEPENDENCYPART_ARC
(14,19),0.899339 # DEPENDENCYPART_ARC
(14,20),0.170247 # DEPENDENCYPART_ARC
(15,1),-2.38952 # DEPENDENCYPART_ARC
(15,2),-11.813 # DEPENDENCYPART_ARC
(15,3),-4.97676 # DEPENDENCYPART_ARC
(15,4),-3.18787 # DEPENDENCYPART_ARC
(15,5),-4.93551 # DEPENDENCYPART_ARC
(15,6),-4.21413 # DEPENDENCYPART_ARC
(15,7),-1.44457 # DEPENDENCYPART_ARC
(15,8),-4.61923 # DEPENDENCYPART_ARC
(15,9),-2.32844 # DEPENDENCYPART_ARC
(15,10),-2.4477 # DEPENDENCYPART_ARC
(15,11),-2.94994 # DEPENDENCYPART_ARC
(15,12),-0.0463471 # DEPENDENCYPART_ARC
(15,13),-1.65744 # DEPENDENCYPART_ARC
(15,14),-1.63307 # DEPENDENCYPART_ARC
(15,16),0.373107 # DEPENDENCYPART_ARC
(15,17),-0.226497 # DEPENDENCYPART_ARC
(15,18),-1.44673 # DEPENDENCYPART_ARC
(15,19),-0.342184 # DEPENDENCYPART_ARC
(15,20),-0.848919 # DEPENDENCYPART_ARC
(16,1),-2.2401 # DEPENDENCYPART_ARC
(16,2),-1.73074 # DEPENDENCYPART_ARC
(16,3),-3.92882 # DEPENDENCYPART_ARC
(16,4),-3.14517 # DEPENDENCYPART_ARC
(16,5),-1.58666 # DEPENDENCYPART_ARC
(16,6),-1.89796 # DEPENDENCYPART_ARC
(16,7),-1.4401 # DEPENDENCYPART_ARC
(16,8),-1.20504 # DEPENDENCYPART_ARC
(16,9),-1.6171 # DEPENDENCYPART_ARC
(16,10),-1.06241 # DEPENDENCYPART_ARC
(16,11),-1.14804 # DEPENDENCYPART_ARC
(16,12),-0.364134 # DEPENDENCYPART_ARC
(16,13),-0.0499229 # DEPENDENCYPART_ARC
(16,14),0.296105 # DEPENDENCYPART_ARC
(16,15),0.677388 # DEPENDENCYPART_ARC
(16,17),0.453943 # DEPENDENCYPART_ARC
(16,18),0.0752037 # DEPENDENCYPART_ARC
(16,19),-0.28736 # DEPENDENCYPART_ARC
(16,20),-0.212995 # DEPENDENCYPART_ARC
(17,1),-3.95872 # DEPENDENCYPART_ARC
(17,2),-3.92161 # DEPENDENCYPART_ARC
(17,3),-3.37053 # DEPENDENCYPART_ARC
(17,5),-4.77275 # DEPENDENCYPART_ARC
(17,6),-2.28877 # DEPENDENCYPART_ARC
(17,7),-3.38677 # DEPENDENCYPART_ARC
(17,8),-1.8418 # DEPENDENCYPART_ARC
(17,9),-1.28733 # DEPENDENCYPART_ARC
(17,10),-1.64071 # DEPENDENCYPART_ARC
(17,11),-2.58412 # DEPENDENCYPART_ARC
(17,12),-3.21324 # DEPENDENCYPART_ARC
(17,13),-0.607343 # DEPENDENCYPART_ARC
(17,14),-1.93862 # DEPENDENCYPART_ARC
(17,15),-2.19475 # DEPENDENCYPART_ARC
(17,16),0.113605 # DEPENDENCYPART_ARC
(17,18),1.00208 # DEPENDENCYPART_ARC
(17,19),3.90474 # DEPENDENCYPART_ARC
(17,20),-0.24713 # DEPENDENCYPART_ARC
(18,1),-3.79944 # DEPENDENCYPART_ARC
(18,2),-4.97351 # DEPENDENCYPART_ARC
(18,3),-4.42824 # DEPENDENCYPART_ARC
(18,4),-2.89673 # DEPENDENCYPART_ARC
(18,5),-5.81584 # DEPENDENCYPART_ARC
(18,6),-2.93924 # DEPENDENCYPART_ARC
(18,7),-3.23235 # DEPENDENCYPART_ARC
(18,8),-3.32933 # DEPENDENCYPART_ARC
(18,9),-2.67065 # DEPENDENCYPART_ARC
(18,10),-1.98277 # DEPENDENCYPART_ARC
(18,11),-4.49651 # DEPENDENCYPART_ARC
(18,12),-3.84112 # DEPENDENCYPART_ARC
(18,13),-1.65162 # DEPENDENCYPART_ARC
(18,14),-3.93871 # DEPENDENCYPART_ARC
(18,15),-2.89196 # DEPENDENCYPART_ARC
(18,16),0.352174 # DEPENDENCYPART_ARC
(18,17),-0.777467 # DEPENDENCYPART_ARC
(18,19),0.135061 # DEPENDENCYPART_ARC
(18,20),-0.375823 # DEPENDENCYPART_ARC
(19,1),-1.98529 # DEPENDENCYPART_ARC
(19,2),-8.13754 # DEPENDENCYPART_ARC
(19,3),-3.58367 # DEPENDENCYPART_ARC
(19,4),-2.1571 # DEPENDENCYPART_ARC
(19,5),-5.25342 # DEPENDENCYPART_ARC
(19,6),-3.38436 # DEPENDENCYPART_ARC
(19,7),-0.860498 # DEPENDENCYPART_ARC
(19,8),-0.158037 # DEPENDENCYPART_ARC
(19,9),-1.56625 # DEPENDENCYPART_ARC
(19,10),-2.33594 # DEPENDENCYPART_ARC
(19,11),-2.08642 # DEPENDENCYPART_ARC
(19,12),-2.42757 # DEPENDENCYPART_ARC
(19,13),-1.68168 # DEPENDENCYPART_ARC
(19,14),-1.54259 # DEPENDENCYPART_ARC
(19,15),-0.713232 # DEPENDENCYPART_ARC
(19,16),1.91417 # DEPENDENCYPART_ARC
(19,17),-0.0288486 # DEPENDENCYPART_ARC
(19,18),5.12619 # DEPENDENCYPART_ARC
(19,20),0.234191 # DEPENDENCYPART_ARC
(20,1),-6.21623 # DEPENDENCYPART_ARC
(20,2),-5.75764 # DEPENDENCYPART_ARC
(20,3),-4.5755 # DEPENDENCYPART_ARC
(20,4),-4.75797 # DEPENDENCYPART_ARC
(20,5),-4.25996 # DEPENDENCYPART_ARC
(20,6),-4.66356 # DEPENDENCYPART_ARC
(20,7),-5.33138 # DEPENDENCYPART_ARC
(20,8),-3.84972 # DEPENDENCYPART_ARC
(20,9),-3.76632 # DEPENDENCYPART_ARC
(20,10),-3.56564 # DEPENDENCYPART_ARC
(20,11),-3.75875 # DEPENDENCYPART_ARC
(20,12),-3.25862 # DEPENDENCYPART_ARC
(20,13),-3.07653 # DEPENDENCYPART_ARC
(20,14),-3.26889 # DEPENDENCYPART_ARC
(20,15),-3.10559 # DEPENDENCYPART_ARC
(20,16),-2.77985 # DEPENDENCYPART_ARC
(20,17),-3.21119 # DEPENDENCYPART_ARC
(20,18),-2.50856 # DEPENDENCYPART_ARC
(20,19),-3.26077 # DEPENDENCYPART_ARC
